round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,21690.824000000022,0.0,21800.719999999998,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,8.097176470588238,2.372549019607843,10.46972549019608,2.0366274509803914,2.5578431372549018,4.594470588235294,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,109.89599999999999,109.896,0.0,2,187.84,476.21600000000007,862.4401999999999,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,5.0,5.200000000000013,NaN,0.75,3.9199999999999995,3.920000000000001,320.0,91.0,160.0,2048.0,322.0,0.0,431,0,0,0,51,40.0,2048.0,16467.240000000016,2111.432,3112.152,768,0,0,128,0.08068220315760244,0.2990609870968468,0.8296989284603244,0,1382.24,455.0,51,0,0.0,0,0,0,0.0,0,0.0,24927.240000000023,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,431,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7658566251596417,384,12165.680000000011,128,12761.560000000003,4,-7644.808,4,-8744.488,2,102.05600000000064,0.0,11.25,0,0,160,160,1 + planning margin,debt,3,9.094947017729282e-13
2,512,4,4,22320.724599999972,0.0,22488.75299999992,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,9.296485490196076,1.567459607843137,10.863945098039213,2.2839550980392165,1.89856431372549,4.182519411764707,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,168.02840000000003,218.88000000000002,0.0,4,1114.5966000000003,484.69599999999997,3130.342199999999,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005006126345170267,4.8457114661654375,5.527870419426028,NaN,1.126551876379691,3.61489339207045,3.8023999999999996,906.0,1064.0,453.0,2048.0,908.0,0.0,285,0,0,0,51,29.0,2048.0,16157.899199999953,2275.1465,3887.6789,768,0,0,128,0.10961087780791212,0.3537245434866272,0.5479836911726157,0,3792.651199999982,5155.837000000025,51,0,0.0,0,0,0,0.0,0,0.0,23563.154200000037,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,285,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7179920846193415,384,10732.415799999972,128,12830.73839999999,4,-7315.733499999999,4,-7768.0010999999995,2,160.58040000000105,0.0,11.25,0,0,453,453,1 + planning margin,debt,3,9.094947017729282e-13
3,512,4,4,22489.794999999987,0.0,22691.226099999963,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,13.011950952411395,1.620393591064362,14.632344543475757,2.4364481030783773,2.0563736010349363,4.492821704113314,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,201.43110000000007,331.2902999999999,0.0,9,710.3803,541.3099000000004,5349.486499999995,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006633873550114706,4.744814405986943,5.473274211502784,NaN,1.3367391465677174,3.2243175000000006,3.6883279999999994,1078.0,1069.0,539.0,2048.0,1080.0,0.0,242,0,0,0,43,31.0,2048.0,15851.48410000003,2644.4561,3993.8548,768,0,0,128,0.12084075285171147,0.4364779810791717,0.475570225165574,1,4202.765300000008,5072.206600000041,43,0,0.0,0,0,0,0.0,0,0.0,27025.43161589401,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,242,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.014500326785715,384,9593.83890000002,128,17431.592715894043,4,-6781.063900000001,4,-7460.865199999999,2,194.37509999999978,0.0,16.898278145695365,0,0,539,539,1 + planning margin,debt,3,9.094947017729282e-13
4,512,4,4,23212.247299999988,0.0,23431.708000000006,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,16.300116022125046,1.0001998685364595,17.300315890661505,3.755099043860203,1.4233741302736127,5.178473174133815,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,219.46070000000014,445.5876999999991,0.0,21,1297.2179,574.765599999999,3524.0410999999967,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007006636122111097,4.575638868613187,5.347277861163227,NaN,1.4367898686679166,3.0018243445692865,3.5776781599999987,1066.0,1096.0,533.0,2048.0,1068.0,0.0,245,0,0,2,59,46.0,2048.0,15318.90249999998,3517.3376999999996,4376.0071,768,0,0,128,0.1710572259475469,0.5075606120924225,0.47946379449765075,5,3971.757400000023,5014.900200000053,59,0,0.0,0,0,0,0.0,0,0.0,28393.767568460098,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,245,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8010085763023753,384,8231.173600000004,128,20162.593968460114,4,-6329.5764,4,-6877.7528999999995,2,212.79669999999783,0.0,20.051087198515763,0,0,533,533,1 + planning margin,debt,3,9.094947017729282e-13
5,512,4,4,23463.01389999999,0.0,23696.70189999998,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,18.295258746371484,0.9443005786604213,19.239559325031905,4.406425708856024,1.3793372249940532,5.785762933850077,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,233.6880000000001,565.7930999999994,0.0,137,891.4877,640.7211000000007,4810.718099999994,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008497318587132718,4.453380055917988,5.263565862708716,NaN,1.5727816326530613,2.9395083641975956,3.4703478152,1078.0,1073.0,539.0,2045.3333333333333,1080.0,0.0,241,0,0,0,56,39.0,2048.0,14608.462099999995,4311.6233,4542.9285,768,0,0,128,0.226107909896043,0.5497238472553987,0.4857784256413791,7,4022.3983000000003,4778.4768,56,0,0.0,0,0,0,0.0,0,0.0,28776.684487054456,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,241,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.71564550987137,384,6956.009899999995,128,21820.674587054415,4,-5942.4097,4,-6509.871499999999,2,227.4160000000001,0.0,21.55184803001875,0,0,539,539,1 + planning margin,debt,3,9.094947017729282e-13
6,512,4,4,23054.44610000003,0.0,23298.52200000001,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,11,2,21.63376627720802,0.2333235471317439,21.867089824339764,5.9685707017455805,0.7097983825978957,6.678369084343476,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,244.07590000000022,689.6556000000004,0.0,259,274.5999,683.1676999999988,3946.2785999999983,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.4478,0.008315237554875456,4.346024037558664,5.205897217068664,NaN,1.6274089053803344,2.85959805555556,3.3662373807439994,1078.0,1065.0,539.0,2048.0,1080.0,0.0,241,0,0,1,50,31.0,2048.0,13960.560200000005,4454.0776000000005,4639.8083,768,0,0,128,0.31017697266971944,0.608324081864795,0.4836892774879795,34,3965.5393000000254,4628.515599999977,50,0,0.0,0,0,0,0.0,0,0.0,29667.447108163276,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,241,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.653564796827683,384,5700.481700000003,128,23966.965408163276,4,-5575.1669,4,-6212.0317000000005,2,238.19589999999982,0.0,23.59172448979592,0,0,539,539,1 + planning margin,debt,3,9.094947017729282e-13
7,512,4,4,22523.941499999994,0.0,22771.474800000076,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9,1,23.17194211041507,0.23597656042824533,23.407918670843316,6.53569470141855,0.7524583234061719,7.288153024824721,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,247.5333,811.8517000000004,0.0,422,161.9916,692.4961999999992,5033.444100000007,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009264558282526933,4.251617307692315,5.123400936329584,NaN,1.5929299625468172,2.803919532710278,3.2652502593216792,1068.0,1040.0,534.0,2046.6666666666665,1070.0,0.0,244,0,0,7,33,21.0,2048.0,13272.39340000001,4609.5878999999995,4641.9601999999995,768,0,0,128,0.36280645497122643,0.6417504977601012,0.4831821624314254,37,3850.818500000024,4421.682000000007,35,2,0.0,0,0,0,0.0,0,0.0,29709.4931899814,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,244,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6214427554748185,384,4669.969400000003,128,25039.523789981446,4,-5194.8681,4,-6008.9198,2,242.04530000000096,0.0,24.411133580705016,0,0,534,534,1 + planning margin,debt,3,9.094947017729282e-13
8,512,4,4,22004.80830000001,0.0,22251.016199999933,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,61,8,24.50008618673349,-0.48582780906256245,24.014258377670927,7.7120841362728205,0.17716971886778468,7.8892538551406055,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,246.20789999999982,931.1054000000005,0.0,622,171.37580000000003,690.5090000000006,2835.4397999999956,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,14.6424,0.008930335915291427,4.183292122335471,5.05929274809162,NaN,1.5596154580152677,2.7372454285714576,3.167292751542029,1048.0,1079.0,524.0,2038.666666666667,1050.0,0.0,248,0,0,5,50,31.0,2048.0,12356.003899999992,4780.1142,4868.6902,768,0,0,128,0.4475176553737721,0.6861645146055491,0.4687077205820602,94,3691.3462000000186,4513.772199999974,50,0,0.0,0,0,0,0.0,0,0.0,28490.22436853933,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,248,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.637325366614715,384,3467.0563999999986,128,25023.167968539325,4,-4799.5533,4,-5581.229799999999,2,241.11189999999942,0.0,23.893949438202256,0,0,524,524,1 + planning margin,debt,3,9.094947017729282e-13
9,512,4,4,21523.27379999996,0.0,21765.70569999999,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,74,21,25.18589599660768,-0.6145783533946454,24.571317643213035,8.526754259192073,0.08444610961111122,8.611200368803186,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,242.43189999999984,1047.3220000000003,0.0,799,209.5107000000001,691.0451999999998,4266.534599999991,0.0,0.0,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,45.805499999999995,0.010455052293376671,4.1233647540983585,5.0209527306968305,NaN,1.5460753295668535,2.6719077067669117,3.072273968995767,1062.0,976.0,531.0,2041.3333333333335,1064.0,0.0,244,20,20,38,38,23.0,2028.0,11953.936699999995,4979.0215,4590.3156,768,0,0,128,0.4968787651724236,0.7092901870023371,0.4661128804459955,120,3663.875800000002,4024.403999999998,40,2,0.0,0,0,20,0.0,0,0.0,27763.544076335853,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,244,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6608791910595573,384,2882.0103000000013,128,24881.53377633587,4,-4375.8575,4,-5658.644399999999,2,237.72789999999958,0.0,23.394231870229014,0,0,531,531,1 + planning margin,debt,3,9.094947017729282e-13
10,512,4,4,21391.409199999973,0.0,21629.335899999933,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,114,28,25.72371325388603,-0.6527633457296645,25.070949908156365,8.889145016450717,0.03427027002376152,8.923415286474478,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,237.92669999999939,1161.0237000000043,0.0,976,558.6491000000001,690.5136999999986,4542.892899999996,0.0,0.0,0.0,0.0,0.0,0.0,23,0.0,0.0,0.0,0.0,0.0,0.0,53.910799999999995,0.00949244907791049,4.0685866379310305,5.00423918367347,NaN,1.5269599999999988,2.607278818737276,2.9801057499258943,980.0,928.0,490.0,1977.3333333333342,981.9999999999997,0.0,250,45,43,49,36,26.0,2000.0,11368.939900000008,5580.0618,4442.4075,768,0,0,128,0.5558592565234193,0.7371587074198136,0.5113063067254273,175,3308.558200000001,3775.648399999996,40,4,0.0,0,0,45,0.0,0,0.0,27135.27829661014,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,250,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6659196262183065,384,2010.831400000001,128,25124.44689661015,4,-3952.5126999999993,4,-5605.5925,2,233.61469999999997,0.0,23.1911299435028,0,0,490,490,1 + planning margin,debt,3,9.094947017729282e-13
