round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,24353.552200000173,0.0,2710.9003,1360.9003,561.0,,561.0,0.0,0.0,0.0,0.0,0.0,0.0025,90.8382,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,23.85378078431372,3.1376078431372556,26.991388627450977,1.5948401960784317,2.9274509803921567,4.522291176470588,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0,2560.0,185.6478000000006,1360.9003,92.16200000000029,0.0,0.0,0.0,0.0,0.0,0,252.3552,2560.0,185.6478000000006,92.16200000000029,268.0,0.0,0.0,0.0,5.0,5.200000000000013,NaN,0.75,3.4662357414448666,3.920000000000001,320.0,71.0,160.0,2048.0,526.0,204.0,380,0,0,0,42,29.0,2048.0,17842.419499999978,2276.978,3890.9613,732,36,0,122,0.07733457233450403,0.47192914424286836,0.7520994483337151,0,4424.293200000001,355.0,42,0,0.0,0,0,0,0.0,0,0.0,47947.31979999972,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,380,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5035722647387313,390,15887.134599999947,122,32060.185200000054,4,2276.978,4,3147.061,2,252.3552,-470.16179999999997,37.5,0,0,160,160,3 + interest on deposits,sumsy,1,0.0
2,512,4,4,26675.381200000043,0.0,11529.687600000005,3226.2822999999994,1031.1618,,1031.1618,0.0,0.0,0.0,0.0,0.0,0.0025,115.9443,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,24.619861372549018,2.755308235294118,27.375169607843134,1.5493394117647052,2.539853137254902,4.089192549019607,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-7.99899999999998,0.0,12,2560.0,238.17099999999925,4199.5832,118.0425999999997,0.0,0.0,0.0,0.0,0.0,125,145.82,2560.0,238.17099999999925,118.0425999999997,268.0,0.0,0.0,0.015,4.738875388838073,5.479271492204896,NaN,1.1265061302681996,3.519941304347797,3.8023999999999996,898.0,1093.0,449.0,2048.0,1104.0,204.0,236,0,0,3,59,42.0,2048.0,16382.542500000089,2684.9406,7346.1338000000005,580,188,0,97,0.06567335583985567,0.47276244087549624,0.48688825847130435,0,6713.793399999982,5179.590800000014,59,0,0.0,0,0,0,0.0,0,0.0,49200.95769999997,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,236,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5146606140610905,415,23207.999300000047,97,25992.958400000003,4,2752.4406,4,4039.025199999999,2,398.1752,-915.2175000000001,37.5,0,0,449,449,3 + interest on deposits,sumsy,1,0.0
3,512,4,4,28949.016599999937,0.0,12820.062900000004,1820.6687000000024,1446.9179999999967,,1446.9179999999967,0.0,0.0,0.0,0.0,0.0,0.0025,139.5868,0.0,0.0,1.0,531.7004999999999,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,38.45979860515581,3.1874233275603956,41.64722193271621,2.115845555886417,2.659373205925154,4.775218761811571,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-43.16429999999951,0.0,17,2560.0,286.36459999999954,5748.326599999996,141.98339999999985,0.0,0.0,0.0,0.0,0.0,140,204.6142,2560.0,286.36459999999954,141.98339999999985,268.0,0.0,0.0,0.015,4.675124112149489,5.418873098330247,NaN,1.3328988603988612,3.1944355285261614,3.6883279999999994,1078.0,1070.0,539.0,2044.0000000000002,1283.9999999999998,204.0,189,0,0,1,56,33.0,2048.0,17185.69730000002,3037.3666000000003,8381.7517,580,188,0,97,0.08949475781663163,0.5265309392189301,0.4171419375378951,0,7085.198100000011,5002.382799999953,56,0,0.0,0,0,0,0.0,0,0.0,61873.94277777782,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,189,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5755135769582977,415,24220.742100000047,97,37653.20067777779,4,6996.524224521076,4,4041.8567999999996,2,601.8594,-1307.3311999999967,56.32530651340998,0,0,539,539,3 + interest on deposits,sumsy,1,0.0
4,512,4,4,31178.58800000003,0.0,13278.299344159544,525.6192000000001,1831.8814999999968,,1831.8814999999968,0.0,0.0,0.0,0.0,0.0,0.0025,161.5319,0.0,0.0,1.0,524.5503000000002,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,45.73792103946702,3.568474835083607,49.30639587455063,2.8789282885230834,2.7663990331120996,5.645327321635183,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-90.59842499999911,0.0,21,2560.0,330.4286000000004,3816.0727000000006,163.98790000000048,0.0,0.0,0.0,0.0,0.0,220,187.0414,2560.0,330.4286000000004,163.98790000000048,268.0,0.0,0.0,0.015,4.505896504139812,5.365312754158969,NaN,1.4308414492753625,2.963507266084263,3.5776781599999987,1082.0,1087.0,541.0,2046.6666666666667,1288.0,204.0,189,0,0,1,55,42.0,2048.0,19105.358100000012,3383.1648999999998,8341.491699999999,572,196,0,96,0.11646221952676639,0.5392838209262729,0.39658886375010205,0,6788.268499999976,4897.909499999975,55,0,0.0,0,0,0,0.0,0,0.0,69387.85275156704,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,189,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5934767365349214,416,25545.55155811966,96,43842.301193447325,4,9634.914187749295,4,4228.807200000006,2,780.6796999999999,-1670.3495999999968,66.64494301994306,0,0,541,541,3 + interest on deposits,sumsy,1,0.0
5,512,4,4,33361.474900000016,0.0,13623.850179710134,407.4603000000001,2175.9125999999965,,2175.9125999999965,0.0,0.0,0.0,0.0,0.0,0.0025,184.7925,0.0,0.0,1.0,505.5630000000004,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,51.621237951847384,3.7601716111501124,55.3814095629975,4.311088288248905,2.71558590135522,7.026674189604125,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-136.95525000000015,0.0,26,2560.0,377.11309999999986,4147.7364,187.30260000000015,0.0,0.0,0.0,0.0,0.0,232,197.82799999999997,2560.0,377.11309999999986,187.30260000000015,268.0,0.0,0.0,0.015,4.384890018315003,5.225226901669742,NaN,1.5609970149253733,2.856196018508162,3.4703478152,1078.0,1092.0,539.0,2046.6666666666667,1284.0,204.0,191,0,0,2,62,50.0,2048.0,21002.508,3618.7987000000003,8357.5477,564,204,0,95,0.15470371766880087,0.5473624903227015,0.4153660569313573,0,6626.701899999988,4788.299899999984,62,0,0.0,0,0,0,0.0,0,0.0,73648.74984927534,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,191,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6042764650562298,417,26834.647234782613,95,46814.10261449275,4,11209.543302898552,4,4472.086600000002,2,966.5269000000001,-1991.1200999999965,71.54207246376812,0,0,539,539,3 + interest on deposits,sumsy,1,0.0
6,512,4,4,35504.73919999999,0.0,13286.644399999977,328.82809999999995,2483.1068999999966,,2483.1068999999966,0.0,0.0,0.0,0.0,0.0,0.0025,204.5994,0.0,0.0,1.0,491.9867999999998,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,58.43008094598659,3.9509583078930164,62.38103925387961,5.326852588670804,3.090524671704593,8.417377260375398,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-181.39704999999813,0.0,32,2560.0,416.7357000000001,5274.3485,207.11199999999988,0.0,0.0,0.0,0.0,0.0,238,192.99200000000002,2560.0,416.7357000000001,207.11199999999988,268.0,0.0,0.0,0.015,4.274419980970521,5.147699074074086,NaN,1.609194345238095,2.7598679575336638,3.3662373807439994,1080.0,1051.0,540.0,2045.3333333333333,1286.0000000000002,204.0,189,0,0,2,51,28.0,2048.0,23114.21960000001,3818.4991,8174.4291,564,204,0,95,0.16934198101668763,0.5553572679528362,0.41645579856602266,0,6486.9146000000055,4492.415400000017,51,0,0.0,0,0,0,0.0,0,0.0,78918.82892089558,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,189,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.614389493392324,417,27740.341300000044,95,51178.487620895525,4,13144.60465223881,4,4516.1914,2,1145.9071,-2278.5074999999965,78.04985074626867,0,0,540,540,3 + interest on deposits,sumsy,1,0.0
7,512,4,4,37606.54599999998,0.0,12899.984000000024,280.4421,2758.0961999999968,,2758.0961999999968,0.0,0.0,0.0,0.0,0.0,0.0025,225.2444,0.0,0.0,1.0,479.58870000000053,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,61.96565804551908,4.320827952226604,66.28648599774569,6.279482642774144,3.4209822083421524,9.700464851116296,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-223.47387499999783,0.0,38,2560.0,458.1932000000005,5192.2879,227.8132000000002,0.0,0.0,0.0,0.0,0.0,242,209.5983,2560.0,458.1932000000005,227.8132000000002,268.0,0.0,0.0,0.015,4.171095840867992,5.091777137546465,NaN,1.5959673652694604,2.6622976769616713,3.2652502593216792,1076.0,1106.0,538.0,2045.3333333333333,1282.0,204.0,190,0,0,1,63,48.0,2048.0,24922.68829999999,4033.0679999999998,8215.947,564,204,0,95,0.1737188133791856,0.5551627513993187,0.4189698145055707,0,6307.371699999989,4613.232,63,0,0.0,0,0,0,0.0,0,0.0,81562.71223571425,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6176303794144016,417,28471.017000000003,95,53091.69523571428,4,14258.56072142857,4,4784.919599999999,2,1326.2680999999998,-2532.8517999999967,80.45971726190476,0,0,538,538,3 + interest on deposits,sumsy,1,0.0
8,512,4,4,39666.76629999995,0.0,12481.878100000002,249.2691,3000.8481999999967,,3000.8481999999967,0.0,0.0,0.0,0.0,0.0,0.0025,246.0028,0.0,0.0,1.0,467.9964,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,63.67402143212828,4.551330163100489,68.22535159522876,7.533232630679341,3.6546184281198433,11.187851058799184,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-263.0049749999972,0.0,44,2560.0,499.77970000000005,4255.4987,248.59339999999983,0.0,0.0,0.0,0.0,0.0,245,246.3213,2560.0,499.77970000000005,248.59339999999983,268.0,0.0,0.0,0.015,4.076453932584257,5.034862500000024,NaN,1.5226676470588225,2.585102746016536,3.167292751542029,1088.0,1068.0,544.0,2046.6666666666667,1294.0,204.0,188,0,0,2,53,41.0,2048.0,26856.141300000003,4279.4365,8038.8643999999995,564,204,0,95,0.1844356120660724,0.5491899136420004,0.4074610603515778,0,6184.704699999986,4353.652799999986,53,0,0.0,0,0,0,0.0,0,0.0,82594.98340059875,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,188,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6146829846108592,417,29268.766600000028,95,53326.21680059879,4,14777.788425748497,4,4835.047199999998,2,1498.9395,-2754.8453999999965,79.79836826347302,0,0,544,544,3 + interest on deposits,sumsy,1,0.0
9,512,4,4,41686.33939999997,0.0,12027.740799999996,213.56369999999998,3212.2235999999966,,3212.2235999999966,0.0,0.0,0.0,0.0,0.0,0.0025,266.2879,0.0,0.0,1.0,457.37820000000045,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,62.771023425230034,4.977727408714884,67.74875083394492,8.633259420011386,4.09821972671669,12.731479146728075,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-300.014800000005,0.0,50,2560.0,540.4269000000003,3975.9577000000004,268.9054000000001,0.0,0.0,0.0,0.0,0.0,248,258.38620000000003,2560.0,540.4269000000003,268.9054000000001,268.0,0.0,0.0,0.015,3.988451346332378,4.968455037313441,NaN,1.5098626506024104,2.5482409999238165,3.072273968995767,1072.0,1077.0,536.0,2045.3333333333335,1278.0,204.0,192,0,0,1,58,37.0,2048.0,28725.382599999964,4518.1036,7918.1791,564,204,0,95,0.19001556218882554,0.5372443046908464,0.4199769873613304,0,6041.862899999988,4295.562099999971,58,0,0.0,0,0,0,0.0,0,0.0,81832.9188470587,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.606607266479587,417,30013.0132,95,51819.90564705882,4,14676.57279999999,4,4941.5722,2,1651.6489000000001,-2945.935699999997,76.13338235294113,0,0,536,536,3 + interest on deposits,sumsy,1,0.0
10,512,4,4,43665.8303000001,0.0,11541.134400000012,181.2167,3393.440199999997,,3393.440199999997,0.0,0.0,0.0,0.0,0.0,0.0025,286.316,0.0,0.0,1.0,447.5045000000003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,64.2641090095939,5.214534133755812,69.4786431433497,10.130887763826614,4.401878304752248,14.532766068578862,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-334.4460250000037,0.0,55,2560.0,580.5091000000001,3001.5305000000003,288.9411000000001,0.0,0.0,0.0,0.0,0.0,250,237.4118,2560.0,580.5091000000001,288.9411000000001,268.0,0.0,0.0,0.015,3.9191834424695964,4.890679297597049,NaN,1.4712961424332345,2.4908951405733832,2.9801057499258943,1082.0,1069.0,541.0,2046.6666666666665,1288.0,204.0,189,0,0,1,44,39.0,2048.0,30647.852099999993,4761.5211,7732.7293,564,204,0,95,0.20165024101951023,0.5319044388999932,0.4133542247737314,0,5948.724500000009,4189.607099999998,44,0,0.0,0,0,0,0.0,0,0.0,82773.33694698798,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,189,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.604148271133877,417,30745.015800000012,95,52028.32114698796,4,15197.153736144586,4,4983.345399999998,2,1797.8442,-3107.124199999997,75.49313253012052,0,0,541,541,3 + interest on deposits,sumsy,1,0.0
