round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,26727.123200000104,0.0,1981.5,631.5,561.0,,561.0,0.0,0.0,0.0,0.0,0.0,0.0025,115.546,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,24.098448627450978,2.8314411764705882,26.929889803921565,1.85816980392157,2.880754901960784,4.738924705882353,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0,2560.0,234.63679999999968,631.5,116.72759999999984,0.0,0.0,0.0,0.0,0.0,0,255.2652,2560.0,234.63679999999968,116.72759999999984,271.0,0.0,0.0,0.0,5.0,5.200000000000013,2.0,0.75,3.5939344262295285,3.920000000000001,320.0,77.0,160.0,2048.0,732.0,204.0,329,0,0,0,47,30.0,2048.0,18320.01720000003,2276.978,3198.478,732,36,0,122,0.09077875769372912,0.4807426080516004,0.6584216017105031,0,5221.264799999996,385.0,47,0,514.0,0,0,0,0.0,0,0.0,47681.01719999994,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1028.0,206.0,2560.8388,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,329,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5286799691852144,390,15703.033000000009,122,31977.984200000017,4,2276.978,4,3198.478,2,255.2652,-445.454,37.5,0,0,160,160,5 + government bonds,sumsy,8,-4.3655745685100555e-11
2,512,4,4,29003.991000000005,0.0,9349.222699999997,2676.2477,1006.4539999999997,,1006.4539999999997,0.0,0.0,0.0,0.0,0.0,0.0025,138.793,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,24.5378162745098,2.579653333333333,27.117469607843134,1.6345517647058816,2.731395294117647,4.3659470588235285,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-0.7050000000000002,0.0,0,2560.0,283.13219999999933,2676.2477000000003,140.64259999999976,0.0,0.0,0.0,0.0,0.0,112,143.781,2560.0,283.13219999999933,140.64259999999976,271.0,0.0,0.0,0.015,4.774015151515129,5.48327738359205,2.0159062295081855,1.126350347222222,3.5296862426035296,3.8023999999999996,902.0,1089.0,451.0,2048.0,1352.0,204.0,174,0,0,1,48,48.0,2048.0,17065.256400000006,2660.9429,6165.587299999999,605,163,0,101,0.07452476169102518,0.4735663802940142,0.38049000902547614,0,7618.539799999972,5198.902499999976,48,0,610.0,0,0,0,0.0,0,0.0,48595.60559999995,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1229.7027999999932,244.0,2829.6304,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,174,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5341883100248179,411,21656.584399999996,101,26939.0212,4,2728.4428999999996,4,4118.9269,2,399.0462,-867.6609999999997,37.5,0,0,451,451,5 + government bonds,sumsy,8,-4.3655745685100555e-11
3,512,4,4,31230.316499999983,0.0,10439.92987777778,610.3121000000002,1403.3037999999997,,1403.3037999999997,0.0,0.0,0.0,0.0,0.0,0.0025,163.9514,0.0,0.0,1.0,535.6427999999996,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,38.37982494686325,2.757827813036458,41.13765275989971,3.2403055197990622,2.4851500762166068,5.725455596015669,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-23.686099999999946,0.0,2,2560.0,333.6745000000003,2999.4314,165.8762,0.0,0.0,0.0,0.0,0.0,176,350.0968,2560.0,333.6745000000003,165.8762,271.0,0.0,0.0,0.015,4.703619755409235,5.4404093283582275,2.0700214932126717,1.3337476190476187,3.365661855670133,3.6883279999999994,1072.0,1063.0,536.0,2046.6666666666667,1455.0,204.0,148,0,0,1,55,33.0,2048.0,19275.127399999976,2862.6952,6122.6993,589,179,0,99,0.1286961285978001,0.5330428278356003,0.343886594182482,0,7844.552800000009,4999.947800000017,55,0,442.0,0,0,0,0.0,0,0.0,61581.421703472195,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,914.949500000001,177.0,2455.7464,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,148,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5892005216380782,413,23392.115208333296,99,38189.3064951389,4,6303.075529861109,4,4178.3677,2,592.5988,-1239.3523999999998,56.3175173611111,0,0,536,536,5 + government bonds,sumsy,8,-4.3655745685100555e-11
4,512,4,4,33415.18850000002,0.0,11636.906400000005,1673.3896000000002,1767.1002999999996,,1767.1002999999996,0.0,0.0,0.0,0.0,0.0,0.0025,184.2923,0.0,0.0,1.0,527.7479000000004,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,46.3783604144523,2.867353837723076,49.24571425217538,3.160911022264003,2.771519218582201,5.9324302408462035,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-47.64992499999984,0.0,3,2560.0,375.12800000000016,2861.7019999999998,186.4726,0.0,0.0,0.0,0.0,0.0,177,118.1069,2560.0,375.12800000000016,186.4726,271.0,0.0,0.0,0.015,4.559952100089378,5.406101669758785,2.132294375000003,1.4290630555555566,3.2685202618335016,3.5776781599999987,1078.0,1119.0,539.0,2046.6666666666667,1540.0,204.0,126,0,0,1,70,59.0,2048.0,19757.18519999998,3094.8462,7361.5059,589,179,0,99,0.12308407264205834,0.5588405704681332,0.3232894975345868,0,8012.846499999982,5102.586400000014,70,0,640.0,0,0,0,0.0,0,0.0,68906.7126809524,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1364.6684000000018,256.0,2899.252,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6163828001037188,413,23859.12659999998,99,45047.58608095238,4,8742.111790476185,4,4343.470300000001,2,697.9425000000001,-1582.8079999999995,66.68738095238093,0,0,539,539,5 + government bonds,sumsy,8,-4.3655745685100555e-11
5,512,4,4,35557.67179999997,0.0,12671.997300000003,1576.9909000000002,2094.4348,,2094.4348,0.0,0.0,0.0,0.0,0.0,0.0025,205.0967,0.0,0.0,1.0,511.6268000000003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,51.23276522741938,3.3547333817633582,54.58749860918273,3.078565620114898,2.991614242349484,6.070179862464382,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-83.45114999999967,0.0,6,2560.0,417.51670000000024,4437.130999999999,207.53790000000006,0.0,0.0,0.0,0.0,0.0,181,232.90390000000002,2560.0,417.51670000000024,207.53790000000006,271.0,0.0,0.0,0.015,4.454995914577515,5.276678102189809,2.1854771875000005,1.5664111111111105,3.028283071649586,3.4703478151999994,1096.0,1077.0,548.0,2046.6666666666665,1558.0,204.0,122,0,0,1,58,55.0,2048.0,20471.528499999993,3278.4509,8328.5643,589,179,0,99,0.11320283450889712,0.5606900281761373,0.2958629818779306,0,7747.821099999988,4798.030599999984,58,0,640.0,0,0,0,0.0,0,0.0,72914.88688611104,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1398.7054000000003,256.0,3041.1275,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,122,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.621582939552229,413,24504.04480000002,99,48410.84208611111,4,10129.469047222232,4,4322.6039,2,913.4114,-1889.3381,71.45315277777783,0,0,548,548,5 + government bonds,sumsy,8,-4.3655745685100555e-11
6,512,4,4,37657.582900000016,0.0,12388.607100000005,320.99210000000005,2389.189,,2389.189,0.0,0.0,0.0,0.0,0.0,0.0025,226.3876,0.0,0.0,1.0,499.85089999999957,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,57.733702071674436,3.610894136807874,61.34459620848231,4.370237717337378,3.135211827388964,7.505449544726343,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-129.83624999999972,0.0,12,2560.0,460.0889000000002,5706.733300000001,228.82510000000002,0.0,0.0,0.0,0.0,0.0,183,412.5362,2560.0,460.0889000000002,228.82510000000002,271.0,0.0,0.0,0.015,4.31508336520076,5.192740630797761,2.2442339062499985,1.6289874999999998,2.9967079491010504,3.366237380743999,1078.0,1046.0,539.0,2046.6666666666667,1540.0,204.0,126,0,0,1,54,24.0,2048.0,22312.5481,3413.8976,7995.547699999999,589,179,0,99,0.13384127574966098,0.5696646435333688,0.331084502139555,0,7615.4393000000155,4513.577199999995,54,0,640.0,0,0,0,0.0,0,0.0,78243.6350222222,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1436.309699999999,256.0,3296.6657,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6316179595452238,413,25078.249699999997,99,53165.3853222222,4,11844.86024444444,4,4208.178399999999,2,1069.7033,-2162.8014,78.32055555555553,0,0,539,539,5 + government bonds,sumsy,8,-4.3655745685100555e-11
7,512,4,4,39714.85529999997,0.0,12083.778299999993,300.8579,2646.9545999999996,,2646.9545999999996,0.0,0.0,0.0,0.0,0.0,0.0025,247.6976,0.0,0.0,1.0,484.1532,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,63.03011357816239,3.5235444946233923,66.55365807278578,6.265503653132187,3.1231521210897575,9.388655774221945,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-173.94447500000092,0.0,17,2560.0,502.7276000000003,4638.272600000001,250.14100000000016,0.0,0.0,0.0,0.0,0.0,184,504.94780000000003,2560.0,502.7276000000003,250.14100000000016,271.0,0.0,0.0,0.015,4.221662361623635,5.122139703153995,2.311215000000002,1.5900213888888888,2.986916831326071,3.2652502593216797,1078.0,1084.0,539.0,2046.6666666666667,1540.0,204.0,125,0,0,1,48,37.0,2048.0,23984.87129999998,3573.4881,7771.9139000000005,589,179,0,99,0.17055737131244442,0.5764069313745237,0.3272955331851861,0,7551.198600000012,4576.282000000021,48,0,640.0,0,0,0,0.0,0,0.0,81186.12627499983,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1479.1776000000013,256.0,3631.9366,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,125,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6399063424113502,413,25529.653500000015,99,55656.47277500002,4,12915.188825,4,4203.128100000001,2,1138.7745,-2399.2569999999996,81.44937499999999,0,0,539,539,5 + government bonds,sumsy,8,-4.3655745685100555e-11
8,512,4,4,41731.39419999997,0.0,11725.028800000004,249.0917,2872.9296999999997,,2872.9296999999997,0.0,0.0,0.0,0.0,0.0,0.0025,268.0549,0.0,0.0,1.0,473.67269999999934,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,63.403517315893225,3.7233834211728394,67.12690073706605,7.744466920663386,3.272152845612964,11.01661976627635,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-215.93187500000076,0.0,19,2560.0,543.4610999999998,1845.6272000000001,270.50530000000015,0.0,0.0,0.0,0.0,0.0,185,549.0612,2560.0,543.4610999999998,270.50530000000015,271.0,0.0,0.0,0.015,4.130560853432258,5.136594756554316,2.383673281250005,1.5492774647887322,2.9023180067369276,3.167292751542029,1068.0,1078.0,534.0,2046.6666666666665,1530.0,204.0,129,0,0,2,52,41.0,2048.0,25487.96379999998,3826.9423,7508.5535,589,179,0,99,0.19768493889677674,0.5728970790051675,0.346091805282426,0,7338.920900000003,4452.7445999999745,52,0,640.0,0,0,0,0.0,0,0.0,80991.09050277782,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1525.5509000000031,256.0,4090.8185,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,129,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.640436413404893,413,25924.7491,99,55066.34140277777,4,13170.575730555554,4,4158.351099999999,2,1159.5475,-2604.8747999999996,79.50106944444444,0,0,534,534,5 + government bonds,sumsy,8,-4.3655745685100555e-11
9,512,4,4,43707.85109999998,0.0,11333.34859999999,217.31680000000003,3068.3219999999997,,3068.3219999999997,0.0,0.0,0.0,0.0,0.0,0.0025,288.0932,0.0,0.0,1.0,463.44719999999984,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,64.04569136920992,3.803575959358996,67.84926732856893,9.326933565124508,3.3662306601006784,12.693164225225186,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-255.58507499999973,0.0,24,2560.0,583.5431000000009,4352.6294,290.5455000000003,0.0,0.0,0.0,0.0,0.0,186,569.6667,2560.0,583.5431000000009,290.5455000000003,271.0,0.0,0.0,0.015,4.037691385767825,5.075763754646818,2.4358484375000025,1.515584958217269,2.797101773572852,3.072273968995767,1076.0,1068.0,538.0,2045.3333333333335,1538.0,204.0,127,0,0,1,51,35.0,2048.0,26910.77160000002,4087.3581999999997,7236.6116999999995,589,179,0,99,0.21822519678792807,0.5683917979354836,0.33350140710952414,0,7165.336599999999,4312.254400000037,51,0,640.0,0,0,0,0.0,0,0.0,80665.76113802807,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1558.9430000000016,256.0,4615.349700000001,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,127,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.640377696704379,413,26311.910200000006,99,54353.85093802816,4,13417.012909859153,4,4104.9928,2,1156.8126,-2780.2288,77.46387323943661,0,0,538,538,5 + government bonds,sumsy,8,-4.3655745685100555e-11
10,512,4,4,45644.31239999999,0.0,10916.603499999996,193.3559,3233.2567,,3233.2567,0.0,0.0,0.0,0.0,0.0,0.0025,308.0403,0.0,0.0,1.0,453.0279000000003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,65.13789517679538,3.907169372392991,69.04506454918837,11.194214954970473,3.443294074563245,14.637509029533717,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-292.87449999999967,0.0,29,2560.0,623.5387000000002,4254.1467,310.52590000000015,0.0,0.0,0.0,0.0,0.0,187,578.742,2560.0,623.5387000000002,310.52590000000015,271.0,0.0,0.0,0.015,4.213901612903225,4.972851024208555,2.4984092187500027,1.4871544692737426,3.1670363759655182,4.828899350370944,1074.0,1054.0,537.0,2046.6666666666667,1536.0,204.0,128,0,0,1,41,25.0,2048.0,28668.69059999999,4329.5178000000005,7146.817599999999,589,179,0,99,0.23925093780595463,0.5651608691656782,0.3590986756918084,0,7679.576400000013,4441.452299999999,41,0,640.0,0,0,0,0.0,0,0.0,80877.79881949854,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1598.9819000000016,256.0,4612.5041,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.639639494788131,413,26870.700899999978,99,54007.09791949854,4,13708.303976044557,4,4233.7901,2,1142.5475,-2925.2164,75.77924791086345,0,0,537,537,5 + government bonds,sumsy,8,-4.3655745685100555e-11
