round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,32989.85800000005,0.0,33111.98439999998,0.0,3511.3599999999997,,0.0,0.0,3511.3599999999997,0.0,3511.3599999999997,0.0,0.00375,148.7644,0.0,0.0,1.0,3940.0011999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,28,0,15.367196227713302,-5.563160661977641,9.804035565735662,4.471391176470588,2.9818307843137255,7.4532219607843135,0.0,0.0,0.0,0.0,0,0,0.0,0.0,46.332,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,122.12639999999999,122.12639999999999,0.0,0,28.512,529.2139999999999,28.512,577.4055999999621,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3280.0,0.0,0.005,5.0,5.200000000000013,NaN,0.75,3.729700272479588,3.9200000000000013,320.0,89.0,160.0,2048.0,734.0,204.0,328,0,0,0,56,33.0,2048.0,20883.57400000006,3994.4628,4196.8460000000005,768,0,0,128,0.14270716299940456,0.5654000929608649,0.07190643290875243,0,5708.960000000015,445.0,56,0,0.0,0,0,0,0.0,0,0.0,17307.102709626415,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,208.0,3766.2108000000003,4,341.4368,238.94200000000137,0.2739112021119501,5120.0,83.671875,-0.19939136718749997,142,0,0.0,0,1451.704535485852,4284.0,134,0.08771287677479628,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,6,6,6073.7262,3072,4532.639999999999,4532.639999999999,5646.420000000002,180.75400000000036,77.86340000000018,102.89060000000018,179.87640000000002,161.56040000000002,5778.549799999997,5883.7934,0.6324596199959807,384,10971.831147253573,128,6335.271562372835,4,183.15999999999997,4,3328.2,2,114.28640000000101,148.7644,11.25,0,0,160,160,9 co-ops (side rung),debt,5,-2.1827872842550278e-11
2,512,4,4,32904.39549999995,0.0,33130.669700000006,0.0,4906.1719,,0.0,0.0,4906.1719,0.0,1394.8119000000002,13.16755,0.00375,397.399,0.0,0.0,1.0,2340.0011999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,24,0,21.9939359493342,-3.0980517949494852,18.895884154384717,4.663211176470588,2.692143333333333,7.355354509803921,0.0,0.0,0.0,0.0,0,0,0.0,0.0,369.1638,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,226.27419999999995,283.24100000000004,0.0,4,880.5473999999999,966.0099000000001,3428.0657000000006,1206.9914999999767,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,1680.0,0.0,0.005979063414107828,4.821489292364967,5.509869298245634,1.8500000000000014,1.1273603070175433,3.55388995633186,3.802399999999999,912.0,1074.0,456.0,2048.0,1374.0,204.0,168,0,0,2,52,33.0,2048.0,19047.880999999983,4890.2234,4858.2201,768,0,0,128,0.16112354868452972,0.576360078006299,0.09586927748083762,0,6267.529799999965,5178.279499999974,52,0,640.0,0,0,0,0.0,0,0.0,24584.233578057203,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1184.000000000001,256.0,3710.672,4,94.02759999999999,65.77919999999979,0.4833593348660763,5120.0,72.01822916666667,-0.17143384440104167,250,0,0.0,0,2017.824968793209,3687.3333333333335,250,0.3796110030700648,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,168,0.0,6,6,6524.4121000000005,3072,4532.639999999999,4532.639999999999,6166.2776,8595.61644550417,4502.9698727520845,4092.6465727520854,47.0148,47.0128,9081.650099999995,6934.703399999999,0.6220682146315262,384,11794.30951474412,128,12789.92406331312,4,183.15999999999997,4,3328.2,2,218.826199999998,397.399,11.25,0,0,456,456,9 co-ops (side rung),debt,5,-2.1827872842550278e-11
3,512,4,4,33343.07189999997,0.0,33542.20970000002,0.0,5715.4249,,0.0,0.0,5715.4249,0.0,809.253,18.398033,0.00375,347.9619,0.0,0.0,1.0,2066.080478957167,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,20,0,27.21716369984048,-1.1624384315631149,26.05472526827737,4.647691561510776,2.575231677989266,7.222923239500042,0.0,0.0,0.0,0.0,0,0,0.0,0.0,295.51469999999995,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,283.6897999999999,449.58110000000016,0.0,9,1464.8290000000004,1026.1526,2561.372,1225.7891000000395,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,1429.6470000000008,0.0,0.008097566394064377,4.734960518999128,5.440981412639377,1.8856120689655078,1.3427343283582083,3.496362207033732,3.688327999999999,1076.0,1079.0,538.0,2045.3333333333335,1468.0,204.0,144,0,0,0,52,36.0,2048.0,18415.05800000001,6169.469999999999,4853.6292,761,2,5,127,0.1563112325615197,0.5748952895749109,0.12105528411082855,0,6404.182600000006,5109.022400000059,52,0,464.0,0,0,0,0.0,0,0.0,30883.930161260338,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,874.9239999999957,186.0,3556.9528,4,174.87740000000002,122.44520000000082,0.5458502613305578,5120.0,68.96158854166667,-0.16726096664696408,145,0,0.0,0,598.3236361775716,3530.8333333333335,253,0.48521840481397427,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,144,0.0,6,6,7111.6957,3072,4532.639999999999,4532.639999999999,5848.8022999999985,11161.346161934012,5801.638609520787,5359.707552413223,86.4105,88.46690000000001,8864.234100000003,7468.3562999999995,0.6105436747323159,385,13876.760333854185,127,17007.169827406153,4,183.15999999999997,4,3328.2,2,276.633823026318,347.9619,16.91040460526315,0,0,538,538,9 co-ops (side rung),debt,5,-2.1827872842550278e-11
4,512,4,4,32399.13940000001,0.0,32595.102000000003,0.0,6499.5912,,0.0,0.0,6499.5912,0.0,784.1663,21.432731750000002,0.00375,333.6745,0.0,0.0,1.0,1984.3809017945462,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8,0,32.14417506500535,-0.08811672742963503,32.05605833757571,4.173655108119051,2.4445047190762996,6.618159827195351,0.0,0.0,0.0,0.0,0,0,0.0,0.0,293.1309,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,381.2195999999999,617.5688999999993,0.0,22,127.3382,1071.2706999999998,3309.6928,1207.3599000000781,0.0,0.0,0.0,0.0,0.0,7,33.2311,0.0,0.0,0.0,0.0,1359.3656000000005,0.0,0.010222513291770582,4.609396921641842,5.428262686567168,1.862881318681323,1.4414660412757996,3.377753165335979,3.5776781599999983,1072.0,1072.0,536.0,2048.0,1497.0,204.0,137,0,0,1,48,37.0,2048.0,17630.20080000001,6137.051,4750.1767,760,3,5,127,0.1446204282064949,0.5870539542343145,0.1249646066422001,2,6310.478500000012,4941.273500000055,48,0,546.0,0,0,0,0.0,0,0.0,36103.87748216105,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1017.1332000000023,219.0,3514.8053,4,135.29940000000002,94.75479999999936,0.43433199248133864,5120.0,50.950520833333336,-0.16150967724852297,222,0,0.0,0,413.40590984229743,2608.6666666666665,253,0.5319282275860707,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,137,0.0,6,6,7015.836200000001,3072,4532.639999999999,4532.639999999999,5532.539300000003,11265.2880693446,5819.2643846722995,5446.0236846723,67.2269,68.0725,8425.153799999996,7386.196800000001,0.6156549649612442,385,17870.169558441088,127,18233.70792371996,4,183.15999999999997,4,3328.2,2,323.2347746268646,333.6745,20.141014925373124,0,0,536,536,9 co-ops (side rung),debt,5,-2.1827872842550278e-11
5,512,4,4,31495.139399999993,0.0,31786.925000000017,0.0,7234.7776,,0.0,0.0,7234.7776,0.0,735.1863999999999,24.373517375000002,0.00375,311.9122,0.0,0.0,1.0,1900.359530941199,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8,0,34.849258697775404,-0.12483117241658719,34.72442752535881,4.843348078936579,2.1844083018075886,7.027756380744168,0.0,0.0,0.0,0.0,0,0,0.0,0.0,290.8942,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,477.04260000000016,785.2436999999995,0.0,33,179.1438,1083.1438000000003,4212.397599999999,1167.785000000013,0.0,0.0,0.0,0.0,0.0,6,26.456,0.0,0.0,0.0,0.0,1291.9199000000017,0.0,0.013016110566762185,4.491156986301358,5.3251657355679916,1.8456229050279434,1.5650171052631598,3.2597101183880093,3.4703478152,1074.0,1095.0,537.0,2046.6666666666667,1495.0,204.0,137,0,0,2,63,47.0,2048.0,17514.442299999984,6057.3522,4776.3207,763,5,0,127,0.15808330085207256,0.605192306932226,0.14135504015838252,3,6141.902599999995,4917.816899999987,63,0,537.0,0,0,0,0.0,0,0.0,37593.451286240976,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,991.0995000000056,215.0,2808.656,4,70.0033,49.00989999999968,0.4404022389766575,5120.0,50.91796875,-0.16582865264911661,13,0,0.0,0,50.491277664230374,2607.0,253,0.624633049897587,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,137,0.0,6,6,6645.9005,3072,4532.639999999999,4532.639999999999,5306.710900000002,11116.580779267544,5732.270892221544,5384.309887046,32.0266,37.9767,8550.964700000002,6996.4284,0.6289211318604604,385,17702.39488039179,127,19891.056405849205,4,183.15999999999997,4,3328.2,2,311.96949999999924,311.9122,21.621990619136994,0,0,537,537,9 co-ops (side rung),debt,5,-2.1827872842550278e-11
6,512,4,4,30706.624099999997,0.0,30950.337200000013,0.0,7843.432400000001,,0.0,0.0,7843.432400000001,0.0,608.6548,27.13035125,0.00375,287.8669,0.0,0.0,1.0,1755.9542365072482,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8,0,37.05717333795422,0.2711738800186104,37.328347217972826,4.801043312770863,2.270319388837669,7.071362701608532,0.0,0.0,0.0,0.0,0,0,0.0,0.0,276.701,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,428.97010000000023,945.5303999999975,0.0,48,268.0232,1056.5385,4146.4508,1150.3839999999605,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,1163.1195,0.0,0.015,4.373997253787889,5.238800000000005,1.882680782312928,1.6314577570093458,3.19190924227213,3.3662373807439985,1086.0,1056.0,543.0,2045.3333333333335,1528.0,204.0,128,0,0,2,48,33.0,2048.0,17255.113600000008,5922.6643,4597.974200000001,760,8,0,127,0.15992566434679278,0.6084334984304942,0.1505786335257291,3,6050.671000000014,4618.94110000001,48,0,588.0,0,0,0,0.0,0,0.0,39468.831646199775,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1107.0163000000016,236.0,2643.0051,4,37.2402,26.10599999999992,0.4403403629605179,5120.0,50.8203125,-0.1670447247207374,15,0,0.0,0,48.18087088380879,2602.0,253,0.6909169862452712,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0.0,6,6,6462.034699999999,3072,4532.639999999999,4532.639999999999,5107.526500000002,11323.604913422078,5915.3721113274505,5408.232802094628,31.2516,5.9886,8249.566599999996,6701.6089,0.6293632122529769,385,17604.49091994852,127,21864.340726251245,4,183.15999999999997,4,3328.2,2,237.83300000000085,287.8669,23.4752565789474,0,0,543,543,9 co-ops (side rung),debt,5,-2.1827872842550278e-11
7,512,4,4,30065.469499999967,0.0,30146.86459999999,0.0,8557.2387,,0.0,0.0,8557.2387,0.0,713.8063000000001,29.412751250000003,0.00375,296.1493,0.0,0.0,1.0,1795.8464226883193,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8,0,47.57211653396613,0.25848403975891715,47.83060057372505,5.022349997822956,2.1595515499785614,7.181901547801517,0.0,0.0,0.0,0.0,0,0,0.0,0.0,285.5862,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,364.5397000000002,1097.9265999999973,0.0,63,357.3401999999999,998.4948000000004,3150.0085,1119.7355000000232,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,1218.4806000000015,0.0,0.015,4.267689589041101,5.178021951219487,1.8699887915936948,1.5909170825335908,3.1056865672884255,3.26525025932168,1066.0,1095.0,533.0,2045.3333333333333,1500.9999999999998,204.0,136,0,0,1,55,50.0,2048.0,16848.11760000001,5810.2498000000005,4600.860299999999,752,12,4,126,0.17027524260150817,0.6330529997684691,0.1483152305219777,3,5885.395999999989,4673.120100000006,55,0,571.0,0,0,0,0.0,0,0.0,46099.699918933795,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1067.7635999999998,229.0,2510.0924999999997,4,35.251000000000005,24.696900000000202,0.6171942509753218,5120.0,50.690104166666664,-0.16488487414208527,31,0,0.0,0,99.4641520259182,2595.3333333333335,253,0.6800326253863371,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,136,0.0,6,6,6409.8482,3072,4532.639999999999,4532.639999999999,4908.396799999998,10782.157810244224,5446.485369484442,5335.672440759781,15.4021,19.8489,8073.20469999999,6511.3544,0.647670219044209,386,21434.072297620656,126,24665.627621313182,4,183.15999999999997,4,3328.2,2,173.79436542056047,296.1493,24.471866355140186,0,0,533,533,9 co-ops (side rung),debt,5,-2.1827872842550278e-11
8,512,4,4,29275.662499999977,0.0,29297.750499999973,0.0,9284.1962,,0.0,0.0,9284.1962,0.0,726.9575,32.0894795,0.00375,271.0789,0.0,0.0,1.0,1778.4257399762892,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8,0,46.25928484612942,0.10597916879455073,46.36526401492397,5.308531291419567,2.2556547548455685,7.564186046265135,0.0,0.0,0.0,0.0,0,0,0.0,0.0,266.2080000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,424.5516000000001,1247.6693999999975,0.0,74,201.87670000000003,991.6837000000005,4132.425799999998,1058.4888000000337,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,1215.0911999999996,0.0,0.015,4.208159811320729,5.159382003710598,1.8597660305343529,1.5552155470249533,2.971352516122321,3.167292751542029,1078.0,1060.0,539.0,2046.6666666666665,1494.0,204.0,138,0,0,0,52,34.0,2048.0,16709.85659999999,5748.9372,4442.232400000001,745,18,5,125,0.17894802292636802,0.6346141441322051,0.14369468560369358,1,5677.149999999991,4460.649399999973,52,0,524.0,0,0,0,0.0,0,0.0,43940.21589113854,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,974.5174000000009,210.0,2103.5574,4,16.3314,11.46800000000008,0.5531910809405484,5120.0,50.559895833333336,-0.1659856437190099,17,0,0.0,0,48.44993830063661,2588.6666666666665,253,0.7257624243946834,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,138,0.0,6,6,6143.7799,3072,4532.639999999999,4532.639999999999,4672.156100000003,10797.995176189494,5437.065756347241,5360.929419842252,8.7991,7.5323,8282.785299999998,6150.9471,0.6537822743810029,387,21674.587572841097,125,22265.628318297506,4,183.15999999999997,4,3328.2,2,136.31058119002086,271.0789,23.863756238003862,0,0,539,539,9 co-ops (side rung),debt,5,-2.1827872842550278e-11
9,512,4,4,28478.599699999995,0.0,28507.788099999998,0.0,10038.365500000002,,0.0,0.0,10038.365500000002,0.0,754.1693,34.81554812500001,0.00375,294.0714,0.0,0.0,1.0,1756.501371362138,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8,0,48.06673602566428,-0.029197412111039184,48.037538613553245,5.597456425752488,1.9750123616266293,7.572468787379117,0.0,0.0,0.0,0.0,0,0,0.0,0.0,289.21189999999996,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,431.65199999999993,1392.3525000000004,0.0,99,175.2802,972.3429999999996,3643.4044999999996,1060.1391000000876,0.0,0.0,0.0,0.0,0.0,19,42.1734,0.0,0.0,0.0,0.0,1201.0233999999994,0.0,0.014870578187431559,4.26539990817263,5.132809611829949,1.8627834000000034,1.5227300766283527,2.8978809778859405,3.0722739689957668,1082.0,1089.0,541.0,2048.0,1488.0,204.0,140,0,0,1,58,42.0,2048.0,15864.631599999993,5822.965099999999,4525.6712,749,19,0,126,0.18461744015536974,0.6463734565762216,0.1460151016232729,5,5541.8673000000035,4645.020499999994,58,0,500.0,0,0,0,0.0,0,0.0,43955.29727503003,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,931.3917000000017,200.0,1929.087,4,16.2543,11.408200000000095,0.5677482944701858,5120.0,50.4296875,-0.14967970270763353,18,0,0.0,0,50.38578757101136,2582.0,253,0.8680154974844783,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,140,0.0,6,6,5879.3241,3072,4532.639999999999,4532.639999999999,4518.0359999999955,10194.165792176853,5375.139699962897,4819.026092213955,8.0761,8.1782,8057.133599999997,6398.3992,0.6667679036703846,386,21375.90774675037,126,22579.38952827969,4,183.15999999999997,4,3328.2,2,66.65760000000091,294.0714,23.3282332053743,0,0,541,541,9 co-ops (side rung),debt,5,-2.1827872842550278e-11
10,512,4,4,28261.938,0.0,28258.896900000025,0.0,10901.1512,,0.0,0.0,10901.1512,0.0,862.7857000000001,37.64354775,0.00375,256.6457,0.0,0.0,1.0,1861.8574985775126,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8,0,49.19148585749633,-0.19212917497243792,48.99935668252389,5.7150294929680525,1.8380112322305548,7.553040725198607,0.0,0.0,0.0,0.0,0,0,0.0,0.0,254.39000000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,399.4224999999998,1533.7171000000008,0.0,123,753.5026,970.1643000000004,3841.1376999999998,999.2899999999745,0.0,0.0,0.0,0.0,0.0,19,0.0,0.0,0.0,0.0,0.0,1298.8224999999998,0.0,0.015,4.206603561387056,5.081374768089099,1.8820943283582081,1.5403083495145644,2.889252643881471,2.9801057499258943,1078.0,1067.0,539.0,2046.6666666666667,1439.0,204.0,151,0,0,1,50,36.0,2048.0,15820.20950000001,6293.8179,4515.1955,744,24,0,126,0.1914648241220951,0.6532026175495704,0.14833752850322823,4,5507.073600000017,4488.445999999989,50,0,335.0,0,0,0,0.0,0,0.0,45090.93203483424,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,630.5015999999997,155.0,1376.0693999999999,4,7.6351,5.385299999999967,0.6032004771800829,5120.0,50.29296875,-0.14995061500987786,22,0,0.0,0,93.84746557146883,2575.0,252,0.892665956807963,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,151,0.0,6,6,5861.3288,3072,4532.639999999999,4532.639999999999,4254.228099999999,9364.896433132857,4947.883831826447,4417.012601306412,5.0623000000000005,2.5728,7996.660899999995,6323.754,0.6769325815539644,386,22368.39469532558,126,22722.537339508668,4,183.16,4,3328.2,2,-7.35330000000037,256.6457,22.84095114942529,0,0,539,539,9 co-ops (side rung),debt,5,-2.1827872842550278e-11
