round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,26746.691699999985,0.0,1508.1001999999999,1170.6001999999999,561.0,,561.0,0.0,0.0,0.0,0.0,0.0,0.0025,117.8267,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,47.74564383946958,3.769880583639707,51.515524423109284,8.20397568627451,2.5013023529411766,10.705278039215688,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,51,2560.0,238.5883000000006,3690.3004999999994,118.80510000000027,0.0,0.0,0.0,0.0,0.0,0,258.1752,2560.0,238.5883000000006,118.80510000000027,274.0,0.0,2519.7,0.0,5.0,5.200000000000013,2.0,0.75,3.594822888283399,3.9200000000000013,320.0,99.0,160.0,2048.0,734.0,204.0,328,0,0,0,60,39.0,2048.0,19320.092,566.679,3920.3724,632,136,0,107,0.21986659745849035,0.5309210433234837,0.6644641165331444,4,5134.936399999997,495.0,60,0,520.0,0,0,0,0.0,0,0.0,63058.75069828617,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1040.0,208.0,2563.5464,4,27.879000000000005,27.912799999999482,0.8145865949404957,5120.0,86.75455729166667,0.1570634505208333,286,0,0.0,0,4218.528982916102,4441.833333333333,277,0.4264223673190803,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,6,6,3434.3085,3072,720.0,120.0,0.0,2138.427600000001,1157.0527000000004,981.3749000000004,14.302,13.577000000000002,11753.670300000005,3616.2893000000004,0.5376200779133871,405,34116.950421441565,107,28941.800276844493,4,0.0,4,120.0,2,258.1752,-443.1733,37.5,0,0,160,160,9 co-ops (side rung),sumsy,9,-4.3655745685100555e-11
2,512,4,4,29009.5189,0.0,11165.089399999993,3891.844199999999,1004.1732999999999,,1004.1732999999999,0.0,0.0,0.0,0.0,0.0,0.0025,145.8768,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,64.23843468306367,3.553961796408404,67.79239647947209,7.4519149019607855,2.128640392156863,9.580555294117648,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-6.095999999999987,0.0,58,2560.0,297.17279999999994,10140.514600000002,147.68229999999994,0.0,0.0,0.0,0.0,0.0,54,393.9593,2560.0,297.17279999999994,147.68229999999994,274.0,0.0,1940.0446999999854,0.015,4.801413988657834,5.469989277899357,2.0554874172185444,0.9199710843373493,3.564162912785744,13.94099645833333,914.0,1058.0,457.0,2048.0,1181.0,204.0,216,0,0,1,48,26.0,2048.0,18349.40949999998,660.5779,7702.361900000001,477,291,0,82,0.22959293536164194,0.5787260799084923,0.5808019823674067,0,5550.112999999994,5079.895999999988,48,0,151.0,0,0,0,0.0,0,0.0,74238.8596237943,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,310.37860000000023,61.0,1757.3335,4,128.2049,128.21749999999878,0.8616022821794671,5120.0,75.1953125,0.16499234700520835,136,0,0.0,0,2228.838454932104,3850.0,311,0.5653800004326303,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,216,0.0,6,6,4228.6663,3072,720.0,120.0,314.87900000000013,9651.514559673098,5851.0012485013995,3800.513311171699,83.4427,44.7622,10840.698599999985,5891.607,0.5827411889777951,430,51860.03652718537,82,22378.823096609012,4,0.0,4,119.32500000000005,2,393.9593,-858.2964999999999,37.5,0,0,457,457,9 co-ops (side rung),sumsy,9,-4.3655745685100555e-11
3,512,4,4,31224.731500000027,0.0,14976.809802409625,1883.5786000000003,1397.0146,,1397.0146,0.0,0.0,0.0,0.0,0.0,0.0025,169.2608,0.0,0.0,1.0,538.7181000000003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,69.62226718990065,4.072072992532254,73.69434018243291,9.19867280322894,2.156375597947247,11.355048401176187,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-46.37502499999995,0.0,66,2560.0,344.78739999999976,8302.194400000004,171.34919999999974,0.0,0.0,0.0,0.0,0.0,178,485.38879999999995,2560.0,344.78739999999976,171.34919999999974,274.0,0.0,1269.2512000000042,0.015,4.732011828935435,5.39755802238808,2.1297339285714267,1.2406284263959384,3.4753502798689735,13.522766564583334,1072.0,1099.0,536.0,2046.6666666666665,1368.0,204.0,169,0,0,1,57,45.0,2048.0,19264.207599999983,737.1974,8906.025,429,339,0,74,0.26299133750283277,0.5671715462958486,0.4775423887260333,1,7483.150600000002,5200.481000000043,57,0,224.0,0,0,0,0.0,0,0.0,81182.4477286144,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,477.0603999999996,90.0,1662.6519,4,86.0568,86.06960000000092,0.8301954731621773,5120.0,66.57552083333333,0.20424135816704317,171,0,0.0,0,2929.114156496124,3408.6666666666665,336,0.7150702701281079,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,169,0.0,6,6,5460.8949999999995,3072,720.0,120.0,596.8030000000001,12123.305042239434,6384.498994997788,5738.806047241647,57.2286,28.8282,11707.202900000002,5844.9793,0.5708938977307085,438,56581.25097429878,74,24601.196754315675,4,0.0,4,118.64989999999989,2,485.38879999999995,-1227.7538,45.99855421686747,0,0,536,536,9 co-ops (side rung),sumsy,9,-4.3655745685100555e-11
4,512,4,4,33399.609900000025,0.0,14686.29840000001,649.6950000000002,1758.6843,,1758.6843,0.0,0.0,0.0,0.0,0.0,0.0025,189.4913,0.0,0.0,1.0,530.9304999999996,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,90.89146611695884,5.336904153650407,96.22837027060923,11.318807583073736,2.245942084256132,13.564749667329869,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-99.53112500000017,0.0,74,2560.0,385.12159999999994,5046.622799999998,191.5379,0.0,0.0,0.0,0.0,0.0,98,531.5942,2560.0,385.12159999999994,191.5379,274.0,0.0,494.50390000000095,0.015,4.597427057710536,5.36820517560071,2.2422338815789438,1.3909277227722776,3.335040232061389,13.11708356764583,1082.0,1057.0,541.0,2046.6666666666667,1410.0000000000002,204.0,159,0,0,1,45,34.0,2048.0,21518.95320000002,800.5148,8593.878900000002,438,330,0,83,0.2958327971998538,0.5747112548395166,0.42326536898165923,0,8176.1003999999975,4859.480400000036,45,0,304.0,0,0,0,0.0,0,0.0,101444.61868304847,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,681.6390999999988,122.0,1765.1775,4,65.36919999999999,65.35720000000057,1.1451755703443394,5120.0,62.034505208333336,0.28971912406805195,130,0,0.0,0,1577.2507755454387,3176.1666666666665,340,0.8317296152442011,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,159,0.0,6,6,5287.7148,3072,720.0,120.0,864.8745000000002,12709.080240019355,6766.217637928357,5942.862602090998,43.428799999999995,21.9404,13113.94199999999,5871.856400000001,0.57785842758446,429,65945.614450595,83,35499.004232453575,4,0.0,4,117.97489999999993,2,531.5942,-1569.193,62.03142131979692,0,0,541,541,9 co-ops (side rung),sumsy,9,-4.3655745685100555e-11
5,512,4,4,35533.69949999998,0.0,14447.352200000007,564.0542000000002,2085.0223,,2085.0223,0.0,0.0,0.0,0.0,0.0,0.0025,209.8999,0.0,0.0,1.0,515.8293000000006,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,101.44143095165822,6.247605823278962,107.6890367749372,12.632227415168192,2.4892729861148157,15.121500401283006,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-152.7923500000005,0.0,76,2560.0,425.9104000000001,2212.4548999999993,211.93639999999962,0.0,0.0,0.0,0.0,0.0,71,553.9209,2560.0,425.9104000000001,211.93639999999962,274.0,0.0,0.0,0.015,4.479249348230905,5.293097378277103,2.3435056680161956,1.5011813725490197,3.2977567816180495,12.723571060616456,1068.0,1074.0,534.0,2046.6666666666667,1472.0,204.0,143,0,0,0,50,34.0,2048.0,23389.29889999998,890.0858999999999,8433.2607,441,327,0,86,0.30553121554373774,0.5679773034925255,0.38725842672370114,0,8037.2393000000075,4810.713799999991,50,0,494.0,0,0,0,0.0,0,0.0,110790.3408694479,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1157.6918000000007,198.0,2057.2332,4,29.901199999999996,29.897699999999706,1.2473608796465956,5120.0,60.078125,0.33856712252475263,78,0,0.0,0,888.6083818297866,3076.0,340,0.9457445104274189,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,143,0.0,6,6,5396.9193,3072,720.0,120.0,1046.0316999999995,12330.35102083124,6550.823843446597,5779.527177384645,20.636499999999998,9.2647,14395.490200000007,5983.660499999999,0.5713381348147268,426,69893.12060393351,86,40897.22026551445,4,0.0,4,117.2998,2,553.9209,-1875.1224000000002,69.54638613861388,0,0,534,534,9 co-ops (side rung),sumsy,9,-4.3655745685100555e-11
6,512,4,4,37626.605500000005,0.0,14299.304300000009,549.8106000000001,2377.6917,,2377.6917,0.0,0.0,0.0,0.0,0.0,0.0025,230.394,0.0,0.0,1.0,502.5693000000005,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,109.39932397424928,6.855857455493091,116.25518142974238,13.481862217130267,2.697323232988839,16.179185450119107,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-205.51327499999965,0.0,82,2560.0,467.0939999999997,3283.3284999999987,232.49619999999985,0.0,0.0,0.0,0.0,0.0,58,564.2988,2560.0,467.0939999999997,232.49619999999985,274.0,0.0,0.0,0.015,4.37366874427128,5.258253445065178,2.399121350078494,1.6380323809523805,3.2809723627827365,12.341863928797963,1074.0,1091.0,537.0,2048.0,1535.0,204.0,127,0,0,0,56,45.0,2048.0,24730.400799999985,1374.4691,8256.7014,441,327,0,86,0.30661068707221895,0.5615834320665483,0.3358166174045445,0,7736.435700000014,4771.672599999966,56,0,637.0,0,0,0,0.0,0,0.0,117411.34298559165,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1528.2403000000006,255.0,2470.3414,4,18.6553,18.63909999999996,1.301732701643057,5120.0,59.1796875,0.3841583815870098,54,0,0.0,0,351.31028279911664,3030.0,340,1.0499548354723112,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,127,0.0,6,6,5833.798500000001,3072,720.0,120.0,1223.1428999999994,12098.415820024906,6319.161297448214,5779.254522576693,13.635,5.0203,15377.414599999993,6267.713400000001,0.5651065600163248,426,73291.48452844661,86,44119.85845714504,4,0.0,4,116.62470000000008,2,564.2988,-2147.2977,75.05906862745098,0,0,537,537,9 co-ops (side rung),sumsy,9,-4.3655745685100555e-11
7,512,4,4,39680.825199999934,0.0,13947.265000000007,358.67580000000004,2638.0247999999997,,2638.0247999999997,0.0,0.0,0.0,0.0,0.0,0.0025,249.6691,0.0,0.0,1.0,490.7270999999996,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,123.06503300291276,7.641145722508259,130.706178725421,14.471995124917509,2.734191754981733,17.206186879899242,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-257.7684749999994,0.0,85,2560.0,505.7803000000002,3063.3728999999994,251.81740000000025,0.0,0.0,0.0,0.0,0.0,59,569.0790999999999,2560.0,505.7803000000002,251.81740000000025,274.0,0.0,0.0,0.015,4.284884022556386,5.191699259259249,2.4780614062499957,1.6093633802816936,3.196583549356201,11.971608010934021,1080.0,1064.0,540.0,2048.0,1542.0,204.0,126,0,0,0,47,38.0,2048.0,26144.642200000017,1873.9171999999999,7976.1997,441,327,0,86,0.3047352711554083,0.5638237221713276,0.3441389884425601,0,7602.2445000000125,4559.116599999995,47,0,640.0,0,0,0,0.0,0,0.0,128157.95576045707,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1585.9592999999973,256.0,2867.3179,4,49.6576,49.69130000000031,1.4774149404196364,5120.0,59.1796875,0.4277010853794641,4,0,0.0,0,16.689253616207182,3030.0,340,1.0299424643114474,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,6,6,6420.101100000001,3072,720.0,120.0,1248.2715,11981.467887218796,6006.340646782255,5975.127240436541,34.732,14.9256,16487.859700000015,6297.333699999999,0.5673687006682666,426,80004.34347926424,86,48153.61228119271,4,0.0,4,115.94970000000012,2,569.0790999999999,-2388.3556999999996,81.90161904761902,0,0,540,540,9 co-ops (side rung),sumsy,9,-4.3655745685100555e-11
8,512,4,4,41683.78120000005,0.0,13574.032400000002,342.3998,2869.1175,,2869.1175,0.0,0.0,0.0,0.0,0.0,0.0025,275.1033,0.0,0.0,1.0,480.7617999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,131.55161682910324,7.543197520046697,139.0948143491499,18.822526745899978,2.627225339844026,21.449752085744006,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-307.840275000002,0.0,89,2560.0,557.0439999999998,2754.9189,277.3823999999998,0.0,0.0,0.0,0.0,0.0,60,570.3543999999999,2560.0,557.0439999999998,277.3823999999998,274.0,0.0,0.0,0.015,4.378841847826088,5.180154307116128,2.5423914062500037,1.576855072463765,3.1494231289743944,11.612459770606002,1068.0,1104.0,534.0,2048.0,1530.0,204.0,129,0,0,0,64,54.0,2048.0,27146.338100000023,2385.0965,8098.3451000000005,441,327,0,86,0.37804181966403316,0.5691580539624488,0.3559271405492126,0,7444.328399999995,4834.241400000001,64,0,640.0,0,0,0,0.0,0,0.0,131209.29768813634,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1627.1305000000025,256.0,3208.5438,4,94.75489999999999,94.74700000000038,1.3147658145620944,5120.0,51.162109375,0.44931873821706364,117,0,0.0,0,1726.7912554702089,2619.5,340,1.2906230279613333,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,129,0.0,6,6,6846.8249,3072,720.0,120.0,1275.0145999999997,10653.714440681855,5437.037509555687,5216.67693112617,55.559200000000004,39.1957,17279.971999999987,6845.1605,0.5726234133010988,426,83336.0609564254,86,47873.23673171098,4,0.0,4,115.27469999999994,2,570.3543999999999,-2594.0141999999996,80.46816901408468,0,0,534,534,9 co-ops (side rung),sumsy,9,-4.3655745685100555e-11
9,512,4,4,43653.74720000004,0.0,13242.248599999997,389.41399999999993,3085.3227,,3085.3227,0.0,0.0,0.0,0.0,0.0,0.0025,291.5067,0.0,0.0,1.0,491.3085000000006,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,131.63920888970338,7.448106533635545,139.08731542333894,18.867739669618913,2.592978136926204,21.46071780654512,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-355.80900000000537,0.0,94,2560.0,590.0340000000003,3912.902700000001,293.84730000000013,0.0,0.0,0.0,0.0,0.0,61,569.7517,2560.0,590.0340000000003,293.84730000000013,274.0,0.0,0.0,0.015,4.373337524177952,5.2083882136280195,2.6309724999999875,1.6284856481481507,3.1402633432338685,11.264085977487822,1086.0,1034.0,543.0,2048.0,1548.0,204.0,125,0,0,2,38,28.0,2048.0,28497.302799999983,2921.6652999999997,7860.360500000001,441,327,0,86,0.36771848424283093,0.5690745249436613,0.3513680742379033,0,7491.683299999985,4522.031000000003,38,0,640.0,0,0,0,0.0,0,0.0,134157.44301456914,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1683.822399999992,256.0,3513.1602000000003,4,133.67329999999998,133.67530000000085,1.398840861123034,5120.0,51.015625,0.46878146229619494,13,0,0.0,0,45.49545741050677,2612.0,340,1.5059529979117148,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,125,0.0,6,6,6940.7551,3072,720.0,120.0,1354.8483999999999,10485.96303353422,5533.5817002234035,4952.381333310817,74.18809999999999,59.48519999999999,18323.004,7354.4309,0.5725757454850533,426,86273.63364396863,86,47883.80937060051,4,0.0,4,114.59960000000001,2,569.7517,-2793.8160000000003,78.84275362318826,0,0,543,543,9 co-ops (side rung),sumsy,9,-4.3655745685100555e-11
10,512,4,4,45585.27020000003,0.0,12905.659500000003,393.26900000000006,3284.5024,,3284.5024,0.0,0.0,0.0,0.0,0.0,0.0025,310.5679,0.0,0.0,1.0,490.68640000000033,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,138.70762104422005,7.785310678582435,146.49293172280247,19.22361590422099,2.651962352887061,21.87557825710805,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-402.2401250000021,0.0,98,2560.0,628.4769999999995,3324.2193,313.01469999999995,0.0,0.0,0.0,0.0,0.0,62,568.6173,2560.0,628.4769999999995,313.01469999999995,274.0,0.0,0.0,0.015,4.313663568075121,5.2365227443609115,2.676890156249998,1.623055121951221,3.1240448035470303,10.926163398163188,1064.0,1065.0,532.0,2045.3333333333333,1526.0,204.0,129,0,0,2,43,28.0,2048.0,29648.568900000006,3492.2713999999996,7806.1545,441,327,0,86,0.363024545017806,0.5698508805447537,0.3711354128545885,0,7356.174700000006,4594.051700000004,43,0,640.0,0,0,0,0.0,0,0.0,141000.72144183837,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1713.2096999999987,256.0,3759.0901999999996,4,162.6251,162.62250000000049,1.5210657981645885,5120.0,51.015625,0.5028981597222227,2,0,0.0,0,10.43757816473141,2612.0,340,1.647516925384634,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,129,0.0,6,6,7349.4447,3072,720.0,120.0,1460.3768000000005,9636.945374997278,5042.434437498638,4594.510937498639,86.4269,76.1982,19277.58590000001,7708.0714,0.5734597870304887,426,90988.6893420416,86,50012.03209979688,4,0.0,4,113.92450000000008,2,568.6173,-2973.9345,81.42428240740753,0,0,532,532,9 co-ops (side rung),sumsy,9,-4.3655745685100555e-11
