round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,113487.23550000043,0.0,3444.2851,2077.4100999999996,757.3501,,757.3501,0.0,0.0,0.0,0.0,0.0,0.0025,999.6972,2272.050000000002,0.0,1.0,757.3500000000007,424.11760000000066,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,91.34511984840513,13.722144299831518,105.06726414823665,41.19999709513435,2.9886788671023963,44.18867596223675,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,49,2560.0,2004.242899999996,3278.2501,1001.3200999999973,0.0,0.0,0.0,0.0,0.0,0,255.5134,2560.0,2004.242899999996,1001.3200999999973,274.0,0.0,0.0,0.0,6.75,7.019999999999987,2.700000000000026,1.0125000000000015,4.853010899182519,5.292000000000001,320.0,97.0,160.0,2048.0,734.0,204.0,328,0,0,0,60,37.0,2048.0,101153.16470000031,2322.725,5293.482,701,67,0,117,0.35590688619887767,0.4100812800503444,0.6610660160360544,0,4447.351100000002,654.75,61,1,520.0,0,0,0,0.0,0,0.0,187396.42943909735,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1404.0000000000134,208.0,3462.6532,4,48.21090000000001,48.210800000000006,1.1551124179467165,5120.0,71.61783854166667,0.19183512695312502,145,0,0.0,0,26404.07231381355,3666.8333333333335,119,0.7037214112377738,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,0,12,0.0,0,0.0,786.6668,1.0,1372.8180000000002,0.0,1372.8180000000002,0.0,48.21090000000001,23991.354699999985,11078.8602,0.42390844889127055,395,128503.096483734,117,58893.33295536391,4,0.0,4,0.0,2,255.5134,242.34709999999995,50.62500000000001,0,0,160,160,"E11 + government reserve, full money stock",sumsy,9,1.7462298274040222e-10
2,512,4,4,114029.9235999999,0.0,11479.41860000001,1626.0960000000002,719.4827,,719.4827,0.0,0.0,0.0,0.0,0.0,0.0025,1210.8886,2272.050000000002,0.0,1.0,757.3500000000007,353.72046666666733,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,121.4296334573004,13.308500618542487,134.73813407584288,50.126102251270886,2.533708206245461,52.65981045751635,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-20.774499999999996,0.0,51,2560.0,2017.3119000000002,2904.389,1005.3816000000002,0.0,0.0,0.0,0.0,0.0,0,405.68219999999997,2560.0,2017.3119000000002,1005.3816000000002,274.0,0.0,0.0,0.015,6.627439376770593,7.420165864332593,2.9611778125000128,1.514108461538461,4.733568168604739,5.13324,914.0,1059.0,457.0,2048.0,1376.0,204.0,168,0,0,2,48,26.0,2048.0,97680.7416,2936.3653999999997,7838.8401,571,197,0,96,0.45745753009951473,0.47195405055976214,0.3722562429528624,1,7768.422400000057,7018.458300000058,48,0,640.0,0,0,0,0.0,0,0.0,207472.7248844053,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1895.1538000000082,256.0,3957.4057,4,39.1876,39.188100000000006,1.2363663242969596,5120.0,59.646809895833336,0.23066832682291682,143,0,0.0,0,10302.702473006835,3053.9166666666665,171,1.5306004007320928,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,168,0.0,0,12,0.0,0,0.0,786.6668,213.73880000000003,13544.307885558452,0.0,13544.307885558452,0.0,39.1876,32408.996400000004,14732.611200000001,0.4833249520734122,416,158770.8466134557,96,48701.87827094919,4,0.0,4,0.0,2,405.68219999999997,491.4059,50.62500000000008,0,0,457,457,"E11 + government reserve, full money stock",sumsy,9,1.7462298274040222e-10
3,512,4,4,114560.35959999998,0.0,17687.286061538467,5276.3321000000005,681.6153,,681.6153,0.0,0.0,0.0,0.0,0.0,0.0025,1433.1543,2258.3004000000024,0.0,1.0,743.6004000000008,275.0487000000008,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,147.3469854261433,12.9280976119037,160.275083038047,44.22910776363685,2.47526883084681,46.70437659448366,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-56.7707,0.0,55,2560.0,2029.5639999999992,9106.3311,1008.7002000000003,0.0,0.0,0.0,0.0,0.0,0,486.13599999999997,2560.0,2029.5639999999992,1008.7002000000003,274.0,0.0,0.0,0.015,6.505182846715322,7.395230783582084,3.187659218750002,1.8177109717868323,4.674203649330924,4.979242800000001,1072.0,1096.0,536.0,2045.3333333333335,1533.9999999999998,204.0,128,0,0,2,56,44.0,2048.0,91944.14579999991,3288.5188999999996,12856.5927,551,217,0,93,0.4357951141087968,0.5140835210041066,0.3021461151877536,0,8729.441400000062,7129.680399999993,56,0,640.0,0,0,0,0.0,0,0.0,234537.54857144898,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,2040.1019000000013,256.0,4551.811900000001,4,117.46770000000001,117.46709999999997,1.487872162544852,5120.0,59.274088541666664,0.33730242750901424,110,0,0.0,0,1297.9843655269547,3034.8333333333335,171,1.8949538895248441,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0.0,0,12,0.0,0,0.0,786.6668,592.4486999999998,13444.356746233496,0.0,13444.356746233496,0.0,117.46770000000001,27356.20599999999,20696.9235,0.5245134451045301,419,172272.73590943267,93,62264.8126620163,4,0.0,4,0.0,2,486.13599999999997,751.5389999999999,75.70542307692305,0,0,536,536,"E11 + government reserve, full money stock",sumsy,9,1.7462298274040222e-10
4,512,4,4,115080.34019999999,0.0,17038.851699999996,273.6729000000001,643.7479,,643.7479,0.0,0.0,0.0,0.0,0.0,0.0025,1666.6223,2241.1363500000025,0.0,1.0,729.8814000000006,191.50468333333416,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,175.61639365128687,12.586839255205213,188.20323290649208,45.88966502539412,2.5248587217424903,48.41452374713661,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-143.67839999999993,0.0,57,2560.0,2040.0193999999992,2525.5510000000004,1011.4742999999999,0.0,0.0,0.0,0.0,0.0,0,549.6756,2560.0,2040.0193999999992,1011.4742999999999,274.0,0.0,0.0,0.015,7.359240926275992,7.360694814814802,3.359156093750003,1.9550080495356015,4.528629581972392,4.829865515999999,1080.0,1058.0,540.0,2045.3333333333335,1541.9999999999998,204.0,126,0,0,1,45,34.0,2048.0,90567.8459999999,3612.1196,13439.6143,551,217,0,93,0.4457839260575225,0.5491861838658696,0.3298388057954158,0,8622.717499999986,7786.076899999999,45,0,640.0,0,0,0,0.0,0,0.0,260255.9719684851,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,2149.8599000000017,256.0,5244.462399999999,4,201.8749,201.8743000000003,1.8362702786888874,5120.0,58.899739583333336,0.4308375918601421,86,0,0.0,0,1339.2826447623713,3015.6666666666665,171,2.4680617494301216,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,12,0.0,0,0.0,786.6668,835.9621999999999,13017.65156752984,0.0,13017.65156752984,0.0,201.8749,27466.145000000015,22296.1963,0.5588181759709525,419,187310.66506103775,93,72945.30690744742,4,0.0,4,0.0,2,549.6756,1022.8744,90.88554858934161,0,0,540,540,"E11 + government reserve, full money stock",sumsy,9,1.7462298274040222e-10
5,512,4,4,115589.7407,0.0,17409.50220000001,1306.4430999999997,605.8805,,605.8805,0.0,0.0,0.0,0.0,0.0,0.0025,1804.3402,2288.332260000002,0.0,1.0,825.7052999999994,161.33068666666728,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,155.4867659550961,10.457353029084771,165.94411898418088,39.213628031137404,2.331803256979109,41.54543128811651,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-228.83350000000002,0.0,60,2560.0,2050.5995000000007,3501.509799999999,1015.1506000000006,0.0,0.0,0.0,0.0,0.0,0,579.171,2560.0,2050.5995000000007,1015.1506000000006,274.0,0.0,0.0,0.015,7.560714538676612,7.478195692883905,3.4741823437500026,2.143446056782333,4.461653615639251,4.684969550520001,1068.0,1073.0,534.0,2046.6666666666667,1530.0,204.0,129,0,0,0,49,34.0,2048.0,87952.6696999999,4041.8351000000002,15301.9983,551,217,0,93,0.4381355241128386,0.5593283608192476,0.30861554264961044,0,8568.132700000018,8112.646700000005,49,0,640.0,0,0,0,0.0,0,0.0,258976.89124725544,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,2223.4767000000015,256.0,5909.7264,4,290.50149999999996,290.50039999999996,1.7925906637526574,5120.0,58.766276041666664,0.5023801112868047,45,0,0.0,0,460.9214492504684,3008.8333333333335,171,3.0056924847971302,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,129,0.0,0,12,0.0,0,0.0,786.6668,1173.9602000000002,10089.65176932889,0.0,10089.65176932889,0.0,290.50149999999996,27130.338999999996,25253.559800000006,0.5686939478567987,419,182459.8043775457,93,76517.08686970998,4,0.0,4,0.0,2,579.171,1198.4597,97.75040247678007,0,0,534,534,"E11 + government reserve, full money stock",sumsy,9,1.7462298274040222e-10
6,512,4,4,116087.6939,0.0,18017.78770000002,1609.4002,568.0131,,568.0131,0.0,0.0,0.0,0.0,0.0,0.0025,1920.5533,2331.1003500000015,0.0,1.0,848.3136000000001,136.84901666666715,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,193.7097776576889,9.731013169289149,203.44079082697806,36.53435479384327,2.1725920156338647,38.70694680947713,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-322.42549999999994,0.0,62,2560.0,2062.046800000001,3073.6378999999993,1019.4601000000008,0.0,0.0,0.0,0.0,0.0,0,597.19,2560.0,2062.046800000001,1019.4601000000008,274.0,0.0,0.0,0.015,7.576296055045872,7.634000373134324,3.5531523437500008,2.378862695924765,4.358156630534212,4.544420464004401,1072.0,1090.0,536.0,2048.0,1534.0,204.0,128,0,0,1,56,45.0,2048.0,85122.5395,4498.2119999999995,17410.227,551,217,0,93,0.4309256855345174,0.6102114507978802,0.3155673659821161,0,8564.206499999991,8258.1627,56,0,640.0,0,0,0,0.0,0,0.0,298322.44209919526,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,2274.0175000000004,256.0,6538.9721,4,376.9618,376.96250000000055,2.4468780972095483,5120.0,58.699544270833336,0.5848311298191456,28,0,0.0,0,239.35492314542284,3005.4166666666665,171,3.4464914258606054,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0.0,0,12,0.0,0,0.0,786.6668,1649.1248,7911.838961359141,0.0,7911.838961359141,0.0,376.9618,25924.191999999992,28447.4111,0.6184358167359318,419,213874.43473727998,93,84448.00736191521,4,0.0,4,0.0,2,597.19,1352.5402,107.17230283911665,0,0,536,536,"E11 + government reserve, full money stock",sumsy,9,1.7462298274040222e-10
7,512,4,4,116573.98570000002,0.0,17458.937500000007,522.7345,530.1457,,530.1457,0.0,0.0,0.0,0.0,0.0,0.0025,2036.7086,2362.3986857142872,0.0,1.0,850.0629000000002,108.56336190476243,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,232.1547379528997,9.320672528731636,241.47541048163131,37.36123294392461,1.8932928378993608,39.25452578182397,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-426.83200000000045,0.0,64,2560.0,2073.708200000002,2097.0023000000006,1024.0377000000003,0.0,0.0,0.0,0.0,0.0,0,611.0359000000001,2560.0,2073.708200000002,1024.0377000000003,274.0,0.0,0.0,0.015,7.532908757062156,7.580767532467548,3.640956718749996,2.6270698757763986,4.304365530763632,4.408087850084269,1078.0,1062.0,539.0,2046.6666666666667,1540.0,204.0,126,0,0,1,48,36.0,2048.0,83791.62570000002,4873.8112,18116.105600000003,551,217,0,93,0.44243649349769876,0.6400346349424368,0.31981898814171417,0,8620.496700000029,7999.94910000001,48,0,640.0,0,0,0,0.0,0,0.0,343653.46629096323,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,2330.2122999999974,256.0,7144.698700000001,4,491.5341,491.53089999999986,3.177814341588002,5120.0,58.603515625,0.6693644506963494,38,0,0.0,0,403.31103635320954,3000.5,171,3.7376502067528303,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,12,0.0,0,0.0,786.6668,2082.0191,7542.5066393304305,0.0,7542.5066393304305,0.0,491.5341,25576.056100000016,30134.615500000004,0.647676706607865,419,249884.86518672676,93,93768.60110423673,4,0.0,4,0.0,2,611.0359000000001,1506.5629,118.94313479623825,0,0,539,539,"E11 + government reserve, full money stock",sumsy,9,1.7462298274040222e-10
8,512,4,4,117048.70129999986,0.0,17314.70350000001,961.4378999999998,492.2783,,492.2783,0.0,0.0,0.0,0.0,0.0,0.0025,2159.035,2384.046000000001,0.0,1.0,845.1924000000005,75.00366666666712,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,245.22007282743368,8.870182768155498,254.09025559558916,37.936741304134145,1.7986531674601878,39.73539447159433,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-530.034923460411,0.0,65,2560.0,2085.2843999999996,1652.0822000000003,1028.4572999999996,0.0,0.0,0.0,0.0,0.0,3,616.9656,2560.0,2085.2843999999996,1028.4572999999996,274.0,0.0,0.0,0.015,7.4676694670279975,7.512205243445652,3.7488326562499994,2.6880899053627796,4.7398893872824965,9.248118821656684,1068.0,1107.0,534.0,2046.6666666666667,1530.0,204.0,129,0,0,0,63,56.0,2048.0,82611.38450000006,5214.837599999999,19357.365100000003,551,217,0,93,0.4512677739581299,0.6502983241651135,0.37230877790114136,6,9272.775200000016,8266.710099999993,63,0,640.0,0,0,0,0.0,0,0.0,357996.9827062441,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,2399.2528999999995,256.0,7089.1135,4,564.9045,564.9053000000004,3.0663076388119195,5120.0,55.2197265625,0.7493720841825181,78,0,0.0,0,1488.4083707300788,2827.25,171,3.9076338633749974,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,129,0.0,0,12,0.0,0,0.0,786.6668,2673.1977000000006,6335.422604925305,0.0,6335.422604925305,0.0,564.9045,25142.0326,31661.316200000005,0.6577490787748252,419,256076.31344962495,93,101920.66925661927,4,0.0,4,0.0,2,616.9656,1666.7567,131.35349378881992,0,0,534,534,"E11 + government reserve, full money stock",sumsy,9,1.7462298274040222e-10
9,512,4,4,117512.78419999988,0.0,17443.30120000001,1283.0675999999999,454.41089999999997,,454.41089999999997,0.0,0.0,0.0,0.0,0.0,0.0025,2289.3703,2398.4433000000013,0.0,1.0,837.8738999999999,36.35766666666708,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,266.15737995989576,8.816281408930394,274.97366136882613,38.096405442367924,1.7087246875093576,39.805130129877284,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-636.6642234604108,0.0,67,2560.0,2095.9171,1979.2593999999997,1032.3566999999996,0.0,0.0,0.0,0.0,0.0,2,621.4204,2560.0,2095.9171,1032.3566999999996,274.0,0.0,0.4893,0.015,7.451811229428847,7.897087292817673,3.8711204687499903,2.6731935582822084,4.731739802455015,9.126086088045437,1086.0,1033.0,543.0,2048.0,1548.0,204.0,125,0,0,2,38,29.0,2048.0,81772.31189999999,5795.625300000001,19959.1036,551,217,0,93,0.45551589484068766,0.659686722697125,0.3709032539184993,2,9381.1948,7697.720999999999,38,0,640.0,0,0,0,0.0,0,0.0,379762.84374417603,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,2477.5170999999937,256.0,7074.9527,4,496.65639999999996,496.65589999999975,3.41556412518606,5120.0,54.8583984375,0.7872472798370144,69,0,0.0,0,864.4936210593969,2808.75,171,3.9945452450651247,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,125,0.0,0,12,0.0,0,0.0,786.6668,3337.9069000000004,6797.168486393322,0.0,6797.168486393322,0.0,496.65639999999996,24299.215099999987,32829.6816,0.6669672280969359,419,273099.0819783821,93,106663.7617657939,4,0.0,4,0.0,2,621.4204,1834.9594000000002,134.404495268139,0,0,543,543,"E11 + government reserve, full money stock",sumsy,9,1.7462298274040222e-10
10,512,4,4,117968.10499999995,0.0,16980.677900000006,757.3232999999997,416.5435,,416.5435,0.0,0.0,0.0,0.0,0.0,0.0025,2421.2129,2409.427170000001,0.0,0.988616262774279,836.0940000000002,0.0,0.0,0.0,0.988616262774279,0.0,0.0,0.988616262774279,0.0,0,0,286.22706575819893,8.531696418367739,294.7587621765667,38.2121410483624,1.7194048530854835,39.931545901447876,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.988616262774279,0.988616262774279,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-749.5192234604107,0.0,70,2560.0,2104.6792000000014,1447.6133000000007,1035.3129000000004,0.0,0.0,0.0,0.0,0.0,0,627.4767999999999,2560.0,2104.6792000000014,1035.3129000000004,274.0,0.0,0.0,0.015,7.410951171508901,7.990369360902241,4.000321718750003,2.714354920634921,4.7494168544837185,8.852303505404073,1064.0,1067.0,532.0,2045.3333333333333,1526.0,204.0,129,0,0,0,43,29.0,2048.0,81062.02330000006,6416.8893,20377.028299999998,551,217,0,93,0.4577335952853139,0.6670109853206148,0.3791520911266204,3,9303.03459999998,7907.484899999998,43,0,640.0,0,0,0,0.0,0,0.0,401193.32485181064,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,2560.2059000000017,256.0,7063.474399999999,4,499.9552,499.95740000000006,3.7993128698101715,5120.0,54.578450520833336,0.8174324431536778,52,0,0.0,0,1234.1314399658745,2794.4166666666665,171,4.130820966986165,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,129,0.0,0,12,0.0,0,0.0,786.6668,3903.2672000000002,5668.316865764211,0.0,5668.316865764211,0.0,499.9552,24223.1502,33857.392,0.6741677604227732,419,291743.6669096733,93,109449.65794213834,4,0.0,4,0.0,2,627.4767999999999,2004.6694,133.65967791411043,0,0,532,532,"E11 + government reserve, full money stock",sumsy,9,1.7462298274040222e-10
