round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,113487.24170000058,0.0,3556.4851,2189.6101,757.3501,,757.3501,0.0,0.0,0.0,0.0,0.0,0.0025,999.7042,0.0,0.0,1.0,757.3500000000007,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,85.32228076386525,13.686271308134705,99.00855207199994,37.819189832970224,2.9792386347131443,40.79842846768337,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,48,2560.0,2004.2366999999936,2189.6101,1001.3210999999967,0.0,0.0,0.0,0.0,0.0,0,255.5134,2560.0,2004.2366999999936,1001.3210999999967,274.0,0.0,0.0,0.0,6.75,7.019999999999987,2.700000000000026,1.0125000000000015,4.853010899182519,5.292000000000001,320.0,75.0,160.0,2048.0,734.0,204.0,328,0,0,0,46,29.0,2048.0,101182.62780000045,2322.725,5264.0181,701,67,0,117,0.322459679417884,0.39712372909494187,0.6616654210012547,0,4446.743800000004,506.25,48,2,520.0,0,0,0,0.0,0,0.0,182995.05311675774,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1404.0000000000134,208.0,3462.6532,4,44.8359,44.836000000000006,1.0441361136903777,5120.0,72.79459635416667,0.18948789550781253,144,0,0.0,0,24274.947822909293,3727.0833333333335,103,0.6487897706127738,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,0,12,0.0,0,0.0,786.6668,0.0,1402.2819000000002,0.0,1402.2819000000002,0.0,44.8359,20796.247499999998,11049.396299999999,0.41126834951214275,395,124101.512155033,117,58893.540961725455,4,0.0,4,0.0,2,255.5134,242.35410000000002,50.62500000000001,0,0,160,160,"E8 + shareholders & share market, full money stock",sumsy,8,1.7462298274040222e-10
2,512,4,4,114030.61229999985,0.0,11540.834200000007,1631.5466000000001,719.4827,,719.4827,0.0,0.0,0.0,0.0,0.0,0.0025,1210.5657,0.0,0.0,1.0,757.3500000000007,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,101.93186378937938,13.333566148149695,115.26542993752908,42.655304139433554,2.649241830065359,45.30454596949891,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-21.896499999999996,0.0,52,2560.0,2016.6293999999996,4198.4258,1005.0456999999998,0.0,0.0,0.0,0.0,0.0,0,406.2265,2560.0,2016.6293999999996,1005.0456999999998,274.0,0.0,0.0,0.015,6.412914338235295,7.403027937915753,2.7980825000000125,1.5254843137254899,4.732845601173108,5.13324,902.0,1088.0,451.0,2048.0,1364.0,204.0,171,0,0,1,47,47.0,2048.0,97802.64509999988,2918.2396999999996,7826.6538,572,196,0,96,0.38775561805978986,0.4356506230911188,0.3740416015256707,0,7704.148000000055,6977.250800000001,47,0,640.0,0,0,0,0.0,0,0.0,193338.28649375943,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1790.772800000008,256.0,3866.2815,4,28.7494,28.749599999999987,0.9816271891647705,5120.0,60.358072916666664,0.2272177669270835,120,0,0.0,0,6109.789765415527,3090.3333333333335,136,1.2935139371878799,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,171,0.0,0,12,0.0,0,0.0,786.6668,227.4687,13255.326493187878,0.0,13255.326493187878,0.0,28.7494,25264.172800000015,14611.175000000001,0.44786269573903814,416,144877.67353042852,96,48460.61296333106,4,0.0,4,0.0,2,406.2265,491.0830000000001,50.62500000000008,0,0,451,451,"E8 + shareholders & share market, full money stock",sumsy,8,1.7462298274040222e-10
3,512,4,4,114562.36429999997,0.0,15699.290466666673,3447.7193999999995,681.6153,,681.6153,0.0,0.0,0.0,0.0,0.0,0.0025,1456.1589,0.0,0.0,1.0,719.5283999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,130.45693654597102,13.468982810194513,143.92591935616554,39.68385897780828,2.818443428558805,42.50230240636708,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-59.01290000000003,0.0,54,2560.0,2028.2480000000007,5824.8182,1008.0143000000002,0.0,0.0,0.0,0.0,0.0,0,487.1068,2560.0,2028.2480000000007,1008.0143000000002,274.0,0.0,0.0,0.015,6.30649020715629,7.319937570093451,2.8697764062499997,1.7998760869565207,4.62979161580724,4.979242800000001,1070.0,1062.0,535.0,2046.6666666666665,1532.0,204.0,128,0,0,2,54,33.0,2048.0,94197.5957,3235.2092,10889.210400000002,555,213,0,94,0.3652951153789208,0.4849833072537957,0.3181943606367641,0,8606.240600000034,6697.49259999998,54,0,640.0,0,0,0,0.0,0,0.0,216101.4077432704,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1836.6568999999997,256.0,4297.0833,4,88.35090000000001,88.35090000000004,1.1423798272500265,5120.0,60.009765625,0.32742082803564115,48,0,0.0,0,437.54557996909233,3072.5,136,1.581921293132457,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0.0,0,12,0.0,0,0.0,786.6668,447.05599999999987,15398.276943649871,0.0,15398.276943649871,0.0,88.35090000000001,22210.8589,18421.5029,0.496070695950543,418,153593.9170189887,94,62507.49072428187,4,0.0,4,0.0,2,487.1068,774.5435999999999,76.27421568627449,0,0,535,535,"E8 + shareholders & share market, full money stock",sumsy,8,1.7462298274040222e-10
4,512,4,4,115082.62849999998,0.0,15011.060199999996,134.9265,643.7479,,643.7479,0.0,0.0,0.0,0.0,0.0,0.0025,1711.2416,0.0,0.0,1.0,707.5892999999995,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,151.62425160275697,13.380613871214504,165.00486547397148,41.057000963228035,2.6378492698455447,43.69485023307357,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-128.6961,0.0,56,2560.0,2039.7357999999986,1677.3428000000001,1011.1521999999994,0.0,0.0,0.0,0.0,0.0,0,541.9468999999999,2560.0,2039.7357999999986,1011.1521999999994,274.0,0.0,0.0,0.015,6.157959285714268,7.272322304832754,2.9449484374999995,1.927812923076926,4.463480364917441,4.829865515999999,1076.0,1120.0,538.0,2045.3333333333333,1538.0,204.0,126,0,0,0,70,59.0,2048.0,93641.96309999995,3538.6193000000003,10850.2631,555,213,0,94,0.3710440753907158,0.5173465423972134,0.31980767288864187,0,8435.858600000025,6896.914399999981,70,0,640.0,0,0,0,0.0,0,0.0,233549.38761151215,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1884.7669999999996,256.0,4798.594499999999,4,154.5917,154.59250000000006,1.3410384321461062,5120.0,59.842122395833336,0.3998425541355297,40,0,0.0,0,718.1342432482683,3063.9166666666665,136,1.828557178598906,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,12,0.0,0,0.0,786.6668,559.0610000000001,15275.464178304426,0.0,15275.464178304426,0.0,154.5917,22302.480599999995,19187.476899999998,0.5276920134834402,418,163101.41325362652,94,70447.97435788561,4,0.0,4,0.0,2,541.9468999999999,1067.4937,89.99380434782603,0,0,538,538,"E8 + shareholders & share market, full money stock",sumsy,8,1.7462298274040222e-10
5,512,4,4,115592.66359999994,0.0,14265.208199999994,84.05079999999998,605.8805,,605.8805,0.0,0.0,0.0,0.0,0.0,0.0025,1979.5794,0.0,0.0,1.0,690.9225000000005,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,160.69104902250513,13.42440012218346,174.1154491446886,42.6888845067456,2.780418500214664,45.46930300696026,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-196.09450000000015,0.0,59,2560.0,2049.964899999999,3962.7537,1013.5516999999994,0.0,0.0,0.0,0.0,0.0,0,567.24,2560.0,2049.964899999999,1013.5516999999994,274.0,0.0,0.0,0.015,6.01608402971219,7.134520400728583,3.0268992187500006,2.0986773809523815,4.2389643793956004,4.684969550520001,1098.0,1077.0,549.0,2048.0,1560.0,204.0,122,0,0,1,59,54.0,2048.0,93362.43699999996,3853.2579,10536.173299999999,555,213,0,94,0.3734870412579916,0.5284202177717818,0.31055461496901793,0,8268.375400000004,6479.322500000029,59,0,640.0,0,0,0,0.0,0,0.0,237812.49983418532,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1937.2155000000002,256.0,5293.976000000001,4,225.5281,225.52739999999991,1.3728495599929096,5120.0,59.6923828125,0.4424825574669477,37,0,0.0,0,409.6390745625157,3056.25,136,1.9950241951095242,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,122,0.0,0,12,0.0,0,0.0,786.6668,613.4440000000002,15465.895842405293,0.0,15465.895842405293,0.0,225.5281,22648.128200000003,19683.407199999998,0.5385045593858531,418,163490.07937477052,94,74322.42045941483,4,0.0,4,0.0,2,567.24,1373.6989,96.3906461538463,0,0,549,549,"E8 + shareholders & share market, full money stock",sumsy,8,1.7462298274040222e-10
6,512,4,4,116093.33880000003,0.0,13476.200799999999,45.098,568.0131,,568.0131,0.0,0.0,0.0,0.0,0.0,0.0025,2259.6636,0.0,0.0,1.0,675.0054000000008,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,175.29602137554997,13.45816393158202,188.754185307132,44.697084734689646,2.9072442146445243,47.60432894933417,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-260.6309,0.0,63,2560.0,2059.3248,4546.519100000001,1015.4081999999999,0.0,0.0,0.0,0.0,0.0,0,577.7968000000001,2560.0,2059.3248,1015.4081999999999,274.0,0.0,0.0,0.015,5.839416270218879,7.08174768089052,3.097804531250003,2.2022972392638027,4.14885365463229,4.544420464004401,1078.0,1051.0,539.0,2046.6666666666667,1540.0000000000002,204.0,126,0,0,0,54,27.0,2048.0,93251.73189999998,4130.0015,10107.0383,555,213,0,94,0.3785833215409531,0.5450361147033582,0.3211462610655018,0,8060.73929999999,6137.226500000042,54,0,640.0,0,0,0,0.0,0,0.0,247136.5155783296,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1982.594900000002,256.0,5767.1067,4,298.8828,298.88269999999994,1.4703716434108862,5120.0,59.5458984375,0.48971221203032006,40,0,0.0,0,448.0884750652767,3048.75,136,2.1001703629294197,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,12,0.0,0,0.0,786.6668,624.6715999999999,14401.85181594349,0.0,14401.85181594349,0.0,298.8828,23053.368599999998,20004.1465,0.5547540233745283,418,167680.92283456752,94,79455.59274376217,4,0.0,4,0.0,2,577.7968000000001,1691.6504999999997,104.93386904761908,0,0,539,539,"E8 + shareholders & share market, full money stock",sumsy,8,1.7462298274040222e-10
7,512,4,4,116583.65209999993,0.0,12743.765199999996,103.92479999999999,530.1457,,530.1457,0.0,0.0,0.0,0.0,0.0,0.0025,2555.3902,0.0,0.0,1.0,655.1817000000007,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,185.80267380024745,13.201776523556758,199.0044503238042,47.08863715092911,2.9122490205837064,50.00088617151282,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-321.87480000000033,0.0,68,2560.0,2069.6866999999993,6020.3027,1017.5940999999998,0.0,0.0,0.0,0.0,0.0,0,581.1067,2560.0,2069.6866999999993,1017.5940999999998,274.0,0.0,0.0,0.015,5.710367005545251,6.984049536178085,3.1782004687499965,2.1445576687116588,4.062953185401666,4.408087850084269,1078.0,1082.0,539.0,2048.0,1540.0,204.0,127,0,0,1,49,37.0,2048.0,92973.17740000003,4418.9167,9805.1708,555,213,0,94,0.38616105855023175,0.5559189614812321,0.3420653977280861,0,7915.010300000013,6178.617099999961,49,0,640.0,0,0,0,0.0,0,0.0,250321.0560244412,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,2034.0482999999977,256.0,6249.890300000001,4,361.874,361.8736000000002,1.4949962080055175,5120.0,59.3994140625,0.5277123258163982,40,0,0.0,0,496.1415850377616,3041.25,136,2.218529883342189,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,127,0.0,0,12,0.0,0,0.0,786.6668,692.4709999999999,14205.605854970368,0.0,14205.605854970368,0.0,361.874,23451.46979999999,20473.977799999997,0.5653818060172191,418,167456.42301255403,94,82864.63301188714,4,0.0,4,0.0,2,581.1067,2025.2444999999998,110.11486196319014,0,0,539,539,"E8 + shareholders & share market, full money stock",sumsy,8,1.7462298274040222e-10
8,512,4,4,117064.18469999988,0.0,11976.668000000016,74.45920000000001,492.2783,,492.2783,0.0,0.0,0.0,0.0,0.0,0.0025,2860.7932,0.0,0.0,1.0,640.7028,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,190.77699175830793,13.023083490482056,203.80007524879002,49.30320173767984,2.9622138848424853,52.26541562252232,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-380.39250000000067,0.0,69,2560.0,2079.467400000002,759.1246999999998,1019.3790000000008,0.0,0.0,0.0,0.0,0.0,0,581.2759,2560.0,2079.467400000002,1019.3790000000008,274.0,0.0,0.0,0.015,5.58006163113993,6.891714018691621,3.223537656250003,2.0935338509316774,3.9062991370901883,4.2758452145817385,1070.0,1079.0,535.0,2046.6666666666667,1532.0,204.0,128,0,0,1,52,41.0,2048.0,92604.78909999988,4790.66,9493.0167,555,213,0,94,0.39447509302017214,0.5614378109824503,0.33704757883050296,0,7625.139699999972,6020.886499999985,52,0,640.0,0,0,0,0.0,0,0.0,248900.2801167595,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,2063.064100000002,256.0,6733.6498,4,424.61760000000004,424.6177000000006,1.5189503464135443,5120.0,59.208984375,0.5389389936813015,41,0,0.0,0,1176.648672627395,3031.5,136,2.3370007605182157,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0.0,0,12,0.0,0,0.0,786.6668,725.6087999999996,13409.817588987386,0.0,13409.817588987386,0.0,424.61760000000004,23970.410600000003,21017.326500000003,0.5707608137973483,418,167288.7400849723,94,81611.54003178694,4,0.0,4,0.0,2,581.2759,2368.5149,107.22788343558294,0,0,535,535,"E8 + shareholders & share market, full money stock",sumsy,8,1.7462298274040222e-10
9,512,4,4,117534.94690000011,0.0,11204.666599999995,73.278,454.41089999999997,,454.41089999999997,0.0,0.0,0.0,0.0,0.0,0.0025,3175.6351,0.0,0.0,1.0,626.0811,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,198.3333064822201,13.068481352535144,211.40178783475525,51.75311856142987,2.8476525029602784,54.600771064390145,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-435.8343000000005,0.0,72,2560.0,2089.237799999998,2093.8972,1021.0351000000009,0.0,0.0,0.0,0.0,0.0,0,579.7654,2560.0,2089.237799999998,1021.0351000000009,274.0,0.0,0.0,0.015,5.770694470477975,6.859622304832752,3.2725482812500006,2.0586049230769268,4.324474370403516,8.82418429224508,1076.0,1067.0,538.0,2046.6666666666665,1538.0,204.0,127,0,0,2,51,35.0,2048.0,92713.1199000001,5208.964,9401.3621,555,213,0,94,0.40316067043655246,0.5669904348826387,0.3640687972702743,0,8284.32909999996,6157.330999999999,51,0,640.0,0,0,0,0.0,0,0.0,249313.0598596583,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,2094.4309000000003,256.0,6456.1004,4,406.1929,406.19339999999994,1.4333798013721422,5120.0,58.0224609375,0.5432853566474997,56,0,0.0,0,1636.461208605107,2970.75,136,2.3733855402337576,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,127,0.0,0,12,0.0,0,0.0,786.6668,753.8423999999999,12501.39757609913,0.0,12501.39757609913,0.0,406.1929,24170.2537,21066.4265,0.5761760176793733,418,168895.33761664815,94,80417.72224301015,4,0.0,4,0.0,2,579.7654,2721.2242,104.67669254658387,0,0,538,538,"E8 + shareholders & share market, full money stock",sumsy,8,1.7462298274040222e-10
10,512,4,4,117995.98060000005,0.0,10472.688499999995,116.9652,416.5435,,416.5435,0.0,0.0,0.0,0.0,0.0,0.0025,3464.671,0.0,0.0,1.0,647.4705000000001,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,196.80179271849846,11.981765487128671,208.78355820562712,51.17667745514554,2.8161029302417937,53.99278038538733,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-488.15390000000014,0.0,76,2560.0,2098.966300000002,4997.529,1022.9321000000008,0.0,0.0,0.0,0.0,0.0,0,577.1209,2560.0,2098.966300000002,1022.9321000000008,274.0,0.0,0.0,0.015,5.811609211775879,7.024997765363143,3.392031093749999,2.1205543209876505,4.333629483238364,8.559458763477728,1074.0,1053.0,537.0,2045.3333333333333,1536.0,204.0,126,0,0,2,41,25.0,2048.0,92748.67930000005,5708.3748000000005,9261.3511,555,213,0,94,0.41089166603746485,0.5752237340499455,0.35225879796700243,0,8306.775699999998,6119.624500000001,41,0,640.0,0,0,0,0.0,0,0.0,251152.66702943208,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,2170.8998999999994,256.0,6235.7835,4,345.2718,345.2713999999996,1.4915265643562436,5120.0,57.493489583333336,0.5518861707481978,48,0,0.0,0,492.36436073374944,2943.6666666666665,136,2.4202019014617004,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,12,0.0,0,0.0,786.6668,822.0993000000001,13330.99458560262,0.0,13330.99458560262,0.0,345.2718,24559.22499999998,21205.509400000003,0.5842036187829682,418,171366.0805646877,94,79786.58646474467,4,0.0,4,0.0,2,577.1209,3048.1274999999996,102.93024615384634,0,0,537,537,"E8 + shareholders & share market, full money stock",sumsy,8,1.7462298274040222e-10
