round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,113487.44240000012,0.0,3817.3351000000002,3361.7101,757.3501,,757.3501,0.0,0.0,0.0,0.0,0.0,0.0025,999.9082,2272.050000000002,0.0,1.0,757.3500000000007,424.0472666666674,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,51.60058441218098,14.775958072456312,66.3765424846373,28.99462440087147,3.016791140159767,32.01141554103123,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,51,2560.0,2004.0359999999964,7247.730100000001,1001.314299999998,0.0,0.0,0.0,0.0,0.0,0,255.5134,2560.0,2004.0359999999964,1001.314299999998,274.0,0.0,0.0,0.0,6.75,7.019999999999987,2.700000000000026,1.0124999999999995,4.853010899182519,5.292000000000001,320.0,97.0,160.0,2048.0,734.0,204.0,328,0,0,0,58,39.0,2048.0,102179.33410000007,791.7754,5772.6368999999995,632,136,0,107,0.22020581781322845,0.2904534765782827,0.6645609711643214,0,4363.407900000003,654.75,58,0,520.0,0,0,0,0.0,0,0.0,162660.27170592637,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1404.0000000000134,208.0,3488.2744000000002,4,43.896,43.8736000000006,1.2715720641879131,5120.0,75.5078125,0.19538820312500002,67,0,0.0,0,9940.475875256663,3866.0,60,0.5804887533251825,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,6,6,4663.3511,3072,4659.7472,786.6668,0.0,2406.7430999999997,1561.5567,845.1864,22.396900000000002,21.499100000000002,13023.947000000004,5389.3356,0.3056653451045812,405,108551.70208291682,107,54108.569623009476,4,0.0,4,1194.1036000000001,2,255.5134,242.55809999999997,50.62500000000001,0,0,160,160,"EB best SuMSy village, full money stock",sumsy,7,2.9103830456733704e-10
2,512,4,4,114031.04550000008,0.0,11838.965499999998,1580.6216000000002,719.4826,,719.4826,0.0,0.0,0.0,0.0,0.0,0.0025,1210.885,2272.050000000002,0.0,1.0,757.3500000000007,353.7216666666673,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,79.72943988414815,14.380104380905225,94.10954426505337,34.62348438634714,2.8261041394335513,37.44958852578068,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-33.617200000000004,0.0,52,2560.0,2016.3968999999972,2241.6526000000003,1005.0049999999986,0.0,0.0,0.0,0.0,0.0,0,411.9115,2560.0,2016.3968999999972,1005.0049999999986,274.0,0.0,0.0,0.015,6.627362088429034,7.452666448801773,2.9641910937500144,1.2032744791666652,4.733806231884146,5.13324,918.0,1063.0,459.0,2048.0,1380.0,204.0,167,0,0,1,45,34.0,2048.0,98418.02320000003,1627.3463000000002,8334.2509,501,267,0,84,0.29931293236821555,0.36855872356287045,0.367170008052097,1,7610.620100000057,7044.885900000063,45,0,640.0,0,0,0,0.0,0,0.0,182438.29182070558,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1897.0823000000091,256.0,4028.6286,4,47.3466,47.352600000000365,1.5964158953400645,5120.0,59.1796875,0.2550934960937499,74,0,0.0,0,6262.649128556822,3030.0,95,1.444107729531872,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,167,0.0,6,6,6865.1873000000005,3072,4659.7472,786.6668,157.7958,14464.347316348641,7425.142340871868,7039.204975476772,27.8471,19.499499999999998,18449.97279999999,7125.0385,0.3792201894332663,428,137580.01617957564,84,44858.275641130014,4,0.0,4,1134.3984,2,411.9115,491.40239999999994,50.62499999999998,0,0,459,459,"EB best SuMSy village, full money stock",sumsy,7,2.9103830456733704e-10
3,512,4,4,114563.29170000006,0.0,17463.87424895833,1834.4543999999999,681.6151,,681.6151,0.0,0.0,0.0,0.0,0.0,0.0025,1433.4325,2258.2902000000013,0.0,1.0,743.5901999999998,274.9525666666671,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,84.91648084911563,14.486806918854159,99.40328776796979,32.153582597482256,2.9253753318347986,35.078957929317056,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-81.35950000000003,0.0,55,2560.0,2027.7538000000009,3960.4513,1008.1885000000004,0.0,0.0,0.0,0.0,0.0,0,494.85360000000003,2560.0,2027.7538000000009,1008.1885000000004,274.0,0.0,0.0,0.015,6.507167570093446,7.355231015037601,3.1761109375000016,1.6534687499999985,4.681346740708836,4.979242800000001,1064.0,1070.0,532.0,2046.6666666666667,1526.0,204.0,130,0,0,1,47,34.0,2048.0,95646.14020000011,2233.679,10102.7588,428,340,0,72,0.2872291341493667,0.3792196208069105,0.30829692277255205,0,8365.314600000069,6962.669299999988,47,0,640.0,0,0,0,0.0,0,0.0,188577.50724153902,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,2032.711000000001,256.0,4652.4276,4,128.9711,128.95729999999816,1.5964158953400645,5120.0,59.1796875,0.304322652316623,0,0,0.0,0,0.0,3030.0,95,1.6100432653135173,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,130,0.0,6,6,8109.0119,3072,4659.7472,786.6668,372.3950000000001,16588.75341321182,8736.02580660591,7852.72760660591,70.9256,58.045500000000004,16697.0498,8879.853500000001,0.38875980485054273,440,145794.73993063052,72,42782.76731090863,4,0.0,4,1074.6932000000002,2,494.85360000000003,751.8173999999999,60.16372395833326,0,0,532,532,"EB best SuMSy village, full money stock",sumsy,7,2.9103830456733704e-10
4,512,4,4,115084.4415,0.0,18276.96929999998,1725.9156,643.7476,,643.7476,0.0,0.0,0.0,0.0,0.0,0.0025,1666.6054,2241.297000000001,0.0,1.0,730.1057999999999,191.563866666667,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,95.28582228879164,15.1332852066829,110.41910749547452,30.35812355082577,2.9727879608741827,33.33091151169995,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-144.97580000000005,0.0,59,2560.0,2038.8502000000005,5919.877100000001,1011.0599000000003,0.0,0.0,0.0,0.0,0.0,0,542.6066000000001,2560.0,2038.8502000000005,1011.0599000000003,274.0,0.0,0.0,0.015,7.356242500000006,7.323762242990642,3.3485417187500017,1.8577882051282075,4.52517402177844,4.829865515999999,1070.0,1080.0,535.0,2046.6666666666667,1532.0000000000002,204.0,127,0,0,1,58,33.0,2048.0,92108.3995,2677.1179,12709.535800000001,428,340,0,72,0.27896421252862047,0.396896881297484,0.3209133283909946,0,8272.086200000002,7944.741900000006,58,0,640.0,0,0,0,0.0,0,0.0,201339.71678320548,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,2143.066700000001,256.0,5380.1763,4,216.80960000000002,216.79569999999802,1.5964158953400645,5120.0,59.1796875,0.4626726802571611,0,0,0.0,0,0.0,3030.0,95,2.170264717374159,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,127,0.0,6,6,9328.2838,3072,4659.7472,786.6668,486.2497,14099.43246056071,8211.071670150039,5888.360790410673,117.4152,99.3944,15237.682000000006,11438.546199999999,0.4052766277143889,440,148191.38340584186,72,53148.33337736373,4,0.0,4,1014.9879999999996,2,542.6066000000001,1022.8577999999999,82.67343749999992,0,0,535,535,"EB best SuMSy village, full money stock",sumsy,7,2.9103830456733704e-10
5,512,4,4,115594.19759999993,0.0,19218.397200000003,1940.5426000000002,605.8801,,605.8801,0.0,0.0,0.0,0.0,0.0,0.0025,1804.6282,2288.258880000001,0.0,1.0,825.3688000000005,161.21022666666704,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,88.26780800003397,13.297608088658327,101.5654160886923,24.090851023040994,2.8568104159261214,26.947661438967113,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-222.46260000000004,0.0,61,2560.0,2050.243900000001,3255.8806,1015.0220999999999,0.0,0.0,0.0,0.0,0.0,0,572.0388,2560.0,2050.243900000001,1015.0220999999999,274.0,0.0,0.0,0.015,7.5697232902033305,7.474610720887266,3.477774218750004,2.0073696517412922,4.4611194139680235,4.684969550520001,1082.0,1082.0,541.0,2046.6666666666667,1544.0,204.0,125,0,0,2,57,36.0,2048.0,88289.18739999994,3276.2985,15573.0465,428,340,0,72,0.26471202379399483,0.4073468214659768,0.3036062045734955,0,8347.185699999995,8190.4406000000035,57,0,640.0,0,0,0,0.0,0,0.0,206089.6157283981,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,2225.7755000000025,256.0,6078.9982,4,310.1855,310.1794000000011,1.5964158953400645,5120.0,59.1796875,0.5778194163161062,0,0,0.0,0,0.0,3030.0,95,2.9332569090379983,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,125,0.0,6,6,11415.0399,3072,4659.7472,786.6668,589.3729,10741.02625198971,6542.1846737323685,4198.84157825734,165.9964,144.1891,13648.030299999995,13513.3033,0.41530574125498787,440,148187.6835792745,72,57901.93214912364,4,0.0,4,955.2828,2,572.0388,1198.7481000000002,92.88941025641037,0,0,541,541,"EB best SuMSy village, full money stock",sumsy,7,2.9103830456733704e-10
6,512,4,4,116093.17380000003,0.0,20214.8223,2092.5669,568.0126,,568.0126,0.0,0.0,0.0,0.0,0.0,0.0025,1919.2379,2331.544100000001,0.0,1.0,849.3234000000003,137.4354000000003,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,102.76961828314371,12.970269315431855,115.73988759857556,21.120491896800928,2.7447184034347085,23.865210300235635,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-315.103,0.0,63,2560.0,2061.0237999999968,2750.5134000000007,1018.9229999999988,0.0,0.0,0.0,0.0,0.0,0,593.2573,2560.0,2061.0237999999968,1018.9229999999988,274.0,0.0,0.0,0.015,7.5593264133456906,7.566534999999981,3.5799145312499947,2.2198829999999994,4.354546532529713,4.544420464004401,1080.0,1079.0,540.0,2045.3333333333333,1541.9999999999998,204.0,125,0,0,0,49,42.0,2048.0,84571.52700000003,3893.2269000000006,18363.372,428,340,0,72,0.2524449550269807,0.4457699551919414,0.3029485493661288,0,8291.204300000001,8156.5132,49,0,640.0,0,0,0,0.0,0,0.0,227538.8229531692,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,2291.1452999999965,256.0,6752.552699999999,4,399.75350000000003,399.79440000000295,2.2981126118017343,5120.0,59.1796875,0.6663722407493778,10,0,0.0,0,93.25371670063471,3030.0,95,3.3287615494284677,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,125,0.0,6,6,14235.889199999998,3072,4659.7472,786.6668,832.2264999999996,7558.23620491466,4155.569552457331,3402.66665245733,208.7519,191.0016,11832.661199999986,14773.2624,0.45255084011826074,440,165227.9884089613,72,62310.834544207675,4,0.0,4,895.5776000000001,2,593.2573,1351.2253,100.3684825870646,0,0,540,540,"EB best SuMSy village, full money stock",sumsy,7,2.9103830456733704e-10
7,512,4,4,116581.63589999998,0.0,19282.037399999994,267.9718,530.1451,,530.1451,0.0,0.0,0.0,0.0,0.0,0.0025,2036.0205,2361.9615857142862,0.0,1.0,848.1554999999995,108.64702857142872,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,106.8863434877408,12.876479949618066,119.76282343735886,21.68362718097363,2.6263326646806413,24.30995984565427,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-423.4477,0.0,64,2560.0,2071.5378999999984,992.2442999999998,1022.8874999999989,0.0,0.0,0.0,0.0,0.0,0,611.0412,2560.0,2071.5378999999984,1022.8874999999989,274.0,0.0,0.0,0.015,7.5147195488721765,7.558488971962548,3.7094712500000058,2.4557230769230767,4.518255824789299,6.72287871624755,1070.0,1064.0,535.0,2048.0,1532.0,204.0,129,0,0,0,47,35.0,2048.0,83239.96770000001,4472.1735,19089.4346,428,340,0,72,0.2598548588812213,0.4534180195009212,0.3296822013460332,0,8560.534500000047,7995.661599999996,47,0,640.0,0,0,0,0.0,0,0.0,233526.12425460856,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,2374.0616000000036,256.0,7132.9984,4,539.7417,539.7268000000072,1.915726787259392,5120.0,51.015625,0.7524916878255204,4,0,0.0,0,9.831189230003101,2612.0,95,3.4458962866240697,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,129,0.0,6,6,15480.2687,3072,4659.7472,786.6668,1044.8308000000002,6515.306831189536,3204.091044153889,3311.215787035647,284.0216,255.7201,12003.658099999993,15214.3378,0.45998712667462494,440,166045.65066989002,72,67480.47358471855,4,0.0,4,835.8724000000002,2,611.0412,1505.8754000000001,110.99414999999996,0,0,535,535,"EB best SuMSy village, full money stock",sumsy,7,2.9103830456733704e-10
8,512,4,4,117059.27389999994,0.0,18291.11709999999,223.23530000000002,492.2776,,492.2776,0.0,0.0,0.0,0.0,0.0,0.0025,2158.7778,2382.898537500001,0.0,1.0,843.152400000001,74.70691250000043,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,127.65590836129152,13.023999686678996,140.6799080479705,22.18753942714115,2.5546423207658475,24.742181747906997,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-528.204,0.0,66,2560.0,2082.3620000000014,1521.4816,1026.945200000001,0.0,0.0,0.0,0.0,0.0,0,617.7245,2560.0,2082.3620000000014,1026.945200000001,274.0,0.0,0.0,0.015,7.441104331797235,7.51716119402987,3.8449696875,2.639519897959186,4.733552629324145,9.235290788034686,1072.0,1085.0,536.0,2048.0,1534.0,204.0,128,0,0,1,56,41.0,2048.0,82169.52900000007,5015.7651,19894.2823,428,340,0,72,0.26586621568113444,0.48659826842609344,0.33915010979639604,0,8959.589300000007,8073.5982,56,0,640.0,0,0,0,0.0,0,0.0,260170.0031569997,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,2460.7806,256.0,7203.1952,4,571.5147999999999,571.5450000000006,2.572845867240078,5120.0,51.015625,0.8516555578926281,6,0,0.0,0,50.89511096338622,2612.0,95,3.7288817183398777,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0.0,6,6,16214.2779,3072,4659.7472,786.6668,1188.0231999999994,6438.599382247745,3217.304836976751,3221.2945452709937,311.9314,259.5834,12254.149999999998,15898.9647,0.4924803028965421,440,185280.52075026193,72,74889.48240673794,4,0.0,4,776.1671999999999,2,617.7245,1666.5002,122.78615384615384,0,0,536,536,"EB best SuMSy village, full money stock",sumsy,7,2.9103830456733704e-10
9,512,4,4,117527.60090000002,0.0,17320.041099999988,254.25440000000006,454.4101,,454.4101,0.0,0.0,0.0,0.0,0.0,0.0025,2289.7972,2396.4288333333343,0.0,1.0,834.8904000000006,35.54387777777811,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,147.0641911616215,13.13485484339397,160.19904600501548,22.737176816481583,2.7276689994939067,25.46484581597549,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-628.7906999999991,0.0,69,2560.0,2091.6730000000025,2284.4954000000002,1030.175200000001,0.0,0.0,0.0,0.0,0.0,0,619.2821,2560.0,2091.6730000000025,1030.175200000001,274.0,0.0,0.0,0.015,7.389939402427637,7.714622592592633,3.9722024999999874,2.6665580000000006,4.723828862534075,9.132036438903326,1080.0,1071.0,540.0,2046.6666666666665,1542.0,204.0,126,0,0,1,55,34.0,2048.0,81266.93840000004,5683.823200000001,20380.9996,428,340,0,72,0.2694400481861574,0.5105258316153456,0.34781939484372093,0,9017.532099999999,7914.625099999999,55,0,640.0,0,0,0,0.0,0,0.0,284645.28587421286,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,2542.209599999992,256.0,7286.7604,4,571.2726,571.2819000000072,3.206826471743748,5120.0,51.015625,0.9328140175581958,8,0,0.0,0,105.2569743708938,2612.0,95,3.9185355452064825,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,6,6,16940.4433,3072,4659.7472,786.6668,1368.5228999999997,6505.920392657374,3213.3455470994986,3292.5748455578755,319.9393,251.3333,12700.892800000001,16411.139900000002,0.5160794008107654,440,204142.6128259612,72,80502.67304825182,4,0.0,4,716.462,2,619.2821,1835.3871,131.9759948979593,0,0,540,540,"EB best SuMSy village, full money stock",sumsy,7,2.9103830456733704e-10
10,512,4,4,117985.74029999995,0.0,16335.222300000001,252.00390000000002,416.5426,,416.5426,0.0,0.0,0.0,0.0,0.0,0.0025,2426.7842,2405.5318200000006,0.0,0.9794419635688552,829.1528999999991,0.0,0.0,0.0,0.9794419635688552,0.0,0.0,0.9794419635688552,0.0,0,0,173.01866856784235,13.120126101624452,186.13879466946685,23.404724141640017,2.629201558769979,26.033925700409995,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.9794419635688552,0.9794419635688552,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-725.188499999999,0.0,72,2560.0,2101.8605999999995,2246.3134999999997,1033.7747999999997,0.0,0.0,0.0,0.0,0.0,1,618.4583,2560.0,2101.8605999999995,1033.7747999999997,274.0,0.0,0.0,0.015,7.364240938362465,8.015121706864562,4.146522031249999,2.6785934673366842,4.718373247371691,8.9653638435288,1078.0,1087.0,539.0,2046.6666666666667,1540.0,204.0,127,0,0,2,54,45.0,2048.0,80208.96370000001,6524.998299999999,20817.3884,428,340,0,72,0.2783119418900548,0.5372809573536395,0.3643458485082083,1,9020.653399999976,8004.929899999999,54,0,640.0,0,0,0,0.0,0,0.0,314361.1651490417,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,2653.774099999999,256.0,7389.1474,4,593.1113,593.0864000000015,4.173959187794324,5120.0,51.015625,0.9801354882812502,9,0,0.0,0,142.69436896102897,2612.0,95,4.135078667647998,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,127,0.0,6,6,17653.6218,3072,4659.7472,786.6668,1540.4145000000003,5547.099741678538,2772.8348586526017,2774.2648830259363,333.0809,260.0304,12714.495,17077.9123,0.5426218078238143,440,231105.6210968726,72,83255.54405216895,4,0.0,4,656.7568000000001,2,618.4583,2010.2416,133.32790000000003,0,0,539,539,"EB best SuMSy village, full money stock",sumsy,7,2.9103830456733704e-10
