round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,26744.216600000058,0.0,1701.9505999999988,689.4506000000008,454.6201,,454.6201,0.0,0.0,0.0,0.0,0.0,0.0025,118.704,1683.0,0.0,0.9588,561.0,856.1299000000006,0.02,106.37999999999987,1.02,0.0,0.0,1.02,0.0,0,0,61.561621431769495,2.3491355024509804,63.91075693422048,7.5477950980392166,2.30818705882353,9.855982156862746,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.02,1.02,0.0,0.0,0.0,0.0612,0.5,0.25,0.0,0.0,0.0,52,2560.0,241.06340000000017,3112.330799999997,226.30209999999948,0.0,0.0,0.0,0.0,0.0,0,258.1752,2560.0,241.06340000000017,119.92210000000009,274.0,0.0,769.9,0.0,5.0,5.200000000000013,2.0,0.75,3.594822888283399,3.9200000000000013,320.0,233.0,160.0,2048.0,734.0,204.0,328,0,0,0,170,0.0,2048.0,18562.364700000002,1700.0369999999998,3949.8013,701,67,0,117,0.20709868711822543,0.6331258859064892,0.6610660160360555,2,5194.755299999996,1165.0,0,0,304.0,512,0,0,18562.364700000002,701,65299.79831419458,65299.79831419458,0.0,233,304,0,1.5,0,0.0,512,512,65299.79831419458,701,61440.0,0,48,608.0,208.0,2155.1344,4,25.607000000000003,25.606400000000004,0.5296181198156998,5120.0,89.599609375,0.151426962890625,397,0,0.0,0,4278.464645788966,4587.5,345,0.39347469681195374,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,0,12,0.0,0,0.0,120.0,29.8862,1337.8895000000005,0.0,1337.8895000000005,0.0,25.607000000000003,13515.665699999996,7804.972699999999,0.6407830645910868,395,34861.42123995454,117,30438.377074240234,4,0.0,4,0.0,2,258.1752,-335.9161,37.5,0,0,160,160,S4 rung 12 + everyone greedy,sumsy,9,2.9103830456733704e-11
2,512,4,4,29002.12699999999,0.0,8972.467999999993,1145.3838000000005,547.0844,,547.0844,0.0,0.0,0.0,0.0,0.0,0.0025,151.8051,1683.0,0.0,0.91929744,561.0,706.8328500000007,0.02,349.83179999999913,1.0404,0.0,0.0,1.0404,0.0,1,0,125.32574845735886,2.280040257367617,127.60578871472646,12.018578627450982,1.7820882352941176,13.800666862745098,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0404,1.0404,0.0,0.0,0.0,0.062424,0.5,0.25,0.0,-2.3481999999999994,0.0,56,2560.0,302.0895999999996,4104.374900000002,502.8287999999992,0.0,0.0,0.0,0.0,0.0,91,394.9702,2560.0,302.0895999999996,153.30299999999974,274.0,0.0,554.086800000001,0.015,4.942965879265095,5.483656250000007,1.956764705882353,1.0627773648648648,3.533927742946677,50.88515833333333,1056.0,1143.0,528.0,2048.0,1276.0,204.0,193,0,0,1,51,0.0,2048.0,19830.492500000008,2058.3539,4667.5169,536,232,0,90,0.32169122536094075,0.7232223149121311,0.43237767655743964,1,6765.120299999986,5649.810000000003,0,0,34.0,512,0,0,19830.492500000008,536,103412.56379711586,103412.56379711586,0.0,120,34,0,1.5,0,0.0,512,512,103412.56379711586,536,61440.0,0,2179,66.53,14.0,1898.9884000000002,4,200.7933,200.79160000000005,1.0895386093186683,5120.0,85.30436197916667,0.16559650227864584,2411,0,0.0,0,6027.282550126101,4367.583333333333,430,0.8976756826288175,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,193,0.0,0,12,0.0,0,0.0,120.0,1168.2460999999994,14087.328110081828,0.0,14087.328110081828,0.0,200.7933,17041.45720000002,8624.8592,0.728405796578808,422,78922.94061362794,90,24489.623183487878,4,0.0,4,0.0,2,394.9702,-395.2792999999999,37.5,0,0,528,528,S4 rung 12 + everyone greedy,sumsy,9,2.9103830456733704e-11
3,512,4,4,31211.605800000005,0.0,13153.248291891914,3664.945399999999,572.8212,,572.5153,0.0,0.0,0.3059,0.0,0.0,0.0025,178.9098,1676.5995000000003,0.0,0.8814223854719999,554.5995000000004,628.7738666666676,0.02,377.36339999999916,1.061208,0.0,0.0,1.061208,0.0,3,0,157.3929495403478,2.3670035136656815,159.75995305401347,9.990139489854782,1.7356399038718318,11.725779393726613,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.061208,1.061208,0.0,0.0,0.0,0.06367247999999999,0.5,0.25,0.0,-15.108225000000001,0.0,60,2560.0,350.5211999999999,6302.6008999999995,558.8366999999989,0.0,0.0,0.0,0.0,0.0,140,469.3365,2560.0,350.5211999999999,181.16729999999998,274.0,0.0,317.9384999999998,0.015,5.1985822552447445,5.507465209790215,1.9253176470588238,1.3073608024691354,3.4836305409581336,49.35860358333334,1144.0,1144.0,572.0,2046.6666666666665,1371.0,204.0,169,0,0,0,57,0.0,2048.0,18819.402900000023,2258.48,7791.5824999999995,520,248,0,89,0.28833282717728026,0.7297024480775607,0.3738525083665434,0,7849.540600000007,5947.178099999987,0,0,51.0,512,0,0,18819.402900000023,520,128436.4822401602,128436.4822401602,0.0,120,51,0,1.5,0,0.0,512,512,128436.4822401602,520,61440.0,0,1438,98.19120000000001,21.0,1693.8941,4,169.37599999999998,169.38690000000136,1.3886339640973,5120.0,83.13802083333333,0.23776208223360076,1658,0,0.0,0,3834.648393304266,4256.666666666667,443,1.238279465491128,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,169,0.0,0,12,0.0,0,0.0,120.0,2154.9526,13312.057596901117,0.0,13312.057596901117,0.0,169.37599999999998,15996.37790000001,11743.956599999998,0.7347464996165434,423,87193.78078438886,89,41242.70145577142,4,0.0,4,0.0,2,469.3365,-393.6055,53.138868243243245,0,0,572,572,S4 rung 12 + everyone greedy,sumsy,9,2.9103830456733704e-11
4,512,4,4,33377.48649999998,0.0,14685.028499999988,2351.6509999999994,543.8895,,543.8895,0.0,0.0,0.0,0.0,0.0,0.0025,208.2574,1694.910975,0.0,0.8451077831905535,583.2817999999997,578.9168916666674,0.02,430.88029999999907,1.08243216,0.0,0.0,1.08243216,0.0,7,2,203.48775499206025,2.004791797755676,205.49254678981592,8.015861563839518,1.5120857139182151,9.527947277757734,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.08243216,1.08243216,0.0,0.0,0.0,0.0649459296,0.5,0.25,0.0,-69.32144835164843,0.0,63,2560.0,394.11930000000024,3586.5658,638.4508999999995,0.0,0.0,0.0,0.0,0.0,4,523.7048,2560.0,394.11930000000024,207.57060000000024,274.0,0.0,46.2633,0.015,5.563575213675209,5.559738119658122,1.924202985074627,1.4206899109792297,3.3875224678590694,47.87784547583333,1170.0,1170.0,585.0,2048.0,1430.0,204.0,154,0,0,0,42,0.0,2048.0,18575.487899999996,2539.2472,9948.537400000001,524,244,0,93,0.25682594170034956,0.7626461101509097,0.3513116543296446,4,8064.499099999981,6509.382999999994,0,0,134.0,512,0,0,18575.487899999996,524,163584.70413728,163584.70413728,0.0,146,134,0,1.5,0,0.0,512,512,163584.70413728,524,61440.0,0,1000,257.8432,54.0,1582.2518,4,118.6527,118.65700000000095,1.9386003400896243,5120.0,82.45279947916667,0.3102816062845614,1160,0,0.0,0,2407.798431637919,4221.583333333333,417,1.5591937523483772,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,154,0.0,0,12,0.0,0,0.0,120.0,2926.132000000001,11699.77825027821,0.0,11699.77825027821,0.0,118.6527,14453.762500000008,14070.0364,0.7669731196491627,419,113701.19736547467,93,49883.50677180541,4,0.0,4,0.0,2,523.7048,-335.63210000000004,65.36804012345677,0,0,585,585,S4 rung 12 + everyone greedy,sumsy,9,2.9103830456733704e-11
5,512,4,4,35507.27460000004,0.0,15333.568900000007,1436.0970000000004,515.2637,,515.2637,0.0,0.0,0.0,0.0,0.0,0.0025,260.2469,1730.4697199999998,0.0,0.8102893425231027,624.2348999999999,540.9588933333332,0.02,472.52770000000334,1.1040808032,0.0,0.0,1.1040808032,0.0,4,0,218.04934722314613,1.776856476966383,219.8262037001125,6.814187752013477,1.7265745643860666,8.540762316399544,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.1040808032,1.1040808032,0.0,0.0,0.0,0.066244848192,0.5,0.25,0.0,-144.3202483516484,0.0,64,2560.0,430.2118999999999,2064.1334,703.2746000000037,0.0,0.0,0.0,0.0,0.0,0,430.93100000000004,2560.0,430.2118999999999,230.74689999999975,274.0,0.0,0.0,0.015,5.622354380165289,5.656999504132211,1.9216390243902448,1.5403213296398883,3.335579629686067,46.44151011155833,1210.0,1210.0,605.0,2048.0,1515.0,204.0,133,0,0,0,50,0.0,2048.0,19410.23569999999,2964.9989,10912.1764,524,244,0,93,0.2230207917258018,0.7770730824530732,0.3280767903389139,2,8116.185099999986,6803.0488,0,0,246.0,512,0,0,19410.23569999999,524,182560.69013829224,182560.69013829224,0.0,186,246,0,1.5,0,0.0,512,512,182560.69013829224,524,61440.0,0,745,472.72320000000025,99.0,1528.6857,4,63.4685,63.474100000000156,2.2504348763796194,5120.0,81.84244791666667,0.3641308286775162,853,0,0.0,0,2338.384437050203,4190.333333333333,399,1.867575174985112,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,133,0.0,0,12,0.0,0,0.0,120.0,3812.413600000001,11089.008133935215,0.0,11089.008133935215,0.0,63.4685,14088.574899999996,15405.861,0.7806839060920936,419,128950.40714356296,93,53610.28299472948,4,0.0,4,0.0,2,563.8296,-255.0168,71.03449554896149,0,0,605,605,S4 rung 12 + everyone greedy,sumsy,9,2.9103830456733704e-11
6,512,4,4,37592.416899999975,0.0,18620.216899999974,4146.034099999997,486.6379,,486.6379,0.0,0.0,0.0,0.0,0.0,0.0025,335.9956,1757.4726999999998,0.0,0.7769054216111508,630.8291999999994,498.7250000000001,0.02,476.9201999999982,1.126162419264,0.0,0.0,1.126162419264,0.0,3,0,225.13604105823666,1.71378071638707,226.84982177462373,4.485385264785585,1.6377137121111889,6.123098976896774,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.126162419264,1.126162419264,0.0,0.0,0.0,0.06756974515584001,0.5,0.25,0.0,-229.76124835164768,0.0,68,2560.0,474.85769999999957,6063.503199999997,735.8564999999976,0.0,0.0,0.0,0.0,0.0,0,99.8946,2560.0,474.85769999999957,258.9363,274.0,0.0,0.0,0.015,5.601127242524917,5.617867774086386,1.9221898734177223,1.7016835195530717,3.296218047478107,45.04826480821157,1204.0,1204.0,602.0,2048.0,1505.0,204.0,135,0,0,0,55,0.0,2048.0,18046.323200000024,3362.2655999999997,14740.8603,524,244,0,93,0.17027439718561976,0.7800921455444907,0.3412783231736096,2,8057.469900000042,6743.7572,0,0,237.0,512,0,0,18046.323200000024,524,190353.04136646749,190353.04136646749,0.0,180,237,0,1.5,0,0.0,512,512,190353.04136646749,524,61440.0,0,863,455.5590000000002,95.0,1007.0776,4,9.8551,9.85060000000003,2.3411376080059085,5120.0,80.97330729166667,0.40900492385427456,950,0,0.0,0,3039.9904732513555,4145.833333333333,388,1.96861307973612,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,135,0.0,0,12,0.0,0,0.0,120.0,4494.258199999998,6943.349148218487,0.0,6943.349148218487,0.0,9.8551,12849.714899999995,19110.203500000003,0.7810370452415754,419,132814.99743180734,93,57538.04393466032,4,0.0,4,0.0,2,657.0791,-150.64229999999998,77.01606648199441,0,0,602,602,S4 rung 12 + everyone greedy,sumsy,9,2.9103830456733704e-11
7,512,4,4,39632.20089999999,0.0,19024.510700000028,1470.9821,458.01210000000003,,458.01210000000003,0.0,0.0,0.0,0.0,0.0,0.0025,420.6296,1775.739814285714,0.0,0.7448969182407714,628.4474999999996,456.51614761904744,0.02,455.3478000000013,1.14868566764928,0.0,0.0,1.14868566764928,0.0,3,0,229.50744546773615,1.5404525772064057,231.04789804494254,5.8478956868638825,1.5780113134652514,7.425907000329134,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.14868566764928,1.14868566764928,0.0,0.0,0.0,0.0689211400589568,0.5,0.25,0.0,-352.0187483516464,0.0,70,2560.0,520.216,2649.159000000002,744.1541000000018,0.0,0.0,0.0,0.0,0.0,0,389.53020000000004,2560.0,520.216,288.8062999999997,274.0,0.0,0.0,0.015,5.539612134251299,5.58212736660928,1.922974522292994,1.8962261127596436,3.142341283446001,43.69681686396523,1162.0,1162.0,581.0,2048.0,1431.0,204.0,154,0,0,0,58,0.0,2048.0,18812.3752,3670.871,15425.3544,524,244,0,93,0.2156553354504107,0.7806466402382588,0.3696488951190502,1,7603.966700000042,6437.029300000009,0,0,157.0,512,0,0,18812.3752,524,194641.09635775155,194641.09635775155,0.0,138,157,0,1.5,0,0.0,512,512,194641.09635775155,524,61440.0,0,800,301.90700000000004,63.0,913.4405,4,84.4197,84.41880000000005,2.340865684481659,5120.0,77.54069010416667,0.46561346905187945,859,0,0.0,0,2034.2215553574813,3970.0833333333335,383,2.1070515386494333,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,154,0.0,0,12,0.0,0,0.0,120.0,5322.566499999997,5334.166753561147,0.0,5334.166753561147,0.0,84.4197,12737.67600000001,20009.6659,0.7812858898386748,419,132553.02255773032,93,62088.07380002102,4,0.0,4,0.0,2,918.5231,-37.38250000000005,85.08417597765359,0,0,581,581,S4 rung 12 + everyone greedy,sumsy,9,2.9103830456733704e-11
8,512,4,4,41633.14359999998,0.0,19221.0011,1336.1678,429.3863,,429.3863,0.0,0.0,0.0,0.0,0.0,0.0025,560.9684,1786.8506624999995,0.0,0.7142071652092515,621.5421999999995,408.6274208333332,0.02,480.37540000000416,1.1716593810022657,0.0,0.0,1.1716593810022657,0.0,4,0,247.72443373603912,1.548910247650555,249.27334398368967,7.35957963818288,1.6784304922866717,9.038010130469551,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.1716593810022657,1.1716593810022657,0.0,0.0,0.0,0.07029956286013594,0.5,0.25,0.0,-482.1671871472254,0.0,72,2560.0,559.0572999999996,1990.6587999999997,795.7965000000039,0.0,0.0,0.0,0.0,0.0,1,250.0793,2560.0,559.0572999999996,315.42109999999934,274.0,0.0,0.0,0.015,5.455843170320398,5.562638758389281,1.920650000000001,1.9751278409090913,3.2129501208141966,42.385912358046276,1192.0,1186.0,596.0,2048.0,1502.0,204.0,136,0,0,0,72,0.0,2048.0,19991.455299999994,3960.4550999999997,15862.5301,524,244,0,93,0.24976729643049933,0.7895141083005188,0.3512534738955404,0,7967.22750000003,6470.629999999991,0,0,260.0,512,0,0,19991.455299999994,524,205447.4669998905,205447.4669998905,0.0,162,260,0,1.5,0,0.0,512,512,205447.4669998905,524,61440.0,0,871,499.36900000000026,104.0,1007.6554,4,93.2089,93.20559999999995,2.448942881749766,5120.0,76.84244791666667,0.5297539367784448,951,0,0.0,0,2595.624388775916,3934.3333333333335,369,2.2428486781103723,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,136,0.0,0,12,0.0,0,0.0,120.0,5965.7646,5123.253311099191,0.0,5123.253311099191,0.0,93.2089,12471.324800000013,20830.6406,0.7901539173515408,419,137726.01119090524,93,67721.45580898535,4,0.0,4,0.0,2,1043.9673000000003,131.58209999999997,94.81130563798217,0,0,596,596,S4 rung 12 + everyone greedy,sumsy,9,2.9103830456733704e-11
9,512,4,4,43598.2326,0.0,19514.941499999968,1500.4462,400.76050000000004,,400.76050000000004,0.0,0.0,0.0,0.0,0.0,0.0025,758.0268,1792.3609999999996,0.0,0.6847818300026304,612.1478999999999,344.7780666666666,0.02,506.7348000000046,1.195092568622311,0.0,0.0,1.195092568622311,0.0,3,0,266.60707077014666,1.5761500902860774,268.18322086043275,8.141964133686056,1.810194491774949,9.952158625461006,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.195092568622311,1.195092568622311,0.0,0.0,0.0,0.07170555411733866,0.5,0.25,0.0,-618.2370698502642,0.0,77,2560.0,594.9110000000002,2907.3413000000032,847.2302000000044,0.0,0.0,0.0,0.0,0.0,2,444.83799999999997,2560.0,594.9110000000002,340.49540000000013,274.0,0.0,0.0,0.015,5.38883516666667,5.5519577922078165,1.92128031088083,1.9675897849462356,3.1340665434463038,41.114334987304886,1232.0,1200.0,616.0,2048.0,1593.0,204.0,113,0,0,0,85,0.0,2048.0,20743.327699999998,4277.6494999999995,16217.5234,524,244,0,93,0.2573342317612597,0.7934680616739536,0.30742501961755053,0,8159.7081999999955,6466.602200000004,0,0,386.0,512,0,0,20743.327699999998,524,216470.66290585184,216470.66290585184,0.0,176,386,0,1.5,0,0.0,512,512,216470.66290585184,524,61440.0,0,622,741.6142000000004,155.0,1156.8672,4,65.7768,65.78079999999997,2.3840379114707706,5120.0,76.00911458333333,0.5700871233575995,742,0,0.0,0,2702.336625714636,3891.6666666666665,358,2.3520615077713556,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,113,0.0,0,12,0.0,0,0.0,120.0,6844.7828000000045,5834.281341635244,0.0,5834.281341635244,0.0,65.7768,12108.84109999999,21652.0401,0.7940845190356491,419,145135.98463061213,93,71334.67827523986,4,0.0,4,0.0,2,1231.7102,357.26629999999994,98.75639204545456,0,0,616,616,S4 rung 12 + everyone greedy,sumsy,9,2.9103830456733704e-11
10,512,4,4,45523.031499999975,0.0,19655.80679999998,1422.5061,372.13470000000007,,372.13470000000007,0.0,0.0,0.0,0.0,0.0,0.0025,975.9926,1794.5125199999998,0.0,0.656568818606522,604.6253999999997,272.83997333333326,0.02,496.0670000000015,1.2189944199947573,0.0,0.0,1.2189944199947573,0.0,8,0,279.6229481841596,1.3559936244004158,280.97894180856,10.043953312643115,1.7111522920755171,11.755105604718633,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.2189944199947573,1.2189944199947573,0.0,0.0,0.0,0.07313966519968544,0.5,0.25,0.0,-761.2112698502614,0.0,84,2560.0,635.2011000000005,2990.9972000000002,864.9995000000005,0.0,0.0,0.0,0.0,0.0,1,481.3103,2560.0,635.2011000000005,368.93250000000086,274.0,0.0,0.0,0.015,5.275505800865804,5.508620454545449,1.913838051044085,1.964462903225805,3.155389745515924,39.880904937685735,1232.0,1155.0,616.0,2048.0,1628.0,204.0,105,0,0,0,68,0.0,2048.0,21852.60770000001,4593.1105,16363.1943,524,244,0,93,0.29491573110366986,0.7977462552818473,0.2986207584283822,0,8279.211299999988,6093.209200000003,0,0,431.0,512,0,0,21852.60770000001,524,222558.49964043402,222558.49964043402,0.0,131,431,0,1.5,0,0.0,512,512,222558.49964043402,524,61440.0,0,1075,824.8642000000007,190.0,1256.8161,4,100.67840000000001,100.6756,2.4865551984169536,5120.0,74.4677734375,0.5866094234431002,1181,0,0.0,0,2527.458878467344,3812.75,353,2.3972385102542466,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,105,0.0,0,12,0.0,0,0.0,120.0,7466.923099999996,5545.437067706009,0.0,5545.437067706009,0.0,100.67840000000001,12117.725500000008,22213.1209,0.7983313457587391,419,150477.85653808346,93,72080.6431023505,4,0.0,4,0.0,2,1327.9018999999998,603.8579,98.37948924731178,0,0,616,616,S4 rung 12 + everyone greedy,sumsy,9,2.9103830456733704e-11
