round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,33164.68600000002,0.0,33286.812399999995,0.0,561.0,,0.0,0.0,561.0,0.0,561.0,0.0,0.00375,46.332,1683.0,0.0,1.0,561.0,1060.224,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4,0,11.005706443717123,0.11060528690277197,11.116311730619895,6.474471176470589,2.8235294117647056,9.298000588235293,0.0,0.0,0.0,0.0,0,0,0.0,0.0,46.332,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,122.12639999999999,122.12639999999999,0.0,0,203.34,529.214,203.34,46.332,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,5.0,5.200000000000013,NaN,0.75,3.594822888283399,3.9200000000000013,320.0,83.0,160.0,2048.0,734.0,204.0,328,0,0,0,47,36.0,2048.0,18514.49720000001,4159.266,6678.400799999999,768,0,0,128,0.1754876330649484,0.3612871901122776,0.6570960756815056,0,2758.5999999999963,415.0,47,0,0.0,0,0,0,0.0,0,0.0,24734.279042176317,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,208.0,3766.19,4,615.3975,615.3971999999999,0.2672094469600119,5120.0,88.54654947916667,-0.15322811848958337,157,0,0.0,0,3350.168212623585,4533.583333333333,142,0.12412199860388684,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,0,12,0.0,0,0.0,9065.28,9065.28,0.0,0.0,0.0,0.0,615.3975,6908.6572,14603.856800000003,0.3872071674795754,384,13129.144528972258,128,11605.134513204044,4,0.0,4,561.0,2,114.28640000000101,46.332,11.25,0,0,160,160,"X2 debt money, SuMSy fiscal package (comparison)",debt,10,-9.094947017729282e-13
2,512,4,4,35840.77460000008,0.0,36056.65730000003,0.0,1077.7717,,0.0,0.0,1077.7717,0.0,516.7717,2.1037,0.00375,317.9587,1683.0,0.0,1.0,561.0,833.8684166666667,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,28.429975706124004,1.7971090196078432,30.227084725731846,7.750339607843136,1.8686974509803922,9.619037058823528,0.0,0.0,0.0,0.0,0,0,0.0,0.0,317.9587000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,215.88269999999994,272.8495000000002,0.0,0,3532.439299999999,856.3506999999997,3475.4724999999985,317.9587000000001,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00566623174754111,4.835983606557346,5.489642256637165,1.8499999999999965,1.1337426991150432,3.4738222029487997,29.166635984848483,904.0,1098.0,452.0,2048.0,1153.0,204.0,223,0,0,0,60,50.0,2048.0,17941.8072,4933.781199999999,9335.4408,768,0,0,128,0.23597028892977168,0.5071544646973418,0.447550086324624,2,4517.768699999979,5309.909999999966,60,0,106.0,0,0,0,0.0,0,0.0,35541.681176598344,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,196.09999999999962,43.0,3311.7867,4,316.4504,316.4496,0.44800704044429557,5120.0,86.36881510416667,-0.13933812662760417,271,0,0.0,0,2809.8714256055555,4422.083333333333,302,0.37228493576270183,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,223,0.0,0,12,0.0,0,0.0,9065.28,9395.391900000002,3548.1376730245947,0.0,3548.1376730245947,0.0,316.4504,11638.7106,17581.0087,0.5221384615301197,384,12511.407710951093,128,23030.27346564725,4,0.0,4,561.0,2,208.4346999999983,317.9587,11.25,0,0,452,452,"X2 debt money, SuMSy fiscal package (comparison)",debt,10,-9.094947017729282e-13
3,512,4,4,36758.350599999954,0.0,36872.72319999999,0.0,1306.4539,,0.0,0.0,1306.4539,0.0,228.6822,4.041693875,0.00375,259.5206,1664.5992,0.0,1.0,542.5992000000002,815.2888333333333,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,58.58158413763788,1.9021298582939983,60.48371399593188,10.105093938115997,1.7700371392137366,11.875131077329733,0.0,0.0,0.0,0.0,0,0,0.0,0.0,259.52059999999994,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,284.43359999999996,445.06270000000086,0.0,3,1989.7520000000006,1072.1759999999986,3527.499300000002,259.52059999999994,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007218740856640432,4.810471749298372,5.443614048059135,1.8379166666666624,1.342096672828095,3.382483997515472,28.291636905303026,1082.0,1069.0,541.0,2048.0,1346.0,204.0,175,0,0,2,59,38.0,2048.0,18333.33719999997,6010.3985,9210.146,758,0,10,126,0.2867596012172362,0.6299213461358895,0.38703567876982303,0,5278.899600000001,5142.39429999996,59,0,144.0,0,0,0,0.0,0,0.0,56032.919023500515,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,264.6599999999994,58.0,2944.9483,4,260.056,260.0564,0.8380605110977162,5120.0,84.49381510416667,-0.13731590657552084,259,0,0.0,0,2195.90261371745,4326.083333333333,351,0.5476718610834518,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,175,0.0,0,12,0.0,0,0.0,9065.28,9781.342499999997,6805.236153957635,0.0,6805.236153957635,0.0,260.056,13370.750599999987,18165.492799999996,0.6381815997736926,386,30047.508515747904,126,25985.41050775262,4,0.0,4,561.0,2,277.3780048672553,259.5206,17.00614048672565,0,0,541,541,"X2 debt money, SuMSy fiscal package (comparison)",debt,10,-9.094947017729282e-13
4,512,4,4,37358.898100000006,0.0,37577.03590000001,0.0,1591.5656,,0.0,0.0,1591.5656,0.0,285.1117,4.899252125,0.00375,326.5923,1653.2491500000006,0.0,1.0,539.7330000000005,755.7011000000003,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,78.51373115494049,1.8291216452486725,80.34285280018915,10.467315497183876,1.639743993510249,12.107059490694123,0.0,0.0,0.0,0.0,0,0,0.0,0.0,326.59229999999997,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,388.1988,617.6141000000003,0.0,18,1730.1815,1129.634,2685.105700000002,326.59229999999997,0.0,0.0,0.0,0.0,0.0,19,36.9636,0.0,0.0,0.0,0.0,0.0,0.0,0.009065641346239758,5.438430979284367,5.434953518518535,1.841295121951222,1.439869444444443,3.2283233484724616,27.44288779814394,1080.0,1062.0,540.0,2045.3333333333335,1339.0,204.0,176,0,0,3,48,31.0,2048.0,17909.2092,6729.6883,9766.855599999999,763,0,5,126,0.30677125354312174,0.6807128141281693,0.38380225328485884,3,5094.635899999979,5775.613699999997,48,0,123.0,0,0,0,0.0,0,0.0,68137.19640161212,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,226.4793000000003,53.0,2589.5891,4,227.975,227.97560000000001,1.093151400905628,5120.0,83.39680989583333,-0.12281710123697916,250,0,0.0,0,946.3491369194621,4269.916666666667,367,0.8339697075205253,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,176,0.0,0,12,0.0,0,0.0,9065.28,10351.29199999999,5455.555619787439,0.0,5455.555619787439,0.0,227.975,13500.938699999997,19086.132999999998,0.6868974160097996,386,37592.939603606275,126,30544.25679800584,4,0.0,4,561.0,2,349.09465046210573,326.5923,20.131450092421424,0,0,540,540,"X2 debt money, SuMSy fiscal package (comparison)",debt,10,-9.094947017729282e-13
5,512,4,4,38302.775899999986,0.0,38595.89620000002,0.0,1881.1311999999998,,0.0,0.0,1881.1311999999998,0.0,289.5656,5.968321,0.00375,346.0887,1688.7130200000006,0.0,1.0,610.1894999999998,751.1473200000003,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,88.06615644836029,1.1685302449367216,89.23468669329701,9.409850875139345,1.0254613879692944,10.435312263108639,0.0,0.0,0.0,0.0,0,0,0.0,0.0,346.0887000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,463.18129999999996,799.6346000000013,0.0,208,2165.6561,1221.778299999999,3570.323999999999,346.0887000000001,0.0,0.0,0.0,0.0,0.0,19,0.0,0.0,0.0,0.0,0.0,0.0,4.69,0.01255924546563645,5.575876894639562,5.53040373831773,1.7864690909090892,1.5513970093457954,3.252215215230442,29.915265312980164,1070.0,1082.0,535.0,2044.0,1305.0,204.0,184,0,0,1,58,32.0,2048.0,16530.087399999993,6806.1104,12413.1612,765,0,3,126,0.3719887165087301,0.7319084644088205,0.3996869839536168,16,5070.871099999998,6033.098800000005,58,0,55.0,0,0,0,0.0,0,0.0,78449.65242240169,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,98.25579999999991,29.0,2207.3282,4,214.05159999999998,214.05159999999998,1.339127430356485,5120.0,83.3837890625,-0.10399246093749999,56,0,0.0,0,268.9290855579515,4269.25,365,1.13760402975025,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,184,0.0,0,12,0.0,0,0.0,9065.28,10202.53270000002,2177.7372041521817,0.0,2177.7372041521817,0.0,214.05159999999998,12273.317199999998,21426.599799999996,0.7365517289467305,386,42308.11286397673,126,36141.53955842486,4,0.0,4,561.0,2,351.64242499999864,346.0887,21.598041666666646,0,0,535,535,"X2 debt money, SuMSy fiscal package (comparison)",debt,10,-9.094947017729282e-13
6,512,4,4,38157.83880000001,0.0,38450.530400000025,0.0,2167.7086,,0.0,0.0,2167.7086,0.0,286.5774,7.054121,0.00375,319.4135,1720.0668000000003,0.0,1.0,625.6119,770.9224000000002,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5,3,103.17293316014214,0.5242529640693623,103.69718612421148,9.32399477987117,0.5827114752307356,9.906706255101904,0.0,0.0,0.0,0.0,0,0,0.0,0.0,319.4135,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,462.7525999999997,1001.8958999999999,0.0,400,1213.5509999999997,1358.4880999999984,2889.9214000000006,319.4135,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,32.309999999999995,0.013670747372734486,5.588537357414448,5.616779182156133,1.764768627450979,1.7023581005586583,3.2766488793705943,32.3473781785662,1076.0,1052.0,538.0,2046.6666666666667,1305.0,204.0,185,4,4,14,49,33.0,2044.0,15352.282099999993,6818.237499999999,13796.9835,765,1,2,126,0.4163633597941805,0.776008157738111,0.4485533073728585,46,5187.8230999999605,5879.141299999999,49,0,51.0,0,0,4,0.0,0,0.0,87683.19660858824,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,90.00319999999994,23.0,1870.9222,4,182.9466,182.94640000000004,1.5484403937095963,5120.0,83.447265625,-0.08842843334732768,103,0,0.0,0,653.8174755660355,4272.5,361,1.2827534824587423,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,185,0.0,0,12,0.0,0,0.0,9065.28,9912.273999999998,1312.9561214927967,0.0,1312.9561214927967,0.0,182.9466,11204.337899999995,22486.143200000002,0.7794719511612009,386,45291.270029617095,126,42391.92657897087,4,0.0,4,561.0,2,333.3535102803721,319.4135,23.27095514018693,0,0,538,538,"X2 debt money, SuMSy fiscal package (comparison)",debt,10,-9.094947017729282e-13
7,512,4,4,37067.852499999986,0.0,37387.24819999998,0.0,2483.4589,,0.0,0.0,2483.4589,0.0,315.7503,8.128857250000001,0.00375,307.5995,1743.072171428572,0.0,1.0,627.0348000000004,784.7284761904764,0.0,0.0,1.0,0.0,0.0,1.0,0.0,17,9,115.70159711915854,0.0828369910996332,115.78443411025818,9.323158682854508,0.2690924721721974,9.592251155026705,0.0,0.0,0.0,0.0,0,0,0.0,0.0,307.5995,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,489.4566999999993,1208.2555999999984,0.0,606,325.5478,1415.5341000000003,2787.7951,307.5995,0.0,0.0,0.0,0.0,0.0,25,0.0,0.0,0.0,0.0,0.0,0.0,109.2808,0.014543230225911873,5.515139117929048,5.596059195402276,1.7280187499999995,1.8755523076923086,3.2621207613651357,31.37695683320921,1044.0,1043.0,522.0,2025.3333333333342,1275.9999999999998,204.0,189,11,10,25,58,39.0,2037.0,14212.912100000007,6750.2415,14216.3992,766,2,0,126,0.4573583500554437,0.8044288705928704,0.4882814610601165,75,5137.754199999996,5752.290099999997,59,1,64.0,0,0,11,0.0,0,0.0,95262.86109491815,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,110.59319999999997,26.0,1580.7001999999998,4,213.95510000000002,213.95149999999947,1.7029319902221511,5120.0,83.60188802083333,-0.07484781505506577,133,0,0.0,0,808.9701305530606,4280.416666666667,350,1.3734916437310183,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,189,0.0,0,12,0.0,0,0.0,9065.28,9577.912999999991,1358.0714027446365,0.0,1358.0714027446365,0.0,213.95510000000002,9904.328799999996,22547.340900000007,0.8071544065355101,386,49428.28467786116,126,45834.576417057135,4,0.0,4,561.0,2,313.90770000000094,307.5995,25.535371508379875,0,0,522,522,"X2 debt money, SuMSy fiscal package (comparison)",debt,10,-9.094947017729282e-13
8,512,4,4,35983.68489999999,0.0,36258.036199999995,0.0,2800.9376,,0.0,0.0,2800.9376,0.0,317.4787,9.312920875000001,0.00375,259.1538,1756.1000625000004,0.0,1.0,615.7651000000001,811.5163875000003,0.0,0.0,1.0,0.0,0.0,1.0,0.0,16,5,124.66006215960078,0.006403646871992415,124.66646580647277,9.047637306039485,0.1953391430358235,9.242976449075309,0.0,0.0,0.0,0.0,0,0,0.0,0.0,259.1538,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,444.4122999999996,1407.2691999999954,0.0,785,345.69599999999997,1429.8636,2507.131100000001,259.1538,0.0,0.0,0.0,0.0,0.0,26,0.0,0.0,0.0,0.0,0.0,0.0,107.32419999999998,0.015,5.482370619097587,5.58587461240313,1.8376117647058832,1.9302066147859902,3.2275293142425197,30.435648128212936,1032.0,953.0,516.0,2004.0000000000011,1265.0000000000002,203.0,188,30,30,35,36,27.0,2012.0,13424.8724,6697.2245,14274.187600000001,766,2,0,126,0.4760821261953858,0.8181899136141575,0.4974101305784133,106,5074.950600000018,5224.6992,40,4,68.0,0,0,30,0.0,0,0.0,100156.77276347292,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,124.95760000000006,28.0,1328.2466,4,227.02499999999998,227.0270999999995,1.7759555968771545,5120.0,83.779296875,-0.06666244190705128,153,0,0.0,0,1028.6077277849708,4289.5,333,1.382703761737597,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,188,0.0,0,12,0.0,0,0.0,9065.28,9156.285099999988,1683.1632541699125,0.0,1683.1632541699125,0.0,227.02499999999998,8778.83650000001,22299.658700000004,0.8206253439518036,386,50452.27400162922,126,49704.4987618437,4,0.0,4,561.0,2,269.2553000000021,259.1538,28.13328461538463,0,0,516,516,"X2 debt money, SuMSy fiscal package (comparison)",debt,10,-9.094947017729282e-13
9,512,4,4,34980.529300000024,0.0,35224.27070000002,0.0,3158.3626000000004,,0.0,0.0,3158.3626000000004,0.0,357.425,10.503320875000002,0.00375,324.1634,1763.0029333333334,0.0,1.0,606.0752999999995,788.7449888888889,0.0,0.0,1.0,0.0,0.0,1.0,0.0,28,19,122.81814889420836,-0.12998891413975622,122.68815998006862,8.625119720373792,0.12531218534261337,8.750431905716406,0.0,0.0,0.0,0.0,0,0,0.0,0.0,324.16339999999997,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,413.80239999999986,1601.4418,0.0,973,425.8984,1429.0539999999985,2580.027299999999,324.16339999999997,0.0,0.0,0.0,0.0,0.0,37,0.0,0.0,0.0,0.0,0.0,0.0,133.56189999999998,0.015,5.396784155299057,5.508618749999987,1.8496718309859153,1.9126903563941324,3.1644565200849413,29.522578684366547,960.0,953.0,480.0,1965.3333333333348,1191.9999999999998,201.0,200,54,51,37,59,36.0,1986.0,12504.721499999989,6613.003600000001,14431.497800000001,765,3,0,126,0.48701559467270483,0.826041470768917,0.5026378291358762,113,4684.384699999975,5143.135300000002,66,7,71.0,0,0,54,0.0,0,0.0,97829.868204904,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,131.3267,29.0,1107.143,4,302.152,302.1534999999995,1.711229489751826,5120.0,83.87044270833333,-0.05644150882706104,143,0,0.0,0,875.8429201766816,4294.166666666667,327,1.42697085041845,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,200,0.0,0,12,0.0,0,0.0,9065.28,8831.034699999995,966.9578513934891,0.0,966.9578513934891,0.0,302.152,7854.419999999999,22151.6444,0.8283681947846646,386,49223.87613716407,126,48605.99206774,4,0.0,4,561.0,2,239.03739999999897,324.1634,28.953099221789852,0,0,480,480,"X2 debt money, SuMSy fiscal package (comparison)",debt,10,-9.094947017729282e-13
10,510,4,4,34011.3179,0.0,34233.05780000005,0.0,3433.7520000000004,,0.0,0.0,3433.7520000000004,0.0,275.3894,11.843720875000002,0.00375,315.7817,1763.0153100000002,0.0,1.0,587.7089,787.8225533333334,0.0,0.0,1.0,0.0,0.0,1.0,0.0,38,13,134.9966280451804,-0.21033056795024396,134.78629747723014,8.90659351234225,0.11606058414502565,9.022654096487276,0.0,0.0,0.0,0.0,0,0,0.0,0.0,315.7817,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,391.8008999999995,1788.9169000000018,0.0,1163,483.61910000000006,1452.8305000000012,2089.9536999999987,315.7817,0.0,0.0,0.0,0.0,0.0,34,0.0,0.0,0.0,0.0,0.0,0.0,103.48849999999995,0.014913839387145468,5.292828258488499,5.51878489361702,1.8615955882352937,1.895371120689657,3.107484241876782,28.63690132383555,940.0,913.0,470.0,1933.6666666666677,1163.9999999999995,198.0,209,51,44,54,41,30.0,1986.0,11986.016799999974,6518.4996,14286.9848,762,6,0,126,0.5227229763661418,0.8440645982440373,0.5223776162695435,148,4496.902600000017,4832.352199999999,47,6,68.0,0,0,51,0.0,0,0.0,102416.19665934466,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,126.58849999999997,28.0,904.0350000000001,4,311.0734,311.0744999999991,1.833456789203123,5120.0,83.9990234375,-0.052400075975334116,144,0,0.0,0,926.1095361371106,4300.75,304,1.4522843620697266,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,209,0.0,0,12,0.0,0,0.0,9065.28,8436.403300000004,743.7681414455587,0.0,743.7681414455587,0.0,311.0734,7263.633700000001,21709.519399999997,0.8464209799644662,384,49515.22111176906,126,52900.97554757587,4,0.0,4,836.3894,2,217.42789999999866,315.7817,28.690355345911986,2,0,470,470,"X2 debt money, SuMSy fiscal package (comparison)",debt,10,-9.094947017729282e-13
