round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,27468.69000000001,0.0,27590.816399999996,0.0,3516.76,,0.0,3348.76,168.0,0.0,168.0,0.0,0.00375,49.932,0.0,0.0,1.0,3940.0011999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,24.361267786430464,3.4633932279587407,27.824661014389203,8.194297843137257,2.292724509803921,10.487022352941178,0.0,0.0,0.0,0.0,0,0,0.0,0.0,49.932,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,122.12639999999999,122.12639999999999,0.0,0,3572.6240000000007,529.214,3572.6240000000007,473.1732000000044,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3280.0,0.0,0.005,5.0,5.200000000000013,NaN,0.75,3.729700272479588,3.9200000000000013,320.0,83.0,160.0,2048.0,734.0,204.0,328,0,0,0,47,36.0,2048.0,19663.704,2163.1396,3477.446,720,48,0,128,0.23186149499812525,0.3988943119614832,0.06859606684137254,1,5678.360000000013,415.0,47,0,0.0,0,0,0,0.0,0,0.0,36788.96772496884,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,208.0,2114.4683999999997,4,0.0,0.0,0.3544378017565947,5120.0,80.15787760416667,-0.2586396223958334,338,0,0.0,0,4485.5222944232755,4104.083333333333,325,0.16135859723469656,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,0,12,0.0,0,0.0,1440.0,15.0,1310.2260000000006,0.0,1310.2260000000006,0.0,0.0,12612.53390000001,7755.054,0.40921551158849634,384,15333.983925034947,128,21454.983799933874,4,48.0,4,120.0,2,114.28640000000101,-3298.8280000000004,11.25,0,0,160,160,10 + responsive prices,debt,10,-4.3655745685100555e-11
2,512,4,4,27146.5711,0.0,27349.6651,0.0,5509.631600000001,,0.0,3181.322,2328.3096000000005,0.0,2160.3095999999996,0.63,0.00375,374.9301,0.0,0.0,1.0,2740.0011999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,45.127100611216065,3.2555764029551946,48.38267701417126,6.119662549019607,2.5381582352941177,8.657820784313724,0.0,0.0,0.0,0.0,0,0,0.0,0.0,349.54130000000004,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,203.09399999999994,260.0608000000001,0.0,7,401.5343,723.6531999999999,3446.8521000000005,1089.5015000000212,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2080.0,0.0,0.005654936122562076,4.911779398359144,5.519169623059863,1.8500000000000085,1.1317009950248744,3.5521233305852977,3.802399999999999,902.0,1097.0,451.0,2048.0,1213.0,204.0,208,0,0,1,60,50.0,2048.0,18175.271300000004,2301.4660999999996,4358.3781,719,49,0,128,0.17141674055996425,0.5184878394883707,0.09381734032741296,0,6129.09919999997,5388.221999999981,60,0,259.0,0,0,0,0.0,0,0.0,49430.052146755654,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,479.1500000000022,105.0,1936.5255000000002,4,84.62989999999999,59.24120000000001,0.5223685436219632,5120.0,69.79817708333333,-0.23800099446614584,307,0,0.0,0,3658.6356757574745,3573.6666666666665,424,0.451912070898778,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,208,0.0,0,12,0.0,0,0.0,1440.0,346.5328,11483.074737329784,0.0,11483.074737329784,0.0,84.62989999999999,14393.699199999981,8596.3697,0.5260151591554183,384,16791.06868604184,128,32638.983460713764,4,48.0,4,120.0,2,195.64600000000095,-2806.3919,11.25,0,0,451,451,10 + responsive prices,debt,10,-4.3655745685100555e-11
3,512,4,4,27974.8520000001,0.0,28217.274899999986,0.0,6770.920800000001,,0.0,3013.884,3757.0368000000008,0.0,1428.7272,8.731130125,0.00375,383.8576,0.0,0.0,1.0,2414.4710935278026,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,69.85949626019038,3.1138412158515316,72.97333747604192,4.797045530920213,2.4228356667852418,7.219881197705455,0.0,0.0,0.0,0.0,0,0,0.0,0.0,345.16120000000006,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,242.4229,396.82910000000004,0.0,9,1567.9963,739.7154000000002,2693.8306999999995,1186.7481000000316,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1766.1191999999999,0.0,0.008571680214924032,5.5947622429906465,5.4660488929889075,1.8234999999999955,1.3429119675456371,3.5058111215123153,13.42051223501361,1084.0,1070.0,542.0,2046.6666666666667,1338.0,204.0,177,0,0,1,59,38.0,2048.0,17137.703200000004,3707.6536000000006,5073.235699999999,719,49,0,128,0.14487866749353207,0.6072846810026751,0.1121842126509005,0,6316.057500000009,5986.395599999992,59,0,120.0,0,0,0,0.0,0,0.0,64836.025141666956,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,218.81999999999945,48.0,1672.4019,4,128.98829999999998,90.2916,0.7929272390215734,5120.0,68.57747395833333,-0.2170708604924596,191,0,0.0,0,1300.3087283230516,3511.1666666666665,433,0.841734281610568,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,177,0.0,0,12,0.0,0,0.0,1440.0,523.9907999999999,13584.931396069172,0.0,13584.931396069172,0.0,128.98829999999998,14877.390099999988,10453.291200000001,0.6129377233452478,384,17486.399661358428,128,47349.62548030848,4,48.0,4,120.0,2,235.3669000000014,-2630.0264,16.975514925373115,0,0,542,542,10 + responsive prices,debt,10,-4.3655745685100555e-11
4,512,4,4,30678.01449999983,0.0,30948.390799999976,0.0,8109.6104000000005,,0.0,2846.446,5263.164400000001,0.0,1506.1276,14.08888975,0.00375,377.4373,0.0,0.0,1.0,2516.2623838550326,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,80.47349173767083,2.7591357427898098,83.23262748046064,2.1587969886449985,2.094604420441998,4.2534014090869965,0.0,0.0,0.0,0.0,0,0,0.0,0.0,351.6949,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,270.3763000000001,542.5902999999994,0.0,37,3525.3989000000006,822.2363999999998,5352.445299999999,1200.3111000000072,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1777.7519999999997,0.0,0.01014492059756632,5.762727024482106,5.691800000000001,1.8110162162162131,1.4484221995926698,3.563029414981211,13.0178968679632,1080.0,1062.0,540.0,2046.6666666666667,1340.0,204.0,177,0,0,3,48,31.0,2048.0,16797.772300000026,3845.3181,8317.2649,719,49,0,128,0.09062393354301679,0.6332399195558751,0.11733583013753868,0,6440.514900000034,6120.016099999997,48,0,74.0,0,0,0,0.0,0,0.0,80947.18316842322,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,134.01519999999977,54.0,1340.2219,4,85.8089,60.06639999999999,1.124391892051843,5120.0,67.99641927083333,-0.19728653326585213,83,0,0.0,0,573.7687577758713,3481.4166666666665,436,1.1385029143636378,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,177,0.0,0,12,0.0,0,0.0,1440.0,1429.5367000000006,10226.761627765864,0.0,10226.761627765864,0.0,85.8089,14497.861100000015,13502.8049,0.6385557912153219,384,20476.07718413059,128,60471.10598429261,4,48.0,4,120.0,2,263.71230000000173,-2469.0087,20.14367951318456,0,0,540,540,10 + responsive prices,debt,10,-4.3655745685100555e-11
5,512,4,4,31759.997300000123,0.0,32073.680999999997,0.0,9814.119099999996,,0.0,2679.008,7135.111099999996,0.0,1871.9467,19.736845624999997,0.00375,357.3773,0.0,0.0,1.0,2863.3763485182158,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,102.37395038429356,2.595282515035334,104.96923289932889,1.8620242134176563,2.0115748695882187,3.873599083005875,0.0,0.0,0.0,0.0,0,0,0.0,0.0,357.37730000000005,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,313.6837000000003,717.8727000000002,0.0,65,2106.608100000001,1024.6253000000002,3325.475899999999,1172.7846000000002,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2102.703799999997,0.0,0.00904340858383246,5.791863955637706,5.7335835514018765,1.747296666666664,1.5773683127572005,3.580964085300373,15.931380414839412,1070.0,1082.0,535.0,2044.0,1304.0000000000002,204.0,185,0,0,1,58,32.0,2048.0,16978.32569999999,3947.1219,10339.1884,719,49,0,128,0.08135846121326851,0.6795836051732482,0.10999335757829831,0,6723.475000000008,6266.796799999998,58,0,60.0,0,0,0,0.0,0,0.0,97452.59199961432,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,104.83779999999985,28.0,137.984,4,0.0,0.0,1.4908235492433395,5120.0,67.7197265625,-0.191272107475576,56,0,0.0,0,516.3700492903905,3467.25,436,1.388106063212156,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,185,0.0,0,12,0.0,0,0.0,1440.0,2038.6831000000018,8772.381223294346,0.0,8772.381223294346,0.0,0.0,14916.447799999989,14424.294299999998,0.6797425497427769,384,21536.020700234287,128,75916.57129937988,4,48.0,4,120.0,2,307.4116999999996,-2321.6306999999997,21.726332993890047,0,0,535,535,10 + responsive prices,debt,10,-4.3655745685100555e-11
6,512,4,4,32129.36269999996,0.0,32476.446300000007,0.0,11563.03349999998,,0.0,2511.57,9051.46349999998,0.0,1916.3523999999966,26.756063375000004,0.00375,335.2292,0.0,0.0,1.0,2908.628790989079,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,105.44092122678386,2.557601433968047,107.9985226607519,1.5342287363289198,2.103285610807442,3.637514347136362,0.0,0.0,0.0,0.0,0,0,0.0,0.0,335.22920000000005,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,347.0836000000001,904.8030000000005,0.0,86,1490.8246999999992,1121.4592999999995,3448.3026000000013,1177.7177000000017,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,2144.102699999996,0.0,0.011050407545674563,5.790626536312851,5.75921885397413,1.7647722222222222,1.7521609756097563,3.646112685693397,15.453439002394228,1082.0,1074.0,541.0,2046.6666666666665,1304.0,204.0,186,0,0,0,49,33.0,2048.0,16412.211199999998,3983.6526000000003,11392.0295,719,49,0,128,0.07587485354159607,0.6856219027845076,0.11631293555354105,0,6918.2080000000215,6219.132900000001,49,0,36.0,0,0,0,0.0,0,0.0,100820.24061688203,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,63.5318,16.0,6.2402,4,0.0,0.0,1.5234743204051657,5120.0,67.59928385416667,-0.17186363102414481,33,0,0.0,0,248.38738054566033,3461.0833333333335,437,1.4842333647569435,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,186,0.0,0,12,0.0,0,0.0,1440.0,2675.2033999999994,8279.44827250961,0.0,8279.44827250961,0.0,0.0,14424.694800000001,15381.9223,0.6855654655964909,384,21481.267047472917,128,79338.97356940906,4,48.0,4,120.0,2,341.20359999999994,-2176.3408,23.660524691358006,0,0,541,541,10 + responsive prices,debt,10,-4.3655745685100555e-11
7,512,4,4,34599.047299999984,2.9265,29698.14570000001,0.0,13354.67430000001,,0.0,2661.3451,10693.32920000001,0.0,1641.8656999999994,33.93716937500007,0.00375,326.3942,0.0,0.0,1.0,2937.22992847291,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,114.49496487251511,2.6316894558986834,117.12665432841379,1.5892281107888468,2.1120277138918295,3.7012558246806764,0.0,0.0,0.0,0.0,0,0,0.0,0.0,326.3942,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,353.76920000000024,1081.6823000000004,5273.5368,115,3537.302500000002,1064.6914,4239.961500000001,1183.2601000000004,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,2172.8725999999997,0.0,0.01170689570528074,5.737583379501386,5.740898134328352,1.7326272727272718,1.9620503080082137,3.6704748478343383,7.177729158933031,1072.0,1083.0,536.0,2048.0,1296.0,204.0,188,0,0,1,58,35.0,2048.0,16363.856500000002,3913.5382,13994.891,719,49,0,128,0.07792574898364846,0.6785038080593566,0.12537017075158485,0,7028.460400000005,6213.8028,58,0,44.0,0,0,0,0.0,0,0.0,110585.47211833183,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,76.23559999999996,5.0,0.3674,1,0.0,0.0,1.6977534764741384,5120.0,56.6796875,-0.08950473704268294,41,0,0.0,0,214.12842465087047,2902.0,438,2.1064942730213625,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,188,0.0,0,9,0.0,0,0.0,1080.0,3391.7881000000016,5950.0922534462525,0.0,5950.0922534462525,0.0,0.0,14359.538200000006,17908.796599999998,0.7600995241963429,384,23717.028516614962,128,86868.44360171694,4,48.0,4,120.0,2,-4909.316099999997,-2334.9509,26.282414634146345,0,3,536,536,10 + responsive prices,debt,10,-4.3655745685100555e-11
8,512,4,4,34539.57020000001,6.7907,27960.543900000015,0.0,15086.625600000018,,0.0,2709.0461,12377.579500000018,0.0,1684.2503000000004,40.090177875000144,0.00375,299.0839,0.0,0.0,1.0,2878.153604450117,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,117.72775823834594,2.555608331433559,120.28336656977949,1.69553091546452,2.136756679065212,3.832287594529732,0.0,0.0,0.0,0.0,0,0,0.0,0.0,299.08389999999997,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,377.4473,1282.411000000005,6979.2651,138,1194.8679000000009,1250.4807999999991,1180.2180000000008,1172.3024000000003,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2120.797100000001,0.0,0.012306963398036162,5.700605943396219,5.845827490774914,1.7424307692307694,2.0550046653144047,3.6677019878674106,3.167292751542029,1084.0,1060.0,542.0,2046.6666666666665,1311.0,204.0,184,0,0,2,42,31.0,2048.0,16193.585799999984,3855.1372,14191.763299999999,719,49,0,128,0.07881328462277648,0.6831326398665776,0.129946626525131,0,7069.052399999988,6042.642299999992,42,0,52.0,0,0,0,0.0,0,0.0,113330.6067943463,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,90.60640000000001,0.0,0.0,0,0.0,0.0,1.686672766662051,5120.0,51.06201171875,-0.03585106014682529,51,0,0.0,0,307.11726099453637,2614.375,438,2.376759323526337,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,184,0.0,0,8,0.0,0,0.0,960.0,3837.9031000000004,6414.477872396525,0.0,6414.477872396525,0.0,0.0,14160.433599999993,18046.9005,0.7913235885826313,384,23497.484579672026,128,89833.12221467413,4,48.0,4,120.0,2,-6590.912999999999,-2409.9622,29.430754620123206,0,4,542,542,10 + responsive prices,debt,10,-4.3655745685100555e-11
9,512,4,4,35090.52169999994,10.654900000000001,28521.35979999998,0.0,16983.862800000014,,0.0,3141.547,13842.315800000013,0.0,1464.7363000000012,46.402069250000174,0.00375,325.9237,0.0,0.0,1.0,2984.3214848958455,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,122.6472287151686,2.5092565402527933,125.15648525542137,2.1005403741418007,1.874008384268145,3.9745487584099455,0.0,0.0,0.0,0.0,0,0,0.0,0.0,325.547,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,383.4474999999998,1473.5736000000031,6979.2651,147,1842.6197000000009,1287.8039999999999,3114.6033000000025,1173.8868999999927,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2231.8435999999997,0.0,0.014164295585516802,5.6936922586520895,6.219562711864398,NaN,2.08696929460581,3.66496223806124,3.072273968995767,1062.0,1098.0,531.0,2045.3333333333335,1268.0,204.0,194,0,0,2,69,38.0,2048.0,16298.968300000004,3960.1727,14505.457,719,49,0,128,0.09884699104745232,0.6906804587901474,0.1333614821365725,0,7036.971200000002,6251.674099999994,69,0,0.0,0,0,0,0.0,0,0.0,116646.5994383681,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,1.2603,0.881599999999995,1.7239692827869217,5120.0,51.02783203125,-0.007954381616062317,16,0,0.0,0,118.77902987699056,2612.625,438,2.4463117187718533,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,194,0.0,0,8,0.0,0,0.0,960.0,4515.5334,5817.039196017567,0.0,5817.039196017567,0.0,1.2603,14229.517600000005,18465.6297,0.7959894726595347,384,23310.925087275788,128,93335.67435109236,4,48.0,4,120.0,2,-6584.520899999999,-2815.6233,30.82506997971607,0,4,531,531,10 + responsive prices,debt,10,-4.3655745685100555e-11
10,512,4,4,35420.88630000003,14.5191,28863.797799999986,0.0,18768.23190000003,,0.0,3179.1966,15589.035300000032,0.0,1746.7194999999992,51.890341500000105,0.00375,300.502,0.0,0.0,1.0,2909.477934976318,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,127.6877160408879,2.4924840514351763,130.18020009232308,1.8926999372009168,2.0474640817550367,3.9401640189559535,0.0,0.0,0.0,0.0,0,0,0.0,0.0,300.502,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,391.6566999999998,1673.1866000000027,6979.2651,162,1715.8763,1381.6475000000014,4459.2734,1167.3074999999988,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2157.915200000003,0.0,0.013613576760872579,5.706394835680757,6.2545317431192915,NaN,2.112680040322577,3.6503333164676492,2.9801057499258943,1090.0,1065.0,545.0,2045.3333333333335,1296.0,204.0,188,0,0,2,47,34.0,2048.0,16293.011099999994,4080.9712,14746.402,719,49,0,128,0.08909712385390156,0.6943993308180088,0.13559332184792017,0,7069.830199999988,6077.310500000006,47,0,0.0,0,0,0,0.0,0,0.0,121149.66530737182,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,1.8014111368419958,5120.0,50.9912109375,0.012419407508185312,27,0,0.0,0,113.97360880828796,2610.75,438,2.452117249430129,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,188,0.0,0,8,0.0,0,0.0,960.0,5186.944,6738.233149039048,0.0,6738.233149039048,0.0,0.0,14044.983399999992,18827.3732,0.7957964463501488,384,23982.03742800494,128,97167.62787936688,4,48.0,4,120.0,2,-6575.9196999999995,-2878.6946000000003,31.30453941908715,0,4,545,545,10 + responsive prices,debt,10,-4.3655745685100555e-11
