round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,27381.30600000003,0.0,27503.432399999998,0.0,3516.7599999999998,,0.0,3358.56,158.2,0.0,158.2,0.0,0.00375,45.432,11820.0036,0.0,1.0,3940.0011999999997,7396.185199999995,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,21.44931099443432,3.5031277731107044,24.952438767545026,6.470085098039218,2.219042156862745,8.689127254901962,0.0,0.0,0.0,0.0,0,0,0.0,0.0,45.432,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,122.12639999999999,122.12639999999999,0.0,1,3485.2400000000002,529.2139999999999,3730.0401,468.67320000000444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3280.0,0.0,0.005,5.0,5.200000000000013,NaN,0.75,3.729700272479588,3.9200000000000013,320.0,71.0,160.0,2048.0,734.0,204.0,328,0,0,0,42,29.0,2048.0,19710.36000000001,2163.1396,3431.746,720,48,0,128,0.20420876572015967,0.37571848468227986,0.06914577441539072,1,5678.360000000012,355.0,42,0,0.0,0,0,0,0.0,0,0.0,35261.535533605296,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,208.0,2030.6283999999996,4,0.0,0.0,0.3655359147268167,5120.0,85.67057291666667,-0.2593834375000001,243,0,0.0,0,3346.5061045604843,4386.333333333333,227,0.12494947540560601,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,0,12,0.0,0,0.0,1440.0,30.0,1439.766000000001,0.0,1439.766000000001,0.0,0.0,9115.174699999996,7625.514000000001,0.3864480823846703,384,15352.293169403012,128,19909.242364202182,4,48.0,4,110.20000000000005,2,114.28639999999919,-3313.128,11.25,0,0,160,160,11 + government reserve,debt,1,-2.9103830456733704e-11
2,512,4,4,26939.58260000001,0.0,27142.2396,0.0,5295.1803,,0.0,3190.632,2104.5483,0.0,1946.3482999999997,0.5932000000000001,0.00375,371.9167,9750.0036,0.0,1.0,2560.0011999999997,5578.967766666651,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,43.31606365601033,3.1525047377717432,46.46856839378207,5.995879215686275,2.420893137254902,8.416772352941177,0.0,0.0,0.0,0.0,0,0,0.0,0.0,370.5079,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,202.65699999999998,259.6238,0.0,8,277.1236,718.8469999999998,3309.347400000001,1125.4516000000256,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1900.0,0.0,0.005610089027356534,4.893999999999955,5.492208240534516,1.8500000000000145,1.123989775561097,3.552990209790181,3.802399999999999,898.0,1095.0,449.0,2048.0,1287.0,204.0,190,0,0,1,59,42.0,2048.0,17951.035299999985,2300.2156999999997,4313.8856,720,48,0,128,0.16886007584345708,0.5234099187492083,0.0927493867374154,0,6169.884599999964,5358.92999999995,59,0,457.0,0,0,0,0.0,0,0.0,46606.689783800575,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,845.4500000000066,183.0,2002.5293000000001,4,4.6962,3.2872,0.5263033756640784,5120.0,74.94954427083333,-0.236557978515625,388,0,0.0,0,4029.924790384381,3837.4166666666665,421,0.4542731365945521,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,12,0.0,0,0.0,1440.0,238.4691,11535.703646049138,0.0,11535.703646049138,0.0,4.6962,14428.66199999999,8616.6306,0.5308265646495229,384,15180.672338546292,128,31426.017445254274,4,48.0,4,110.20000000000005,2,195.20899999999924,-2818.7153,11.25,0,0,449,449,11 + government reserve,debt,1,-2.9103830456733704e-11
3,512,4,4,27745.29140000003,0.0,27986.454299999987,0.0,6591.970800000001,,0.0,3022.704,3569.2668000000003,0.0,1464.7185,7.8919327500000005,0.00375,306.7257,8939.649199999998,0.0,1.0,2439.6467999999986,4958.979133333312,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,54.709153001705616,3.2239941434011876,57.93314714510681,5.238627330785244,2.613235294117671,7.851862624902914,0.0,0.0,0.0,0.0,0,0,0.0,0.0,262.6972999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,241.16290000000004,395.3506,0.0,12,1537.5143000000003,731.8055000000002,5080.2191,1101.5105000000292,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1793.6400000000003,0.0,0.008642012086206026,4.847342056074809,5.461347037037037,1.8242857142857105,1.3384310975609746,3.507395389266879,18.067698855383977,1080.0,1070.0,540.0,2046.6666666666667,1322.9999999999998,204.0,180,0,0,1,56,33.0,2048.0,17698.25370000001,3697.3498000000004,4327.734,720,48,0,128,0.15642890334331772,0.5672115086529663,0.11725317669580226,0,6297.646200000001,5186.656000000045,56,0,91.0,0,0,0,0.0,0,0.0,55371.24577277635,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,166.00999999999965,37.0,1715.2282,4,146.7607,102.73240000000001,0.6287519307119567,5120.0,72.46744791666667,-0.22779095315097675,311,0,0.0,0,2044.1866980520872,3710.3333333333335,440,0.5784659108242408,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,180,0.0,0,12,0.0,0,0.0,1440.0,387.21130000000016,14204.84526579508,0.0,14204.84526579508,0.0,146.7607,15069.864999999993,9740.312,0.5737628026318504,384,15777.593213724867,128,39593.652559051516,4,48.0,4,110.20000000000005,2,234.10689999999937,-2715.9783,16.859846633416456,0,0,540,540,11 + government reserve,debt,1,-2.9103830456733704e-11
4,512,4,4,27293.36429999999,0.0,27562.51569999997,0.0,7847.5237,,0.0,2854.776,4992.7477,0.0,1423.4809,13.384800875,0.00375,376.5318,8455.70730350467,0.0,1.0,2334.6272046728977,4543.374052336438,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,73.0629382439658,2.928994588350825,75.99193283231662,4.005182021469114,2.3797956075487865,6.384977629017901,0.0,0.0,0.0,0.0,0,0,0.0,0.0,353.54100000000005,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,269.15139999999997,540.1029999999996,0.0,31,357.0111999999998,808.9383000000003,7506.144900000001,1177.3788999999797,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1694.7762000000002,0.0,0.008911934046519857,5.469171849126033,5.427085212569295,1.8153334999999984,1.4369352941176474,3.3850576399136343,17.52566788972246,1082.0,1087.0,541.0,2046.6666666666667,1368.0,204.0,170,0,0,2,55,43.0,2048.0,16482.52869999999,3814.5326,5088.2895,720,48,0,128,0.12351180953853325,0.6274579983582873,0.11648533059658561,1,6233.098999999993,5944.989799999998,55,0,200.0,0,0,0,0.0,0,0.0,65485.44330196752,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,363.0666999999997,80.0,1531.4816999999998,4,76.6342,53.64359999999999,0.7408175036208251,5120.0,71.41276041666667,-0.206258587398374,123,0,0.0,0,1471.658197800973,3656.3333333333335,445,0.8501649220433206,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,170,0.0,0,12,0.0,0,0.0,1440.0,598.2701999999999,13518.223246012865,0.0,13518.223246012865,0.0,76.6342,14420.8657,10434.3038,0.6328212610170576,384,15444.895440996768,128,50040.54786097075,4,48.0,4,110.20000000000005,2,262.48740000000066,-2478.2442,20.07646646341462,0,0,541,541,11 + government reserve,debt,1,-2.9103830456733704e-11
5,512,4,4,31185.68660000001,0.0,31466.933099999987,0.0,9342.8976,,0.0,2686.848,6656.049599999999,0.0,1663.3019000000002,18.722700875,0.00375,365.3995,8351.852424231314,0.0,1.0,2645.477635712629,4437.106482820865,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,73.83504740791015,2.4671785337684993,76.30222594167866,2.4715753977259585,2.0799512427336757,4.551526640459634,0.0,0.0,0.0,0.0,0,0,0.0,0.0,356.47630000000004,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,281.2465000000001,683.3845999999996,0.0,54,4718.337,826.0147000000002,6559.927499999999,1171.9623000000202,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1923.5413000000033,0.0,0.00868094991003282,5.663068589743591,5.62840910780669,1.794416666666665,1.5703099999999988,3.479946136015644,16.999897853030784,1076.0,1092.0,538.0,2045.3333333333335,1324.0,204.0,180,0,0,0,61,50.0,2048.0,16644.39949999997,3912.544,9643.405799999999,720,48,0,128,0.09798375957433492,0.6547917024084811,0.11502870403441423,0,6493.878900000008,6184.0709000000015,61,0,54.0,0,0,0,0.0,0,0.0,71387.25770262977,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,96.89849999999991,42.0,619.9378,4,29.744,20.820800000000002,0.8528957745644323,5120.0,71.12630208333333,-0.19542603984757959,63,0,0.0,0,554.3769581292876,3641.6666666666665,445,1.160776081418523,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,180,0.0,0,12,0.0,0,0.0,1440.0,1437.9026999999996,8523.821063668238,0.0,8523.821063668238,0.0,29.744,14779.31449999997,14175.8876,0.656832622505156,384,15435.724529209256,128,55951.533173420474,4,48.0,4,110.20000000000005,2,274.9744000000011,-2321.4485,21.554029411764713,0,0,538,538,11 + government reserve,debt,1,-2.9103830456733704e-11
6,512,4,4,30913.549000000003,0.0,31235.764600000002,0.0,10991.932399999998,,0.0,2518.92,8473.012399999998,0.0,1816.9627999999964,24.960127375000003,0.00375,322.3308,8357.746193003912,0.0,1.0,2795.7383456222983,4433.2207120026,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,83.95762963236955,2.512149241718117,86.46977887408765,1.866295739990722,2.0550533087688048,3.9213490487595264,0.0,0.0,0.0,0.0,0,0,0.0,0.0,322.33080000000007,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,322.2156000000002,861.9455999999983,0.0,88,811.6522000000001,1083.7898000000005,1445.6081999999994,1142.0223999999912,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2048.2040000000006,0.0,0.008679351593400407,5.687271699905024,5.697753789279107,1.6937191489361696,1.7265262195121975,3.512310695468913,16.489900917439858,1082.0,1053.0,541.0,2048.0,1314.0,204.0,183,0,0,0,51,28.0,2048.0,16396.009199999993,3957.6521000000002,10120.266,719,49,0,128,0.08444708732556272,0.6680240839562424,0.11730300801327509,0,6693.141899999999,5988.69709999999,51,0,47.0,0,0,0,0.0,0,0.0,82426.2908467493,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,79.60479999999997,26.0,117.2909,4,0.0,0.0,1.0718670726745447,5120.0,70.78776041666667,-0.18292593668619792,70,0,0.0,0,809.5988920895938,3624.3333333333335,445,1.262092367567951,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,183,0.0,0,12,0.0,0,0.0,1440.0,1970.7443999999996,9055.653068086256,0.0,9055.653068086256,0.0,0.0,14739.159200000004,14195.209,0.6682903061717449,384,17348.483444317848,128,65077.807402431456,4,48.0,4,110.20000000000005,2,316.33540000000136,-2196.5892,23.55464999999998,0,0,541,541,11 + government reserve,debt,1,-2.9103830456733704e-11
7,512,4,4,32055.55210000003,0.0,32397.211799999997,0.0,12713.919799999983,,0.0,2810.6579,9903.261899999983,0.0,1430.2495000000035,31.771819000000058,0.00375,337.9305,8381.516622443414,0.0,1.0,2841.3797330268117,4422.69830543846,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,97.0012135332781,2.363342121804706,99.36455565508281,1.735196564266534,2.0421391157018145,3.777335679968348,0.0,0.0,0.0,0.0,0,0,0.0,0.0,337.93050000000005,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,341.65970000000016,1039.2898999999982,0.0,131,2247.280600000002,1105.2775,3645.456600000004,1179.3526999999992,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,2090.6519999999973,0.0,0.012815176254473119,5.6767861663652885,5.703448237476813,1.7077720930232558,1.9341557142857144,3.580462338239217,15.995203889916661,1078.0,1106.0,539.0,2048.0,1302.0,204.0,186,0,0,0,62,48.0,2048.0,16408.433599999993,3923.5644999999995,11365.713699999998,719,49,0,128,0.08116138191848798,0.6667153069216147,0.12800572095084184,1,6858.728199999987,6278.525500000009,62,0,43.0,0,0,0,0.0,0,0.0,96313.0652393202,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,73.4342,18.0,19.9098,4,0.0,0.0,1.357130257858431,5120.0,70.39225260416667,-0.1620312732529058,64,0,0.0,0,793.099677199286,3604.0833333333335,446,1.3757763178516418,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,186,0.0,0,12,0.0,0,0.0,1440.0,2849.0241999999967,8244.350340917326,0.0,8244.350340917326,0.0,0.0,14825.734799999998,15309.188,0.6668613329339934,384,21325.842389048186,128,74987.22285027217,4,48.0,4,110.2,2,336.17150000000197,-2472.7274,25.897893292682962,0,0,539,539,11 + government reserve,debt,1,-2.9103830456733704e-11
8,512,4,4,34143.80579999997,1.1633,32731.39570000001,0.0,14396.573099999965,,0.0,2928.9283,11467.644799999965,0.0,1564.3829000000005,37.13121437500003,0.00375,306.2373,8393.883110544471,0.0,1.0,2826.816175750626,4427.591811196308,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,98.93844313375065,2.385326061033779,101.32376919478443,1.7133230568165685,2.113161104528784,3.8264841613453524,0.0,0.0,0.0,0.0,0,0,0.0,0.0,306.23730000000006,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,355.28639999999996,1220.4729999999981,1865.2215000000003,159,3209.421800000003,1120.0048000000004,4572.836000000004,1163.6576999999997,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,2077.4758999999967,0.0,0.011653576004046309,5.647556127221702,5.668693370165776,1.6597931818181826,2.029335222672065,3.5982163160001717,12.677006245359655,1086.0,1069.0,543.0,2048.0,1310.0,204.0,184,0,0,1,53,41.0,2048.0,16237.640399999993,3826.2690000000002,13772.204399999999,719,49,0,128,0.07977332422903949,0.6725714715156967,0.13225839150666685,0,6936.212500000005,6037.2375,53,0,44.0,0,0,0,0.0,0,0.0,98466.19220673066,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,73.03090000000003,13.0,1.4546999999999999,3,0.0,0.0,1.3347505890663924,5120.0,67.44495738636364,-0.12722094193892045,70,0,0.0,0,455.32987188574504,3453.181818181818,447,1.583226602654503,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,184,0.0,0,11,0.0,0,0.0,1320.0,3320.466199999998,6646.513066595854,0.0,6646.513066595854,0.0,0.0,14476.865899999992,17599.928099999997,0.7027968829079025,384,20653.808609627606,128,77812.38359710322,4,48.0,4,110.2,2,-1508.0838999999985,-2622.691,29.012335714285715,0,3,543,543,11 + government reserve,debt,1,-2.9103830456733704e-11
9,512,4,4,34221.38030000002,4.9186,27786.12270000001,0.0,16128.007799999916,,0.0,3013.0702,13114.937599999916,0.0,1647.2927999999943,42.992684875000165,0.00375,305.977,8406.598788669464,0.0,1.0,2836.108071223133,4425.51055911297,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,102.06342488843673,2.3674415658843513,104.43086645432109,1.8906986013153901,2.090852676296688,3.9815512776120783,0.0,0.0,0.0,0.0,0,0,0.0,0.0,305.977,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,376.2194999999999,1416.5142000000014,6976.4902,175,1337.8334999999995,1256.5037000000016,1965.249,1162.0574000000013,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,2090.626900000002,0.0,0.011453268554601732,5.619167254174395,6.004941078066928,1.6603382978723404,2.0570190184049104,3.6136241420394004,3.072273968995767,1076.0,1078.0,538.0,2046.6666666666667,1301.0000000000002,204.0,185,0,0,1,58,38.0,2048.0,16070.70510000001,3869.1014999999998,13975.5967,719,49,0,128,0.08221977100208666,0.6764114367952532,0.13396542266756906,0,6941.753600000021,6057.462299999998,58,0,47.0,0,0,0,0.0,0,0.0,101068.67367860746,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,78.0359,0.0,0.0,0,0.0,0.0,1.3534480078635118,5120.0,54.80224609375,-0.02810303006191484,66,0,0.0,0,799.6409496157303,2805.875,447,2.225379175143198,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,185,0.0,0,8,0.0,0,0.0,960.0,3881.2565000000004,6194.962216888829,0.0,6194.962216888829,0.0,0.0,14297.597900000006,17844.6982,0.7973804628849359,384,20750.13698173026,128,80318.5366968774,4,48.0,4,110.19999999999999,2,-6576.468999999999,-2707.0932000000003,30.440028340080975,0,9,538,538,11 + government reserve,debt,1,-2.9103830456733704e-11
10,512,4,4,35012.03599999999,8.6739,28580.60820000002,0.0,17922.227299999904,,0.0,3562.6754,14359.551899999904,0.0,1244.6142999999995,49.16433775000002,0.00375,301.6711,8431.448472182932,0.0,1.0,2885.0318746013804,4436.127084788616,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,122.76436403908428,2.365259406590234,125.12962344567453,1.8617536066734954,2.1987695618759338,4.060523168549429,0.0,0.0,0.0,0.0,0,0,0.0,0.0,301.6711,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,376.2940000000002,1604.826100000001,6976.4902,186,2108.599599999997,1314.1886000000006,4083.1179,1150.7485999999994,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2143.2987999999964,0.0,0.015,5.624554579439253,6.071897592592609,NaN,2.0595356415478614,3.615308225156304,2.9801057499258943,1080.0,1070.0,540.0,2046.6666666666667,1286.0,204.0,190,0,0,1,45,40.0,2048.0,16455.425299999988,3944.8257000000003,14310.1139,719,49,0,128,0.08330417914329558,0.696665245969162,0.13550654245986782,0,6954.738400000016,6018.273400000001,45,0,0.0,0,0,0,0.0,0,0.0,115656.93290085765,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,1.6794039987148637,5120.0,54.1650390625,-0.006713403844540785,76,0,0.0,0,628.4037811089897,2773.25,455,2.260965968989313,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,8,0.0,0,0.0,960.0,4477.684299999998,6513.577976492035,0.0,6513.577976492035,0.0,0.0,14832.730799999994,18254.9396,0.8030293519273655,384,22447.19578312206,128,93209.73711773571,4,48.0,4,110.19999999999999,2,-6576.002499999999,-3261.0043,30.855285276073655,0,9,540,540,11 + government reserve,debt,1,-2.9103830456733704e-11
