round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,26745.70470000007,0.0,1392.4003,1392.4002999999998,561.0,,561.0,0.0,0.0,0.0,0.0,0.0,0.0025,118.3902,1683.0,0.0,1.0,561.0,963.2148000000003,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,64.37918893884367,2.3641643762093523,66.74335331505303,8.776575686274509,2.398689803921569,11.175265490196079,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,55,2560.0,239.5752999999993,9632.901,119.32179999999968,0.0,0.0,0.0,0.0,0.0,0,258.1752,2560.0,239.5752999999993,119.32179999999968,274.0,0.0,3742.2599999999998,0.0,5.0,5.200000000000013,2.0,NaN,3.594822888283399,3.9200000000000013,320.0,77.0,160.0,2048.0,734.0,204.0,328,0,0,0,47,30.0,2048.0,19545.293700000024,0.0,4260.2752,586,182,0,102,0.23181547558388438,0.6379873948182138,0.6648312848196016,7,5105.977399999996,385.0,47,0,520.0,0,0,0,0.0,0,0.0,64189.83891616461,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1040.0,208.0,2563.5704,4,23.468000000000004,23.467999999999993,0.8581892545376799,5120.0,86.1083984375,0.2101228076171875,293,0,0.0,0,7004.03442179692,4408.75,278,0.38196614583333327,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,0,12,0.0,0,0.0,1440.0,0.0,2358.9248000000007,0.0,2358.9248000000007,0.0,23.468000000000004,9935.913000000004,6823.845600000001,0.6404200279438361,410,18190.62486499817,102,45999.214051166455,4,0.0,4,120.0,2,258.1752,-442.6098,37.5,0,0,160,160,11 + government reserve,sumsy,8,-5.820766091346741e-11
2,512,4,4,29001.785700000022,0.0,10571.773807692301,3096.6886999999983,1003.6098,,1003.6098,0.0,0.0,0.0,0.0,0.0,0.0025,149.577,1683.0,0.0,1.0,561.0,936.8969000000002,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,63.63460460787032,2.1040196204434847,65.73862422831381,10.02574137254902,1.8847307843137255,11.910472156862745,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-8.313999999999984,0.0,62,2560.0,303.9189999999996,10219.033199999996,151.16639999999992,0.0,0.0,0.0,0.0,0.0,5,393.58000000000004,2560.0,303.9189999999996,151.16639999999992,274.0,0.0,3000.1027999999806,0.015,4.910839302112014,5.489549002217296,2.212441071428574,1.1366245283018872,3.5686071428571124,12.48812156862745,902.0,1089.0,451.0,2048.0,1176.0,204.0,217,0,0,1,48,48.0,2048.0,19113.556200000014,0.0,7314.9958,423,345,0,71,0.2912540831270385,0.6393339758605083,0.6673177712268001,2,5046.342099999998,5347.903999999983,48,0,168.0,0,0,0,0.0,0,0.0,64730.649298215176,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,371.6901000000004,68.0,2030.0767,4,151.0577,151.05830000000026,0.6781898334254753,5120.0,79.04947916666667,0.21858233886718748,132,0,0.0,0,3313.172503039043,4047.3333333333335,316,0.43899542913497996,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,217,0.0,0,12,0.0,0,0.0,1440.0,521.7432999999999,10464.896378002586,0.0,10464.896378002586,0.0,151.0577,13025.606499999998,9345.072500000002,0.6408002663329941,441,46385.260605562515,71,18345.38869265263,4,0.0,4,120.0,2,393.58000000000004,-854.0328,37.57211538461539,0,0,451,451,11 + government reserve,sumsy,8,-5.820766091346741e-11
3,512,4,4,31213.919699999995,0.0,14080.039937735863,3171.061999999999,1405.0266000000001,,1405.0266000000001,0.0,0.0,0.0,0.0,0.0,0.0025,170.8096,1672.9938000000006,0.0,1.0,550.9938000000005,910.599366666667,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,79.40247754920392,2.2716554112401277,81.67413296044406,9.847464698319223,1.9074813361734042,11.754946034492628,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-42.753924999999896,0.0,67,2560.0,347.8659999999996,6537.6625,172.89170000000007,0.0,0.0,0.0,0.0,0.0,169,474.999,2560.0,347.8659999999996,172.89170000000007,274.0,0.0,2121.612299999989,0.015,4.8179693320790085,5.489785261194031,2.3223539267015703,1.3392043956043949,3.499013261769021,12.113477921568625,1072.0,1063.0,536.0,2046.6666666666667,1355.0,204.0,173,0,0,1,55,33.0,2048.0,19419.841999999975,0.0,9623.183,414,354,0,70,0.28578857910185396,0.6600959301543008,0.5590643699465379,0,7055.444000000008,5121.5013999999865,55,0,191.0,0,0,0,0.0,0,0.0,79431.04164908887,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,443.5695999999999,77.0,1525.0861,4,83.1006,83.10009999999986,0.6947224295620497,5120.0,75.79264322916667,0.31887246603527913,162,0,0.0,0,2715.2739104236625,3880.5833333333335,334,0.4880987234872974,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,173,0.0,0,12,0.0,0,0.0,1440.0,835.5847000000005,12508.344608503321,0.0,12508.344608503321,0.0,83.1006,13011.589399999999,11148.269100000001,0.6616786087665394,442,53003.64717809617,70,26427.394470992615,4,0.0,4,119.99990000000003,2,474.999,-1234.217,56.83122641509436,0,0,536,536,11 + government reserve,sumsy,8,-5.820766091346741e-11
4,512,4,4,33378.275799999996,0.0,13817.369000000015,810.1935,1774.7915000000003,,1774.7915000000003,0.0,0.0,0.0,0.0,0.0,0.0025,194.4105,1660.1762250000002,0.0,1.0,540.5744999999996,881.9645500000001,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,121.30535898129318,2.3769691558603903,123.68232813715358,11.545889631650837,1.6982691793097606,13.244158810960599,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-103.1463250000002,0.0,77,2560.0,395.6438999999997,7581.084399999999,196.68449999999999,0.0,0.0,0.0,0.0,0.0,20,538.7176,2560.0,395.6438999999997,196.68449999999999,274.0,0.0,1157.4733999999917,0.015,5.449903574620196,5.4086300556586355,2.339628571428572,1.4357967567567569,3.3747809979025165,11.750073583921568,1078.0,1119.0,539.0,2046.6666666666667,1402.0,204.0,161,0,0,1,70,59.0,2048.0,20499.290399999994,37.032700000000006,10453.3717,426,342,0,82,0.3208141085786982,0.69598449919183,0.4481795662814796,2,8380.370199999994,6098.442099999999,70,0,294.0,0,0,0,0.0,0,0.0,107976.06284983907,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,687.8508000000002,118.0,1655.4529000000002,4,54.880500000000005,54.88050000000026,1.3390284660565133,5120.0,74.7021484375,0.39700761173234295,170,0,0.0,0,1049.5636897540182,3824.75,335,0.85802239642928,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,161,0.0,0,12,0.0,0,0.0,1440.0,1205.3583999999998,11902.47265716328,0.0,11902.47265716328,0.0,54.880500000000005,13408.261399999994,12145.8573,0.6966093131629456,430,65022.994369363296,82,42953.068480475704,4,0.0,4,119.99990000000003,2,538.7176,-1580.3810000000003,66.96021978021975,0,0,539,539,11 + government reserve,sumsy,8,-5.820766091346741e-11
5,512,4,4,35512.46380000002,0.0,16343.131600000004,2869.4305999999992,2191.8608000000004,,2191.8608000000004,0.0,0.0,0.0,0.0,0.0,0.0025,208.8247,1695.0288600000001,0.0,1.0,611.4797999999996,890.0889266666668,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,118.17675615030447,2.501047542679402,120.67780369298389,6.905805578849489,1.9126675873884733,8.818473166237963,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-164.8144250000008,0.0,82,2560.0,425.81199999999995,3772.4096999999997,211.54599999999994,0.0,0.0,0.0,0.0,0.0,165,295.22929999999997,2560.0,425.81199999999995,211.54599999999994,274.0,0.0,93.09210000000004,0.015,5.629899442896936,5.600992687385715,2.494721703296705,1.5509034146341476,3.393998188846759,11.397571376403922,1094.0,1077.0,547.0,2046.6666666666665,1446.0,204.0,150,0,0,1,59,54.0,2048.0,20240.190899999998,0.0,12902.904,426,342,0,82,0.21947760772903302,0.6948310101237254,0.41343647383005866,0,8737.534400000002,6063.4017,59,0,364.0,0,0,0,0.0,0,0.0,118959.97176253471,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,908.0787000000007,146.0,1865.3149,4,50.9642,50.96540000000004,1.5480901658374957,5120.0,74.27083333333333,0.4418004466233812,150,0,0.0,0,675.1317166208459,3802.6666666666665,339,1.1184157347452894,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,150,0.0,0,12,0.0,0,0.0,1440.0,1726.8997000000002,9429.481225056896,0.0,9429.481225056896,0.0,50.9642,12958.151099999995,14768.218900000002,0.6955564049740997,430,70810.46550606904,82,48149.5062564657,4,0.0,4,119.99990000000003,2,569.3457999999999,-1983.0361000000003,71.78983783783785,0,0,547,547,11 + government reserve,sumsy,8,-5.820766091346741e-11
6,512,4,4,37604.153400000076,0.0,17693.1084,2116.6162999999992,2614.7119000000002,,2614.7119000000002,0.0,0.0,0.0,0.0,0.0,0.0025,229.503,1728.3619500000002,0.0,1.0,631.6758000000004,895.0378666666669,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,129.18980436202625,2.2099159799608157,131.39972034198706,6.241305534036138,1.8634871198766585,8.104792653912796,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-247.65894999999963,0.0,83,2560.0,468.31040000000024,2662.6670999999997,232.60419999999982,0.0,0.0,0.0,0.0,0.0,12,315.7529,2560.0,468.31040000000024,232.60419999999982,274.0,0.0,0.0,0.015,5.649451098376308,5.608522181146037,2.5481109375000006,1.732401507537688,3.303764160188178,11.055644235111801,1082.0,1047.0,541.0,2046.6666666666667,1415.9999999999998,204.0,157,0,0,2,54,25.0,2048.0,20644.96229999999,589.0793,14136.107100000001,426,342,0,82,0.20942881567294314,0.706074280039015,0.3779078817249739,0,7555.703900000021,5914.975299999995,54,0,320.0,0,0,0,0.0,0,0.0,131068.29311376782,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,815.3955000000002,128.0,1688.7488,4,60.39,60.39130000000001,1.804234101061954,5120.0,73.83138020833333,0.49879734033600137,157,0,0.0,0,772.0029922693715,3780.1666666666665,339,1.2758416290846932,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,157,0.0,0,12,0.0,0,0.0,1440.0,2465.6667999999986,7899.259094574816,0.0,7899.259094574816,0.0,60.39,13305.62379999999,16413.9352,0.7061902012627292,430,78921.46292352313,82,52146.83019024464,4,0.0,4,119.99980000000005,2,720.4628,-2385.2089,77.54517073170739,0,0,541,541,11 + government reserve,sumsy,8,-5.820766091346741e-11
7,512,4,4,39650.431499999984,0.0,18054.668200000007,1212.6834999999999,3019.0777,,3019.0777,0.0,0.0,0.0,0.0,0.0,0.0025,251.8494,1753.1111571428573,0.0,1.0,633.8688000000006,893.4474714285716,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,172.61293768800573,1.8310113179463756,174.4439490059521,7.398574407651479,1.6735219453221122,9.07209635297359,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-342.8314749999997,0.0,85,2560.0,513.7219000000005,2219.5355000000004,255.18990000000002,0.0,0.0,0.0,0.0,0.0,14,285.5447,2560.0,513.7219000000005,255.18990000000002,274.0,0.0,0.0,0.015,5.587908847926272,5.6211459962756285,2.6737248466257695,1.925357948717948,3.29495332854081,10.72397490805845,1074.0,1085.0,537.0,2045.3333333333335,1411.0,204.0,158,0,0,0,49,37.0,2048.0,21443.48299999998,1242.5605,14673.4156,426,342,0,82,0.24560983501957256,0.7384713659587485,0.3911450074631453,1,7444.451200000021,6062.881100000005,49,0,326.0,0,0,0,0.0,0,0.0,162604.79361025334,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,871.6343000000008,131.0,1753.5783000000001,4,150.6383,150.64279999999994,2.2484498681567517,5120.0,73.4033203125,0.5810120943830479,164,0,0.0,0,990.2096277713995,3758.25,339,1.4389016801872712,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,158,0.0,0,12,0.0,0,0.0,1440.0,3080.4913000000006,7052.649099922724,0.0,7052.649099922724,0.0,150.6383,13666.309500000003,17669.5544,0.7381163234485186,430,100887.3151030029,82,61717.478507250344,4,0.0,4,119.99969999999985,2,866.4382999999999,-2767.2282999999998,86.6200753768844,0,0,537,537,11 + government reserve,sumsy,8,-5.820766091346741e-11
8,512,4,4,41651.31940000001,0.0,18406.23789999997,1242.4988,3394.1916999999994,,3394.1916999999994,0.0,0.0,0.0,0.0,0.0,0.0025,274.2614,1769.0835375000006,0.0,1.0,626.9634000000005,885.8191583333338,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4,0,179.22286937207704,1.332657553176784,180.55552692525382,10.372022916758874,1.4737229321163332,11.845745848875207,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-440.55940000000317,0.0,89,2560.0,559.1121000000004,2749.2854999999995,277.79070000000024,0.0,0.0,0.0,0.0,0.0,16,327.99739999999997,2560.0,559.1121000000004,277.79070000000024,274.0,0.0,0.0,0.015,5.534530705009277,5.669563059701515,2.756219786096259,1.9980061855670117,3.264427431888832,10.402255660816698,1072.0,1078.0,536.0,2048.0,1428.0,204.0,155,0,0,2,52,41.0,2048.0,22243.008200000022,1912.7336999999998,14876.2716,426,342,0,82,0.30663174678877914,0.7404769384685934,0.3900411132052868,7,7448.149499999992,5966.2241,52,0,374.0,0,0,0,0.0,0,0.0,170987.87479603372,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1030.8262000000009,150.0,2017.0470999999998,4,177.3314,177.33900000000008,1.8782802165691677,5120.0,65.25716145833333,0.6645824678235174,171,0,0.0,0,2482.6892113330973,3341.1666666666665,346,1.7174554480441222,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,155,0.0,0,12,0.0,0,0.0,1440.0,3635.0493,6559.941862408292,0.0,6559.941862408292,0.0,177.3314,13270.800199999981,18806.052399999997,0.7398634549826688,430,104833.56385178982,82,66154.31094424406,4,0.0,4,331.11339999999973,2,1025.009,-3119.9302999999995,96.2678974358974,0,0,536,536,11 + government reserve,sumsy,8,-5.820766091346741e-11
9,512,4,4,43610.92180000005,0.0,18700.1183,1228.5165,3740.9062999999996,,3740.9062999999996,0.0,0.0,0.0,0.0,0.0,0.0025,294.5622,1779.5107000000005,0.0,1.0,620.976,875.317966666667,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4,0,215.47103239118775,1.1425805256427444,216.61361291683048,11.344027697057992,1.4806062557204642,12.824633952778457,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-541.2079643216164,0.0,92,2560.0,600.3976000000002,2220.491900000001,298.3207,0.0,0.0,0.0,0.0,0.0,16,497.4347,2560.0,600.3976000000002,298.3207,274.0,0.0,0.0,0.015,5.469115636704121,5.61284674115458,2.8364295819935714,1.9966389743589759,3.229641930084541,10.090187990992193,1074.0,1068.0,537.0,2045.3333333333335,1405.0,204.0,160,0,0,1,51,35.0,2048.0,22906.70319999999,2558.9601,15172.4955,426,342,0,82,0.32646728179180395,0.7571997346248507,0.40265897957741736,4,7311.171599999982,5841.015500000001,51,0,311.0,0,0,0,0.0,0,0.0,194600.9524691348,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,882.1296000000008,125.0,2180.7661,4,252.57150000000001,252.57379999999972,1.9176518524830313,5120.0,63.406575520833336,0.714174993053319,140,0,0.0,0,1289.8895662288514,3246.4166666666665,346,1.946850687168171,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,160,0.0,0,12,0.0,0,0.0,1440.0,4198.7563,6021.040235340684,0.0,6021.040235340684,0.0,252.57150000000001,13756.082899999987,19912.221700000002,0.7565593724839743,430,123526.03237657719,82,71074.9200925576,4,0.0,4,320.55780000000004,2,1156.8309000000002,-3446.3441,99.90030927835059,0,0,537,537,11 + government reserve,sumsy,8,-5.820766091346741e-11
10,512,4,4,45533.19939999991,0.0,18985.543800000003,1262.0745,4059.9812,,4059.9812,0.0,0.0,0.0,0.0,0.0,0.0025,312.9874,1785.6507600000004,0.0,1.0,613.6371000000005,862.8628466666671,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9,0,225.2292605177256,0.8421685988807442,226.0714291166063,12.283741541376914,1.5976598146634722,13.881401356040387,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-644.0955893216135,0.0,95,2560.0,637.7223999999997,2243.4643999999994,316.90269999999947,0.0,0.0,0.0,0.0,0.0,22,527.1115,2560.0,637.7223999999997,316.90269999999947,274.0,0.0,0.0,0.015,5.405426590693256,5.7099698324022485,2.879305792682927,1.966607179487179,3.2535234474302235,9.787482351262428,1074.0,1053.0,537.0,2046.6666666666665,1412.0,204.0,158,0,0,2,41,25.0,2048.0,23903.64810000002,3267.1413000000002,15194.7239,426,342,0,82,0.3404808795315879,0.7618600540273057,0.40601981890429695,5,7343.175499999997,5691.914199999999,41,0,328.0,0,0,0,0.0,0,0.0,198756.13794846198,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,944.4123,132.0,2327.5872,4,282.2275,282.22389999999973,1.9767475601337223,5120.0,61.964518229166664,0.7394413014573321,125,0,0.0,0,1535.146322199172,3172.5833333333335,345,2.129982888629797,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,158,0.0,0,12,0.0,0,0.0,1440.0,4764.560899999998,5199.16824891035,0.0,5199.16824891035,0.0,282.2275,14486.24309999999,20789.452400000002,0.7606087560225552,430,126733.0512274977,82,72023.08672096439,4,0.0,4,385.56730000000016,2,1211.2788,-3746.9938,99.83194871794879,0,0,537,537,11 + government reserve,sumsy,8,-5.820766091346741e-11
