round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,25676.16010000003,0.0,25786.056099999994,0.0,4153.6641,,0.0,4153.6641,0.0,0.0,0.0,0.0,0.0025,44.7321,0.0,0.0,1.0,4460.0012,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,7.80444117647059,3.3097254901960786,11.114166666666668,1.2088098039215687,3.2025294117647056,4.411339215686274,0.0,0.0,0.0,0.0,0,0,0.0,0.0,44.732,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,109.89599999999999,109.896,0.0,0,4173.1761,476.21600000000007,4173.1761,351.0692,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3800.0,0.0,0.005,5.0,5.200000000000013,NaN,0.75,3.6544486692015257,3.920000000000001,320.0,99.0,160.0,2048.0,526.0,204.0,380,0,0,0,60,39.0,2048.0,20412.576000000015,2076.5528,3142.2992,768,0,0,128,0.03481456342771305,0.24098284663741065,0.060498937227551064,0,5535.904000000008,495.0,60,0,0.0,0,0,0,0.0,0,0.0,29040.904000000057,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,380,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8440022883178917,384,15199.703999999996,128,13841.199999999997,4,-7679.6872,4,-8714.340799999998,2,102.05599999999882,-4108.932,11.25,0,0,160,160,2 + government,debt,9,-8.731149137020111e-11
2,512,4,4,27515.745799999968,0.0,27703.701100000002,0.0,6427.1229,,0.0,6427.1229,0.0,0.0,0.0,0.0,0.0025,293.2048,0.0,0.0,1.0,2970.0011999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,8.224838235294119,3.364881764705882,11.58972,1.5378668627450978,3.3744137254901965,4.912280588235294,0.0,0.0,0.0,0.0,0,0,0.0,0.0,293.2048,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,187.95529999999997,238.8067,0.0,5,2543.4752,703.8895,6651.527300000001,965.7834000000171,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2310.0,0.0,0.0035025480076061213,4.810101134215467,5.491346170678317,NaN,1.1222319474835891,3.5454114285714025,3.8023999999999996,914.0,1058.0,457.0,2048.0,1120.0,204.0,231,0,0,1,48,26.0,2048.0,21455.47199999994,2115.6065,3651.4624999999996,768,0,0,128,0.048817125493237246,0.24766239206655616,0.10209053330471263,0,6121.143399999973,5089.086999999964,48,0,0.0,0,0,0,0.0,0,0.0,30072.901999999965,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,231,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.563624459670035,384,15654.771299999966,128,14418.130699999994,4,-7475.273499999999,4,-8004.217500000001,2,180.50709999999964,-6133.918100000001,11.25,0,0,457,457,2 + government,debt,9,-8.731149137020111e-11
3,512,4,4,29866.868199999994,0.0,30103.3924,0.0,7943.2131,,0.0,7943.2131,0.0,0.0,0.0,0.0,0.0025,255.7135,0.0,0.0,1.0,2538.857936294894,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,12.699033752505951,3.498295855579683,16.19732960808563,2.3601896641293396,3.5244676994086594,5.8846573635379995,0.0,0.0,0.0,0.0,0,0,0.0,0.0,255.71349999999998,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,236.52419999999998,377.2844,0.0,7,3189.2101000000002,838.0877000000003,5507.1586,1017.412000000027,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1903.9232000000004,0.0,0.005315451412859125,4.732353230209314,5.4260713221601,NaN,1.3430986964618257,3.403842616965993,3.6883279999999994,1074.0,1099.0,537.0,2046.6666666666665,1280.0,204.0,191,0,0,1,57,45.0,2048.0,22483.15990000003,3444.1172000000006,3683.8776,768,0,0,128,0.07354594082039867,0.3183772945716652,0.11735196351167243,0,6220.388599999965,5200.856200000036,57,0,0.0,0,0,0,0.0,0,0.0,35380.455735010924,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,191,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2849596541556243,384,16002.656100000015,128,19377.799635010946,4,-7223.469700000001,4,-7770.8423999999995,2,229.46799999999803,-7687.4996,16.833479212253838,0,0,537,537,2 + government,debt,9,-8.731149137020111e-11
4,512,4,4,30956.38870000004,0.0,31229.1697,0.0,9496.3242,,0.0,9496.3242,0.0,0.0,0.0,0.0,0.0025,229.3984,0.0,0.0,1.0,2508.6453609664077,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,15.64631583899993,3.651397332404967,19.297713171404897,2.992854592431337,3.700852063173576,6.693706655604913,0.0,0.0,0.0,0.0,0,0,0.0,0.0,229.3984,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,272.78099999999995,527.9058,0.0,11,2094.717,1005.1964999999999,5539.3162,968.9351000000094,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1883.9768000000004,0.0,0.006810958278176207,4.589269441816515,5.365640925925932,NaN,1.4465201851851825,3.2263749816388674,3.5776781599999987,1080.0,1057.0,540.0,2046.6666666666667,1286.0,204.0,190,0,0,1,45,34.0,2048.0,23708.326500000017,3441.5153999999998,3577.1484,768,0,0,128,0.09154356806187613,0.35127806075251433,0.11917821791954886,0,6074.677000000036,4850.857800000056,45,0,0.0,0,0,0,0.0,0,0.0,39148.525683240216,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1602991651179086,384,16359.809599999993,128,22788.716083240222,4,-6998.6081,4,-7676.6116,2,266.11679999999905,-9266.925799999999,20.146480446927384,0,0,540,540,2 + government,debt,9,-8.731149137020111e-11
5,512,4,4,31978.385199999953,0.0,32274.72550000001,0.0,10971.9953,,0.0,10971.9953,0.0,0.0,0.0,0.0,0.0025,223.2654,0.0,0.0,1.0,2387.446671167594,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,18.066143969564543,3.8199294062757594,21.8860733758403,4.002353246818746,3.845975245175493,7.8483284919942395,0.0,0.0,0.0,0.0,0,0,0.0,0.0,223.26540000000003,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,296.3402999999999,684.1560999999997,0.0,15,2131.8394999999996,1109.8429999999998,5961.4623,953.1172000000133,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1781.6565999999975,0.0,0.007641768315587366,4.465478770949722,5.2466500000000345,NaN,1.5823528089887644,3.155791417833445,3.4703478152,1068.0,1074.0,534.0,2046.6666666666667,1273.9999999999998,204.0,193,0,0,0,50,34.0,2048.0,24828.21349999997,3362.9908,3563.9155,768,0,0,128,0.11306641998382427,0.3683991364741117,0.13812194336938766,0,5917.259000000002,4795.924200000001,50,0,0.0,0,0,0,0.0,0,0.0,41461.1281333333,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,193,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0915262343150023,384,16626.853499999997,128,24834.274633333298,4,-6849.6693,4,-7488.884499999998,2,290.06809999999984,-10748.7299,21.69780277777774,0,0,534,534,2 + government,debt,9,-8.731149137020111e-11
6,512,4,4,32969.87029999998,0.0,33282.9326,0.0,12410.8003,,0.0,12410.8003,0.0,0.0,0.0,0.0,0.0025,216.5274,0.0,0.0,1.0,2327.8554149021534,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,20.833804496807787,3.868321129355434,24.702125626163223,5.154434896786635,3.892077227723048,9.046512124509684,0.0,0.0,0.0,0.0,0,0,0.0,0.0,216.5274,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,313.06229999999994,845.6298999999996,0.0,20,2206.5089999999996,1215.0239000000001,6126.5502,937.1709000000028,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1738.4111999999998,0.0,0.007826032093739613,4.350989642529766,5.223247486033545,NaN,1.638743016759777,3.06576531075416,3.3662373807439994,1074.0,1091.0,537.0,2048.0,1280.0,204.0,192,0,0,0,56,45.0,2048.0,25901.309999999965,3293.1819,3558.8509999999997,768,0,0,128,0.13809096710805835,0.3898668174295361,0.14195302877743687,0,5821.951800000012,4746.929699999974,56,0,0.0,0,0,0,0.0,0,0.0,44100.79895955064,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0357761214731338,384,16881.3825,128,27219.416459550557,4,-6692.014800000001,4,-7292.9890000000005,2,307.1820999999978,-12194.2729,23.735292134831464,0,0,537,537,2 + government,debt,9,-8.731149137020111e-11
7,512,4,4,33924.59599999998,0.0,34250.98220000001,0.0,13809.4742,,0.0,13809.4742,0.0,0.0,0.0,0.0,0.0025,203.8997,0.0,0.0,1.0,2260.350802506235,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,22.665167330959676,4.100779474444768,26.765946805404443,6.043253037316129,4.123028413172304,10.166281450488432,0.0,0.0,0.0,0.0,0,0,0.0,0.0,203.8997,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,326.3862,1012.1395999999996,0.0,24,2277.8734,1323.1477000000004,6469.3624,911.1048999999847,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1686.021,0.0,0.008084699394731956,4.251189943609033,5.1734901851852,NaN,1.6002922222222213,2.9943559353140614,3.2652502593216792,1080.0,1064.0,540.0,2048.0,1286.0,204.0,190,0,0,0,47,38.0,2048.0,27069.8161,3263.241,3387.6392,768,0,0,128,0.1559988189221222,0.39884068707435727,0.14643208510305183,0,5693.716100000023,4523.266100000011,47,0,0.0,0,0,0,0.0,0,0.0,45920.72915307264,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9983276915119583,384,17206.024100000002,128,28714.705053072645,4,-6494.492299999999,4,-7263.240799999999,2,320.89800000000264,-13605.5745,24.581145251396656,0,0,540,540,2 + government,debt,9,-8.731149137020111e-11
8,512,4,4,34916.470300000045,0.0,35254.23299999999,0.0,15243.3493,,0.0,15243.3493,0.0,0.0,0.0,0.0,0.0025,219.654,0.0,0.0,1.0,2253.9620263008846,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,23.6613698247474,4.1257016056969675,27.787071430444364,7.232690744173082,4.148127391365079,11.380818135538162,0.0,0.0,0.0,0.0,0,0,0.0,0.0,219.6538,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,337.7627,1183.4841999999994,0.0,28,2426.0913000000005,1434.2169999999999,5084.573,904.8894000000005,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1692.804800000002,0.0,0.008234717055833325,4.202600996376784,5.132816292134853,NaN,1.5627181647940063,2.9306833379563257,3.167292751542029,1068.0,1104.0,534.0,2048.0,1274.0,204.0,193,0,0,0,64,54.0,2048.0,28003.961099999993,3269.8665,3422.9887000000003,768,0,0,128,0.1773657914842377,0.4026437405733774,0.14415946703421723,0,5575.752299999998,4639.6714999999695,64,0,0.0,0,0,0,0.0,0,0.0,46413.729899999984,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,193,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.966723294081095,384,17378.084300000006,128,29035.645599999993,4,-6260.403399999999,4,-7026.9313,2,332.66649999999566,-15023.6953,24.00438333333332,0,0,534,534,2 + government,debt,9,-8.731149137020111e-11
9,512,4,4,35817.758499999974,0.0,36166.107,0.0,16585.8476,,0.0,16585.8476,0.0,0.0,0.0,0.0,0.0025,195.8025,0.0,0.0,1.0,2170.1137145136017,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,24.358005737087694,4.314120580709752,28.672126317797446,8.115391161282258,4.334008357881298,12.449399519163554,0.0,0.0,0.0,0.0,0,0,0.0,0.0,195.8025,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,348.34849999999994,1359.839599999999,0.0,33,2453.8222,1552.5339999999997,6187.8105000000005,879.9821999999954,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1615.3728999999998,0.0,0.008950455511422071,4.157032108317221,5.0902062500000165,NaN,1.5416115808823525,2.8769136255963943,3.072273968995767,1088.0,1034.0,544.0,2048.0,1294.0,204.0,188,0,0,2,38,28.0,2048.0,29196.217699999994,3304.1401,3121.5982000000004,768,0,0,128,0.1909557650443432,0.402292578070647,0.14475512395605117,0,5492.5551,4298.371200000007,38,0,0.0,0,0,0,0.0,0,0.0,47174.942258426985,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,188,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.944770437101613,384,17692.165799999984,128,29482.776458426957,4,-5998.6664,4,-7127.361799999999,2,343.64430000000004,-16390.0451,23.440772471910094,0,0,544,544,2 + government,debt,9,-8.731149137020111e-11
10,512,4,4,36813.96150000003,0.0,37171.949700000005,0.0,18022.3146,,0.0,18022.3146,0.0,0.0,0.0,0.0,0.0025,218.221,0.0,0.0,1.0,2210.0613141775884,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,25.155050239482787,4.361278440339733,29.516328679822518,9.10310293268076,4.381031173289222,13.484134105969984,0.0,0.0,0.0,0.0,0,0,0.0,0.0,218.221,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,357.98819999999995,1540.7489,0.0,37,2667.6934,1671.4904000000006,5679.7445,878.9450999999996,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1661.3348000000021,0.0,0.008716655987804432,4.166018088097465,5.0526291902071465,NaN,1.5345079096045204,2.831247269951017,2.9801057499258943,1062.0,1067.0,531.0,2045.3333333333333,1268.0,204.0,194,0,0,1,42,30.0,2048.0,30154.614700000013,3347.6133,3093.5125,768,0,0,128,0.20556372911810183,0.40483920300966036,0.14500137440533223,0,5405.457100000004,4445.141299999995,42,0,0.0,0,0,0,0.0,0,0.0,47892.00031176471,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,194,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9131504253480041,384,17955.81620000002,128,29936.184111764698,4,-5727.729799999999,4,-6954.4875,2,353.67599999999976,-17804.0936,23.124173713235287,0,0,531,531,2 + government,debt,9,-8.731149137020111e-11
