round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,27428.431200000057,0.0,27550.439999999995,0.0,3522.536,,0.0,3522.536,0.0,0.0,0.0,0.0,0.00375,45.692,0.0,0.0,1.0,3950.0011999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,7.819456862745101,3.330572549019608,11.15002941176471,1.1889705882352934,3.2293176470588234,4.418288235294117,0.0,0.0,0.0,0.0,0,0,0.0,0.0,45.692,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,122.00880000000001,122.0088,0.0,2,3555.376,528.7048,4284.9762,473.1572000000044,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3290.0,0.0,0.005,5.0,5.200000000000013,NaN,0.75,3.7291803278688764,3.920000000000001,320.0,97.0,160.0,2048.0,732.0,204.0,329,0,0,0,58,39.0,2048.0,20612.296000000028,2109.0648,3165.3872,768,0,0,128,0.03703285665628964,0.24112693853889233,0.07202057180138266,0,5712.296000000014,485.0,58,0,0.0,0,0,0,0.0,0,0.0,29227.296000000093,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,206.0,1495.9912,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,329,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.014673602521561,384,15345.127999999988,128,13882.167999999996,4,-6136.7752,4,-7180.852800000001,2,114.1687999999996,-3476.844,11.25,0,0,160,160,4 + theatres,debt,7,5.820766091346741e-11
2,512,4,4,28437.522800000046,0.0,28640.356300000003,0.0,5010.9858,,0.0,5010.9858,0.0,0.0,0.0,0.0,0.00375,366.55,0.0,0.0,1.0,2330.0011999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,8.358985490196078,3.1980627450980394,11.557048235294117,1.623065882352941,3.1950370588235293,4.818102941176471,0.0,0.0,0.0,0.0,0,0,0.0,0.0,366.55,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,202.83350000000002,259.7415,0.0,9,1731.2891,722.1975,6353.4827,1180.0221000000315,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1670.0,0.0,0.005515478195371876,4.821630103480676,5.525895860566459,1.8500000000000014,1.1298366013071892,3.553905217391289,3.8023999999999996,918.0,1063.0,459.0,2048.0,1380.0,204.0,167,0,0,1,45,34.0,2048.0,20590.84599999999,2192.733,3709.2352,768,0,0,128,0.05941671694107975,0.26028766234591316,0.09843051709293005,0,6279.513299999961,5125.392799999959,45,0,640.0,0,0,0,0.0,0,0.0,29197.291500000058,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1184.000000000001,256.0,1578.1586,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,167,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.798813160995148,384,14934.916199999989,128,14262.375299999998,4,-5913.347,4,-6461.644799999998,2,195.3854999999988,-4644.4358,11.25,0,0,459,459,4 + theatres,debt,7,5.820766091346741e-11
3,512,4,4,29954.18719999995,0.0,30202.9985,0.0,5689.4151,,0.0,5689.4151,0.0,0.0,0.0,0.0,0.00375,320.2871,0.0,0.0,1.0,1924.6820868297225,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,12.832422801111566,3.1555423200452135,15.987965121156778,2.3709665163155513,3.1978215695076764,5.568788085823227,0.0,0.0,0.0,0.0,0,0,0.0,0.0,320.2871,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,248.81129999999993,402.9245,0.0,13,2328.0313,811.3669000000001,5016.2444000000005,1225.0461000000241,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1288.2288999999992,0.0,0.007279810161697957,4.736802054155038,5.435328195488723,1.9024062500000067,1.334629511278196,3.4875301924373923,3.6883279999999994,1064.0,1071.0,532.0,2046.6666666666667,1526.0,204.0,130,0,0,0,47,34.0,2048.0,20727.261299999987,3503.2796,3689.6234,768,0,0,128,0.08595948072329551,0.34086478392612274,0.11486262579265216,0,6415.4632,5073.115000000045,47,0,640.0,0,0,0,0.0,0,0.0,33697.649647058766,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1217.5400000000043,256.0,1713.7358,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,130,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48372756594558,384,14627.469299999992,128,19070.180347058824,4,-5742.5665,4,-6305.8966,2,241.7552999999994,-5369.128000000001,16.947549019607838,0,0,532,532,4 + theatres,debt,7,5.820766091346741e-11
4,512,4,4,30173.36170000002,0.0,30455.171899999998,0.0,6401.6441,,0.0,6401.6441,0.0,0.0,0.0,0.0,0.00375,312.4874,0.0,0.0,1.0,1895.6977359709015,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,15.738492187946054,3.0408395236457015,18.779331711591755,3.2008421945885024,3.0971035941428218,6.297945788731324,0.0,0.0,0.0,0.0,0,0,0.0,0.0,312.4872,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,281.8101999999999,556.4172000000002,0.0,19,1152.3923,933.2177999999999,5925.343799999999,1204.11659999998,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1270.4382999999998,0.0,0.008984337487962651,4.606615925925983,5.389729532710312,1.9642428125000038,1.4323783177570102,3.379843257929814,3.5776781599999987,1070.0,1080.0,535.0,2048.0,1532.0,204.0,128,0,0,1,58,33.0,2048.0,20828.810099999984,3487.9840000000004,3613.0002,768,0,0,128,0.11627952304877787,0.3850918480919536,0.12440864744712221,0,6323.053300000031,4975.145200000061,58,0,640.0,0,0,0,0.0,0,0.0,36147.40406992482,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1257.1154000000024,256.0,1931.08,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.357815923973287,384,14186.392699999991,128,21961.01136992481,4,-5554.1258,4,-6207.159799999999,2,275.1462000000017,-6089.1567000000005,20.019442669172943,0,0,535,535,4 + theatres,debt,7,5.820766091346741e-11
5,512,4,4,30516.49849999996,0.0,30815.936800000007,0.0,7036.8488,,0.0,7036.8488,0.0,0.0,0.0,0.0,0.00375,306.3805,0.0,0.0,1.0,1795.039232250121,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,17.88021179563733,2.9082613685797787,20.78847316421711,4.1568785948669476,3.0156391155353717,7.172517710402319,0.0,0.0,0.0,0.0,0,0,0.0,0.0,306.3805,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,299.4382999999999,711.0937,0.0,28,1329.1331000000002,985.9963,3649.9002,1185.7341000000156,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1186.9643999999996,0.0,0.009471326273831265,4.4863948291782005,5.348429205175596,2.023277656250003,1.5629397412199633,3.249175908175026,3.4703478151999994,1082.0,1083.0,541.0,2046.6666666666667,1544.0,204.0,125,0,0,1,57,36.0,2048.0,20870.523399999973,3475.747,3472.2186,768,0,0,128,0.14683433361825116,0.4128504167322118,0.1342739502289514,0,6169.888500000001,4858.7655999999915,57,0,640.0,0,0,0,0.0,0,0.0,37289.34242056072,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1294.897700000002,256.0,2391.629,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,125,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2926348278965583,384,13695.145600000009,128,23594.19682056076,4,-5362.6265,4,-6172.581399999999,2,293.1663000000016,-6730.4682999999995,21.485674766355153,0,0,541,541,4 + theatres,debt,7,5.820766091346741e-11
6,512,4,4,30641.143199999966,0.0,30951.802600000006,0.0,7626.6113,,0.0,7626.6113,0.0,0.0,0.0,0.0,0.00375,299.4448,0.0,0.0,1.0,1719.6460549628403,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,20.356182013560332,2.798260835075918,23.15444284863625,5.030362684638893,2.944641087561059,7.975003772199953,0.0,0.0,0.0,0.0,0,0,0.0,0.0,299.4448,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,310.6593999999999,868.3208000000001,0.0,35,1172.796,1048.1513,5031.1932,1158.1329999999775,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1127.4451000000004,0.0,0.011139255474743155,4.374406672845202,5.236148428835484,2.0758678125,1.6488977818853978,3.129818210784698,3.366237380743999,1082.0,1079.0,541.0,2046.6666666666667,1544.0,204.0,125,0,0,1,50,42.0,2048.0,20840.33219999999,3402.0232,3380.9665,768,0,0,128,0.17700437683342218,0.44247997304884956,0.14294101392905456,0,5993.247599999993,4719.984799999973,50,0,640.0,0,0,0,0.0,0,0.0,38737.51221885394,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1328.5554,256.0,2718.3765000000003,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,125,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2297614098266842,384,13180.636599999998,128,25556.87561885397,4,-5232.6140000000005,4,-6088.4735,2,304.77929999999867,-7327.166499999999,23.44409611829945,0,0,541,541,4 + theatres,debt,7,5.820766091346741e-11
7,512,4,4,30810.959499999997,0.0,31127.7233,0.0,8249.2349,,0.0,8249.2349,0.0,0.0,0.0,0.0,0.00375,297.9575,0.0,0.0,1.0,1717.9044411191303,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,22.296821755641307,2.7536160159236425,25.050437771564948,5.704420902987255,2.926192473556038,8.630613376543291,0.0,0.0,0.0,0.0,0,0,0.0,0.0,297.95730000000003,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,316.76379999999995,1026.2365000000002,0.0,42,1269.9956000000004,1100.1792999999998,1750.9683,1131.9256999999839,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1140.4816000000003,0.0,0.01063612041291341,4.257253013182663,5.152820934579455,2.127876406249995,1.6026042990654206,3.069395940480104,3.2652502593216797,1070.0,1062.0,535.0,2046.6666666666667,1532.0,204.0,128,0,0,1,47,34.0,2048.0,20855.50780000001,3350.3431,3211.9015,768,0,0,128,0.2010781933061454,0.46312022084629767,0.1435285621928426,0,5866.2214000000195,4521.202699999989,47,0,640.0,0,0,0,0.0,0,0.0,39710.02394731975,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1361.840899999997,256.0,3095.2496,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1796973583362396,384,12691.63669999999,128,27018.38724731978,4,-5080.5578,4,-6082.1785,2,311.2756999999988,-7951.277399999999,24.733466728280966,0,0,535,535,4 + theatres,debt,7,5.820766091346741e-11
8,512,4,4,30988.566800000015,0.0,31309.129400000013,0.0,8867.0944,,0.0,8867.0944,0.0,0.0,0.0,0.0,0.00375,308.9676,0.0,0.0,1.0,1685.4000245210584,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,23.144193053526433,2.5613220648775923,25.705515118404023,6.521988431503508,2.821213945104117,9.343202376607625,0.0,0.0,0.0,0.0,0,0,0.0,0.0,308.9676,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,320.5625999999999,1185.0676000000003,0.0,53,1334.6110999999999,1157.0038,4063.6749999999997,1119.7958000000071,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1123.4402,0.0,0.012761559325411849,4.2032138121546705,5.176633955223878,2.196807499999996,1.5682501865671643,2.9757132319035886,3.167292751542029,1072.0,1086.0,536.0,2046.6666666666665,1534.0,204.0,128,0,0,1,56,41.0,2048.0,20644.68750000001,3401.9337,3085.286,768,0,0,128,0.22548847610424927,0.47485355736268264,0.14303491821544934,0,5717.939599999987,4564.690199999972,56,0,640.0,0,0,0,0.0,0,0.0,38922.75272523364,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1405.9567999999972,256.0,3547.692,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1486027299404602,384,12108.8111,128,26813.94162523365,4,-4825.2309000000005,4,-6033.434,2,315.4664999999975,-8558.1268,24.03906448598131,0,0,536,536,4 + theatres,debt,7,5.820766091346741e-11
9,512,4,4,31164.845899999968,0.0,31488.309699999994,0.0,9450.9466,,0.0,9450.9466,0.0,0.0,0.0,0.0,0.00375,323.3894,0.0,0.0,1.0,1634.598694705445,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,23.67541770572817,2.444008479029145,26.119426184757312,7.074980063011445,2.7992291968364076,9.874209259847852,0.0,0.0,0.0,0.0,0,0,0.0,0.0,323.3893,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,323.46379999999994,1344.988400000001,0.0,63,1393.3515,1217.0724000000002,5590.392399999999,1109.501599999998,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1079.772599999999,0.0,0.01126059810062256,4.2730419776119355,5.098994805194813,2.2621993749999936,1.5446658627087193,2.8623493873621495,3.072273968995767,1078.0,1072.0,539.0,2046.6666666666667,1540.0,204.0,126,0,0,0,55,34.0,2048.0,20223.542200000004,3464.1058,3100.1053,768,0,0,128,0.24409862761254342,0.48677454492308136,0.14243999137903085,0,5534.252999999992,4580.700999999995,55,0,640.0,0,0,0,0.0,0,0.0,38030.91664925375,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1447.807599999996,256.0,4053.7032,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1038600918396935,384,11342.531899999987,128,26688.38474925374,4,-4559.3225,4,-5843.254700000001,2,318.75960000000134,-9127.5572,23.523752798507466,0,0,539,539,4 + theatres,debt,7,5.820766091346741e-11
10,512,4,4,31360.035800000012,0.0,31685.858400000005,0.0,10075.4297,,0.0,10075.4297,0.0,0.0,0.0,0.0,0.00375,295.9993,0.0,0.0,1.0,1707.1702436613784,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,23.660405057493342,2.269446967212414,25.92985202470576,7.532363147894091,2.608928679641985,10.141291827536076,0.0,0.0,0.0,0.0,0,0,0.0,0.0,295.99929999999995,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,325.82259999999985,1506.0451000000025,0.0,81,1475.2148000000002,1280.0249000000001,3141.2698,1102.5521000000126,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1143.1309000000006,0.0,0.010501622082089043,4.236867738970587,5.102626296296283,2.3169639312977086,1.5748218518518526,2.991905446823986,3.8811504046587815,1080.0,1088.0,540.0,2048.0,1513.0,204.0,133,0,0,1,54,45.0,2048.0,20163.54730000001,3528.113,3144.2563,768,0,0,128,0.2552673320350134,0.49302885162208554,0.15424698792770553,0,5713.732900000019,4609.712099999999,54,0,524.0,0,0,0,0.0,0,0.0,37646.56133840441,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1214.0890999999992,227.0,4228.1199,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,133,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0631867781958,384,10915.294800000001,128,26731.26653840445,4,-4291.579,4,-5623.743699999999,2,321.5103999999977,-9779.430400000001,23.16998794063079,0,0,540,540,4 + theatres,debt,7,5.820766091346741e-11
