round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,27418.718400000056,0.0,27538.286999999997,0.0,3522.536,,0.0,3522.536,0.0,0.0,0.0,0.0,0.00375,48.1322,0.0,0.0,1.0,3950.0011999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,7.74652549019608,3.4012235294117645,11.147749019607845,1.0982294117647051,3.313213725490196,4.411443137254901,0.0,0.0,0.0,0.0,0,0,0.0,0.0,45.692,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,119.5686,122.00880000000001,0.0,4,3545.6632000000004,528.7048,5050.3432,475.5974000000044,2.4402,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3290.0,0.0,0.005,5.0,5.200000000000013,NaN,0.75,3.7291803278688764,3.920000000000001,320.0,86.0,160.0,2048.0,732.0,204.0,329,0,0,0,50,36.0,2048.0,20655.143000000025,2109.0648,3110.3872,768,0,0,128,0.034351454884172794,0.2399599999294375,0.07223956553546951,0,5712.296000000015,430.0,50,0,0.0,0,0,0,0.0,0,0.0,29282.296000000097,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,206.0,1495.9912,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,329,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0178397554757677,384,15372.175999999987,128,13910.119999999994,4,-6136.7752,4,-7235.852800000001,2,111.72860000000051,-3474.4038,11.25,0,0,160,160,6 + charge on balances,debt,4,7.275957614183426e-12
2,512,4,4,26798.528900000012,0.0,26996.050399999996,0.0,5036.553899999999,,0.0,3346.4092,1690.1446999999994,0.0,1690.1446999999994,0.0,0.00375,373.3221,0.0,0.0,1.0,2350.0011999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,8.32193,3.1550245098039214,11.476954509803921,1.5910294117647055,2.927250980392157,4.518280392156862,0.0,0.0,0.0,0.0,0,0,0.0,0.0,369.29100000000005,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,197.5215,259.68080000000003,0.0,11,101.3397,721.5291999999998,4662.6129,1178.7859000000308,4.0311,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1690.0,0.0,0.00521061568757689,4.8225857275254755,5.509029359823404,1.8500000000000014,1.1241448123620308,3.5528967836257115,3.8023999999999996,906.0,1079.0,453.0,2048.0,1368.0,204.0,169,0,0,0,46,45.0,2048.0,18872.480000000003,2184.7713000000003,3789.7969,768,0,0,128,0.07725036126925944,0.25908179474965354,0.09822242372831513,0,6254.137799999963,5203.569999999988,46,0,640.0,0,0,0,0.0,0,0.0,29148.799500000034,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1184.000000000001,256.0,1578.1586,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,169,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7870269785591468,384,14987.059599999997,128,14161.739900000002,4,-5921.3087,4,-6381.0831,2,190.07350000000073,-2973.0871,11.25,0,0,453,453,6 + charge on balances,debt,4,7.275957614183426e-12
3,512,4,4,27500.531099999997,0.0,27733.694499999998,0.0,5683.5099999999975,,0.0,3170.2824,2513.2275999999974,0.0,823.0829,6.336420374999991,0.00375,317.8311,0.0,0.0,1.0,1907.0016292863754,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,12.95954882191614,3.133130451126566,16.092679273042705,1.658709675638603,2.9315340998734456,4.590243775512048,0.0,0.0,0.0,0.0,0,0,0.0,0.0,313.0727,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,233.16339999999997,394.6309000000001,0.0,14,1422.8906000000002,720.8883999999999,4121.8624,1227.6254000000238,4.7584,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1270.4204000000004,0.0,0.007923251670869413,4.73345061147699,5.427880410447755,1.8988437500000057,1.3410417910447763,3.4854331916775667,3.6883279999999994,1072.0,1063.0,536.0,2048.0,1534.0,204.0,128,0,0,0,48,36.0,2048.0,18266.230500000005,3500.0603999999994,3704.6411000000003,768,0,0,128,0.07196239328557419,0.342340555846669,0.1178863093974023,0,6426.079700000007,5031.65800000004,48,0,640.0,0,0,0,0.0,0,0.0,33644.189838410595,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1215.2600000000036,256.0,1711.768,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4905006662796827,384,14590.005099999997,128,19054.184738410608,4,-5755.5272,4,-6290.8789,2,226.10739999999944,-2852.4513,16.862172185430463,0,0,536,536,6 + charge on balances,debt,4,7.275957614183426e-12
4,512,4,4,26865.537900000007,0.0,27123.069899999995,0.0,6393.393799999998,,0.0,2994.1556,3399.2381999999975,0.0,886.0105999999998,9.422494874999995,0.00375,315.2161,0.0,0.0,1.0,1893.804531671865,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,15.887946900136264,3.0605712268280345,18.9485181269643,1.7783759867590843,2.8598119094240713,4.6381878961831555,0.0,0.0,0.0,0.0,0,0,0.0,0.0,309.96029999999996,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,257.5319999999999,536.9251000000002,0.0,25,159.41840000000005,794.4115999999999,6596.2654999999995,1206.5819999999953,5.255800000000001,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1268.9885999999997,0.0,0.009232930547523787,4.604239981360694,5.3966957089552325,1.9478398437500004,1.4400154850746287,3.3707044854725883,3.5776781599999987,1072.0,1073.0,536.0,2048.0,1534.0,204.0,128,0,0,1,50,36.0,2048.0,17559.352600000002,3486.718,3582.9519999999998,768,0,0,128,0.07495326819986259,0.3863272882325186,0.12210087622630339,0,6320.132400000026,4940.349500000025,50,0,640.0,0,0,0,0.0,0,0.0,36284.92213283581,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1246.6175000000003,256.0,1921.2992,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3601637830877504,384,14184.08179999999,128,22100.840332835836,4,-5564.646200000001,4,-6237.2080000000005,2,250.86800000000108,-2678.9395,20.115626865671643,0,0,536,536,6 + charge on balances,debt,4,7.275957614183426e-12
5,512,4,4,26393.55520000001,0.0,26659.960900000005,0.0,7057.383899999998,,0.0,2818.0288,4239.355099999998,0.0,840.1169,12.744339124999998,0.00375,318.1704,0.0,0.0,1.0,1822.8119120119038,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,18.088950770362878,2.7852290056584312,20.874179776021307,1.928269534649826,2.72714720494817,4.655416739597996,0.0,0.0,0.0,0.0,0,0,0.0,0.0,312.73359999999997,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,266.4056999999999,676.1477000000003,0.0,30,321.43199999999996,793.4146999999997,1963.3,1189.4957999999906,5.4368,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1215.0516999999986,0.0,0.008889193004689743,4.486398729582565,5.2771575700934985,1.9804059375000054,1.579383364485981,3.240098549307826,3.4703478151999994,1070.0,1102.0,535.0,2046.6666666666665,1532.0,204.0,128,0,0,1,62,53.0,2048.0,16755.3666,3427.6646,3604.9435000000003,768,0,0,128,0.07965427791561286,0.4168068389571671,0.13496214407942397,0,6152.529599999981,4944.011399999987,62,0,640.0,0,0,0,0.0,0,0.0,37378.04978805975,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1267.4598000000035,256.0,2287.4101,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2925185020167966,384,13672.858999999999,128,23705.190788059714,4,-5419.4762,4,-6039.856499999999,2,260.13369999999935,-2499.8584,21.60023227611943,0,0,535,535,6 + charge on balances,debt,4,7.275957614183426e-12
6,512,4,4,25798.831999999977,0.0,26067.660300000018,0.0,7635.567399999998,,0.0,2641.902,4993.665399999998,0.0,754.3103000000001,15.89382312499999,0.00375,294.365,0.0,0.0,1.0,1723.567204911985,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,20.581523091131803,2.789667075510677,23.37119016664248,1.8585969204571664,2.779477453803423,4.638074374260589,0.0,0.0,0.0,0.0,0,0,0.0,0.0,285.14919999999995,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,268.8282999999998,813.5646000000005,0.0,41,206.43990000000005,801.1630999999999,1897.5668,1151.5665999999967,9.2158,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1131.3610000000003,0.0,0.012016818975112668,4.362101605287993,5.241832103321064,2.0229235937500016,1.6473241697416958,3.118861405113149,3.366237380743999,1084.0,1059.0,542.0,2046.6666666666667,1546.0,204.0,125,0,0,1,46,43.0,2048.0,16150.4487,3355.438,3415.0789999999997,768,0,0,128,0.07534173138938582,0.44373630385546914,0.1418678635843027,0,5988.771000000006,4619.465599999985,46,0,640.0,0,0,0,0.0,0,0.0,39072.513258878535,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1294.671100000001,256.0,2583.5013,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,125,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2303067673557428,384,13280.203100000002,128,25792.310158878503,4,-5287.4794,4,-6054.361000000001,2,262.94819999999925,-2347.5370000000003,23.690750467289714,0,0,542,542,6 + charge on balances,debt,4,7.275957614183426e-12
7,512,4,4,25187.13189999999,0.0,25454.316300000006,0.0,8295.732799999996,,0.0,2465.7752,5829.957599999996,0.0,836.2922000000004,18.721826624999977,0.00375,301.2516,0.0,0.0,1.0,1747.0214258455892,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,22.48973186745307,2.6266685498910456,25.116400417344117,2.194127447912392,2.6378564922162107,4.831983940128603,0.0,0.0,0.0,0.0,0,0,0.0,0.0,287.939,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,267.18439999999975,948.2800000000011,0.0,51,190.33380000000002,802.0338999999998,4120.0771,1125.6788000000104,13.3126,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1171.2266000000006,0.0,0.012364234519009528,4.257889860465121,5.1576684701492646,2.0474362126245857,1.603315111940299,3.0526172560223923,3.2652502593216797,1072.0,1075.0,536.0,2046.6666666666665,1519.0,204.0,131,0,0,0,55,39.0,2048.0,15731.817399999994,3304.9054,3293.9201999999996,768,0,0,128,0.08664957500694603,0.46324471669017164,0.1422685102596275,0,5843.099599999993,4577.231600000005,55,0,602.0,0,0,0,0.0,0,0.0,39904.884235424295,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1232.5566000000006,241.0,2555.2373,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,131,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1854576135884394,384,12886.335499999996,128,27018.548735424334,4,-5133.7886,4,-6000.159799999999,2,261.6962000000019,-2164.5236,24.709862546125436,0,0,536,536,6 + charge on balances,debt,4,7.275957614183426e-12
8,512,4,4,24599.491700000006,0.0,24862.818199999998,0.0,8972.069699999996,,0.0,2289.6484,6682.421299999995,0.0,852.4636999999999,21.857193874999975,0.00375,295.6936,0.0,0.0,1.0,1738.4477988043561,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,23.192457135502764,2.5738091960026037,25.766266331505367,2.492710385268255,2.6668120897853274,5.159522475053582,0.0,0.0,0.0,0.0,0,0,0.0,0.0,282.3732,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,263.3264999999998,1080.061200000002,0.0,60,214.1584,801.7985999999996,3988.679800000001,1090.7458000000124,13.320400000000001,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1176.4090999999996,0.0,0.010863683214727646,4.199724976525795,5.155866419295011,2.056736120996436,1.5622619666048243,2.9544381455145183,3.167292751542029,1078.0,1065.0,539.0,2048.0,1509.0,204.0,134,0,0,0,44,36.0,2048.0,15506.153500000002,3351.2286999999997,3077.7079,768,0,0,128,0.09729788421929997,0.4704926999899164,0.13947516710261776,0,5681.662200000003,4472.707099999971,44,0,562.0,0,0,0,0.0,0,0.0,39468.72948955228,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1155.885699999997,225.0,2368.7079999999996,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,134,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.158577886682205,384,12559.898000000005,128,26908.831489552238,4,-4883.2419,4,-6041.0121,2,258.230300000001,-1993.9548,24.049726679104488,0,0,539,539,6 + charge on balances,debt,4,7.275957614183426e-12
9,512,4,4,24012.96130000001,0.0,24271.557799999984,0.0,9716.293699999998,,0.0,2113.5216,7602.772099999997,0.0,920.3508,25.053658374999976,0.00375,316.2242,0.0,0.0,1.0,1757.791657048927,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,23.70572789249249,2.3787341951207757,26.084462087613264,2.586023679169225,2.5257274806334147,5.1117511598026395,0.0,0.0,0.0,0.0,0,0,0.0,0.0,303.5571,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,258.59649999999976,1209.0419000000022,0.0,68,216.3936,802.9240000000003,1727.0468999999998,1070.6012000000003,12.6671,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1203.422300000001,0.0,0.010993347959354907,4.256301183970853,5.091718691588784,2.0527460348162485,1.5391850467289738,2.8359520545525414,3.072273968995767,1070.0,1098.0,535.0,2048.0,1483.0,204.0,141,0,0,0,60,50.0,2048.0,14943.273999999996,3409.5283999999997,3222.1292,768,0,0,128,0.10158080545028958,0.47953065379752746,0.1359831679854846,0,5478.227400000002,4673.4186999999965,60,0,517.0,0,0,0,0.0,0,0.0,38757.77945528754,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1061.2697000000005,207.0,2121.8055,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,141,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11351613182474,384,12088.065099999998,128,26669.714355287582,4,-4620.718800000001,4,-5721.2308,2,253.89229999999964,-1797.2974,23.433929499072363,0,0,535,535,6 + charge on balances,debt,4,7.275957614183426e-12
10,512,4,4,23462.610200000032,0.0,23715.934199999992,0.0,10548.600499999995,,0.0,1937.3948,8611.205699999995,0.0,1008.4336000000002,28.504538749999973,0.00375,262.5083,0.0,0.0,1.0,1847.3692329523512,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,23.39819229627009,2.325837222885303,25.72402951915539,2.6267249120070106,2.521710598005244,5.148435510012255,0.0,0.0,0.0,0.0,0,0,0.0,0.0,253.5435,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,253.3239999999997,1335.2362000000023,0.0,84,253.9206,804.2716999999994,1812.2749999999999,1000.4233999999954,8.9648,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1285.5367000000008,0.0,0.012781697676353891,4.191337960339937,5.055621296296333,2.046018904109588,1.5699588888888885,2.8137545655039107,2.9801057499258943,1080.0,1059.0,540.0,2048.0,1447.0,204.0,150,0,0,2,48,39.0,2048.0,15084.702100000002,3454.3636,3155.5263999999997,768,0,0,128,0.10581168873864066,0.4810151045540707,0.13760494063680606,0,5466.9018,4438.626899999994,48,0,365.0,0,0,0,0.0,0,0.0,38792.630338317795,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,746.7968999999997,161.0,1505.5097999999998,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,150,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0708239354995206,384,12105.04220000001,128,26687.588138317784,4,-4371.6602,4,-5612.4736,2,249.0118000000005,-1674.8865,23.087775700934607,0,0,540,540,6 + charge on balances,debt,4,7.275957614183426e-12
