round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,26750.372900000104,0.0,2413.3001,1063.3001,561.0,,561.0,0.0,0.0,0.0,0.0,0.0,0.0025,115.5613,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,24.39545450980392,2.743323529411765,27.138778039215687,1.6346266666666665,2.888235294117647,4.522861960784313,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0,2560.0,234.90709999999945,1063.3001,116.82279999999973,0.0,0.0,0.0,0.0,0.0,0,258.1752,2560.0,234.90709999999945,116.82279999999973,274.0,0.0,0.0,0.0,5.0,5.200000000000013,2.0,0.75,3.594822888283399,3.9200000000000013,320.0,83.0,160.0,2048.0,734.0,204.0,328,0,0,0,47,36.0,2048.0,17931.99090000004,2276.978,3582.8891,732,36,0,122,0.08409574387343621,0.48321018599205257,0.6588891068879048,0,5237.393999999997,415.0,47,0,520.0,0,0,0,0.0,0,0.0,47659.291,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1040.0,208.0,2584.7784,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5256458519804275,390,15607.555600000009,122,32051.735400000027,4,2276.978,4,3216.5890000000004,2,258.1752,-445.4387,37.5,0,0,160,160,7 + two more theatres,sumsy,10,1.1641532182693481e-10
2,512,4,4,29026.312599999983,0.0,9811.108099999994,2690.4230000000007,1006.4387,,1006.4387,0.0,0.0,0.0,0.0,0.0,0.0025,139.1153,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,24.939395882352947,2.598272549019608,27.537668431372555,1.642283529411765,2.695305490196078,4.337589019607843,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-5.022999999999993,0.0,3,2560.0,284.0602999999999,4147.6291999999985,141.05999999999992,0.0,0.0,0.0,0.0,0.0,112,147.3739,2560.0,284.0602999999999,141.05999999999992,274.0,0.0,0.0,0.015,4.814652459016377,5.538653318584079,2.0638959259259244,1.1292322916666668,3.5300479638008757,3.802399999999999,904.0,1098.0,452.0,2048.0,1326.0,204.0,180,0,0,0,60,50.0,2048.0,16868.11329999999,2686.2753000000002,6598.0239,604,164,0,101,0.07064457261398793,0.47573308892642685,0.3922842417240966,0,7531.762999999973,5286.488399999982,60,0,540.0,0,0,0,0.0,0,0.0,48510.73550000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1114.5037999999993,216.0,2587.4109,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,180,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.531534464133651,411,21427.5921,101,27083.143399999997,4,2753.7753,4,4180.832000000008,2,405.5491,-867.3234,37.5,0,0,452,452,7 + two more theatres,sumsy,10,1.1641532182693481e-10
3,512,4,4,31251.807900000033,0.0,12616.161449999998,1894.8318999999997,1407.5255999999997,,1407.5255999999997,0.0,0.0,0.0,0.0,0.0,0.0025,163.9126,0.0,0.0,1.0,540.2021999999998,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,38.352153228057354,2.835891169379713,41.18804439743707,2.560734990646998,2.4484810470673164,5.009216037714314,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-32.24279999999995,0.0,5,2560.0,334.50469999999996,3699.287299999999,166.13880000000012,0.0,0.0,0.0,0.0,0.0,118,206.2851,2560.0,334.50469999999996,166.13880000000012,274.0,0.0,0.0,0.015,4.734022408963612,5.440176709796687,2.136839294710324,1.3448271954674207,3.384914862406118,3.688327999999999,1082.0,1071.0,541.0,2048.0,1447.0,204.0,149,0,0,0,59,38.0,2048.0,18354.460000000014,2879.2152,7711.5386,580,188,0,97,0.1090879824176596,0.533072039824777,0.34027839119501735,0,7862.960600000014,5070.138000000028,59,0,397.0,0,0,0,0.0,0,0.0,61580.430408333326,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,848.3251999999985,159.0,1936.3964,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,149,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5848345174179512,415,23936.09775,97,37644.33265833334,4,6363.919991666669,4,4209.852099999998,2,610.187,-1243.6129999999998,56.46161458333334,0,0,541,541,7 + two more theatres,sumsy,10,1.1641532182693481e-10
4,512,4,4,33436.6787,0.0,13668.457500000006,1639.6008000000002,1774.7677999999996,,1774.7677999999996,0.0,0.0,0.0,0.0,0.0,0.0025,183.898,0.0,0.0,1.0,531.1548000000005,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,46.1685992081162,3.0780993239237104,49.24669853203991,2.535440958411768,2.808847096469548,5.344288054881316,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-73.02832500000038,0.0,8,2560.0,375.1291999999996,4589.0679,186.3429,0.0,0.0,0.0,0.0,0.0,153,189.3679,2560.0,375.1291999999996,186.3429,274.0,0.0,0.0,0.015,4.589138721804563,5.408666358595189,2.204597031249999,1.4461708215297455,3.240380190599538,3.5776781599999983,1082.0,1064.0,541.0,2048.0,1544.0,204.0,125,0,0,1,48,31.0,2048.0,18886.7271,3071.2147999999997,8597.182700000001,580,188,0,97,0.10509848698892865,0.5543450170790516,0.314908367641489,0,7997.165799999985,4882.843600000055,48,0,640.0,0,0,0,0.0,0,0.0,69203.14146855524,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1410.9420999999995,256.0,2508.2882,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,125,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6077931676758255,415,24734.140299999977,97,44469.00116855519,4,8957.766437393755,4,4098.957899999999,2,790.539,-1590.8697999999997,67.24135977337103,0,0,541,541,7 + two more theatres,sumsy,10,1.1641532182693481e-10
5,512,4,4,35576.7817,0.0,13432.968200000005,415.43679999999995,2105.7708999999995,,2105.7708999999995,0.0,0.0,0.0,0.0,0.0,0.0025,206.2742,0.0,0.0,1.0,514.9010999999996,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,51.365686411778626,3.4046371025019773,54.7703235142806,3.8202682985309013,2.7757094432014826,6.595977741732384,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-124.41682500000093,0.0,11,2560.0,419.89700000000016,2070.3563999999997,208.72379999999995,0.0,0.0,0.0,0.0,0.0,178,209.8809,2560.0,419.89700000000016,208.72379999999995,274.0,0.0,0.0,0.015,4.471819408502766,5.300769029850717,2.279949687500001,1.5745465517241395,3.080747847405388,3.4703478152,1072.0,1082.0,536.0,2046.6666666666665,1534.0,204.0,128,0,0,1,58,32.0,2048.0,20361.5608,3230.9429,8439.8305,580,188,0,97,0.1333441468167993,0.5612509735672611,0.3142220778736442,0,7725.8244999999815,4838.508599999993,58,0,640.0,0,0,0,0.0,0,0.0,73208.56442436262,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1459.1678000000006,256.0,3128.2924,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6179454354608906,415,25206.979999999996,97,48001.584424362605,4,10445.379022379608,4,4182.627800000001,2,981.0897,-1899.4966999999995,72.30854107648727,0,0,536,536,7 + two more theatres,sumsy,10,1.1641532182693481e-10
6,512,4,4,37674.93500000001,0.0,13184.884399999994,407.05889999999994,2401.234699999999,,2401.234699999999,0.0,0.0,0.0,0.0,0.0,0.0025,227.2302,0.0,0.0,1.0,501.73800000000045,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,57.81563261726218,3.4815966715973032,61.29722928885949,5.161936547644332,2.9326653878428615,8.094601935487193,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-173.89135000000152,0.0,15,2560.0,461.8467000000004,3706.9963000000002,229.69200000000015,0.0,0.0,0.0,0.0,0.0,185,404.00559999999996,2560.0,461.8467000000004,229.69200000000015,274.0,0.0,0.0,0.015,4.348577518656687,5.223060628465795,2.3509959375000022,1.6400121813031157,3.0053103223018414,3.3662373807439985,1082.0,1072.0,541.0,2046.6666666666667,1544.0,204.0,125,0,0,2,49,33.0,2048.0,22114.627400000012,3353.7824,8181.7452,580,188,0,97,0.15187549836005187,0.5698666182034047,0.310838207678781,0,7635.884500000014,4661.675099999969,49,0,640.0,0,0,0,0.0,0,0.0,78024.59520000004,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1504.6374000000014,256.0,3393.5442,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,125,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6287931584904976,415,25757.86370000002,97,52266.731500000074,4,12150.204786206912,4,4165.559400000002,2,1154.2153,-2174.004499999999,78.72732758620697,0,0,541,541,7 + two more theatres,sumsy,10,1.1641532182693481e-10
7,512,4,4,39731.62799999993,0.0,12840.864799999996,316.704,2661.916399999999,,2661.916399999999,0.0,0.0,0.0,0.0,0.0,0.0025,247.9513,0.0,0.0,1.0,487.9118999999995,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,62.55633956949271,3.4720226876823803,66.02836225717508,6.603599361466803,3.072782148925961,9.676381510392764,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-221.68725000000305,0.0,18,2560.0,503.30700000000036,2477.3351,250.4190999999999,0.0,0.0,0.0,0.0,0.0,187,503.7722,2560.0,503.30700000000036,250.4190999999999,274.0,0.0,0.0,0.015,4.2513585951940955,5.1581917757009075,2.3982346874999965,1.5907060518731984,2.9886150114838133,3.26525025932168,1070.0,1082.0,535.0,2045.3333333333333,1532.0000000000002,204.0,128,0,0,2,58,35.0,2048.0,23704.93940000002,3505.0843999999997,7959.946,580,188,0,97,0.1783578383338429,0.5750914160672689,0.3219677321489154,0,7515.030400000012,4599.970000000011,58,0,640.0,0,0,0,0.0,0,0.0,80914.62985779029,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1534.8701999999978,256.0,3809.9347,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6364471173163251,415,26269.881400000002,97,54644.74845779036,4,13292.138104249289,4,4184.778199999999,2,1232.9828,-2413.965099999999,82.00060906515579,0,0,535,535,7 + two more theatres,sumsy,10,1.1641532182693481e-10
8,512,4,4,41748.342599999974,0.0,12435.669099999996,258.32919999999996,2890.9680999999996,,2890.9680999999996,0.0,0.0,0.0,0.0,0.0,0.0025,267.9659,0.0,0.0,1.0,477.00300000000027,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,62.489598594440906,3.7324114756588047,66.22201007009971,7.8775549120162465,3.288609170383755,11.1661640824,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-267.1827750000028,0.0,21,2560.0,543.2853999999996,2961.339,270.41719999999975,0.0,0.0,0.0,0.0,0.0,188,551.258,2560.0,543.2853999999996,270.41719999999975,274.0,0.0,0.0,0.015,4.190362016965102,5.134847970479706,2.461447656249999,1.5582497175141263,2.911863670362731,3.167292751542029,1084.0,1061.0,542.0,2045.3333333333335,1545.9999999999998,204.0,125,0,0,1,42,31.0,2048.0,25259.062699999984,3746.2138000000004,7591.1358,580,188,0,97,0.20111156117437545,0.56986453376486,0.32856845722932615,0,7406.9883000000045,4445.974099999973,42,0,640.0,0,0,0,0.0,0,0.0,80469.64110432271,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1575.3264999999992,256.0,4332.7064,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,125,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6355516966144543,415,26774.426899999966,97,53695.21420432276,4,13445.044287608065,4,4056.985800000002,2,1259.4695,-2623.0021999999994,79.53530259365992,0,0,542,542,7 + two more theatres,sumsy,10,1.1641532182693481e-10
9,512,4,4,43724.14439999998,0.0,12004.418899999999,233.7331,3093.1609999999996,,3093.1609999999996,0.0,0.0,0.0,0.0,0.0,0.0025,288.3529,0.0,0.0,1.0,470.15879999999953,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,63.21372072898676,3.7124306607378514,66.92615138972461,9.67779152154761,3.2703770390262026,12.948168560573812,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-310.09167500000757,0.0,25,2560.0,584.1981999999999,3292.8011,290.8501999999996,0.0,0.0,0.0,0.0,0.0,189,573.3297,2560.0,584.1981999999999,290.8501999999996,274.0,0.0,0.0,0.015,4.151186260236572,5.04683163841808,2.5504109374999997,1.5338795918367338,2.9282479122725555,3.8849538446654837,1062.0,1099.0,531.0,2046.6666666666665,1524.0,204.0,131,0,0,2,69,39.0,2048.0,26538.861999999976,3964.7232000000004,7573.8136,580,188,0,97,0.22556397633909064,0.569014400538993,0.35944798770923914,0,7315.460099999993,4562.153699999993,69,0,640.0,0,0,0,0.0,0,0.0,80238.17830790974,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1632.263,256.0,4785.063,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,131,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6388406629967656,415,26837.571399999993,97,53400.60690790968,4,13733.71854463279,4,4280.6765000000005,2,1260.5421000000001,-2804.8080999999997,77.91248587570632,0,0,531,531,7 + two more theatres,sumsy,10,1.1641532182693481e-10
10,512,4,4,45659.94579999995,0.0,11530.2525,192.39829999999998,3270.5706999999993,,3270.5706999999993,0.0,0.0,0.0,0.0,0.0,0.0025,308.3067,0.0,0.0,1.0,465.7626000000004,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,63.94416821129892,3.5944251825795472,67.53859339387847,11.3041243028979,3.251842739812761,14.55596704271066,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-350.4235000000061,0.0,30,2560.0,624.1985999999997,3240.9,310.8353000000001,0.0,0.0,0.0,0.0,0.0,190,582.9525,2560.0,624.1985999999997,310.8353000000001,274.0,0.0,0.0,0.015,4.26882488262911,5.0997869724770535,2.6013271875000052,1.5249845938375337,3.2201208108237274,6.430510888954347,1090.0,1065.0,545.0,2045.3333333333335,1552.0,204.0,123,0,0,1,47,34.0,2048.0,28285.379900000014,4251.720499999999,7428.8186,580,188,0,97,0.2508684667071479,0.5675338311649052,0.3795806782451099,0,7832.258100000015,4546.298500000002,47,0,640.0,0,0,0,0.0,0,0.0,80726.05876326538,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1664.8494000000035,256.0,4802.7676,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,123,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6394065746665165,415,27476.016300000007,97,53250.04246326529,4,14166.891063265299,4,4376.698499999998,2,1249.1658,-2962.263999999999,76.6939795918367,0,0,545,545,7 + two more theatres,sumsy,10,1.1641532182693481e-10
