round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,27615.458600000038,0.0,27737.584999999995,0.0,3501.46,,0.0,3443.26,58.2,0.0,58.2,0.0,0.00375,39.7592,11820.0036,0.0,0.9588,3940.0011999999997,7388.448933333328,0.02,15.300000000000015,1.02,0.0,0.0,1.02,0.0,0,0,21.719098181197076,3.3893927377121833,25.10849091890926,5.495062941176471,2.2572176470588237,7.752280588235294,0.0,0.0,0.0,0.0,0,0,0.0,0.0,39.7592,1.02,1.02,0.0,0.0,0.0,0.0612,0.5,0.25,122.12639999999999,122.12639999999999,0.0,1,3719.3926000000006,529.2139999999999,3964.1927000000005,478.300400000005,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3280.0,0.0,0.005,5.0,5.200000000000013,NaN,0.75,3.729700272479588,3.9200000000000013,320.0,51.0,160.0,2048.0,734.0,204.0,328,0,0,0,29,22.0,2048.0,19776.832600000016,2163.1396,3437.4188000000004,720,48,0,128,0.1806312534849488,0.3810759063968512,0.06914577441539072,0,5678.360000000012,255.0,29,0,0.0,128,0,0,5519.2427,720,20142.07511800944,35394.31987026209,0.0,0,0,0,1.5,0,0.0,128,128,20142.07511800944,720,58689.0,0,0,0.0,208.0,2198.3084,4,0.0,0.0,0.36788378272763644,5120.0,84.04622395833333,-0.2592911067708334,185,0,0.0,0,3744.979686528673,4303.166666666667,180,0.12494947540560601,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,0,12,0.0,0,0.0,1440.0,0.0,1266.4132000000004,0.0,1266.4132000000004,0.0,0.0,7188.258500000003,7798.866799999999,0.39242043030979734,384,15252.244752252547,128,20142.07511800944,4,48.0,4,10.200000000000045,2,114.28640000000101,-3403.5008000000003,11.25,0,0,160,160,S2 rung 12 + greedy quarter,debt,1,1.4551915228366852e-11
2,512,4,4,27380.261899999983,0.0,27584.08970000002,0.0,4749.4906,,0.0,3271.097,1478.3936,0.0,1420.1936000000003,0.2182,0.00375,372.5201,9517.858499999998,0.0,0.91929744,2405.2378000000003,5228.214133333318,0.02,383.06920000000105,1.0404,0.0,0.0,1.0404,0.0,0,0,44.233443867823645,2.9770038876229767,47.21044775544662,5.882122352941177,2.5423319607843142,8.42445431372549,0.0,0.0,0.0,0.0,0,0,0.0,0.0,372.5201,1.0404,1.0404,0.0,0.0,0.0,0.062424,0.5,0.25,203.82779999999997,260.7946,0.0,6,496.5287000000002,731.7253999999997,3047.881800000001,1507.4026000000226,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1750.0,0.0,0.005516024015903817,4.893999999999964,5.506200660792954,1.8500000000000154,1.1242714285714281,3.5500482503678965,3.802399999999999,908.0,1084.0,454.0,2048.0,1344.0,204.0,175,0,0,2,49,28.0,2048.0,18154.4581,2306.148,4219.458799999999,720,48,0,128,0.1701429246130146,0.5364715460557428,0.0943680789770911,0,6225.907500000029,5305.09599999996,42,0,516.0,128,0,0,6100.885300000002,720,32031.47047312283,46904.409027737216,0.0,14,12,0,1.5,0,0.0,128,128,32031.47047312283,720,56607.0,0,0,954.600000000008,230.0,2327.6769000000004,4,0.0,0.0,0.5430047608185607,5120.0,73.13639322916667,-0.23894413574218754,380,0,0.0,0,5362.82243398342,3744.5833333333335,377,0.4537421539977056,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,175,0.0,0,12,0.0,0,0.0,1440.0,200.7122,11983.813030245332,0.0,11983.813030245332,0.0,0.0,13855.0836,8853.2837,0.5444518332726258,384,14872.938554614375,128,32031.47047312283,4,48.0,4,10.200000000000045,2,196.37980000000093,-2898.5769,11.25,0,0,454,454,S2 rung 12 + greedy quarter,debt,1,1.4551915228366852e-11
3,512,4,4,29436.649500000047,0.0,29680.583100000003,0.0,5651.722100000001,,0.0,3098.934,2552.7881,0.0,1074.3945,5.543935375,0.00375,320.5879,8685.606,0.0,0.8814223854719999,2340.3669999999993,4552.272766666655,0.02,340.3948000000009,1.061208,0.0,0.0,1.061208,0.0,0,0,61.54044053532513,2.9711116755845857,64.51155221090971,5.3055576255839885,2.6173890398006554,7.922946665384644,0.0,0.0,0.0,0.0,0,0,0.0,0.0,281.6699,1.061208,1.061208,0.0,0.0,0.0,0.06367247999999999,0.5,0.25,243.93359999999998,398.66539999999986,0.0,11,2809.2936000000004,752.906,7534.475899999999,1408.1028000000053,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1703.4280000000003,0.0,0.008724594123572758,4.851079104477639,5.463612290502804,1.8067357142857101,1.3395717791411055,3.512726165425593,10.181527695539922,1074.0,1072.0,537.0,2045.3333333333335,1356.0,204.0,171,0,0,3,48,30.0,2048.0,17929.37529999998,4945.9715,4263.7546999999995,720,48,0,128,0.15810253865159418,0.6000179875157088,0.11708329337505186,0,6374.617200000017,5200.35680000003,46,0,140.0,128,0,0,5820.260900000005,720,43300.67093557367,59013.58894591456,0.0,3,6,0,1.5,0,0.0,128,128,43300.67093557367,720,56589.0,0,0,252.94299999999942,76.0,1976.9601,4,129.7277,90.81000000000003,0.7492305557294408,5120.0,71.45345052083333,-0.23068851515997016,107,0,0.0,0,838.1612596897625,3658.4166666666665,394,0.5960593198244064,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,171,0.0,0,12,0.0,0,0.0,1440.0,368.71929999999986,12910.219798651384,0.0,12910.219798651384,0.0,129.7277,14073.639399999987,11186.6863,0.6067212617933282,384,15712.918010340898,128,43300.67093557367,4,48.0,4,10.200000000000045,2,236.87760000000213,-2778.3461,16.86407142857142,0,0,537,537,S2 rung 12 + greedy quarter,debt,1,1.4551915228366852e-11
4,512,4,4,28794.675900000053,0.0,29078.2082,0.0,6454.514000000001,,0.0,2926.771,3527.7430000000004,0.0,974.9549,9.572835375,0.00375,382.7045,8173.040867910447,0.0,0.8451077831905535,2211.7818238805967,4098.630670273622,0.02,391.40129999999886,1.08243216,0.0,0.0,1.08243216,0.0,0,0,94.25645802646153,2.7488862708561315,97.00534429731766,4.638730990723609,2.485221659572026,7.123952650295635,0.0,0.0,0.0,0.0,0,0,0.0,0.0,367.7421,1.08243216,1.08243216,0.0,0.0,0.0,0.0649459296,0.5,0.25,283.5323,556.3602999999996,0.0,24,266.33250000000004,908.3061000000004,4373.3723,1496.1745000000055,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1584.5638,0.0,0.007713611171596153,5.373615061963778,5.4295608938547675,1.765357439446372,1.4395578732106349,3.3812422342760398,9.876081864673724,1074.0,1049.0,537.0,2044.0000000000002,1407.0,204.0,159,0,0,2,32,25.0,2048.0,16908.744699999992,4987.3441,4728.6528,720,48,0,128,0.1396463219214643,0.6701668259515221,0.12082839578797744,1,6323.847500000011,5636.922200000004,29,0,289.0,128,0,0,5693.8495,720,61370.00749763204,78169.42687966916,0.0,3,5,0,1.5,0,0.0,128,128,61370.00749763204,720,56420.0,0,0,510.1883000000015,127.0,1787.2298,4,49.87570000000001,34.91360000000001,1.070704598753543,5120.0,70.68033854166667,-0.213944635726211,123,0,0.0,0,864.0167057461038,3618.8333333333335,403,0.8022127627746992,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,159,0.0,0,12,0.0,0,0.0,1440.0,465.116,12561.9363411976,0.0,12561.9363411976,0.0,49.87570000000001,13436.060100000002,11503.226700000001,0.6755273181274817,384,16799.419382037046,128,61370.00749763204,4,48.0,4,10.200000000000045,2,276.86829999999713,-2544.0665000000004,20.09357668711658,0,0,537,537,S2 rung 12 + greedy quarter,debt,1,1.4551915228366852e-11
5,512,4,4,31053.599599999863,0.0,31353.47770000001,0.0,7677.994,,0.0,2754.608,4923.3859999999995,0.0,1395.643,13.228935375,0.00375,397.8081,8110.217878100536,0.0,0.8102893425231027,2619.641972953631,4008.3881587336828,0.02,382.61919999999986,1.1040808032,0.0,0.0,1.1040808032,0.0,0,0,90.57521043235415,2.378223091010548,92.95343352336471,2.7053066330500455,2.0829948956201374,4.788301528670183,0.0,0.0,0.0,0.0,0,0,0.0,0.0,367.5665,1.1040808032,1.1040808032,0.0,0.0,0.0,0.066244848192,0.5,0.25,299.8781,710.9322,0.0,48,3171.5185999999994,912.5949000000006,4790.625200000001,1439.1250000000002,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1929.1954000000019,0.0,0.01026788780962605,5.492737817497648,5.596453700189716,1.6957225806451601,1.5698093945720242,3.4001984923403077,12.681900859950614,1054.0,1063.0,527.0,2045.3333333333333,1307.0,204.0,184,0,0,2,40,25.0,2048.0,16458.19440000001,5017.518,7796.0808,720,48,0,128,0.10587462990567298,0.6843781791161798,0.1183798394791078,0,6466.494299999995,5838.7803,38,0,31.0,128,0,0,5024.612199999996,720,65357.17316835628,81904.30462290348,0.0,3,19,0,1.5,0,0.0,128,128,65357.17316835628,720,56390.0,0,0,52.567399999999964,47.0,1383.9983000000002,4,100.8047,70.56279999999998,1.1288719187555827,5120.0,70.4052734375,-0.19781289601706284,65,0,0.0,0,326.73932236506727,3604.75,406,1.0003613174436758,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,184,0.0,0,12,0.0,0,0.0,1440.0,1041.2155000000002,8737.965915511239,0.0,8737.965915511239,0.0,100.8047,13248.443199999994,14197.5971,0.6894470677368878,384,16547.131454547252,128,65357.17316835628,4,48.0,4,10.200000000000045,2,293.6060999999981,-2356.7999,21.593368098159523,0,0,527,527,S2 rung 12 + greedy quarter,debt,1,1.4551915228366852e-11
6,512,4,4,31900.64930000003,0.0,32234.582500000048,0.0,9096.9366,,0.0,2582.445,6514.4916,0.0,1591.1055999999999,18.462593875,0.00375,362.2352,8159.035906108582,0.0,0.7769054216111508,2801.0420153829355,4033.9672707390455,0.02,392.0901999999998,1.126162419264,0.0,0.0,1.126162419264,0.0,0,0,93.19720009776167,2.1265150917322297,95.3237151894939,3.030294060512173,1.8666297543777939,4.896923814889967,0.0,0.0,0.0,0.0,0,0,0.0,0.0,359.8571999999999,1.126162419264,1.126162419264,0.0,0.0,0.0,0.06756974515584001,0.5,0.25,333.93320000000006,891.6977999999995,0.0,81,1937.5032,1090.4534999999994,1901.1600000000003,1378.764300000018,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2099.4881,0.0,0.009918298736616881,5.46736354359926,5.596088122605383,1.66556,1.7254221518987345,3.395953540694145,21.160625930978643,1044.0,1078.0,522.0,2045.3333333333333,1272.0,204.0,193,0,0,1,47,32.0,2048.0,16729.219900000007,4991.6467,9660.3019,720,48,0,128,0.11737875680501286,0.6956864586733502,0.12487497688369475,0,6612.553699999962,5893.817900000002,39,0,15.0,128,0,0,5198.3111,720,69012.6236483869,85410.27491342231,0.0,10,12,0,1.5,0,0.0,128,128,69012.6236483869,720,56361.0,0,0,24.9834,22.0,157.2456,4,7.9274,5.5492,1.1724328015635852,5120.0,70.0146484375,-0.1943005100245466,75,0,0.0,0,657.7307316007725,3584.75,405,1.1982274915277307,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,193,0.0,0,12,0.0,0,0.0,1440.0,1511.2989,7358.355212039064,0.0,7358.355212039064,0.0,7.9274,13518.970900000002,14809.1942,0.696328682479739,384,16397.65126503537,128,69012.6236483869,4,48.0,4,10.200000000000045,2,328.0531999999995,-2220.2098,23.54714091858036,0,0,522,522,S2 rung 12 + greedy quarter,debt,1,1.4551915228366852e-11
7,512,4,4,33896.77859999997,0.0,34238.7899,0.0,10487.308999999997,,0.0,2410.282,8077.026999999997,0.0,1562.5354000000023,24.429245374999997,0.00375,331.5446,8160.83662969741,0.0,0.7448969182407714,2723.880323743457,4037.4677150363614,0.02,388.84799999999944,1.14868566764928,0.0,0.0,1.14868566764928,0.0,0,0,103.67165388062296,2.046455200486953,105.71810908110992,2.0652621918484786,2.020008993611065,4.085271185459543,0.0,0.0,0.0,0.0,0,0,0.0,0.0,331.54460000000006,1.14868566764928,1.14868566764928,0.0,0.0,0.0,0.0689211400589568,0.5,0.25,342.0112999999999,1063.4574999999993,0.0,109,3073.7145999999984,1077.5853000000006,4301.1068000000005,1340.1565999999948,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,2029.5232000000024,0.0,0.01254526666715235,5.420117647058823,5.5508521575985155,1.6782439999999994,1.9250841237113414,3.3726179503827503,20.52580715304928,1066.0,1054.0,533.0,2046.6666666666665,1300.0,204.0,186,0,0,1,42,21.0,2048.0,16398.97610000001,4891.2449,12239.9958,720,48,0,128,0.08286168126460458,0.7064037891116077,0.13456481038730894,1,6727.827599999956,5712.803999999999,37,0,25.0,128,0,0,4778.467799999998,720,76450.70854141837,93687.48582371911,0.0,5,21,0,1.5,0,0.0,128,128,76450.70854141837,720,56288.0,0,0,41.956099999999985,28.0,35.0172,4,0.0,0.0,1.3190912935354726,5120.0,69.6142578125,-0.18007626547254088,70,0,0.0,0,466.1657852407277,3564.25,404,1.3080093708994194,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,186,0.0,0,12,0.0,0,0.0,1440.0,1985.1473000000021,5686.356549490266,0.0,5686.356549490266,0.0,0.0,13307.131800000006,17166.2579,0.7065862392284872,384,17236.777282300896,128,76450.70854141837,4,48.0,4,10.199999999999989,2,336.5233000000001,-2078.7374,25.88133227848102,0,0,533,533,S2 rung 12 + greedy quarter,debt,1,1.4551915228366852e-11
8,512,4,4,33971.99069999996,3.2626999999999997,28892.78440000001,0.0,11973.36180000001,,0.0,2455.6529,9517.708900000009,0.0,1440.6819000000028,30.287326375000006,0.00375,355.102,8180.457642136678,0.0,0.7142071652092515,2772.6015764038525,4035.21243225778,0.02,409.57490000000075,1.1716593810022657,0.0,0.0,1.1716593810022657,0.0,0,0,123.63365260563882,1.8180305338422829,125.4516831394811,2.1637629962449267,1.9637915753221482,4.1275545715670745,0.0,0.0,0.0,0.0,0,0,0.0,0.0,355.102,1.1716593810022657,1.1716593810022657,0.0,0.0,0.0,0.07029956286013594,0.5,0.25,369.79759999999965,1261.568399999999,5795.3324,121,1281.4663000000007,1202.9914999999994,2482.225199999993,1352.4430999999922,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,2087.963900000004,0.0,0.010994373434041495,5.351952083333326,5.578439359698705,1.7044600000000003,1.9905465838509298,3.369158402674726,7.663764446949139,1062.0,1104.0,531.0,2046.6666666666667,1276.0,204.0,192,0,0,2,57,38.0,2048.0,16001.140600000002,4793.3288,12821.766000000001,720,48,0,128,0.08845375514394549,0.7242732348619738,0.13787818433225452,1,6760.677599999963,5908.555099999991,52,1,20.0,128,0,0,4720.1871,720,90810.68170935406,109161.19981233166,0.0,14,18,0,1.5,0,0.0,128,128,90810.68170935406,720,40905.0,0,0,34.089200000000005,2.0,0.6533,1,0.0,0.0,1.6341499432678053,5120.0,59.22743055555556,-0.09680749416076027,58,0,0.0,0,725.6263544487721,3032.4444444444443,404,1.8567269574398146,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,9,0.0,0,0.0,1080.0,2451.3468000000016,5058.814893748341,0.0,5058.814893748341,0.0,0.0,12896.938300000003,17615.7481,0.8175785304302627,384,18350.518102977716,128,90810.68170935406,4,48.0,4,10.200000000000003,2,-5392.495199999999,-2100.5509,28.876261855670123,0,8,531,531,S2 rung 12 + greedy quarter,debt,1,1.4551915228366852e-11
9,512,4,4,34098.521000000015,7.2219,27320.203499999992,0.0,13345.048200000041,,0.0,2689.2854,10655.76280000004,0.0,1138.0539000000012,35.684394625000046,0.00375,337.3465,8157.6125505139835,0.0,0.6847818300026304,2658.2839391774774,4024.0395558982063,0.02,406.9202000000003,1.195092568622311,0.0,0.0,1.195092568622311,0.0,2,0,126.04483132406838,1.6639450996866858,127.70877642375507,2.3676118359690532,2.0007960720031424,4.368407907972196,0.0,0.0,0.0,0.0,0,0,0.0,0.0,337.3465,1.195092568622311,1.195092568622311,0.0,0.0,0.0,0.07170555411733866,0.5,0.25,376.58919999999944,1453.3262000000047,7564.7626,137,1385.9740999999988,1255.4845999999995,2608.8086000000017,1316.8104999999985,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,1985.7456000000006,0.0,0.01488441090795661,5.317706963788303,5.724337499999973,1.7492228571428559,1.9568709677419354,3.3438637091841725,3.072273968995767,1088.0,1077.0,544.0,2045.3333333333335,1308.0000000000002,204.0,183,0,0,1,51,38.0,2048.0,16036.55459999998,4781.1801,12943.4398,720,48,0,128,0.09411380595995511,0.7270985088440061,0.14318183277716656,1,6757.581799999991,5727.170400000002,42,0,35.0,128,0,0,4752.7275,720,92153.12479934096,110301.48357147178,0.0,12,29,0,1.5,0,0.0,128,128,92153.12479934096,720,35752.0,0,0,61.22279999999996,0.0,0.0,0,0.0,0.0,1.6309228800264097,5120.0,53.74755859375,-0.04616857811590165,64,0,0.0,0,466.1133055265186,2751.875,405,2.1423809889749035,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,183,0.0,0,8,0.0,0,0.0,960.0,2909.006199999998,5624.89818620331,0.0,5624.89818620331,0.0,0.0,12902.18139999998,17724.619899999998,0.8511883199482959,384,18148.358772130745,128,92153.12479934096,4,48.0,4,10.200000000000003,2,-7153.861599999998,-2351.9389,29.858198757763947,0,10,544,544,S2 rung 12 + greedy quarter,debt,1,1.4551915228366852e-11
10,512,4,4,34070.59819999999,11.181099999999999,27297.111100000002,0.0,14837.46690000009,,0.0,2908.3993,11929.06760000009,0.0,1273.304800000006,39.94890750000002,0.00375,338.7545,8156.426266998416,0.0,0.656568818606522,2715.249905119441,4025.207194665607,0.02,403.88620000000026,1.2189944199947573,0.0,0.0,1.2189944199947573,0.0,0,0,125.7149368833691,1.6606451078938278,127.37558199126293,2.492072958463561,2.018211777484597,4.510284735948158,0.0,0.0,0.0,0.0,0,0,0.0,0.0,338.7545,1.2189944199947573,1.2189944199947573,0.0,0.0,0.0,0.07313966519968544,0.5,0.25,377.4603999999995,1642.5088999999994,7564.7626,145,1274.494000000001,1298.4575999999986,2451.544800000001,1277.6417,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2050.298699999998,0.0,0.015,5.283840619136965,5.841820593692035,NaN,1.966548676171079,3.3044585745021573,2.9801057499258943,1078.0,1066.0,539.0,2046.6666666666667,1284.0000000000002,204.0,190,0,0,1,45,22.0,2048.0,15904.341800000015,4830.5581,12996.943800000001,720,48,0,128,0.09684039780374598,0.7272225517575055,0.14381955808503788,1,6723.797699999977,5632.574100000005,37,0,0.0,128,0,0,4810.3263,720,91755.43043681538,109682.58038296908,0.0,22,0,0,1.5,0,0.0,128,128,91755.43043681538,720,35712.0,0,0,0.0,0.0,0.0,0,0.0,0.0,1.6079731721522499,5120.0,53.26171875,-0.02720548347719255,51,0,0.0,0,510.51685314855513,2727.0,405,2.1854684280698247,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,8,0.0,0,0.0,960.0,3260.5681999999974,5407.06742784028,0.0,5407.06742784028,0.0,0.0,12869.479800000006,17827.5019,0.8520085501023285,384,17927.149946153662,128,91755.43043681538,4,48.0,4,10.199999999999989,2,-7152.598400000001,-2569.6448,29.35306451612903,0,10,539,539,S2 rung 12 + greedy quarter,debt,1,1.4551915228366852e-11
