round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,27523.490000000056,0.0,27645.616399999995,0.0,3516.7599999999998,,0.0,3443.56,73.2,0.0,73.2,0.0,0.00375,39.7592,11820.0036,0.0,1.0,3940.0011999999997,7403.748933333329,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,14.565479290155036,1.8492106354237958,16.414689925578834,4.66641568627451,2.2292431372549024,6.895658823529412,0.0,0.0,0.0,0.0,0,0,0.0,0.0,39.7592,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,122.12639999999999,122.12639999999999,0.0,1,3627.424,529.214,3872.2241,463.0004000000044,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3280.0,0.0,0.005,5.0,5.200000000000013,NaN,0.75,3.729700272479588,3.9200000000000013,320.0,54.0,160.0,2048.0,734.0,204.0,328,0,0,0,30,24.0,2048.0,19768.704000000027,2163.1396,3437.4188000000004,720,48,0,128,0.15673901410026625,0.4124895224738043,0.06998016682248531,0,5678.360000000012,270.0,30,0,0.0,128,0,0,4996.098700000001,720,14207.626455288864,23653.784693296624,0.0,0,0,0,1.5,0,0.0,128,128,14207.626455288864,720,29201.0,0,0,0.0,208.0,2114.4683999999997,4,0.0,0.0,0.3551218255172618,5120.0,83.671875,-0.2632754817708333,142,0,0.0,0,1938.7405669824686,4284.0,130,0.12494947540560601,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,6,6,4063.7534,3072,720.0,720.0,0.0,1350.2532000000006,468.88660000000027,881.3666000000003,0.0,0.0,5350.949800000001,3651.2734,0.4213171926014301,384,9446.158238007885,128,14207.626455288864,4,48.0,4,25.200000000000045,2,114.28639999999737,-3403.8008,11.25,0,0,160,160,SB1 best SuMSy + greedy quarter,debt,2,-4.3655745685100555e-11
2,512,4,4,27123.87980000004,0.0,27327.247800000005,0.0,5081.571200000001,,0.0,3271.382,1810.1892000000012,0.0,1736.9892000000011,0.27449999999999997,0.00375,375.2149,9480.0036,0.0,1.0,2380.0011999999997,5379.361566666649,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,22.00230635137425,1.7316721742830805,23.733978525657328,3.4819392156862747,2.598454705882353,6.080393921568628,0.0,0.0,0.0,0.0,0,0,0.0,0.0,375.21490000000006,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,203.368,260.33480000000003,0.0,3,327.05699999999996,726.6671999999999,2301.5636000000004,1168.1380000000293,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1720.0,0.0,0.005542292966494852,4.893999999999953,5.513000668151417,1.8500000000000039,1.1293865336658335,3.5537529411764486,3.802399999999999,898.0,1069.0,449.0,2048.0,1360.0,204.0,172,0,0,1,41,29.0,2048.0,18052.30990000001,2306.6702,4196.317999999999,720,48,0,128,0.1289055199276572,0.5004952581249051,0.08978325755574845,0,6213.066099999964,5231.68599999995,35,0,623.0,128,0,0,5054.3661,720,18377.08301849988,27671.898919676565,0.0,6,9,0,1.5,0,0.0,128,128,18377.08301849988,720,28078.0,0,0,1152.5500000000025,256.0,2193.3668000000002,4,0.0,0.0,0.4600174557081151,5120.0,79.15364583333333,-0.24507794596354163,161,0,0.0,0,992.1405814142806,4052.6666666666665,220,0.3892000951287417,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,172,0.0,6,6,4689.5971,3072,720.0,720.0,65.7051,12230.51734332435,5793.953172479613,6436.5641708447365,0.0,0.0,7488.591300000001,4006.7578999999996,0.5078745669811517,384,9294.815901176773,128,18377.08301849988,4,48.0,4,25.200000000000045,2,195.92000000000039,-2896.1671,11.25,0,0,449,449,SB1 best SuMSy + greedy quarter,debt,2,-4.3655745685100555e-11
3,512,4,4,27228.278099999978,0.0,27470.725399999992,0.0,6075.519700000001,,0.0,3099.204,2976.3157000000006,0.0,1166.1265,6.787975624999998,0.00375,379.8108,8509.225199999997,0.0,1.0,2189.222799999998,4594.82863333332,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,35.32521697393652,1.613827360665893,36.939044334602414,2.802012067597806,2.5779664174619827,5.379978485059788,0.0,0.0,0.0,0.0,0,0,0.0,0.0,376.5436,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,242.44729999999998,396.9904000000002,0.0,4,846.4141,742.0157999999999,1917.8629,1223.0152999999996,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1543.2160000000001,0.0,0.009168858641099118,5.570501029962545,5.467664190476189,1.8089242819843434,1.3341970649895185,3.508231949331509,3.688327999999999,1050.0,1068.0,525.0,2046.6666666666667,1421.0000000000002,204.0,155,0,0,1,49,21.0,2048.0,16950.002399999983,3039.4917,5016.9866,720,48,0,128,0.10601408081327213,0.5925190841384138,0.11152922561356649,0,6321.619900000001,5949.295099999998,35,0,383.0,128,0,0,4830.553300000001,720,27550.178191591498,37684.61562282968,0.0,18,21,0,1.5,0,0.0,128,128,27550.178191591498,720,27066.0,0,0,692.8180000000035,165.0,1841.9866,4,10.931000000000001,7.674400000000079,0.6241891507382316,5120.0,71.40625,-0.2199159260377702,184,0,0.0,0,575.4626459090946,3656.0,239,0.6328596685607946,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,155,0.0,6,6,4842.346100000001,3072,720.0,720.0,143.5267,13615.092419332685,6965.285455174949,6649.806964157736,8.2325,2.6985,8216.100899999994,5056.1188,0.5963869455958777,384,10134.437431238164,128,27550.178191591498,4,48.0,4,25.200000000000045,2,235.39119999999798,-2719.3932000000004,16.940798004987503,0,0,525,525,SB1 best SuMSy + greedy quarter,debt,2,-4.3655745685100555e-11
4,512,4,4,28444.311199999956,0.0,28709.261599999983,0.0,7137.605600000002,,0.0,2927.026,4210.579600000002,0.0,1234.2639000000006,11.161007749999998,0.00375,356.0685,8093.337762359548,0.0,1.0,2281.8918164793995,4257.650358239695,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,49.81584353459428,1.318708712056092,51.13455224665037,1.4892985695654846,2.126640824270782,3.6159393938362663,0.0,0.0,0.0,0.0,0,0,0.0,0.0,356.06850000000003,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,264.95039999999995,537.2959999999995,0.0,42,1995.5739,779.5407999999995,4560.069399999998,1222.720899999979,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1546.584,0.0,0.010845070525329114,5.7411102803738325,5.686857826887656,1.752073553719012,1.4343575757575748,3.5413430020650565,3.5776781599999983,1086.0,1070.0,543.0,2046.6666666666665,1431.0,204.0,154,0,0,0,40,26.0,2048.0,16526.180999999993,3220.3918,7029.907999999999,720,48,0,128,0.0665774177264169,0.669679335189741,0.11309702082444684,0,6457.602099999992,6142.988000000001,35,0,121.0,128,0,0,4472.0713,720,41095.41658714608,52563.73944561628,0.0,6,20,0,1.5,0,0.0,128,128,41095.41658714608,720,27019.0,0,0,212.00090000000046,139.0,1311.7619,4,0.0,0.0,1.213755942399085,5120.0,70.458984375,-0.20468868999361242,57,0,0.0,0,383.6350717607602,3607.5,251,0.9105681560456497,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,154,0.0,6,6,5101.9039,3072,720.0,720.0,517.2511,12410.92269894693,6910.578135128656,5500.344563818275,0.0,0.0,8386.993699999995,6460.157800000001,0.6698001273490055,384,11468.322858470197,128,41095.41658714608,4,48.0,4,25.200000000000045,2,258.28629999999976,-2570.9575,20.01295597484278,0,0,543,543,SB1 best SuMSy + greedy quarter,debt,2,-4.3655745685100555e-11
5,512,4,4,30829.962299999996,0.0,31120.618200000008,0.0,8970.851700000014,,0.0,2754.848,6216.003700000015,0.0,2005.4240999999981,15.788894499999996,0.00375,341.9669,8244.776900999674,0.0,1.0,2950.1778185200624,4340.503727333114,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,69.37813677192092,1.1421273693691432,70.52026414129007,1.7743220272558935,2.159878384916265,3.9342004121721583,0.0,0.0,0.0,0.0,0,0,0.0,0.0,341.9669,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,290.65589999999986,692.2459999999995,0.0,69,3183.2594000000013,797.6083,3745.9122000000016,1133.2515999999966,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,2192.350199999994,0.0,0.009700283210574895,5.765898953377738,5.669280834914605,1.72685,1.5679513569937376,3.5677196033196266,54.63148974391232,1054.0,1051.0,527.0,2048.0,1268.0,204.0,195,0,0,1,36,18.0,2048.0,16953.486800000024,3330.3457000000003,10202.6547,720,48,0,128,0.07953583926887942,0.705079796575693,0.10888814103056732,0,6675.980400000052,6059.959800000002,36,0,6.0,128,0,0,4792.111599999998,720,54381.058466714065,69179.90080363645,0.0,0,5,0,1.5,0,0.0,128,128,54381.058466714065,720,26996.0,0,0,10.3611,8.0,1.5082000000000002,4,0.0,0.0,1.9621529227627952,5120.0,69.736328125,-0.1890907966382576,71,0,0.0,0,700.8959490672627,3570.5,255,1.3807739479850005,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,195,0.0,6,6,6889.6198,3072,720.0,720.0,899.8267999999999,9006.851756161379,4402.366230190853,4604.485525970526,0.0,0.0,8968.789800000017,6644.8888,0.7059055103027758,384,14798.8423369225,128,54381.058466714065,4,48.0,4,25.19999999999999,2,284.3837999999979,-2412.8811,21.515363636363624,0,0,527,527,SB1 best SuMSy + greedy quarter,debt,2,-4.3655745685100555e-11
6,512,4,4,32324.427299999985,6.0336,25336.839000000018,0.0,10838.553300000041,,0.0,2582.67,8255.883300000041,0.0,2039.8795999999966,23.307553124999956,0.00375,341.5504,8364.55826153122,0.0,1.0,2987.8216880629816,4401.3698743541445,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,71.77448352903822,1.7823707014113668,73.55685423044959,1.5699442999734796,2.07199345645177,3.64193775642525,0.0,0.0,0.0,0.0,0,0,0.0,0.0,341.5504,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,296.1071999999999,839.7418999999999,7606.669000000001,104,2392.1062000000006,891.6076000000002,2389.2662000000005,1156.7867999999992,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,2226.721999999997,0.0,0.010409440111296719,5.731147091412745,5.681835727788294,1.727827272727273,1.7335912681912686,3.62574244432297,3.3662373807439994,1058.0,1083.0,529.0,2046.6666666666665,1269.0,204.0,194,0,0,0,49,28.0,2048.0,16082.078500000003,3375.1454999999996,12525.6529,720,48,0,128,0.07238877433455992,0.6655638786696696,0.1143342379893264,0,6846.4100000000135,6206.832300000003,49,0,11.0,128,0,0,4647.979199999995,720,58254.06168450115,76783.7228721812,0.0,0,9,0,1.5,0,0.0,128,128,58254.06168450115,720,16744.0,0,0,19.006100000000004,0.0,0.0,0,0.0,0.0,1.9953593226626505,5120.0,54.04296875,-0.09998308649815696,39,0,0.0,0,417.0195578017142,2767.0,256,2.077079210268082,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,194,0.0,4,4,7654.6869,2048,480.0,480.0,1178.2541999999996,6908.631109495036,3771.586861845339,3137.0442476496964,0.0,0.0,8441.9078,8246.111499999999,0.844772997867437,384,18529.66118768005,128,58254.06168450115,4,48.0,4,25.200000000000003,2,-7278.803499999998,-2241.1196,23.519270354906062,0,8,529,529,SB1 best SuMSy + greedy quarter,debt,2,-4.3655745685100555e-11
7,512,4,4,33490.956000000035,12.0672,26523.353300000013,0.0,12666.764600000046,,0.0,3156.3494,9510.415200000047,0.0,1254.5318999999993,30.95268624999987,0.00375,300.167,8439.011923885602,0.0,1.0,2961.9112993373033,4454.0805683046865,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,76.36369508856271,1.9031882800028468,78.26688336856556,1.7529285178395495,2.1436457350773415,3.8965742529168907,0.0,0.0,0.0,0.0,0,0,0.0,0.0,300.16700000000003,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,310.0591999999998,1001.9783000000008,7606.669000000001,144,2191.4141,1018.8517999999995,2915.1479000000004,1136.1889999999978,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2205.397099999997,0.0,0.013973288737409818,5.7127967276227105,5.7246630597015,NaN,1.9235977459016376,3.6265748952006924,3.2652502593216792,1072.0,1039.0,536.0,2048.0,1278.0,204.0,192,0,0,1,29,15.0,2048.0,16700.98239999999,3360.2977,13129.5089,720,48,0,128,0.08173953591983008,0.6663182537089398,0.12142126436284828,0,6942.855700000007,5935.595799999996,29,0,0.0,128,0,0,4855.4504000000015,720,62298.116816602516,81750.67040323436,0.0,0,0,0,1.5,0,0.0,128,128,62298.116816602516,720,16733.0,0,0,0.0,0.0,0.0,0,0.0,0.0,2.0728641967880677,5120.0,53.720703125,-0.08153869352788787,43,0,0.0,0,383.81347430008265,2750.5,257,2.0723533415752815,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,4,4,8240.5024,2048,480.0,480.0,1530.6172999999994,7094.5877104778065,3551.6947552389033,3542.892955238903,0.0,0.0,8737.9712,8249.3042,0.8337133666003971,384,19452.553586631668,128,62298.116816602516,4,48.0,4,25.200000000000003,2,-7264.459500000001,-2856.1824,26.00386902286903,0,8,536,536,SB1 best SuMSy + greedy quarter,debt,2,-4.3655745685100555e-11
8,512,4,4,34274.38189999999,18.1008,27334.22799999999,0.0,14588.711000000028,,0.0,3359.5415,11229.169500000029,0.0,1718.7543000000028,35.65266387499979,0.00375,320.3678,8510.178610535198,0.0,1.0,3002.7818056941223,4484.715202856798,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,82.20524701851144,1.9667213378945387,84.17196835640598,1.7637887618066366,2.1305664664039035,3.8943552282105403,0.0,0.0,0.0,0.0,0,0,0.0,0.0,320.3678,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,331.4743999999999,1178.5743000000018,7606.669000000001,157,1924.8266000000008,1135.367100000001,3212.512500000003,1152.4815000000006,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2248.690099999999,0.0,0.01418122146187683,5.660815483870968,5.8290242884250425,NaN,2.0419025052192095,3.6264778053276623,3.167292751542029,1054.0,1085.0,527.0,2046.6666666666665,1260.0,204.0,196,0,0,2,45,25.0,2048.0,16515.96250000001,3345.8094,14092.2422,720,48,0,128,0.08155639072323573,0.6714839364277854,0.12720091837494163,0,6964.011599999986,6141.9848,36,0,0.0,128,0,0,4673.573099999997,720,67286.67359637773,87549.32793359733,0.0,17,0,0,1.5,0,0.0,128,128,67286.67359637773,720,16732.0,0,0,0.0,0.0,0.0,0,0.0,0.0,2.1894334613933157,5120.0,53.544921875,-0.049729097240010296,40,0,0.0,0,237.37710039719582,2741.5,257,2.223062918764174,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,196,0.0,4,4,8434.1511,2048,480.0,480.0,1845.382499999999,6121.078552283152,3367.766092035583,2753.3124602475696,0.0,0.0,8555.5754,9003.9005,0.8271204991827059,384,20262.65433721962,128,67286.67359637773,4,48.0,4,25.19999999999999,2,-7242.6524,-3039.1737,28.853966188524563,0,8,527,527,SB1 best SuMSy + greedy quarter,debt,2,-4.3655745685100555e-11
9,512,4,4,34883.74099999993,24.1344,27973.55969999998,0.0,16421.144100000027,,0.0,3772.6737,12648.470400000027,0.0,1419.300899999999,42.093692499999705,0.00375,329.5438,8544.807627593742,0.0,1.0,2940.613254687365,4494.263307284717,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,87.68015292742908,1.910096241480354,89.59024916890944,1.8050846224376025,2.1710954231334627,3.976180045571065,0.0,0.0,0.0,0.0,0,0,0.0,0.0,329.54380000000003,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,355.41339999999974,1368.3892000000026,7606.669000000001,164,1856.4253999999985,1241.032699999999,3137.2187000000004,1176.2611000000006,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2193.3844999999983,0.0,0.01429715807545856,5.64623888888889,6.062827798507468,NaN,2.080473360655736,3.622479246638725,3.072273968995767,1072.0,1116.0,536.0,2045.3333333333333,1277.9999999999998,204.0,192,0,0,1,61,33.0,2048.0,16624.259200000015,3431.2352,14498.7028,720,48,0,128,0.08154778280379715,0.6755165939076937,0.13124177688285754,0,6991.465600000022,6301.202600000001,45,0,0.0,128,0,0,4668.513699999999,720,71171.54145673517,92211.86150973658,0.0,40,0,0,1.5,0,0.0,128,128,71171.54145673517,720,16731.0,0,0,0.0,0.0,0.0,0,0.0,0.0,2.2948831226313624,5120.0,53.3349609375,-0.017852202056693578,44,0,0.0,0,274.9686442876481,2730.75,257,2.3493938416204267,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,4,4,8655.0293,2048,480.0,480.0,2187.1522000000004,6389.264906113719,3504.572153056859,2884.692753056859,0.0,0.0,8571.5493,9274.9087,0.8227059011230333,384,21040.32005300149,128,71171.54145673517,4,48.0,4,25.19999999999999,2,-7218.321400000001,-3443.1299,30.628537578288142,0,8,536,536,SB1 best SuMSy + greedy quarter,debt,2,-4.3655745685100555e-11
10,512,4,4,35042.2809,30.168,28160.010999999995,0.0,18105.94980000006,,0.0,3633.3304,14472.61940000006,0.0,1824.1490000000038,47.41231912499967,0.00375,289.9842,8536.473098712035,0.0,1.0,2820.4874462588864,4494.894325808022,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,89.02507777667729,2.0243921099031117,91.04946988658041,1.8777488583267097,2.1912900432128715,4.069038901539581,0.0,0.0,0.0,0.0,0,0,0.0,0.0,289.98420000000004,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,377.29119999999966,1568.0809000000002,7606.669000000001,169,1495.8466000000012,1331.2730999999999,1327.452300000001,1162.4188000000001,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2075.1851,0.0,0.013590264079087394,5.666874032105761,6.251825225225205,NaN,2.080281656804735,3.618191843971644,2.9801057499258943,1110.0,1059.0,555.0,2046.6666666666665,1316.0,204.0,182,0,0,2,46,19.0,2048.0,16322.438399999985,3617.5926,14812.2657,720,48,0,128,0.08477056368650482,0.6736694983310247,0.13473494424334498,0,7018.993999999974,6001.2196,40,0,0.0,128,0,0,4860.755700000001,720,72723.08214277563,94115.22825610131,0.0,11,0,0,1.5,0,0.0,128,128,72723.08214277563,720,16729.0,0,0,0.0,0.0,0.0,0,0.0,0.0,2.2931610913663736,5120.0,53.1494140625,-0.008000434090035903,37,0,0.0,0,156.01246224243715,2721.25,257,2.2743303592264468,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,182,0.0,4,4,8943.5768,2048,480.0,480.0,2440.4581,7191.594021313687,3890.2317501355046,3301.3622711781823,0.0,0.0,8503.471599999999,9486.2815,0.8171904438673079,384,21392.146113325707,128,72723.08214277563,4,48.0,4,25.200000000000045,2,-7196.051600000001,-3343.3462,31.207100409836038,0,8,555,555,SB1 best SuMSy + greedy quarter,debt,2,-4.3655745685100555e-11
