round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,26744.927699999986,0.0,1069.3736999999999,1069.3737,561.0,,561.0,0.0,0.0,0.0,0.0,0.0,0.0025,118.798,1683.0,0.0,1.0,561.0,962.6940666666662,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,50.02637058991634,4.033193898590686,54.05956448850702,8.31058431372549,2.3207945098039215,10.631378823529413,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,55,2560.0,240.35230000000163,9279.8744,119.70660000000038,0.0,0.0,0.0,0.0,0.0,0,258.1752,2560.0,240.35230000000163,119.70660000000038,274.0,0.0,3739.6,0.0,5.0,5.200000000000013,2.0,NaN,3.594822888283399,3.9200000000000013,320.0,177.0,160.0,2048.0,734.0,204.0,328,0,0,0,94,21.0,2048.0,19655.773899999967,0.0,4148.6335,586,182,0,102,0.23017059570955456,0.5310523086300629,0.6648312848196016,7,5102.874899999998,885.0,36,0,520.0,128,0,0,6899.217499999998,586,46904.87950577593,65872.90752426,0.0,120,0,0,1.5,0,0.0,128,128,46904.87950577593,586,29965.0,0,552,1040.0,208.0,2563.5471,4,28.604000000000003,28.64650000000033,0.5612341772220028,5120.0,83.56119791666667,0.207589873046875,711,0,0.0,0,6259.849939373122,4278.333333333333,181,0.3558593749999999,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,6,6,3463.7196,3072,720.0,720.0,76.07359999999998,2470.5665000000004,1127.6416000000004,1342.9249000000004,17.672,10.932,8952.827000000007,3248.4610000000002,0.5343430632794308,410,38824.51689039775,102,27048.390633862087,4,0.0,4,240.0,2,258.1752,-442.202,37.5,0,0,160,160,SB1 best SuMSy + greedy quarter,sumsy,6,-2.9103830456733704e-11
2,512,4,4,28995.252399999976,0.0,12520.019421153846,4481.863700000001,1003.202,,1003.202,0.0,0.0,0.0,0.0,0.0,0.0025,152.1041,1683.0,0.0,1.0,561.0,934.4823333333329,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,68.86136721775291,3.33046689277667,72.19183411052958,10.120449215686275,1.6107190196078431,11.731168235294117,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-5.0836,0.0,61,2560.0,309.6753000000005,10274.0419,153.92600000000047,0.0,0.0,0.0,0.0,0.0,70,283.5442,2560.0,309.6753000000005,153.92600000000047,274.0,0.0,2907.4952999999764,0.015,4.940693670886074,5.519177543186167,2.231872666666665,1.140375324675325,3.531188596491212,3.802399999999999,1042.0,1185.0,521.0,2048.0,1368.0,204.0,170,0,0,1,74,25.0,2048.0,18536.62289999999,0.0,8552.609900000001,401,367,0,69,0.30154419101039776,0.5971596122028462,0.6078659906526409,8,5436.807099999995,5854.721999999998,39,0,300.0,128,0,0,7317.976700000001,401,56291.94932291643,74119.06481152169,0.0,119,0,0,1.5,0,0.0,128,128,56291.94932291643,401,28873.0,0,482,669.5617999999995,120.0,1470.3712999999998,4,24.6305,24.594600000000213,0.7885020713135579,5120.0,73.271484375,0.2156608084184695,687,0,0.0,0,4174.631199339222,3751.5,307,0.7131922346183229,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,170,0.0,6,6,5385.9731,3072,720.0,720.0,523.8235999999998,11994.237338197001,5642.000882474889,6352.236455722112,12.2727,12.357800000000001,10751.4992,4637.0081,0.6010790907526222,443,54410.38848509447,69,19708.676326427256,4,0.0,4,231.01350000000002,2,395.3681,-851.0979,37.80649038461538,0,0,521,521,SB1 best SuMSy + greedy quarter,sumsy,6,-2.9103830456733704e-11
3,512,4,4,31206.418500000018,0.0,14117.668059740265,912.5442,1405.4424,,1405.4424,0.0,0.0,0.0,0.0,0.0,0.0025,171.4949,1676.3445000000002,0.0,1.0,554.3445000000003,911.3726333333332,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,83.81749480235662,4.446647430934784,88.2641422332914,12.659616130967352,1.7025784612026693,14.362194592170022,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-50.270225,0.0,68,2560.0,348.83389999999974,6881.568099999999,173.44359999999992,0.0,0.0,0.0,0.0,0.0,257,439.37710000000004,2560.0,348.83389999999974,173.44359999999992,274.0,0.0,2011.923599999991,0.015,5.243245925297099,5.47133429541596,2.3708213414634147,1.3560946601941752,3.501110687269049,7.495388334281654,1178.0,1178.0,589.0,2046.6666666666667,1450.0000000000002,204.0,149,0,0,2,61,31.0,2048.0,20087.964800000005,0.0,9011.605,385,383,0,66,0.3297503548539551,0.5927779991930988,0.48756945814066244,5,7816.995399999992,6176.543699999983,32,0,164.0,128,0,0,8762.5013,385,69768.78494745473,91753.29316682564,0.0,118,0,0,1.5,0,0.0,128,128,69768.78494745473,385,27997.0,0,360,388.8147,66.0,1495.9767000000002,4,93.67499999999998,93.6822000000006,0.9168424008411028,5120.0,67.47721354166667,0.33268828302556835,554,0,0.0,0,2434.769286442349,3454.8333333333335,367,0.7237102053825124,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,149,0.0,6,6,5843.4632,3072,720.0,720.0,1036.3138999999992,15235.0454175112,7048.011103846867,8187.034313664335,45.612399999999994,48.0626,13847.322899999994,4664.1185,0.5950061252031895,446,64091.78476864363,66,27661.50839818207,4,0.0,4,222.02690000000007,2,545.6098,-1233.9475,57.01876623376625,0,0,589,589,SB1 best SuMSy + greedy quarter,sumsy,6,-2.9103830456733704e-11
4,512,4,4,33373.97789999999,0.0,15188.830800000003,2216.4900000000002,1822.2376000000002,,1822.2376000000002,0.0,0.0,0.0,0.0,0.0,0.0025,192.7014,1698.4759500000002,0.0,1.0,588.2901000000004,907.552475,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,99.11120726877711,4.72598372728083,103.83719099605794,9.314677360833437,1.6022298808426818,10.91690724167612,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-98.29115000000009,0.0,74,2560.0,392.4406000000008,5272.4389999999985,195.04790000000017,0.0,0.0,0.0,0.0,0.0,91,510.3535,2560.0,392.4406000000008,195.04790000000017,274.0,0.0,920.7195999999986,0.015,5.667558605472191,5.563107781456916,2.4458009803921583,1.4500900452488683,3.4607286048251087,7.270526684253205,1208.0,1133.0,604.0,2045.3333333333335,1495.9999999999998,204.0,136,0,0,0,66,33.0,2048.0,20232.06160000002,17.5727,10852.7653,399,369,0,81,0.2879613490472839,0.6018153007485751,0.40084731224775316,2,9025.821799999985,6421.343899999993,51,0,204.0,128,0,0,7521.820800000003,399,84586.84512045271,111813.86334672348,0.0,56,0,0,1.5,0,0.0,128,128,84586.84512045271,399,27941.0,0,186,498.9434000000003,82.0,1568.5233999999998,4,83.973,83.96909999999973,1.3014494640639223,5120.0,67.03125,0.41809973440028325,267,0,0.0,0,733.3463956107546,3432.0,367,1.108540611700162,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,136,0.0,6,6,7242.380700000001,3072,720.0,720.0,1341.9157,14188.988398228597,6070.5860991143,8118.402299114299,40.7093,43.2637,13791.868199999997,5196.4807,0.6034682927561323,431,71444.6930696026,81,40369.17027712078,4,0.0,4,213.04030000000012,2,610.995,-1629.5362000000002,67.80473300970876,0,0,604,604,SB1 best SuMSy + greedy quarter,sumsy,6,-2.9103830456733704e-11
5,512,4,4,35510.08700000003,0.0,17230.75540000001,2710.014299999999,2265.4348,,2265.4348,0.0,0.0,0.0,0.0,0.0,0.0025,207.7788,1740.3199200000004,0.0,1.0,635.8986,920.41716,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,88.22854929624393,5.183543590077991,93.41209288632191,4.996958110646117,1.8871512304701323,6.88410934111625,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-161.75435000000013,0.0,77,2560.0,423.8908999999999,4970.068799999997,210.55850000000055,0.0,0.0,0.0,0.0,0.0,151,247.90550000000002,2560.0,423.8908999999999,210.55850000000055,274.0,0.0,0.0,0.015,5.733960913705576,5.676986323268228,2.530405729166667,1.5685871134020628,3.469776968730743,7.052410883725609,1126.0,1182.0,563.0,2048.0,1486.0,204.0,140,0,0,0,74,39.0,2048.0,19994.154900000052,26.722,13206.7592,401,367,0,81,0.17263297442220416,0.5773929494124803,0.367467833778508,0,8835.633299999996,6777.541799999991,44,0,384.0,128,0,0,5891.5726,401,84461.30875475648,114739.864369211,0.0,108,0,0,1.5,0,0.0,128,128,84461.30875475648,401,27959.0,0,205,971.6758000000001,154.0,1826.7666,4,84.42069999999998,84.43210000000073,1.2482272800592176,5120.0,67.03125,0.47197258176317375,214,0,0.0,0,511.46424446578936,3432.0,363,1.2826201712021026,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,140,0.0,6,6,7987.408600000001,3072,720.0,720.0,2174.6542999999997,10648.745665007991,5059.96266935988,5588.782995648109,67.31519999999999,17.1055,13699.495000000015,7072.8392,0.5796029949118164,431,71960.85795256258,81,42779.00641664839,4,0.0,4,204.0537999999999,2,656.5818,-2057.656,72.50450226244341,0,0,563,563,SB1 best SuMSy + greedy quarter,sumsy,6,-2.9103830456733704e-11
6,512,4,4,37603.54029999999,0.0,18332.43860000001,1923.1408000000006,2701.0057,,2701.0057,0.0,0.0,0.0,0.0,0.0,0.0025,228.4793,1771.9414499999998,0.0,1.0,643.3496999999991,924.4081499999996,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,96.79568178695983,5.548272064466651,102.34395385142648,3.9475771254513874,1.8730978061205916,5.820674931571979,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-244.4199499999998,0.0,80,2560.0,466.5467000000007,3040.5948000000008,231.67569999999975,0.0,0.0,0.0,0.0,0.0,77,175.96820000000002,2560.0,466.5467000000007,231.67569999999975,274.0,0.0,0.0,0.015,5.707112340425527,5.626803806228405,2.5458641304347833,1.7293625592417068,3.333798618885879,6.84083855721384,1156.0,1175.0,578.0,2048.0,1510.0,204.0,134,0,0,3,80,23.0,2048.0,19930.815700000006,721.2633999999999,14605.350900000001,400,367,1,82,0.14730337338446509,0.580927885720762,0.3289577539125599,0,7855.255500000007,6705.8569999999945,42,0,368.0,128,0,0,5442.781099999999,400,92214.73350939517,125380.27891032721,0.0,128,0,0,1.5,0,0.0,128,128,92214.73350939517,400,28066.0,0,268,936.8780000000003,148.0,1941.6628,4,89.5523,89.54600000000025,1.4475194805767237,5120.0,67.03125,0.5448276703111578,299,0,0.0,0,761.0685772463924,3432.0,350,1.494394018991595,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,134,0.0,6,6,9350.6757,3072,720.0,720.0,2834.2715000000007,9485.53013472495,4169.384683475093,5316.145451249855,63.136,26.4163,12950.579599999995,7917.6014,0.5830705154222813,430,77943.09852668236,82,47437.180383644954,4,0.0,4,275.6214,2,856.1228556701033,-2472.5264,78.42935567010313,0,0,578,578,SB1 best SuMSy + greedy quarter,sumsy,6,-2.9103830456733704e-11
7,512,4,4,39653.31319999999,0.0,18666.91629999997,1226.3622000000007,3112.862,,3112.862,0.0,0.0,0.0,0.0,0.0,0.0025,249.911,1793.2365000000004,0.0,1.0,640.3356000000008,921.0817761904761,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,113.71712897444714,5.6452154746948136,119.36234444914194,4.715832573308535,1.8102331451212195,6.526065718429754,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-337.18317499999984,0.0,81,2560.0,510.22709999999995,1238.5804000000007,253.38059999999984,0.0,0.0,0.0,0.0,0.0,83,250.3548,2560.0,510.22709999999995,253.38059999999984,274.0,0.0,0.0,0.015,5.652849066213922,5.648568251273381,2.529539902676405,1.921477027027028,3.280033960358769,6.635613400497426,1178.0,1178.0,589.0,2044.0000000000002,1549.0,204.0,123,0,0,2,78,27.0,2048.0,20518.384400000017,1403.2169999999999,15174.0954,400,367,1,82,0.17445960017553186,0.5954992741546841,0.3130869645372836,1,7948.848400000009,6659.0562,35,0,411.0,128,0,0,5754.8925,400,104487.60008330266,140698.73986900403,0.0,117,0,0,1.5,0,0.0,128,128,104487.60008330266,400,26871.0,0,248,1039.6409000000024,165.0,2057.3506,4,105.1239,105.1443,1.7629122269265636,5120.0,51.015625,0.6287168648795419,317,0,0.0,0,1458.504870424924,2612.0,344,1.6942062076621252,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,123,0.0,6,6,9918.0649,3072,720.0,720.0,3364.1662000000033,8425.858240702242,3748.860342642913,4676.997898059328,78.8782,26.2457,12994.891199999996,8716.598100000001,0.5973227158358239,430,88443.99974605546,82,52254.740122948344,4,0.0,4,403.4308000000001,2,1082.4395279620853,-2862.951,86.46812796208533,0,0,589,589,SB1 best SuMSy + greedy quarter,sumsy,6,-2.9103830456733704e-11
8,512,4,4,41663.74849999999,0.0,18990.5701,1256.7945999999997,3497.2021999999997,,3497.2021999999997,0.0,0.0,0.0,0.0,0.0,0.0025,269.193,1806.9261375,0.0,1.0,634.2511999999999,913.5541,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,127.0795750070805,6.023301749000992,133.1028767560815,4.664625954403709,1.9379002897160842,6.602526244119793,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-432.8789459882371,0.0,85,2560.0,549.5647000000004,2429.1304999999998,272.9197000000002,0.0,0.0,0.0,0.0,0.0,87,247.54090000000002,2560.0,549.5647000000004,272.9197000000002,274.0,0.0,0.0,0.015,5.59099123102866,5.617979426644178,2.5579077380952366,2.0103839285714287,3.3008448757188593,6.4365449984825025,1186.0,1186.0,593.0,2045.3333333333333,1594.0,204.0,112,0,0,2,70,23.0,2048.0,20935.498099999993,1913.4172,15913.572100000001,398,369,1,82,0.17205334512116566,0.6002905791346602,0.2999510556140661,0,8146.650600000023,6630.91559999999,34,0,504.0,128,0,0,5610.2132,398,114803.7213790843,154090.6195578494,0.0,134,0,0,1.5,0,0.0,128,128,114803.7213790843,398,26974.0,0,416,1289.1854999999994,202.0,2384.5272,4,122.75880000000001,122.78839999999897,1.9824825689228043,5120.0,51.015625,0.7253770132143865,454,0,0.0,0,1013.619860886704,2612.0,331,2.018075765104346,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,112,0.0,6,6,10437.7145,3072,720.0,720.0,3600.2876000000006,7687.018710488683,3724.4578897607453,3962.560820727937,95.91690000000001,26.8419,12327.059199999996,9773.802,0.6021538324817994,430,96846.84083278797,82,57243.77872506126,4,0.0,4,439.6442000000002,2,1274.1267513513512,-3228.0091999999995,96.07385135135141,0,0,593,593,SB1 best SuMSy + greedy quarter,sumsy,6,-2.9103830456733704e-11
9,512,4,4,43633.82839999998,0.0,19087.678799999994,1072.5540999999998,3855.3194000000003,,3855.3194000000003,0.0,0.0,0.0,0.0,0.0,0.0025,289.0896,1815.259966666667,0.0,1.0,627.3102000000003,902.2920666666666,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,141.78072784813799,6.200193147657914,147.98092099579588,5.316537880027717,1.959795948162907,7.276333828190624,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-531.3811709882369,0.0,87,2560.0,589.9200999999999,1095.7904,293.0037999999999,0.0,0.0,0.0,0.0,0.0,97,263.5115,2560.0,589.9200999999999,293.0037999999999,274.0,0.0,0.0,0.015,5.534112648556874,5.654737500000026,2.5901050000000008,2.005255405405406,3.2786190013209238,6.243448648528027,1184.0,1178.0,592.0,2045.3333333333333,1606.0000000000002,204.0,109,0,0,2,78,40.0,2048.0,21711.051199999998,2531.2779,16189.1388,397,370,1,82,0.19095809462838265,0.6101003520370325,0.2873037628441244,0,8129.479299999965,6519.184699999998,41,0,540.0,128,0,0,6475.844199999997,397,125704.23084821334,166709.28367627165,0.0,98,0,0,1.5,0,0.0,128,128,125704.23084821334,397,27024.0,0,191,1398.6567000000005,216.0,2649.7594,4,160.3043,160.27739999999918,2.2827158223302555,5120.0,51.015625,0.7887243537248884,206,0,0.0,0,726.0669232406356,2612.0,326,2.2741204930504155,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,109,0.0,6,6,10882.491999999998,3072,720.0,720.0,3949.831999999999,6955.048846668742,3471.476478209776,3483.5723684589652,105.1391,55.165200000000006,12494.269100000003,10487.684099999999,0.6115737448909255,430,105873.7409185521,82,60835.54275771899,4,0.0,4,655.8888000000002,2,1461.0083964285714,-3566.2298,100.51919642857143,0,0,592,592,SB1 best SuMSy + greedy quarter,sumsy,6,-2.9103830456733704e-11
10,512,4,4,45563.6935,0.0,19150.919500000004,1073.8484000000003,4187.1548,,4187.1548,0.0,0.0,0.0,0.0,0.0,0.0025,308.8548,1820.0114700000006,0.0,1.0,620.925,888.7233900000002,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,137.75151035475537,6.121253108959633,143.872763463715,6.276582872906384,1.945420018188327,8.22200289109471,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-630.8578984455253,0.0,89,2560.0,630.1349000000012,1099.7955000000004,312.99749999999995,0.0,0.0,0.0,0.0,0.0,105,277.0,2560.0,630.1349000000012,312.99749999999995,274.0,0.0,0.0,0.015,5.462061260504204,5.666249999999972,2.6392404929577475,1.9987414414414415,3.2741130649987578,6.056145189072185,1184.0,1190.0,592.0,2045.3333333333335,1618.0000000000002,204.0,107,0,0,0,77,34.0,2048.0,22331.42690000001,3245.4757,16569.4179,397,370,1,82,0.2116373554184281,0.6027961895968308,0.298317450447668,1,8146.62250000002,6499.852900000003,33,0,568.0,128,0,0,6753.601699999999,397,122206.07306377696,163371.1460590205,0.0,139,0,0,1.5,0,0.0,128,128,122206.07306377696,397,27106.0,0,256,1499.0886000000007,228.0,2831.5182,4,210.30919999999998,210.34400000000107,2.1498167259499517,5120.0,50.950520833333336,0.8216787649563627,272,0,0.0,0,1024.573540450303,2608.6666666666665,321,2.5024467852321233,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,107,0.0,6,6,11422.018399999999,3072,720.0,720.0,4289.486399999996,6138.68524634596,3097.7209731729804,3040.9642731729805,119.7255,90.58370000000001,12331.101400000021,11224.393399999999,0.6046234217655313,430,102244.36631726325,82,61126.77974175701,4,0.0,4,718.6380999999997,2,1634.1154702702702,-3878.3,100.26277027027031,0,0,592,592,SB1 best SuMSy + greedy quarter,sumsy,6,-2.9103830456733704e-11
