round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,26745.565100000036,0.0,2966.64,2966.64,2955.14,,2955.14,0.0,0.0,0.0,0.0,0.0,0.0025,7.4194,11820.0036,0.0,1.0,3940.0011999999997,7459.317266666661,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,47.94946668912644,2.6715372549019607,50.6210039440284,10.254486274509805,2.310929019607843,12.565415294117647,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,56,2560.0,239.71490000000045,11751.360700000001,418.21200000000454,0.0,0.0,0.0,0.0,0.0,0,260.8368,2560.0,239.71490000000045,0.0,274.0,2705.78,4313.82,0.0,5.0,5.200000000000013,2.0,NaN,3.729700272479588,3.9200000000000013,320.0,89.0,160.0,2048.0,734.0,204.0,328,0,0,0,56,33.0,2048.0,20247.560700000005,0.0,3639.7494,586,182,0,102,0.26302094319417524,0.5627440331568918,0.170493972654558,2,7485.6375000000135,445.0,56,0,520.0,0,0,0,0.0,0,0.0,57958.109080912596,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1040.0,208.0,2589.9988,4,25.234,17.6632,0.8711203372989932,5120.0,87.83203125,0.21247962565104173,349,0,0.0,0,7994.35370287763,4497.0,335,0.4107096354166666,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,0,12,0.0,0,0.0,1440.0,0.0,2987.286000000001,0.0,2987.286000000001,0.0,25.234,12571.206799999993,6229.748200000001,0.5667321274670039,410,21696.810550066417,102,36261.29853084616,4,0.0,4,120.0,2,260.8368,-2947.7205999999996,37.5,0,0,160,160,"X1 SuMSy money, debt fiscal package (comparison)",sumsy,5,-2.9103830456733704e-11
2,512,4,4,29013.926300000003,0.0,14097.997138461538,5879.4081,6234.291200000001,,5660.0712,0.0,0.0,574.22,0.0,0.0,0.0025,2.1274,10125.0036,0.0,1.0,2810.0011999999997,6336.467266666665,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,70.90643187491962,3.037832536050533,73.94426441097015,10.4727837254902,2.1737450980392152,12.646528823529414,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-0.115,0.0,62,2560.0,291.6387999999997,10256.271700000001,407.43999999999994,0.0,0.0,0.0,0.0,0.0,479,394.92420000000004,2560.0,291.6387999999997,0.0,274.0,2457.6186000000002,3277.0270999999825,0.013038745376950258,4.909692737430153,5.5097809210526405,2.21172530120482,1.1241985074626866,3.6526318987341484,12.816048682598037,912.0,1074.0,456.0,2048.0,1185.0,204.0,215,0,0,1,52,32.0,2048.0,20101.96229999997,0.0,7716.4018,446,322,0,75,0.280790041377033,0.6130658056196094,0.3052545433274714,0,7204.314199999998,5273.009999999985,52,0,166.0,0,0,0,0.0,0,0.0,73299.61051877959,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,367.14640000000014,67.0,798.5106,4,7.2376000000000005,5.069099999999995,0.8100762667621554,5120.0,81.845703125,0.19916943929036465,332,0,0.0,0,4364.0002216518815,4190.5,387,0.4569288886133867,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,215,0.0,0,12,0.0,0,0.0,1440.0,75.1319,10628.151414734937,0.0,10628.151414734937,0.0,7.2376000000000005,13259.917000000001,8514.9124,0.6199208714714941,437,53016.87944729835,75,20282.731071481234,4,0.0,4,120.0,2,394.92420000000004,-5657.9438,37.51802884615385,0,0,456,456,"X1 SuMSy money, debt fiscal package (comparison)",sumsy,5,-2.9103830456733704e-11
3,512,4,4,31230.85849999999,0.0,17753.003005970157,2914.9498999999996,7514.8426,,7248.2412,0.0,0.0,266.6014,0.0,0.0,0.0025,3.3223,9113.925665921786,0.0,1.0,2363.923265921788,5556.632310614514,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,98.23390193608383,3.5253104726410074,101.75921240872484,10.586662062755348,2.029791772017261,12.616453834772608,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-31.9691,0.0,69,2560.0,343.06780000000015,8869.496899999998,728.9801000000257,0.0,0.0,0.0,0.0,0.0,628,479.12919999999997,2560.0,343.06780000000015,0.0,274.0,1667.8100000000002,2494.5377999999905,0.015,5.591821819870004,5.503845539033467,2.327925824175825,1.3493279999999996,3.607272650436043,12.4315672221201,1076.0,1077.0,538.0,2046.6666666666667,1355.0,204.0,172,0,0,3,52,36.0,2048.0,20083.233999999968,0.0,9781.5686,430,338,0,72,0.2942644694208909,0.6452770397120873,0.38893911265389836,0,8150.758399999991,6022.392099999995,52,0,182.0,0,0,0,0.0,0,0.0,96773.98286366696,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,423.6825000000002,73.0,883.6043999999999,4,11.301199999999998,7.911100000000008,1.0431479895995845,5120.0,72.51139322916667,0.3147645323917521,322,0,0.0,0,3911.769873111241,3712.5833333333335,404,0.7644495693040264,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,172,0.0,0,12,0.0,0,0.0,1440.0,175.92629999999997,12716.369966737571,0.0,12716.369966737571,0.0,11.301199999999998,15395.400299999998,10665.173,0.6485934601486492,440,68499.11052861167,72,28274.872335055414,4,0.0,4,120.0,2,479.12919999999997,-7244.918900000001,56.209925373134325,0,0,538,538,"X1 SuMSy money, debt fiscal package (comparison)",sumsy,5,-2.9103830456733704e-11
4,512,4,4,33413.066200000016,0.0,19523.54869999998,2725.499999999999,9114.474499999998,,8799.836899999998,0.0,0.0,314.6376,0.0,0.0,0.0025,0.0016,8615.989636929862,0.0,1.0,2374.0605166513637,5071.889132953239,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,112.74315716818437,3.214016245150951,115.95717341333533,6.912439565725547,1.9496145281462087,8.862054093871757,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-75.49802500000001,0.0,75,2560.0,377.7923000000008,6077.636999999999,1133.7815999999793,0.0,0.0,0.0,0.0,0.0,504,67.8313,2560.0,377.7923000000008,0.0,274.0,1950.5750000000005,1239.9638999999981,0.015,5.776151869158884,5.735173644859835,2.428114089347077,1.449030964467005,3.715480531387594,12.058620205456494,1070.0,1070.0,535.0,2044.0,1393.0000000000002,204.0,163,0,0,3,48,37.0,2048.0,20616.123699999996,36.6646,11551.040200000001,442,326,0,82,0.21559902929846975,0.6634751848006775,0.3095257653722998,1,9652.226899999996,6180.4825000000055,48,0,291.0,0,0,0,0.0,0,0.0,122510.43147913796,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,706.5811999999994,117.0,1141.4048,4,0.0055,0.004,1.3621556074008299,5120.0,70.40852864583333,0.39591462239583314,189,0,0.0,0,1648.1593084068938,3604.9166666666665,405,1.0340906065227267,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,163,0.0,0,12,0.0,0,0.0,1440.0,306.94009999999986,11115.731838351461,0.0,11115.731838351461,0.0,0.0055,15808.090199999986,12729.109600000003,0.6649913268657301,430,78160.3638355366,82,44350.06764360129,4,0.0,4,120.0,2,546.9605,-8799.835299999999,67.46639999999998,0,0,535,535,"X1 SuMSy money, debt fiscal package (comparison)",sumsy,5,-2.9103830456733704e-11
5,512,4,4,35556.47879999999,0.0,23476.415899999993,4349.575900000003,10606.840999999999,,10606.840999999999,0.0,0.0,0.0,0.0,0.0,0.0025,2.2378,8457.965008881674,0.0,1.0,2608.622165562975,4939.434805921117,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,131.9107978873173,3.6885149192014723,135.59931280651878,3.304088278595353,2.229685990551389,5.533774269146742,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-128.50925,0.0,81,2560.0,416.58740000000023,6367.982300000002,803.899299999986,0.0,0.0,0.0,0.0,0.0,634,274.36249999999995,2560.0,416.58740000000023,0.0,274.0,1846.171500000002,304.2927000000003,0.015,5.8208798173515985,5.7400578358209,2.448498979591831,1.5763828571428578,3.591018729748634,11.6968615992928,1072.0,1095.0,536.0,2044.0000000000002,1396.0000000000002,204.0,162,0,0,2,63,47.0,2048.0,19154.496100000033,31.8768,14777.804900000001,444,324,0,83,0.11948842315677388,0.6737718416856764,0.20690972492274495,0,9802.474399999983,6373.8634,63,0,294.0,0,0,0,0.0,0,0.0,143218.04186943133,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,719.8586999999983,118.0,1315.7007,4,7.6135,5.329799999999999,1.7555887294498083,5120.0,68.20638020833333,0.4436742842507402,222,0,0.0,0,1732.9940471330058,3492.1666666666665,405,1.2483052859469064,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,162,0.0,0,12,0.0,0,0.0,1440.0,456.61290000000014,8728.641796389828,0.0,8728.641796389828,0.0,7.6135,15244.11410000001,16125.3824,0.6744823551900767,429,90969.95104640513,83,52248.09082302643,4,0.0,4,120.0,2,797.3666,-10604.603199999998,72.45154822335024,0,0,536,536,"X1 SuMSy money, debt fiscal package (comparison)",sumsy,5,-2.9103830456733704e-11
6,512,4,4,37660.42270000002,0.0,24799.390199999998,2013.8978000000002,12458.094499999997,,12458.094499999997,0.0,0.0,0.0,0.0,0.0,0.0025,16.6641,8388.667514196244,0.0,1.0,2680.7266802563636,4864.13067613083,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,135.63967185566617,4.113048254766548,139.7527201104327,3.086356084793924,2.714619106466426,5.80097519126035,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-204.10387500000002,0.0,81,2560.0,456.05610000000024,2013.8978000000004,844.2448000000009,0.0,0.0,0.0,0.0,0.0,498,186.8803,2560.0,456.05610000000024,0.0,274.0,1912.3761000000063,0.0,0.015,5.812518371212125,5.745712500000028,2.5247000000000006,1.7374595454545467,3.70860843152004,11.345955751314014,1088.0,1056.0,544.0,2045.3333333333335,1384.0,204.0,165,0,0,2,48,33.0,2048.0,20874.901100000014,290.2052,15213.2647,444,324,0,83,0.11483950355585582,0.6682459423427443,0.11347021918450206,0,9350.888500000023,6138.019400000004,48,0,224.0,0,0,0,0.0,0,0.0,151002.0947015704,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,565.5328000000002,90.0,1078.5073,4,56.687099999999994,39.683599999999934,1.8196984978759512,5120.0,67.75716145833333,0.49532034807477693,150,0,0.0,0,1276.3556343223595,3469.1666666666665,405,1.3278117374648883,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,165,0.0,0,12,0.0,0,0.0,1440.0,557.0297,8301.278728559284,0.0,8301.278728559284,0.0,56.687099999999994,16720.422999999995,16581.9772,0.6692419938259473,429,95122.02273455786,83,55880.07196701253,4,0.0,4,120.0,2,956.8988999999999,-12441.430399999997,78.8191428571429,0,0,544,544,"X1 SuMSy money, debt fiscal package (comparison)",sumsy,5,-2.9103830456733704e-11
7,512,4,4,39722.77000000002,0.0,26112.042999999983,2011.7088999999996,14083.4667,,14083.4667,0.0,0.0,0.0,0.0,0.0,0.0025,34.1185,8265.502254970643,0.0,1.0,2508.836899872345,4750.651817599477,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,151.91558543238702,4.185311983468463,156.10089741585546,2.7236756419198924,2.833109999811415,5.556785641731308,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-277.20950000000033,0.0,83,2560.0,497.6527000000002,3138.6512999999986,901.6134999999945,0.0,0.0,0.0,0.0,0.0,523,228.92970000000003,2560.0,497.6527000000002,0.0,274.0,1741.5809000000013,0.0,0.015,5.761811689497713,5.749919887429642,2.664258177570095,1.944774162679425,3.7204011945983297,11.005577078774595,1066.0,1095.0,533.0,2045.3333333333333,1444.0,204.0,150,0,0,1,55,50.0,2048.0,21311.007499999978,807.1795,15838.6363,444,324,0,83,0.10674447930363895,0.6779646119566696,0.08802052629925705,0,9091.598599999994,6309.183799999996,55,0,428.0,0,0,0,0.0,0,0.0,166386.73809606777,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1140.3025000000007,172.0,1502.8985,4,116.04599999999999,81.23059999999975,2.0745067989984625,5120.0,67.50813802083333,0.5719301780007104,85,0,0.0,0,649.5951103710021,3456.4166666666665,405,1.4807543731587909,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,150,0.0,0,12,0.0,0,0.0,1440.0,758.5456000000003,8377.624697523212,0.0,8377.624697523212,0.0,116.04599999999999,16970.5379,18148.7143,0.6783988601918705,429,102973.24902554958,83,63413.4890705184,4,0.0,4,120.0,2,1158.4806,-14049.3482,86.87297727272734,0,0,533,533,"X1 SuMSy money, debt fiscal package (comparison)",sumsy,5,-2.9103830456733704e-11
8,512,4,4,41743.4772,0.0,27151.0669,1757.3976,15519.644000000002,,15519.644000000002,0.0,0.0,0.0,0.0,0.0,0.0025,24.6624,8120.446553218405,0.0,1.0,2368.3522136509123,4635.236110478938,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,156.97595347608916,4.372233800644525,161.34818727673368,3.6764420304255543,2.8213601822604,6.497802212685954,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-349.9827250000005,0.0,85,2560.0,539.2928000000011,2907.8042000000005,923.2217000000012,0.0,0.0,0.0,0.0,0.0,549,208.5706,2560.0,539.2928000000011,0.0,274.0,1607.7939000000001,0.0,0.015,5.72892247403211,5.932768029739777,2.7030875984252014,2.0450971962616826,3.734440809565075,10.675409766411358,1076.0,1059.0,538.0,2046.6666666666667,1486.0,204.0,139,0,0,2,52,35.0,2048.0,22294.27310000001,1391.5761,15716.0146,444,324,0,83,0.13558850459160876,0.6760622135241505,0.09522977709536251,0,9114.396400000016,6066.928900000004,52,0,508.0,0,0,0,0.0,0,0.0,174644.21129015152,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1373.1685000000023,204.0,2108.3804,4,83.8892,58.72440000000001,1.4199732288194715,5120.0,51.09375,0.6508286773340931,169,0,0.0,0,1056.4315046718086,2616.0,405,1.5776327820588414,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,139,0.0,0,12,0.0,0,0.0,1440.0,775.7012,7999.946732715717,0.0,7999.946732715717,0.0,83.8892,17727.723499999996,19215.9711,0.6747087989362703,429,106100.81622521434,83,68543.3950649372,4,0.0,4,532.9340999999995,2,1339.7032,-15494.981600000003,97.23870813397126,0,0,538,538,"X1 SuMSy money, debt fiscal package (comparison)",sumsy,5,-2.9103830456733704e-11
9,512,4,4,43723.931599999916,0.0,27854.048899999994,1437.4166999999998,16843.175099999997,,16843.175099999997,0.0,0.0,0.0,0.0,0.0,0.0025,24.0981,7973.936531466392,0.0,1.0,2267.285452483428,4518.472509866485,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,161.09690112017904,4.433598975487144,165.53050009566616,3.4256868035140853,2.830072283116652,6.2557590866307375,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-421.57885000000033,0.0,87,2560.0,579.5455999999998,2599.0851999999995,943.6792999999946,0.0,0.0,0.0,0.0,0.0,559,218.4004,2560.0,579.5455999999998,0.0,274.0,1511.0650999999993,0.0,0.015,5.700044025735297,6.148555925925873,2.7567677586206942,2.060208796296294,3.7432622089847887,10.355147473419015,1080.0,1088.0,540.0,2045.3333333333333,1518.0000000000002,204.0,131,0,0,1,58,42.0,2048.0,22868.2783,2076.6205,16000.3464,444,324,0,83,0.12823726751962328,0.6760943965458734,0.09855084430516259,0,9125.333000000015,6201.647900000003,58,0,580.0,0,0,0,0.0,0,0.0,179461.47155415674,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1598.9253000000026,232.0,2536.1879,4,81.97,57.38110000000005,1.4452929914900257,5120.0,51.038411458333336,0.7111291809804566,31,0,0.0,0,225.83356501255005,2613.1666666666665,405,1.8098261126959343,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,131,0.0,0,12,0.0,0,0.0,1440.0,834.6598999999999,7430.259050222133,0.0,7430.259050222133,0.0,81.97,17868.074199999995,20613.1548,0.67482873027328,429,107744.09310033883,83,71717.37845381751,4,0.0,4,532.9340999999995,2,1530.7556,-16819.076999999997,102.25485981308412,0,0,540,540,"X1 SuMSy money, debt fiscal package (comparison)",sumsy,5,-2.9103830456733704e-11
10,512,4,4,45665.30809999998,0.0,28488.985200000025,1375.0653000000002,18070.826500000006,,18070.826500000006,0.0,0.0,0.0,0.0,0.0,0.0025,22.9152,7834.512931439486,0.0,1.0,2193.233510399111,4408.376210959659,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,165.63714621115696,4.46903410689454,170.1061803180515,2.9216724799871323,2.950878996747514,5.872551476734646,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-489.76447500000046,0.0,89,2560.0,618.6234999999999,2527.0256999999992,964.8677999999998,0.0,0.0,0.0,0.0,0.0,572,212.3317,2560.0,618.6234999999999,0.0,274.0,1440.8263000000009,0.0,0.015,5.70344048734771,6.352786827458261,2.833612656250001,2.0889939534883726,3.784018665409338,10.044493049216443,1078.0,1067.0,539.0,2046.6666666666667,1540.0000000000002,204.0,126,0,0,1,50,36.0,2048.0,23470.952499999978,2853.9577,16094.3187,444,324,0,83,0.1129302801832257,0.6774634800744685,0.10483771225256766,0,9170.188699999997,6085.571000000007,50,0,640.0,0,0,0,0.0,0,0.0,183158.3857002068,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1813.5121000000006,256.0,3010.8323,4,77.9533,54.572199999999924,1.483999678099428,5120.0,51.015625,0.7477065299479162,6,0,0.0,0,69.8297558969608,2612.0,405,1.9723387312528429,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,12,0.0,0,0.0,1440.0,869.3016000000002,6699.300004303407,0.0,6699.300004303407,0.0,77.9533,18522.118899999994,21959.1087,0.676270360889835,429,109908.52723282589,83,73249.85846738078,4,0.0,4,532.9341,2,1715.7393,-18047.911300000007,103.0104398148147,0,0,539,539,"X1 SuMSy money, debt fiscal package (comparison)",sumsy,5,-2.9103830456733704e-11
