round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,26739.807199999952,0.0,1306.8910999999996,1306.8911,477.3,,477.3,0.0,0.0,0.0,0.0,0.0,0.0025,120.8157,1683.0,0.0,0.9588,561.0,875.9324,0.02,83.70000000000019,1.02,0.0,0.0,1.02,0.0,0,0,0.9986979166666666,0.733326789453931,0.0,672.0,1.0,0.0,1.02,0,0,0,1.0,324,429.7921024555847,2.713791764705882,432.5058942202906,6.899251568627453,1.8548507843137254,8.754102352941178,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.02,1.02,0.0,0.0,0.0,0.0612,0.5,0.25,0.0,0.0,0.0,48,2560.0,245.47280000000018,1306.8911,205.79569999999987,0.0,0.0,0.0,0.0,0.0,0,258.1752,2560.0,245.47280000000018,122.09570000000014,274.0,0.0,0.0,0.0,5.0,5.200000000000013,2.0,0.75,3.594822888283399,3.9200000000000013,320.0,71.0,160.0,2048.0,734.0,204.0,328,0,0,0,42,29.0,2048.0,17798.940300000024,1884.5020000000002,4065.3963,767,1,0,128,0.19450251589161782,0.733326789453931,0.6571601930058748,5,5255.513999999996,355.0,42,0,520.0,0,0,0,0.0,0,0.0,541672.7132706685,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1040.0,208.0,2611.9777,4,42.2329,42.23279999999997,0.5466677692275045,5120.0,84.21712239583333,0.13838095377604162,296,0,0.0,0,4551.2234973618615,4311.916666666667,285,0.4780049880521205,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,0,12,0.0,0,0.0,1200.0,30.4805,715.4468000000005,0.0,715.4468000000005,0.0,42.2329,10231.363699999998,8561.876,0.739146676296617,384,13897.751810979304,128,527774.9614596899,4,299.56039999999996,4,0.0,2,258.1752,-356.4843,11.925,660.4,0,0,160,160,11 + fiscal policy and VAT,sumsy,1,-7.275957614183426e-11
2,512,4,4,29000.569600000043,0.0,6230.046200000005,4964.634700000001,579.8444,,579.8444,0.0,0.0,0.0,0.0,0.0,0.0025,148.9559,1683.0,0.0,0.91929744,561.0,724.9421833333347,0.02,337.6398999999976,1.0404,0.0,0.0,1.0404,0.0,0,0,0.9986979166666666,0.7356177598843932,0.0,959.0,0.0,0.0,1.0404,0,0,0,0.25323658806113303,434,464.7167630368167,2.267450853274072,466.9842138900908,5.97448862745098,1.8805343137254902,7.85502294117647,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0404,1.0404,0.0,0.0,0.0,0.062424,0.5,0.25,0.0,-8.295925000000004,0.0,49,2560.0,299.23760000000095,4964.640200000001,489.01599999999763,0.0,0.0,0.0,0.0,0.0,5,185.0197,2560.0,299.23760000000095,151.37610000000006,274.0,0.0,0.0,0.015,4.8846374429223305,5.511993749999996,2.189485714285716,1.1235876957494408,3.544207237422741,28.15544494047619,896.0,1095.0,448.0,2048.0,1133.0,204.0,228,0,0,1,59,42.0,2048.0,16986.801999999985,3194.2621999999997,8125.921899999999,767,1,0,128,0.1897662317992146,0.7356177598843932,0.46929131264753376,2,7025.698799999981,5348.677999999952,59,0,77.0,0,0,0,0.0,0,0.0,563639.222656514,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,168.5904000000001,31.0,359.60790000000003,4,4.0541,4.053700000000001,0.6725272133614034,5120.0,73.31868489583333,0.12277321940104167,330,0,0.0,0,4691.737668428248,3753.9166666666665,402,0.6954704029545354,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,228,0.0,0,12,0.0,0,0.0,1200.0,670.2338000000001,6339.4998237057935,0.0,6339.4998237057935,0.0,4.0541,12861.608399999996,11679.792,0.7402368742589072,384,16801.996351114147,128,546837.2263054,4,298.8153,4,0.0,2,405.9819,-430.8884999999999,12.640500000000001,660.4,0,0,448,448,11 + fiscal policy and VAT,sumsy,1,-7.275957614183426e-11
3,512,4,4,31217.770800000046,0.0,8558.161200000006,2612.698999999999,647.5346999999999,,647.5346999999999,0.0,0.0,0.0,0.0,0.0,0.0025,174.2074,1670.0561999999995,0.0,0.8814223854719999,548.0561999999996,654.2560666666666,0.02,331.4100000000018,1.061208,0.0,0.0,1.061208,0.0,0,0,0.9973958333333334,0.7416686027077042,0.0,1052.0,2.0,0.0,1.061208,0,0,0,0.25540935328379716,454,786.7668461975542,2.631751442886889,789.398597640441,7.371828760083123,2.1413187382883567,9.51314749837148,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.061208,1.061208,0.0,0.0,0.0,0.06367247999999999,0.5,0.25,0.0,-64.79812499999994,0.0,52,2560.0,342.7988000000001,6256.472200000001,508.3251000000018,0.0,0.0,0.0,0.0,0.0,6,387.8325,2560.0,342.7988000000001,176.91510000000005,274.0,0.0,0.0,0.015,4.818605975723613,5.45280609981515,2.3199093750000004,1.3403897959183655,3.3746655411689215,27.310781592261904,1082.0,1071.0,541.0,2046.6666666666665,1314.0,204.0,183,0,0,1,56,34.0,2048.0,17981.60839999998,4193.742,8035.725799999999,766,2,0,128,0.2136056013644052,0.7416686027077042,0.40192076582926894,0,7646.1202000000085,5160.726999999989,56,0,64.0,0,0,0,0.0,0,0.0,943355.0635495323,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,148.47420000000002,26.0,444.65469999999993,4,20.2389,20.238700000000005,0.7599086254806585,5120.0,61.731770833333336,0.13857766764322918,355,0,0.0,0,5348.496474995838,3160.6666666666665,441,0.7758953526867138,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,183,0.0,0,12,0.0,0,0.0,1200.0,1336.8110000000001,10044.577579125555,0.0,10044.577579125555,0.0,20.2389,13742.21869999999,12674.122500000003,0.7470028922403864,384,18236.341051629715,128,925118.7224979019,4,298.0703,4,0.0,2,597.7467,-473.3272999999999,13.398930000000002,1141.7674,0,0,541,541,11 + fiscal policy and VAT,sumsy,1,-7.275957614183426e-11
4,512,4,4,33386.08070000001,0.0,11531.960499999983,3418.010500000001,615.1579999999999,,615.1579999999999,0.0,0.0,0.0,0.0,0.0,0.0025,205.6192,1658.0265749999999,0.0,0.8451077831905535,540.6459000000006,585.7234166666667,0.02,395.1101000000002,1.08243216,0.0,0.0,1.08243216,0.0,0,0,0.99609375,0.7424000077428123,0.0,1051.0,1.0,0.0,1.08243216,0,0,0,0.2559055652215202,468,815.7054047529768,2.9259134101348385,818.6313181631118,8.25043209028497,2.0998862660241517,10.350318356309122,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.08243216,1.08243216,0.0,0.0,0.0,0.0649459296,0.5,0.25,0.0,-150.37992499999984,0.0,53,2560.0,391.69009999999986,3445.6334000000006,601.2148000000001,0.0,0.0,0.0,0.0,0.0,0,507.2355,2560.0,391.69009999999986,206.1047000000001,274.0,0.0,0.0,0.015,5.346705985267035,5.420596857671007,2.4320378048780484,1.442305390334571,3.289374734472838,26.491458144494047,1082.0,1086.0,541.0,2046.6666666666667,1354.0,204.0,173,0,0,2,55,43.0,2048.0,17922.909800000027,4305.9044,9803.958200000001,765,3,0,128,0.23072126896371126,0.7424000077428123,0.3764734797024847,0,7716.124999999991,5806.5227,55,0,164.0,0,0,0,0.0,0,0.0,955972.6262569329,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,398.85419999999993,66.0,640.4536,4,0.8275,0.8275000000000002,0.9055962020985198,5120.0,58.650716145833336,0.15069721028645836,381,0,0.0,0,2690.165321941699,3002.9166666666665,459,1.112767257734917,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,173,0.0,0,12,0.0,0,0.0,1200.0,1933.2039000000002,7899.649516585154,0.0,7899.649516585154,0.0,0.8275,15579.000800000014,14750.3162,0.7476951398129146,384,19694.505815761855,128,936278.1204411711,4,283.0922999999999,4,0.0,2,706.1016999999999,-409.5387999999999,14.202865800000003,1144.7221,0,0,541,541,11 + fiscal policy and VAT,sumsy,1,-7.275957614183426e-11
5,512,4,4,35514.38459999994,0.0,15428.517899999997,4492.482800000001,601.8014999999999,,601.8014999999999,0.0,0.0,0.0,0.0,0.0,0.0025,227.3489,1686.36294,0.0,0.8102893425231027,599.9028000000004,560.2820133333332,0.02,405.10229999999933,1.1040808032,0.0,0.0,1.1040808032,0.0,0,0,0.99609375,0.7445503182760196,0.0,1045.0,2.0,0.0,1.1040808032,0,0,0,0.2542483462813133,468,935.8125623325282,2.4814706763526497,938.2940330088808,3.3219538970827935,1.7713766977751335,5.093330594857927,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.1040808032,1.1040808032,0.0,0.0,0.0,0.066244848192,0.5,0.25,0.0,-262.05151753503526,0.0,54,2560.0,431.69610000000074,4492.7362,636.5333000000012,0.0,0.0,0.0,0.0,0.0,6,85.63640000000001,2560.0,431.69610000000074,231.4310000000002,274.0,0.0,0.0,0.015,5.464269230769229,5.5259423791821725,2.6013288461538484,1.5781622429906539,3.3026618919035164,25.696714400159223,1076.0,1092.0,538.0,2045.3333333333335,1324.0,204.0,180,0,0,0,61,50.0,2048.0,16459.177300000003,5053.9468,13135.18,765,3,0,128,0.1248610847065057,0.7445503182760196,0.40989871309729886,0,7737.963099999989,5966.981999999998,61,0,104.0,0,0,0,0.0,0,0.0,1.21977070866857e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,270.53820000000024,42.0,553.0952,4,32.2428,32.24670000000011,1.1188059353608841,5120.0,56.599934895833336,0.18588591308593758,172,0,0.0,0,1588.421562876143,2897.9166666666665,461,1.3790696273555338,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,180,0.0,0,12,0.0,0,0.0,1200.0,2988.9169000000006,3526.7918763410667,0.0,3526.7918763410667,0.0,32.2428,15024.903400000003,18742.221999999994,0.750022463151045,384,22248.984117649114,128,1.1975217245509238e6,4,273.8997999999999,4,0.0,2,780.6901,-374.45259999999996,15.055037748000004,1471.4639,0,0,538,538,11 + fiscal policy and VAT,sumsy,1,-7.275957614183426e-11
6,512,4,4,37600.37439999999,0.0,15815.971399999999,1202.1266000000007,593.7368999999999,,593.7368999999999,0.0,0.0,0.0,0.0,0.0,0.0025,255.5159,1711.8480999999997,0.0,0.7769054216111508,613.0912999999993,540.6061499999996,0.02,392.3554,1.126162419264,0.0,0.0,1.126162419264,0.0,0,0,0.9947916666666666,0.7456686850549208,0.0,915.0,1.0,0.0,1.126162419264,0,0,0,0.2555219158574651,468,1117.3006564326397,2.655823718101533,1119.956480150741,7.304432953365903,1.7788220775003278,9.083255030866232,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.126162419264,1.126162419264,0.0,0.0,0.0,0.06756974515584001,0.5,0.25,0.0,-411.6342117368539,0.0,54,2560.0,474.01019999999943,1202.1266000000007,651.8388000000009,0.0,0.0,0.0,0.0,0.0,7,401.98530000000005,2560.0,474.01019999999943,259.4834,274.0,0.0,0.0,0.015,5.459717283950617,5.586699075785587,2.63208787878788,1.7361234636871508,3.1205920210588314,24.925812968154446,1082.0,1053.0,541.0,2048.0,1315.0,204.0,183,0,0,0,51,28.0,2048.0,19299.61740000002,3558.2065000000002,13449.556199999999,764,4,0,128,0.2287344472418793,0.7456686850549208,0.3693716527476285,1,7498.300999999999,5749.0823,51,0,66.0,0,0,0,0.0,0,0.0,1.4856398659947927e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,173.7178000000001,27.0,635.4930999999999,4,45.838499999999996,45.83629999999998,1.4012655663214788,5120.0,54.66796875,0.2194082633463542,262,0,0.0,0,2790.8142904111387,2799.0,464,1.5012746382179836,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,183,0.0,0,12,0.0,0,0.0,1200.0,3733.722499999999,5242.639602905309,0.0,5242.639602905309,0.0,45.838499999999996,17670.988100000017,17643.2558,0.7512569029901,384,25238.664549898127,128,1.4604012014448931e6,4,268.22079999999994,4,0.0,2,1060.6290000000001,-338.2209999999999,15.958340012880004,1795.251,0,0,541,541,11 + fiscal policy and VAT,sumsy,1,-7.275957614183426e-11
7,512,4,4,39640.250099999976,0.0,17273.172600000005,2356.0522,561.3602000000001,,561.3602000000001,0.0,0.0,0.0,0.0,0.0,0.0025,333.2595,1729.8332571428566,0.0,0.7448969182407714,612.5813999999996,497.20195714285666,0.02,431.7833999999987,1.14868566764928,0.0,0.0,1.14868566764928,0.0,0,0,0.9934895833333334,0.747450313278684,0.0,1046.0,1.0,0.0,1.14868566764928,0,0,0,0.2553129567802125,467,1168.6482172976978,2.4745405311297177,1171.1227578288276,10.388004128527967,1.5466819322778238,11.934686060805792,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.14868566764928,1.14868566764928,0.0,0.0,0.0,0.0689211400589568,0.5,0.25,0.0,-569.6013117368532,0.0,56,2560.0,520.1243,3684.9843000000005,721.8122999999995,0.0,0.0,0.0,0.0,0.0,3,559.71,2560.0,520.1243,290.0289000000001,274.0,0.0,0.0,0.015,5.398093399638341,5.506990166975877,2.780805960264901,1.9214597378277158,3.233854928817252,24.17803857910981,1078.0,1106.0,539.0,2048.0,1345.0,204.0,175,0,0,0,62,48.0,2048.0,20920.12020000002,3004.2394,13995.417800000001,763,5,0,128,0.301722273288791,0.747450313278684,0.46038634402080403,2,7800.123900000024,5970.291300000005,62,0,151.0,0,0,0,0.0,0,0.0,1.5281793389557078e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,419.9017,61.0,827.5032000000001,4,82.0387,82.03889999999993,1.7939368929965147,5120.0,53.201497395833336,0.24261665934244792,257,0,0.0,0,1950.076966419436,2723.9166666666665,463,1.651785913534111,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,175,0.0,0,12,0.0,0,0.0,1200.0,4492.652000000003,5153.835053987699,0.0,5153.835053987699,0.0,82.0387,19021.064400000003,17827.160399999997,0.752985398545847,384,27383.39694146474,128,1.5007959420142416e6,4,253.2428,4,0.0,2,1181.9435,-228.10070000000007,16.915840413652806,1818.5246499999998,0,0,539,539,11 + fiscal policy and VAT,sumsy,1,-7.275957614183426e-11
8,512,4,4,41640.35380000001,0.0,17283.85960000001,1027.7122,528.9834999999999,,528.9834999999999,0.0,0.0,0.0,0.0,0.0,0.0025,449.7295,1740.728775,0.0,0.7142071652092515,605.6658000000008,439.27036666666635,0.02,438.36310000000094,1.1716593810022657,0.0,0.0,1.1716593810022657,0.0,1,0,0.9934895833333334,0.7479978620634493,0.0,511.0,0.0,0.0,1.1716593810022657,0,0,0,0.254720803387585,467,1191.4063066258152,2.372443342250649,1193.7787499680658,12.047377074102439,1.6374777516316155,13.684854825734055,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.1716593810022657,1.1716593810022657,0.0,0.0,0.0,0.07029956286013594,0.5,0.25,0.0,-742.2089117368513,0.0,58,2560.0,559.8963000000005,2353.6822999999995,755.9092000000012,0.0,0.0,0.0,0.0,0.0,1,649.6285,2560.0,559.8963000000005,317.54609999999974,274.0,0.0,0.0,0.015,5.320035266604297,5.534932780847153,3.005787053571432,1.9421682156133844,3.2748223440226774,23.452697421736517,1086.0,1069.0,543.0,2048.0,1382.0,204.0,166,0,0,1,53,41.0,2048.0,22242.247500000005,2974.8284000000003,14192.7097,763,5,0,128,0.3297614496687975,0.7479978620634493,0.4377997296145988,3,7969.092500000004,5687.117699999993,53,0,224.0,0,0,0,0.0,0,0.0,1.534350630575601e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,673.2963000000008,90.0,1131.2102,4,107.76979999999999,107.77609999999989,1.881958135182301,5120.0,51.025390625,0.2620103540039063,132,0,0.0,0,1113.973745662539,2612.5,463,1.7539431372555427,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,166,0.0,0,12,0.0,0,0.0,1200.0,5205.849799999997,5786.255155760871,0.0,5786.255155760871,0.0,107.76979999999999,20068.63520000001,18298.7483,0.7535379488532119,384,27801.801321784686,128,1.5065488292538158e6,4,238.26479999999992,4,0.0,2,1235.4518,-79.25399999999996,17.930790838471975,1818.5246499999998,0,0,543,543,11 + fiscal policy and VAT,sumsy,1,-7.275957614183426e-11
9,512,4,4,43599.5384,0.0,17217.078899999986,1000.5691999999998,496.6068,,496.6068,0.0,0.0,0.0,0.0,0.0,0.0025,621.4361,1746.2841666666668,0.0,0.6847818300026304,596.9091000000001,374.94935555555566,0.02,459.13409999999965,1.195092568622311,0.0,0.0,1.195092568622311,0.0,1,0,0.9921875,0.7486839758556418,0.0,510.0,1.0,0.0,1.195092568622311,0,0,0,0.25559425996743784,467,1211.1704579442742,2.2470867463796984,1213.4175446906538,15.649247948225042,1.6012856403241222,17.250533588549164,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.195092568622311,1.195092568622311,0.0,0.0,0.0,0.07170555411733866,0.5,0.25,0.0,-914.750920128018,0.0,63,2560.0,600.8154,2956.3186,805.4186999999996,0.0,0.0,0.0,0.0,0.0,3,693.7533000000001,2560.0,600.8154,346.2846000000006,274.0,0.0,0.0,0.015,5.250005287569581,5.4822878957169525,3.216320664206639,1.9291838041431262,3.287594497417653,22.74911649908442,1074.0,1078.0,537.0,2046.6666666666667,1389.0,204.0,164,0,0,1,58,38.0,2048.0,24866.179399999968,1462.3578,14449.9606,762,6,0,128,0.3864533705329196,0.7486839758556418,0.4525572756770462,3,7933.870799999975,5659.505700000009,58,0,271.0,0,0,0,0.0,0,0.0,1.526836641185711e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,871.6228999999992,109.0,1505.8512,4,135.0076,135.0069000000001,2.044295142996596,5120.0,51.015625,0.2867216943359376,29,0,0.0,0,132.75779603148357,2612.0,463,1.8691276307832811,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,164,0.0,0,12,0.0,0,0.0,1200.0,5868.614900000007,7041.939811969041,0.0,7041.939811969041,0.0,135.0076,22503.56919999998,17418.1696,0.7542118201425458,384,28903.582333387138,128,1.497933058852324e6,4,223.28680000000008,4,0.0,2,1243.1666,124.82929999999999,19.006638288780294,1795.251,0,0,537,537,11 + fiscal policy and VAT,sumsy,1,-7.275957614183426e-11
10,512,4,4,45524.23770000001,0.0,16958.92760000001,860.4721999999996,464.23010000000005,,464.23010000000005,0.0,0.0,0.0,0.0,0.0,0.0025,848.1157,1748.37075,0.0,0.656568818606522,589.0500000000001,300.0850166666667,0.02,485.83889999999843,1.2189944199947573,0.0,0.0,1.2189944199947573,0.0,2,0,0.9921875,0.7490714463194985,0.0,509.0,1.0,0.0,1.2189944199947573,0,0,0,0.2564324473796358,467,1154.846328517778,2.020410178013774,1156.8667386957918,16.327194386965466,1.8471865616302476,18.174380948595715,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.2189944199947573,1.2189944199947573,0.0,0.0,0.0,0.07313966519968544,0.5,0.25,0.0,-1086.8354201280195,0.0,64,2560.0,635.3007000000002,1506.4943000000003,857.111499999998,0.0,0.0,0.0,0.0,0.0,1,715.3652999999999,2560.0,635.3007000000002,371.27260000000035,274.0,0.0,0.0,0.015,5.208281197380734,5.621721996303156,3.2556442048517504,1.9109674766355151,3.2938653397809157,22.066643004111885,1082.0,1069.0,541.0,2046.6666666666665,1436.9999999999998,204.0,152,0,0,2,45,40.0,2048.0,25847.731700000008,1587.0004,14525.8384,762,6,0,128,0.3874090590398267,0.7490714463194985,0.40857066959399635,1,8083.318800000038,5567.652600000005,45,0,371.0,0,0,0,0.0,0,0.0,1.4272744481952013e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1207.8439999999994,149.0,2000.1862,4,152.0442,152.04339999999988,2.0559910627474545,5120.0,51.015625,0.29684336100260417,8,0,0.0,0,53.723896815169425,2612.0,463,1.983148443095821,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,152,0.0,0,12,0.0,0,0.0,1200.0,6315.413400000001,6980.343299832064,0.0,6980.343299832064,0.0,152.0442,23316.16890000001,18113.024999999998,0.7545503720554123,384,28733.484612047898,128,1.3985409635831562e6,4,208.30880000000002,4,0.0,2,1228.3686000000002,383.8855999999999,20.147036586107113,1663.0942,0,0,541,541,11 + fiscal policy and VAT,sumsy,1,-7.275957614183426e-11
