round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,24353.605999999916,0.0,474.3001,474.3001,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.712648293372792,0.0,672.0,3.0,0.0,1.0,0,0,0,0.7874652819707764,0,340.5713760784314,2.819549019607843,343.39092509803925,2.31193705882353,2.8461764705882353,5.158113529411765,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0,2560.0,185.59400000000207,474.3001,0.0,0.0,0.0,0.0,0.0,0.0,0,254.9568,2560.0,185.59400000000207,0.0,268.0,0.0,0.0,0.0,5.0,5.200000000000013,NaN,0.75,3.9199999999999995,3.920000000000001,320.0,91.0,160.0,2048.0,322.0,0.0,431,0,0,0,51,40.0,2048.0,18714.088099999957,1725.5350000000003,3659.0261,767,1,0,128,0.07805789943010533,0.7214373715416345,0.8298259629322318,0,3870.9881999999993,455.0,51,0,0.0,0,0,0,0.0,0,0.0,452742.1881999912,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,431,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7226683475639233,384,13842.866399999983,128,438899.3218,4,2290.9350000000004,4,3292.726,2,254.9568,0.0,11.925,565.4,0,0,160,160,1 + planning margin,sumsy,3,-4.3655745685100555e-11
2,512,4,4,26678.045399999988,0.0,3261.5902999999926,2811.0051999999964,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7114446630269728,0.0,964.0,2.0,0.0,1.0,0,0,0,0.2640641783029001,0,343.62624568627456,2.456090588235294,346.0823362745099,2.187955490196078,2.629825098039216,4.817780588235294,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-4.742999999999999,0.0,0,2560.0,235.56059999999974,2811.005199999996,0.0,0.0,0.0,0.0,0.0,0.0,0,144.4531,2560.0,235.56059999999974,0.0,268.0,0.0,0.0,0.015,4.909640977443591,5.52100794701985,NaN,1.126461419068736,3.694772687224634,3.8023999999999996,906.0,1064.0,453.0,2048.0,908.0,0.0,285,0,0,1,51,30.0,2048.0,17806.511999999937,3063.2972,5663.7831,766,2,0,128,0.10865127714582701,0.7221853652740486,0.5559564067652516,0,6368.378899999982,5223.857999999981,51,0,0.0,0,0,0,0.0,0,0.0,456000.8405999964,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,285,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7226879857213209,384,14125.873499999967,128,441874.96709999954,4,2602.557599999999,4,4281.701300000001,2,399.4099,0.0,12.640500000000001,568.498,0,0,453,453,1 + planning margin,sumsy,3,-4.3655745685100555e-11
3,512,4,4,28954.395499999977,0.0,7319.236400000012,4221.910099999999,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.99609375,0.7100743660659687,0.0,1048.0,1.0,0.0,1.0,0,0,0,0.26014357053682896,0,351.92882879987724,2.7467101660324333,354.6755389659097,1.5898836348725536,2.4913658291720613,4.081249464044615,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-37.360899999999894,0.0,7,2560.0,283.6499000000006,5631.829600000001,0.0,0.0,0.0,0.0,0.0,0.0,0,214.1363,2560.0,283.6499000000006,0.0,268.0,0.0,0.0,0.015,5.616671254681654,5.490514312267681,NaN,1.334494205607475,3.280081447124317,3.6883279999999994,1076.0,1068.0,538.0,2046.6666666666665,1078.0,0.0,242,0,0,0,43,31.0,2048.0,15803.846600000012,3884.4127,9051.999899999999,765,3,0,128,0.05564816846354015,0.7222641324889894,0.46931826795693277,0,6794.610800000008,5998.604900000006,43,0,0.0,0,0,0,0.0,0,0.0,457830.89779999957,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,242,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.722231581635403,384,14088.933800000006,128,443741.96399999975,4,2500.5571999999993,4,5358.974100000003,2,600.7983999999999,0.0,13.398930000000002,569.4490000000001,0,0,538,538,1 + planning margin,sumsy,3,-4.3655745685100555e-11
4,512,4,4,31167.25950000002,0.0,9167.868000000022,2223.9888999999994,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.99609375,0.7089094916297789,0.0,1042.0,0.0,0.0,1.0,0,0,0,0.2570930547736703,0,308.76779630582956,1.9958863082039757,310.76368261403354,2.169505820771561,1.6540023144773686,3.8235081352489297,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-110.54699999999974,0.0,102,2560.0,347.13599999999974,4025.4589999999976,0.0,0.0,0.0,0.0,0.0,0.0,0,204.71269999999998,2560.0,347.13599999999974,0.0,268.0,0.0,0.0,0.015,5.75233497716895,5.676563227016882,NaN,1.4331430188679242,3.2899457865169364,3.5776781599999987,1066.0,1095.0,533.0,2048.0,1068.0,0.0,245,0,0,3,59,46.0,2048.0,15068.381800000003,5218.789199999999,10675.3758,765,3,0,128,0.10924726201771073,0.7239647341172684,0.48274619035830346,4,6814.640299999986,6298.806799999999,59,0,0.0,0,0,0,0.0,0,0.0,457992.0879000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,245,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7229050943810511,384,13665.201200000003,128,444326.88670000015,4,2983.1439000000005,4,6743.319100000003,2,785.5406,0.0,14.202865800000003,569.4490000000001,0,0,533,533,1 + planning margin,sumsy,3,-4.3655745685100555e-11
5,512,4,4,33333.23619999998,0.0,10811.917000000001,2130.6064999999994,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0.9947916666666666,0.7117587378220245,0.0,1045.0,1.0,0.0,1.0,0,0,0,0.2549978597103329,0,305.8076378636739,1.422587187932352,307.2302250516063,3.738032432260214,1.233892117285377,4.971924549545592,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-202.23040000000032,0.0,104,2560.0,394.02330000000023,2132.5573999999997,0.0,0.0,0.0,0.0,0.0,0.0,0,243.2015,2560.0,394.02330000000023,0.0,268.0,0.0,0.0,0.015,5.755204388422034,5.654980148422991,NaN,1.551562429906542,3.293139166666718,3.4703478152,1078.0,1071.0,539.0,2044.0,1079.9999999999998,0.0,240,0,0,2,56,39.0,2048.0,17213.351600000005,4230.3212,11646.361900000002,764,4,0,128,0.1751494882965956,0.7274783996673495,0.5116419659070401,12,6881.6301000000085,6163.8238999999985,56,0,0.0,0,0,0,0.0,0,0.0,460254.93769999983,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,240,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7267242569736139,384,12983.842599999994,128,447271.0951,4,2240.2583000000004,4,7924.776000000002,2,980.4642000000001,0.0,15.055037748000004,570.4,0,0,539,539,1 + planning margin,sumsy,3,-4.3655745685100555e-11
6,512,4,4,35449.28299999999,0.0,12940.191299999997,2720.0215000000026,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0.9934895833333334,0.7155342443478887,0.0,1044.0,1.0,0.0,1.0,0,0,0,0.2568987634728559,0,310.25439112561287,0.8127291809877957,311.06712030660066,4.83144848606074,0.901513953051125,5.732962439111865,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-310.10359999999923,0.0,107,2560.0,443.9531999999999,3373.0327000000025,0.0,0.0,0.0,0.0,0.0,0.0,3,250.1927,2560.0,443.9531999999999,0.0,268.0,0.0,0.0,0.015,5.686251830985915,5.57657230483268,NaN,1.7114474671669782,3.243550989486634,3.3662373807439994,1076.0,1065.0,538.0,2045.3333333333333,1078.0,0.0,241,0,0,1,50,31.0,2048.0,18798.298100000004,2541.4844,13859.3078,763,5,0,128,0.23229416548759674,0.7315996771152373,0.5571839389615327,30,6864.612300000012,6055.8582,50,0,0.0,0,0,0,0.0,0,0.0,462951.43549999956,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,241,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7309330502507487,384,12275.4374,128,450675.99810000014,4,1364.2793,4,9030.073200000003,2,1168.327,0.0,15.958340012880004,571.6990000000001,0,0,538,538,1 + planning margin,sumsy,3,-4.3655745685100555e-11
7,512,4,4,37516.79260000002,0.0,13482.564700000024,1270.3787000000007,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,12,0,0.9921875,0.7187070483790687,0.0,1041.0,1.0,0.0,1.0,0,0,0,0.2612572322494729,0,318.07640721877425,0.238238191555138,318.3146454103294,7.231325220321862,0.8011502642282515,8.032475484550114,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-439.2958000000024,0.0,110,2560.0,492.4903999999999,2607.5650999999993,0.0,0.0,0.0,0.0,0.0,0.0,3,487.3034,2560.0,492.4903999999999,0.0,268.0,0.0,0.0,0.015,5.588680589914362,5.589696082089593,NaN,1.905607735849059,3.195910707635013,3.2652502593216792,1072.0,1051.0,536.0,2046.6666666666665,1074.0,0.0,243,0,0,2,35,25.0,2048.0,21317.171499999997,1169.5456,14542.7721,762,6,0,128,0.30581977567027074,0.7353807487212822,0.5659658893101664,31,6840.494300000001,5873.703299999995,36,1,0.0,0,0,0,0.0,0,0.0,465427.1826000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,243,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7338752741127592,384,11629.70979999999,128,453797.4728000001,4,807.7962000000005,4,9989.918100000003,2,1354.3597,0.0,16.915840413652806,572.998,0,0,536,536,1 + planning margin,sumsy,3,-4.3655745685100555e-11
8,512,4,4,39537.16300000004,0.0,13919.239300000005,1221.1932000000004,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,41,0,0.9908854166666666,0.7287458073380322,0.0,901.0,3.0,0.0,1.0,0,0,0,0.2607202682233137,0,521.8479477663828,-0.3887570922566479,521.4591906741261,9.88946424357954,0.5606476057714502,10.450111849350991,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-572.6034832143786,0.0,113,2560.0,539.6296000000003,3199.1011999999987,0.0,0.0,0.0,0.0,0.0,0.0,19,439.49609999999996,2560.0,539.6296000000003,0.0,268.0,0.0,0.0,0.015,5.501761652739086,5.596031249999976,NaN,1.9879385796545108,3.2551936672967887,3.167292751542029,1056.0,1077.0,528.0,2045.3333333333335,1058.0,0.0,247,0,0,3,50,31.0,2048.0,23538.29490000001,360.6652,15198.7068,761,7,0,128,0.36545769758282987,0.7426924834601847,0.5842170682386418,46,6826.588899999985,5925.397299999996,50,0,0.0,0,0,0,0.0,0,0.0,748632.6866499999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,247,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7418469939139445,384,11104.887500000012,128,737527.7991499999,4,3405.0359500000004,4,11080.345500000003,2,1427.0308999999997,0.0,17.930790838471975,944.02075,0,0,528,528,1 + planning margin,sumsy,3,-4.3655745685100555e-11
9,512,4,4,41524.03769999996,0.0,14128.623499999985,1053.9427999999998,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,66,0,0.9908854166666666,0.7289201144499962,0.0,497.0,0.0,0.0,1.0,0,0,0,0.26231508875739645,0,531.5416813376034,-0.7913062590061664,530.7503750785974,10.981523610735978,0.7133009411180308,11.69482455185401,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-710.0973613210155,0.0,121,2560.0,573.1252999999997,1746.2594,0.0,0.0,0.0,0.0,0.0,0.0,22,387.29690000000005,2560.0,573.1252999999997,0.0,268.0,0.0,0.0944,0.015,5.413498269230771,5.532577715355829,NaN,1.9769550284629966,3.180226853582591,3.072273968995767,1068.0,1040.0,534.0,2044.0,1070.0,0.0,243,0,0,14,38,23.0,2048.0,25284.144800000027,474.1972999999999,15378.398700000002,761,7,0,129,0.37194349424923545,0.7436397914536172,0.5568777970597005,33,6762.999200000015,5630.038200000002,39,1,0.0,0,0,0,0.0,0,0.0,749379.6696499989,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,243,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7423497233969971,383,10487.550000000014,129,738892.1196499998,4,3754.530850000001,4,11879.236800000002,2,1518.5364,0.0,19.006638288780294,944.02075,0,0,534,534,1 + planning margin,sumsy,3,-4.3655745685100555e-11
10,512,4,4,43463.378500000035,0.0,14160.559300000014,919.5226000000001,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,115,0,0.9908854166666666,0.7298717245875428,0.0,485.0,0.0,0.0,1.0,0,0,0,0.26637278911564627,0,541.4827580513729,-1.2619330808413325,540.2208249705317,12.797760245893803,0.5202096281391788,13.317969874032983,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-847.954868289234,0.0,144,2560.0,620.6591999999997,2913.8206999999998,0.0,0.0,0.0,0.0,0.0,0.0,43,476.449,2560.0,620.6591999999997,0.0,268.0,0.0,3.0688000000000004,0.015,5.326376571428573,5.588981904761893,NaN,1.9550038610038623,3.0808672053231483,2.9801057499258943,1050.0,1050.0,525.0,2029.3333333333335,1052.0,0.0,248,2,2,13,41,25.0,2046.0,27047.10319999999,665.4742,15274.3521,761,7,0,130,0.4081299656230375,0.7451830588531911,0.5638743856694919,45,6528.131100000002,5592.695400000001,41,0,0.0,0,0,2,0.0,0,0.0,749943.5541499993,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,248,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7433682286624104,382,9923.1217,130,740020.4324499995,4,4181.770549999999,4,12713.185599999999,2,1632.8042000000005,0.0,20.147036586107113,944.02075,0,0,525,525,1 + planning margin,sumsy,3,-4.3655745685100555e-11
