round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,25689.488100000035,0.0,25799.384099999996,0.0,4153.6641,,0.0,4153.6641,0.0,0.0,0.0,0.0,0.0025,44.7321,0.0,0.0,1.0,4460.0012,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.5561385803152088,0.0,512.0,0.0,0.0,1.0,0,0,0,0.7109150813051333,0,7.843613725490198,3.266619607843137,11.110233333333335,1.184613725490197,3.204533333333333,4.38914705882353,0.0,0.0,0.0,0.0,0,0,0.0,0.0,44.732,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,109.89599999999999,109.896,0.0,3,4186.5041,476.21600000000007,5195.904400000001,351.0692,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3800.0,0.0,0.005,5.0,5.200000000000013,NaN,0.75,3.6544486692015257,3.920000000000001,320.0,97.0,160.0,2048.0,526.0,204.0,380,0,0,0,58,39.0,2048.0,20435.904000000013,2076.5528,3132.2992,768,0,0,128,0.03412448957329017,0.24210660239910298,0.059481764828969386,0,5535.904000000006,485.0,58,0,0.0,0,0,0,0.0,0,0.0,29050.90400000005,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,380,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8475010349991747,384,15183.375999999995,128,13867.527999999997,4,-7679.6872,4,-8724.340799999998,2,102.05600000000064,-4108.932,11.925,11.25,0,0,160,160,2 + government,debt,7,3.4924596548080444e-10
2,512,4,4,27516.35020000006,0.0,27704.372099999997,0.0,6414.2723,,0.0,6414.2723,0.0,0.0,0.0,0.0,0.0025,304.5363,0.0,0.0,1.0,2960.0011999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7415812994667645,0.0,929.0,1.0,0.0,1.0,0,0,0,0.2654205557851587,0,313.147027254902,3.3137723529411764,316.46079960784317,2.7170511764705894,3.330951372549019,6.048002549019609,0.0,0.0,0.0,0.0,0,0,0.0,0.0,304.53630000000004,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,188.0219,238.87330000000006,0.0,8,2531.4846000000002,704.6225000000002,7186.503699999999,979.9655000000168,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2300.0,0.0,0.003297436458914617,4.909157102539965,5.510649019607849,NaN,1.1301351528384278,3.545488967971504,3.8023999999999996,918.0,1063.0,459.0,2048.0,1124.0,204.0,230,0,0,1,45,34.0,2048.0,21874.878299999997,1603.2813,3733.6543,767,1,0,128,0.0754934868686934,0.7144079341157459,0.10158363060546227,0,6127.303499999975,5218.433999999983,45,0,0.0,0,0,0,0.0,0,0.0,420017.7860999977,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,230,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7843084571293069,384,15536.900399999948,128,404480.8857000003,4,-7468.460499999999,4,-7922.0257,2,180.57369999999793,-6109.736,12.640500000000001,519.1382,0,0,459,459,2 + government,debt,7,3.4924596548080444e-10
3,512,4,4,30511.837700000222,0.0,30748.283499999998,0.0,7963.1478,,0.0,7963.1478,0.0,0.0,0.0,0.0,0.0025,256.9769,0.0,0.0,1.0,2584.195698306678,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7402803871695938,0.0,1037.0,0.0,0.0,1.0,0,0,0,0.2598340466416281,0,319.6829875359959,3.4350515762496867,323.1180391122456,3.557974319649223,3.4646091842352607,7.0225835038844835,0.0,0.0,0.0,0.0,0,0,0.0,0.0,256.9769,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,236.44579999999996,377.3509,0.0,10,3833.642,838.1545000000002,4943.9794,1019.8319000000341,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1936.184299999999,0.0,0.005177906150284234,4.83234205607478,5.462212406015027,NaN,1.3352022598870048,3.446373914069842,3.6883279999999994,1064.0,1070.0,532.0,2046.6666666666667,1269.9999999999998,204.0,194,0,0,1,47,34.0,2048.0,22963.80800000007,3550.027,3741.0258000000003,767,1,0,128,0.09858771461638205,0.7140319821087449,0.11726391210159393,0,6259.219000000004,5170.606000000014,47,0,0.0,0,0,0,0.0,0,0.0,421106.24429999705,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,194,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7817164111381105,384,15906.130999999992,128,405200.1133,4,-7217.6311000000005,4,-7713.694199999998,2,229.38949999999952,-7706.1709,13.398930000000002,519.1382,0,0,532,532,2 + government,debt,7,3.4924596548080444e-10
4,512,4,4,31619.544600000037,0.0,31895.267799999998,0.0,9546.3355,,0.0,9546.3355,0.0,0.0,0.0,0.0,0.0025,310.1212,0.0,0.0,1.0,2548.10037943134,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7435245770570595,0.0,643.0,1.0,0.0,1.0,0,0,0,0.25748285322359393,0,529.9853150381273,3.3578661557575287,533.3431811938848,6.9449071024427775,3.367830268281283,10.31273737072406,0.0,0.0,0.0,0.0,0,0,0.0,0.0,328.3553,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,275.7231999999999,531.0576000000001,0.0,12,2148.2699000000002,1040.5629999999999,3277.3211,1057.8728999999728,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1910.2332,18.2341,0.006926603969070278,5.459041574074075,5.4185495327102995,NaN,1.433062664165103,3.3081798208478435,3.5776781599999987,1070.0,1080.0,535.0,2046.6666666666667,1276.0,204.0,192,0,0,1,58,33.0,2048.0,24413.966599999992,2362.6418000000003,4532.815,766,2,0,128,0.16824456319541148,0.7284015808215112,0.11855660749134889,0,6147.539500000022,5895.764900000001,58,0,0.0,0,0,0,0.0,0,0.0,673197.3099999992,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7690109505740428,384,15579.22610000001,128,657618.0838999999,4,-6971.6224,4,-6720.945000000001,2,269.05890000000215,-9236.2143,14.202865800000003,847.0541499999999,0,0,535,535,2 + government,debt,7,3.4924596548080444e-10
5,512,4,4,37695.37500000002,0.0,37995.99259999999,0.0,11247.7961,,0.0,11247.7961,0.0,0.0,0.0,0.0,0.0025,301.465,0.0,0.0,1.0,2779.3444742877646,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7427613975776863,0.0,629.0,0.0,0.0,1.0,0,0,0,0.25656943908214064,0,470.0591062757407,2.7748552185315254,472.83396149427216,7.141093710683546,2.8199378286926318,9.96103153937618,0.0,0.0,0.0,0.0,0,0,0.0,0.0,332.7504,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,300.6176,690.5407,0.0,14,7220.636,1144.8056000000004,7765.942800000001,1116.9622999999747,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,2058.753100000007,31.2855,0.008588448828011404,5.630307763401103,5.616894639556379,NaN,1.5690157699443412,3.4701235929951295,3.4703478152,1082.0,1082.0,541.0,2046.6666666666667,1288.0,204.0,190,0,0,2,57,36.0,2048.0,24908.066900000013,2327.5937,10158.2494,766,2,0,128,0.19576533366140358,0.7289883111629405,0.11703449507011676,0,6576.709299999978,6091.992999999994,57,0,0.0,0,0,0,0.0,0,0.0,673681.7089999992,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7663829873944119,384,15430.799400000005,128,658250.9096,4,-6751.4726,4,-5740.663400000001,2,294.3452999999996,-10946.3311,15.055037748000004,847.0541499999999,0,0,541,541,2 + government,debt,7,3.4924596548080444e-10
6,512,3,4,40614.885,0.0,38157.94760000001,0.0,12999.3646,,0.0,12999.3646,0.0,0.0,0.0,0.0,0.0025,292.7443,0.0,0.0,1.0,2842.5940671543817,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7423900052631853,0.0,621.0,1.0,0.0,1.0,0,0,0,0.2567105951431018,0,630.8745541565796,2.5349040933167317,633.4094582498964,7.941397284702642,2.639419154573143,10.580816439275784,0.0,0.0,0.0,0.0,0,0,0.0,0.0,292.7442,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,359.4287,893.9553,2800.4078,20,4414.8487,1495.3386999999998,5656.845299999999,1138.5435000000018,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2099.3911000000057,0.0,0.006743481825135045,5.643012418906396,5.609647222222214,NaN,1.7349669144981406,3.4964486973320263,3.3662373807439994,1080.0,1079.0,540.0,2045.3333333333333,1286.0,204.0,190,0,0,0,49,42.0,2048.0,25589.667600000026,2243.922,12488.551099999999,766,1,1,128,0.22364142301569045,0.7350748624706536,0.12449207280046415,0,6714.7244999999475,6088.810400000002,49,0,0.0,0,0,0,0.0,0,0.0,925490.8322000012,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.759380472628302,384,15335.715800000002,128,910155.1164000003,3,-4333.227800000001,4,-4786.099700000001,2,-1287.8476000000026,-12706.6203,15.958340012880004,1174.9701,0,1,405,540,2 + government,debt,7,3.4924596548080444e-10
7,512,3,4,42425.3739,0.0,40017.206840012856,0.0,14816.7869,,0.0,14816.7869,0.0,0.0,0.0,0.0,0.0025,301.0634,0.0,0.0,1.0,2878.603308996112,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7381962749576152,1.0,623.0,1.0,0.0,1.0,0,0,0,0.257944555938719,0,456.4835955169887,2.5460243558365003,459.0296198728252,8.664791749732892,2.8283325467796123,11.493124296512505,0.0,0.0,0.0,0.0,0,0,0.0,0.0,301.06329999999997,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,392.24070000000006,1103.2675000000002,2800.4078,23,3503.6811000000002,1693.1922,5220.445399999999,1134.495300000001,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2133.726300000005,0.0,0.008479199439555777,5.625629323308267,5.640528598130854,NaN,1.9282962476547842,3.548942350545187,3.2652502593216792,1070.0,1064.0,535.0,2048.0,1276.0,204.0,192,0,0,0,47,35.0,2048.0,26592.553900000035,2116.5584,13415.198199999999,766,2,0,128,0.24315145136801553,0.7297662989972269,0.13571685795311694,0,6856.524399999997,5985.6695999999965,47,0,0.0,0,0,0,0.0,0,0.0,675177.2845000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7608008702278652,384,15372.763899999996,128,659804.5206,3,-3771.33044001288,4,-3938.9879,2,-2413.655459987119,-14515.7235,16.915840413652806,847.0541499999999,0,1,535,535,2 + government,debt,7,3.4924596548080444e-10
8,512,3,4,43548.76500000001,0.0,41166.619700000025,0.0,16627.5445,,0.0,16627.5445,0.0,0.0,0.0,0.0,0.0025,306.8951,0.0,0.0,1.0,2878.802082342796,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7405472903074526,0.0,414.0,1.0,0.0,1.0,0,0,0,0.2501076684576016,0,633.6362176415619,2.3953565833892587,636.0315742249511,9.991547595283116,2.7599721737489338,12.751519769032049,0.0,0.0,0.0,0.0,0,0,0.0,0.0,306.8951,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,419.0604,1323.0020000000002,2800.4078,26,2993.3024,1869.9113,2833.0477999999994,1147.9623000000006,0.0,0.0,0.0,0.0,0.0,0,0.8601,0.0,0.0,0.0,0.0,2136.218800000001,0.0,0.008769687439426476,5.607869493087555,5.75989029850746,NaN,2.0067670411985024,3.5488985686046104,3.167292751542029,1072.0,1085.0,536.0,2048.0,1278.0,204.0,192,0,0,1,56,41.0,2048.0,27499.2729,2007.3242,13734.412699999999,766,2,0,128,0.269369270340837,0.7356809584558184,0.14270303868316336,0,6902.259999999984,6084.538399999997,56,0,0.0,0,0,0,0.0,0,0.0,927176.791499999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7566499055920894,384,15188.626299999994,128,911988.1651999998,3,-3037.8536999999997,4,-3054.8699000000006,2,-2386.381699999999,-16320.6494,17.930790838471975,1174.9701,0,1,536,536,2 + government,debt,7,3.4924596548080444e-10
9,512,3,4,44690.83189999996,0.0,42327.119300000006,0.0,18419.1979,,0.0,18419.1979,0.0,0.0,0.0,0.0,0.0025,296.6589,0.0,0.0,1.0,2861.957906887206,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7401761655001875,0.0,411.0,0.0,0.0,1.0,0,0,0,0.25005296236141517,0,636.8304800906448,2.366070173611096,639.1965502642557,11.003493914970436,2.8634187102902042,13.86691262526064,0.0,0.0,0.0,0.0,0,0,0.0,0.0,296.6587,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,438.2910000000001,1547.5780000000002,2800.4078,33,3156.845200000001,2014.7783000000004,3930.514400000001,1143.2017000000003,0.0,0.0,0.0,0.0,0.0,0,0.857,0.0,0.0,0.0,0.0,2121.714200000001,0.0,0.010261830966338311,5.597278244631185,5.939275000000004,NaN,2.0086933085501824,3.548163587159845,3.072273968995767,1080.0,1071.0,540.0,2046.6666666666665,1286.0,204.0,190,0,0,1,55,34.0,2048.0,28541.971200000007,1983.1937,13868.151100000001,766,2,0,128,0.2897608439767434,0.7360040778636401,0.14263540421920196,0,6918.787299999997,5994.684999999999,55,0,0.0,0,0,0,0.0,0,0.0,928098.4691000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7554273897830448,384,15060.570300000005,128,913037.8988,3,-2875.1052,4,-2356.227999999999,2,-2367.5601000000015,-18122.539,19.006638288780294,1174.9701,0,1,540,540,2 + government,debt,7,3.4924596548080444e-10
10,512,3,4,46385.274000000114,0.0,44035.496999999996,0.0,20240.8434,,0.0,20240.8434,0.0,0.0,0.0,0.0,0.0025,301.9903,0.0,0.0,1.0,2875.285512139588,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7397958776770641,0.0,622.0,0.0,0.0,1.0,0,0,0,0.25003110271173334,0,639.2485664884812,2.2074643454993885,641.4560308339805,12.153276052036098,2.7579708775356844,14.911246929571782,0.0,0.0,0.0,0.0,0,0,0.0,0.0,301.99030000000005,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,453.02450000000005,1777.2607000000003,2800.4078,37,3861.9081000000006,2167.466,6769.6595000000025,1151.072199999999,0.0,0.0,0.0,0.0,0.0,0,0.8539,0.0,0.0,0.0,0.0,2136.4482000000025,0.0,0.01023966719951344,5.568683164673413,5.9840918367347395,NaN,2.0332919925512103,3.5581469067689526,2.9801057499258943,1078.0,1087.0,539.0,2046.6666666666667,1284.0,204.0,191,0,0,2,54,45.0,2048.0,29528.659799999998,1967.4334,14586.3366,766,2,0,128,0.30711587296729426,0.7363551015762573,0.14337111925324297,0,6947.906099999986,6053.1586,54,0,0.0,0,0,0,0.0,0,0.0,928989.8389999997,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,191,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7541552666947884,384,14882.333499999993,128,914107.5054999999,3,-2703.986499999999,4,-1616.7269999999999,2,-2353.235600000003,-19938.8531,20.147036586107113,1174.9701,0,1,539,539,2 + government,debt,7,3.4924596548080444e-10
