round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,25679.48810000005,0.0,25789.384099999996,0.0,4153.6641,,0.0,4153.6641,0.0,0.0,0.0,0.0,0.00375,44.7321,0.0,0.0,1.0,4460.0012,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.5503174141706015,0.0,512.0,0.0,0.0,1.0,0,0,0,0.8702001081665764,0,7.66498823529412,3.388156862745098,11.053145098039218,1.0994705882352946,3.276305882352941,4.375776470588236,0.0,0.0,0.0,0.0,0,0,0.0,0.0,44.732,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,109.89599999999999,109.896,0.0,2,4176.5041,476.21600000000007,4876.1043,351.0692,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3800.0,0.0,0.005,5.0,5.200000000000013,NaN,0.75,3.6544486692015257,3.920000000000001,320.0,86.0,160.0,2048.0,526.0,204.0,380,0,0,0,50,36.0,2048.0,20480.904000000013,2076.5528,3077.2992,768,0,0,128,0.031179082758322485,0.23911973658870922,0.05900686638645669,0,5535.904000000009,430.0,50,0,0.0,0,0,0,0.0,0,0.0,29105.904000000068,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,380,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8461444357506347,384,15263.343999999994,128,13842.559999999998,4,-7679.6872,4,-8779.340799999998,2,102.05600000000064,-4108.932,11.925,11.25,0,0,160,160,3 + interest on deposits,debt,4,-2.9103830456733704e-10
2,512,4,4,27570.77620000005,0.0,27758.748099999997,0.0,6462.1097,,0.0,6462.1097,0.0,0.0,0.0,0.0,0.00375,307.421,0.0,0.0,1.0,3000.0011999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7352295825964377,0.0,915.0,1.0,0.0,1.0,0,0,0,0.26231150243872214,0,181.6538960784314,3.3002215686274505,184.95411764705884,2.2869790196078434,3.3010413725490197,5.588020392156863,0.0,0.0,0.0,0.0,0,0,0.0,0.0,307.42100000000005,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,187.9719,238.82330000000002,0.0,4,2595.360600000001,704.0725,4598.435199999998,975.0128000000163,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2340.0,0.0,0.005185364302477695,4.910322820037089,5.502881677704201,NaN,1.1242570796460176,3.545254676258967,3.8023999999999996,906.0,1078.0,453.0,2048.0,1112.0,204.0,234,0,0,1,46,45.0,2048.0,21638.027999999984,1818.3223000000003,3807.0049,767,1,0,128,0.06604615032386563,0.6904745982190192,0.10028518071860537,0,6122.896799999979,5293.327999999981,46,0,0.0,0,0,0,0.0,0,0.0,251695.39779999797,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,234,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8046526970499264,384,15575.700399999952,128,236119.6973999997,4,-7472.557699999999,4,-7848.6751,2,180.52369999999866,-6154.6887,12.640500000000001,300.0,0,0,453,453,3 + interest on deposits,debt,4,-2.9103830456733704e-10
3,512,4,4,29299.473099999923,0.0,29536.1793,0.0,7975.8472,,0.0,7975.8472,0.0,0.0,0.0,0.0,0.00375,250.8866,0.0,0.0,1.0,2555.115075881259,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7330451867656662,0.0,1040.0,0.0,0.0,1.0,0,0,0,0.2579824869396832,0,185.67850234498744,3.467986317203592,189.14648866219105,3.0999802822441826,3.501467203656404,6.601447485900587,0.0,0.0,0.0,0.0,0,0,0.0,0.0,250.8866,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,236.70620000000002,377.58639999999997,0.0,8,2569.8307,841.1338000000002,6704.6725,1017.1529000000353,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1906.9502000000002,0.0,0.007807451986485855,4.830283050847414,5.460620747663525,NaN,1.340523595505619,3.4426109813832246,3.6883279999999994,1070.0,1062.0,535.0,2046.6666666666667,1275.9999999999998,204.0,191,0,0,1,48,36.0,2048.0,22761.542899999982,2532.88,3754.1636,767,1,0,128,0.08702891616319497,0.6897857992531131,0.11951236577469393,0,6249.296600000019,5129.760599999953,48,0,0.0,0,0,0,0.0,0,0.0,252814.73260000086,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,191,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8003401149677505,384,15963.919400000013,128,236850.81320000003,4,-7218.8656,4,-7700.5563999999995,2,229.65000000000236,-7724.9606,13.398930000000002,300.0,0,0,535,535,3 + interest on deposits,debt,4,-2.9103830456733704e-10
4,512,4,4,30466.9075,0.0,30738.0694,0.0,9557.534,,0.0,9557.534,0.0,0.0,0.0,0.0,0.00375,324.2358,0.0,0.0,1.0,2542.2067256469904,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7365577306490305,0.0,908.0,1.0,0.0,1.0,0,0,0,0.25825591516425134,0,263.1258241896513,3.3847261375809814,266.5105503272323,5.126871840878593,3.4006865143215075,8.5275583552001,0.0,0.0,0.0,0.0,0,0,0.0,0.0,324.2358,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,271.16189999999995,526.6027999999999,0.0,10,2142.8116999999997,975.3772999999997,4357.5786,1073.7490999999989,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1904.6105999999995,0.0,0.008211454647033802,5.454498137802605,5.432396641791015,NaN,1.4399026217228499,3.308069897792229,3.5776781599999987,1072.0,1074.0,536.0,2046.6666666666665,1278.0,204.0,192,0,0,0,50,36.0,2048.0,23609.32970000001,2035.8270000000002,4497.514999999999,766,2,0,128,0.13565706567469493,0.707123736132814,0.11908938607591013,0,6151.718200000019,5858.130999999998,50,0,0.0,0,0,0,0.0,0,0.0,343812.4930000003,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7828294366100299,384,15696.232099999994,128,328116.26089999994,4,-6983.037899999999,4,-6756.245000000001,2,264.497700000001,-9233.2982,14.202865800000003,418.1047,0,0,536,536,3 + interest on deposits,debt,4,-2.9103830456733704e-10
5,512,4,4,33057.65059999999,0.0,33351.5173,0.0,11279.6625,,0.0,11279.6625,0.0,0.0,0.0,0.0,0.00375,344.7359,0.0,0.0,1.0,2788.9316517772254,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.99609375,0.7383589202562628,0.0,897.0,1.0,0.0,1.0,0,0,0,0.2548114136646453,0,299.0433119649777,2.6325167742970277,301.6758287392747,6.561191328368565,2.7830180308361157,9.344209359204681,0.0,0.0,0.0,0.0,0,0,0.0,0.0,344.73580000000004,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,293.8666999999999,681.6203999999994,0.0,15,3673.5342999999993,1082.7912000000003,5519.018500000001,1135.0917000000015,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2068.939800000008,0.0,0.010172998298887393,5.609333393829402,5.6050554104477195,NaN,1.5710714821763594,3.4677111535132084,3.4703478152,1072.0,1102.0,536.0,2048.0,1278.0,204.0,192,0,0,1,62,53.0,2048.0,24637.105000000003,1467.5052,6608.3045,765,3,0,128,0.18704159673805476,0.7175848138770871,0.11867428170435934,0,6547.698699999986,6181.485400000001,62,0,0.0,0,0,0,0.0,0,0.0,434686.27229999955,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7719991822511474,384,15303.687100000001,128,419382.5852,4,-6582.2696,4,-5647.851299999999,2,287.5944000000005,-10934.9266,15.055037748000004,536.2094,0,0,536,536,3 + interest on deposits,debt,4,-2.9103830456733704e-10
6,512,4,4,37882.97350000001,0.0,38206.77890000001,0.0,13008.8441,,0.0,13008.8441,0.0,0.0,0.0,0.0,0.00375,306.2518,0.0,0.0,1.0,2831.146584094132,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.7373604751376657,0.0,899.0,1.0,0.0,1.0,0,0,0,0.2542932069290519,0,302.14604831509433,2.6467078392948507,304.7927561543892,8.078395514044276,2.8108324058213205,10.889227919865597,0.0,0.0,0.0,0.0,0,0,0.0,0.0,313.2178,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,323.80539999999996,855.5834999999997,0.0,20,6104.120899999999,1278.7979999999998,7336.9016999999985,1119.8833000000272,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2090.717399999999,6.966,0.00978211029304432,5.652338810198303,5.654900554528657,NaN,1.7397134078212282,3.4862163105477135,3.3662373807439994,1082.0,1059.0,541.0,2046.6666666666667,1288.0,204.0,190,0,0,1,46,43.0,2048.0,26001.424300000002,845.9326000000001,10729.3648,764,4,0,128,0.22413693982267002,0.7190694721033117,0.12571602443843966,0,6701.559900000048,5985.8268000000035,46,0,0.0,0,0,0,0.0,0,0.0,450636.6165999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7675070575626297,384,15276.24879999999,128,435360.3678000001,4,-6391.458300000001,4,-4787.057500000001,2,317.92510000000107,-12702.5923,15.958340012880004,556.0852,0,0,541,541,3 + interest on deposits,debt,4,-2.9103830456733704e-10
7,512,4,4,40314.46120000008,0.0,40692.86420000002,0.0,14797.3675,,0.0,14797.3675,0.0,0.0,0.0,0.0,0.00375,252.3195,0.0,0.0,1.0,2869.180985898306,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.7367175915229622,0.0,448.0,1.0,0.0,1.0,0,0,0,0.2564758994208064,0,311.43026274508765,2.483250388970786,313.91351313405846,9.026125871396152,2.760020949427914,11.786146820824065,0.0,0.0,0.0,0.0,0,0,0.0,0.0,304.533,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,378.4030000000001,1068.8800999999996,0.0,28,4018.4785,1586.9908000000007,5287.420899999998,1091.7732000000005,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,2123.0751999999984,52.2137,0.008983919987003142,5.624050466417908,5.634080597014941,NaN,1.934076315789475,3.5375689537919937,3.2652502593216792,1072.0,1072.0,536.0,2046.6666666666667,1278.0,204.0,192,0,0,1,55,37.0,2048.0,26908.141000000014,770.4621999999999,12383.538500000002,764,4,0,128,0.24989675563010771,0.7207381269241777,0.1370086476745842,0,6840.529899999993,6028.982099999997,55,0,0.0,0,0,0,0.0,0,0.0,466631.4555999996,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7635988178757804,384,15256.914299999988,128,451374.5413000002,4,-6219.8999,4,-3901.3743999999997,2,372.91470000000027,-14545.048,16.915840413652806,575.961,0,0,536,536,3 + interest on deposits,debt,4,-2.9103830456733704e-10
8,512,3,4,42330.52710000007,0.0,40039.9174,0.0,16584.8598,,0.0,16584.8598,0.0,0.0,0.0,0.0,0.00375,240.3686,0.0,0.0,1.0,2861.0430040537685,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.7332370583163046,0.0,419.0,0.0,0.0,1.0,0,0,0,0.25012936086930504,0,313.92350841511416,2.451157996683141,316.3746664117973,10.062191804236711,2.7260995718611665,12.788291376097877,0.0,0.0,0.0,0.0,0,0,0.0,0.0,266.12170000000003,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,421.8732,1294.5158999999996,2676.6213000000002,32,3744.6278000000007,1728.5618999999995,5762.7352,1135.5888,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,2118.6688000000013,25.7531,0.010581629409128154,5.586794183864911,5.681013543599264,NaN,1.9946448598130846,3.545867727077222,3.167292751542029,1078.0,1066.0,539.0,2046.6666666666667,1284.0,204.0,191,0,0,0,43,36.0,2048.0,27918.340899999977,709.8456,13461.972,764,2,2,128,0.27271790944531693,0.7210951221079966,0.14055525458720397,0,6895.693199999988,5955.522599999996,43,0,0.0,0,0,0,0.0,0,0.0,467568.9658999998,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,191,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7620404741879576,384,15338.690799999998,128,452230.27510000014,3,-4619.981,4,-3122.6617000000006,2,-1143.7840000000026,-16344.491199999999,17.930790838471975,575.961,0,1,404,539,3 + interest on deposits,debt,4,-2.9103830456733704e-10
9,512,3,4,43632.280100000025,0.0,41398.50158167694,0.0,18452.6425,,0.0,18452.6425,0.0,0.0,0.0,0.0,0.00375,291.0709,0.0,0.0,1.0,2887.4651613581536,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7312436863237219,2.0,421.0,3.0,0.0,1.0,0,0,0,0.2504462145026373,0,306.343010093641,2.381561181417681,308.7245712750587,11.015401385268735,2.7680947214521585,13.783496106720895,0.0,0.0,0.0,0.0,0,0,0.0,0.0,311.5459,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,442.8428000000001,1523.0600999999988,2676.6213000000002,36,3232.0373999999993,1930.2844000000007,3986.950899999999,1153.3121999999967,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2150.013400000002,20.4751,0.011782972045185953,5.569103649635037,5.8165209737827315,NaN,1.993024436090226,3.544976241970303,3.072273968995767,1068.0,1096.0,534.0,2048.0,1274.0,204.0,193,0,0,2,60,50.0,2048.0,28818.584900000005,697.2459,13825.378400000001,766,2,0,130,0.2944114455685307,0.7203459434452353,0.1417698000133807,0,6890.111899999998,6103.7376,60,0,0.0,0,0,0,0.0,0,0.0,454243.0840183232,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,193,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7598537841833615,382,15186.00900000001,130,439057.0750183231,3,-4547.6827,4,-2221.9132999999993,2,-2238.4828183230575,-18161.571600000003,19.006638288780294,556.0852,0,1,534,534,3 + interest on deposits,debt,4,-2.9103830456733704e-10
10,512,3,4,45318.140600000035,0.0,43095.49209999998,0.0,20242.0472,,0.0,20242.0472,0.0,0.0,0.0,0.0,0.00375,284.8826,0.0,0.0,1.0,2854.5255278747723,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7311564856498489,0.0,448.0,2.0,0.0,1.0,0,0,0,0.25019181942159474,0,322.1939654226186,2.360264360245209,324.5542297828638,12.248485498844662,2.716078651257108,14.964564150101772,0.0,0.0,0.0,0.0,0,0,0.0,0.0,288.2692,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,455.76580000000024,1757.8049,2676.6213000000002,37,3773.3119,2087.4513999999995,3567.4112,1151.1959000000008,0.0,0.0,0.0,0.0,0.0,0,2.0491,0.0,0.0,0.0,0.0,2119.4015000000036,3.3866,0.013391213195890973,5.550855221072431,5.9910267161410236,NaN,2.008050651769088,3.551887213202364,2.9801057499258943,1078.0,1063.0,539.0,2045.3333333333333,1283.9999999999998,204.0,190,0,0,0,49,40.0,2048.0,29882.884700000035,754.223,14394.101200000001,766,2,0,130,0.31132930457362096,0.7220012579227921,0.14468820315879505,0,6912.512200000004,5900.559099999994,49,0,0.0,0,0,0,0.0,0,0.0,474677.4248999997,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.756860337135552,382,15120.971800000007,130,459556.4530999998,3,-4315.3321,4,-1628.3748999999998,2,-2224.9116999999983,-19957.1646,20.147036586107113,581.44745,0,1,539,539,3 + interest on deposits,debt,4,-2.9103830456733704e-10
