round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,27117.65590000004,0.0,27237.224499999997,0.0,3522.6485,,0.0,3222.6485,300.0,0.0,300.0,0.0,0.00375,48.2072,0.0,0.0,1.0,3950.0011999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.741370621285794,0.0,512.0,1.0,0.0,1.0,0,0,0,0.8182047721247316,0,180.94488529411765,3.4306039215686277,184.3754892156863,1.1156254901960778,3.289188235294118,4.404813725490196,0.0,0.0,0.0,0.0,0,0,0.0,0.0,45.767,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,119.5686,122.00880000000001,0.0,3,3244.6007,528.7048000000001,4291.5608,475.5599000000045,2.4402,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3290.0,0.0,0.005,5.0,5.200000000000013,2.0,0.75,3.7291803278688764,3.920000000000001,320.0,89.0,160.0,2048.0,732.0,204.0,329,0,0,0,55,34.0,2048.0,20636.33050000002,1809.7398,3125.3872,767,1,0,128,0.03486813512468112,0.6903895760019594,0.07179086619636199,0,5711.658500000011,445.0,55,0,1.0,0,0,0,0.0,0,0.0,251024.65850000095,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,2.0,206.0,1497.9912,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,329,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.820849526534958,384,15400.471999999992,128,235624.1865000001,4,-6136.1002,4,-7220.852800000001,2,111.72859999999869,-3174.4413,11.925,300.0,0,0,160,160,6 + charge on balances,debt,6,2.9103830456733704e-11
2,512,4,4,26499.10230000001,0.0,26695.14850000001,0.0,5022.736299999999,,0.0,3061.5161,1961.220199999999,0.0,1661.2201999999995,1.125,0.00375,386.2868,0.0,0.0,1.0,2340.0011999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7402339328578547,0.0,915.0,0.0,0.0,1.0,0,0,0,0.26347929133096554,0,181.62269999999998,3.2239517647058826,184.84665176470588,1.4686978431372553,2.9482786274509807,4.416976470588236,0.0,0.0,0.0,0.0,0,0,0.0,0.0,382.2858,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,196.04620000000003,258.1754,0.0,10,86.41699999999999,704.9705999999999,5263.4132,1195.2312000000315,4.001,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1680.0,0.0,0.005469086924795374,4.909860594795525,5.500030263157897,1.8948593750000324,1.123148351648353,3.552959243085863,3.8023999999999996,912.0,1076.0,456.0,2048.0,1374.0,204.0,168,0,0,1,51,36.0,2048.0,18770.456599999983,1884.8456999999999,3851.5156,767,1,0,128,0.07032831738876699,0.6931682789752038,0.09753398812973169,0,6263.855299999965,5283.009999999985,51,0,640.0,0,0,0,0.0,0,0.0,250793.8603999998,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1212.7100000000207,256.0,1605.9976000000001,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,168,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8136726127197815,384,14908.303399999984,128,235885.55699999988,4,-5921.2343,4,-6319.3643999999995,2,188.59819999999885,-2675.2293,12.640500000000001,300.0,0,0,456,456,6 + charge on balances,debt,6,2.9103830456733704e-11
3,512,4,4,27298.690499999986,0.0,27529.56519999999,0.0,5655.7622999999985,,0.0,2900.3837,2755.378599999999,0.0,794.1584,7.353703874999989,0.00375,352.8323,0.0,0.0,1.0,1911.9734204460963,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7432651083827857,0.0,1016.0,1.0,0.0,1.0,0,0,0,0.25490276662428113,0,231.6816177620229,2.854118413110538,234.53573617513345,1.8335307527263454,2.765739840601127,4.599270593327472,0.0,0.0,0.0,0.0,0,0,0.0,0.0,348.12059999999997,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,230.87470000000008,391.63210000000004,0.0,13,1503.1853999999998,703.5972,4229.515200000001,1268.1544000000422,4.7117,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1263.8698000000004,0.0,0.00766796369674871,4.848991931096979,5.481683426443181,2.0129168749999957,1.3351727102803768,3.5078684235110793,3.6883279999999994,1074.0,1103.0,537.0,2046.6666666666665,1536.0,204.0,127,0,0,0,60,55.0,2048.0,18358.41610000002,2780.2679,4003.9548999999997,766,2,0,128,0.07763439432274599,0.7067303423044171,0.11401438912239126,0,6450.952300000001,5348.438099999968,60,0,640.0,0,0,0,0.0,0,0.0,307930.84489999944,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1288.2667999999974,256.0,1803.2193,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,127,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8004819196351771,384,14359.351499999997,128,293571.49340000004,4,-5727.9846,4,-5991.565100000001,2,223.81869999999847,-2547.5514,13.398930000000002,374.62964999999997,0,0,537,537,6 + charge on balances,debt,6,2.9103830456733704e-11
4,512,4,4,26989.657600000002,0.0,27244.912200000006,0.0,6317.788499999999,,0.0,2739.2513,3578.5371999999993,0.0,823.1586,10.33160649999999,0.00375,412.0392,0.0,0.0,1.0,1895.8463827934631,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.7453374564938757,0.0,771.0,2.0,0.0,1.0,0,0,0,0.253992594267624,0,307.8396215930137,2.547756353392232,310.38737794640593,3.029559548183907,2.540013082345989,5.569572630529896,0.0,0.0,0.0,0.0,0,0,0.0,0.0,406.8299,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,255.2546000000001,532.8504999999998,0.0,26,472.5538000000001,781.5867000000002,4724.559900000001,1317.861699999977,5.2093,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1255.7810000000002,0.0,0.009156840527750624,5.491853759398496,5.414988354898335,2.1544510937499988,1.4314446927374285,3.4134390770109055,3.5776781599999987,1082.0,1064.0,541.0,2048.0,1544.0,204.0,126,0,0,2,59,38.0,2048.0,17872.27179999999,1697.774,4630.4619999999995,764,4,0,128,0.11762193064132442,0.7198224449196406,0.11965292107925607,0,6388.992600000021,5843.332399999999,59,0,640.0,0,0,0,0.0,0,0.0,396840.22900000046,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1378.8486999999993,256.0,2377.1106,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7863443950640423,384,13246.515600000004,128,383593.7134,4,-5388.7614,4,-5189.698,2,248.59060000000022,-2327.2120999999997,14.202865800000003,491.66420000000005,0,0,541,541,6 + charge on balances,debt,6,2.9103830456733704e-11
5,512,4,4,30314.685599999953,0.0,30581.234700000005,0.0,7156.162399999999,,0.0,2578.1189,4578.043499999999,0.0,999.5063,13.418251249999992,0.00375,379.3637,0.0,0.0,1.0,2132.9443394922214,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9934895833333334,0.7448393124630517,0.0,665.0,1.0,0.0,1.0,0,0,0,0.2568874856597312,0,295.2254283276749,2.2162833270530737,297.44171165472795,2.570887152693629,2.242287618311099,4.813174771004728,0.0,0.0,0.0,0.0,0,0,0.0,0.0,370.57499999999993,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,266.5491000000001,673.8353999999998,0.0,58,4124.166800000001,799.1388,5456.2411999999995,1289.00990000002,8.7887,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1408.0193000000002,0.0,0.009729767924282411,5.659564546304958,5.563746025878025,2.2341834375000014,1.5596309701492526,3.4669257490542553,3.4703478151999994,1082.0,1069.0,541.0,2045.3333333333335,1508.0000000000002,204.0,134,0,0,2,58,27.0,2048.0,17719.268699999997,1112.0001,9043.920600000001,763,5,0,128,0.10671016298638536,0.7231031805650832,0.11990156049151102,0,6562.458800000002,6050.074500000001,58,0,320.0,0,0,0,0.0,0,0.0,429085.0756999996,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,714.9387000000005,220.0,2060.1325,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,134,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7800099452461544,384,12847.493900000003,128,416237.58180000004,4,-5066.527,4,-4236.0274,2,260.2771000000002,-2198.7552,15.055037748000004,534.0691,0,0,541,541,6 + charge on balances,debt,6,2.9103830456733704e-11
6,512,4,4,32174.88469999993,0.0,32480.995900000005,0.0,8567.908599999999,,0.0,2416.9865,6150.922099999999,0.0,1572.8786,17.166529249999993,0.00375,327.9779,0.0,0.0,1.0,2622.9648754583527,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9921875,0.7454133126014191,0.0,664.0,1.0,0.0,1.0,0,0,0,0.2584339858392336,0,287.1090118363621,1.9291196984595875,289.0381315348217,2.964915108588704,2.1077737120848514,5.072688820673556,0.0,0.0,0.0,0.0,0,0,0.0,0.0,348.2444,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,306.11120000000005,849.8291000000003,0.0,93,2893.6709999999994,1033.4718999999996,4911.165399999999,1189.8869000000057,9.012,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1875.8971999999976,29.2785,0.008946644827134004,5.659383951762524,5.66628648148147,2.251521761658031,1.7251258426966274,3.511314691978772,5.186706281812873,1080.0,1078.0,540.0,2045.3333333333333,1374.0,204.0,167,0,0,0,49,32.0,2048.0,18436.65649999998,520.3581,11875.4809,762,6,0,128,0.12112586018723404,0.7239339462347676,0.12175022765903432,1,6759.752599999984,6100.8159000000005,49,0,193.0,0,0,0,0.0,0,0.0,429368.7385,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,434.54370000000006,88.0,1014.4113,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,167,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7760091086744016,384,12672.293400000011,128,416696.4451,4,-4920.1793,4,-3291.7266000000004,2,300.2311999999994,-2089.0086,15.958340012880004,534.0691,0,0,540,540,6 + charge on balances,debt,6,2.9103830456733704e-11
7,512,3,4,32803.58019999996,0.0,30725.524100000013,0.0,10039.666599999999,,0.0,2255.8541,7783.812499999998,0.0,1632.8903999999998,23.064809749999995,0.00375,304.0677,0.0,0.0,1.0,2674.632757488165,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9908854166666666,0.741471780878173,0.0,664.0,1.0,0.0,1.0,0,0,0,0.259274406883493,0,287.6356939672192,1.9260689535113542,289.56176292073053,2.63259201824747,2.1759516907482843,4.808543708995755,0.0,0.0,0.0,0.0,0,0,0.0,0.0,307.62530000000004,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,340.9102999999999,1037.2950000000008,2385.1348,112,1765.6825999999999,1136.9870999999994,3806.392200000001,1214.1174000000005,13.4589,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,1927.5967999999998,17.0165,0.01005236504186583,5.643892350746271,5.631953817504637,2.2035414285714277,1.9181162264150957,3.5595400891734936,5.227311186029244,1074.0,1072.0,537.0,2048.0,1364.0,204.0,171,0,0,2,50,32.0,2048.0,17969.755699999972,123.9153,13549.852200000001,761,5,2,128,0.09626233835334275,0.7243834547287362,0.13132260877554902,0,6918.639000000002,6050.2526000000025,50,0,210.0,0,0,0,0.0,0,0.0,429567.26540000015,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,462.74369999999976,84.0,855.9893,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,171,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7701994849282223,384,12626.878299999997,128,416940.38710000017,3,-3277.7713999999996,4,-2407.6541000000007,2,-1015.4059999999996,-1951.7864,16.915840413652806,534.0691,0,1,403,537,6 + charge on balances,debt,6,2.9103830456733704e-11
8,512,3,4,32845.528599999925,0.0,30813.255840413636,0.0,11627.281200000001,,0.0,2094.7217,9532.559500000001,0.0,1748.7470000000003,29.18732137499998,0.00375,290.9671,0.0,0.0,1.0,2743.4662767548225,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0.9934895833333334,0.7403888088819435,2.0,409.0,2.0,0.0,1.0,0,0,0,0.25035963556928975,0,245.44472846067444,1.7180937678989643,247.1628222285734,1.9192306832565214,2.0978785994787037,4.017109282735225,0.0,0.0,0.0,0.0,0,0,0.0,0.0,331.70090000000005,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,369.77779999999973,1223.960500000003,2385.1348,122,1218.8915999999997,1176.9432000000006,3017.495099999999,1183.2207999999996,9.256,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1998.474600000001,49.9898,0.012319260571258005,5.612998540145984,5.755349067164191,2.195201360544219,2.0045815442561223,3.568030060058715,5.0704918504483665,1072.0,1096.0,536.0,2045.3333333333333,1337.0000000000002,204.0,177,0,0,1,54,51.0,2048.0,17440.497400000004,119.9932,14412.9602,763,5,0,129,0.07368889849311988,0.720810767637637,0.13623458117892384,3,6958.125100000007,6151.8463999999985,54,0,147.0,0,0,0,0.0,0,0.0,366388.1596595866,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,322.69460000000015,59.0,581.1107,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,177,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7756272862406761,383,12538.7438,129,353849.41585958644,3,-3587.3277000000003,4,-1485.6565,2,-2037.3688595863448,-1803.7546,17.930790838471975,449.2593,0,1,536,536,6 + charge on balances,debt,6,2.9103830456733704e-11
9,512,2,4,32300.33269999998,0.0,28013.391899999988,0.0,13236.37130000001,,0.0,1933.5893,11302.78200000001,0.0,1770.2225000000003,35.744435249999995,0.00375,258.4078,0.0,0.0,1.0,2770.7928009310367,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9934895833333334,0.736254347914171,0.0,410.0,0.0,0.0,1.0,0,0,0,0.2508151407042705,0,247.35815200164313,1.8113938401501388,249.1695458417933,1.6457297049523725,2.2890980337284135,3.934827738680786,0.0,0.0,0.0,0.0,0,0,0.0,0.0,253.7393,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,372.48789999999985,1415.8824000000018,4603.6539,146,704.7330999999999,1249.9289999999978,1590.9730000000004,1175.3652,8.6522,0.0,0.0,0.0,0.0,1,0.9613,0.0,0.0,0.0,0.0,2029.8760000000032,3.9837,0.013702673579797927,5.59054582933845,5.902186802973933,2.202977570093458,2.007078048780489,3.554729514942834,5.149139985677307,1076.0,1043.0,538.0,2046.6666666666665,1325.0,204.0,180,0,0,2,46,26.0,2048.0,16938.659599999977,129.7862,14578.757400000002,763,3,2,129,0.0764152947737522,0.7208126368917933,0.13795039592289848,0,6942.699599999989,5830.939300000004,46,0,107.0,0,0,0,0.0,0,0.0,367278.453,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,235.7186,43.0,393.7604,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,180,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7705475776903625,383,12651.933099999997,129,354626.5199000002,2,-2086.3159,4,-918.344599999999,2,-3392.165,-1675.1815000000001,19.006638288780294,449.2593,0,2,359,538,6 + charge on balances,debt,6,2.9103830456733704e-11
10,512,2,4,32120.845400000027,0.0,27856.91007657759,0.0,14884.384400000006,,0.0,1902.4346,12981.949800000006,0.0,1679.1678000000018,42.37972299999999,0.00375,332.4297,0.0,0.0,1.0,2735.897349985919,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9934895833333334,0.7285491455014359,2.0,934.0,2.0,0.0,1.0,0,0,0,0.25022302119377166,0,178.9756138511128,1.703802380821337,180.6794162319341,1.6746147997183245,2.108234460881564,3.7828492605998885,0.0,0.0,0.0,0.0,0,0,0.0,0.0,324.6045,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,358.32590000000016,1594.5631000000026,4603.6539,186,1019.6627000000013,1199.15,979.5483000000007,1213.961199999999,7.825200000000001,0.0,0.0,0.0,0.0,0,0.9555,0.0,0.0,0.0,0.0,1997.9494000000032,0.0,0.015,5.580265625000006,5.967010299625471,2.2411159722222225,2.021105293005671,3.589472609714213,4.994665786106988,1068.0,1088.0,534.0,2045.3333333333333,1331.9999999999998,204.0,178,0,0,3,50,43.0,2048.0,16346.757999999985,238.95,14757.0314,763,5,0,129,0.07639065172835036,0.7107823770261859,0.1399712914571578,2,6970.741399999985,6071.329000000007,50,0,144.0,0,0,0,0.0,0,0.0,266909.67710000003,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,322.7207,58.0,444.7208,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,178,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7759898962176695,383,12681.2872,129,254228.38989999998,2,-1708.3802765775608,4,-164.2687000000001,2,-4267.291923422439,-1570.0049,20.147036586107113,316.9366,0,2,534,534,6 + charge on balances,debt,6,2.9103830456733704e-11
