round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,26739.966100000005,0.0,718.4603000000001,718.4603,561.0,,561.0,0.0,0.0,0.0,0.0,0.0,0.0025,120.841,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7257646077387643,0.0,672.0,1.0,0.0,1.0,0,0,6,0.8182047721247316,512,424.3388548311694,3.731307320803862,428.07016215197325,6.924303921568628,1.8625368627450978,8.786840784313727,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,48,2560.0,245.31389999999993,718.4603,122.04609999999978,0.0,0.0,0.0,0.0,0.0,0,258.1752,2560.0,245.31389999999993,122.04609999999978,274.0,0.0,0.0,0.0,5.0,5.200000000000013,2.0,0.75,3.594822888283399,3.9200000000000013,320.0,89.0,160.0,2048.0,734.0,204.0,328,0,0,0,55,34.0,2048.0,17920.591799999987,1964.0843,3622.5240000000003,767,1,0,128,0.19638721986586982,0.7257646077387643,0.6557469969246883,6,5253.092499999997,445.0,55,0,520.0,0,0,0,0.0,0,0.0,543536.6515724846,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1040.0,208.0,2853.7497999999996,4,103.338,103.40960000000263,0.6769840513908223,5120.0,73.7890625,0.14189685546875,304,0,0.0,0,5494.891075198673,3778.0,299,0.4841145833333333,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,6,6,4081.2867,3072,600.0,600.0,8.1402,1370.3425000000002,788.0565000000001,582.2860000000003,48.465999999999994,54.872,10053.481000000007,4359.0714,0.7325019460587265,384,17593.89934510868,128,525942.7522273748,4,0.0,4,10.5,2,258.1752,-440.159,11.925,660.4,0,0,160,160,9 co-ops (side rung),sumsy,6,-1.4551915228366852e-11
2,512,4,4,29005.523700000078,0.0,4912.911100000004,4202.3238,1001.159,,1001.159,0.0,0.0,0.0,0.0,0.0,0.0025,144.0279,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7282970153432993,0.0,966.0,0.0,0.0,1.0,0,0,6,0.26297833086883815,512,438.52316240737963,3.236615963733313,441.75977837111293,6.6661368627450965,2.1100574509803924,8.776194313725489,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-1.5745999999999996,0.0,48,2560.0,294.44239999999945,4202.3238,146.15590000000026,0.0,0.0,0.0,0.0,0.0,2,396.1314,2560.0,294.44239999999945,146.15590000000026,274.0,0.0,0.0,0.015,4.910057620817829,5.488576043956067,2.2272975000000006,1.1233645374449353,3.5557556701030615,19.739306944444444,910.0,1076.0,455.0,2048.0,1164.0,204.0,221,0,0,1,51,36.0,2048.0,17713.326999999972,3286.6495999999997,6638.2156,767,1,0,128,0.1980347859605227,0.7282970153432993,0.46214542019893523,1,7146.4519999999775,5283.221999999984,51,0,120.0,0,0,0,0.0,0,0.0,551433.5044079564,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,267.2757000000001,48.0,827.1722,4,37.2319,37.21900000000053,0.6920331610662788,5120.0,62.649739583333336,0.14271488606770835,322,0,0.0,0,3328.8105858479234,3207.6666666666665,391,0.8560807388244042,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,221,0.0,6,6,4810.336700000001,3072,600.0,600.0,552.2996,8010.751285013698,4484.2364111717,3526.5148738419985,6.4125000000000005,30.8194,12788.749099999983,5941.700699999999,0.7337230917950506,384,17948.999675525974,128,533484.50473243,4,0.0,4,9.975000000000023,2,396.1314,-857.1311000000001,12.640500000000001,660.4,0,0,455,455,9 co-ops (side rung),sumsy,6,-1.4551915228366852e-11
3,512,4,4,31225.84969999997,0.0,8065.5178999999935,3348.5881999999992,1408.0382000000002,,1408.0382000000002,0.0,0.0,0.0,0.0,0.0,0.0025,165.8825,0.0,0.0,1.0,550.9070999999999,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7316548808716739,0.0,1048.0,1.0,0.0,1.0,0,0,6,0.25472095799294014,512,644.5667242315039,3.773466072866153,648.34019030437,4.69754281183184,2.1809182581327575,6.878461069964597,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-40.6932,0.0,49,2560.0,339.6739999999998,4563.2543,168.5193000000001,0.0,0.0,0.0,0.0,0.0,3,97.17599999999999,2560.0,339.6739999999998,168.5193000000001,274.0,0.0,0.0,0.015,4.817373297002708,5.4787648044692405,2.3759807692307695,1.3349233208955202,3.480736282190512,19.14712773611111,1074.0,1101.0,537.0,2046.6666666666665,1322.0,204.0,180,0,0,1,60,54.0,2048.0,17721.670700000028,4696.0611,7995.470000000001,767,1,0,128,0.16675849531667986,0.7316548808716739,0.3926977290864728,0,7815.030200000006,5303.927999999981,60,0,104.0,0,0,0,0.0,0,0.0,802507.8337479351,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,247.10200000000003,42.0,549.5894,4,13.1684,13.123399999999815,0.8958274820291318,5120.0,51.015625,0.13511695963541667,144,0,0.0,0,939.3241593852099,2612.0,398,0.7795083629232668,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,180,0.0,6,6,6979.657700000001,3072,600.0,600.0,1050.7912999999999,9416.94994570908,4392.977700736951,5023.972244972129,8.0327,5.1357,13731.773700000009,6261.4628,0.7372858111154892,384,23055.30146715607,128,779452.5322807784,4,0.0,4,9.450000000000045,2,493.30740000000003,-1242.1557000000003,13.398930000000002,975.98065,0,0,537,537,9 co-ops (side rung),sumsy,6,-1.4551915228366852e-11
4,512,4,4,33402.854399999946,0.0,10886.4363,3163.9854999999993,1782.6639,,1782.6639,0.0,0.0,0.0,0.0,0.0,0.0025,187.0302,0.0,0.0,1.0,540.5082000000004,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7371850098511084,0.0,1052.0,2.0,0.0,1.0,0,0,6,0.2538940686371752,512,1012.7752172113554,4.239742033535029,1017.0149592448905,3.2102573102979868,2.261382470856014,5.471639781154001,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-107.26872500000005,0.0,55,2560.0,382.99530000000016,6781.470300000003,190.00710000000018,0.0,0.0,0.0,0.0,0.0,5,262.0043,2560.0,382.99530000000016,190.00710000000018,274.0,0.0,0.0,0.015,5.462223098591546,5.420186136783733,2.4942170157067993,1.4304716141001825,3.284972022153903,18.572713904027776,1082.0,1065.0,541.0,2046.6666666666667,1441.0,204.0,151,0,0,2,58,39.0,2048.0,17874.191499999983,4366.0969,9809.9289,766,2,0,128,0.1343719841621045,0.7371850098511084,0.3483861589420072,0,8000.971699999996,5817.2675999999965,58,0,382.0,0,0,0,0.0,0,0.0,1.243303728647934e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,952.7908999999974,153.0,903.6026,4,0.0,0.0,0.8958274820291318,5120.0,51.015625,0.15654361979166667,0,0,0.0,0,0.0,2612.0,398,1.1386208507890065,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,151,0.0,6,6,7080.4186,3072,600.0,600.0,1350.8951000000002,8875.115352982853,4922.837121949331,3952.2782310335238,0.0,0.0,13777.957500000011,7999.2098000000005,0.7431428153664119,384,24105.494804656082,128,1.2191982338432793e6,4,0.0,4,8.924999999999955,2,735.5051,-1595.6337,14.202865800000003,1547.6828,0,0,541,541,9 co-ops (side rung),sumsy,6,-1.4551915228366852e-11
5,512,4,4,35538.82390000003,0.0,14644.568000000005,4240.666699999999,2208.4956,,2208.4956,0.0,0.0,0.0,0.0,0.0,0.0025,206.7484,0.0,0.0,1.0,612.8619,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.99609375,0.7360941861715822,0.0,1049.0,1.0,0.0,1.0,0,0,6,0.25732623381762676,512,842.186989207204,3.849087980118069,846.036077187322,2.2437659133989314,2.0363065703379575,4.280072483736889,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-198.30552500000016,0.0,56,2560.0,424.03049999999985,4431.652700000001,210.25760000000068,0.0,0.0,0.0,0.0,0.0,8,197.2492,2560.0,424.03049999999985,210.25760000000068,274.0,0.0,0.0,0.015,5.617880169172929,5.623941959334554,2.638645220588239,1.5575572490706338,3.3845924955701836,18.01553248690694,1082.0,1064.0,541.0,2045.3333333333333,1505.9999999999998,204.0,134,0,0,3,57,25.0,2048.0,16908.140199999973,4248.7333,12573.8589,765,3,0,128,0.0937377376464057,0.7360941861715822,0.3157280548802901,0,8454.516000000001,5977.424499999996,57,0,544.0,0,0,0,0.0,0,0.0,1.172387186347933e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1435.423000000002,218.0,1404.0939,4,0.0,0.0,0.8958274820291318,5120.0,51.015625,0.19539361979166667,0,0,0.0,0,0.0,2612.0,398,1.6856896218863102,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,134,0.0,6,6,8259.296999999999,3072,600.0,600.0,1803.0236999999988,5703.3223160848165,3735.693026801657,1967.6292892831584,0.0,0.0,13251.876399999985,9967.3891,0.7419962295314146,384,24577.73565465607,128,1.1478094506932788e6,4,0.0,4,8.400000000000091,2,908.0889,-2001.7472000000002,15.055037748000004,1453.6839,0,0,541,541,9 co-ops (side rung),sumsy,6,-1.4551915228366852e-11
6,512,4,4,37626.026600000005,0.0,17412.088899999995,3440.5253000000016,2632.0716,,2632.0716,0.0,0.0,0.0,0.0,0.0,0.0025,230.7952,0.0,0.0,1.0,630.3244,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.7371793422904298,0.0,1046.0,1.0,0.0,1.0,0,0,6,0.25862116092264276,512,917.9871158440437,3.695373951514064,921.6824897955578,3.2533644745570722,1.8337975520537786,5.087162026610851,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-322.61922499999974,0.0,57,2560.0,472.7973000000006,4090.0404000000017,234.53059999999996,0.0,0.0,0.0,0.0,0.0,10,253.97140000000002,2560.0,472.7973000000006,234.53059999999996,274.0,0.0,0.0,0.015,5.617824861367838,5.6153656771799785,2.6980953642384113,1.7197682242990657,3.234453622043098,17.47506651229973,1078.0,1082.0,539.0,2044.0,1345.0,204.0,174,0,0,0,50,33.0,2048.0,18504.496999999996,3840.1483000000003,14022.4515,764,4,0,128,0.14456936892235506,0.7371793422904298,0.42194461872509503,1,7750.852200000013,6078.486500000001,50,0,151.0,0,0,0,0.0,0,0.0,1.312037196416346e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,407.4124000000001,61.0,774.1632,4,21.441,21.411199999999933,1.0247860356883216,5120.0,51.022135416666664,0.20653387369791665,12,0,0.0,0,54.52160745642392,2612.3333333333335,398,1.8346741948026783,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,174,0.0,6,6,9774.179900000001,3072,600.0,600.0,2480.0865999999996,4695.656550665162,1927.1461016318995,2768.5104490332624,10.987200000000001,10.4538,14369.164699999994,8862.5831,0.7429791333699176,384,26068.967129749824,128,1.2859682292865955e6,4,0.0,4,7.875,2,1124.2947,-2401.2764,15.958340012880004,1628.7441,0,0,539,539,9 co-ops (side rung),sumsy,6,-1.4551915228366852e-11
7,512,4,4,39669.975500000015,0.0,18033.11669999999,1445.1523000000002,3031.5956,,3031.5956,0.0,0.0,0.0,0.0,0.0,0.0025,252.6807,0.0,0.0,1.0,630.3191999999996,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9934895833333334,0.737194222571675,0.0,911.0,1.0,0.0,1.0,0,0,6,0.2587731816662954,512,967.0444193951814,3.745156071354679,970.789575466536,5.825285608095201,1.6416651430917744,7.4669507511869755,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-470.420524999999,0.0,60,2560.0,516.0510999999995,2247.152900000001,256.2438999999999,0.0,0.0,0.0,0.0,0.0,12,491.44820000000004,2560.0,516.0510999999995,256.2438999999999,274.0,0.0,0.0,0.015,5.572990205223886,5.594209310987001,2.7662384393063615,1.9136509398496246,3.2913492948875276,16.95081451693074,1074.0,1072.0,537.0,2048.0,1419.0,204.0,157,0,0,1,50,32.0,2048.0,20993.42529999996,2196.0348,14594.0328,763,5,0,128,0.22160246378310489,0.737194222571675,0.42370205311058884,0,8115.872000000007,5974.245500000005,50,0,346.0,0,0,0,0.0,0,0.0,1.3701469144309836e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,957.1185000000011,139.0,1142.3537,4,95.9172,95.9542,1.5302831292638064,5120.0,51.015625,0.22258578450520836,18,0,0.0,0,70.72012388337711,2612.0,396,1.8296712735737508,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,157,0.0,6,6,8904.9764,3072,600.0,600.0,3174.762699999999,6170.994713136873,3313.6316906271763,2857.3630225096967,70.30969999999999,25.6075,15700.240199999998,9027.4449,0.7429639361409694,384,30082.822906442037,128,1.3400640915245423e6,4,0.0,4,7.349999999999909,2,1314.1435000000001,-2778.9149,16.915840413652806,1681.7722,0,0,537,537,9 co-ops (side rung),sumsy,6,-1.4551915228366852e-11
8,512,4,4,41671.320300000014,0.0,18353.186699999995,1196.3814000000004,3404.2055,,3404.2055,0.0,0.0,0.0,0.0,0.0,0.0025,273.9712,0.0,0.0,1.0,625.2905999999998,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9934895833333334,0.7372310922260645,0.0,512.0,0.0,0.0,1.0,0,0,6,0.255817431978654,512,973.2231511160322,3.4216520652154476,976.6448031812477,7.219377412529798,1.5663835525667753,8.785760965096573,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-620.4193249999979,0.0,66,2560.0,558.6551999999997,4032.5081,277.54240000000004,0.0,0.0,0.0,0.0,0.0,13,201.7834,2560.0,558.6551999999997,277.54240000000004,274.0,0.0,0.0,0.015,5.5219898814949895,5.608651492537316,2.8235738589211636,1.981057438794728,3.3845122372712617,16.44229008142282,1072.0,1097.0,536.0,2046.6666666666665,1471.0,204.0,143,0,0,0,54,51.0,2048.0,22432.788099999998,2227.0166999999997,14891.3601,763,5,0,128,0.2590422883317811,0.7372310922260645,0.4202913712165486,2,8426.498,6057.622900000003,54,0,482.0,0,0,0,0.0,0,0.0,1.3692734967095307e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1360.962600000001,193.0,1644.4008,4,118.214,118.20100000000025,1.4614741539561296,5120.0,51.015625,0.2517740299479167,27,0,0.0,0,222.0320241760144,2612.0,394,2.0258468274101262,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,143,0.0,6,6,9164.624699999998,3072,600.0,600.0,3643.799499999999,6424.0701787587805,3485.7034335409408,2938.3667452178393,66.2135,52.0005,16530.773799999988,9598.152900000001,0.7428870395074911,384,29913.435030151064,128,1.3393600616793812e6,4,0.0,4,250.7244999999998,2,1402.4940000000001,-3130.2343,17.930790838471975,1681.7722,0,0,536,536,9 co-ops (side rung),sumsy,6,-1.4551915228366852e-11
9,512,4,4,43634.72830000003,0.0,18620.058799999984,1182.6582,3749.8026999999997,,3749.8026999999997,0.0,0.0,0.0,0.0,0.0,0.0025,292.8291,0.0,0.0,1.0,619.5684,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9934895833333334,0.7374941751950361,0.0,512.0,0.0,0.0,1.0,0,0,6,0.2576653561293893,512,988.2911312271318,3.3282974818389146,991.6194287089706,7.484685011912999,1.6341333180088717,9.11881832992187,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-769.5985249999991,0.0,69,2560.0,596.5919999999996,3172.740600000001,296.47390000000024,0.0,0.0,0.0,0.0,0.0,20,385.7762,2560.0,596.5919999999996,296.47390000000024,274.0,0.0,0.0,0.015,5.474209779482256,5.57483988868278,2.943862845849802,1.9754018726591767,3.279351220379099,15.949021378980133,1078.0,1043.0,539.0,2048.0,1487.0,204.0,140,0,0,1,45,26.0,2048.0,23499.008999999984,2266.6035,15024.698600000002,763,5,0,128,0.267185595431652,0.7374941751950361,0.40214692390296647,2,8307.445399999991,5709.600799999993,45,0,506.0,0,0,0,0.0,0,0.0,1.3738804159443034e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1489.5946,203.0,2165.8119,4,132.3551,132.33410000000046,1.5730844122494785,5120.0,51.015625,0.2822532877604167,21,0,0.0,0,210.2976660606259,2612.0,394,2.2386618576889616,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,140,0.0,6,6,9248.593200000001,3072,600.0,600.0,4108.192399999999,6589.497712361868,3683.353648185926,2906.144064175943,46.5097,85.84540000000001,17584.207100000007,10208.5208,0.7430321142580658,384,30581.5534018758,128,1.343298862542428e6,4,0.0,4,324.27310000000034,2,1620.6355000000003,-3456.9736,19.006638288780294,1681.7722,0,0,539,539,9 co-ops (side rung),sumsy,6,-1.4551915228366852e-11
10,512,4,4,45559.37599999999,0.0,18780.980100000023,1120.2736000000004,4071.1819,,4071.1819,0.0,0.0,0.0,0.0,0.0,0.0025,312.3424,0.0,0.0,1.0,614.2083,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9921875,0.7375029793049406,0.0,510.0,0.0,0.0,1.0,0,0,6,0.2581495122703914,512,1003.636347608191,3.3941925039476,1007.0305401121386,9.271151361645567,1.7313466753656597,11.002498037011227,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-918.2855500000028,0.0,72,2560.0,635.3523000000001,3064.4851,315.8980999999998,0.0,0.0,0.0,0.0,0.0,18,482.9062,2560.0,635.3523000000001,315.8980999999998,274.0,0.0,0.0,0.015,5.41389056776557,5.726427153558051,2.9449579335793294,1.9587873106060603,3.327630094293193,15.47055073761073,1068.0,1092.0,534.0,2046.6666666666667,1491.0000000000002,204.0,138,0,0,0,51,43.0,2048.0,25347.52370000001,1649.8391000000001,15112.5867,762,6,0,128,0.3034797069296036,0.7375029793049406,0.4092224376245277,1,8334.240799999992,5911.968500000003,51,0,542.0,0,0,0,0.0,0,0.0,1.378862815316911e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1596.1671999999965,217.0,2654.1779,4,221.8861,221.87939999999926,1.717756758362994,5120.0,51.015625,0.32858027669270834,25,0,0.0,0,165.03729943525062,2612.0,393,2.3492066468648094,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,138,0.0,6,6,9792.6449,3072,600.0,600.0,4500.704999999999,6768.275355047317,3310.9153868027734,3457.359968244544,106.9128,114.97330000000001,18810.9995,9623.9588,0.7428694482177329,384,31919.53332339024,128,1.346943281993521e6,4,0.0,4,583.2679000000003,2,1743.0418000000004,-3758.8395,20.147036586107113,1681.7722,0,0,534,534,9 co-ops (side rung),sumsy,6,-1.4551915228366852e-11
