round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,26744.42390000003,0.0,3301.9901000000004,3301.9901,2816.0,,2816.0,0.0,0.0,0.0,0.0,0.0,0.0025,118.6028,0.0,0.0,1.0,2816.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7310289773175689,0.0,672.0,1.0,0.0,1.0,0,0,0,0.8182047721247316,397,435.71208331130066,2.8783521464715465,438.59043545777223,6.716329411764706,2.300595098039216,9.016924509803921,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,48,2560.0,240.85609999999997,3301.9901,119.81959999999995,0.0,0.0,0.0,0.0,0.0,0,258.1752,2560.0,240.85609999999997,119.81959999999995,274.0,0.0,0.0,0.0,5.0,5.200000000000013,2.0,0.75,3.1490347490347586,3.9200000000000013,320.0,89.0,160.0,2048.0,1554.0,1024.0,123,0,0,0,56,33.0,2048.0,18160.887000000024,1884.1183,3759.0702,767,1,0,128,0.18664136959038724,0.7310289773175689,0.30783560078722694,1,7507.7455,445.0,56,0,520.0,0,0,0,0.0,0,0.0,546983.324888913,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1040.0,208.0,2563.5704,4,31.144000000000005,31.143999999999984,0.5544304628602809,5120.0,80.1806640625,0.1376677864583333,372,0,0.0,0,6112.310202398831,4105.25,359,0.5328552484687872,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,123,0.0,0,12,0.0,0,0.0,1200.0,29.14,977.1698000000006,0.0,977.1698000000006,0.0,31.144000000000005,12720.07720000001,8206.758899999999,0.7366388034321398,384,15563.689816922097,128,531419.6350719904,4,300.0,4,100.0,2,258.1752,-2697.3972,11.925,660.4,0,0,160,160,"G8-50 step 8, public employment 50 %",sumsy,5,-2.0372681319713593e-10
2,512,4,4,29020.64139999999,0.0,8741.0059,5463.315300000001,5513.397199999999,,5513.397199999999,0.0,0.0,0.0,0.0,0.0,0.0025,138.94,0.0,0.0,1.0,2816.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7352636354061126,0.0,967.0,1.0,0.0,1.0,0,0,0,0.2639066612569312,436,605.6660571189077,3.4969592980087945,609.1630164169165,6.9839537254901956,2.7130582352941177,9.697011960784312,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-4.859899999999999,0.0,48,2560.0,283.78250000000025,5463.315300000001,140.90800000000044,0.0,0.0,0.0,0.0,0.0,384,150.5566,2560.0,283.78250000000025,140.90800000000044,274.0,0.0,0.0,0.015,4.909692737430153,5.473070394736832,2.1857144329896903,1.127477362637362,3.2588822964086916,21.87810574074074,912.0,1074.0,456.0,2048.0,1977.0,1024.0,17,0,0,1,52,32.0,2048.0,18946.65539999999,2680.5598,6713.641799999999,767,1,0,128,0.1939353741714691,0.7352636354061126,0.15393835149672497,0,9438.844299999993,5273.009999999985,52,0,97.0,0,0,0,0.0,0,0.0,752224.790809289,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,212.01429999999996,39.0,390.28779999999995,4,3.7689999999999997,3.7687000000000013,0.6048391974470524,5120.0,70.02278645833333,0.12469121256510417,523,0,0.0,0,5549.261131787757,3585.1666666666665,416,0.7159129193202686,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,17,0.0,0,12,0.0,0,0.0,1200.0,177.97600000000003,7361.157473359119,0.0,7361.157473359119,0.0,3.7689999999999997,13547.624199999993,9784.4894,0.7403223254784022,384,17978.200995749037,128,734246.5898135399,4,300.0,4,100.0,2,405.3691,-5374.4572,12.640500000000001,908.7545,0,0,456,456,"G8-50 step 8, public employment 50 %",sumsy,5,-2.0372681319713593e-10
3,512,4,4,31250.731800000052,0.0,15250.150500000012,6671.739500000002,7806.549899999999,,7806.549899999999,0.0,0.0,0.0,0.0,0.0,0.0025,160.9701,0.0,0.0,1.0,2432.0927000000097,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7362876905551696,0.0,1049.0,1.0,0.0,1.0,0,0,0,0.2583304667785701,436,775.9381468475392,4.298934890745614,780.2370817382847,4.422883903679539,2.917982212860461,7.340866116539999,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-37.13672499999999,0.0,51,2560.0,329.9096000000007,6814.693500000002,163.6247999999995,0.0,0.0,0.0,0.0,0.0,389,213.8321,2560.0,329.9096000000007,163.6247999999995,274.0,0.0,0.0,0.015,4.806682451253461,5.460715985130121,2.3443845238095213,1.3376479477611936,3.25288082688842,21.221762568518518,1076.0,1077.0,538.0,2046.6666666666667,2046.6666666666667,900.6666666666667,0,0,0,3,52,36.0,2048.0,17734.792600000023,2405.0514,10256.282299999999,766,2,0,128,0.1365399240567171,0.7362876905551696,0.1379912207474252,0,9882.642200000008,5176.796999999977,52,0,168.0,0,0,0,0.0,0,0.0,947424.2212395163,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,393.8565999999996,68.0,479.8033,4,0.0,0.0,0.6729358778323203,5120.0,64.28873697916667,0.13398582194010417,373,0,0.0,0,2804.7610114440927,3291.5833333333335,427,0.7569512258097717,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,12,0.0,0,0.0,1200.0,219.77880000000002,8696.631121676579,0.0,8696.631121676579,0.0,0.0,14368.064500000013,13141.136999999999,0.741556637979121,384,21028.01028417408,128,926396.2109553422,4,300.0,4,100.0,2,606.4605999999999,-7645.5797999999995,13.398930000000002,1149.0052,0,0,538,538,"G8-50 step 8, public employment 50 %",sumsy,5,-2.0372681319713593e-10
4,512,4,4,33431.98419999998,0.0,19080.483000000007,4211.8568000000005,9982.588500000018,,9982.588500000018,0.0,0.0,0.0,0.0,0.0,0.0025,184.7717,0.0,0.0,1.0,2337.0086999999935,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.735001525079169,0.0,1046.0,0.0,0.0,1.0,0,0,0,0.2583177570093458,437,802.2974777340147,4.929307057616655,807.2267847916313,5.237922343964947,2.9705238177651863,8.208446161730134,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-111.57332500000015,0.0,53,2560.0,378.74759999999986,4314.6637,187.8401000000002,0.0,0.0,0.0,0.0,0.0,392,208.88909999999998,2560.0,378.74759999999986,187.8401000000002,274.0,0.0,0.0,0.015,5.014862990654198,5.389178358208948,2.3691476635513986,1.4322421348314582,3.2278403984667703,20.585109691462964,1072.0,1070.0,536.0,2044.0,2044.0,884.0,0,0,0,3,48,37.0,2048.0,17766.28159999997,3808.4581999999996,10864.344000000001,766,2,0,128,0.15482163753141487,0.735001525079169,0.1554032043413498,0,9866.038100000012,5365.903399999992,48,0,214.0,0,0,0,0.0,0,0.0,956052.6330563945,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,506.9975999999993,86.0,599.2396,4,0.0,0.0,0.7619903898507694,5120.0,58.014322916666664,0.14306553222656251,442,0,0.0,0,4478.314944963634,2970.3333333333335,433,0.8222454460103913,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,12,0.0,0,0.0,1200.0,277.9072,6960.235396699606,0.0,6960.235396699606,0.0,0.0,15072.17499999999,15272.041799999999,0.7401787643756184,384,23728.158768550864,128,932324.474287844,4,300.0,4,100.0,2,795.0813,-9797.816800000019,14.202865800000003,1149.0052,0,0,536,536,"G8-50 step 8, public employment 50 %",sumsy,5,-2.0372681319713593e-10
5,512,4,4,35563.54569999999,0.0,23324.417200000044,4727.2495,11738.372000000023,,11738.372000000023,0.0,0.0,0.0,0.0,0.0,0.0025,208.5794,0.0,0.0,1.0,2479.5993000000044,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7338629044272114,0.0,1045.0,0.0,0.0,1.0,0,0,0,0.25548171901656047,437,789.6083430422515,5.163729687891939,794.7720727301433,3.7103650854860737,1.9212228979731865,5.6315879834592595,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-202.55132500000016,0.0,91,2560.0,428.43849999999946,5438.082800000009,212.33850000000038,0.0,0.0,0.0,0.0,0.0,710,226.86430000000001,2560.0,428.43849999999946,212.33850000000038,274.0,0.0,539.0440999999995,0.015,5.404144758432094,5.450891962616818,2.5748587912087864,1.565683677298313,3.2464979317003944,19.967556400719072,1070.0,1097.0,535.0,2044.0,2044.0,899.0,0,0,0,1,63,48.0,2048.0,16408.127699999997,4907.4208,13097.3538,766,2,0,128,0.12183303171042548,0.7338629044272114,0.2142432478719667,0,9457.284299999994,5928.346800000007,63,0,182.0,0,0,0,0.0,0,0.0,971936.3481109326,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,468.62429999999915,73.0,715.1996999999999,4,5.388,5.3889999999999985,0.9134739764149155,5120.0,55.263671875,0.15950973144531247,193,0,0.0,0,1609.7286451343773,2829.5,433,1.0411357219425137,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,12,0.0,0,0.0,1200.0,314.9816,3335.623636155202,0.0,3335.623636155202,0.0,5.388,13843.234499999999,18719.974300000005,0.7389126826860875,384,27627.43339548401,128,944308.9147154486,4,300.0,4,100.0,2,990.9856,-11529.792600000023,15.055037748000004,1149.0052,0,0,535,535,"G8-50 step 8, public employment 50 %",sumsy,5,-2.0372681319713593e-10
6,512,4,4,37651.030699999974,0.0,26607.325100000045,3914.7965999999997,14458.23300000003,,13919.18890000003,0.0,0.0,539.0440999999995,0.0,0.0,0.0025,230.0884,0.0,0.0,1.0,2662.167700000001,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7312350931658036,0.0,1053.0,0.0,0.0,1.0,0,0,0,0.2563412453266909,437,734.8416488036333,5.213431287127334,740.0550800907606,3.54409056150623,1.7256926959078398,5.26978325741407,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-318.41172499999954,0.0,104,2560.0,472.5149999999993,5086.292100000001,234.20180000000022,0.0,0.0,0.0,0.0,0.0,1083,243.6664,2560.0,472.5149999999993,234.20180000000022,274.0,0.0,811.8154999999991,0.015,5.4860097445600715,5.524281250000011,2.7307317880794724,1.7269070110701128,3.299996454600801,19.3685297086975,1088.0,1057.0,544.0,2046.6666666666665,2046.6666666666665,895.6666666666667,0,0,0,0,48,33.0,2048.0,16770.675900000013,6104.6255,13601.5517,766,2,0,128,0.1295652532709073,0.7312350931658036,0.24925011887633852,0,9934.5779,5798.712299999996,48,0,151.0,0,0,0,0.0,0,0.0,977677.6208950076,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,412.3405000000003,61.0,700.4227999999999,4,19.2879,19.285800000000016,0.9529894042156241,5120.0,53.766276041666664,0.16985878580729166,84,0,0.0,0,628.9835205759551,2752.8333333333335,433,1.1621789858450295,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,12,0.0,0,0.0,1200.0,364.92479999999995,2341.44349341158,0.0,2341.44349341158,0.0,19.2879,14203.7038,20406.6,0.7361876729119183,384,30794.113456222163,128,946883.5074387855,4,300.0,4,100.0,2,1193.2475,-13689.10050000003,15.958340012880004,1149.0052,0,0,544,544,"G8-50 step 8, public employment 50 %",sumsy,5,-2.0372681319713593e-10
7,512,4,4,39708.70950000002,0.0,29383.300000000007,3494.5623,18118.82050000003,,17307.00500000003,0.0,0.0,811.8154999999991,0.0,0.0,0.0025,245.4967,0.0,0.0,1.0,2806.088999999988,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.99609375,0.7288188974859033,0.0,911.0,2.0,0.0,1.0,0,0,0,0.256672043420285,437,730.005851215484,5.946091280466419,735.9519424959504,4.36353081085153,2.761241726671886,7.124772537523416,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-445.29392500000006,0.0,106,2560.0,502.3212000000006,4269.129,249.27290000000005,0.0,0.0,0.0,0.0,0.0,1457,249.5537,2560.0,502.3212000000006,249.27290000000005,274.0,0.0,0.0,0.015,5.4809395242452,5.547553932584265,2.954775833333334,1.8979621468926577,3.2700974044641224,18.787473817436574,1068.0,1093.0,534.0,2048.0,2048.0,930.0,0,0,0,0,54,48.0,2048.0,20559.472700000006,4108.4192,13956.586299999999,765,3,0,128,0.14288927662215545,0.7288188974859033,0.1766136455247047,0,10968.01049999999,5990.666900000004,54,0,120.0,0,0,0,0.0,0,0.0,988891.7364751877,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,354.57310000000007,48.0,589.1809000000001,4,70.31450000000001,70.3096,0.9540689042185457,5120.0,51.015625,0.17173543294270835,143,0,0.0,0,1033.3751538078398,2612.0,433,1.3078556187615062,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,12,0.0,0,0.0,1200.0,440.8181,4331.49606027625,0.0,4331.49606027625,0.0,70.31450000000001,17229.079399999995,18654.1864,0.7336856135380434,384,33418.22014843709,128,955473.5163267505,4,300.0,4,100.0,2,1390.0537,-17061.50830000003,16.915840413652806,1157.109,0,0,534,534,"G8-50 step 8, public employment 50 %",sumsy,5,-2.0372681319713593e-10
8,512,4,4,41725.88509999996,0.0,31098.881900000044,2439.5068000000006,19470.113800000036,,19470.113800000036,0.0,0.0,0.0,0.0,0.0,0.0025,265.7115,0.0,0.0,1.0,2408.605500000002,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.99609375,0.7276075660022572,0.0,512.0,0.0,0.0,1.0,0,0,0,0.2502154553289284,437,731.5195094659538,6.161693190549475,737.6812026565032,3.0654986559830504,2.924358012136981,5.989856668120031,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-566.0575500000001,0.0,109,2560.0,542.8243999999991,3370.9631,269.5110999999997,0.0,0.0,0.0,0.0,0.0,1479,244.60160000000002,2560.0,542.8243999999991,269.5110999999997,274.0,0.0,0.0,0.015,5.455637005649721,5.56670538033395,3.1896900473933623,1.9516660447761178,3.3698744013327677,18.22384960291348,1078.0,1062.0,539.0,2048.0,2048.0,799.0,0,0,0,1,52,35.0,2048.0,21936.2562,3994.737,14188.84,765,3,0,128,0.11043110754596897,0.7276075660022572,0.15459340153484513,0,10371.132600000039,5793.886500000003,52,0,422.0,0,0,0,0.0,0,0.0,991604.1112045249,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1346.0491999999988,169.0,1095.7388,4,51.6755,51.680400000000056,0.9525882129642668,5120.0,51.015625,0.1900580826822916,3,0,0.0,0,8.86074448928825,2612.0,433,1.4636552497353443,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,12,0.0,0,0.0,1200.0,476.83549999999997,5156.381307605272,0.0,5156.381307605272,0.0,51.6755,18465.4535,19279.3158,0.7324119977520278,384,34810.23542575627,128,956793.8757787684,4,299.9999999999999,4,170.4402,2,1581.9078,-19204.402300000034,17.930790838471975,1157.109,0,0,539,539,"G8-50 step 8, public employment 50 %",sumsy,5,-2.0372681319713593e-10
9,512,4,4,43703.4326,0.0,32272.476000000035,1911.3384999999998,21330.827500000032,,21330.827500000032,0.0,0.0,0.0,0.0,0.0,0.0025,285.9874,0.0,0.0,1.0,2126.4252000000047,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.7344962435309441,0.0,512.0,2.0,0.0,1.0,0,0,0,0.2500405493079585,437,1066.7795322952175,6.281936662319293,1073.0614689575368,4.893387168171341,3.049770209868421,7.9431573780397615,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-682.3440750000007,0.0,111,2560.0,582.4524999999993,2772.1348999999996,289.48050000000023,0.0,0.0,0.0,0.0,0.0,1506,370.94870000000003,2560.0,582.4524999999993,289.48050000000023,274.0,0.0,0.0,0.015,5.439544209558828,5.623862592592625,3.3605846874999967,1.9497867537313434,3.4641403502778716,17.67713411482607,1080.0,1088.0,540.0,2046.6666666666665,2046.6666666666665,708.6666666666667,0,0,0,1,58,42.0,2048.0,24553.942899999987,2206.3766,14364.3815,764,4,0,128,0.15187783922036346,0.7344962435309441,0.15910300346082273,0,10505.004700000029,5918.224100000005,58,0,640.0,0,0,0,0.0,0,0.0,1.4548922408045216e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,2150.774199999998,256.0,1921.7955,4,47.4314,47.427199999999964,0.9525882129642668,5120.0,51.015625,0.24680428059895831,0,0,0.0,0,0.0,2612.0,433,1.6698384805848396,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,12,0.0,0,0.0,1200.0,487.32019999999983,7312.402486070001,0.0,7312.402486070001,0.0,47.4314,20578.3435,18492.553599999996,0.7398260022556191,384,35715.82222575622,128,1.4191764185787677e6,4,300.0,4,170.4402,2,1770.6545999999998,-21044.84010000003,19.006638288780294,1760.1221,0,0,540,540,"G8-50 step 8, public employment 50 %",sumsy,5,-2.0372681319713593e-10
10,512,4,4,45641.81800000003,0.0,33403.30130000008,1871.1011,23170.977000000028,,23170.977000000028,0.0,0.0,0.0,0.0,0.0,0.0025,306.0207,0.0,0.0,1.0,2126.136900000008,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9934895833333334,0.7299218782668715,0.0,511.0,2.0,0.0,1.0,0,0,0,0.25005296236141517,437,869.1254124788262,6.379956275336026,875.5053687541622,6.446410931504486,3.1431637969459993,9.589574728450485,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-791.7606999999998,0.0,111,2560.0,621.6145999999995,1871.1010999999999,309.2114000000002,0.0,0.0,0.0,0.0,0.0,1509,183.54829999999998,2560.0,621.6145999999995,309.2114000000002,274.0,0.0,0.0,0.015,5.44561549953314,5.8265510204081785,3.4436379687499974,1.9548353932584248,3.533844517936233,17.14682009138129,1078.0,1071.0,539.0,2046.6666666666667,2046.6666666666667,710.6666666666667,0,0,0,0,51,38.0,2048.0,27150.165,951.1374000000001,14340.2042,763,5,0,128,0.17894725569289838,0.7299218782668715,0.16678176084926633,0,10593.02199999997,5832.254199999993,51,0,640.0,0,0,0,0.0,0,0.0,1.1763353957045258e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,2203.928299999998,256.0,2710.7424,4,44.195299999999996,44.19399999999998,0.9525882129642668,5120.0,51.015625,0.24903857259114578,0,0,0.0,0,0.0,2612.0,433,1.8237602548666114,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,12,0.0,0,0.0,1200.0,479.8308000000001,8183.934580311197,0.0,8183.934580311197,0.0,44.195299999999996,22671.452600000004,18002.084,0.7349388654127713,384,36594.35132575624,128,1.1397410443787687e6,4,300.0,4,170.4402,2,1899.0191,-22864.956300000027,20.147036586107113,1392.8291,0,0,539,539,"G8-50 step 8, public employment 50 %",sumsy,5,-2.0372681319713593e-10
