round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,26533.486000000034,0.0,26655.612399999998,0.0,3512.26,,0.0,2307.06,1205.2,0.0,1205.2,0.0,0.00375,36.7592,11820.0036,0.0,1.0,3940.0011999999997,7403.248933333329,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.6976616562976949,0.0,512.0,1.0,0.0,1.0,0,0,0,1.0,195,193.06110277209964,3.4740592101818506,196.5351619822815,5.132911764705883,2.978940980392157,8.111852745098039,0.0,0.0,0.0,0.0,0,0,0.0,0.0,36.7592,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,122.12639999999999,122.12639999999999,0.0,4,2637.42,529.2139999999999,3537.6202,464.50040000000456,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3280.0,0.0,0.005,5.0,5.200000000000013,2.0,0.75,3.729700272479588,3.9200000000000013,320.0,54.0,160.0,2048.0,734.0,204.0,328,0,0,0,32,22.0,2048.0,20804.860000000026,136.1396,3377.4188000000004,760,8,0,128,0.16246165925518752,0.6976616562976949,0.0720753108284351,0,5703.860000000013,270.0,29,0,2.0,128,0,0,6287.741800000001,760,241055.00489780935,256467.8486780412,0.0,3,2,0,1.5,0,0.0,128,128,241055.00489780935,760,58700.0,0,0,4.0,208.0,2178.3084,4,0.0,0.0,0.31630804091995046,5120.0,83.671875,-0.26422274739583335,192,0,0.0,0,3252.233942364794,4284.0,178,0.09391897654659788,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,0,12,0.0,0,0.0,1200.0,0.0,3373.4132000000004,0.0,3373.4132000000004,0.0,0.0,6597.529399999998,5691.866800000001,0.7051308165800301,384,15412.84378023113,128,241055.00489780935,4,0.0,4,5.2000000000000455,2,114.28640000000101,-2270.3008,11.925,300.0,0,0,160,160,S1 step 10 + greedy quarter,debt,1,5.820766091346741e-11
2,512,4,4,26402.736200000036,0.0,26601.154099999996,0.0,4997.4048,,0.0,2191.707,2805.6978000000004,0.0,1600.4977999999999,4.5195,0.00375,374.2749,9390.0036,0.0,1.0,2320.0011999999997,5308.780449999982,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.7101815559146993,0.0,904.0,0.0,0.0,1.0,0,0,0,0.2543043820981104,424,211.55020095618343,3.1023181559076805,214.6525191120911,7.004088039215686,2.8745127450980394,9.878600784313726,0.0,0.0,0.0,0.0,0,0,0.0,0.0,374.2748999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,198.4179,255.38470000000012,0.0,8,541.4671,672.2168999999998,2622.6772,1188.4269000000318,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1660.0,0.0,0.005899502749418306,4.893999999999967,5.51033470715834,1.8651299826689989,1.123187417218543,3.5539861271676156,3.802399999999999,922.0,1103.0,461.0,2048.0,1384.0,204.0,166,0,0,0,59,28.0,2048.0,19046.38680000002,246.9305,4186.898999999999,760,8,0,128,0.1905367844821355,0.7101815559146993,0.09391210065706534,0,6273.369899999961,5398.081999999964,42,0,577.0,128,0,0,6998.266800000002,760,250781.03371885727,265268.57538306445,0.0,32,13,0,1.5,0,0.0,128,128,250781.03371885727,760,55957.0,0,0,1076.1800000000123,256.0,2548.245,4,0.0,0.0,0.4317852255319334,5120.0,73.90787760416667,-0.24359428548177084,445,0,0.0,0,5716.309610093505,3784.0833333333335,420,0.4245214394260847,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,166,0.0,0,12,0.0,0,0.0,1200.0,25.3587,14427.53626294288,0.0,14427.53626294288,0.0,0.0,15129.380000000001,6982.074500000001,0.7172977291641756,384,14487.541664207094,128,250781.03371885727,4,0.0,4,5.2000000000000455,2,190.96990000000037,-1817.4321,12.640500000000001,300.0,0,0,461,461,S1 step 10 + greedy quarter,debt,1,5.820766091346741e-11
3,512,4,4,27307.24100000007,0.0,27543.808900000007,0.0,6154.7347,,0.0,2076.354,4078.3807,0.0,1272.6829,10.521306625,0.00375,370.7575,8599.861199999998,0.0,1.0,2339.8587999999986,4658.515399999975,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.7252351538034656,0.0,1020.0,3.0,0.0,1.0,0,0,0,0.25002306265182916,429,321.73185039795914,3.1056227307466755,324.8374731287058,7.535870653942053,2.6315744769505853,10.167445130892638,0.0,0.0,0.0,0.0,0,0,0.0,0.0,340.9511,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,236.5679,388.636,0.0,11,1600.9398,696.4350000000003,5162.127199999999,1200.491400000034,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1693.8520000000003,0.0,0.009100203366165613,5.563500924214416,5.4555125,1.8234426229508152,1.341282835820895,3.5259218315018956,11.949048986102932,1088.0,1082.0,544.0,2048.0,1365.0,204.0,170,0,0,3,55,30.0,2048.0,18796.29949999999,1621.525,4919.9576,760,8,0,128,0.20541347265297127,0.7252351538034656,0.11885290262100434,0,6395.927799999998,6019.707999999999,46,0,122.0,128,0,0,7156.489899999998,760,372380.82214188995,388316.4069047283,0.0,13,6,0,1.5,0,0.0,128,128,372380.82214188995,760,55851.0,0,0,222.45999999999944,71.0,1598.7014,4,99.3538,69.5476,0.6930941351765714,5120.0,72.41861979166667,-0.21940823079427085,181,0,0.0,0,2441.583257010608,3707.8333333333335,427,0.7400873726451471,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,170,0.0,0,12,0.0,0,0.0,1200.0,212.0545,15937.11771854372,0.0,15937.11771854372,0.0,99.3538,15137.569899999966,8140.184,0.7314264285622691,384,15935.584762838362,128,372380.82214188995,4,0.0,4,5.2000000000000455,2,229.5119,-1705.5964999999999,13.398930000000002,449.275,0,0,544,544,S1 step 10 + greedy quarter,debt,1,5.820766091346741e-11
4,512,4,4,29952.679099999867,0.0,30218.048199999994,0.0,7296.206,,0.0,1961.001,5335.205,0.0,1256.8243,15.293841624999999,0.00375,374.2802,8213.19361109057,0.0,1.0,2351.063614787429,4327.649965727032,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.7343143691683449,0.0,778.0,0.0,0.0,1.0,0,0,0,0.2752543187557392,429,318.5617710282134,2.6282651369283943,321.1900361651418,5.113141885899828,2.225473261832504,7.338615147732332,0.0,0.0,0.0,0.0,0,0,0.0,0.0,359.1578,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,265.36909999999995,532.2952999999994,0.0,47,3427.5731000000005,782.135,4796.320099999998,1238.7907999999836,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1616.684,0.0,0.00891171285224694,5.745280113636371,5.7096144144144105,1.731144927536233,1.4420087751371107,3.5533059442830854,11.590577516519845,1110.0,1056.0,555.0,2044.0000000000002,1400.0000000000002,204.0,161,0,0,1,35,25.0,2048.0,18664.47510000001,1727.5517,8032.0333,760,8,0,128,0.1689918256146976,0.7343143691683449,0.12367828566974493,0,6515.577999999984,6067.015800000007,29,0,69.0,128,0,0,6656.468199999997,760,393305.68854308565,411352.14305824693,0.0,9,27,0,1.5,0,0.0,128,128,393305.68854308565,760,55859.0,0,0,119.44900000000007,84.0,1154.3388,4,50.4081,35.2856,1.1596870522033176,5120.0,72.15006510416667,-0.2074728922526042,64,0,0.0,0,441.9294913641542,3694.0833333333335,427,0.9938136065602317,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,161,0.0,0,12,0.0,0,0.0,1200.0,900.2344000000004,13486.265708427723,0.0,13486.265708427723,0.0,50.4081,15459.929200000039,10913.923799999999,0.7402146799853107,384,18046.45451516204,128,393305.68854308565,4,0.0,4,5.2000000000000455,2,258.7049999999999,-1586.7208,14.202865800000003,449.275,0,0,555,555,S1 step 10 + greedy quarter,debt,1,5.820766091346741e-11
5,512,4,4,31951.239899999884,0.0,32255.362699999987,0.0,8980.889799999999,,0.0,1845.648,7135.241799999999,0.0,1800.0368,20.00690775,0.00375,377.9514,8279.481127936062,0.0,1.0,2848.2103984393457,4335.825125290704,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.7316646079407785,0.0,686.0,0.0,0.0,1.0,0,0,0,0.28323945158890423,431,310.71401370043833,2.5226262453883255,313.23663994582665,3.237254230441572,2.1470082365893344,5.384262467030906,0.0,0.0,0.0,0.0,0,0,0.0,0.0,362.6578,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,304.1228000000001,700.4698999999997,0.0,77,2955.675599999999,957.1147999999997,5517.085799999997,1197.0162999999686,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2089.841600000005,0.0,0.009457912183459996,5.755722024367387,5.625620342205314,1.6887285714285714,1.564133397683395,3.569055800716366,11.630813517893072,1052.0,1067.0,526.0,2046.6666666666665,1303.0,204.0,185,0,0,1,44,25.0,2048.0,18096.733799999984,1721.0315,10932.5027,760,8,0,128,0.11707193878923805,0.7316646079407785,0.11390164339842479,0,6731.475700000015,6141.355400000001,38,0,14.0,128,0,0,5733.120100000001,760,395253.119313446,415447.48346712627,0.0,6,6,0,1.5,0,0.0,128,128,395253.119313446,760,55823.0,0,0,23.6422,45.0,823.0205,4,50.978899999999996,35.685599999999994,1.244744755056796,5120.0,71.5625,-0.19070059407552084,137,0,0.0,0,1024.4849992887885,3664.0,429,1.2215408266529666,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,185,0.0,0,12,0.0,0,0.0,1200.0,1471.2695999999996,9961.446149431062,0.0,9961.446149431062,0.0,50.978899999999996,14946.999800000012,13476.554699999999,0.7375525221451587,384,20194.364153680544,128,395253.119313446,4,0.0,4,5.199999999999989,2,297.85069999999735,-1467.6966,15.055037748000004,449.275,0,0,526,526,S1 step 10 + greedy quarter,debt,1,5.820766091346741e-11
6,512,4,4,33475.22459999999,1.7737,31869.04390000002,0.0,10804.209200000001,,0.0,1730.295,9073.914200000001,0.0,1938.6724000000004,24.794848749999996,0.00375,334.4222,8393.918285996851,0.0,1.0,2988.701358766932,4410.288273997897,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.7355621494503686,0.0,697.0,0.0,0.0,1.0,0,0,0,0.2508654878073234,431,322.6321124169168,2.3696803065395278,325.00179272345633,2.481907490904797,2.038442915526879,4.5203504064316755,0.0,0.0,0.0,0.0,0,0,0.0,0.0,334.4222,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,334.8022000000003,879.8972999999994,2117.7125,93,2608.0367999999985,1082.2784,3884.234099999999,1155.8732999999988,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,2228.941400000005,23.1344,0.00969082714962906,5.742704761904763,5.720312379110244,1.6845874999999997,1.7303444007858575,3.628877328516943,10.558740696460688,1034.0,1071.0,517.0,2046.6666666666665,1270.0,204.0,194,0,0,1,41,32.0,2048.0,17744.145600000007,1678.5967999999998,13622.9406,760,8,0,128,0.09195557058566539,0.7355621494503686,0.11856135476245933,0,6873.777300000008,6150.436800000001,39,0,8.0,128,0,0,5285.708199999996,760,402883.90776136186,423268.1686057799,0.0,2,5,0,1.5,0,0.0,128,128,402883.90776136186,760,50680.0,0,0,13.476699999999997,23.0,95.1194,3,0.0,0.0,1.4181423243598652,5120.0,68.57599431818181,-0.16276071555397725,113,0,0.0,0,1038.2366957382521,3511.090909090909,429,1.5329039587812041,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,194,0.0,0,11,0.0,0,0.0,1100.0,1767.5910999999992,7072.127194638987,0.0,7072.127194638987,0.0,0.0,15018.267200000002,15396.656799999999,0.748511114830684,384,20384.260844418386,128,402883.90776136186,4,0.0,4,5.199999999999989,2,-1777.3702000000035,-1395.8728,15.958340012880004,449.275,0,2,517,517,S1 step 10 + greedy quarter,debt,1,5.820766091346741e-11
7,512,4,4,32957.31490000004,1.7737,31379.55099999998,0.0,12618.153000000002,,0.0,1614.942,11003.211000000001,0.0,1929.2967999999996,32.06482999999999,0.00375,278.936,8460.792583115697,0.0,1.0,2954.0127886095906,4466.064350648557,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.98828125,0.7362105304631827,0.0,433.0,1.0,0.0,1.0,0,0,0,0.25000067383931174,431,327.6691861526184,2.3783296734161383,330.0475158260346,2.0314158662682287,2.2586808468627786,4.290096713131008,0.0,0.0,0.0,0.0,0,0,0.0,0.0,305.173,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,363.21900000000045,1075.1138000000008,2117.7125,117,620.3223000000003,1138.2320000000002,1991.3061999999998,1125.2985000000022,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,2195.9734000000053,26.237,0.011742373927606884,5.706277725118489,5.695112500000025,1.7396500000000004,1.9405007707129092,3.624164968911718,10.241978475566869,1056.0,1055.0,528.0,2046.6666666666665,1279.0,204.0,191,0,0,0,43,20.0,2048.0,17785.624699999982,899.0948000000001,13992.128200000001,759,9,0,128,0.07600002092780378,0.7362105304631827,0.12941515599439413,0,6993.813000000008,6020.123000000006,38,0,18.0,128,0,0,5055.398600000002,759,405822.53481406736,426692.0080894518,0.0,5,14,0,1.5,0,0.0,128,128,405822.53481406736,759,50655.0,0,0,31.313700000000008,17.0,1.5312000000000001,3,0.0,0.0,1.4725409006213797,5120.0,68.29367897727273,-0.15130923473011365,91,0,0.0,0,637.987688446913,3496.6363636363635,429,1.5898897282037956,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,191,0.0,0,11,0.0,0,0.0,1100.0,2057.0586999999996,8590.442259851467,0.0,8590.442259851467,0.0,0.0,15061.29919999999,14892.7542,0.7489628770827672,384,20869.473275384356,128,405822.53481406736,4,0.0,4,5.200000000000003,2,-1748.5614000000007,-1336.006,16.915840413652806,449.275,0,2,528,528,S1 step 10 + greedy quarter,debt,1,5.820766091346741e-11
8,512,3,4,32956.038100000034,5.9191,23723.344899999993,0.0,14431.935499999996,,0.0,1499.589,12932.346499999996,0.0,1929.1355,41.26099849999999,0.00375,296.01,8502.272087835072,0.0,1.0,2930.8762069568998,4475.273241890045,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.98828125,0.740110930174271,0.0,436.0,0.0,0.0,1.0,0,0,0,0.25114519925330736,421,328.1244790855656,2.0781450986015497,330.2026241841672,1.7579063697913548,2.3247201868942313,4.082626556685586,0.0,0.0,0.0,0.0,0,0,0.0,0.0,296.01,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,361.0453000000001,1249.9177000000002,10104.1737,151,1065.4086,1062.5400000000002,1788.0032000000006,1183.5076000000022,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,2177.650000000008,0.0,0.01416504427543769,5.656490900900902,5.833857786116337,1.7344256410256396,2.025339694656486,3.633903462512146,3.167292751542029,1066.0,1110.0,533.0,2048.0,1288.0,204.0,190,0,0,0,61,38.0,2048.0,17198.229999999978,832.7273,14629.070800000001,759,6,3,128,0.07585314947744592,0.740110930174271,0.13462572676637485,0,7058.135599999985,6278.7049000000015,52,0,39.0,128,0,0,4961.4232999999995,759,405158.67631987977,424168.75481256854,0.0,16,22,0,1.5,0,0.0,128,128,405158.67631987977,759,31345.0,0,0,67.64259999999994,0.0,0.0,0,0.0,0.0,1.5922095539221093,5120.0,56.77455357142857,-0.03196280133928571,70,0,0.0,0,519.0786441771598,2906.8571428571427,420,2.458451745800641,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,7,0.0,0,0.0,700.0,2491.050400000002,6117.325460339429,0.0,6117.325460339429,0.0,0.0,14258.24829999999,15461.7981,0.7798546088460541,384,19010.0784926883,128,405158.67631987977,3,0.0,4,5.199999999999989,2,-8423.0212,-1203.579,17.930790838471975,449.275,0,10,400,533,S1 step 10 + greedy quarter,debt,1,5.820766091346741e-11
9,512,3,4,33637.22090000001,8.4443,24217.70777251545,0.0,16224.346899999995,,0.0,1636.9651,14587.381799999996,0.0,1655.0353000000025,48.49225937500003,0.00375,303.8446,8523.704319909706,0.0,1.0,2898.387392168927,4478.553413273134,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9921875,0.7361228750539297,3.0,450.0,3.0,0.0,1.0,1,0,0,0.25000402007838735,429,287.41103855349166,2.047807598085557,289.4588461515772,1.9510019026188585,2.103364430907324,4.054366333526183,0.0,0.0,0.0,0.0,0,0,0.0,0.0,303.8446,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,341.3367999999999,1410.8692000000024,10104.1737,166,1851.1871000000012,1167.4791000000005,1962.9750999999997,1169.8062000000002,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,2151.733400000008,0.0386,0.015,5.638515731370742,6.043537269372678,NaN,2.0330339552238823,3.630543875130936,6.498564300721057,1084.0,1087.0,542.0,2048.0,1290.0,204.0,189,0,0,1,49,38.0,2048.0,16207.20200000001,890.0939999999999,14879.1807,762,6,0,130,0.0831914995259515,0.7361228750539297,0.13782621382607707,2,7058.878100000014,6129.0665999999965,42,0,0.0,128,0,0,4719.5891999999985,760,346254.8679049716,365998.03406594653,0.0,22,0,0,1.5,0,0.0,128,128,346254.8679049716,760,36412.0,0,0,0.0,0.0,1356.8996,1,0.0,0.0,1.5314084999570878,5120.0,61.66748046875,0.020588229980468754,105,0,0.0,0,936.2511080061847,3157.375,426,2.194731136504744,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,189,0.0,0,8,0.0,0,0.0,2055.2794,3564.5113816769485,9705.18549327108,0.0,9705.18549327108,0.0,0.0,13723.898900000007,17126.174300000002,0.7882708757191861,382,18946.19699193052,130,347051.8370740158,3,0.0,4,5.199999999999989,2,-9736.370327484583,-1333.1205,19.006638288780294,374.6375,0,10,542,542,S1 step 10 + greedy quarter,debt,1,5.820766091346741e-11
10,512,3,4,33519.76060000001,11.7796,24101.536799999983,0.0,17985.839899999995,,0.0,1508.9756,16476.864299999994,0.0,1889.4824999999998,54.69293662500013,0.00375,280.3736,8532.99948375878,0.0,1.0,2872.218652800145,4487.823115839183,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9908854166666666,0.7384213647713109,0.0,832.0,1.0,0.0,1.0,1,0,0,0.2514616435984247,428,329.341830664107,2.109547329075925,331.4513779931829,3.727193853436597,2.1607468139490242,5.887940667385622,0.0,0.0,0.0,0.0,0,0,0.0,0.0,280.28800000000007,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,341.98029999999994,1586.3829000000005,10104.1737,175,1062.0700000000002,1176.1949999999986,1904.5223999999998,1150.1420000000014,0.0,0.0,0.0,0.0,0.0,0,3.1602,0.0,0.0,0.0,0.0,2127.934600000008,0.0,0.014402225926223994,5.6555393474088325,6.156503683241261,1.7606000000000002,2.060056156716417,3.6193221099004984,35.62160666555712,1086.0,1042.0,543.0,2046.6666666666665,1297.0,204.0,187,0,0,3,37,22.0,2048.0,17933.287299999996,395.7911,14850.1162,761,7,0,130,0.1319571722170565,0.7384213647713109,0.14024096348537785,0,7056.617599999994,5893.072000000004,37,0,12.0,128,0,0,5880.294399999999,759,404412.21062254184,424310.5738111054,0.0,0,10,0,1.5,0,0.0,128,128,404412.21062254184,759,36401.0,0,0,21.127200000000002,5.0,57.0322,1,0.286,0.2004,1.343632602810191,5120.0,54.96826171875,0.011707666015625,140,0,0.0,0,1471.716672963213,2814.375,426,2.1860436129852028,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,187,0.0,0,8,0.0,0,0.0,2055.2794,3846.913700000003,9739.13917004439,0.0,9739.13917004439,0.0,0.286,15269.104600000008,15302.9395,0.7830806503273238,382,18948.194637842418,130,405362.37917326303,3,0.0,4,5.2000000000000455,2,-9734.864099999999,-1228.6019999999999,20.147036586107113,449.275,0,10,543,543,S1 step 10 + greedy quarter,debt,1,5.820766091346741e-11
