round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,26738.151600000012,0.0,822.4603000000001,822.4603,561.0,,561.0,0.0,0.0,0.0,0.0,0.0,0.0025,121.5767,1683.0,0.0,1.0,561.0,958.5739333333331,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0.9986979166666666,0.7335306015595833,0.0,672.0,1.0,0.0,1.0,0,0,0,0.335180055401662,365,429.2708133038342,2.306235294117647,431.57704859795183,7.315990392156863,1.8125529411764707,9.128543333333333,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,49,2560.0,247.12840000000028,927.8003000000001,122.90050000000012,0.0,0.0,0.0,0.0,0.0,0,258.1752,2560.0,247.12840000000028,122.90050000000012,274.0,0.0,0.0,0.0,5.0,5.200000000000013,2.0,0.75,3.594822888283399,3.9200000000000013,320.0,228.0,160.0,2048.0,734.0,204.0,328,0,0,0,158,0.0,2048.0,17881.0714,1964.0947999999999,4198.0048,767,1,0,128,0.2082899736435817,0.7335306015595833,0.6571601930058748,5,5252.158899999996,1140.0,0,0,218.0,512,0,0,17881.0714,767,541085.9320690505,541085.9320690505,0.0,228,218,0,1.5,0,0.0,512,512,541085.9320690505,767,61440.0,0,0,436.0,208.0,2315.2287,4,76.796,76.79599999999998,0.5297728180029279,5120.0,77.841796875,0.14872604654947916,342,0,0.0,0,6740.1892481284685,3985.5,329,0.32814127604166665,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,0,12,0.0,0,0.0,1200.0,11.3201,1076.1692000000003,0.0,1076.1692000000003,0.0,76.796,11536.161999999993,8477.3283,0.740055109254748,384,13794.276075266134,128,527291.6559937838,4,0.0,4,100.5,2,258.1752,-439.4233,11.925,660.4,0,0,160,160,S3 step 10 + everyone greedy,sumsy,1,1.4551915228366852e-11
2,512,4,4,28997.470600000015,0.0,6419.988700000017,5610.5764,1000.4233,,1000.4233,0.0,0.0,0.0,0.0,0.0,0.0025,146.7024,1683.0,0.0,1.0,561.0,937.0852999999998,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0.9986979166666666,0.7336555761679042,0.0,1045.0,0.0,0.0,1.0,0,0,0,0.2531569560047562,460,457.1100958503519,2.4073149451778786,459.51741079552977,5.755862549019607,1.7637429411764707,7.519605490196078,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-2.609599999999997,0.0,49,2560.0,300.68099999999987,5610.576400000001,149.12730000000013,0.0,0.0,0.0,0.0,0.0,3,396.63329999999996,2560.0,300.68099999999987,149.12730000000013,274.0,0.0,0.0,0.015,4.932434482758625,5.5087393258426856,1.913157894736842,1.1253272045028142,3.535961603700816,33.441428055555555,1068.0,1160.0,534.0,2048.0,1297.0,204.0,187,0,0,0,62,0.0,2048.0,16738.96150000001,2929.4195,8434.9249,767,1,0,128,0.18683612141434636,0.7336555761679042,0.38678140541897865,4,7697.413599999971,5721.624000000005,0,0,57.0,512,0,0,16738.96150000001,767,560818.2977582213,560818.2977582213,0.0,136,57,0,1.5,0,0.0,512,512,560818.2977582213,767,61440.0,0,2134,109.05,23.0,350.829,4,12.626199999999999,12.625699999999807,0.8400679189018911,5120.0,72.4951171875,0.13219281412760417,2472,0,0.0,0,4531.000370100878,3711.75,438,0.8129700464955132,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,187,0.0,0,12,0.0,0,0.0,1200.0,1082.7753000000005,9685.36813406003,0.0,9685.36813406003,0.0,12.626199999999999,14976.176600000003,11715.1734,0.738818046088974,384,18471.4176976336,128,542346.8800605879,4,0.0,4,100.47499999999991,2,396.63329999999996,-853.7209,12.640500000000001,660.4,0,0,534,534,S3 step 10 + everyone greedy,sumsy,1,1.4551915228366852e-11
3,512,4,4,31208.410100000034,0.0,10816.254400000034,4667.672399999998,1407.1423,,1407.1423,0.0,0.0,0.0,0.0,0.0,0.0025,170.1305,1675.4214000000002,0.0,1.0,553.4214000000004,911.8735666666669,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0.9973958333333334,0.7421744562486567,0.0,1087.0,2.0,0.0,1.0,0,0,0,0.25,466,913.6373180574144,2.477398639539857,916.1147166969544,5.287077770021852,1.720504850220365,7.007582620242217,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-56.763725000000015,0.0,51,2560.0,349.0604999999998,7261.851599999998,173.0638,0.0,0.0,0.0,0.0,0.0,6,420.5751,2560.0,349.0604999999998,173.0638,274.0,0.0,0.0,0.015,5.237996701388886,5.471124999999971,1.913157894736842,1.3398602787456462,3.4883197313291707,32.438185213888886,1152.0,1152.0,576.0,2048.0,1381.0,204.0,166,0,0,0,58,0.0,2048.0,16402.918199999986,2586.9434,11219.170100000001,766,2,0,128,0.1771051904387655,0.7421744562486567,0.3834847509268007,0,8102.084199999997,6034.172199999997,0,0,57.0,512,0,0,16402.918199999986,766,1.1040727587439807e6,1.1040727587439807e6,0.0,128,57,0,1.5,0,0.0,512,512,1.1040727587439807e6,766,61440.0,0,1714,109.05,23.0,408.6728,4,19.703400000000002,19.703300000000194,1.290725215798223,5120.0,70.41341145833333,0.158410869140625,1981,0,0.0,0,4226.123239990775,3605.1666666666665,457,1.0779404222671594,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,166,0.0,0,12,0.0,0,0.0,1200.0,2174.748999999999,9877.836766827042,0.0,9877.836766827042,0.0,19.703400000000002,14203.658499999987,14214.786300000002,0.7479273949433434,384,23123.363972471136,128,1.080949394771511e6,4,0.0,4,100.45000000000005,2,491.0697,-1237.0118,13.398930000000002,1333.838,0,0,576,576,S3 step 10 + everyone greedy,sumsy,1,1.4551915228366852e-11
4,512,4,4,33369.136399999974,0.0,15697.63309999998,5364.887200000002,1407.1423,,1407.1423,0.0,0.0,0.0,0.0,0.0,0.0025,194.1416,1697.34375,0.0,1.0,587.7035999999996,906.1247333333333,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0.99609375,0.7437463617030129,0.0,1091.0,1.0,0.0,1.0,0,0,0,0.25000295225611413,462,893.5139176716069,2.7800171210073548,896.2939347926143,2.525485235572165,1.649021769323564,4.174507004895729,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-150.63232500000015,0.0,63,2560.0,399.27369999999996,6176.302799999999,197.80399999999995,0.0,0.0,0.0,0.0,0.0,8,114.0425,2560.0,399.27369999999996,197.80399999999995,274.0,0.0,417.5730999999997,0.015,5.683417182130595,5.585957044673559,1.9126865671641775,1.4390554404145084,3.3797842906572093,31.465039657472218,1164.0,1164.0,582.0,2048.0,1424.0,204.0,156,0,0,0,39,0.0,2048.0,14911.584200000007,2545.3593,15103.210399999998,765,3,0,128,0.12421996969979832,0.7437463617030129,0.4053087169649179,0,7769.407099999988,6615.497600000013,0,0,134.0,512,0,0,14911.584200000007,765,1.1262300936828905e6,1.1262300936828905e6,0.0,140,134,0,1.5,0,0.0,512,512,1.1262300936828905e6,765,61440.0,0,994,256.2999999999998,54.0,500.7984,4,10.972700000000001,10.981299999999882,1.7084788592206623,5120.0,69.23828125,0.1815754093424479,1092,0,0.0,0,2156.3936334201608,3545.0,458,1.4376479379718559,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,156,0.0,0,12,0.0,0,0.0,1200.0,3178.505200000002,6506.3282254448,0.0,6506.3282254448,0.0,10.972700000000001,13099.78200000001,18149.3681,0.749424150353573,384,25031.50091558036,128,1.101198592767308e6,4,0.0,4,100.42499999999995,2,601.5874,-1213.0007,14.202865800000003,1336.73225,0,0,582,582,S3 step 10 + everyone greedy,sumsy,1,1.4551915228366852e-11
5,512,4,4,35497.37379999999,0.0,17579.144500000006,2634.4357999999993,2685.8254,,2268.2523000000006,0.0,0.0,417.5730999999997,0.0,0.0,0.0025,210.2473,1740.4821000000002,0.0,1.0,637.6784999999999,918.8592866666668,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0.9947916666666666,0.7425352016157019,0.0,1081.0,2.0,0.0,1.0,0,0,0,0.25314049394402593,461,754.4128037147497,2.7445324451929194,757.1573361599426,2.786869699985178,1.7788053935299868,4.565675093515165,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-293.5379499999993,0.0,63,2560.0,431.76259999999957,2634.4357999999993,214.00279999999975,0.0,0.0,0.0,0.0,0.0,6,293.746,2560.0,431.76259999999957,214.00279999999975,274.0,0.0,0.0,0.015,5.775397585886725,5.687382404181192,1.9137499999999998,1.5793856140350875,3.2007418897355113,30.521088467748054,1148.0,1077.0,574.0,2048.0,1380.0,204.0,167,0,0,0,13,0.0,2048.0,16736.88380000002,2582.6536,15337.8631,764,4,0,128,0.12339820290818526,0.7425352016157019,0.3090458927830926,0,8249.317699999956,6220.103200000002,0,0,64.0,512,0,0,16736.88380000002,764,1.0182445221124069e6,1.0182445221124069e6,0.0,53,64,0,1.5,0,0.0,512,512,1.0182445221124069e6,764,61440.0,0,445,122.47999999999999,26.0,335.98,4,61.893600000000006,61.89649999999999,1.720361937742324,5120.0,63.9208984375,0.19335603515625008,603,0,0.0,0,1360.8304657632902,3272.75,458,1.6131624289943909,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,167,0.0,0,12,0.0,0,0.0,1200.0,3991.2893,5929.61997376839,0.0,5929.61997376839,0.0,61.893600000000006,14932.056500000013,18256.4967,0.747964322585225,384,27596.646328096107,128,990647.8757843104,4,0.0,4,100.40000000000009,2,870.7797999999999,-2058.0050000000006,15.055037748000004,1181.5461,0,0,574,574,S3 step 10 + everyone greedy,sumsy,1,1.4551915228366852e-11
6,512,4,4,37582.006899999986,0.0,19767.897499999992,3028.815800000001,2706.0059000000006,,2706.0059000000006,0.0,0.0,0.0,0.0,0.0,0.0025,231.9019,1774.4022,0.0,1.0,648.0009,923.5250666666666,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0.9934895833333334,0.7426656400452785,0.0,1044.0,1.0,0.0,1.0,0,0,0,0.252919820542478,457,758.9483558703029,2.8305600910683526,761.7789159613712,4.491521181437858,1.6568125117091865,6.148333693147045,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-446.36344999999994,0.0,63,2560.0,475.3669000000002,3028.815800000001,235.7561999999999,0.0,0.0,0.0,0.0,0.0,10,215.5811,2560.0,475.3669000000002,235.7561999999999,274.0,0.0,0.0,0.015,5.728647258485648,5.621228385899815,1.91,1.7476196629213503,3.280683110960667,29.605455813715608,1078.0,1149.0,539.0,2048.0,1308.0,204.0,185,0,0,1,27,0.0,2048.0,18252.862700000005,2919.4697,15558.3676,763,5,0,128,0.17207114088354492,0.7426656400452785,0.4294725377797568,1,7706.608799999964,6582.215700000009,0,0,60.0,512,0,0,18252.862700000005,763,1.0254253089943889e6,1.0254253089943889e6,0.0,126,60,0,1.5,0,0.0,512,512,1.0254253089943889e6,763,61440.0,0,1096,114.6,24.0,403.8239,4,205.92520000000005,205.93680000000003,2.096849515515452,5120.0,63.063151041666664,0.20996549316406252,1143,0,0.0,0,2951.605885417414,3228.8333333333335,455,1.8273836948662325,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,185,0.0,0,12,0.0,0,0.0,1200.0,4940.3414,4809.996473597058,0.0,4809.996473597058,0.0,205.92520000000005,15729.597199999998,18881.661200000002,0.7475998108177659,384,31441.24563531144,128,993984.063359079,4,0.0,4,667.5223000000001,2,1056.1051,-2474.1040000000007,15.958340012880004,1164.7056,0,0,539,539,S3 step 10 + everyone greedy,sumsy,1,1.4551915228366852e-11
7,512,4,4,39624.49679999997,0.0,22055.282199999994,3256.2025999999987,3116.857000000001,,3116.857000000001,0.0,0.0,0.0,0.0,0.0,0.0025,252.7684,1796.3817428571426,0.0,1.0,642.7529999999997,920.558338095238,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0.9921875,0.7434688000088168,0.0,945.0,1.0,0.0,1.0,0,0,0,0.25000291208983216,456,818.6390997500812,2.929407627771132,821.5685073778524,6.816838936701718,1.5767512910494805,8.393590227751199,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-616.6057499999976,0.0,67,2560.0,517.5100999999999,4100.249199999999,256.7589000000001,0.0,0.0,0.0,0.0,0.0,13,481.4276,2560.0,517.5100999999999,256.7589000000001,274.0,0.0,0.0,0.015,5.669389334470982,5.620003071672353,1.909999999999998,1.9358731034482801,3.220178009062916,28.71729213930414,1172.0,1172.0,586.0,2046.6666666666667,1442.0,204.0,151,0,0,2,70,0.0,2048.0,19485.469099999988,2774.8486000000003,16097.7328,762,6,0,128,0.22816284344635984,0.7434688000088168,0.40307921409490044,1,8222.808199999965,6644.524299999991,0,0,160.0,512,0,0,19485.469099999988,762,1.097610331301382e6,1.097610331301382e6,0.0,150,160,0,1.5,0,0.0,512,512,1.097610331301382e6,762,61440.0,0,1140,305.5999999999997,64.0,532.2503,4,105.11550000000001,105.11530000000002,2.2196813398707236,5120.0,62.6806640625,0.23276892252604173,1187,0,0.0,0,3396.636911117983,3209.25,454,1.9482052626044999,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,151,0.0,0,12,0.0,0,0.0,1200.0,5985.568100000001,6162.548533789034,0.0,6162.548533789034,0.0,105.11550000000001,16422.714999999997,19404.831700000002,0.7484651639033217,384,32219.25035184611,128,1.065391080949535e6,4,0.0,4,639.1397999999999,2,1277.0557,-2864.088600000001,16.915840413652806,1249.2718,0,0,586,586,S3 step 10 + everyone greedy,sumsy,1,1.4551915228366852e-11
8,512,4,4,41626.72749999991,0.0,22606.55799999999,1662.6926000000003,3500.196300000001,,3500.196300000001,0.0,0.0,0.0,0.0,0.0,0.0025,272.6913,1810.3744124999998,0.0,1.0,636.1076999999999,912.7399374999999,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0.9921875,0.7433790884413363,0.0,657.0,0.0,0.0,1.0,0,0,0,0.25000272304458165,453,837.2200635125167,3.0247348163983525,840.2447983289151,8.856941038343596,1.700537785559111,10.557478823902706,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-805.6609500000002,0.0,74,2560.0,557.7693000000004,4039.7294000000006,276.8204000000003,0.0,0.0,0.0,0.0,0.0,14,626.5659,2560.0,557.7693000000004,276.8204000000003,274.0,0.0,0.0,0.015,5.601903217821787,5.59718811881193,1.9111688311688289,2.0075443333333323,3.270116071030819,27.855773375125015,1212.0,1212.0,606.0,2045.3333333333333,1511.0,204.0,134,0,0,2,70,0.0,2048.0,20642.482100000016,2782.1697,16617.301,762,6,0,128,0.27048627613810927,0.7433790884413363,0.374414139300717,1,8579.07649999996,6789.506700000006,0,0,231.0,512,0,0,20642.482100000016,762,1.1060269116791557e6,1.1060269116791557e6,0.0,190,231,0,1.5,0,0.0,512,512,1.1060269116791557e6,762,61440.0,0,890,441.47999999999945,93.0,685.5175,4,117.7553,117.76510000000016,2.3650941597490958,5120.0,62.16796875,0.2560878987630209,950,0,0.0,0,3413.0900135527354,3183.0,451,2.0524446931345683,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,134,0.0,0,12,0.0,0,0.0,1200.0,6804.5732,6804.443387073908,0.0,6804.443387073908,0.0,117.7553,16878.694999999996,20084.988200000003,0.7483557701032368,384,33754.201889439624,128,1.072272709789714e6,4,0.0,4,610.7574,2,1377.2509,-3227.505000000001,17.930790838471975,1249.2718,0,0,606,606,S3 step 10 + everyone greedy,sumsy,1,1.4551915228366852e-11
9,512,4,4,43587.737900000044,0.0,22883.085500000005,1452.0885999999998,3856.0392000000006,,3856.0392000000006,0.0,0.0,0.0,0.0,0.0,0.0025,293.1228,1818.7331,0.0,1.0,628.5342000000005,901.0473,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0.9921875,0.7428212706254189,0.0,662.0,1.0,0.0,1.0,0,0,0,0.25000265254803766,452,812.9236417892486,3.2847807350209903,816.2084225242695,11.139790707778335,1.6427373920128474,12.782528099791183,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-996.4071749999995,0.0,79,2560.0,598.9896000000007,3065.4661000000006,297.37059999999985,0.0,0.0,0.0,0.0,0.0,17,688.7745,2560.0,598.9896000000007,297.37059999999985,274.0,0.0,0.0,0.015,5.551525570032557,5.609472149837113,1.9114173228346432,1.9985169407894738,3.2702043669962144,27.020100173871267,1228.0,1228.0,614.0,2045.3333333333333,1535.9999999999998,204.0,126,0,0,1,84,0.0,2048.0,21846.565099999985,2831.8675999999996,17081.0371,762,6,0,128,0.31395385155743827,0.7428212706254189,0.3732230287820273,1,8645.618800000015,6817.27339999998,0,0,254.0,512,0,0,21846.565099999985,762,1.0501922215080245e6,1.0501922215080245e6,0.0,205,254,0,1.5,0,0.0,512,512,1.0501922215080245e6,762,61440.0,0,781,485.4999999999994,102.0,846.3708,4,141.7492,141.75059999999982,2.5139927970317335,5120.0,61.8115234375,0.2710529215494792,833,0,0.0,0,3534.252171805281,3164.75,450,2.1470954093526635,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,12,0.0,0,0.0,1200.0,7467.2778,7043.8675825741975,0.0,7043.8675825741975,0.0,141.7492,17480.667999999983,20759.275499999996,0.7476905200389108,384,35439.281795325056,128,1.0147529397126995e6,4,0.0,4,582.375,2,1404.3903999999998,-3562.9164000000005,19.006638288780294,1164.7056,0,0,614,614,S3 step 10 + everyone greedy,sumsy,1,1.4551915228366852e-11
10,512,4,4,45515.12779999998,0.0,22935.590700000008,1279.4527,4185.799800000001,,4185.799800000001,0.0,0.0,0.0,0.0,0.0,0.0025,310.0467,1823.7248100000002,0.0,1.0,622.8833999999995,888.68532,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,0.9908854166666666,0.7439955772203513,0.0,667.0,1.0,0.0,1.0,0,0,0,0.250156708958093,450,789.7769893671515,3.1069446067412017,792.8839339738926,14.321118914106165,1.807834280629146,16.128953194735313,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-1185.7594850337034,0.0,85,2560.0,632.6101000000004,2325.5484000000006,314.21870000000035,0.0,0.0,0.0,0.0,0.0,23,728.9635000000001,2560.0,632.6101000000004,314.21870000000035,274.0,0.0,0.0,0.015,5.4780578039215495,5.681601391035569,1.9109625668449215,1.9921593750000004,3.2507577993682846,26.20949716865513,1294.0,1275.0,647.0,2046.6666666666667,1649.9999999999998,204.0,99,0,0,0,97,0.0,2048.0,23917.283299999992,2056.7003999999997,17448.2905,761,7,0,128,0.35094445885989,0.7439955772203513,0.3114966278386284,1,9009.220200000025,6984.523699999975,0,0,374.0,512,0,0,23917.283299999992,761,1.0011526954232645e6,1.0011526954232645e6,0.0,251,374,0,1.5,0,0.0,512,512,1.0011526954232645e6,761,61440.0,0,791,714.7000000000006,150.0,1053.8434,4,83.6095,83.61879999999995,2.549781324673128,5120.0,61.5234375,0.29127989746093746,849,0,0.0,0,3446.15054104686,3150.0,448,2.2295007071445427,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,99,0.0,0,12,0.0,0,0.0,1200.0,7884.170400000001,8611.291210741314,0.0,8611.291210741314,0.0,83.6095,18977.74789999999,20558.834300000006,0.7487932385048224,384,34869.62630448262,128,966283.069118782,4,0.0,4,553.9926,2,1399.1426000000001,-3875.753100000001,20.147036586107113,1096.9799,0,0,647,647,S3 step 10 + everyone greedy,sumsy,1,1.4551915228366852e-11
