round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,26406.318000000047,0.0,26528.444399999997,0.0,3512.26,,0.0,2287.06,1225.2,0.0,1225.2,0.0,0.00375,36.7592,11820.0036,0.0,1.0,3940.0011999999997,7403.248933333329,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.7112070916675057,0.0,512.0,3.0,0.0,1.0,0,0,6,1.0,512,156.7292210644327,1.909821072991748,158.63904213742447,3.446906862745098,2.970900392156863,6.417807254901961,0.0,0.0,0.0,0.0,0,0,0.0,0.0,36.7592,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,122.12639999999999,122.12639999999999,0.0,4,2510.2520000000004,529.214,3330.952100000001,464.50040000000456,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3280.0,0.0,0.005,5.0,5.200000000000013,2.0,0.75,3.729700272479588,3.9200000000000013,320.0,58.0,160.0,2048.0,734.0,204.0,328,0,0,0,34,24.0,2048.0,20781.532000000014,136.1396,3377.4188000000004,760,8,0,128,0.10810510416848151,0.7112070916675057,0.07252886915615053,0,5703.860000000014,290.0,34,0,6.0,128,0,0,5604.2904000000035,760,197505.32979082942,206799.68480522113,0.0,0,6,0,1.5,0,0.0,128,128,197505.32979082942,760,29915.0,0,0,12.0,208.0,2074.4683999999997,4,0.0,0.0,0.29417457082218973,5120.0,83.671875,-0.2751081640625,96,0,0.0,0,1455.4365617631477,4284.0,92,0.09391897654659788,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,6,6,3030.2534,3072,600.0,600.0,0.0,3477.2532000000006,1502.3866000000003,1974.8666000000003,0.0,0.0,3581.1359000000007,2557.7734,0.7182427714099997,384,9294.355014389901,128,197505.32979082942,4,0.0,4,25.200000000000045,2,114.28640000000101,-2250.3008,11.925,250.0,0,0,160,160,SB1 best SuMSy + greedy quarter,debt,3,0.0
2,512,4,4,26103.374,0.0,26301.1561,0.0,5059.562299999998,,0.0,2172.707,2886.855299999998,0.0,1661.6553000000001,4.5945,0.00375,404.3215,9465.0036,0.0,1.0,2370.0011999999997,5339.832866666649,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.7224844192375068,0.0,897.0,3.0,0.0,1.0,0,0,6,0.25191949252094914,512,193.6465789812013,1.6295022098350462,195.27608119103633,4.744212745098039,2.885165490196078,7.6293782352941175,0.0,0.0,0.0,0.0,0,0,0.0,0.0,404.32149999999996,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,197.78209999999996,254.74890000000013,0.0,10,362.2787,665.2227,3427.7527999999998,1206.2910000000306,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1710.0,0.0,0.00600170041512851,4.893999999999967,5.502318625277138,1.8725000000000247,1.126247178329571,3.553792375366548,3.802399999999999,902.0,1130.0,451.0,2048.0,1364.0,204.0,171,0,0,0,78,29.0,2048.0,18709.146199999992,236.861,4392.6333,760,8,0,128,0.15434987731845928,0.7224844192375068,0.09468264156747641,0,6254.331999999968,5530.219999999963,46,0,640.0,128,0,0,5859.677800000002,760,239555.7115805723,248633.67583454313,0.0,55,0,0,1.5,0,0.0,128,128,239555.7115805723,760,28133.0,0,0,1198.4000000000158,256.0,2360.412,4,0.0,0.0,0.4153077366239148,5120.0,75.5078125,-0.24136856445312502,258,0,0.0,0,1823.9891859195568,3866.0,271,0.35784541146664167,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,171,0.0,6,6,3617.49,3072,600.0,600.0,27.9344,14017.422446594102,6906.288474114491,7111.1339724796135,0.0,0.0,9372.453200000005,3372.4162999999994,0.7292675009716623,384,9077.964253971068,128,239555.7115805723,4,0.0,4,25.200000000000045,2,190.33410000000035,-1768.3854999999999,12.640500000000001,300.0,0,0,451,451,SB1 best SuMSy + greedy quarter,debt,3,0.0
3,512,4,4,26946.15550000002,0.0,27180.798699999992,0.0,5908.114999999998,,0.0,2058.354,3849.7609999999977,0.0,962.9056999999999,10.825235999999988,0.00375,296.4048,8419.437199999998,0.0,1.0,2109.4347999999986,4565.674533333287,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.7230412653142677,0.0,1028.0,0.0,0.0,1.0,0,0,6,0.2534357929518421,512,198.8442480220568,1.6132120264628926,200.4574600485197,3.2816774441693526,2.883475964967126,6.165153409136479,0.0,0.0,0.0,0.0,0,0,0.0,0.0,270.2076,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,234.64319999999998,386.39330000000007,0.0,13,1522.2917000000004,679.5102000000003,3952.214,1174.6546000001006,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1463.4280000000003,0.0,0.00867595393588191,4.84982993326978,5.478246869409648,1.9460806547619012,1.3353123411978223,3.506504109589084,3.688327999999999,1118.0,1049.0,559.0,2048.0,1460.0,204.0,147,0,0,2,31,23.0,2048.0,18594.7867,1668.1376,4151.0094,760,8,0,128,0.11169324846596318,0.7230412653142677,0.11637921889938108,0,6440.4301000000005,5087.4716,26,0,336.0,128,0,0,5718.4538,760,240429.44268057207,249629.35963454316,0.0,7,14,0,1.5,0,0.0,128,128,240429.44268057207,760,28133.0,0,0,653.8830999999988,136.0,2235.817,4,87.3194,61.12679999999909,0.4153077366239148,5120.0,75.5078125,-0.24385773763020832,0,0,0.0,0,0.0,3866.0,271,0.46465710525919124,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,147,0.0,6,6,4299.083100000001,3072,600.0,600.0,65.73340000000002,17216.377479627852,8401.973765645436,8814.403713982418,48.6357,38.6837,9462.81070000001,3755.8809,0.7297763626716389,384,9199.91695397107,128,240429.44268057207,4,0.0,4,25.200000000000045,2,227.58710000000224,-1761.9491999999998,13.398930000000002,300.0,0,0,559,559,SB1 best SuMSy + greedy quarter,debt,3,0.0
4,512,4,4,26541.212899999977,0.0,26803.3019,0.0,6808.0697999999975,,0.0,1944.001,4864.068799999997,0.0,1014.3077999999999,14.43622899999999,0.00375,407.374,7841.159984199236,0.0,1.0,2035.442778932316,4062.490656132795,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,0.9895833333333334,0.7337010388287557,0.0,761.0,0.0,0.0,1.0,0,0,6,0.2585908828241653,512,215.8487478201705,1.2524278800372055,217.10117570020773,4.59726207361136,2.6016645048932654,7.198926578504626,0.0,0.0,0.0,0.0,0,0,0.0,0.0,407.03040000000004,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,262.089,527.3414999999997,0.0,21,355.2467999999999,760.1894,4453.322000000001,1271.1859999999804,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1395.2656,0.0,0.009544751936653603,5.471896598030439,5.427081142857116,1.8987223320158093,1.4319767891682798,3.3978603596422645,3.5776781599999983,1050.0,1117.0,525.0,2045.3333333333335,1477.0,204.0,140,0,0,1,69,36.0,2048.0,17071.291200000007,1683.3253,5165.7287,760,8,0,128,0.1364148020259306,0.7337010388287557,0.12359543824162134,0,6290.425299999993,6112.1085,40,0,506.0,128,0,0,5657.138900000005,760,247826.96871254494,256352.43431402725,0.0,41,70,0,1.5,0,0.0,128,128,247826.96871254494,760,27780.0,0,0,960.7534999999995,221.0,2213.4937,4,1.146,0.8024,0.6500750641614851,5120.0,72.11588541666667,-0.21438122070312501,245,0,0.0,0,3137.2038992586886,3692.3333333333335,371,0.7664127641011568,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,140,0.0,6,6,4605.9883,3072,600.0,600.0,227.7499,15049.422148487745,7470.839270594033,7578.58287789371,0.0,1.146,12739.37520000001,4456.5594,0.7398526883422589,384,8525.465601482374,128,247826.96871254494,4,0.0,4,25.200000000000045,2,255.42489999999995,-1536.627,14.202865800000003,300.0,0,0,525,525,SB1 best SuMSy + greedy quarter,debt,3,0.0
5,512,4,4,31437.212899999915,0.0,31711.474300000016,0.0,8155.236899999997,,0.0,1829.648,6325.588899999997,0.0,1461.5201,18.239635624999988,0.00375,365.3645,7807.466770148403,0.0,1.0,2557.5646379816917,4020.5934200989013,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9869791666666666,0.7354759097516228,0.0,684.0,2.0,0.0,1.0,0,0,6,0.2571164169717661,512,211.37606177624042,1.2073929475579441,212.58345472379835,4.4010218108247665,2.2599985598820997,6.661020370706866,0.0,0.0,0.0,0.0,0,0,0.0,0.0,319.57089999999994,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,274.2614,667.1725999999994,0.0,49,5667.159800000001,771.1598000000001,7678.345900000001,1196.3493000000553,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1835.2730000000008,0.0,0.010184941132066794,5.648414028436023,5.579005615942043,1.8690785714285727,1.5593053505535064,3.4801124173016444,18.90521784077765,1104.0,1055.0,552.0,2046.6666666666667,1349.0,204.0,174,0,0,0,45,19.0,2048.0,18004.362999999958,564.2597,10731.1411,758,10,0,128,0.1512649017569041,0.7354759097516228,0.12076024173857358,0,6544.105600000034,5959.076800000004,36,0,28.0,128,0,0,6211.732400000003,758,260050.3206198717,272484.267194279,0.0,12,10,0,1.5,0,0.0,128,128,260050.3206198717,758,27741.0,0,0,52.33420000000004,39.0,1772.0846,4,152.7267,106.93760000000148,1.3887134616347088,5120.0,70.22135416666667,-0.20226879231770836,79,0,0.0,0,2499.5332851184908,3595.3333333333335,372,1.1839403385825311,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,174,0.0,6,6,6320.5869,3072,600.0,600.0,684.7932000000001,11316.912646569233,5882.901323284617,5434.011323284618,77.05160000000001,75.6751,13120.510399999992,6746.8985,0.7414678439822528,384,12433.9465744073,128,260050.3206198717,4,0.0,4,25.200000000000045,2,267.98920000000123,-1464.2835,15.055037748000004,300.0,0,0,552,552,SB1 best SuMSy + greedy quarter,debt,3,0.0
6,512,4,4,31693.208500000026,0.0,32025.807500000035,0.0,9804.363899999997,,0.0,1715.295,8089.068899999997,0.0,1763.48,23.720335624999986,0.00375,352.9567,7909.614805735782,0.0,1.0,2806.784994557556,4073.5748371571462,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3,0,0.9869791666666666,0.7372494893724997,0.0,711.0,0.0,0.0,1.0,0,0,6,0.2622207997699735,512,210.3007369386827,1.0416477021246,211.34238464080727,3.316267516241348,2.179857944919041,5.496125461160389,0.0,0.0,0.0,0.0,0,0,0.0,0.0,325.2111,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,332.5989999999998,859.5753999999997,0.0,84,1356.7021000000002,1100.7065000000002,4067.624000000001,1178.1155000000774,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2061.191700000005,0.0,0.008237251568543397,5.648524606845519,5.581300555555558,1.7366999999999997,1.7241183018867923,3.501532558590468,24.591204125178933,1080.0,1081.0,540.0,2048.0,1310.0,204.0,184,0,0,0,46,26.0,2048.0,17902.138600000013,509.1566,11891.851600000002,758,10,0,128,0.1195412821769315,0.7372494893724997,0.1218219885777565,1,6736.821999999984,6106.055100000006,37,0,15.0,128,0,0,5747.416499999999,758,263735.0949762389,276643.0508714058,0.0,13,10,0,1.5,0,0.0,128,128,263735.0949762389,758,27743.0,0,0,26.050499999999996,24.0,1037.105,4,92.4825,64.74000000000036,1.5555595493850451,5120.0,69.48567708333333,-0.18698330729166668,80,0,0.0,0,1098.9230638041338,3557.6666666666665,373,1.3310684491566402,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,184,0.0,6,6,6005.2969,3072,600.0,600.0,1117.4035999999999,10484.422021291546,5797.8161224014875,4686.605898890059,28.6687,63.8138,13013.466800000011,7432.8162999999995,0.7426369147963467,384,12907.95589516684,128,263735.0949762389,4,0.0,4,25.200000000000045,2,326.71880000000016,-1362.3383000000001,15.958340012880004,300.0,0,0,540,540,SB1 best SuMSy + greedy quarter,debt,3,0.0
7,512,4,4,33078.53049999999,0.0,33442.33330000001,0.0,11441.296599999998,,0.0,1600.942,9840.354599999997,0.0,1751.2857,30.333377499999987,0.00375,305.9054,7980.600425474452,0.0,1.0,2802.171381302156,4125.833474125782,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9869791666666666,0.7339356721641876,0.0,434.0,2.0,0.0,1.0,0,0,6,0.26500932783085535,512,207.79827953456908,1.1494329630281692,208.94771249759728,3.1767594496839155,2.2623372537975586,5.439096703481474,0.0,0.0,0.0,0.0,0,0,0.0,0.0,305.6494,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,363.80280000000016,1053.8479999999988,0.0,107,2512.3128999999994,1126.9908999999998,5235.584899999999,1157.091600000052,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2056.5603000000037,0.0,0.011240369815903222,5.614409398496243,5.6297140740741,1.7103325581395354,1.9079950943396227,3.5516726946714496,23.853468001423565,1080.0,1064.0,540.0,2048.0,1313.0,204.0,183,0,0,1,42,23.0,2048.0,18156.46270000003,391.91779999999994,14093.096500000001,758,10,0,128,0.10843419962945511,0.7339356721641876,0.13303863121007176,0,6879.957199999981,5973.731600000003,37,0,43.0,128,0,0,5742.442400000002,758,262549.86038170167,276248.46330102073,0.0,7,38,0,1.5,0,0.0,128,128,262549.86038170167,758,27706.0,0,0,73.54430000000002,27.0,131.1481,4,0.847,0.6143999999999946,1.4622507666513982,5120.0,68.193359375,-0.20650544596354167,80,0,0.0,0,1406.4187128150097,3491.5,374,1.2121189689157512,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,183,0.0,6,6,7215.388899999999,3072,600.0,600.0,1480.2408000000003,8854.805592405151,4529.147303175262,4325.65828922989,0.847,0.0,13460.943100000013,7400.7735,0.7384296173905225,384,13698.60291931879,128,262549.86038170167,4,0.0,4,25.19999999999999,2,358.3146000000013,-1295.0366,16.915840413652806,300.0,0,0,540,540,SB1 best SuMSy + greedy quarter,debt,3,0.0
8,512,4,4,32464.65420000007,1.468,31067.38140000004,0.0,13178.786199999993,,0.0,1486.589,11692.197199999993,0.0,1851.8426000000006,36.900635249999986,0.00375,288.1647,8050.370225478929,0.0,1.0,2846.252941836754,4172.84463365258,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9869791666666666,0.7336133262133058,0.0,437.0,2.0,0.0,1.0,0,0,5,0.25009555659550325,512,283.63562959274276,1.6282188847167152,285.2638484774595,1.9770369971616608,2.4023737576982103,4.379410754859871,0.0,0.0,0.0,0.0,0,0,0.0,0.0,287.8863,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,381.5074000000002,1250.1794000000002,1868.6199999999997,126,579.5151999999999,1191.9234999999996,1890.6456999999998,1135.9232000000068,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,2105.146000000005,17.8523,0.010923100892848179,5.582809169054439,5.701557088846857,1.6807222222222222,1.9922520231213865,3.56033940421601,19.014119504213195,1058.0,1047.0,529.0,2046.6666666666665,1297.0,204.0,187,0,0,2,30,15.0,2048.0,17571.094100000017,269.2884,14286.66,758,10,0,128,0.0729478451189085,0.7336133262133058,0.1376810839496423,0,6891.273499999985,5845.201199999998,25,0,27.0,128,0,0,5020.130399999999,758,368444.23235635244,384417.0225943902,0.0,8,17,0,1.5,0,0.0,128,128,368444.23235635244,758,27697.0,0,0,45.3795,25.0,49.446999999999996,3,0.9337,0.6537999999999986,1.5052007443549678,5120.0,67.744140625,-0.17465001139322914,48,0,0.0,0,570.031791660994,3468.5,374,1.25084256582276,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,187,0.0,5,6,7267.4869,2560,500.0,600.0,1695.1265999999996,8904.73827483688,4468.046636172643,4436.691638664237,0.0,0.9337,13093.406099999993,7337.9085000000005,0.7462226116695241,384,15972.790238037613,128,368444.23235635244,4,0.0,4,25.200000000000003,2,-1481.7170000000006,-1198.4243,17.930790838471975,436.39535,0,2,529,529,SB1 best SuMSy + greedy quarter,debt,3,0.0
9,512,4,4,31816.522899999996,3.6339999999999995,26891.636900000016,0.0,14987.88599999998,,0.0,1372.236,13615.64999999998,0.0,1923.4528000000028,41.11109749999999,0.00375,292.6553,8116.653934296358,0.0,1.0,2882.307868278597,4212.400856197538,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9869791666666666,0.730665534858556,0.0,447.0,1.0,0.0,1.0,0,0,5,0.2505194371268492,512,239.27495462120558,1.5872031419564658,240.86215776316206,1.7490356659629465,2.365707431030071,4.114743096993018,0.0,0.0,0.0,0.0,0,0,0.0,0.0,306.3498000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,380.69780000000026,1436.7275000000002,5594.506700000001,138,534.8301000000002,1180.7954000000002,1838.3314999999993,1126.2383999999981,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,2145.373200000005,38.9938,0.013858420510514077,5.557057275254878,5.923415619047622,1.7181999999999995,1.9845368932038843,3.5601482228161574,9.13606748918162,1050.0,1079.0,525.0,2045.3333333333335,1279.0,204.0,191,0,0,1,47,18.0,2048.0,16701.542300000012,267.2125,14550.8833,758,10,0,128,0.07573240435901618,0.730665534858556,0.13765302826909553,0,6865.069399999988,5996.064800000013,34,0,37.0,128,0,0,4798.165999999999,758,300215.88957118144,316410.3441695644,0.0,19,23,0,1.5,0,0.0,128,128,300215.88957118144,758,17419.0,0,0,63.57339999999998,8.0,4.2295,1,5.4982,3.8508000000000115,1.6194551401154615,5120.0,51.1083984375,-0.08807349609375002,41,0,0.0,0,305.40877707526715,2616.75,375,1.997215415929056,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,191,0.0,5,4,7357.686900000001,2560,500.0,400.0,1836.4480999999985,8645.427376784186,4416.392214896991,4229.035161887194,0.0,5.4982,12322.830200000002,7464.6384,0.7646503019909769,384,16194.454598383121,128,300215.88957118144,4,0.0,4,29.508499999999998,2,-5182.588300000003,-1079.5807,19.006638288780294,342.4987,0,6,525,525,SB1 best SuMSy + greedy quarter,debt,3,0.0
10,512,4,4,31876.87349999999,6.310199999999999,26947.631200000007,0.0,16698.099699999962,,0.0,1345.0267,15353.072999999962,0.0,1737.423,48.32148950000001,0.00375,292.5555,8149.32741366004,0.0,1.0,2814.462909311064,4228.398332439998,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0.9869791666666666,0.7316829473045581,0.0,720.0,2.0,0.0,1.0,0,0,5,0.2589931436085282,512,227.7705440172203,1.495118590559634,229.26566260777994,1.8329674137637182,2.234930582811444,4.067897996575162,0.0,0.0,0.0,0.0,0,0,0.0,0.0,307.3768,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,373.6653000000003,1617.3239999999994,5594.506700000001,161,1256.0398999999993,1193.0131000000001,2582.5628000000006,1159.3310999999862,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2080.925700000003,21.7117,0.014906293749177037,5.547417857142862,6.047407076350096,1.7351952380952387,2.007653510436431,3.5607041585713004,8.86198546450617,1074.0,1092.0,537.0,2046.6666666666667,1296.9999999999998,204.0,186,0,0,0,50,23.0,2048.0,16230.427800000003,302.3278,15025.4106,758,10,0,128,0.07768010258388758,0.7316829473045581,0.14119502617375157,1,6906.716499999982,6057.780300000005,38,0,42.0,128,0,0,4698.740200000001,758,274830.4549194167,291597.98710198334,0.0,25,33,0,1.5,0,0.0,128,128,274830.4549194167,758,17419.0,0,0,72.87820000000002,17.0,26.1518,1,22.9867,16.099199999999964,1.9462075782218478,5120.0,51.015625,-0.059776459960937514,17,0,0.0,0,73.17176016275329,2612.0,375,2.2255205022989326,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,186,0.0,5,4,7472.5219,2560,500.0,400.0,2161.957599999999,9245.063666085223,4836.842568375868,4408.221097709354,0.0,22.9867,11988.223500000002,7881.3683,0.7681499039907014,384,16767.532182566785,128,274830.4549194167,4,0.0,4,29.50849999999997,2,-5189.228900000002,-1052.4712,20.147036586107113,300.0,0,6,537,537,SB1 best SuMSy + greedy quarter,debt,3,0.0
