round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,26739.11439999999,0.0,1172.2706,1172.2705999999998,560.9999999999999,,560.9999999999999,0.0,0.0,0.0,0.0,0.0,0.0025,121.1403,1683.0,0.0,1.0,561.0,959.1842999999999,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7265291717601139,0.0,672.0,2.0,0.0,1.0,0,0,6,0.5070663602132134,512,426.4503751566381,3.674620926144678,430.1249960827828,6.533048235294119,1.7932452941176469,8.326293529411766,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,48,2560.0,246.16560000000018,1172.2706,122.43560000000006,0.0,0.0,0.0,0.0,0.0,0,258.1752,2560.0,246.16560000000018,122.43560000000006,274.0,0.0,0.0,0.0,5.0,5.200000000000013,2.0,0.75,3.594822888283399,3.9200000000000013,320.0,143.0,160.0,2048.0,734.0,204.0,328,0,0,0,67,24.0,2048.0,17667.98710000002,1964.0215,4059.8932,767,1,0,128,0.18832906815285622,0.7265291717601139,0.6599937522096022,9,5257.515499999997,715.0,30,0,520.0,128,0,0,5493.4936,767,528174.1434171669,545423.5337093485,0.0,89,0,0,1.5,0,0.0,128,128,528174.1434171669,767,27747.0,0,0,1040.0,208.0,2667.8970999999997,4,57.118,57.129199999999244,0.6881520805345682,5120.0,76.05143229166667,0.13375193684895834,281,0,0.0,0,4423.090218457438,3893.8333333333335,270,0.4841145833333333,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,6,6,4316.6521999999995,3072,600.0,600.0,5.1005,686.0357000000005,362.0608000000002,323.9749000000003,29.992000000000004,27.126,8935.612400000015,4375.1596,0.7324296577240854,384,17249.390292181244,128,528174.1434171669,4,208.5,4,100.0,2,258.1752,-439.85969999999986,11.925,662.9,0,0,160,160,SB1 best SuMSy + greedy quarter,sumsy,2,-1.0186340659856796e-10
2,512,4,4,29003.611399999972,0.0,5190.468900000007,4048.7617999999993,1000.8597,,1000.8597,0.0,0.0,0.0,0.0,0.0,0.0025,144.4874,1683.0,0.0,1.0,561.0,939.2883833333333,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7288546998809813,0.0,1005.0,0.0,0.0,1.0,0,0,6,0.25403240190249704,512,446.4549130580459,3.331385840888563,449.78629889893443,4.733001176470589,1.9535772549019608,6.68657843137255,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-6.112699999999998,0.0,48,2560.0,295.50299999999993,4048.7617999999993,146.66270000000011,0.0,0.0,0.0,0.0,0.0,6,398.3324,2560.0,295.50299999999993,146.66270000000011,274.0,0.0,0.0,0.015,4.906153448275844,5.46586659919027,2.22282702702703,1.1293870182555767,3.563742583732025,14.743250555555553,988.0,1160.0,494.0,2048.0,1254.0,204.0,198,0,0,1,76,29.0,2048.0,17406.75010000002,3955.5807999999997,6196.3772,767,1,0,128,0.17049490602274653,0.7288546998809813,0.40220539321932636,1,7528.524699999975,5691.137999999979,35,0,148.0,128,0,0,4849.447200000001,767,538605.8146648261,556862.7653032751,0.0,98,0,0,1.5,0,0.0,128,128,538605.8146648261,767,26747.0,0,364,328.9784000000004,60.0,902.0835,4,31.435900000000004,31.44340000000023,0.8094969727628528,5120.0,68.16080729166667,0.13721237955729168,524,0,0.0,0,3256.7710880215104,3489.8333333333335,307,0.8539060551271168,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,198,0.0,6,6,4890.2645999999995,3072,600.0,600.0,638.9266,9320.997040872015,5348.226557765707,3972.7704831063074,17.041800000000002,14.3941,10182.764300000012,6163.7769,0.7337812555061174,384,18256.95063844875,128,538605.8146648261,4,208.00900000000001,4,99.97499999999991,2,398.3324,-856.3723,12.640500000000001,662.9,0,0,494,494,SB1 best SuMSy + greedy quarter,sumsy,2,-1.0186340659856796e-10
3,512,4,4,31224.6321000001,0.0,9235.233900000014,4255.107200000001,1406.8407999999997,,1406.8407999999997,0.0,0.0,0.0,0.0,0.0,0.0025,165.5061,1672.4685,0.0,1.0,550.4684999999998,914.0569,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7293772380634418,0.0,1081.0,0.0,0.0,1.0,0,0,6,0.2500249804542247,512,472.3679854144374,3.579186638440342,475.94717205287776,4.316798827077704,2.1224154907121275,6.4392143177898316,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-47.879500000000014,0.0,49,2560.0,338.97929999999997,5529.970300000003,168.16189999999983,0.0,0.0,0.0,0.0,0.0,11,97.392,2560.0,338.97929999999997,168.16189999999983,274.0,0.0,0.0,0.015,5.028141222707416,5.482465438596482,2.341286597938144,1.336345598591548,3.5404011735451677,14.30095303888889,1140.0,1145.0,570.0,2046.6666666666667,1463.0000000000002,204.0,145,0,0,0,66,21.0,2048.0,17051.552600000014,4972.1638,7810.900500000001,766,2,0,128,0.14832348291281905,0.7293772380634418,0.34729744277536057,1,8451.141800000003,5757.221699999991,35,0,291.0,128,0,0,5105.347500000002,766,548022.1176035596,569069.4338948163,0.0,94,0,0,1.5,0,0.0,128,128,548022.1176035596,766,26362.0,0,373,681.3144,117.0,1127.1171,4,6.4147,6.39489999999996,1.1324414581645637,5120.0,64.17317708333333,0.14728361002604165,541,0,0.0,0,1966.94986959514,3285.6666666666665,317,1.0314614485861082,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,145,0.0,6,6,6854.4163,3072,600.0,600.0,1147.2524999999998,10843.992959516492,5579.360709988573,5264.632249527918,4.3719,2.0428,10334.01079999999,7055.765100000001,0.7341651473538886,384,21047.316291255655,128,548022.1176035596,4,207.534,4,99.95000000000005,2,495.7244,-1241.3346999999997,13.398930000000002,662.9,0,0,570,570,SB1 best SuMSy + greedy quarter,sumsy,2,-1.0186340659856796e-10
4,512,4,4,33401.623400000026,0.0,11221.211299999992,2388.5175,1805.4915999999998,,1805.4915999999998,0.0,0.0,0.0,0.0,0.0,0.0025,187.2703,1677.46905,0.0,1.0,564.1568999999997,899.0510916666665,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.99609375,0.7303719167797293,0.0,1095.0,0.0,0.0,1.0,0,0,6,0.25000291208983216,512,484.57778936808484,3.9213065660368374,488.4990959341217,5.416279189549601,2.017439864896547,7.433719054446148,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-125.97850000000011,0.0,52,2560.0,383.00870000000043,4203.298500000001,190.09250000000048,0.0,0.0,0.0,0.0,0.0,46,361.9788,2560.0,383.00870000000043,190.09250000000048,274.0,0.0,0.0,0.015,5.576968600682592,5.510844197952217,2.34640846153846,1.4385222984562602,3.3055397740808434,13.87192444772222,1172.0,1172.0,586.0,2048.0,1482.0,204.0,141,0,0,1,58,26.0,2048.0,18213.4999,3344.2832,9981.638399999998,765,3,0,128,0.18198781739611225,0.7303719167797293,0.3218092571825646,1,8226.57729999998,6536.207199999997,35,0,260.0,128,0,0,5913.8571,765,561234.8010125727,585373.9580711871,0.0,109,0,0,1.5,0,0.0,128,128,561234.8010125727,765,26241.0,0,350,610.0661999999996,104.0,1312.9528,4,27.6597,27.641800000000476,1.5713445335673157,5120.0,62.171223958333336,0.13342749348958333,520,0,0.0,0,1744.0332930877773,3183.1666666666665,321,1.4609358414700024,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,141,0.0,6,6,7493.151300000001,3072,600.0,600.0,1585.5829999999996,11109.598729561367,5435.419304933519,5674.179424627849,15.2761,12.3836,10907.089799999998,7145.723100000001,0.7349568872184076,384,24139.157058615183,128,561234.8010125727,4,207.04300000000006,4,99.92499999999995,2,740.3946000000001,-1618.2213,14.202865800000003,662.9,0,0,586,586,SB1 best SuMSy + greedy quarter,sumsy,2,-1.0186340659856796e-10
5,512,4,4,35536.998699999975,0.0,14857.501900000014,4138.652499999999,2243.9557,,2243.9557,0.0,0.0,0.0,0.0,0.0,0.0025,207.3747,1717.4158800000002,0.0,1.0,625.7344,908.2152400000002,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.7321116222594868,0.0,1102.0,0.0,0.0,1.0,0,0,6,0.25053471234590163,512,452.5964186004054,3.676033539403741,456.27245213980916,3.125865531936999,1.9214695755834987,5.047335107520498,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-220.02600000000004,0.0,52,2560.0,424.6246999999994,4138.6525,210.6661999999994,0.0,0.0,0.0,0.0,0.0,46,149.31220000000002,2560.0,424.6246999999994,210.6661999999994,274.0,0.0,0.0,0.015,5.713897502153325,5.648830536912757,2.4653220338983073,1.5714000000000008,3.370257972075717,13.455766714290554,1192.0,1161.0,596.0,2046.6666666666667,1540.0000000000002,204.0,126,0,0,1,67,18.0,2048.0,17814.387899999998,4144.9693,11669.4037,764,4,0,128,0.11515152533803574,0.7321116222594868,0.30690396617061944,0,8620.270100000003,6633.835000000011,36,0,354.0,128,0,0,5035.756700000001,764,570850.0790050963,596910.1910279918,0.0,110,60,0,1.5,0,0.0,128,128,570850.0790050963,764,26170.0,0,221,872.7240000000007,142.0,1551.5509000000002,4,31.0726,31.07639999999985,1.8957078134111551,5120.0,61.064453125,0.16338692708333333,353,0,0.0,0,1287.4802903902214,3126.5,317,1.7559828802823894,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,6,6,8090.666200000001,3072,600.0,600.0,2005.2928999999995,8431.704527691454,4814.758963845727,3616.9455638457266,10.2879,20.7847,10833.566999999994,9275.2577,0.7365676131510108,384,26060.112022894282,128,570850.0790050963,4,206.55199999999994,4,99.90000000000009,2,869.7901999999999,-2036.581,15.055037748000004,662.9,0,0,596,596,SB1 best SuMSy + greedy quarter,sumsy,2,-1.0186340659856796e-10
6,512,4,4,37626.54759999993,0.0,17976.468500000025,3806.9347,2677.6816,,2677.6816,0.0,0.0,0.0,0.0,0.0,0.0025,229.6495,1751.7302000000004,0.0,1.0,641.1006000000004,912.7059000000004,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9934895833333334,0.7335305525020017,0.0,792.0,0.0,0.0,1.0,0,0,6,0.2505560979203891,512,454.98927735599347,3.4323873603192636,458.4216647163127,3.9075872349411527,1.8025783688514099,5.7101656037925625,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-346.1627250000003,0.0,55,2560.0,470.45109999999954,5179.592400000002,233.36749999999972,0.0,0.0,0.0,0.0,0.0,48,272.595,2560.0,470.45109999999954,233.36749999999972,274.0,0.0,0.0,0.015,5.653198626609444,5.631688536155198,2.4997656050955426,1.740863167259787,3.225688548164627,13.052093712861835,1134.0,1165.0,567.0,2046.6666666666667,1403.0,204.0,160,0,0,2,71,28.0,2048.0,18588.261199999983,3918.3651999999997,13841.2591,763,5,0,128,0.15086762383334196,0.7335305525020017,0.39004036383165586,0,7985.081299999968,6585.976400000002,49,0,157.0,128,0,0,5652.575599999998,763,579234.5925440496,606828.4480277136,0.0,84,0,0,1.5,0,0.0,128,128,579234.5925440496,763,26154.0,0,220,392.4632000000002,63.0,776.4176,4,71.4683,71.4598000000001,2.1491845647042296,5120.0,59.833984375,0.140593017578125,368,0,0.0,0,1721.6988078808204,3063.5,314,1.925988627395579,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,160,0.0,6,6,10205.8111,3072,600.0,600.0,2375.6947999999993,6222.456354632012,2140.834897037603,4081.6214575944095,29.038599999999995,42.4297,11070.779199999999,8330.2308,0.7374985682776558,384,27593.8554836641,128,579234.5925440496,4,206.06100000000004,4,99.8748999999998,2,1112.5639999999999,-2448.0321,15.958340012880004,662.9,0,0,567,567,SB1 best SuMSy + greedy quarter,sumsy,2,-1.0186340659856796e-10
7,512,4,4,39673.35769999998,0.0,19588.281100000015,2468.441599999999,3082.3190999999997,,3082.3190999999997,0.0,0.0,0.0,0.0,0.0,0.0025,250.9892,1773.3203142857149,0.0,1.0,634.2870000000004,909.1057476190481,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9921875,0.7341079317027968,0.0,654.0,1.0,0.0,1.0,0,0,6,0.25000299325918035,512,466.5554637426009,3.1522760203210374,469.707739762922,6.028969961440025,1.7531910533358095,7.782161014775836,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-499.15235000000087,0.0,59,2560.0,513.1898999999995,5347.746799999998,254.72670000000005,0.0,0.0,0.0,0.0,0.0,50,273.159,2560.0,513.1898999999995,254.72670000000005,274.0,0.0,0.0,0.015,5.617571972318344,5.6043634948097125,2.5862580357142844,1.930050699300702,3.2523069462159224,12.660530901475981,1156.0,1156.0,578.0,2045.3333333333335,1452.0,204.0,148,0,0,1,64,15.0,2048.0,20300.447700000004,2329.7798000000003,15524.025200000002,762,6,0,128,0.20840515769026924,0.7341079317027968,0.4052167788289802,1,8271.150999999969,6493.913200000005,29,0,224.0,128,0,0,6662.960199999998,762,584574.7088734652,612916.0621235751,0.0,117,0,0,1.5,0,0.0,128,128,584574.7088734652,762,26089.0,0,273,579.3217999999997,90.0,994.9568,4,90.1743,90.17529999999944,2.232887028762205,5120.0,58.323567708333336,0.16241659505208333,430,0,0.0,0,2246.493835642341,2986.1666666666665,312,2.0249794383293187,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,148,0.0,6,6,9043.107100000001,3072,600.0,600.0,2972.698600000002,6492.387506651221,3648.6601240983637,2843.7273825528578,43.521,46.653299999999994,11720.744099999993,9805.654700000003,0.7378250040735896,384,28341.35325010966,128,584574.7088734652,4,205.57,4,192.3661000000002,2,1305.3124,-2831.3298999999997,16.915840413652806,665.4,0,0,578,578,SB1 best SuMSy + greedy quarter,sumsy,2,-1.0186340659856796e-10
8,512,4,4,41678.524100000075,0.0,19730.92360000002,1102.4610999999998,3461.6235999999994,,3461.6235999999994,0.0,0.0,0.0,0.0,0.0,0.0025,271.7956,1788.0154125000004,0.0,1.0,630.2937000000001,901.204729166667,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9908854166666666,0.7360588526266199,0.0,511.0,3.0,0.0,1.0,0,0,6,0.25,512,562.4685490385915,3.2691825147440317,565.7377315533355,8.268074037905725,1.7307692070784053,9.99884324498413,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-664.212975,0.0,65,2560.0,554.8336000000002,3464.7079000000003,275.54299999999984,0.0,0.0,0.0,0.0,0.0,55,506.1436,2560.0,554.8336000000002,275.54299999999984,274.0,0.0,0.0,0.015,5.552375827814574,5.563480463576147,2.663216112531973,1.9905721943048587,3.2652961013966175,12.280714974431703,1208.0,1208.0,604.0,2046.6666666666667,1571.0,204.0,118,0,0,1,75,25.0,2048.0,21857.482099999997,1505.4951,16163.0499,761,7,0,128,0.25886485555807415,0.7360588526266199,0.3539601576634488,0,8730.144800000002,6707.270000000005,36,0,391.0,128,0,0,7742.849900000001,761,715924.4671424255,745522.8565201435,0.0,139,0,0,1.5,0,0.0,128,128,715924.4671424255,761,26161.0,0,262,1041.3175000000015,157.0,1374.5578,4,68.2963,68.31129999999987,2.3138998590541733,5120.0,57.526041666666664,0.20265638834635422,383,0,0.0,0,1537.4171435215,2945.3333333333335,301,2.173169880411486,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,118,0.0,6,6,9528.7454,3072,600.0,600.0,3382.5191000000045,8193.749944913046,4079.147082875847,4114.602862037199,35.824600000000004,32.4717,11963.1472,9514.3574,0.7402321266469534,384,29598.389377718933,128,715924.4671424255,4,205.07899999999995,4,192.34100000000035,2,1495.564,-3189.8279999999995,17.930790838471975,833.44555,0,0,604,604,SB1 best SuMSy + greedy quarter,sumsy,2,-1.0186340659856796e-10
9,512,4,4,43646.103899999995,0.0,19799.77809999997,1064.8307,3812.8031999999994,,3812.8031999999994,0.0,0.0,0.0,0.0,0.0,0.0025,290.5925,1797.0054333333337,0.0,1.0,622.9751999999996,890.4735444444448,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.7372790603168473,0.0,512.0,2.0,0.0,1.0,0,0,6,0.25000195740171893,512,567.3528771653548,3.2646229229455517,570.6175000883003,10.168332031409753,1.8315466404802712,11.999878671890023,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-826.9028749999992,0.0,69,2560.0,592.4201999999999,3362.5356000000006,294.3371,0.0,0.0,0.0,0.0,0.0,56,624.9477999999999,2560.0,592.4201999999999,294.3371,274.0,0.0,0.0,0.015,5.495706462035533,5.595979806138922,2.6845463312368945,1.9914569558101476,3.3207409997231454,11.912293525198749,1238.0,1238.0,619.0,2046.6666666666667,1635.0,204.0,102,0,0,2,92,33.0,2048.0,23378.191300000024,809.2398999999999,16727.3449,760,8,0,128,0.2887679675760315,0.7372790603168473,0.3286978410288808,2,9029.41840000001,6803.68459999999,45,0,477.0,128,0,0,8944.724200000004,760,696821.3765362517,728611.29576297,0.0,163,0,0,1.5,0,0.0,128,128,696821.3765362517,760,26108.0,0,256,1280.5285999999987,191.0,1815.7875,4,98.8066,98.80729999999956,2.749871665461256,5120.0,55.908203125,0.22970103515625004,319,0,0.0,0,1601.0876664982177,2862.5,297,2.3164131823198213,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,102,0.0,6,6,10032.8491,3072,600.0,600.0,3721.1556000000005,9016.34491401568,4185.683153603487,4830.661760412192,50.382000000000005,48.4246,12702.502900000001,9319.5232,0.7412827502199932,384,31789.91922671807,128,696821.3765362517,4,204.58800000000002,4,192.31600000000026,2,1571.6352,-3522.2106999999996,19.006638288780294,792.01385,0,0,619,619,SB1 best SuMSy + greedy quarter,sumsy,2,-1.0186340659856796e-10
10,512,4,4,45575.13959999994,0.0,19754.543300000005,984.6377,4138.8312,,4138.8312,0.0,0.0,0.0,0.0,0.0,0.0025,309.6579,1802.2910400000005,0.0,1.0,616.6204999999999,877.3546700000004,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.7370035133398789,0.0,510.0,1.0,0.0,1.0,0,0,6,0.25,512,587.3151932244355,3.4133005319153864,590.7284937563508,10.76050689086451,1.905610239948112,12.666117130812623,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-986.4957750000009,0.0,73,2560.0,630.9642999999986,3314.6255999999985,313.54069999999956,0.0,0.0,0.0,0.0,0.0,60,590.1471,2560.0,630.9642999999986,313.54069999999956,274.0,0.0,0.0,0.015,5.468380503144662,5.7888059748428145,2.679173626373626,1.9835066878980896,3.326094499139927,11.554924719442788,1272.0,1272.0,636.0,2045.3333333333335,1697.0,204.0,87,0,0,2,101,19.0,2048.0,24148.515900000017,1036.2984,17204.9773,760,8,0,128,0.2953181109183749,0.7370035133398789,0.31817721973066204,0,9258.34659999999,6955.78000000001,40,0,546.0,128,0,0,9205.513600000002,760,715938.7527148109,748329.6410924885,0.0,224,31,0,1.5,0,0.0,128,128,715938.7527148109,760,26077.0,0,297,1462.8287999999998,219.0,2285.543,4,99.8292,99.80250000000025,2.775336109781543,5120.0,54.993489583333336,0.26515283854166666,358,0,0.0,0,1212.2846893897406,2815.6666666666665,295,2.464588704300127,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,87,0.0,6,6,10568.2506,3072,600.0,600.0,4026.667299999997,9123.61462355373,4262.481049578762,4861.1335739749675,51.3797,48.4495,12444.070900000002,9958.5681,0.7411011123999913,384,32390.888377678257,128,715938.7527148109,4,204.09699999999992,4,192.29100000000017,2,1588.5261,-3829.1732999999995,20.147036586107113,815.0407,0,0,636,636,SB1 best SuMSy + greedy quarter,sumsy,2,-1.0186340659856796e-10
