round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,26741.265699999964,0.0,625.7024000000004,625.7024000000002,469.5,,469.5,0.0,0.0,0.0,0.0,0.0,0.0025,120.0671,1683.0,0.0,0.9588,561.0,869.1175333333329,0.02,91.50000000000044,1.02,0.0,0.0,1.02,0.0,0,0,1.0,0.5970127761564099,0.0,672.0,0.0,0.0,1.02,0,0,0,0.7109150813051333,327,53.51653404075264,2.6340537254901966,56.150587766242836,6.478151960784314,1.998519019607843,8.476670980392157,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.02,1.02,0.0,0.0,0.0,0.0612,0.5,0.25,0.0,0.0,0.0,48,2560.0,244.0143000000002,625.7024000000002,212.86010000000044,0.0,0.0,0.0,0.0,0.0,0,258.1752,2560.0,244.0143000000002,121.36010000000013,274.0,0.0,0.0,0.0,5.0,5.200000000000013,2.0,0.75,3.594822888283399,3.9200000000000013,320.0,97.0,160.0,2048.0,734.0,204.0,328,0,0,0,58,39.0,2048.0,17733.63800000004,2368.6978,3644.3187000000003,768,0,0,128,0.18441335859850128,0.5970127761564099,0.6590969207659685,3,5259.127399999997,485.0,58,0,520.0,0,0,0,0.0,0,0.0,49795.2843099593,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1040.0,208.0,2616.3689000000004,4,60.543800000000005,60.54400000000004,0.6578640823091241,5120.0,83.61165364583333,0.14045223632812498,305,0,0.0,0,5298.2182141876565,4280.916666666667,291,0.53896484375,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,0,12,0.0,0,0.0,1200.0,27.9208,790.9790000000004,0.0,790.9790000000004,0.0,60.543800000000005,10459.916100000002,8629.3854,0.595485427224258,384,13728.170808193443,128,36067.1135017656,4,256.1815,4,30.0003999999999,2,258.1752,-349.4329,11.925,11.25,0,0,160,160,11 + fiscal policy and VAT,sumsy,7,1.3096723705530167e-10
2,512,4,4,29005.653300000038,0.0,5162.565100000004,4544.672800000002,585.0965,,585.0965,0.0,0.0,0.0,0.0,0.0,0.0025,147.2023,1683.0,0.0,0.91929744,561.0,729.0545166666668,0.02,325.3363999999992,1.0404,0.0,0.0,1.0404,0.0,0,0,1.0,0.7422380094370398,0.0,970.0,1.0,0.0,1.0404,0,0,0,0.26442108047345103,449,739.4239523116859,2.3108238228290903,741.734776134515,5.992702745098041,2.1226847058823526,8.115387450980393,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0404,1.0404,0.0,0.0,0.0,0.062424,0.5,0.25,0.0,-1.5620249999999998,0.0,48,2560.0,295.61239999999987,4544.672800000002,474.8959999999992,0.0,0.0,0.0,0.0,0.0,5,396.0437,2560.0,295.61239999999987,149.55959999999988,274.0,0.0,0.0,0.015,4.909526760563365,5.501022270742363,2.1875625,1.1302611353711787,3.5344383128294954,54.429285416666666,916.0,1065.0,458.0,2048.0,1138.0,204.0,227,0,0,1,46,35.0,2048.0,17290.364499999985,4221.6635,6588.7589,768,0,0,128,0.18569706723658563,0.7422380094370398,0.46562647643906874,3,7045.161699999977,5228.645999999983,46,0,40.0,0,0,0,0.0,0,0.0,912887.1084168372,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,87.5025,16.0,361.6204,4,22.2588,22.257400000000015,0.6393195475290708,5120.0,74.81282552083333,0.12163291503906248,420,0,0.0,0,4674.879033101987,3830.4166666666665,425,0.7076323702663077,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,227,0.0,0,12,0.0,0,0.0,1200.0,714.9830999999995,7243.450897002799,0.0,7243.450897002799,0.0,22.2588,14504.86849999999,11172.0428,0.7475786674333278,384,15147.265742421194,128,897739.8426744157,4,252.39639999999997,4,28.500400000000013,2,396.0437,-437.89419999999996,12.640500000000001,1117.3953,0,0,458,458,11 + fiscal policy and VAT,sumsy,7,1.3096723705530167e-10
3,512,4,4,31223.22930000004,0.0,6767.430799999995,1834.1289,660.7818,,660.7818,0.0,0.0,0.0,0.0,0.0,0.0025,173.99,1672.8509999999997,0.0,0.8814223854719999,550.8509999999998,659.7599999999998,0.02,327.96340000000026,1.061208,0.0,0.0,1.061208,0.0,0,0,1.0,0.7425238752607941,0.0,1045.0,0.0,0.0,1.061208,0,0,0,0.25946020208950077,474,763.3514946272628,2.5627502462539153,765.9142448735166,7.386282374847669,2.142212182994362,9.528494557842032,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.061208,1.061208,0.0,0.0,0.0,0.06367247999999999,0.5,0.25,0.0,-47.337524999999985,0.0,50,2560.0,342.4239999999999,4236.341999999998,504.67590000000035,0.0,0.0,0.0,0.0,0.0,6,449.7593,2560.0,342.4239999999999,176.71250000000003,274.0,0.0,0.0,0.015,4.818598129092588,5.480640525328359,2.338195454545455,1.3317181988742954,3.446435376642302,52.79640685416667,1066.0,1069.0,533.0,2046.6666666666667,1290.0,204.0,189,0,0,2,48,34.0,2048.0,17941.805400000016,5585.4335,6651.068,768,0,0,128,0.21306145411915334,0.7425238752607941,0.407087521791496,0,7646.377100000013,5151.081399999976,48,0,44.0,0,0,0,0.0,0,0.0,920080.6259649799,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,102.88060000000002,18.0,421.1731,4,27.058,27.05849999999999,0.7355540281423952,5120.0,65.0146484375,0.1300514208984375,372,0,0.0,0,4837.703134228372,3328.75,457,0.8228726380054158,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,189,0.0,0,12,0.0,0,0.0,1200.0,1359.2297,9670.05439080428,0.0,9670.05439080428,0.0,27.058,16307.555500000017,12657.674599999998,0.7478335991998561,384,16526.780398156814,128,903553.8455668228,4,248.6113999999999,4,27.0003999999999,2,485.4946,-486.79179999999997,13.398930000000002,1117.3953,0,0,533,533,11 + fiscal policy and VAT,sumsy,7,1.3096723705530167e-10
4,512,4,4,33390.78639999995,0.0,10431.898900000018,4011.538200000001,630.8969999999999,,630.8969999999999,0.0,0.0,0.0,0.0,0.0,0.0025,203.1408,1660.122675,0.0,0.8451077831905535,540.6459000000006,591.6691499999997,0.02,390.56370000000044,1.08243216,0.0,0.0,1.08243216,0.0,0,0,0.9986979166666666,0.7461093559898868,0.0,1047.0,1.0,0.0,1.08243216,0,0,0,0.2571376248223242,483,1017.2129283106132,2.982722454387129,1020.1956507650003,7.31536720048501,1.988072321447452,9.30343952193246,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.08243216,1.08243216,0.0,0.0,0.0,0.0649459296,0.5,0.25,0.0,-114.38153332397424,0.0,51,2560.0,392.4428999999999,5064.878100000001,597.0308000000011,0.0,0.0,0.0,0.0,0.0,1,408.2954,2560.0,392.4428999999999,206.46710000000004,274.0,0.0,0.0,0.015,5.3586729879741,5.42070000000001,2.4373235714285717,1.4290481273408229,3.300310568131322,51.212514648541664,1070.0,1081.0,535.0,2045.3333333333333,1332.0,204.0,177,0,0,0,58,33.0,2048.0,17406.25839999999,6186.5664,8597.3937,767,1,0,128,0.21136280890606174,0.7461093559898868,0.4066056346888529,0,7655.602799999992,5792.725500000002,58,0,140.0,0,0,0,0.0,0,0.0,1.193710788934027e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,341.22530000000006,56.0,589.1317,4,9.0624,9.062299999999993,0.9375486349939277,5120.0,61.930338541666664,0.1469476790364583,369,0,0.0,0,5666.121191011072,3170.8333333333335,474,1.136709257477116,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,177,0.0,0,12,0.0,0,0.0,1200.0,1947.2881000000007,7273.004783005002,0.0,7273.004783005002,0.0,9.0624,15976.144999999988,15373.091799999997,0.7516632422330713,384,17463.120723252563,128,1.176247668210775e6,4,235.80239999999992,4,25.5003999999999,2,559.3217999999999,-427.7561999999999,14.202865800000003,1451.1374,0,0,535,535,11 + fiscal policy and VAT,sumsy,7,1.3096723705530167e-10
5,512,4,4,35514.97210000003,0.0,14524.521399999981,4614.626799999999,626.3497,,626.3497,0.0,0.0,0.0,0.0,0.0,0.0025,229.1903,1688.8446000000001,0.0,0.8102893425231027,601.2441,564.5450733333334,0.02,401.7866999999997,1.1040808032,0.0,0.0,1.1040808032,0.0,0,0,0.9986979166666666,0.7466742889524562,0.0,1052.0,0.0,0.0,1.1040808032,0,0,0,0.2566251665111988,483,945.5756467584163,2.59689542241672,948.172542180833,2.530459853246532,1.7831576670144804,4.313617520261013,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.1040808032,1.1040808032,0.0,0.0,0.0,0.066244848192,0.5,0.25,0.0,-213.20238338702615,0.0,113,2560.0,435.81429999999904,5646.976100000001,635.3099999999989,0.0,0.0,0.0,0.0,0.0,8,118.2016,2560.0,435.81429999999904,233.52329999999995,274.0,0.0,0.0,0.015,5.4733824675324625,5.590760073937171,2.650043518518519,1.5636874074074074,3.277716148086119,49.67613920908541,1082.0,1078.0,541.0,2048.0,1332.0,204.0,179,0,0,3,56,34.0,2048.0,15320.824099999994,6300.0977,12980.0244,767,1,0,128,0.10973328208208555,0.7466742889524562,0.39177460006920906,0,7750.827400000006,5900.306299999995,56,0,108.0,0,0,0,0.0,0,0.0,1.2166354011694905e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,286.20470000000006,44.0,566.634,4,18.0773,18.077800000000053,1.2973254617430252,5120.0,61.123046875,0.1653014729817708,83,0,0.0,0,653.5487164503634,3129.5,477,1.3431175250548044,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,179,0.0,0,12,0.0,0,0.0,1200.0,2665.476,2549.8272148284436,0.0,2549.8272148284436,0.0,18.0773,14409.410699999999,19846.7561,0.7521060436678475,384,21897.114867764652,128,1.194738286301727e6,4,227.77510000000007,4,24.0003999999999,2,669.883,-397.1594,15.055037748000004,1451.1374,0,0,541,541,11 + fiscal policy and VAT,sumsy,7,1.3096723705530167e-10
6,512,4,4,37597.51519999994,0.0,15628.497899999988,1865.0388999999996,613.7801,,613.7801,0.0,0.0,0.0,0.0,0.0,0.0025,256.8612,1714.4261999999999,0.0,0.7769054216111508,614.1113999999998,543.8122999999998,0.02,395.1479000000006,1.126162419264,0.0,0.0,1.126162419264,0.0,0,0,0.9973958333333334,0.7475785739495386,0.0,1046.0,1.0,0.0,1.126162419264,0,0,0,0.25681069958847735,482,1122.1788699557048,2.75371445791819,1124.932584413623,5.159077961433841,1.833149696971217,6.992227658405057,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.126162419264,1.126162419264,0.0,0.0,0.0,0.06756974515584001,0.5,0.25,0.0,-354.5268222865592,0.0,114,2560.0,477.4569000000001,1865.5388999999996,656.3358000000001,0.0,0.0,0.0,0.0,0.0,5,407.744,2560.0,477.4569000000001,261.1879,274.0,0.0,0.0,0.015,5.44547175925926,5.553937847866403,2.7048999999999994,1.725904469273744,3.129391888607462,48.185855032812846,1078.0,1080.0,539.0,2044.0000000000002,1296.9999999999998,204.0,186,0,0,1,49,42.0,2048.0,17750.387900000016,5128.2381000000005,13450.0657,766,2,0,128,0.1859275630274566,0.7475785739495386,0.40242741530117265,0,7476.8563999999815,5881.109500000001,49,0,31.0,0,0,0,0.0,0,0.0,1.4819478875484774e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,83.85189999999999,13.0,604.2183,4,87.48509999999999,87.48440000000024,1.4353255346431906,5120.0,59.251302083333336,0.1880070784505208,219,0,0.0,0,2946.0608664579513,3033.6666666666665,477,1.4918385277105164,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,186,0.0,0,12,0.0,0,0.0,1200.0,3671.1955999999986,3713.1252303252604,0.0,3713.1252303252604,0.0,87.48509999999999,15896.915700000003,19182.522100000002,0.7531809864485197,384,22839.69910028122,128,1.4591081884481967e6,4,219.09510000000012,4,22.5003999999999,2,931.3702000000001,-356.91889999999995,15.958340012880004,1784.8795,0,0,539,539,11 + fiscal policy and VAT,sumsy,7,1.3096723705530167e-10
7,512,4,4,39638.05669999995,0.0,15936.510099999981,1182.266,580.741,,580.741,0.0,0.0,0.0,0.0,0.0,0.0025,302.7711,1731.3567857142857,0.0,0.7448969182407714,610.9801000000003,514.7812999999999,0.02,398.8436999999999,1.14868566764928,0.0,0.0,1.14868566764928,0.0,1,0,0.9973958333333334,0.7480224636026422,0.0,1045.0,0.0,0.0,1.14868566764928,0,0,0,0.25784512672471543,482,1134.315007757023,2.5266157453887605,1136.8416235024117,8.209528371154734,1.5859723507653667,9.795500721920101,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.14868566764928,1.14868566764928,0.0,0.0,0.0,0.0689211400589568,0.5,0.25,0.0,-510.7165222865589,0.0,115,2560.0,519.4585,1843.9172,688.6213999999999,0.0,0.0,0.0,0.0,0.0,1,401.4079,2560.0,519.4585,289.7777000000002,274.0,0.0,0.0,0.015,5.362925587958612,5.469633644859811,2.728527027027026,1.9090681050656673,3.2118090847795697,46.74027938182846,1070.0,1063.0,535.0,2046.6666666666667,1306.0,204.0,185,0,0,1,47,35.0,2048.0,19392.791299999983,5028.4472,13811.8558,766,2,0,128,0.2546927943098143,0.7480224636026422,0.4756296013500092,2,7669.246599999997,5700.789900000004,47,0,74.0,0,0,0,0.0,0,0.0,1.4864060885960106e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,201.91099999999992,30.0,700.7834,4,112.58760000000001,112.58949999999966,1.4913602880210204,5120.0,56.9970703125,0.20344707194010417,289,0,0.0,0,3560.9617004761253,2918.25,477,1.5789706604676577,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,185,0.0,0,12,0.0,0,0.0,1200.0,4587.700699999999,3224.608473314901,0.0,3224.608473314901,0.0,112.58760000000001,17829.907899999977,19541.0864,0.7535953034836578,384,23300.9385610839,128,1.4631051500349275e6,4,206.28610000000003,4,39.908500000000004,2,1060.7271999999998,-277.9699,16.915840413652806,1784.8795,0,0,535,535,11 + fiscal policy and VAT,sumsy,7,1.3096723705530167e-10
8,512,4,4,41636.64099999998,0.0,15983.960600000008,979.6177999999999,547.7019,,547.7019,0.0,0.0,0.0,0.0,0.0,0.0025,413.1439,1740.5815875,0.0,0.7142071652092515,601.7184000000005,458.25892916666663,0.02,427.1071,1.1716593810022657,0.0,0.0,1.1716593810022657,0.0,1,0,0.99609375,0.750269461391252,0.0,511.0,1.0,0.0,1.1716593810022657,0,0,0,0.2563639520159039,481,1203.6767491458088,2.3471476790602614,1206.023896824869,13.594642272430395,1.6356425737959357,15.230284846226331,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.1716593810022657,1.1716593810022657,0.0,0.0,0.0,0.07029956286013594,0.5,0.25,0.0,-669.766022286562,0.0,118,2560.0,561.4157000000001,2291.5353000000005,745.5832999999999,0.0,0.0,0.0,0.0,0.0,3,562.6940999999999,2560.0,561.4157000000001,318.84919999999954,274.0,0.0,3.4673999999999996,0.015,5.299835977859783,5.527671028037368,2.8792305732484085,1.923522932330829,3.199272032090322,45.33807100037361,1070.0,1084.0,535.0,2046.6666666666667,1339.0,204.0,176,0,0,1,56,40.0,2048.0,22403.2881,3202.6836000000003,14148.4728,765,3,0,128,0.3558273182414704,0.750269461391252,0.4572173874446459,3,7700.623399999983,5745.022200000005,56,0,157.0,0,0,0,0.0,0,0.0,1.527809889412836e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,452.03920000000016,63.0,906.3584999999999,4,117.61160000000001,117.61350000000003,1.8628447422336352,5120.0,51.451822916666664,0.22306426513671873,189,0,0.0,0,5480.2928987257455,2634.3333333333335,476,1.6873334345319837,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,176,0.0,0,12,0.0,0,0.0,1200.0,5280.994599999997,5289.345444331666,0.0,5289.345444331666,0.0,117.61160000000001,20586.20600000002,18257.5149,0.7558020919698814,384,24378.576437434163,128,1.503431312975401e6,4,193.47709999999995,4,37.46309999999994,2,1185.7708,-134.55800000000005,17.930790838471975,1808.19105,0,0,535,535,11 + fiscal policy and VAT,sumsy,7,1.3096723705530167e-10
9,512,4,4,43597.98390000004,0.0,15923.944300000001,922.8625000000001,514.6628,,514.6628,0.0,0.0,0.0,0.0,0.0,0.0025,568.3247,1745.3968333333335,0.0,0.6847818300026304,594.6396,392.35737777777786,0.02,440.6463999999989,1.195092568622311,0.0,0.0,1.195092568622311,0.0,0,0,0.99609375,0.750417641358913,0.0,509.0,0.0,0.0,1.195092568622311,0,0,0,0.25619049362664453,481,1215.9037552706322,2.2711621441677523,1218.1749174148,14.65485734285743,1.7683220208734192,16.42317936373085,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.195092568622311,1.195092568622311,0.0,0.0,0.0,0.07170555411733866,0.5,0.25,0.0,-829.6052222865599,0.0,121,2560.0,598.6571,2240.2167,786.4303000000004,0.0,0.0,0.0,0.0,0.0,0,644.7853,2560.0,598.6571,345.41089999999997,274.0,0.0,0.0,0.015,5.234701493930904,5.456912777777755,3.092413551401867,1.9190517690875224,3.23189708215451,43.9779288703624,1080.0,1071.0,540.0,2046.6666666666667,1372.0000000000002,204.0,168,0,0,1,54,34.0,2048.0,23620.477100000044,3199.9512000000004,14372.0931,765,3,0,128,0.3661952239634403,0.750417641358913,0.44061084014901297,2,7835.981,5606.365299999998,54,0,214.0,0,0,0,0.0,0,0.0,1.5265079550917216e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,661.7764999999995,86.0,1192.3525,4,123.46690000000002,123.46350000000002,1.8296421735306334,5120.0,51.194661458333336,0.24163392008463544,87,0,0.0,0,671.1461610960582,2621.1666666666665,476,1.7796245097561298,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,168,0.0,0,12,0.0,0,0.0,1200.0,5876.4944,5180.163721065694,0.0,5180.163721065694,0.0,123.46690000000002,21544.41860000003,18764.396799999995,0.7559811415459434,384,23912.14280852031,128,1.5025958122832023e6,4,180.6681000000002,4,35.01769999999988,2,1231.6194999999998,53.66190000000006,19.006638288780294,1808.19105,0,0,540,540,11 + fiscal policy and VAT,sumsy,7,1.3096723705530167e-10
10,512,4,4,45519.8577,0.0,15757.4862,861.4343999999998,481.6237,,481.6237,0.0,0.0,0.0,0.0,0.0,0.0025,781.9253,1747.0565700000002,0.0,0.656568818606522,587.3313999999999,321.7104233333334,0.02,468.30099999999896,1.2189944199947573,0.0,0.0,1.2189944199947573,0.0,1,0,0.99609375,0.750696092886064,0.0,511.0,0.0,0.0,1.2189944199947573,0,0,0,0.2559134407439447,481,1235.3124516352245,2.201466944535239,1237.5139185797595,16.087617711960373,1.7481299069113465,17.83574761887172,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.2189944199947573,1.2189944199947573,0.0,0.0,0.0,0.07313966519968544,0.5,0.25,0.0,-988.6492222865616,0.0,123,2560.0,638.1261999999994,1502.894800000001,841.8363999999991,0.0,0.0,0.0,0.0,0.0,2,684.5147,2560.0,638.1261999999994,373.53539999999936,274.0,0.0,0.0,0.015,5.15926066176471,5.476714285714281,3.25393652482269,1.8993845149253727,3.243529664246522,42.65859100425153,1078.0,1088.0,539.0,2046.6666666666665,1397.0,204.0,162,0,0,1,54,45.0,2048.0,24596.407100000008,3246.0969,14634.485,765,3,0,128,0.3846467617777727,0.750696092886064,0.425991654445109,2,7900.290900000012,5613.2756000000045,54,0,282.0,0,0,0,0.0,0,0.0,1.5292235494320593e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,917.6100999999986,113.0,1576.4287,4,183.256,183.25809999999984,1.864643316765316,5120.0,51.038411458333336,0.26211406168619783,37,0,0.0,0,437.59859842196505,2613.1666666666665,476,1.8891558016603713,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,162,0.0,0,12,0.0,0,0.0,1200.0,6290.5261999999975,5242.620785730934,0.0,5242.620785730934,0.0,183.256,22330.576699999998,19457.010600000005,0.7562885597754734,384,23794.25585290895,128,1.505429293579152e6,4,167.8590999999999,4,32.572299999999814,2,1235.1064000000001,300.3016,20.147036586107113,1808.19105,0,0,539,539,11 + fiscal policy and VAT,sumsy,7,1.3096723705530167e-10
