round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,21682.616000000024,0.0,21792.512,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7523003829601913,0.0,512.0,1.0,0.0,1.0,0,0,0,1.0,0,337.5421764705881,2.6470588235294117,340.18923529411757,2.896862745098039,2.800980392156863,5.697843137254901,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,109.89599999999999,109.896,0.0,4,147.84,444.4240000000001,1428.2903,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,5.0,5.200000000000013,NaN,0.75,3.9199999999999995,3.920000000000001,320.0,71.0,160.0,2048.0,322.0,0.0,431,0,0,0,42,29.0,2048.0,17086.890000000014,1583.5739999999998,3012.152,767,1,0,128,0.10112916681846418,0.7245361261386742,0.8346865437181947,0,1381.49,355.0,42,0,0.0,0,0,0,0.0,0,0.0,446773.6900000004,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,431,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7952540041036125,384,12123.88000000001,128,434649.81000000075,4,-7644.058,4,-8844.488,2,102.05600000000064,0.0,11.925,560.4,0,0,160,160,1 + planning margin,debt,1,-9.094947017729282e-13
2,512,4,4,22337.13109999999,0.0,22505.118500000055,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7547180759616312,0.0,512.0,0.0,0.0,1.0,0,0,0,0.25317320322762243,0,338.7178988235294,1.6668447058823532,340.38474352941176,3.4467976470588226,1.8890729411764706,5.335870588235293,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,167.98739999999998,218.8390000000001,0.0,7,1137.711700000001,483.19660000000005,3655.9006000000013,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004777877241131578,4.893999999999955,5.532285300668157,NaN,1.1234292410714286,3.615317333333299,3.8023999999999996,898.0,1095.0,449.0,2048.0,900.0,0.0,286,0,0,1,59,42.0,2048.0,16564.20199999992,1747.7592000000002,4025.1698999999994,767,1,0,128,0.1448332820285425,0.7293820442394436,0.5412787233453535,0,3757.0818999999838,5358.92999999995,59,0,0.0,0,0,0,0.0,0,0.0,445171.1419000026,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,286,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7940000752347576,384,10554.831599999998,128,434616.3103000003,4,-7313.971199999999,4,-7630.510100000001,2,160.5394000000018,0.0,12.640500000000001,560.4,0,0,449,449,1 + planning margin,debt,1,-9.094947017729282e-13
3,512,4,4,22851.668400000046,0.0,23052.84989999986,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,1,0.9973958333333334,0.7552787289542711,0.0,1048.0,2.0,0.0,1.0,0,0,0,0.25006550790462045,0,354.5402393487056,1.3469448384176026,355.8871841871232,5.060641882417093,1.7053993685745807,6.766041250991673,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,201.18150000000003,331.09739999999897,0.0,11,1055.3900000000003,540.8526999999995,3967.6933999999987,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006393921063076513,5.6171854205607445,5.492596851851829,NaN,1.3422750929368,3.28436386321628,3.6883279999999994,1080.0,1070.0,540.0,2046.6666666666667,1082.0,0.0,241,0,0,1,56,33.0,2048.0,16312.084999999948,1525.3008,5014.2826,766,2,0,128,0.19971745626976878,0.7332456973138524,0.4592459318460549,4,4275.825700000006,6010.388399999997,56,0,0.0,0,0,0,0.0,0,0.0,453335.91989999986,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,241,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.789870236323786,384,8682.640400000004,128,444653.27949999995,4,-6784.3024000000005,4,-6440.437399999999,2,194.12549999999877,0.0,13.398930000000002,573.3142,0,0,540,540,1 + planning margin,debt,1,-9.094947017729282e-13
4,512,4,4,23776.682099999973,0.0,23997.31989999997,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3,5,0.99609375,0.7576158639351465,0.0,667.0,1.0,0.0,1.0,0,0,0,0.25599605270618986,0,312.48565051300267,0.4165485411238722,312.9021990541266,6.831324550229292,0.7110900229825744,7.542414573211867,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,220.63779999999983,447.13199999999875,0.0,191,1517.5605,592.5468000000013,2990.576399999999,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,4.8084999999999996,0.00755024706455637,5.772423735050597,5.642826802218138,NaN,1.439793680297398,3.2762444956949244,3.5776781599999987,1082.0,1087.0,541.0,2046.6666666666667,1084.0,0.0,240,0,0,2,55,43.0,2048.0,15128.09570000001,1207.8409,7440.7455,765,3,0,128,0.3361453663006515,0.7386932449854262,0.46389969733993475,37,4326.0579999999745,6274.624599999999,55,0,0.0,0,0,0,0.0,0,0.0,454751.8967499998,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,240,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7877534835779625,384,6566.249699999998,128,448185.6470500001,4,-6349.649149999999,4,-5008.4774,2,213.97379999999862,0.0,14.202865800000003,577.6142500000001,0,0,541,541,1 + planning margin,debt,1,-9.094947017729282e-13
5,512,4,4,24594.37939999998,0.0,24830.69280000008,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,35,13,0.9947916666666666,0.760484604665544,0.0,652.0,2.0,0.0,1.0,0,0,0,0.2581706590622774,0,327.06394507180374,-0.1948165583655544,326.86912851343817,9.466349814401179,0.14758710261421576,9.613936917015394,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,236.31339999999994,569.8524999999979,0.0,391,1476.7905000000003,659.0931999999997,3543.3317000000025,0.0,0.0,0.0,0.0,0.0,0.0,34,0.0,0.0,0.0,0.0,0.0,0.0,94.29120000000002,0.008697210259289781,5.748934861509073,5.72496685393258,NaN,1.57265037735849,3.2908984735202216,3.4703478152,1068.0,1047.0,534.0,2045.3333333333335,1070.0,0.0,243,1,1,42,59,51.0,2047.0,14337.582199999993,788.4246,9468.3726,764,4,0,128,0.5152790181943561,0.7451385184140913,0.5565390875431442,133,4354.766100000009,6019.1348,61,2,0.0,0,0,1,0.0,0,0.0,484511.85529999976,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,243,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7855844463703756,384,4178.109200000001,128,480333.7461,4,-5862.2346,4,-3914.9004999999993,2,230.0413999999991,0.0,15.055037748000004,618.4437,0,0,534,534,1 + planning margin,debt,1,-9.094947017729282e-13
6,512,4,4,25388.54319999998,0.0,25639.616599999947,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,81,25,0.9947916666666666,0.762127473320418,0.0,617.0,1.0,0.0,1.0,0,0,0,0.30153824645055427,0,348.84202001091586,-0.5561918618563703,348.2858281490595,10.727924852549355,0.014897900374026399,10.742822752923383,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,251.07339999999982,699.5106000000006,0.0,584,1531.6518,737.4879999999996,3280.901300000002,0.0,0.0,0.0,0.0,0.0,0.0,71,0.0,0.0,0.0,0.0,0.0,0.0,156.146,0.008772681335975915,5.619033111849395,5.661581249999986,NaN,1.744570866141732,3.2740318063678244,3.3662373807439994,1024.0,903.0,512.0,1991.0000000000011,1025.9999999999995,0.0,250,38,37,72,47,29.0,2010.0,13614.27290000001,982.3058,10791.964499999998,764,4,0,128,0.6336390918821815,0.748916710442791,0.5794512279019719,219,4245.398700000001,5073.9869000000035,51,4,0.0,0,0,38,0.0,0,0.0,511642.9975,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,250,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7842686222919133,384,2593.4993999999997,128,509049.4981,4,-5356.3369999999995,4,-3512.5131,2,245.19339999999931,0.0,15.958340012880004,654.9731,0,0,512,512,1 + planning margin,debt,1,-9.094947017729282e-13
7,512,4,4,25787.30279999999,0.0,26053.40429999998,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,94,27,0.9947916666666666,0.7625083499830387,0.0,551.0,1.0,0.0,1.0,0,0,0,0.4521447340917914,0,377.95603866435334,-0.6244478484840342,377.33159081586933,11.953844147454044,0.017317716694747236,11.971161864148792,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,266.1014999999997,836.1640999999985,0.0,743,1271.0726000000002,872.3130000000004,4346.504299999998,0.0,0.0,0.0,0.0,0.0,0.0,101,0.0,0.0,0.0,0.0,0.0,0.0,176.16269999999997,0.009240052954522402,5.525626639344262,5.6004513043478275,NaN,1.940880482456143,3.207087960954462,3.2652502593216792,920.0,732.0,460.0,1914.333333333336,921.9999999999994,0.0,269,139,135,70,44,33.0,1886.0,13373.01130000002,1070.8279,11343.463600000001,764,4,0,128,0.6880172819807187,0.7504500013263515,0.6273425490800757,278,3841.976600000006,4044.7586999999994,65,21,0.0,0,0,139,0.0,0,0.0,540129.1592999997,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,269,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7830783174813658,384,1748.447300000001,128,538380.7119999998,4,-4951.766099999999,4,-3589.8659000000002,2,260.61349999999885,0.0,16.915840413652806,692.5106000000001,0,0,460,460,1 + planning margin,debt,1,-9.094947017729282e-13
8,512,4,4,25126.1611,0.0,25404.739200000025,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,134,36,0.9947916666666666,0.7635927488311294,0.0,94.0,0.0,0.0,1.0,0,0,0,0.5025591382086285,0,385.26983005264094,-0.6695618906395928,384.6002681620014,12.8820199045132,0.005009457562653498,12.887029362075856,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,278.5780999999997,977.7616999999977,0.0,889,213.75500000000002,874.8967000000004,2199.247199999999,0.0,0.0,0.0,0.0,0.0,0.0,147,0.0,0.0,0.0,0.0,0.0,0.0,255.81609999999995,0.009026253509329188,5.318246740858513,5.581789196675877,NaN,1.9784546218487387,3.098295856353616,3.167292751542029,722.0,629.0,361.0,1794.0000000000018,724.0,0.0,301,195,164,88,33,21.0,1776.0,12999.068600000004,1150.8885,10976.203999999998,764,4,0,128,0.7420956635524838,0.7519510889871466,0.710772392397252,353,2949.4744999999957,3345.177200000004,53,20,0.0,0,0,195,0.0,0,0.0,539804.4643999998,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,301,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.783539208957539,384,911.0563999999991,128,538893.4079999999,4,-4705.806699999999,4,-3523.9990000000007,2,273.4821000000006,0.0,17.930790838471975,692.5106000000001,0,0,361,361,1 + planning margin,debt,1,-9.094947017729282e-13
9,503,4,4,24459.856400000022,0.0,24738.9884,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,116,39,0.9947916666666666,0.7597921336257532,0.0,95.0,1.0,0.0,1.0,0,0,0,0.5618741114530769,0,379.5870278997473,-0.7056853852166626,378.8813425145306,13.619271637687813,0.0022242292575711657,13.621495866945386,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,281.65299999999974,1116.2919999999995,2.521,1029,286.2698,952.5745,1539.1052000000007,0.0,0.0,0.0,0.0,0.0,0.0,126,0.0,0.0,0.0,0.0,0.0,0.0,310.75100000000003,0.010973646868983394,5.095057509881423,5.46587641509435,NaN,1.9490891719745227,2.9479815047021893,3.072273968995767,636.0,506.0,318.0,1657.6666666666677,621.3333333333334,0.0,280,267,210,103,26,18.0,1605.0,12895.577200000003,1232.6387,10331.6405,764,4,0,128,0.7351643122373122,0.7473881979335331,0.654355450406354,347,2448.364899999996,2578.0991,58,32,0.0,0,0,267,0.0,0,0.0,511088.65649999975,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,280,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7810097881286988,375,1129.1872000000003,128,509959.4692999998,4,-4608.3077,4,-3735.4359999999997,2,274.4279999999996,0.0,19.006638288780294,654.9731,9,0,318,318,1 + planning margin,debt,1,-9.094947017729282e-13
10,476,4,4,23786.659700000022,0.0,24041.176400000022,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,87,43,0.9947916666666666,0.7442997261909843,0.0,95.0,1.0,0.0,1.0,0,0,0,0.5110056763971028,0,379.59077833418684,-0.6561029556945009,378.93467537849233,13.545834384495409,0.0013143865377401513,13.54714877103315,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,279.6864999999998,1251.4532999999994,25.169800000000002,1186,311.59159999999997,984.7882999999995,1397.3971000000004,0.0,0.0,0.0,0.0,0.0,0.0,117,0.0,0.0,0.0,0.0,0.0,0.0,376.1020999999996,0.01186268368008141,5.07724238921002,5.435151836734706,NaN,1.8811995850622405,2.8408987804878163,6.5421496344723336,490.0,519.0,245.0,1457.0000000000002,480.0,0.0,291,269,179,116,35,24.0,1436.0,12091.450400000005,1281.0893,10414.12,764,4,0,128,0.7249865074050987,0.7325651685147048,0.6230754008779051,314,1819.9757000000027,2635.0888000000004,53,18,0.0,0,0,269,0.0,0,0.0,489772.0379999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,291,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7655511500795853,348,1311.6899000000008,128,488460.3480999999,4,-4501.8687,4,-3219.83,2,250.20470000000194,0.0,20.147036586107113,627.9955,27,0,245,245,1 + planning margin,debt,1,-9.094947017729282e-13
