round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,24354.045999999973,0.0,721.1002,721.1002,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.22821756143360483,0.0,672.0,0.0,0.0,1.0,0,0,0,0.6898275686154474,0,8.278392156862747,2.878725490196078,11.157117647058824,1.8389064705882348,2.846078431372549,4.684984901960783,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0,2560.0,185.15400000000045,721.1002,0.0,0.0,0.0,0.0,0.0,0.0,0,254.9568,2560.0,185.15400000000045,0.0,268.0,0.0,0.0,0.0,5.0,5.200000000000013,NaN,0.75,3.9199999999999995,3.920000000000001,320.0,99.0,160.0,2048.0,322.0,0.0,431,0,0,0,60,39.0,2048.0,17860.996999999956,2273.992,3964.1002,768,0,0,128,0.0711066456354581,0.27531397609531694,0.834565349993488,0,3889.5971999999992,495.0,60,0,0.0,0,0,0,0.0,0,0.0,27138.597199999993,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,431,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3812796360927446,384,13706.257199999967,128,13432.33999999999,4,2273.992,4,3326.5,2,254.9568,0.0,11.925,11.25,0,0,160,160,1 + planning margin,sumsy,9,1.1641532182693481e-10
2,512,4,4,26678.033699999964,0.0,1481.188199999992,796.1430000000003,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7119069000755751,0.0,969.0,2.0,0.0,1.0,0,0,0,0.2650237098924032,0,346.3252986274511,2.5340849019607843,348.8593835294119,2.4957133333333337,2.5967486274509803,5.0924619607843145,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-7.21099999999999,0.0,0,2560.0,236.0122999999991,796.1430000000003,0.0,0.0,0.0,0.0,0.0,0.0,0,190.3914,2560.0,236.0122999999991,0.0,268.0,0.0,0.0,0.015,4.909328922495258,5.51481597374178,NaN,1.122047368421053,3.6936585152838073,3.8023999999999996,914.0,1058.0,457.0,2048.0,916.0,0.0,283,0,0,1,48,26.0,2048.0,19049.94869999995,2561.0324,4876.6612000000005,767,1,0,128,0.11617944562242122,0.7225512994822714,0.5528434664321769,0,6374.707699999982,5194.069999999983,48,0,0.0,0,0,0,0.0,0,0.0,459440.53739999863,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,283,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7230923263027362,384,14024.372399999973,128,445416.1649999999,4,2598.5929,4,4270.941000000001,2,399.70640000000003,0.0,12.640500000000001,572.9580000000001,0,0,457,457,1 + planning margin,sumsy,9,1.1641532182693481e-10
3,512,4,4,28957.42579999998,0.0,3895.8977999999856,2490.5714999999996,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7108399502377425,0.0,1047.0,1.0,0.0,1.0,0,0,0,0.25682790459686655,0,357.1842896267425,2.6173404750372082,359.8016301017797,2.3297926881700044,2.7510480990822312,5.080840787252235,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-22.029199999999975,0.0,0,2560.0,280.6079000000006,2490.5714999999996,0.0,0.0,0.0,0.0,0.0,0.0,0,182.83190000000002,2560.0,280.6079000000006,0.0,268.0,0.0,0.0,0.015,5.625731574158319,5.459807649253753,NaN,1.345455992509363,3.304604934823132,3.6883279999999994,1072.0,1099.0,536.0,2046.6666666666667,1074.0,0.0,243,0,0,1,57,45.0,2048.0,18390.357400000026,3035.487,7348.7495,766,2,0,128,0.09075244765311763,0.7232210318733621,0.48376817206491274,1,6762.665800000007,6182.678999999993,57,0,0.0,0,0,0,0.0,0,0.0,463764.7374000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,243,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7231571901723319,384,13777.645199999994,128,449987.09220000013,4,2486.0125,4,5591.627299999999,2,572.0726,0.0,13.398930000000002,577.418,0,0,536,536,1 + planning margin,sumsy,9,1.1641532182693481e-10
4,512,4,4,31188.78839999994,0.0,6262.445499999985,2566.9383999999995,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.99609375,0.7286168625424452,0.0,1050.0,2.0,0.0,1.0,0,0,0,0.2571575360550782,0,629.2913975092009,1.9536345423761354,631.245032051577,1.991346761797332,2.2199099765842067,4.211256738381539,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-60.98540000000008,0.0,0,2560.0,328.6374000000009,2566.938399999999,0.0,0.0,0.0,0.0,0.0,0.0,0,203.2568,2560.0,328.6374000000009,0.0,268.0,0.0,0.0,0.015,5.789073320719014,5.583518114602578,NaN,1.448678624535316,3.2767330258302274,3.5776781599999987,1082.0,1057.0,541.0,2046.6666666666667,1084.0,0.0,240,0,0,1,45,34.0,2048.0,18664.548699999978,2691.3594000000003,9629.623499999998,765,3,0,128,0.09364507754487317,0.7371204664658351,0.4583660392597375,1,6818.326999999985,6119.050499999998,45,0,0.0,0,0,0,0.0,0,0.0,920159.6971000005,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,240,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7385546051919467,384,13614.313199999995,128,906545.3839000002,4,3963.128100000001,4,6775.9502999999995,2,755.3441,0.0,14.202865800000003,1172.4809,0,0,541,541,1 + planning margin,sumsy,9,1.1641532182693481e-10
5,512,4,4,33365.443600000006,0.0,9657.034799999987,3723.327600000003,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0.99609375,0.7287456605426075,0.0,1042.0,0.0,0.0,1.0,0,0,0,0.25902727500556916,0,613.079223537935,1.3014367460390512,614.3806602839741,2.380590295061974,1.656488661044364,4.037078956106338,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-123.60550000000045,0.0,0,2560.0,383.3447999999999,3723.327600000003,0.0,0.0,0.0,0.0,0.0,0.0,0,211.3351,2560.0,383.3447999999999,0.0,268.0,0.0,0.0,0.015,5.752199906716421,5.735320224719086,NaN,1.580180225988702,3.274136542056109,3.4703478152,1068.0,1072.0,534.0,2046.6666666666667,1070.0,0.0,244,0,0,2,50,34.0,2048.0,16830.517200000024,4575.6497,11747.9416,765,3,0,128,0.11881936530651482,0.7385412904748083,0.5312323622414725,3,6856.504600000011,6166.3583000000035,50,0,0.0,0,0,0,0.0,0,0.0,920519.8089999997,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,244,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7394741397562907,384,13174.574499999997,128,907345.2344999998,4,4410.3884,4,7963.025100000001,2,937.5523000000001,0.0,15.055037748000004,1172.4809,0,0,534,534,1 + planning margin,sumsy,9,1.1641532182693481e-10
6,512,4,4,35490.8265,0.0,11885.83779999998,2743.4975000000018,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5,0,0.99609375,0.7288044936331493,0.0,1042.0,0.0,0.0,1.0,0,0,0,0.25626301688424835,0,618.699318942382,0.8109233359237741,619.5102422783057,2.7561119432295618,1.3756632809021287,4.13177522413169,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-220.13830000000064,0.0,0,2560.0,434.6170999999998,2743.4975000000018,0.0,0.0,0.0,0.0,0.0,0.0,1,231.3748,2560.0,434.6170999999998,0.0,268.0,0.0,0.0,0.015,5.703518881759847,5.694614953271018,NaN,1.7420877819548874,3.254646237562204,3.3662373807439994,1070.0,1091.0,535.0,2045.3333333333333,1072.0,0.0,243,0,0,0,56,45.0,2048.0,16433.511699999977,6041.3018,12784.638200000001,765,3,0,128,0.14252856062132402,0.7398587034144886,0.55128277029457,7,6930.079300000012,6222.539099999994,56,0,0.0,0,0,0,0.0,0,0.0,920859.3014999997,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,243,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7403084236549702,384,12480.659200000004,128,908378.6422999995,4,4762.99,4,9204.228900000002,2,1129.6372999999999,0.0,15.958340012880004,1172.4809,0,0,535,535,1 + planning margin,sumsy,9,1.1641532182693481e-10
7,512,4,4,37574.70889999996,0.0,13312.40920000002,2075.9943,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10,0,0.9947916666666666,0.730685120723249,0.0,1048.0,1.0,0.0,1.0,0,0,0,0.25599949120922605,0,674.2806442832147,0.42355499677476927,674.7041992799894,4.665404824888302,1.3251762295782417,5.990581054466544,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-338.50580000000144,0.0,2,2560.0,476.11760000000027,2399.8731,0.0,0.0,0.0,0.0,0.0,0.0,5,305.0348,2560.0,476.11760000000027,0.0,268.0,0.0,0.0,0.015,5.624785150375938,5.6374862962962835,NaN,1.940097014925373,3.2020180221811803,3.2652502593216792,1080.0,1064.0,540.0,2048.0,1082.0,0.0,241,0,0,0,47,38.0,2048.0,18820.9568,4867.0382,13581.679100000001,764,4,0,128,0.2097845998672201,0.7416753898801074,0.5518490275758094,13,6971.08729999999,5984.771399999998,47,0,0.0,0,0,0,0.0,0,0.0,991597.7269999998,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,241,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.742132018972548,384,11945.594499999997,128,979652.1325000002,4,4708.891099999999,4,10205.776800000001,2,1325.098,0.0,16.915840413652806,1263.363,0,0,540,540,1 + planning margin,sumsy,9,1.1641532182693481e-10
8,512,4,4,39610.9016,0.0,13615.863000000018,1055.819,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,20,0,0.9934895833333334,0.732214395641323,0.0,773.0,1.0,0.0,1.0,0,0,0,0.25406437072222876,0,734.0148057274366,0.020666235980076966,734.0354719634167,7.748845339126481,1.1090936913516147,8.857939030478096,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-471.0039000000012,0.0,7,2560.0,523.8072999999997,2785.2468,0.0,0.0,0.0,0.0,0.0,0.0,8,522.8895,2560.0,523.8072999999997,0.0,268.0,0.0,0.0,0.015,5.538842883046233,5.596052996254664,NaN,2.000733270321361,3.171126355140262,3.167292751542029,1068.0,1103.0,534.0,2048.0,1070.0,0.0,244,0,0,1,64,54.0,2048.0,21294.18329999997,3197.5056999999997,14596.323100000001,763,5,0,128,0.30029075276238437,0.7435778897762879,0.5676648946223097,13,6861.4963999999845,6109.343699999995,64,0,0.0,0,0,0,0.0,0,0.0,1.0617095788e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,244,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7438950260434143,384,11063.5971,128,1.0506459817000001e6,4,5052.118400000001,4,11424.928,2,1484.5131999999999,0.0,17.930790838471975,1354.2451,0,0,534,534,1 + planning margin,sumsy,9,1.1641532182693481e-10
9,512,4,4,41602.623299999985,0.0,13918.638699999987,1107.3477000000007,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,40,1,0.9921875,0.7328356169273762,0.0,507.0,0.0,0.0,1.0,0,0,0,0.25610772713482227,0,747.1060054869602,-0.43952250133018483,746.66648298563,10.63293243741053,1.0160632508837635,11.648995688294292,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-606.4288000000026,0.0,10,2560.0,568.2783000000002,2450.7166000000007,0.0,0.0,0.0,0.0,0.0,0.0,10,631.8815,2560.0,568.2783000000002,0.0,268.0,0.0,0.0,0.015,5.439199323671499,5.561754797047965,NaN,1.9858419776119416,3.2076321362799787,3.072273968995767,1084.0,1035.0,542.0,2046.6666666666665,1086.0,0.0,240,0,0,2,38,29.0,2048.0,24174.7032,1692.532,15103.5066,762,6,0,128,0.3640326368263589,0.7447873466875832,0.5824252473670648,22,6895.29340000001,5629.571300000001,38,0,0.0,0,0,0,0.0,0,0.0,1.0627947992000005e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,240,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7448749619321626,384,10640.769200000006,128,1.05215403e6,4,5196.376400000001,4,12136.6188,2,1535.0656999999999,0.0,19.006638288780294,1354.2451,0,0,542,542,1 + planning margin,sumsy,9,1.1641532182693481e-10
10,512,4,4,43548.248299999985,0.0,14262.130999999976,1198.7980000000002,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,72,2,0.9908854166666666,0.7325606077410081,0.0,504.0,1.0,0.0,1.0,0,0,0,0.2621435405503972,0,712.788874430968,-1.0010700626738036,711.7878043682942,13.102175499893693,0.7483439959900571,13.850519495883749,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-744.1117114515791,0.0,18,2560.0,614.3750000000007,3163.1833999999994,0.0,0.0,0.0,0.0,0.0,0.0,18,686.7582,2560.0,614.3750000000007,0.0,268.0,0.0,0.0172,0.015,5.325061945231349,5.556411842105267,NaN,1.9560224761904763,3.209403033145748,2.9801057499258943,1064.0,1059.0,532.0,2045.3333333333333,1066.0,0.0,245,0,0,5,42,27.0,2048.0,26529.96590000003,917.224,15414.300200000001,761,7,0,128,0.4090426939916336,0.7458913414916639,0.5889568398388625,28,6741.072300000001,5639.240599999998,43,1,0.0,0,0,0,0.0,0,0.0,993878.0619000008,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,245,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7453660803527182,384,10214.883799999989,128,983663.1781000005,4,5434.125300000001,4,12966.723699999999,2,1532.1214,0.0,20.147036586107113,1263.363,0,0,532,532,1 + planning margin,sumsy,9,1.1641532182693481e-10
