round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,24353.37960000023,0.0,1197.8501,1197.8501,561.0,,561.0,0.0,0.0,0.0,0.0,0.0,0.0025,91.1306,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7116504365433904,0.0,672.0,1.0,0.0,1.0,0,0,0,0.8182047721247316,0,337.4555882352941,3.002470588235295,340.45805882352937,1.5928421568627453,2.9963031372549023,4.589145294117648,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0,2560.0,185.8204000000009,1197.8501,92.31700000000043,0.0,0.0,0.0,0.0,0.0,0,252.3552,2560.0,185.8204000000009,92.31700000000043,268.0,0.0,0.0,0.0,5.0,5.200000000000013,NaN,0.75,3.4662357414448666,3.920000000000001,320.0,89.0,160.0,2048.0,526.0,204.0,380,0,0,0,55,34.0,2048.0,18508.053699999993,1889.851,3611.9891000000002,767,1,0,128,0.06047274386394874,0.7203723204716888,0.7505515532737612,0,4436.499200000001,445.0,55,0,0.0,0,0,0,0.0,0,0.0,449449.7037999991,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,380,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.721603987478393,384,14341.808799999928,128,435107.8950000009,4,2262.701,4,3245.6890000000003,2,252.3552,-469.8694,11.925,560.4,0,0,160,160,2 + government,sumsy,6,-1.4551915228366852e-11
2,512,4,4,26678.09230000014,0.0,4949.4805,3783.472899999996,1030.8694,,1030.8694,0.0,0.0,0.0,0.0,0.0,0.0025,114.555,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7092454596139446,0.0,967.0,0.0,0.0,1.0,0,0,0,0.26347929133096554,0,338.8659792156863,2.6487929411764704,341.51477215686276,1.4203447058823528,2.79028,4.210624705882353,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-6.368499999999996,0.0,4,2560.0,235.28729999999973,4307.069499999995,116.61429999999989,0.0,0.0,0.0,0.0,0.0,112,145.0293,2560.0,235.28729999999973,116.61429999999989,268.0,0.0,0.0,0.015,4.909860594795525,5.477716885964915,NaN,1.123148351648353,3.5205330948121354,3.8023999999999996,912.0,1076.0,456.0,2048.0,1118.0,204.0,232,0,0,1,51,36.0,2048.0,16575.895699999943,3233.6199,6608.992400000001,767,1,0,128,0.06046441188459828,0.7198105046904888,0.4798440090499594,0,6979.691099999979,5283.009999999985,51,0,0.0,0,0,0,0.0,0,0.0,450868.01299999823,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,232,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7203577394348935,384,14937.208099999945,128,435930.8049000003,4,2518.7311,4,4197.478099999998,2,397.3845,-916.3144,12.640500000000001,560.4,0,0,456,456,2 + government,sumsy,6,-1.4551915228366852e-11
3,512,4,4,28951.254300000008,0.0,7313.006400000006,2561.041100000001,1467.2011000000002,,1467.2011000000002,0.0,0.0,0.0,0.0,0.0,0.0025,139.9459,0.0,0.0,1.0,550.8866999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7216041308422587,0.0,1048.0,1.0,0.0,1.0,0,0,0,0.25490276662428113,0,528.1250836334367,2.9168569061806835,531.0419405396174,2.2750314472761826,2.462916059698743,4.737947506974925,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-45.563599999999774,0.0,4,2560.0,286.8380000000008,2561.0411000000004,142.2619999999999,0.0,0.0,0.0,0.0,0.0,163,214.7611,2560.0,286.8380000000008,142.2619999999999,268.0,0.0,0.0,0.015,4.810514959202162,5.478798882681588,NaN,1.332954018691589,3.2808815823459296,3.6883279999999994,1074.0,1103.0,537.0,2046.6666666666665,1279.9999999999998,204.0,190,0,0,0,60,55.0,2048.0,17578.041100000013,3071.0581999999995,7947.448,766,2,0,128,0.10133518625948179,0.7294663565548798,0.4118477545820547,0,7419.751000000011,5305.997999999984,60,0,0.0,0,0,0,0.0,0,0.0,680973.1278000015,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7309838387997927,384,15723.401100000026,128,665249.7267000001,4,2970.8356000000003,4,4448.695700000002,2,599.5272,-1327.2552000000003,13.398930000000002,857.7001,0,0,537,537,2 + government,sumsy,6,-1.4551915228366852e-11
4,512,4,4,31180.366499999975,0.0,8836.93889999997,1827.6856999999998,1866.9933,,1866.9933,0.0,0.0,0.0,0.0,0.0,0.0025,161.7416,0.0,0.0,1.0,539.7380999999999,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.99609375,0.7291605606904543,0.0,1051.0,2.0,0.0,1.0,0,0,0,0.253992594267624,0,819.7381835523618,3.120143719853447,822.8583272722152,3.1397616921121303,2.645659032531516,5.785420724643646,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-104.0271999999994,0.0,4,2560.0,330.8877999999998,1827.6857,164.20940000000002,0.0,0.0,0.0,0.0,0.0,212,197.066,2560.0,330.8877999999998,164.20940000000002,268.0,0.0,0.0,0.015,5.439295770676695,5.417497227356762,NaN,1.428898327137547,3.1171033217566473,3.5776781599999987,1082.0,1064.0,541.0,2048.0,1288.0,204.0,190,0,0,2,59,38.0,2048.0,19049.644299999985,1981.0961,9790.8185,765,3,0,128,0.12366277566917372,0.7359046376154672,0.40066221525354573,0,7261.9378,5787.410700000004,59,0,0.0,0,0,0,0.0,0,0.0,1.0266104366499999e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7379291411055153,384,16032.366099999997,128,1.01057807055e6,4,4181.798349999998,4,5313.421400000003,2,776.7234,-1705.2517,14.202865800000003,1307.2874499999998,0,0,541,541,2 + government,sumsy,6,-1.4551915228366852e-11
5,512,4,4,33362.56620000002,0.0,12723.959100000024,4262.1819,2315.5432,,2315.5432,0.0,0.0,0.0,0.0,0.0,0.0025,184.1419,0.0,0.0,1.0,610.2914999999999,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.725673921407485,0.0,1049.0,1.0,0.0,1.0,0,0,0,0.2568874856597312,0,642.0922202590051,2.7949972400150074,644.8872174990202,2.1438624506594115,2.154153395030895,4.298015845690307,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-173.72900000000055,0.0,5,2560.0,377.8002999999995,4269.597,187.31450000000004,0.0,0.0,0.0,0.0,0.0,213,216.8145,2560.0,377.8002999999995,187.31450000000004,268.0,0.0,0.0,0.015,5.572511412535081,5.584119593345655,NaN,1.5556299813780257,3.1623975042468095,3.4703478152,1082.0,1069.0,541.0,2045.3333333333335,1288.0,204.0,190,0,0,2,58,27.0,2048.0,17791.37209999999,2712.3276000000005,12457.9101,764,4,0,128,0.09967870616104979,0.7341702962029304,0.3979809617715695,0,7411.175000000021,5957.0147000000015,58,0,0.0,0,0,0,0.0,0,0.0,910906.0706999996,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7354951475651981,384,16352.109100000007,128,894553.9615999997,4,4449.4449,4,6215.675000000003,2,962.9305,-2131.4013,15.055037748000004,1155.0002,0,0,541,541,2 + government,sumsy,6,-1.4551915228366852e-11
6,512,4,4,35494.746800000015,0.0,14444.243900000001,2286.1263,2756.6359,,2756.6359,0.0,0.0,0.0,0.0,0.0,0.0025,208.8845,0.0,0.0,1.0,625.2346000000001,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9934895833333334,0.7229900817432484,0.0,1047.0,1.0,0.0,1.0,0,0,0,0.2584339858392336,0,569.0708434395475,2.3065936803520577,571.3774371198996,3.259486282781942,1.7824434153991557,5.041929698181098,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-277.8109249999996,0.0,5,2560.0,427.81939999999986,2286.1263,212.2350000000002,0.0,0.0,0.0,0.0,0.0,214,234.5119,2560.0,427.81939999999986,212.2350000000002,268.0,0.0,0.0,0.015,5.557759647495361,5.561337407407408,NaN,1.723370280373835,3.157341146049592,3.3662373807439994,1080.0,1078.0,540.0,2045.3333333333333,1286.0,204.0,189,0,0,0,49,32.0,2048.0,19036.108799999984,2002.0208,14013.220800000001,763,5,0,128,0.14217658424827362,0.7331783192884731,0.44501659909436997,4,7452.9201999999905,5991.264899999999,49,0,0.0,0,0,0,0.0,0,0.0,827370.6116499993,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,189,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7338246603195397,384,16350.408400000004,128,811020.2032500004,4,4498.70005,4,7160.447900000003,2,1156.9818,-2547.7514,15.958340012880004,1044.45865,0,0,540,540,2 + government,sumsy,6,-1.4551915228366852e-11
7,512,4,4,37584.56649999998,0.0,15839.485199999963,2053.3197999999998,3171.3335,,3171.3335,0.0,0.0,0.0,0.0,0.0,0.0025,229.9434,0.0,0.0,1.0,623.5820999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9921875,0.7200578260903445,0.0,911.0,1.0,0.0,1.0,0,0,0,0.25877318166629537,0,512.909435727494,1.8425420550469187,514.751977782541,4.457941371723801,1.675667613178306,6.133608984902107,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-394.6865250000028,0.0,6,2560.0,470.18029999999965,2717.0248000000006,233.3740000000002,0.0,0.0,0.0,0.0,0.0,215,242.69510000000002,2560.0,470.18029999999965,233.3740000000002,268.0,0.0,0.0,0.015,5.494716884328358,5.508760893854745,NaN,1.9097762711864412,3.1148494003507046,3.2652502593216792,1074.0,1072.0,537.0,2048.0,1280.0,204.0,192,0,0,2,50,32.0,2048.0,20716.030500000004,1860.7807,14535.1168,762,6,0,128,0.17354391887970722,0.73177361562628,0.43245806986597835,6,7437.413999999975,5890.336499999999,50,0,0.0,0,0,0,0.0,0,0.0,744110.9223000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7317161392972267,384,16425.32559999999,128,727685.5967000002,4,4234.2974,4,8080.694599999995,2,1348.3751000000002,-2941.3901,16.915840413652806,933.9171,0,0,537,537,2 + government,sumsy,6,-1.4551915228366852e-11
8,512,4,4,39630.40309999994,0.0,16174.616100000021,1075.0931,3557.8985000000007,,3557.8985000000007,0.0,0.0,0.0,0.0,0.0,0.0025,251.8582,0.0,0.0,1.0,616.5083999999995,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9921875,0.7201947977567564,0.0,908.0,0.0,0.0,1.0,0,0,0,0.2563609383407585,0,520.3327819679826,1.3508159085614877,521.6835978765441,5.688884873005933,1.5667957423178809,7.255680615323814,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-521.3549250000034,0.0,6,2560.0,514.1634000000005,1075.0931,255.34,0.0,0.0,0.0,0.0,0.0,216,289.6696,2560.0,514.1634000000005,255.34,268.0,0.0,0.0,0.015,5.427231992687381,5.5102872897195985,NaN,1.9552189035916832,3.0709138462029095,3.167292751542029,1070.0,1094.0,535.0,2045.3333333333333,1276.0,204.0,192,0,0,3,54,51.0,2048.0,22491.80710000001,1958.2742999999998,14638.7939,762,6,0,128,0.20997410820295204,0.7326609274584246,0.44947663519833214,5,7350.296699999996,5937.391799999995,54,0,0.0,0,0,0,0.0,0,0.0,745044.0153999998,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7321207779311854,384,16324.564999999999,128,728719.4503999999,4,4522.1422,4,9082.248999999996,2,1536.3696,-3306.0403000000006,17.930790838471975,933.9171,0,0,535,535,2 + government,sumsy,6,-1.4551915228366852e-11
9,512,4,4,41635.11689999997,0.0,17005.209699999985,1604.3134999999997,3914.9752000000003,,3914.9752000000003,0.0,0.0,0.0,0.0,0.0,0.0025,272.4789,0.0,0.0,1.0,608.9349000000001,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3,1,0.9908854166666666,0.7200505254686633,0.0,908.0,1.0,0.0,1.0,0,0,0,0.2577527487852498,0,527.0322476253424,0.8590657310927308,527.8913133564351,7.276441893124149,1.519385184466709,8.79582707759086,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-647.3879500000057,0.0,8,2560.0,555.2862000000005,2907.7097999999996,275.9221000000001,0.0,0.0,0.0,0.0,0.0,225,261.2312,2560.0,555.2862000000005,275.9221000000001,268.0,0.0,0.0,0.015,5.3624667624521,5.511873370577285,NaN,1.9490124528301895,3.0386044241506136,3.072273968995767,1074.0,1044.0,537.0,2044.0000000000002,1280.0,204.0,191,0,0,1,46,26.0,2048.0,24662.90080000003,1886.6054,14551.9006,761,7,0,128,0.24291472764871913,0.7331997389034397,0.4335212429012876,8,7274.871200000009,5598.415299999992,46,0,0.0,0,0,0,0.0,0,0.0,744125.5880500012,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,191,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7322473236261859,384,16433.927000000018,128,727691.6610500003,4,4904.057449999999,4,9745.6055,2,1700.0965999999999,-3642.4963000000002,19.006638288780294,931.24705,0,0,537,537,2 + government,sumsy,6,-1.4551915228366852e-11
10,512,4,4,43597.671399999985,0.0,18296.644600000018,2124.4381000000017,4244.1638,,4244.1638,0.0,0.0,0.0,0.0,0.0,0.0025,293.4363,0.0,0.0,1.0,601.6675,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10,0,0.9895833333333334,0.7202543021535677,0.0,906.0,1.0,0.0,1.0,0,0,0,0.25835088469012957,0,536.4971566318279,0.36863979116712303,536.865796422995,8.476748367156905,1.3836208067875313,9.860369173944436,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-777.6085343475382,0.0,11,2560.0,597.445499999999,2770.2310000000007,296.96049999999934,0.0,0.0,0.0,0.0,0.0,235,319.817,2560.0,597.445499999999,296.96049999999934,268.0,0.0,0.1547,0.015,5.2896082872928165,5.439476822429926,NaN,1.933636242884253,2.9758737231561074,2.9801057499258943,1070.0,1086.0,535.0,2046.6666666666665,1276.0,204.0,192,1,1,2,49,43.0,2047.0,26211.7217,2199.8671,14572.8293,760,8,0,128,0.26567190762042414,0.7339653415817704,0.4545443223785042,13,7134.741500000011,5744.514599999999,50,1,0.0,0,0,1,0.0,0,0.0,747170.0965999996,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7326091178110581,384,16422.586299999995,128,730747.5103000001,4,5120.088,4,10630.674400000002,2,1875.8727,-3950.7275000000004,20.147036586107113,933.9171,0,0,535,535,2 + government,sumsy,6,-1.4551915228366852e-11
