round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,26726.856500000133,0.0,1542.1502,1542.1501999999998,561.0,,561.0,0.0,0.0,0.0,0.0,0.0,0.0025,115.5793,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.708968992725491,0.0,672.0,2.0,0.0,1.0,0,0,0,1.0,0,339.36974078431365,2.8314411764705882,342.20118196078425,1.669132156862745,2.8554411764705883,4.524573333333334,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0,2560.0,234.90349999999958,1542.1501999999998,116.82759999999979,0.0,0.0,0.0,0.0,0.0,0,255.2652,2560.0,234.90349999999958,116.82759999999979,271.0,0.0,0.0,0.0,5.0,5.200000000000013,2.0,0.75,3.5939344262295285,3.920000000000001,320.0,77.0,160.0,2048.0,732.0,204.0,329,0,0,0,47,30.0,2048.0,17996.22200000002,1889.851,3909.1002,767,1,0,128,0.08255289835538093,0.7215427517685544,0.6559031901815815,0,5253.9847999999965,385.0,47,0,514.0,0,0,0,0.0,0,0.0,451221.6721999987,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1028.0,206.0,2560.8388,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,329,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7223230663703384,384,14150.141900000008,128,437071.53030000045,4,2265.201,4,3176.5000000000005,2,255.2652,-445.4207,11.925,562.9,0,0,160,160,4 + theatres,sumsy,8,4.3655745685100555e-11
2,512,4,4,29002.27409999998,0.0,4728.255000000002,3235.1623000000013,1006.4207,,1006.4207,0.0,0.0,0.0,0.0,0.0,0.0025,139.5929,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.99609375,0.7055950330331546,0.0,962.0,2.0,0.0,1.0,0,0,0,0.26107725556761374,0,340.0137805882353,2.4620331372549016,342.4758137254902,1.7817201960784312,2.583763333333333,4.365483529411764,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-9.811500000000004,0.0,0,2560.0,284.5824000000001,3235.162300000001,141.39510000000024,0.0,0.0,0.0,0.0,0.0,4,148.1977,2560.0,284.5824000000001,141.39510000000024,271.0,0.0,0.0,0.015,4.910839302112014,5.487096452328185,2.1479657627118507,1.1246040178571437,3.529462946428548,3.8023999999999996,902.0,1089.0,451.0,2048.0,1344.0,204.0,176,0,0,1,48,48.0,2048.0,17243.939099999996,2623.8698000000004,5968.7369,765,3,0,128,0.07745999899022005,0.7207044406332119,0.3857427583161426,0,7764.202399999971,5347.903999999983,48,0,590.0,0,0,0,0.0,0,0.0,451923.2482999996,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1267.2997999999918,236.0,2877.9377,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,176,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7205882794379042,384,14457.259699999995,128,437465.98860000004,4,2541.7735999999995,4,4257.6422,2,403.4629,-866.8278,12.640500000000001,562.697,0,0,451,451,4 + theatres,sumsy,8,4.3655745685100555e-11
3,512,4,4,31228.908600000002,0.0,8296.632500000003,3756.9176000000007,1417.8216000000004,,1417.8216000000004,0.0,0.0,0.0,0.0,0.0,0.0025,162.9646,0.0,0.0,1.0,550.9938000000005,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.99609375,0.7051141522106186,0.0,1045.0,0.0,0.0,1.0,0,0,0,0.25649641715834687,0,347.14679899716293,2.516482502523701,349.6632814996866,1.969843983846432,2.406256745358453,4.376100729204885,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-47.03252499999974,0.0,1,2560.0,333.36550000000057,4965.3447,165.44179999999957,0.0,0.0,0.0,0.0,0.0,5,215.2756,2560.0,333.36550000000057,165.44179999999957,271.0,0.0,0.0,0.015,4.817725493885217,5.471594776119418,2.298973140495871,1.3435181988742964,3.4101658761528473,3.6883279999999994,1072.0,1063.0,536.0,2046.6666666666667,1472.0000000000002,204.0,143,0,0,1,55,33.0,2048.0,16625.523799999995,3451.8423000000003,8347.4771,765,3,0,128,0.07938714679398573,0.7199735276758781,0.3264205774824722,1,8262.7094,5121.242199999986,55,0,484.0,0,0,0,0.0,0,0.0,453630.10739999946,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1112.7030000000016,194.0,2425.8252,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,143,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7193899719004695,384,15236.050699999993,128,438394.05669999996,4,2816.2627,4,4317.584200000001,2,605.9752,-1254.8570000000004,13.398930000000002,562.697,0,0,536,536,4 + theatres,sumsy,8,4.3655745685100555e-11
4,512,4,4,33404.814300000035,0.0,10639.515000000001,2698.6989000000003,1795.4060000000004,,1795.4060000000004,0.0,0.0,0.0,0.0,0.0,0.0025,187.8305,0.0,0.0,1.0,540.5489999999998,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.7058729087138376,0.0,1048.0,1.0,0.0,1.0,0,0,0,0.25332604992488983,0,356.3229505134602,2.4015508479640446,358.72450136142425,2.877621648237662,2.059715957462933,4.937337605700596,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-115.82052499999982,0.0,3,2560.0,384.0943000000002,4651.117600000002,190.64190000000036,0.0,0.0,0.0,0.0,0.0,72,203.3218,2560.0,384.0943000000002,190.64190000000036,271.0,0.0,0.0,0.015,5.432679714030384,5.403599072356241,2.3068316742081403,1.4431349532710276,3.283586242583096,3.5776781599999987,1078.0,1119.0,539.0,2046.6666666666667,1461.0,204.0,146,0,0,1,70,59.0,2048.0,17347.225200000015,4237.594300000001,9194.2156,764,4,0,128,0.1204088056895336,0.7214070700438362,0.3550395756341336,4,8075.325499999985,6079.1686,70,0,442.0,0,0,0,0.0,0,0.0,454950.1359000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1019.6195999999981,177.0,2234.6269,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,146,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7202359970650203,384,15082.882299999992,128,439867.2536,4,2405.4537,4,5372.017499999999,2,789.1238,-1607.5755000000004,14.202865800000003,562.697,0,0,539,539,4 + theatres,sumsy,8,4.3655745685100555e-11
5,512,4,4,35538.93589999997,0.0,12870.560400000002,2702.922300000001,2217.122400000002,,2217.122400000002,0.0,0.0,0.0,0.0,0.0,0.0025,207.9566,0.0,0.0,1.0,609.5469000000006,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.7031379639716315,0.0,1055.0,0.0,0.0,1.0,0,0,0,0.25201283871685254,0,316.44248440534136,2.2414078542021065,318.6838922595434,2.0444130265560645,1.8960664185714668,3.940479445127531,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-204.26085000000126,0.0,4,2560.0,425.8784000000004,3344.856400000001,211.27930000000043,0.0,0.0,0.0,0.0,0.0,75,223.3726,2560.0,425.8784000000004,211.27930000000043,271.0,0.0,0.0,0.015,5.598215598885802,5.584316240875922,2.39013380782918,1.5763737132352946,3.2104108691863127,3.4703478151999994,1096.0,1077.0,548.0,2046.6666666666665,1527.0,204.0,129,0,0,1,59,54.0,2048.0,16406.822500000002,5526.6973,10364.8857,764,4,0,128,0.0871110171331746,0.721427542553853,0.30747283796082536,3,8287.477899999996,6029.278200000009,59,0,562.0,0,0,0,0.0,0,0.0,455493.9185000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1343.2551999999991,225.0,2809.2012,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,129,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7193046041901587,384,15069.622800000003,128,440424.29569999996,4,2758.246500000001,4,6280.5711,2,985.4541000000002,-2009.165800000002,15.055037748000004,562.697,0,0,548,548,4 + theatres,sumsy,8,4.3655745685100555e-11
6,512,4,4,37625.68499999997,0.0,13654.857400000017,1370.0225000000007,2637.286900000002,,2637.286900000002,0.0,0.0,0.0,0.0,0.0,0.0025,231.3643,0.0,0.0,1.0,628.1211000000003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.7035289976163848,0.0,1046.0,0.0,0.0,1.0,0,0,0,0.2564374129385911,0,308.4522234840838,1.883715428919538,310.33593891300336,3.598452118979326,1.7246775327102977,5.323129651689623,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-310.75827499999934,0.0,5,2560.0,473.2509000000002,1378.7377000000008,234.8719,0.0,0.0,0.0,0.0,0.0,161,450.9106,2560.0,473.2509000000002,234.8719,271.0,0.0,0.0,0.015,5.610979274116524,5.629359925788457,2.4043321167883223,1.731151588785047,3.2198890890179253,11.59852786787942,1078.0,1047.0,539.0,2046.6666666666667,1339.0,204.0,177,0,0,2,54,25.0,2048.0,18853.098400000006,5565.5574,10995.4887,764,4,0,128,0.15344943873887318,0.7216208760222353,0.4219951114327052,5,7710.148900000024,5874.6953,54,0,137.0,0,0,0,0.0,0,0.0,456582.3133000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,329.39350000000013,55.0,1529.2656000000002,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,177,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7188179915797475,384,15189.365300000003,128,441392.948,4,3069.7983999999983,4,7142.3592,2,1175.7837,-2405.9226000000017,15.958340012880004,562.697,0,0,539,539,4 + theatres,sumsy,8,4.3655745685100555e-11
7,512,4,4,39669.81520000003,0.0,15523.26449999999,2501.8311999999996,3035.476800000002,,3035.476800000002,0.0,0.0,0.0,0.0,0.0,0.0025,252.7205,0.0,0.0,1.0,629.5542,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9934895833333334,0.7055456354975866,0.0,912.0,1.0,0.0,1.0,0,0,0,0.2587295131934906,0,312.11296406450623,1.4895573627853163,313.60252142729155,4.973791353109687,1.4803523707358717,6.454143723845558,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-420.93250000000484,0.0,6,2560.0,515.8698000000003,3166.3804,256.19740000000013,0.0,0.0,0.0,0.0,0.0,161,167.2776,2560.0,515.8698000000003,256.19740000000013,271.0,0.0,0.0,0.015,5.559066574330561,5.583549814126377,2.5030075242718457,1.9304795497185745,3.34595632887985,11.250572031843038,1076.0,1083.0,538.0,2045.3333333333335,1447.0,204.0,149,0,0,2,49,37.0,2048.0,20687.682,3732.6402,12962.950400000002,763,5,0,128,0.19686454608894777,0.7241070724952938,0.412539154825301,9,8304.327300000028,6020.469099999998,49,0,412.0,0,0,0,0.0,0,0.0,459705.5274999997,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1031.2391000000005,165.0,1866.5445,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,149,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7219937404550947,384,15059.560600000006,128,444645.9669,4,2079.021999999999,4,8148.329,2,1265.1514,-2782.7563000000023,16.915840413652806,564.0485,0,0,538,538,4 + theatres,sumsy,8,4.3655745685100555e-11
8,512,4,4,41672.902299999994,0.0,16764.157999999996,1979.4996999999992,3406.4812000000024,,3406.4812000000024,0.0,0.0,0.0,0.0,0.0,0.0025,273.1921,0.0,0.0,1.0,623.7249,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3,0,0.9921875,0.7071478696512388,0.0,645.0,1.0,0.0,1.0,0,0,0,0.2500403041910324,0,318.7860725005631,1.029093629929934,319.815166130493,5.82307556008727,1.5974968203254545,7.420572380412724,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-545.8095250000097,0.0,6,2560.0,556.9128999999998,1979.4996999999992,276.70200000000006,0.0,0.0,0.0,0.0,0.0,163,360.0736,2560.0,556.9128999999998,276.70200000000006,271.0,0.0,0.0,0.015,5.517078087279474,5.601228464419462,2.5744053703703726,1.9831621212121224,3.2627615903622886,10.913054870887745,1068.0,1077.0,534.0,2045.3333333333333,1490.0,204.0,139,0,0,3,52,41.0,2048.0,22065.173399999963,2244.3099,14418.4189,762,6,0,128,0.22718328416099087,0.7267899282363164,0.39297416449216027,5,8313.869200000016,5941.893099999994,52,0,540.0,0,0,0,0.0,0,0.0,462235.40280000016,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1390.1789000000012,216.0,2311.7344000000003,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,139,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7239546191447941,384,14526.762300000002,128,447708.6404999999,4,1435.5356999999992,4,9091.989199999998,2,1487.6227000000003,-3133.2891000000027,17.930790838471975,565.4,0,0,534,534,4 + theatres,sumsy,8,4.3655745685100555e-11
9,512,4,4,43636.26049999998,0.0,17188.817400000014,1243.6908000000005,3752.306700000003,,3752.306700000003,0.0,0.0,0.0,0.0,0.0,0.0025,292.952,0.0,0.0,1.0,619.0176000000005,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9,0,0.9921875,0.7070377352728512,0.0,644.0,0.0,0.0,1.0,0,0,0,0.2566638764186566,0,322.81881631392605,0.41802924727811125,323.2368455612041,6.617081419625642,1.6245386998255624,8.241620119451206,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-679.3906500000166,0.0,9,2560.0,596.6418000000007,2418.3763999999996,296.5307999999999,0.0,0.0,0.0,0.0,0.0,168,252.77190000000002,2560.0,596.6418000000007,296.5307999999999,271.0,0.0,0.0,0.015,5.438707497656986,5.615676765799266,2.6639606271777,1.9714667293233106,3.3245488060358297,10.585663224761111,1076.0,1067.0,538.0,2044.0,1512.0000000000002,204.0,133,0,0,2,51,35.0,2048.0,23205.31040000003,2323.7817,14780.6376,762,6,0,128,0.2468164791178844,0.7289619307241255,0.39391583458478263,5,8457.69319999999,5803.100900000004,51,0,574.0,0,0,0,0.0,0,0.0,462893.99460000073,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1529.1133999999997,230.0,2780.8069,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,133,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7249435331219309,384,14059.305100000007,128,448834.6895000001,4,1787.693999999998,4,9874.410899999999,2,1620.9408000000003,-3459.3547000000026,19.006638288780294,565.4,0,0,538,538,4 + theatres,sumsy,8,4.3655745685100555e-11
10,512,4,4,45558.03510000001,0.0,17260.65679999998,932.8214000000002,4069.579900000003,,4069.579900000003,0.0,0.0,0.0,0.0,0.0,0.0025,313.9814,0.0,0.0,1.0,610.2251999999995,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,21,0,0.9908854166666666,0.7266345178342448,0.0,646.0,2.0,0.0,1.0,0,0,0,0.260307719952382,0,713.3250594357095,0.01756598871164905,713.3426254244212,9.173860362733128,1.4478115494911261,10.621671912224254,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-813.2149823097551,0.0,9,2560.0,638.2254,932.8214000000002,317.402,0.0,0.0,0.0,0.0,0.0,182,498.0537,2560.0,638.2254,317.402,271.0,0.0,0.0,0.015,5.387791753554504,5.683207462686575,2.708343166666671,1.9592512287334611,3.2584395792075607,10.268093328018278,1072.0,1055.0,536.0,2045.3333333333333,1518.0,204.0,131,0,0,0,41,25.0,2048.0,25367.71110000001,983.3982,15108.3409,761,7,0,128,0.2964590930087523,0.7411286508417776,0.38472809070289693,10,8317.774299999985,5684.120300000001,41,0,600.0,0,0,0,0.0,0,0.0,999595.5779999996,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1625.0059000000026,240.0,3286.5498,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,131,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7404742986546449,384,13723.987999999998,128,985871.5900000001,4,6208.5091999999995,4,10529.170000000002,2,1797.2099999999996,-3755.598500000003,20.147036586107113,1268.701,0,0,536,536,4 + theatres,sumsy,8,4.3655745685100555e-11
