round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,26726.865700000086,0.0,1013.3000999999999,1013.3000999999999,560.9999999999999,,560.9999999999999,0.0,0.0,0.0,0.0,0.0,0.0025,121.7431,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7091384176830746,0.0,672.0,1.0,0.0,1.0,0,0,0,0.8182047721247316,0,338.13591137254895,2.7452843137254903,340.88119568627445,2.0070331372549015,2.8494705882352944,4.856503725490196,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0,2560.0,234.89429999999996,1013.3000999999999,123.01639999999996,6.205599999999999,0.0,0.0,0.0,0.0,0,255.2652,2560.0,234.89429999999996,116.81079999999997,271.0,0.0,0.0,0.0,5.0,5.200000000000013,2.0,0.75,3.5939344262295285,3.920000000000001,320.0,89.0,160.0,2048.0,732.0,204.0,329,0,0,0,56,33.0,2048.0,18475.121600000024,1706.7809000000002,3611.3353,767,1,0,128,0.09778161112938921,0.7218756153194825,0.6563282596586015,0,5244.017799999997,445.0,56,0,514.0,0,0,0,0.0,0,0.0,449229.2216999976,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1028.0,206.0,2556.6196,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,329,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7226060923452851,384,13943.785599999985,128,435285.4361000005,4,2267.1809000000003,4,3245.0352000000003,2,255.2652,-439.25689999999986,11.925,560.4,0,0,160,160,6 + charge on balances,sumsy,5,-4.3655745685100555e-11
2,512,4,4,29002.55160000005,0.0,5332.015199999998,4341.330099999998,1000.2569000000003,,1000.2569000000003,0.0,0.0,0.0,0.0,0.0,0.0025,146.4874,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7058762507063545,0.0,967.0,1.0,0.0,1.0,0,0,0,0.2639066612569312,0,339.3432005882354,2.486010980392157,341.82921156862756,1.3730125490196081,2.6326535294117646,4.005666078431373,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-4.523,0.0,7,2560.0,284.31409999999977,4775.0046999999995,148.67049999999986,7.6048,0.0,0.0,0.0,0.0,90,145.6328,2560.0,284.31409999999977,141.06569999999982,271.0,0.0,0.0,0.015,4.909692737430153,5.491937280701761,2.1507953642384003,1.1276306167400871,3.5299069117646877,3.8023999999999996,912.0,1074.0,456.0,2048.0,1360.0,204.0,172,0,0,1,52,32.0,2048.0,16113.450199999976,2103.5945,7601.009,766,2,0,128,0.0559360980840331,0.7209085146852998,0.37744307179214376,0,7853.22109999997,5273.009999999985,52,0,604.0,0,0,0,0.0,0,0.0,450974.01269999915,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1299.080399999994,242.0,2892.3777,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,172,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7208292553847424,384,14323.254900000002,128,436650.7577999998,4,2561.8571,4,4149.658800000001,2,400.89799999999997,-853.7695000000003,12.640500000000001,561.3574,0,0,456,456,6 + charge on balances,sumsy,5,-4.3655745685100555e-11
3,512,4,4,31224.650200000055,0.0,8941.752199999995,3827.449600000001,1404.6358000000005,,1404.6358000000005,0.0,0.0,0.0,0.0,0.0,0.0025,167.0026,0.0,0.0,1.0,550.8663000000005,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.99609375,0.7081430307249095,0.0,1048.0,1.0,0.0,1.0,0,0,0,0.2583304667785701,0,347.75600244619847,2.616112158063094,350.3721146042615,2.528685457809182,2.234296003722404,4.762981461531586,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-47.839324999999924,0.0,10,2560.0,337.90140000000076,7450.784100000003,169.61419999999998,1.9695,0.0,0.0,0.0,0.0,137,219.4862,2560.0,337.90140000000076,167.6447,271.0,0.0,0.0,0.015,4.817699164345378,5.454336988847577,2.1375582417582466,1.3411203738317743,3.4374551969051,9.439075986865545,1076.0,1077.0,538.0,2046.6666666666667,1354.9999999999998,204.0,172,0,0,3,52,36.0,2048.0,17738.842399999998,3499.3037,8756.549500000001,765,3,0,128,0.11430290534787813,0.7202192320921939,0.39473779177421964,0,7874.57480000001,5188.661999999973,52,0,182.0,0,0,0,0.0,0,0.0,453853.3861999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,389.0356000000009,73.0,843.4658,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,172,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7198948238892255,384,15166.829900000004,128,438686.5563,4,2623.1575,4,4273.091199999999,2,607.621,-1237.6332000000004,13.398930000000002,562.3148,0,0,538,538,6 + charge on balances,sumsy,5,-4.3655745685100555e-11
4,512,4,4,33405.45560000001,0.0,10978.13300000001,2425.022499999999,1778.1771000000003,,1778.1771000000003,0.0,0.0,0.0,0.0,0.0,0.0025,184.9807,0.0,0.0,1.0,540.5439000000005,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.99609375,0.7057601537789553,0.0,1044.0,0.0,0.0,1.0,0,0,0,0.2578426063411652,0,355.20434650590255,2.7182284356114432,357.922574941514,2.284972234256392,2.4538645874862075,4.738836821742599,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-123.16304999999952,0.0,14,2560.0,379.1945999999995,5760.754000000001,188.05870000000013,0.0,0.0,0.0,0.0,0.0,139,204.3751,2560.0,379.1945999999995,188.05870000000013,271.0,0.0,0.0,0.015,5.449761775700934,5.4158358878504345,2.2555042483660137,1.4479270676691722,3.4043604292611898,9.15590370725958,1070.0,1070.0,535.0,2044.0,1521.0000000000002,204.0,130,0,0,3,48,37.0,2048.0,17019.896299999997,5366.1116,9357.6666,765,3,0,128,0.09545020448958663,0.7201566572236646,0.30303022503358035,1,8466.243499999991,5831.245099999999,48,0,612.0,0,0,0,0.0,0,0.0,454754.3149999998,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1380.3686000000005,245.0,1272.4252999999999,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,130,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7190292701541467,384,15419.090100000001,128,439335.2248999999,4,2895.9483999999993,4,5107.9676,2,791.9513,-1593.1964000000003,14.202865800000003,562.3148,0,0,535,535,6 + charge on balances,sumsy,5,-4.3655745685100555e-11
5,512,4,4,35540.84390000008,0.0,13237.120300000015,2750.434400000001,2204.6609,,2204.6609,0.0,0.0,0.0,0.0,0.0,0.0025,206.9077,0.0,0.0,1.0,611.4645000000005,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.99609375,0.702819843436904,0.0,1042.0,0.0,0.0,1.0,0,0,0,0.2554350409707888,0,314.6361478782703,2.485161515808126,317.1213093940784,1.827780919277731,1.9840189052605326,3.8117998245382636,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-215.16417499999946,0.0,19,2560.0,424.6116999999998,3502.041800000001,210.50690000000017,0.0,0.0,0.0,0.0,0.0,161,227.2615,2560.0,424.6116999999998,210.50690000000017,271.0,0.0,0.0,0.015,5.583309223744292,5.577244962686583,2.3436233400402418,1.583087992495309,3.325185288580653,8.881226596041794,1072.0,1095.0,536.0,2044.0000000000002,1477.0,204.0,142,0,0,2,63,47.0,2048.0,16236.717099999967,6097.509099999999,11131.3056,765,3,0,128,0.07475360355240435,0.719893362412473,0.3275540697901058,2,8287.8304,6113.7236,63,0,497.0,0,0,0,0.0,0,0.0,455397.19640000013,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1164.7808000000002,199.0,1641.1428999999998,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,142,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7178827767695803,384,15322.312000000002,128,440074.88439999986,4,3212.117100000001,4,6209.649999999999,2,988.1933999999999,-1997.7531999999999,15.055037748000004,562.3148,0,0,536,536,6 + charge on balances,sumsy,5,-4.3655745685100555e-11
6,512,4,4,37628.05900000002,0.0,15180.811400000017,2551.3301000000006,2624.2014999999997,,2624.2014999999997,0.0,0.0,0.0,0.0,0.0,0.0025,232.9236,0.0,0.0,1.0,626.4483000000005,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.99609375,0.7036106218993485,0.0,1051.0,0.0,0.0,1.0,0,0,0,0.2566341683884298,0,308.3758164197521,2.228022790350856,310.60383921010293,2.564294830654335,1.8513570725491402,4.415651903203475,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-325.4873999999996,0.0,19,2560.0,472.7849000000008,2551.3301000000006,236.93690000000018,2.5515,0.0,0.0,0.0,0.0,272,238.6922,2560.0,472.7849000000008,234.3854000000002,271.0,0.0,0.0,0.015,5.6009377840909105,5.605027440147325,2.405491111111111,1.752684814814816,3.2045403074076972,10.448706288446278,1086.0,1056.0,543.0,2045.3333333333335,1328.0,204.0,179,0,0,2,48,33.0,2048.0,17708.296199999993,6177.0382,12801.4887,765,3,0,128,0.1183347099276908,0.7205392675671414,0.4225411554119638,1,7699.222800000022,5914.590300000002,48,0,90.0,0,0,0,0.0,0,0.0,456562.37240000017,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,216.4942,36.0,469.6201,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,179,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7178723306212735,384,15424.451600000006,128,441137.9207999999,4,3477.0837,4,7038.040300000001,2,1185.6473999999998,-2391.2778999999996,15.958340012880004,562.3148,0,0,543,543,6 + charge on balances,sumsy,5,-4.3655745685100555e-11
7,512,4,4,39668.09869999996,0.0,16855.195200000002,2388.615099999999,3019.7049999999995,,3019.7049999999995,0.0,0.0,0.0,0.0,0.0,0.0025,268.9774,0.0,0.0,1.0,628.4270999999995,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.7156636738648832,0.0,1041.0,2.0,0.0,1.0,0,0,0,0.2565092470965993,0,414.97559127140016,1.6226766185707389,416.5982678899709,4.194112948906348,1.4133578548667227,5.6074708037730705,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-451.05400000000014,0.0,21,2560.0,519.9602999999995,3184.405099999999,273.2512000000001,15.4085,0.0,0.0,0.0,0.0,273,265.3067,2560.0,519.9602999999995,257.8427,271.0,0.0,0.0,0.015,5.56029744292238,5.585735834896829,2.5083777777777794,1.9358784499054809,3.249047755141456,10.13524509979289,1066.0,1095.0,533.0,2045.3333333333333,1402.0,204.0,160,0,0,1,55,50.0,2048.0,19375.57429999999,5145.0711,13822.9971,764,4,0,128,0.18104464242375684,0.7298802405046234,0.416416020402401,6,8036.416800000029,6088.525700000006,55,0,324.0,0,0,0,0.0,0,0.0,607155.4369999997,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,812.7144000000005,130.0,790.1721,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,160,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7291305798003771,384,15133.873700000007,128,592021.5633,4,3143.1569999999992,4,8127.7354,2,1381.5319,-2750.7275999999993,16.915840413652806,756.7639,0,0,533,533,6 + charge on balances,sumsy,5,-4.3655745685100555e-11
8,512,4,4,41666.843999999954,0.0,17240.759199999997,1198.6779999999999,3374.5953,,3374.5953,0.0,0.0,0.0,0.0,0.0,0.0025,287.1135,0.0,0.0,1.0,623.8677000000006,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3,1,0.9947916666666666,0.7157741334855425,0.0,511.0,0.0,0.0,1.0,0,0,0,0.25527945888216447,0,419.8281278383153,1.0922938014949883,420.9204216398103,5.2990203697230545,1.3003705526629799,6.599390922386034,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-589.2844250000006,0.0,24,2560.0,561.2547000000006,2931.7702,291.3622999999999,12.859,0.0,0.0,0.0,0.0,278,250.2851,2560.0,561.2547000000006,278.5033,271.0,0.0,0.0,0.015,5.50341226415094,5.506542193308574,2.5570575936883646,1.9819080524344557,3.2693991738019266,9.831187746799102,1076.0,1060.0,538.0,2046.6666666666665,1484.9999999999998,204.0,140,0,0,0,52,34.0,2048.0,20753.057100000005,5032.4409000000005,14076.596000000001,764,4,0,128,0.21058575392181322,0.7314608259951221,0.39309479908202927,13,8341.685399999991,5833.616999999997,52,0,507.0,0,0,0,0.0,0,0.0,607918.4269000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1296.4282000000007,203.0,1267.3514,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,140,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7298514313885884,384,14746.288,128,593172.1389000003,4,3325.841500000001,4,8982.432200000003,2,1568.1221,-3087.4818,17.930790838471975,756.7639,0,0,538,538,6 + charge on balances,sumsy,5,-4.3655745685100555e-11
9,512,4,4,43625.041699999994,0.0,17454.749699999993,1067.7869000000003,3704.9644,,3704.9644,0.0,0.0,0.0,0.0,0.0,0.0025,321.2209,0.0,0.0,1.0,617.4825999999999,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5,0,0.9934895833333334,0.7331525101455563,0.0,510.0,2.0,0.0,1.0,0,0,0,0.2555929104889786,0,1006.9284664836155,0.766595874478938,1007.6950623580944,8.123220508803028,1.2967589337428764,9.419979442545904,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-727.5693674936464,0.0,29,2560.0,601.8022999999993,3056.2881000000007,325.54069999999933,26.7986,0.0,0.0,0.0,0.0,292,504.616,2560.0,601.8022999999993,298.74209999999937,271.0,0.0,0.0,0.015,5.440540863177222,5.564894259259265,2.608917321428573,1.9579648598130834,3.252548845058148,9.536252114395129,1080.0,1089.0,540.0,2048.0,1510.0,204.0,134,0,0,1,58,42.0,2048.0,23166.066599999984,3220.5574,14626.5114,763,5,0,128,0.27622417247871867,0.7430915942107446,0.3858448522995612,12,8336.588699999975,5924.748999999994,58,0,560.0,0,0,0,0.0,0,0.0,1.4258855680999996e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1460.993700000001,224.0,1786.0694,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,134,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7442550082154118,384,14369.387299999997,128,1.4115161807999997e6,4,7916.0344000000005,4,9868.1453,2,1749.3812999999998,-3383.7435,19.006638288780294,1826.7641,0,0,540,540,6 + charge on balances,sumsy,5,-4.3655745685100555e-11
10,512,4,4,45542.96109999994,0.0,17559.417299999972,993.2208999999999,3994.1726999999996,,3994.1726999999996,0.0,0.0,0.0,0.0,0.0,0.0025,340.4551,0.0,0.0,1.0,610.4292,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,14,0,0.9921875,0.7328309073049453,0.0,508.0,2.0,0.0,1.0,0,0,0,0.25650378011417485,0,1015.9530382389106,0.22044611162629268,1016.1734843505369,11.304819664090422,1.1870267698508519,12.491846433941275,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-864.3285027575772,0.0,33,2560.0,642.0805999999997,2342.6289999999985,344.5073999999998,25.4934,0.0,0.0,0.0,0.0,300,631.4127,2560.0,642.0805999999997,319.01399999999995,271.0,0.0,0.0,0.015,5.380793521126762,5.656201851851837,2.693923785594638,1.953556179775281,3.333527990064552,9.250164550963275,1080.0,1065.0,540.0,2046.6666666666667,1525.0,204.0,130,0,0,3,50,36.0,2048.0,25693.39979999997,1591.9686000000002,14957.4913,762,6,0,128,0.33154811324589706,0.7436573939571669,0.39654377944819297,19,8451.050899999971,5730.545100000001,50,0,597.0,0,0,0,0.0,0,0.0,1.4208600384999996e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1608.272499999999,239.0,2328.2336,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,130,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7445196323272409,384,14088.748500000002,128,1.4067712900000003e6,4,8365.4613,4,10524.798499999999,2,1803.2406,-3653.7175999999995,20.147036586107113,1819.4207,0,0,540,540,6 + charge on balances,sumsy,5,-4.3655745685100555e-11
