round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,26741.29960000002,0.0,1343.2506999999996,1343.2507,561.0,,561.0,0.0,0.0,0.0,0.0,0.0,0.0025,120.0613,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7354177915923461,0.0,672.0,2.0,0.0,1.0,0,0,0,1.0,379,441.8019509110877,2.756043506293369,444.5579944173811,6.55957843137255,2.0011066666666664,8.560685098039217,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,48,2560.0,243.98039999999975,1343.2507,121.34699999999985,0.0,0.0,0.0,0.0,0.0,0,258.1752,2560.0,243.98039999999975,121.34699999999985,274.0,0.0,0.0,0.0,5.0,5.200000000000013,2.0,0.75,3.594822888283399,3.9200000000000013,320.0,72.0,160.0,2048.0,734.0,204.0,328,0,0,0,43,29.0,2048.0,17821.911600000014,1908.6928,4068.8883,767,1,0,128,0.1863667541684335,0.7354177915923461,0.6599937522096022,1,5256.584799999997,360.0,43,0,520.0,0,0,0,0.0,0,0.0,549116.3885799035,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1040.0,208.0,2563.5704,4,39.858900000000006,39.858799999999995,0.6205880993276554,5120.0,83.39518229166667,0.13808433105468745,355,0,0.0,0,6113.230874333322,4269.833333333333,343,0.4780049880521205,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,0,12,0.0,0,0.0,1200.0,17.6005,715.4468000000005,0.0,715.4468000000005,0.0,39.858900000000006,11058.852799999993,8541.1515,0.7411836952316937,384,13805.217047296976,128,535311.1715326062,4,271.85069999999996,4,1.0,2,258.1752,-440.9387,11.925,662.9,0,0,160,160,8 + shareholders & share market,sumsy,2,1.8917489796876907e-10
2,512,4,4,29008.84090000004,0.0,5054.427600000004,3750.2893999999997,1001.9386999999999,,1001.9386999999999,0.0,0.0,0.0,0.0,0.0,0.0025,143.0723,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7369113151675502,0.0,960.0,0.0,0.0,1.0,0,0,0,0.25390972315523114,434,463.65909920970245,2.3913967145376858,466.0504959242401,6.753626666666667,2.201628235294118,8.955254901960785,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-7.822499999999998,0.0,48,2560.0,292.4587000000001,3750.2893999999997,145.1776000000003,0.0,0.0,0.0,0.0,0.0,6,399.1616,2560.0,292.4587000000001,145.1776000000003,274.0,0.0,0.0,0.015,4.884475485661381,5.485316035634728,2.2029284313725506,1.1304618303571412,3.5509879475982222,20.799161969696968,898.0,1081.0,449.0,2048.0,1145.0,204.0,225,0,0,0,46,40.0,2048.0,17881.9025,3727.7916999999998,6083.8112,767,1,0,128,0.19645922852596676,0.7369113151675502,0.4531945741454584,1,7068.44629999998,5280.117999999952,46,0,102.0,0,0,0,0.0,0,0.0,561844.5054585249,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,224.69870000000017,41.0,773.1016,4,39.427600000000005,39.427899999999966,0.65746049333055,5120.0,73.35611979166667,0.12963663085937496,355,0,0.0,0,4934.360620475408,3755.8333333333335,407,0.7038861105032869,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,225,0.0,0,12,0.0,0,0.0,1200.0,669.6229000000001,7887.499961035495,0.0,7887.499961035495,0.0,39.427600000000005,13370.90060000001,10584.704500000002,0.7417980148977525,384,14968.66719706611,128,546875.8382614581,4,258.51970000000006,4,0.9500000000000455,2,399.1616,-858.8663999999999,12.640500000000001,662.9,0,0,449,449,8 + shareholders & share market,sumsy,2,1.8917489796876907e-10
3,512,4,4,31226.51129999999,0.0,8157.234499999999,3307.387399999999,1406.9022,,1406.9022,0.0,0.0,0.0,0.0,0.0,0.0025,167.2303,0.0,0.0,1.0,548.0357999999995,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7367498450041581,0.0,1047.0,0.0,0.0,1.0,0,0,0,0.2554445026270721,444,496.85707814612994,2.8121255185787195,499.6692036647086,7.019848004325338,2.135473435720696,9.155321440046034,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-48.348299999999966,0.0,48,2560.0,342.3296,3307.3873999999996,169.8537000000002,0.0,0.0,0.0,0.0,0.0,8,111.84710000000001,2560.0,342.3296,169.8537000000002,274.0,0.0,0.0,0.015,4.814031680440779,5.4869675373134275,2.3516946808510633,1.3355487850467296,3.4650225300085675,20.175187110606064,1072.0,1089.0,536.0,2048.0,1316.0,204.0,183,0,0,1,59,47.0,2048.0,17797.319999999978,5193.7956,7417.713100000001,767,1,0,128,0.20450769784527245,0.7367498450041581,0.4081790654128601,2,7768.222200000009,5242.480500000009,59,0,94.0,0,0,0,0.0,0,0.0,578165.5227374573,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,221.05929999999995,38.0,538.6052,4,16.7166,16.715699999999977,0.8518016768014415,5120.0,65.72916666666667,0.13402180989583337,382,0,0.0,0,4713.6457947947965,3365.3333333333335,432,0.8064956363356325,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,183,0.0,0,12,0.0,0,0.0,1200.0,1097.3867000000007,9446.639347990807,0.0,9446.639347990807,0.0,16.7166,13977.967199999981,13150.1139,0.7413572225223453,384,18768.283868135743,128,559397.2388693213,4,245.18870000000004,4,0.900000000000091,2,495.0722,-1239.6719,13.398930000000002,662.9,0,0,536,536,8 + shareholders & share market,sumsy,2,1.8917489796876907e-10
4,512,4,4,33394.5204,0.0,11947.056699999976,4139.5236,1779.8078,,1779.8078,0.0,0.0,0.0,0.0,0.0,0.0025,190.7346,0.0,0.0,1.0,540.1358999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7360827873641973,0.0,1052.0,0.0,0.0,1.0,0,0,0,0.2545086441591465,444,518.2690258952377,3.1780690176494883,521.4470949128872,3.2664113755266135,2.132303065538623,5.398714441065236,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-115.85049999999995,0.0,69,2560.0,391.9909000000001,5429.626899999998,194.24140000000003,0.0,0.0,0.0,0.0,0.0,11,246.44209999999998,2560.0,391.9909000000001,194.24140000000003,274.0,0.0,0.0,0.015,5.45728875464684,5.421643438077648,2.4281306249999997,1.4341059259259255,3.1978505087860998,19.56993149728788,1082.0,1076.0,541.0,2046.6666666666667,1352.0,204.0,173,0,0,0,52,47.0,2048.0,15489.908700000013,6588.1475,10173.3812,767,1,0,128,0.11194121762772635,0.7360827873641973,0.36408989201715114,0,7634.663199999993,5872.0427,52,0,160.0,0,0,0,0.0,0,0.0,588517.4208895192,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,388.50089999999994,64.0,705.9063000000001,4,6.9392,6.938099999999996,0.9320600812096158,5120.0,58.683268229166664,0.15576900065104168,326,0,0.0,0,3053.0941624685306,3004.5833333333335,437,1.151522149604591,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,173,0.0,0,12,0.0,0,0.0,1200.0,1530.1726000000006,5562.656605038755,0.0,5562.656605038755,0.0,6.9392,13330.303900000017,17467.435,0.7405981338706293,384,20766.2180330123,128,567751.2028565065,4,231.85770000000002,4,0.849999999999909,2,734.8346999999999,-1589.0732,14.202865800000003,662.9,0,0,541,541,8 + shareholders & share market,sumsy,2,1.8917489796876907e-10
5,512,4,4,35522.49729999997,0.0,14523.654099999998,3114.6299,2201.379200000002,,2201.379200000002,0.0,0.0,0.0,0.0,0.0,0.0025,210.0328,0.0,0.0,1.0,612.3059999999992,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7375245783156514,0.0,1048.0,0.0,0.0,1.0,0,0,0,0.2568113057644312,444,468.49259506165924,2.7432271665769825,471.2358222282362,2.4876690682369973,1.8040765496022932,4.2917456178392905,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-217.5223,0.0,95,2560.0,432.02310000000006,4209.717899999999,214.01830000000004,0.0,0.0,0.0,0.0,0.0,12,201.3518,2560.0,432.02310000000006,214.01830000000004,274.0,0.0,0.0,0.015,5.6145924457034875,5.61777076350093,2.6711526315789476,1.5762649253731338,3.2189703747286194,18.982833552369243,1074.0,1059.0,537.0,2048.0,1303.0,204.0,186,0,0,2,56,28.0,2048.0,15662.605700000006,6706.2898,12422.098199999999,767,1,0,128,0.10446380462964422,0.7375245783156514,0.4025742055089505,0,7576.308900000009,5945.853399999994,56,0,57.0,0,0,0,0.0,0,0.0,596267.6129750671,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,152.25570000000002,23.0,320.11899999999997,4,25.475799999999996,25.476099999999985,1.0397242297374232,5120.0,56.54296875,0.1694198079427083,83,0,0.0,0,912.1447542625575,2895.0,439,1.3973337050684316,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,186,0.0,0,12,0.0,0,0.0,1200.0,2400.569799999999,2239.4600779643383,0.0,2239.4600779643383,0.0,25.475799999999996,13258.103400000005,19448.506999999998,0.7417660452239525,384,21644.944388868007,128,574622.6685861992,4,218.5267,4,0.7999999999999545,2,923.9144999999999,-1991.3464000000022,15.055037748000004,662.9,0,0,537,537,8 + shareholders & share market,sumsy,2,1.8917489796876907e-10
6,512,4,4,37602.65440000004,0.0,16881.940199999983,3030.2499999999977,2326.0512000000012,,2326.0512000000012,0.0,0.0,0.0,0.0,0.0,0.0025,233.2473,0.0,0.0,1.0,629.9570999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7390248118672176,0.0,1050.0,0.0,0.0,1.0,0,0,0,0.2610282654405488,444,476.49089045876894,2.568542221669314,479.0594326804383,2.6642949665213966,1.6265320758714674,4.2908270423928645,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-340.61760000000027,0.0,99,2560.0,479.8428999999999,3337.181999999998,237.6961,0.0,0.0,0.0,0.0,0.0,66,242.0763,2560.0,479.8428999999999,237.6961,274.0,0.0,295.2523000000001,0.015,5.605291705937796,5.628956111111093,2.827635,1.7471055658627097,3.2000186680039837,18.41334854579817,1080.0,1061.0,540.0,2045.3333333333335,1302.0,204.0,185,0,0,1,44,22.0,2048.0,15530.121799999983,7243.062999999999,14091.7729,767,1,0,128,0.12012115922965627,0.7390248118672176,0.45978381514221955,0,7347.762399999985,5947.214500000001,44,0,40.0,0,0,0,0.0,0,0.0,612029.7026588637,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,113.10539999999999,16.0,262.37309999999997,4,49.3028,49.300099999999915,1.2807387997861923,5120.0,55.950520833333336,0.1854798502604167,54,0,0.0,0,306.3427686753163,2864.6666666666665,440,1.5414195232207086,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,185,0.0,0,12,0.0,0,0.0,1200.0,3349.4485,947.5166691137431,0.0,947.5166691137431,0.0,49.3028,13399.727699999983,21597.209000000003,0.7430787258279226,384,24283.79346762602,128,587745.9091912372,4,205.1957,4,0.75,2,1141.3967,-2092.8039000000012,15.958340012880004,662.9,0,0,540,540,8 + shareholders & share market,sumsy,2,1.8917489796876907e-10
7,512,4,4,39643.58179999999,0.0,17767.612100000002,1703.6360999999997,3312.2202000000016,,3016.9679000000015,0.0,0.0,295.2523000000001,0.0,0.0,0.0025,253.2507,0.0,0.0,1.0,628.9116999999994,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7438470625610691,0.0,1041.0,1.0,0.0,1.0,0,0,0,0.2617404815669608,444,516.3989675238565,2.694937869920795,519.0939053937773,5.717208532551451,1.7264346113498288,7.44364314390128,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-486.1781000000018,0.0,101,2560.0,519.0726000000001,2378.501,257.4404,0.0,0.0,0.0,0.0,0.0,65,475.2254,2560.0,519.0726000000001,257.4404,274.0,0.0,0.0,0.015,5.536511306765526,5.593138649155717,2.9232577464788734,1.9269956685499035,3.218643988782617,17.860948089424216,1066.0,1079.0,533.0,2046.6666666666665,1301.0,204.0,186,0,0,1,47,31.0,2048.0,18669.018399999994,5309.6241,14535.2905,766,2,0,128,0.20620654332648192,0.7438470625610691,0.4498330249879834,1,7978.301700000034,5973.895700000003,47,0,71.0,0,0,0,0.0,0,0.0,638696.9274045012,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,207.5513,29.0,401.17269999999996,4,141.8386,141.8403999999998,1.6390886100993187,5120.0,54.816080729166664,0.18440206705729176,114,0,0.0,0,780.7569661081919,2806.5833333333335,440,1.6636692542279368,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,186,0.0,0,12,0.0,0,0.0,1200.0,4093.5560000000005,2972.3504868197574,0.0,2972.3504868197574,0.0,141.8386,16205.920399999999,20246.0873,0.7477639393427993,384,26382.84226071496,128,612314.0851437871,4,191.86469999999997,4,0.6999999999998181,2,1339.8841,-2763.7172000000014,16.915840413652806,665.4,0,0,533,533,8 + shareholders & share market,sumsy,2,1.8917489796876907e-10
8,512,4,4,41652.07039999998,0.0,18125.568700000007,1226.5564,3384.9125000000013,,3384.9125000000013,0.0,0.0,0.0,0.0,0.0,0.0025,269.8842,0.0,0.0,1.0,621.1952999999996,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.99609375,0.7479589544121761,0.0,644.0,3.0,0.0,1.0,0,0,0,0.25968121453374376,444,1161.7069196031878,2.6271700695728097,1164.3340896727607,9.449503211276419,2.020648476520612,11.47015168779703,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-633.6848000000012,0.0,103,2560.0,551.5113999999994,1920.5392000000004,273.79829999999964,0.0,0.0,0.0,0.0,0.0,68,595.9656,2560.0,551.5113999999994,273.79829999999964,274.0,0.0,0.0,0.015,5.4861014939309065,5.598306168224318,2.9070158192090414,1.9764586466165408,3.3018606300066935,17.32511964674149,1070.0,1071.0,535.0,2046.6666666666667,1347.0,204.0,174,0,0,2,47,33.0,2048.0,21745.614600000004,3500.8749999999995,14886.7454,765,3,0,128,0.2743333602817264,0.7479589544121761,0.43130016150653105,1,7916.361499999997,5875.614700000001,47,0,177.0,0,0,0,0.0,0,0.0,1.539800138058065e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,514.5418000000003,71.0,652.9856,4,141.689,141.68790000000033,1.7024647397145924,5120.0,54.407552083333336,0.24230317138671875,68,0,0.0,0,1216.9517972005906,2785.6666666666665,440,1.77347818540963,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,174,0.0,0,12,0.0,0,0.0,1200.0,4541.456800000002,4965.557140080602,0.0,4965.557140080602,0.0,141.689,18852.2216,19040.606,0.7534616580516804,384,26704.089800921014,128,1.5130960482571449e6,4,178.53369999999984,4,0.650000000000091,2,1425.9627,-3115.0283000000013,17.930790838471975,1835.11675,0,0,535,535,8 + shareholders & share market,sumsy,2,1.8917489796876907e-10
9,512,4,4,43621.932300000066,0.0,18401.871600000013,1186.408,3730.5677000000014,,3730.5677000000014,0.0,0.0,0.0,0.0,0.0,0.0025,289.619,0.0,0.0,1.0,615.5393999999992,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.7483989933200503,0.0,511.0,2.0,0.0,1.0,0,0,0,0.25000262031618486,444,1178.5503746203442,2.5204616135656357,1181.0708362339096,13.740211368863243,2.028249095366992,15.768460464230234,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-780.8555000000019,0.0,106,2560.0,590.1380999999997,1653.729199999999,293.2522999999995,0.0,0.0,0.0,0.0,0.0,124,654.9394,2560.0,590.1380999999997,293.2522999999995,274.0,0.0,0.0,0.015,5.428768785046731,5.542345981308387,3.089810655737707,1.9710623352165726,3.3278934407708407,16.805366057339246,1070.0,1070.0,535.0,2045.3333333333335,1374.0,204.0,168,0,0,1,50,30.0,2048.0,24724.11839999997,1784.3287,15182.174799999999,764,4,0,128,0.3412523522982329,0.7483989933200503,0.43859012204490977,0,7976.3278999999875,5808.782600000002,50,0,244.0,0,0,0,0.0,0,0.0,1.5440694835714805e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,753.9138000000006,98.0,986.752,4,157.05380000000002,157.05570000000057,1.7547787495358342,5120.0,54.187825520833336,0.2645395003255208,69,0,0.0,0,1121.448855038617,2774.4166666666665,440,1.8835386670727308,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,168,0.0,0,12,0.0,0,0.0,1200.0,4975.261799999996,6787.88653911966,0.0,6787.88653911966,0.0,157.05380000000002,21429.71289999999,17953.2555,0.7539171079288882,384,26989.039460798842,128,1.5170804441106827e6,4,165.20270000000005,4,0.599999999999909,2,1450.2749,-3440.9487000000013,19.006638288780294,1835.11675,0,0,535,535,8 + shareholders & share market,sumsy,2,1.8917489796876907e-10
10,512,4,4,45551.70490000003,0.0,18517.260000000006,1068.9554999999998,4050.057000000001,,4050.057000000001,0.0,0.0,0.0,0.0,0.0,0.0025,309.5447,0.0,0.0,1.0,609.1083000000006,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.7486311886702288,0.0,511.0,1.0,0.0,1.0,0,0,0,0.25000065385631376,444,1194.40019694653,2.5111409181335094,1196.9113378646634,15.050833139608757,2.036568375131902,17.08740151474066,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-927.5676250000039,0.0,109,2560.0,630.2274000000018,3013.622399999999,313.25770000000085,0.0,0.0,0.0,0.0,0.0,124,684.009,2560.0,630.2274000000018,313.25770000000085,274.0,0.0,0.0,0.015,5.369971521942111,5.722277611940306,3.2388780068728513,1.9563979323308245,3.32548682749022,16.30120507561907,1072.0,1071.0,536.0,2046.6666666666665,1394.9999999999998,204.0,162,0,0,0,41,36.0,2048.0,25860.770499999988,2002.0533999999998,15322.220399999998,764,4,0,128,0.36411271368750175,0.7486311886702288,0.45007911760840646,0,8012.9602,5751.2395000000015,41,0,291.0,0,0,0,0.0,0,0.0,1.545709886132874e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,942.5134999999998,117.0,1373.1069000000002,4,197.80509999999998,197.80919999999918,1.7985453114074834,5120.0,53.942057291666664,0.2865400341796875,69,0,0.0,0,1769.045796251519,2761.8333333333335,440,1.9924134588305247,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,162,0.0,0,12,0.0,0,0.0,1200.0,5365.3052999999945,6537.343735463611,0.0,6537.343735463611,0.0,197.80509999999998,21144.652500000004,18697.380699999998,0.7541719064243713,384,27380.442669670716,128,1.5183294434632044e6,4,151.87169999999992,4,0.5500000000001819,2,1444.6829000000002,-3740.5123000000012,20.147036586107113,1832.4052,0,0,536,536,8 + shareholders & share market,sumsy,2,1.8917489796876907e-10
