round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,86830.44110000014,0.0,592.2774,592.2774,442.1445,,442.1445,0.0,0.0,0.0,0.0,0.0,0.0025,741.6062,0.0,0.0,1.0,442.1444999999994,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.6847029427575178,0.0,672.0,2.0,0.0,1.0,0,0,0,1.0,128,782.0343990326045,18.796430531473003,800.8308295640775,44.12382060721063,2.873152717689227,46.99697332489986,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,16,2560.0,2234.228900000002,592.2774,743.9602999999993,0.0,0.0,0.0,0.0,0.0,0,257.1082,2560.0,2234.228900000002,743.9602999999993,274.0,0.0,0.0,0.0,3.940699999999997,4.098299999999996,1.5762999999999818,0.5910999999999984,2.833213988823746,3.0894915254237283,320.0,77.0,160.0,2048.0,734.0,204.0,328,0,0,0,47,30.0,2048.0,74891.50160000002,2613.6184,4662.425899999999,767,1,0,128,0.3095014122998059,0.6847029427575178,0.658202125777249,0,2851.6064999999953,303.43389999999977,47,0,520.0,0,0,0,0.0,0,0.0,831953.4995764592,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,819.6759999999905,208.0,3664.1808,4,503.23749999999995,503.2384,0.5784963569110879,5120.0,63.26171875,0.19113952718098956,117,0,0.0,0,13118.05535796432,3239.0,94,0.3962004225385793,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,0,12,0.0,0,0.0,6111.4767999999995,2.0,284.2964864406779,0.0,284.2964864406779,0.0,503.23749999999995,9554.268600000001,10940.2251,0.6925841037768847,384,60365.27013995241,128,771588.22943651,4,0.0,4,1.5,2,257.1082,299.46169999999995,9.398516949152542,951.52035,0,0,160,160,"F8-3 step 8, full money stock, fee 3 %, matching prices",sumsy,8,-7.275957614183426e-11
2,512,4,4,87142.0345000002,0.0,2526.1287,1963.4650999999997,420.0373,,420.0373,0.0,0.0,0.0,0.0,0.0,0.0025,1015.6762,0.0,0.0,1.0,442.1444999999994,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.6938140100645818,0.0,962.0,2.0,0.0,1.0,0,0,0,0.26107725556761374,139,902.9777927247086,18.323091050311074,921.3008837750195,42.439767096221104,2.7148886656446547,45.15465576186576,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-5.9227,0.0,16,2560.0,2248.4065999999984,1963.4650999999997,745.5766999999997,0.0,0.0,0.0,0.0,0.0,0,392.7057,2560.0,2248.4065999999984,745.5766999999997,274.0,0.0,0.0,0.015,3.7948465564738303,4.32463636363637,1.7254459374999989,0.8862424444444444,2.8026018621701185,2.9968067796610165,902.0,1089.0,451.0,2048.0,1364.0,204.0,171,0,0,1,48,48.0,2048.0,72110.62950000008,3032.2693,6888.932200000001,767,1,0,128,0.3157626570661507,0.6938140100645818,0.3784118049793137,1,4982.81740000003,4132.587900000001,48,0,640.0,0,0,0,0.0,0,0.0,945679.3058153755,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1104.2853999999993,256.0,3701.8216,4,186.68400000000003,186.68369999999993,0.5576090171773079,5120.0,51.015625,0.20662233561197918,91,0,0.0,0,3698.212227663385,2612.0,111,0.8076909709064425,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,171,0.0,0,12,0.0,0,0.0,6111.4767999999995,86.8477,4090.2337537570506,0.0,4090.2337537570506,0.0,186.68400000000003,9540.91610000001,13623.023099999999,0.7014024033566071,384,59568.17572397981,128,886111.1300913938,4,0.0,4,1.4249999999999545,2,392.7057,595.6388999999999,9.962427966101695,1091.0969,0,0,451,451,"F8-3 step 8, full money stock, fee 3 %, matching prices",sumsy,8,-7.275957614183426e-11
3,512,4,4,87456.15210000008,0.0,3889.0723999999996,1490.7307,397.9301,,397.9301,0.0,0.0,0.0,0.0,0.0,0.0025,1292.8187,0.0,0.0,1.0,425.78360000000026,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.694803373070781,0.0,1047.0,0.0,0.0,1.0,0,0,0,0.25649641715834687,139,938.3173244948721,18.36483100150221,956.6821554963743,39.73057953660009,3.0080133280051804,42.738592864605266,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-31.184,0.0,16,2560.0,2245.882399999999,1490.7307,741.6791999999992,0.0,0.0,0.0,0.0,0.0,0,467.2124,2560.0,2245.882399999999,741.6791999999992,274.0,0.0,0.0,0.015,3.7916455315145483,4.312615298507457,1.8601570312499995,1.0556594392523362,2.7757932096717393,2.906902576271186,1072.0,1063.0,536.0,2046.6666666666667,1534.0,204.0,128,0,0,1,55,33.0,2048.0,70534.4539,3647.1947,7683.1551,767,1,0,128,0.29503006897759576,0.694803373070781,0.3321231448053694,0,5646.212699999959,4030.5191999999647,55,0,640.0,0,0,0,0.0,0,0.0,945436.9027153738,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1190.5004999999996,256.0,3831.3173,4,204.28429999999997,204.2844999999999,0.5576090171773079,5120.0,51.015625,0.20959823567708333,0,0,0.0,0,0.0,2612.0,111,1.0417151525950168,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0.0,0,12,0.0,0,0.0,6111.4767999999995,116.09389999999999,6061.910912133053,0.0,6061.910912133053,0.0,204.28429999999997,10167.62110000001,15161.6671,0.7023533009205309,384,59201.72582397976,128,886235.176891394,4,0.0,4,1.349999999999909,2,467.2124,894.8886,10.560173644067797,1091.0969,0,0,536,536,"F8-3 step 8, full money stock, fee 3 %, matching prices",sumsy,8,-7.275957614183426e-11
4,512,4,4,87761.2528000001,0.0,6569.534600000002,2882.7812999999996,375.8229,,375.8229,0.0,0.0,0.0,0.0,0.0,0.0025,1561.1486,0.0,0.0,1.0,425.42159999999956,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7013204338235994,0.0,1050.0,1.0,0.0,1.0,0,0,0,0.25332604992488983,139,1022.0560030563731,17.80328889482182,1039.859291951195,36.40889434975332,3.0274363969063613,39.43633074665968,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-70.07399999999997,0.0,16,2560.0,2254.8992999999978,2882.7812999999996,741.694899999999,0.0,0.0,0.0,0.0,0.0,0,509.5286,2560.0,2254.8992999999978,741.694899999999,274.0,0.0,0.0,0.015,4.284970330652368,4.276048979591861,1.9694400000000005,1.1326744878957182,2.7002310575558868,2.819695498983051,1078.0,1119.0,539.0,2046.6666666666667,1540.0,204.0,126,0,0,1,70,59.0,2048.0,68268.12620000004,3384.4074,9985.8025,766,2,0,128,0.28086821095000425,0.7013204338235994,0.34490547303125463,0,5661.891799999993,4794.8818,70,0,640.0,0,0,0,0.0,0,0.0,1.0113226359827783e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1260.4416000000003,256.0,4052.2395,4,232.1415,232.14129999999994,0.7518881003056147,5120.0,51.015625,0.22355202473958333,4,0,0.0,0,33.03962394712569,2612.0,111,1.3883227748380114,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,12,0.0,0,0.0,6111.4767999999995,181.30770000000004,4287.20559103599,0.0,4287.20559103599,0.0,232.1415,9118.682999999997,17422.4494,0.7087241243184201,384,60046.379206354984,128,951276.2567764224,4,0.0,4,1.275000000000091,2,509.5286,1185.3256999999999,11.193784062711865,1162.4955,0,0,539,539,"F8-3 step 8, full money stock, fee 3 %, matching prices",sumsy,8,-7.275957614183426e-11
5,512,4,4,88062.51270000006,0.0,7313.754599999997,1090.6825000000001,353.7157,,353.7157,0.0,0.0,0.0,0.0,0.0,0.0025,1766.0558,0.0,0.0,1.0,480.7719999999996,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7027903084739691,0.0,1058.0,0.0,0.0,1.0,0,0,0,0.25201283871685254,139,905.1772140659443,15.114133981976613,920.2913480479209,29.82794670767484,3.1131640727705068,32.94111078044534,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-135.76899999999998,0.0,17,2560.0,2258.740100000002,1598.5079,740.6916,0.0,0.0,0.0,0.0,0.0,0,542.4209000000001,2560.0,2258.740100000002,740.6916,274.0,0.0,0.0,0.015,4.433112906220984,4.412007481751813,2.0361604687499986,1.2289516483516463,2.665301115382501,2.735104634013559,1096.0,1077.0,548.0,2046.6666666666665,1558.0,204.0,122,0,0,1,59,54.0,2048.0,66651.71130000002,4440.0872,10385.7439,766,2,0,128,0.265968880579426,0.7027903084739691,0.3237809899150934,0,5775.366700000015,4774.4626,59,0,640.0,0,0,0,0.0,0,0.0,1.0103995621827772e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1303.142699999999,256.0,4276.4936,4,267.9349,267.9346999999999,0.7518881003056147,5120.0,51.015625,0.23925029947916665,0,0,0.0,0,0.0,2612.0,111,1.6716590065006447,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,122,0.0,0,12,0.0,0,0.0,6111.4767999999995,232.2616,2944.4699977933365,0.0,2944.4699977933365,0.0,267.9349,9599.830300000003,19102.3247,0.7101550994632877,384,58940.51810635502,128,951459.044076422,4,0.0,4,1.2000000000000455,2,542.4209000000001,1412.3401000000001,11.865411106474577,1162.4955,0,0,548,548,"F8-3 step 8, full money stock, fee 3 %, matching prices",sumsy,8,-7.275957614183426e-11
6,512,4,4,88355.60329999997,0.0,7561.3588000000045,648.6006,331.6085,,331.6085,0.0,0.0,0.0,0.0,0.0,0.0025,1948.9269,0.0,0.0,1.0,497.3927999999996,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7037890900310992,0.0,1050.0,0.0,0.0,1.0,0,0,0,0.25670743443996535,139,875.3425247003051,14.320759358094781,889.6632840583999,28.512030411548306,3.1803516268111145,31.692382038359423,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-208.9064,0.0,18,2560.0,2266.9094000000023,1163.2017999999998,741.4359000000001,0.0,0.0,0.0,0.0,0.0,0,561.5651,2560.0,2266.9094000000023,741.4359000000001,274.0,0.0,0.0,0.015,4.460787583572112,4.43108777777777,2.1097003124999967,1.3521295539033455,2.828901016911734,5.5368979999581756,1080.0,1047.0,540.0,2046.6666666666667,1542.0000000000002,204.0,125,0,0,2,54,25.0,2048.0,66119.77769999999,4485.3103,11270.4297,766,2,0,128,0.2599566297232916,0.7037890900310992,0.34365619942698156,0,6059.266800000009,4670.444600000002,54,0,640.0,0,0,0,0.0,0,0.0,1.009815206282777e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1350.208199999998,256.0,3969.5936,4,270.51,270.5104,0.7518881003056147,5120.0,51.015625,0.24510013346354165,0,0,0.0,0,0.0,2612.0,111,1.7909044316855025,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,125,0.0,0,12,0.0,0,0.0,6111.4767999999995,238.37789999999998,2121.570140928111,0.0,2121.570140928111,0.0,270.51,10146.286400000003,19725.333599999998,0.7108255879944074,384,58277.798306355035,128,951537.4079764222,4,0.0,4,1.125,2,561.5651,1617.3183999999999,12.577335772863051,1162.4955,0,0,540,540,"F8-3 step 8, full money stock, fee 3 %, matching prices",sumsy,8,-7.275957614183426e-11
7,512,4,4,88640.71989999998,0.0,7440.227400000004,312.2953,309.5013,,309.5013,0.0,0.0,0.0,0.0,0.0,0.0025,2124.3093,0.0,0.0,1.0,500.49869999999976,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.99609375,0.7052812724137312,0.0,781.0,1.0,0.0,1.0,0,0,0,0.2589487990825883,139,872.8140666827464,13.631495062778889,886.4455617455253,31.26501576341927,3.1979363371655922,34.462952100584864,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-284.52,0.0,20,2560.0,2274.8834000000006,1364.6893999999998,742.3890999999994,0.0,0.0,0.0,0.0,0.0,0,571.8622,2560.0,2274.8834000000006,742.3890999999994,274.0,0.0,0.0,0.015,4.448856497695854,4.46967211895912,2.204299375000002,1.5076816822429913,2.837798678073314,5.401518149818202,1076.0,1085.0,538.0,2045.3333333333335,1538.0,204.0,126,0,0,0,49,37.0,2048.0,67071.4675,3045.4154000000003,11831.710200000001,765,3,0,128,0.27118063946758975,0.7052812724137312,0.372076418803029,0,6111.630500000005,4827.0093000000015,49,0,640.0,0,0,0,0.0,0,0.0,1.0111023491827764e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1410.7516000000012,256.0,3995.9552999999996,4,293.5278,293.5281999999999,0.7518881003056147,5120.0,51.015625,0.2532708854166666,0,0,0.0,0,0.0,2612.0,111,1.9110551251268753,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,12,0.0,0,0.0,6111.4767999999995,324.4928,3862.5311367607187,0.0,3862.5311367607187,0.0,293.5278,12201.846400000004,18873.0809,0.7122918687844773,384,57425.311406355046,128,953677.0377764215,4,0.0,4,1.0499999999999545,2,571.8622,1814.808,13.331975919234836,1164.7051999999999,0,0,538,538,"F8-3 step 8, full money stock, fee 3 %, matching prices",sumsy,8,-7.275957614183426e-11
8,512,4,4,88917.08650000006,0.0,7030.8402,39.654399999999995,287.3941,,287.3941,0.0,0.0,0.0,0.0,0.0,0.0025,2297.1215,0.0,0.0,1.0,499.1625000000005,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.7066360535177307,0.0,512.0,1.0,0.0,1.0,0,0,0,0.2500403041910324,139,877.446406847707,13.176848449370897,890.6232552970778,34.98868667916136,3.2821906270975165,38.270877306258875,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-358.9223,0.0,23,2560.0,2283.6334000000006,1619.9515999999999,743.6552999999997,0.0,0.0,0.0,0.0,0.0,0,576.5372,2560.0,2283.6334000000006,743.6552999999997,274.0,0.0,0.0,0.015,4.416970566388119,4.541972149532707,2.2744181250000013,1.5774035781544262,2.8426406651706553,5.239472605323656,1070.0,1077.0,535.0,2048.0,1532.0,204.0,129,0,0,3,52,41.0,2048.0,68248.51830000003,1703.0202,12070.566,764,4,0,128,0.28927981036968453,0.7066360535177307,0.3768156649248,0,6095.670300000005,4757.077300000004,52,0,640.0,0,0,0,0.0,0,0.0,1.0123871744827763e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1455.627600000001,256.0,4021.3233,4,317.1627,317.16249999999997,0.7518881003056147,5120.0,51.015625,0.2614702815755208,0,0,0.0,0,0.0,2612.0,111,2.0025924305910014,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,129,0.0,0,12,0.0,0,0.0,6111.4767999999995,345.6111,5347.0221387147085,0.0,5347.0221387147085,0.0,317.1627,12897.533600000002,17794.9095,0.7136238442711651,384,56612.30620635503,128,955774.8682764218,4,0.0,4,0.974999999999909,2,576.5372,2009.7274000000002,14.131894474388927,1166.9149,0,0,535,535,"F8-3 step 8, full money stock, fee 3 %, matching prices",sumsy,8,-7.275957614183426e-11
9,512,4,4,89184.92969999998,0.0,6646.939799999998,67.1241,265.2869,,265.2869,0.0,0.0,0.0,0.0,0.0,0.0025,2468.9475,0.0,0.0,1.0,495.5823000000005,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.707912064999171,0.0,512.0,0.0,0.0,1.0,0,0,0,0.25004106319867825,139,884.4381126188678,12.905101377614152,897.343213996482,36.166830430302454,3.341657305372081,39.508487735674535,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-429.23069999999996,0.0,26,2560.0,2292.1567999999966,1644.0235,744.6993000000002,0.0,0.0,0.0,0.0,0.0,0,576.8390999999999,2560.0,2292.1567999999966,744.6993000000002,274.0,0.0,0.0,0.015,4.408675351452674,4.770468156424568,2.3750464062500014,1.586460975609755,2.8429201806957143,5.082288427163947,1074.0,1067.0,537.0,2044.0,1536.0,204.0,127,0,0,2,51,35.0,2048.0,67971.8541,1961.9551,12144.6346,764,4,0,128,0.2940626538436635,0.707912064999171,0.36901764353505384,0,6123.9622000000245,4704.056600000003,51,0,640.0,0,0,0,0.0,0,0.0,1.0116947790827772e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1520.029700000001,256.0,4060.6993,4,311.1996,311.1998,0.7518881003056147,5120.0,51.015625,0.27417825520833333,0,0,0.0,0,0.0,2612.0,111,2.0784957871048775,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,127,0.0,0,12,0.0,0,0.0,6111.4767999999995,392.2163,5256.356927507458,0.0,5256.356927507458,0.0,311.1996,13327.938299999994,18167.289,0.7148812690459576,384,55513.406406355076,128,956181.3726764218,4,0.0,4,0.900000000000091,2,576.8390999999999,2203.6606,14.979808142852264,1166.9149,0,0,537,537,"F8-3 step 8, full money stock, fee 3 %, matching prices",sumsy,8,-7.275957614183426e-11
10,512,4,4,89444.44160000011,0.0,6253.642899999997,61.083800000000004,243.1797,,243.1797,0.0,0.0,0.0,0.0,0.0,0.0025,2637.2254,0.0,0.0,1.0,494.6540999999995,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.7144532095560137,0.0,912.0,2.0,0.0,1.0,0,0,0,0.25026302194470024,139,1023.8453519949344,12.463770467687764,1036.309122462622,37.16376806500557,3.4258847661607708,40.58965283116634,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-495.70019999999994,0.0,29,2560.0,2300.488099999999,1628.9442999999999,745.7183999999992,0.0,0.0,0.0,0.0,0.0,0,575.1656,2560.0,2300.488099999999,745.7183999999992,274.0,0.0,0.0,0.015,4.41031876777251,4.85277150837987,2.462393593750003,1.6177799249530949,2.845024853146478,4.929819774349029,1074.0,1055.0,537.0,2045.3333333333335,1536.0,204.0,126,0,0,0,41,25.0,2048.0,67705.80420000001,2256.9404999999997,12166.093499999999,764,4,0,128,0.29904150468198454,0.7144532095560137,0.38601401845381855,0,6151.998599999981,4652.886299999997,41,0,640.0,0,0,0,0.0,0,0.0,1.1651720011827769e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1575.9319000000019,256.0,4103.2124,4,289.8041,289.80389999999994,0.7518881003056147,5120.0,51.015625,0.29980441080729164,0,0,0.0,0,0.0,2612.0,111,2.1420276859540186,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,12,0.0,0,0.0,6111.4767999999995,415.7070999999999,5106.406854330464,0.0,5106.406854330464,0.0,289.8041,13960.479000000003,18526.2464,0.7213623824467219,384,54681.76720635503,128,1.110490233976422e6,4,0.0,4,0.8249999999998181,2,575.1656,2394.0456999999997,15.8785966314234,1368.6937,0,0,537,537,"F8-3 step 8, full money stock, fee 3 %, matching prices",sumsy,8,-7.275957614183426e-11
