round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,26745.964899999995,0.0,3394.7006999999994,3394.7007,2816.0,,2816.0,0.0,0.0,0.0,0.0,0.0,0.0025,117.8171,8448.0,0.0,1.0,2816.0,5473.684033333333,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7315118566071981,0.0,672.0,2.0,0.0,1.0,0,0,0,1.0,350,438.3486864787292,2.956927650365235,441.30561412909435,6.236164705882352,2.452714705882353,8.688879411764706,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,48,2560.0,239.31509999999977,3394.7007,119.04359999999981,0.0,0.0,0.0,0.0,0.0,0,258.1752,2560.0,239.31509999999977,119.04359999999981,274.0,0.0,0.0,0.0,5.0,5.200000000000013,2.0,0.75,3.1490347490347586,3.9200000000000013,320.0,72.0,160.0,2048.0,1554.0,1024.0,123,0,0,0,43,29.0,2048.0,18116.24620000002,1702.1948,3987.9611999999997,767,1,0,128,0.1754276644880357,0.7315118566071981,0.30802103048290896,0,7510.264600000001,360.0,43,0,520.0,0,0,0,0.0,0,0.0,549554.293924707,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1040.0,208.0,2563.5704,4,27.774000000000004,27.773999999999987,0.665327067861564,5120.0,84.228515625,0.13645875976562497,324,0,0.0,0,5706.378898954423,4312.5,313,0.4853352864583333,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,123,0.0,0,12,0.0,0,0.0,1200.0,21.6005,930.2023000000006,0.0,930.2023000000006,0.0,27.774000000000004,11077.499800000007,8253.726400000001,0.7371179176016125,384,15566.829183423011,128,533987.4647412843,4,300.0,4,93.70000000000005,2,258.1752,-2698.1829,11.925,662.9,0,0,160,160,"G10-50 step 10, public employment 50 %",sumsy,2,-2.9103830456733704e-11
2,512,4,4,29022.454999999987,0.0,10372.188700000004,7006.4230000000025,5514.1829,,5514.1829,0.0,0.0,0.0,0.0,0.0,0.0025,138.3103,8448.0,0.0,1.0,2816.0,5456.0715666666665,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7304946224892759,0.0,961.0,0.0,0.0,1.0,0,0,0,0.25413906505522604,447,458.58903798838236,3.56734471754561,462.15638270592797,4.073786274509804,2.774888823529412,6.848675098039216,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-5.786999999999998,0.0,48,2560.0,283.50990000000075,7006.423000000002,140.60640000000066,0.0,0.0,0.0,0.0,0.0,386,147.74450000000002,2560.0,283.50990000000075,140.60640000000066,274.0,0.0,0.0,0.015,4.893999999999954,5.452681555555557,2.194664035087721,1.1305273942093523,3.256065669371185,18.533380050505052,900.0,1081.0,450.0,2048.0,1972.0,1024.0,19,0,0,0,46,40.0,2048.0,17286.404499999982,3007.0775,7981.3633,767,1,0,128,0.12046332708540208,0.7304946224892759,0.15625616990855273,0,9446.48319999999,5290.413999999951,46,0,114.0,0,0,0,0.0,0,0.0,563470.1707240606,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,250.1917000000002,46.0,461.5549,4,4.584899999999999,4.585199999999996,0.6001843910949234,5120.0,74.64518229166667,0.12103596028645831,461,0,0.0,0,4178.458626920687,3821.8333333333335,428,0.6956315284665128,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,19,0.0,0,12,0.0,0,0.0,1200.0,158.45430000000002,5546.4530223938655,0.0,5546.4530223938655,0.0,4.584899999999999,14355.403099999996,11449.9957,0.735088430436474,384,17790.98190606505,128,545679.1888179949,4,300.0,4,93.70000000000005,2,405.91970000000003,-5375.8726,12.640500000000001,662.9,0,0,450,450,"G10-50 step 10, public employment 50 %",sumsy,2,-2.9103830456733704e-11
3,512,4,4,31248.971200000044,0.0,14769.23620000001,4641.3944999999985,7865.118199999998,,7865.118199999998,0.0,0.0,0.0,0.0,0.0,0.0025,162.5532,8191.806700000003,0.0,1.0,2559.806700000003,5265.354966666669,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7277739341267622,0.0,1046.0,0.0,0.0,1.0,0,0,0,0.2554445026270721,451,478.0956201331467,4.239365367276076,482.33498550042276,4.580770571408009,2.7690421244100683,7.349812695818077,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-54.36649999999992,0.0,55,2560.0,333.4838000000001,4749.9317999999985,165.34529999999987,0.0,0.0,0.0,0.0,0.0,413,223.2167,2560.0,333.4838000000001,165.34529999999987,274.0,0.0,70.56110000000001,0.015,4.786801652892552,5.458087476635514,2.3291112903225812,1.3352786516853912,3.203251074218783,17.977378648989898,1070.0,1089.0,535.0,2048.0,2048.0,951.0,0,0,0,1,59,47.0,2048.0,17241.817099999993,4445.9159,8872.701700000001,767,1,0,128,0.13445733083751876,0.7277739341267622,0.14209396869489388,0,9717.49990000002,5212.826999999989,59,0,62.0,0,0,0,0.0,0,0.0,571987.2326849697,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,144.40490000000003,25.0,302.7666,4,7.5473,7.547099999999993,0.6250769528581233,5120.0,68.43098958333333,0.12348661783854165,501,0,0.0,0,3698.0606423409527,3503.6666666666665,446,0.6976756805066043,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,12,0.0,0,0.0,1200.0,183.41819999999998,7699.403563054184,0.0,7699.403563054184,0.0,7.5473,14156.469100000002,13621.3842,0.7321832093877025,384,20283.80247324773,128,551703.4302117216,4,300.0,4,93.70000000000005,2,616.2275999999999,-7702.564999999998,13.398930000000002,662.9,0,0,535,535,"G10-50 step 10, public employment 50 %",sumsy,2,-2.9103830456733704e-11
4,512,4,4,33428.768700000015,0.0,18784.901199999968,4374.5369,10272.8377,,10202.2766,0.0,0.0,70.56110000000001,0.0,0.0,0.0025,185.2957,7965.717899999995,0.0,1.0,2429.150499999991,5095.339966666663,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7241598736543708,0.0,1052.0,0.0,0.0,1.0,0,0,0,0.2545086441591465,450,492.53292022232273,5.023899418900412,497.5568196412231,4.408745489449286,2.874498447884088,7.283243937333374,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-123.40899999999966,0.0,57,2560.0,380.2025000000002,4728.6513,188.49830000000037,0.0,0.0,0.0,0.0,0.0,853,201.74200000000002,2560.0,380.2025000000002,188.49830000000037,274.0,0.0,0.0,0.015,4.996712546468386,5.3596194085027875,2.4144780000000012,1.436031666666667,3.1846477909386923,17.4380572895202,1082.0,1076.0,541.0,2046.6666666666667,2046.6666666666667,922.6666666666667,0,0,0,0,52,47.0,2048.0,17314.6153,5212.181500000001,10118.6972,767,1,0,128,0.13821538675452505,0.7241598736543708,0.15157220673516658,0,9875.369099999984,5376.462699999983,52,0,100.0,0,0,0,0.0,0,0.0,577507.6026677387,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,241.44780000000014,40.0,396.237,4,4.6889,4.6877999999999815,0.599219366336906,5120.0,57.578125,0.13133419921874998,400,0,0.0,0,4269.569296561658,2948.0,447,0.7877147837184544,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,12,0.0,0,0.0,1200.0,231.2298,6115.829677632126,0.0,6115.829677632126,0.0,4.6889,14695.6645,15727.115700000002,0.7285166518878776,384,22675.939922074147,128,554831.6627456654,4,300.0,4,93.70000000000005,2,797.6734999999999,-10016.980899999999,14.202865800000003,662.9,0,0,541,541,"G10-50 step 10, public employment 50 %",sumsy,2,-2.9103830456733704e-11
5,512,4,4,35571.450400000016,0.0,22625.15390000003,4300.9915999999985,12440.893300000009,,12440.893300000009,0.0,0.0,0.0,0.0,0.0,0.0025,203.2498,7826.921759999994,0.0,1.0,2423.912399999998,4986.127886666663,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7218734565038951,0.0,1048.0,0.0,0.0,1.0,0,0,0,0.25656520262046345,450,480.1677845001928,5.365265428237576,485.5330499284304,2.945054188896071,2.8923409029494813,5.837395091845552,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-209.2361999999997,0.0,63,2560.0,417.3182999999999,5704.587500000001,206.85649999999978,0.0,0.0,0.0,0.0,0.0,878,220.5925,2560.0,417.3182999999999,206.85649999999978,274.0,0.0,0.0,0.015,5.139393956562791,5.441260707634982,2.6763098214285677,1.5708464552238808,3.261230886861272,16.914915570834594,1074.0,1059.0,537.0,2048.0,2048.0,882.0,0,0,0,2,56,28.0,2048.0,17269.963700000004,5985.7628,11286.091400000001,767,1,0,128,0.09807095032564717,0.7218734565038951,0.14549002981323778,0,10040.429600000007,5442.618199999995,56,0,224.0,0,0,0,0.0,0,0.0,585281.2113257559,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,599.4933999999992,90.0,605.7902,4,0.0,0.0,0.6667790466431688,5120.0,55.5810546875,0.14139865234375001,187,0,0.0,0,1219.6734445599643,2845.75,447,0.9183924597566051,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,12,0.0,0,0.0,1200.0,302.3723999999999,4190.9395680559055,0.0,4190.9395680559055,0.0,0.0,15095.283500000001,17877.6444,0.726139387474227,384,25119.520520346843,128,560161.6908054096,4,300.0,4,93.70000000000005,2,997.9699,-12237.64350000001,15.055037748000004,662.9,0,0,537,537,"G10-50 step 10, public employment 50 %",sumsy,2,-2.9103830456733704e-11
6,512,4,4,37671.20419999999,0.0,25593.20999999999,3531.9125,14723.233000000004,,14723.233000000004,0.0,0.0,0.0,0.0,0.0,0.0025,224.3167,7765.229550000002,0.0,1.0,2485.5895000000105,4927.291150000001,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7247097803729481,0.0,915.0,0.0,0.0,1.0,0,0,0,0.26102826544054875,450,497.5070257030878,5.689953298679499,503.19697900176726,2.914335763016758,2.8571221810769223,5.77145794409368,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-311.07972499999954,0.0,64,2560.0,460.24619999999965,3546.0859000000005,228.1878000000001,0.0,0.0,0.0,0.0,0.0,944,222.38049999999998,2560.0,460.24619999999965,228.1878000000001,274.0,0.0,0.0,0.015,5.3871660697455175,5.460049074074107,2.9289230769230743,1.7389779220779233,3.252802247649375,16.407468103709558,1080.0,1061.0,540.0,2045.3333333333333,2045.3333333333333,879.3333333333334,0,0,0,1,44,22.0,2048.0,17840.0752,5971.8011,12580.727499999999,767,1,0,128,0.1002362436790627,0.7247097803729481,0.14959474384891136,0,10098.270400000001,5715.783199999994,44,0,208.0,0,0,0,0.0,0,0.0,605497.5787601807,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,609.2159999999994,84.0,831.9032,4,8.0552,8.053399999999987,0.9408871168649201,5120.0,54.539388020833336,0.15542581217447918,210,0,0.0,0,910.0366656800338,2792.4166666666665,447,1.0744293559415692,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,12,0.0,0,0.0,1200.0,341.4094,3421.3961690063984,0.0,3421.3961690063984,0.0,8.0552,15647.088299999992,19384.4318,0.7287706227092576,384,27849.71035010768,128,577647.8684100731,4,300.0,4,93.70000000000005,2,1200.0543,-14498.916300000004,15.958340012880004,662.9,0,0,540,540,"G10-50 step 10, public employment 50 %",sumsy,2,-2.9103830456733704e-11
7,512,4,4,39728.880300000055,0.0,28170.46609999997,3192.9577999999997,17137.9171,,17137.9171,0.0,0.0,0.0,0.0,0.0,0.0025,245.63,7786.911385714282,0.0,1.0,2639.00079999999,4923.989490476188,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7238534434557806,0.0,777.0,1.0,0.0,1.0,0,0,0,0.25006248706238654,450,485.4143419964373,5.820457801162466,491.23479979759975,4.033259954337546,2.8261914609618217,6.859451415299368,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-417.69186211340156,0.0,65,2560.0,502.3239000000005,3410.1611999999996,249.31880000000018,0.0,0.0,0.0,0.0,0.0,1256,232.5201,2560.0,502.3239000000005,249.31880000000018,274.0,0.0,0.0,0.015,5.439573586654308,5.487638764044933,2.9538915887850417,1.9023295112781964,3.2691607583221356,15.915244060598269,1068.0,1079.0,534.0,2046.6666666666665,2046.6666666666665,890.6666666666667,0,0,0,1,47,31.0,2048.0,20550.968299999975,4018.6847,13639.412699999999,766,2,0,128,0.13483215984394414,0.7238534434557806,0.14898112359086757,0,10154.65060000003,5869.299899999998,47,0,214.0,0,0,0,0.0,0,0.0,615742.3145393002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,632.132799999999,86.0,1041.6645,4,42.39339999999999,42.39840000000007,1.0041099176318313,5120.0,54.12109375,0.1534908349609375,141,0,0.0,0,923.05251846592,2771.0,447,1.2276973458625344,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,12,0.0,0,0.0,1200.0,400.01080000000013,4296.722249304152,0.0,4296.722249304152,0.0,42.39339999999999,18012.87649999999,18699.761899999998,0.7278327283260364,384,29848.433028034506,128,585893.8815112653,4,300.0,4,93.70000000000005,2,1401.2487,-16892.287099999998,16.915840413652806,665.4,0,0,534,534,"G10-50 step 10, public employment 50 %",sumsy,2,-2.9103830456733704e-11
8,512,4,4,41746.23339999997,0.0,29713.28860000003,2208.0715,19263.767300000003,,19263.767300000003,0.0,0.0,0.0,0.0,0.0,0.0025,266.1782,7702.852537499997,0.0,1.0,2371.4802000000004,4850.575858333332,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.99609375,0.738233241408399,0.0,644.0,3.0,0.0,1.0,0,0,0,0.25000696146134993,450,1043.4456004514464,5.916488610440621,1049.362089061887,6.349027079021813,2.903243177131858,9.25227025615367,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-528.0166871134011,0.0,68,2560.0,542.6468999999998,3410.4883,269.6080999999999,0.0,0.0,0.0,0.0,0.0,1231,457.9389,2560.0,542.6468999999998,269.6080999999999,274.0,0.0,0.0,0.015,5.417667257462686,5.510972471910117,3.286430652173904,1.9468824858757066,3.362644086968253,15.437786738780323,1068.0,1072.0,534.0,2046.6666666666667,2046.6666666666667,792.6666666666666,0,0,0,1,47,33.0,2048.0,23187.136699999977,2299.4356,13877.6068,765,3,0,128,0.19283635086863993,0.738233241408399,0.15636870178215445,0,10313.970299999977,5807.739299999999,47,0,460.0,0,0,0,0.0,0,0.0,1.3972463151061328e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1511.758099999996,184.0,1657.9372,4,33.703,33.698300000000046,1.04957595713104,5120.0,53.649088541666664,0.21013480957031253,142,0,0.0,0,1116.7198608221336,2746.8333333333335,447,1.424072940883688,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,12,0.0,0,0.0,1200.0,458.82059999999996,6282.7173853255945,0.0,6282.7173853255945,0.0,33.703,20206.19049999996,17834.979599999995,0.743612308323701,384,31318.022424329425,128,1.3659282926818018e6,4,300.0,4,93.69999999999982,2,1595.3418,-18997.589100000005,17.930790838471975,1678.6601999999998,0,0,534,534,"G10-50 step 10, public employment 50 %",sumsy,2,-2.9103830456733704e-11
9,512,4,4,43723.4855,0.0,31047.962299999985,2004.0337,21234.369300000002,,21234.369300000002,0.0,0.0,0.0,0.0,0.0,0.0025,286.598,7592.573433333329,0.0,1.0,2236.7801999999933,4759.822144444442,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.7374004808874819,0.0,645.0,2.0,0.0,1.0,0,0,0,0.25000262031618486,450,1012.1956844272297,6.080488575645017,1018.2761730028748,8.66887792227148,2.9112006915783337,11.580078613849816,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-632.5098871134016,0.0,72,2560.0,582.7479,4753.894300000001,289.78249999999997,0.0,0.0,0.0,0.0,0.0,1233,564.9283,2560.0,582.7479,289.78249999999997,274.0,0.0,0.0,0.015,5.4312414018691575,5.677300186915914,3.4926191071428603,1.9433937853107335,3.491537600178028,14.974653136616913,1070.0,1070.0,535.0,2046.6666666666667,2046.6666666666667,750.6666666666667,0,0,0,1,50,30.0,2048.0,25559.04009999999,890.956,13989.1114,764,4,0,128,0.2354923084945848,0.7374004808874819,0.17190091461279855,0,10527.013699999961,5811.428299999999,50,0,560.0,0,0,0,0.0,0,0.0,1.3460892398359203e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1955.8667000000019,224.0,2432.8517,4,47.557500000000005,47.56729999999991,1.0895811724596365,5120.0,53.235677083333336,0.23462258789062504,112,0,0.0,0,1826.7515798379086,2725.6666666666665,447,1.6137076097340695,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,12,0.0,0,0.0,1200.0,457.54390000000006,7893.851833025006,0.0,7893.851833025006,0.0,47.557500000000005,22249.984099999983,17312.919100000003,0.7427127521836168,384,32597.67859350279,128,1.3134915612424163e6,4,300.0,4,93.69999999999982,2,1671.0055000000002,-20947.7713,19.006638288780294,1605.69065,0,0,535,535,"G10-50 step 10, public employment 50 %",sumsy,2,-2.9103830456733704e-11
10,512,4,4,45660.92620000001,0.0,32354.231300000043,1966.8200000000002,23097.5416,,23097.5416,0.0,0.0,0.0,0.0,0.0,0.0025,306.4872,7478.247179999993,0.0,1.0,2149.7702999999933,4666.642729999996,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.7372127003833733,0.0,646.0,1.0,0.0,1.0,0,0,0,0.250011115557334,450,1021.22784764813,6.151333250363206,1027.3791808984931,8.6050198726196,2.903821018846404,11.508840891466004,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-729.0721988781107,0.0,74,2560.0,622.5593000000005,3355.7360000000003,309.6826000000003,0.0,0.0,0.0,0.0,0.0,1276,369.5099,2560.0,622.5593000000005,309.6826000000003,274.0,0.0,0.0,0.015,5.453011577964523,5.734546741154556,3.603548402555913,1.9648465290806734,3.5738423619950463,14.525413542518402,1074.0,1071.0,537.0,2046.6666666666665,2046.6666666666665,719.6666666666667,0,0,0,0,41,36.0,2048.0,26612.494499999997,992.8129000000001,14135.5458,764,4,0,128,0.23956082737664985,0.7372127003833733,0.18284794088724343,0,10688.789599999991,5840.175400000005,41,0,626.0,0,0,0,0.0,0,0.0,1.3605681719572512e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,2255.8213000000014,251.0,3244.0759,4,81.7354,81.73579999999986,1.1201317994344493,5120.0,52.8759765625,0.26236089518229166,99,0,0.0,0,950.180771272588,2707.25,447,1.7871427819681205,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,12,0.0,0,0.0,1200.0,493.21459999999985,8398.313437030734,0.0,8398.313437030734,0.0,81.7354,22854.060600000008,18372.434600000004,0.7425311301469562,384,33721.44502396623,128,1.3268467269332856e6,4,300.0,4,93.69999999999982,2,1695.9121,-22791.0544,20.147036586107113,1619.326,0,0,537,537,"G10-50 step 10, public employment 50 %",sumsy,2,-2.9103830456733704e-11
