round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,26706.121299999933,0.0,654.6001,654.6001,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,2209.581,1683.0,0.0,0.8129095238883653,561.0,0.0,0.0,0.0,0.8129095238883653,0.0,0.0,0.8129095238883653,0.0,0,0,0.9973958333333334,0.7010481318068507,0.0,672.0,2.0,2697.0,0.8129095238883653,0,0,6,1.0,512,206.24731629585676,3.674783762709251,209.922100058566,6.91729294117647,0.40655176470588233,7.323844705882353,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.8129095238883653,0.8129095238883653,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,48,2560.0,279.15869999999984,654.6001,2814.579400000006,0.0,0.0,0.0,0.0,0.0,0,258.1752,2560.0,279.15869999999984,117.57939999999996,274.0,0.0,0.0,0.0,5.0,5.200000000000013,2.0,0.75,3.594822888283399,3.9200000000000013,320.0,72.0,160.0,2048.0,734.0,204.0,328,0,0,0,43,29.0,2048.0,15452.482099999977,2139.0091,3803.1792,766,2,0,128,0.2644836358446778,0.7010481318068507,0.6601089998322518,62,5268.415199999997,360.0,43,0,520.0,0,0,0,0.0,0,0.0,264029.5636235636,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1040.0,208.0,2843.6947,4,92.934,92.90879999999783,0.6742141661896432,5120.0,77.16145833333333,0.13914737955729167,269,0,0.0,0,3921.5082995649996,3950.6666666666665,260,0.4841145833333333,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,6,6,4244.9754,3072,600.0,600.0,27.0,934.0849000000005,610.1100000000002,323.9749000000003,46.822,46.112,8711.8265,4540.9076,0.7074124989713093,384,17308.63468392956,128,246720.92893963488,4,53.5,4,9.5,2,258.1752,2209.581,11.925,300.0,0,0,160,160,"LB best SuMSy village, land levy",sumsy,2,-1.0186340659856796e-10
2,512,4,4,28931.480800000012,0.0,5397.055899999988,4771.985799999998,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,4262.248,1683.0,0.0,0.05,561.0,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0,0,0.9934895833333334,0.7016498360593972,0.0,957.0,0.0,2599.320400000001,0.05,0,0,6,0.25393368424926044,512,218.0137225072564,3.178455743856111,221.1921782511125,5.372302745098038,0.2457592156862745,5.6180619607843125,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-5.906000000000001,0.0,48,2560.0,334.6405000000012,4771.985799999999,2700.176500000002,0.0,0.0,0.0,0.0,0.0,6,334.9104,2560.0,334.6405000000012,100.85610000000038,274.0,0.0,0.0,0.015,4.884556891766839,5.494896868008945,2.2036893129771,1.1413527149321268,3.5588936686903416,17.822991666666667,894.0,1081.0,447.0,2048.0,1153.0,204.0,223,0,0,0,46,40.0,2048.0,14725.197899999985,2087.9867,6851.383699999999,763,5,0,128,0.26262444454725675,0.7016498360593972,0.4593477191060329,55,7124.3882999999805,5280.205999999953,46,0,131.0,0,0,0,0.0,0,0.0,271645.8850623416,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,288.6833000000001,53.0,669.7540999999999,4,13.059700000000001,13.034899999999816,0.87903381493522,5120.0,72.7734375,0.10388796875,122,0,0.0,0,1107.2568623457103,3726.0,271,0.6522711112169759,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,223,0.0,6,6,5228.1239,3072,600.0,600.0,646.0594999999997,8680.894586376093,3974.511661852897,4706.382924523196,10.2643,2.7954,9107.26330000001,4381.0006,0.7055694023892698,384,19794.270874391434,128,251851.61418795033,4,51.724999999999966,4,9.075000000000045,2,400.8553,4262.248,12.640500000000001,300.0,0,0,447,447,"LB best SuMSy village, land levy",sumsy,2,-1.0186340659856796e-10
3,512,4,4,31126.047600000034,0.0,8861.747000000005,3742.3018999999954,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,5974.2267,1670.0459999999998,0.0,0.05,548.0459999999996,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0,3,0.9869791666666666,0.7056151412669771,0.0,1035.0,0.0,2375.8384000000015,0.05,0,0,6,0.25436179981634527,512,238.77194799566277,3.4406136250284103,242.2125616206912,3.7382741463971585,0.8672125462900728,4.605486692687231,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-58.248599999999975,0.0,54,2560.0,365.43319999999983,4996.661299999993,2381.9275000000034,0.0,0.0,0.0,0.0,0.0,17,136.8444,2560.0,365.43319999999983,6.089100000000004,274.0,0.0,0.819,0.015,4.815510101010083,5.4949516853932545,2.3349746527777775,1.342685171102659,3.4943967505440945,17.288301916666665,1068.0,1089.0,534.0,2048.0,1390.0,204.0,164,0,0,1,59,47.0,2048.0,14016.732099999994,1628.372,8226.4105,758,10,0,128,0.17169298635336405,0.7056151412669771,0.3613176319422451,26,8107.2949000000135,5244.09049999998,59,0,288.0,0,0,0,0.0,0,0.0,280578.7577981653,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,672.4726999999999,116.0,1143.4619,4,3.9255,3.9252999999999987,1.0345879100965245,5120.0,70.1953125,0.13064123697916669,161,0,0.0,0,839.5116389285658,3594.0,283,0.7609118063542702,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,164,0.0,6,6,5937.2394,3072,600.0,600.0,1019.0815,12296.12864470757,5740.25378229081,6555.87486241676,0.0,3.9255,8925.343299999995,5061.005,0.7094497851955506,384,21603.849538136474,128,258974.9082600287,4,35.525000000000006,4,8.625,2,534.4024,5974.2267,13.398930000000002,300.0,0,0,534,534,"LB best SuMSy village, land levy",sumsy,2,-1.0186340659856796e-10
4,512,4,4,33264.801400000004,0.0,10043.833599999985,1642.7161999999994,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,7590.3089,1657.7588250000003,0.0,0.05,540.2991000000006,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0,0,0.98046875,0.7085144474803533,0.0,1031.0,0.0,2304.599500000001,0.05,0,0,6,0.2532096018573541,512,258.89600210177207,3.9316485481871477,262.8276506499592,5.801578893759522,0.5550296696151734,6.356608563374694,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-142.17477594576553,0.0,65,2560.0,421.2462,3496.367400000002,2311.2588000000014,0.0,0.0,0.0,0.0,0.0,57,378.64570000000003,2560.0,421.2462,6.6593,274.0,0.0,17.6935,0.015,5.465446468401485,5.389066236162352,2.3706887500000007,1.4435473584905665,3.193427559253663,16.769652859166666,1084.0,1076.0,542.0,2046.6666666666667,1322.0,204.0,181,0,0,0,52,47.0,2048.0,14322.15549999999,1065.8763,9027.9292,753,13,2,128,0.24716344870638074,0.7085144474803533,0.3920094534518912,43,7512.220099999988,5880.820399999998,52,0,80.0,0,0,0,0.0,0,0.0,289768.74186909193,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,189.65510000000006,32.0,879.8858,4,62.541199999999996,62.57339999999923,1.3583819586292938,5120.0,67.78645833333333,0.13972356770833336,231,0,0.0,0,1550.369708816586,3470.6666666666665,295,1.313675570948184,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,181,0.0,6,6,6066.235500000001,3072,600.0,600.0,1395.1279999999992,12387.97026143175,5652.286471788628,6735.6837896431225,30.8425,31.6987,9489.087500000007,4907.4558,0.7114906170123483,384,24023.154802483947,128,265745.587066608,4,32.075,4,8.150000000000091,2,1358.2027,7590.3089,14.202865800000003,300.0,0,0,542,542,"LB best SuMSy village, land levy",sumsy,2,-1.0186340659856796e-10
5,512,4,4,35363.13879999998,0.0,12282.112531600002,2824.3877000000007,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,8899.3898,1694.1414600000005,0.0,0.05,613.2239999999999,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0,0,0.9739583333333334,0.6853745894632934,2.0,1007.0,2.0,2096.910799999998,0.05,0,0,6,0.25533468690062516,512,151.1749042190047,3.1657698735752535,154.34067409257995,3.069238698229862,0.5612673160963974,3.6305060143262593,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-238.38579342640605,0.0,163,2560.0,461.66260000000034,4681.848400000001,2103.911900000005,0.0,0.0,0.0,0.0,0.0,44,116.4503,2560.0,461.66260000000034,7.001100000000003,274.0,0.0,49.9854,0.015,5.635046742209635,5.6070307835820925,2.50249609375,1.58154576923077,3.2870610479358144,16.266563273391665,1072.0,1059.0,536.0,2048.0,1330.0,204.0,179,0,0,1,56,27.0,2048.0,13363.047199999992,2422.0847999999996,9912.1415,748,16,4,130,0.18297848365542602,0.6853745894632934,0.4108085400051398,39,7741.6380999999965,5967.514500000004,56,0,128.0,0,0,0,0.0,0,0.0,179788.25874884316,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,320.3195,52.0,650.0251999999999,4,18.385,18.394300000000104,1.3303604028790101,5120.0,67.6171875,0.1328452386588542,25,0,0.0,0,166.29927447108003,3462.0,297,1.3735678761185444,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,179,0.0,6,6,7289.108499999999,3072,600.0,600.0,1887.0572999999997,8922.67939076167,3662.6547453808353,5260.024645380836,9.0001,9.3849,8755.902900000005,5695.143,0.6862193885773018,382,23936.064710592407,130,155852.19403825077,4,30.42499999999999,4,7.6749999999999545,2,1502.6768631999998,8899.3898,15.055037748000004,157.1014329,0,0,536,536,"LB best SuMSy village, land levy",sumsy,2,-1.0186340659856796e-10
6,512,4,4,37434.63059999999,0.0,14995.139750991993,3345.7054000000007,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,9411.7541,1727.9106000000006,0.0,0.05,632.2521000000006,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0,0,0.9661458333333334,0.6636354227230035,4.0,884.0,4.0,1329.2674000000013,0.05,0,0,6,0.2587609633956469,512,100.67513243267071,2.4578184135775794,103.13295084624829,2.8746917798711267,0.8177277890544365,3.6924195689255632,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-359.3402864978867,0.0,174,2560.0,488.50819999999953,4111.971300000001,1336.678999999996,0.0,0.0,0.0,0.0,0.0,24,265.27070000000003,2560.0,488.50819999999953,7.411600000000009,274.0,0.0,25.2256,0.015,5.621900188323925,5.6123914972274065,2.5134576923076932,1.7367552123552132,3.164945453792073,20.42395099210467,1082.0,1062.0,541.0,2046.6666666666667,1299.0,204.0,186,0,0,0,44,21.0,2048.0,14640.605500000005,1043.2159,11864.7954,742,23,3,130,0.15581808308267586,0.6636354227230035,0.40273390709844903,27,7547.7045999999955,5970.458000000008,44,0,26.0,0,0,0,0.0,0,0.0,90090.50361463353,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,65.34990000000002,11.0,208.989,4,11.6533,11.642699999999925,1.8803602710982263,5120.0,67.26236979166667,0.09988073697044274,35,0,0.0,0,506.1337407909424,3443.8333333333335,303,1.77047389875164,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,186,0.0,6,6,6821.688,3072,600.0,600.0,2862.7587000000003,9428.848606814929,4474.658201380491,4954.190405434437,5.5931,6.0602,9510.933600000002,6295.312299999999,0.672598366412446,382,25238.925013808734,130,64851.57860082478,4,28.59999999999991,4,7.2000000000000455,2,1205.6371642360002,9411.7541,15.958340012880004,15.055037748000004,0,0,541,541,"LB best SuMSy village, land levy",sumsy,2,-1.0186340659856796e-10
7,512,4,4,39476.79140000001,0.0,17108.825220038656,2904.4484000000007,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,9064.1438,1751.3997428571433,0.0,0.05,630.7782,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0,0,0.96484375,0.6392889515165394,3.0,886.0,5.0,459.81309999999905,0.05,0,0,6,0.25993655692729767,512,93.11946773096292,2.658698399409794,95.77816613037271,2.9614111395493854,1.3280034669918792,4.289414606541264,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-508.38396255422583,0.0,181,2560.0,517.8391999999997,4907.048299999999,468.1344999999985,0.0,0.0,0.0,0.0,0.0,11,243.4393,2560.0,517.8391999999997,8.321399999999995,274.0,0.0,0.0,0.015,5.546376759259258,5.605709906542038,2.491371428571429,1.903598818897637,3.2037336965294845,19.811232462341525,1070.0,1080.0,535.0,2048.0,1288.0,204.0,189,0,0,1,47,31.0,2048.0,15402.594700000005,266.91540000000003,14263.0966,741,27,0,130,0.13468273489731852,0.6392889515165394,0.41149309134029477,10,7627.049699999985,5990.086899999998,47,0,28.0,0,0,0,0.0,0,0.0,87374.46600703179,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,69.75840000000001,12.0,236.60160000000002,4,78.41369999999999,78.41039999999998,1.6792658234800626,5120.0,66.52018229166667,0.08401264974377602,57,0,0.0,0,869.1489425525609,3405.8333333333335,319,1.5807658711207484,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,189,0.0,6,6,7642.6034,3072,600.0,600.0,3680.2556999999993,7918.77032124283,3964.8553898922496,3953.9149313505804,71.0162,7.3975,10192.563800000002,7124.010199999999,0.6497678405434055,382,25575.665391522234,130,61798.80061550968,4,26.824999999999932,4,6.724999999999909,2,1403.0719200386397,9064.1438,16.915840413652806,15.958340012880004,0,0,535,535,"LB best SuMSy village, land levy",sumsy,2,-1.0186340659856796e-10
8,512,4,4,41485.54489999998,0.0,17422.645699999997,1306.2608000000002,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,8350.2891,1765.8380250000002,0.0,0.05,622.302,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0,0,0.96484375,0.6501795319345833,0.0,630.0,0.0,69.30490000000017,0.05,0,0,6,0.2589140231255901,512,104.3231347956149,2.6829653074237982,107.00610010303869,4.264172783438546,1.7032818986708351,5.9674546821093815,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-679.801662554223,0.0,187,2560.0,551.2465000000007,3288.5592999999994,78.82650000000017,0.0,0.0,0.0,0.0,0.0,0,281.66,2560.0,551.2465000000007,9.521599999999948,274.0,0.0,0.0,0.015,5.4875329598506095,5.559277052238807,2.375227027027027,1.956743418467584,3.1551208603162837,19.21689548847128,1072.0,1071.0,536.0,2046.6666666666665,1292.9999999999998,204.0,188,0,0,2,47,33.0,2048.0,17531.623199999998,345.9634,14679.1302,741,27,0,130,0.16334956312687599,0.6501795319345833,0.42022973497531546,4,7573.288900000022,5877.1478000000025,47,0,37.0,0,0,0,0.0,0,0.0,94957.78843895877,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,87.8834,15.0,296.87899999999996,4,114.81359999999998,114.76859999999994,1.8867436467849716,5120.0,64.1015625,0.11762878646378382,167,0,0.0,0,1862.4955784432066,3282.0,335,1.802426194015622,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,188,0.0,6,6,7439.0654,3072,600.0,600.0,4510.053300000001,7991.804413241563,4124.210170838158,3867.5942424034056,42.1334,72.6802,11876.789600000004,7882.9072,0.6590109137298774,382,26992.065879168065,130,67965.72255979065,4,25.0,4,391.7756999999997,2,1614.4613999999997,8350.2891,17.930790838471975,15.958340012880004,0,0,536,536,"LB best SuMSy village, land levy",sumsy,2,-1.0186340659856796e-10
9,512,4,4,43460.68519999998,0.0,17251.075700000012,885.6519000000003,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,7606.9878,1774.8680000000004,0.0,0.05,615.7026000000001,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0,0,0.96484375,0.6414162858249166,0.0,510.0,0.0,16.853699999999936,0.05,0,0,6,0.25916510395007675,512,105.96482891854438,2.940709500967877,108.90553841951225,6.007601238137993,1.9663134386377001,7.973914676775693,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-854.2494625542234,0.0,188,2560.0,584.8597000000011,886.7036000000003,27.593899999999934,0.0,0.0,0.0,0.0,0.0,1,543.3200999999999,2560.0,584.8597000000011,10.740199999999978,274.0,0.0,0.0,0.015,5.399830718954251,5.5008472897196175,2.4995518518518507,1.9608578740157483,3.1264699480519242,18.64038862381714,1070.0,1071.0,535.0,2045.3333333333333,1320.0,204.0,181,0,0,0,50,30.0,2048.0,19285.460299999988,432.1657,15071.745700000001,741,27,0,130,0.19892721174648553,0.6414162858249166,0.41976796072061484,1,7591.690400000003,5783.218700000003,50,0,108.0,0,0,0,0.0,0,0.0,97150.46465936226,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,269.95159999999987,44.0,521.0056,4,168.4435,168.42810000000011,1.880720623360604,5120.0,62.405598958333336,0.1255714264377422,170,0,0.0,0,1394.010302986259,3195.1666666666665,340,1.7658543117444363,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,181,0.0,6,6,8150.681,3072,600.0,600.0,4917.171499999997,7825.777034557588,3993.39198014223,3832.385054415359,109.73880000000001,58.7047,12414.893700000008,7874.236,0.6492507879552578,382,28109.463345459557,130,69041.00131390257,4,23.174999999999955,4,483.2059999999997,2,1800.3829999999996,7606.9878,19.006638288780294,15.958340012880004,0,0,535,535,"LB best SuMSy village, land levy",sumsy,2,-1.0186340659856796e-10
10,512,4,4,45397.8933,0.0,16790.25050000002,641.2108999999998,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,6886.8063,1779.1390800000001,0.0,0.05,605.8595999999995,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0,0,0.96484375,0.6572790199029872,0.0,511.0,1.0,14.09489999999996,0.05,0,0,6,0.2591720784174236,512,122.36101954478826,3.04429417118323,125.40531371597149,8.32304413803337,2.032229465920075,10.355273603953446,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-1027.0502625542222,0.0,191,2560.0,622.7918999999999,1269.581,26.152700000000028,0.0,0.0,0.0,0.0,0.0,0,678.3899,2560.0,622.7918999999999,12.05780000000004,274.0,0.0,0.0,0.015,5.327345004668539,5.502507620817882,2.6694491666666655,1.9294706457925632,3.1888894097725933,18.081176965102628,1076.0,1071.0,538.0,2048.0,1378.0,204.0,167,0,0,0,41,36.0,2048.0,20913.0937,569.6851999999999,15412.8935,741,27,0,130,0.24124613210286006,0.6572790199029872,0.42434958340620477,0,7817.256400000015,5705.586500000005,41,0,240.0,0,0,0,0.0,0,0.0,107559.51040627056,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,640.6677999999997,96.0,937.0247,4,208.2732,208.25060000000116,2.165485888559446,5120.0,60.823567708333336,0.16139303451065892,175,0,0.0,0,2606.0315590433,3114.1666666666665,348,1.966625157320738,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,167,0.0,6,6,8184.2373,3072,600.0,600.0,5234.121300000004,7653.017041076962,3989.0354721345534,3663.9815689424086,86.4444,121.82879999999999,13545.774699999987,8735.3661,0.6628109237475497,382,29692.343818652764,130,77867.16658761783,4,21.350000000000023,4,500.8897000000002,2,1859.2040000000002,6886.8063,20.147036586107113,15.958340012880004,0,0,538,538,"LB best SuMSy village, land levy",sumsy,2,-1.0186340659856796e-10
