round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,26739.046999999948,0.0,1205.8805999999995,1205.8805999999997,561.0,,561.0,0.0,0.0,0.0,0.0,0.0,0.0025,121.0995,1683.0,0.0,1.0,561.0,959.1864000000002,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.4579071581512757,0.0,672.0,0.0,0.0,1.0,0,0,6,0.9303237044563797,512,33.95728742325764,3.581254078172455,37.53854150143009,6.450424901960784,1.7861349019607844,8.236559803921569,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,48,2560.0,246.23300000000086,1205.8805999999997,122.44709999999984,0.0,0.0,0.0,0.0,0.0,0,258.1752,2560.0,246.23300000000086,122.44709999999984,274.0,0.0,0.0,0.0,5.0,5.200000000000013,2.0,0.75,3.594822888283399,3.9200000000000013,320.0,83.0,160.0,2048.0,734.0,204.0,328,0,0,0,47,36.0,2048.0,17518.37490000001,2245.9286,4031.9224,768,0,0,128,0.18544316380687453,0.4579071581512757,0.6570960756815056,6,5261.3345999999965,415.0,47,0,520.0,0,0,0,0.0,0,0.0,44086.156925028314,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1040.0,208.0,2563.5464,4,33.432,33.45760000000018,0.6550829162611467,5120.0,74.11783854166667,0.13000955078124998,368,0,0.0,0,5060.0541305059905,3794.8333333333335,362,0.4841145833333333,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,6,6,4314.9038,3072,600.0,600.0,11.7804,345.67760000000044,280.0138000000002,65.66380000000026,18.560000000000002,14.872,12528.856699999998,4526.4936,0.457610399581986,384,17205.122434015582,128,26881.034491012702,4,396.8201,4,100.0,2,258.1752,-439.90049999999997,11.925,11.25,0,0,160,160,"NB co-op village, market entry",sumsy,10,-1.4551915228366852e-11
2,512,4,4,29000.503200000072,0.0,5840.622600000004,4666.910999999998,1000.9005,,1000.9005,0.0,0.0,0.0,0.0,0.0,0.0025,145.7717,1683.0,0.0,1.0,561.0,938.1338333333334,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.5118995761148482,0.0,963.0,0.0,0.0,1.0,0,0,6,0.2590283104081821,512,48.04539014986464,3.1916865361361837,51.23707668600082,6.327847058823529,1.8744866666666666,8.202333725490195,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-6.433799999999986,0.0,48,2560.0,298.543799999998,4666.910999999998,148.1041000000001,0.0,0.0,0.0,0.0,0.0,6,148.0582,2560.0,298.543799999998,148.1041000000001,274.0,0.0,0.0,0.015,4.911779398359144,5.488265188470057,2.221463636363638,1.1337108647450098,3.541608810572657,31.71162182539683,902.0,1097.0,451.0,2048.0,1135.0,204.0,228,0,0,1,60,50.0,2048.0,17239.30429999998,3045.1566000000003,8118.7354,768,0,0,128,0.1960941426324878,0.5118995761148482,0.4649066398693078,4,7034.311499999978,5388.221999999981,60,0,66.0,0,0,0,0.0,0,0.0,53455.91257592876,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,146.61660000000012,27.0,303.477,4,2.4085,2.402300000000009,0.7267254874976792,5120.0,59.462890625,0.12389561197916667,316,0,0.0,0,3459.4562666700513,3044.5,404,0.7690360570007155,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,228,0.0,6,6,5606.9197,3072,600.0,600.0,565.6239000000003,6614.048735694895,3458.9923365122972,3155.0563991825975,1.2342,1.1743000000000001,14151.414199999981,5860.4493,0.5262110060293375,384,19089.899421186718,128,34366.01315474202,4,380.05409999999995,4,100.0,2,406.2334,-855.1288,12.640500000000001,11.25,0,0,451,451,"NB co-op village, market entry",sumsy,10,-1.4551915228366852e-11
3,512,4,4,31220.046100000094,0.0,6460.962800000003,863.9351000000001,1406.2296999999999,,1406.2296999999999,0.0,0.0,0.0,0.0,0.0,0.0025,166.9412,1673.1009,0.0,1.0,551.1009,913.1922333333333,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.5043430625563057,0.0,1053.0,0.0,0.0,1.0,0,1,6,0.25421608874137475,512,51.186404372642116,3.7238896897387477,54.91029406238086,9.649734208769296,2.1229076218390452,11.772641830608341,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-54.83239999999992,0.0,51,2560.0,340.45709999999985,4500.009900000001,169.13269999999983,0.0,0.0,0.0,0.0,0.0,8,367.3962,2560.0,340.45709999999985,169.13269999999983,274.0,0.0,0.0,0.015,4.817345046728954,5.451437153419599,2.3314885964912273,1.3433861111111123,3.3813869928755365,34.640478333333334,1082.0,1070.0,541.0,2046.6666666666667,1334.0,204.0,177,0,0,1,59,38.0,2048.0,19568.972900000015,2234.5326,8026.7873,767,1,0,128,0.26468344025025137,0.5043430625563057,0.37769206227376273,1,7694.718700000008,5154.559199999981,59,0,114.0,0,0,0,0.0,0,0.0,57311.183209413444,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,265.7896999999999,46.0,855.4159,5,0.0,0.0,0.7504150719210125,5120.0,58.247767857142854,0.08884582589285712,259,0,0.0,0,1683.4844970353056,2982.285714285714,416,0.6369925078526274,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,177,0.0,6,7,5993.425499999999,3072,600.0,1035.618,992.1975,12051.15343304636,5403.89279161622,6647.26064143014,0.0,0.0,16241.927499999993,5123.3103,0.5190649857363101,384,20795.173111663058,128,36516.010097750426,4,363.2631000000001,4,100.0,2,612.6626,-1239.2884999999999,13.398930000000002,11.25,0,0,541,541,"NB co-op village, market entry",sumsy,10,-1.4551915228366852e-11
4,512,4,4,33393.879199999916,0.0,8298.574600000005,2104.137,1779.7967,,1779.7967,0.0,0.0,0.0,0.0,0.0,0.0025,189.079,1660.2068250000004,0.0,1.0,540.5082000000004,885.920066666667,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7296451114860507,0.0,1052.0,1.0,0.0,1.0,0,1,6,0.25737247349810793,512,566.3383624255471,4.1660205443521,570.5043829698992,8.335996931894925,2.141472870517143,10.477469802412068,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-105.38052500000003,0.0,55,2560.0,386.16689999999994,2311.7246000000005,191.74870000000013,0.0,0.0,0.0,0.0,0.0,9,483.37969999999996,2560.0,386.16689999999994,191.74870000000013,275.5,0.0,0.0,0.015,5.446972316384182,5.412564879852133,2.3701697478991584,1.446585925925926,3.3083476499829296,33.788655383992676,1082.0,1062.0,541.0,2046.6666666666665,1384.0,204.0,165,0,0,3,48,31.0,2048.0,19219.899699999987,3801.1781,8663.5633,767,1,0,128,0.2407659028372009,0.7296451114860507,0.38106945695417216,0,7824.762699999992,5784.6846000000005,48,0,238.0,0,0,0,0.0,0,0.0,681339.8939925041,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,564.1003999999997,96.0,1036.7794,5,26.3424,26.3424,0.9407971984515554,5120.0,50.987723214285715,0.12843162667410715,167,0,0.0,0,1011.5805792146352,2610.5714285714284,422,0.8944133319817673,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,165,0.0,6,7,6631.351100000001,3072,600.0,1035.618,1468.6347999999987,9700.486032561586,4786.597742645528,4913.888289916055,0.0,26.3424,15036.982600000007,6870.1697,0.7346951877608168,384,22927.715916276244,128,658412.1780762277,4,346.47209999999995,4,100.0,2,715.7373,-1590.7177000000001,14.202865800000003,808.4524,0,0,541,541,"NB co-op village, market entry",sumsy,10,-1.4551915228366852e-11
5,512,4,4,35526.843400000005,0.0,10430.3462,2484.8252999999986,2201.866,,2201.866,0.0,0.0,0.0,0.0,0.0,0.0025,209.1855,1694.8544399999998,0.0,1.0,611.1482999999995,891.4730999999999,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.732779237180835,0.0,1043.0,1.0,0.0,1.0,0,1,6,0.2579429481244085,512,682.4472092547734,3.8487268654046387,686.295936120178,6.4252154326107735,1.8783647843438982,8.303580216954673,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-170.56732500000044,0.0,58,2560.0,427.0358000000004,2666.701199999999,212.07420000000005,0.0,0.0,0.0,0.0,0.0,10,462.0289,2560.0,427.0358000000004,212.07420000000005,275.5,0.0,0.0,0.015,5.5928796672828085,5.55331514018694,2.5167153409090948,1.5748806754221387,3.3734476550681913,32.774995722472894,1070.0,1082.0,535.0,2044.0,1417.0000000000002,204.0,156,0,0,1,58,32.0,2048.0,19970.207500000004,3940.9243999999994,9607.3514,766,2,0,128,0.20879000673370207,0.732779237180835,0.3787889981957313,0,8071.879699999992,6051.495799999999,58,0,352.0,0,0,0,0.0,0,0.0,926111.4806398577,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,885.8838000000014,141.0,1337.1457,5,19.4931,19.49339999999998,1.3755903470942294,5120.0,51.004464285714285,0.16464289062499998,13,0,0.0,0,63.17102201815523,2611.4285714285716,422,1.4148925616263404,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,156,0.0,6,7,8284.889099999999,3072,600.0,1035.618,2144.575499999999,8304.580353063202,3115.4186171651913,5189.161735898011,0.0,19.4931,16312.323999999999,6600.5324,0.7382247732847584,384,28580.626444204085,128,897530.8541956532,4,329.6811,4,100.0,2,768.4108000000001,-1992.6805,15.055037748000004,1105.19165,0,0,535,535,"NB co-op village, market entry",sumsy,10,-1.4551915228366852e-11
6,512,4,4,37615.1653,0.0,13062.844999999996,3088.4652999999994,2620.1998,,2620.1998,0.0,0.0,0.0,0.0,0.0,0.0025,231.2283,1726.1383500000002,0.0,1.0,627.5193000000004,894.0478333333335,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.99609375,0.7360785095969331,0.0,1050.0,1.0,0.0,1.0,0,2,6,0.25759495433281354,512,823.8433162402916,3.527318250637825,827.3706344909295,5.802112084712133,1.7437370987536283,7.54584918346576,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-252.81035,0.0,60,2560.0,471.67810000000003,3753.224599999999,234.30299999999994,0.0,0.0,0.0,0.0,0.0,12,95.6497,2560.0,471.67810000000003,234.30299999999994,275.5,0.0,0.0,0.015,5.61104524253732,5.656333826247673,2.5913744615384657,1.7465966542750924,3.3601020677028024,34.814601941411915,1082.0,1072.0,541.0,2046.6666666666667,1418.0,204.0,157,0,0,2,49,33.0,2048.0,20608.430600000007,3297.7073,11518.6865,765,3,0,128,0.2119586666004114,0.7360785095969331,0.4220607884589602,0,8141.575300000028,6015.040500000006,49,0,325.0,0,0,0,0.0,0,0.0,1.1541875758925418e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,842.1967000000013,130.0,1863.4629,6,28.797800000000002,28.784500000000033,1.3599102927606144,5120.0,57.138671875,0.18527253173828123,9,0,0.0,0,44.91181250382635,2925.5,422,1.400650099659877,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,157,0.0,6,8,8029.6437000000005,3072,600.0,1389.83,2861.6384000000007,7729.115417962363,3817.1523023263794,3911.963115635984,5.4945,23.3033,16858.318500000016,8650.213,0.7422370338272404,384,28842.44098166859,128,1.1253451349108727e6,4,312.8901000000001,4,100.0,2,846.8052,-2388.9714999999997,15.958340012880004,1401.9309,0,0,541,541,"NB co-op village, market entry",sumsy,10,-1.4551915228366852e-11
7,512,4,4,39658.27690000002,0.0,15542.639899999995,3068.3662,3018.5308,,3018.5308,0.0,0.0,0.0,0.0,0.0,0.0025,253.3584,1749.3582857142856,0.0,1.0,629.5592999999993,891.1347428571428,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.7374249319065989,0.0,1041.0,4.0,0.0,1.0,0,2,6,0.2576901131265781,512,905.7824225488256,3.569397612239445,909.351820161065,7.702731598480534,1.5526974932059632,9.255429091686496,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-357.02795000000106,0.0,61,2560.0,516.8883999999996,3077.9074000000005,256.74939999999975,0.0,0.0,0.0,0.0,0.0,14,391.1151,2560.0,516.8883999999996,256.74939999999975,277.0,0.0,0.0,0.015,5.600520517560066,5.628093271028018,2.7204038548752822,1.9380578154425607,3.25651503295199,33.92897473556824,1070.0,1082.0,535.0,2045.3333333333333,1452.9999999999998,204.0,148,0,0,2,58,35.0,2048.0,20826.2796,2549.0043,13506.378499999999,764,4,0,128,0.25482466359323985,0.7374249319065989,0.4043834484954576,2,8190.3923000000195,6059.763199999992,58,0,441.0,0,0,0,0.0,0,0.0,1.270002068180935e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1199.6980999999994,177.0,2132.141,6,57.3844,57.36249999999955,1.297376049339234,5120.0,51.015625,0.20266586181640622,140,0,0.0,0,1607.8450333917579,2612.0,423,1.482321264014878,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,148,0.0,6,8,8127.9512,3072,600.0,1389.83,3434.829499999999,6612.248258565034,3911.061231206409,2701.187027358624,22.5489,34.835499999999996,17147.511199999997,10059.5726,0.7436414994981859,384,29456.801694539943,128,1.2405452664863958e6,4,296.1241,4,100.0,2,1101.9137999999998,-2765.1724,16.915840413652806,1545.0823,0,0,535,535,"NB co-op village, market entry",sumsy,10,-1.4551915228366852e-11
8,512,4,4,41660.31540000001,0.0,16316.728400000002,1496.4519000000003,3393.5485,,3393.5485,0.0,0.0,0.0,0.0,0.0,0.0025,273.8724,1766.3295374999998,0.0,1.0,628.3761,884.7824874999999,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9934895833333334,0.7373956934117993,0.0,644.0,1.0,0.0,1.0,0,2,6,0.2589495976356486,512,904.857035735029,3.22897189609688,908.0860076311259,8.443746670031024,1.5868985418893138,10.030645211920339,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-482.11485000000204,0.0,67,2560.0,557.9615000000002,3554.017299999999,277.2787,0.0,0.0,0.0,0.0,0.0,15,545.1273,2560.0,557.9615000000002,277.2787,277.0,0.0,0.0,0.015,5.543524693685206,5.632006839186686,2.782893870967743,1.9993796641791046,3.2874283100284547,32.91110549350119,1082.0,1061.0,541.0,2045.3333333333335,1413.0000000000002,204.0,158,0,0,1,42,31.0,2048.0,22571.640300000006,1811.9716,14163.2384,763,5,0,128,0.27579567851600983,0.7373956934117993,0.4427217055354804,2,8110.180200000007,5881.679700000003,42,0,310.0,0,0,0,0.0,0,0.0,1.2651421745943062e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,862.6971000000003,125.0,2294.4653999999996,6,193.1741,193.17290000000025,1.2990643467848608,5120.0,51.015625,0.23260431030273437,23,0,0.0,0,126.42175553033971,2612.0,423,1.5571381358626497,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,158,0.0,6,8,8577.813699999999,3072,600.0,1389.83,4034.4764999999998,7235.907284080102,3736.544313768613,3499.36297031149,66.1996,126.9745,18451.48789999998,9691.861700000001,0.7436089709289915,384,29974.20088529002,128,1.235167973709018e6,4,279.33310000000006,4,100.0,2,1215.5692,-3119.6760999999997,17.930790838471975,1537.18795,0,0,541,541,"NB co-op village, market entry",sumsy,10,-1.4551915228366852e-11
9,512,4,4,43622.36410000006,0.0,16837.5267,1295.8223,3741.6619,,3741.6619,0.0,0.0,0.0,0.0,0.0,0.0025,293.7841,1777.3993,0.0,1.0,621.9858,874.8845000000001,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9934895833333334,0.7386115149032699,0.0,642.0,0.0,0.0,1.0,0,3,6,0.25688534543681013,512,943.4559121919441,3.2105340372681757,946.6664462292122,8.866687477081767,1.5747799198032673,10.441467396885034,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-610.5857500000014,0.0,70,2560.0,597.9513000000007,1961.1532,297.2451,0.0,0.0,0.0,0.0,0.0,22,265.1095,2560.0,597.9513000000007,297.2451,277.0,0.0,0.0,0.015,5.46893369763206,5.619791525423718,2.8325739130434755,1.9762714828897305,3.356719043793252,34.304839238511164,1062.0,1098.0,531.0,2046.6666666666665,1453.0,204.0,148,0,0,2,69,38.0,2048.0,23644.025399999995,1959.8294,14560.8526,763,5,0,128,0.2896951055544197,0.7386115149032699,0.43692403572273064,1,8288.210699999994,6004.889200000002,69,0,460.0,0,0,0,0.0,0,0.0,1.2862489667978024e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1302.9839999999988,185.0,2898.7630999999997,7,200.1248,200.12490000000076,1.7933318639600295,5120.0,56.46050347222222,0.23350646158854163,29,0,0.0,0,280.82329207466773,2890.777777777778,421,1.5770457819675727,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,148,0.0,6,9,8787.3313,3072,600.0,1685.6984,4595.897099999997,6704.352675352044,3427.5725879544734,3276.7800873975702,44.8995,155.2253,19015.386699999995,10632.1138,0.745065499516562,384,33491.09871305945,128,1.2527578680847432e6,4,262.5671,4,330.4341000000004,2,1269.7005,-3447.8778,19.006638288780294,1537.18795,0,0,531,531,"NB co-op village, market entry",sumsy,10,-1.4551915228366852e-11
10,512,4,5,45546.872800000005,0.0,17347.329200000037,1335.875399999999,4061.4945,,4061.4945,0.0,0.0,0.0,0.0,0.0,0.0025,312.6564,1783.74438,0.0,1.0,613.6167,862.43092,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0.9921875,0.7389195017539836,0.0,643.0,0.0,0.0,1.0,0,4,6,0.2557455531309925,512,966.4847609396712,3.1853737339715864,969.6701346736428,12.587192384146293,1.6385290731582713,14.225721457304564,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-741.434650000002,0.0,74,2560.0,635.491299999999,2792.4380000000006,316.04899999999975,0.0,0.0,0.0,0.0,0.0,17,384.90200000000004,2560.0,635.491299999999,316.04899999999975,278.5,0.0,0.0,0.015,5.4065598122065746,5.7670352293578135,2.886898007968129,1.9664283858998148,3.242024028175968,31.50904437184631,1090.0,1065.0,545.0,2045.3333333333335,1498.0000000000002,204.0,136,0,0,2,47,34.0,2048.0,24911.146299999953,1413.8314,15609.8413,762,6,0,128,0.34603099840435414,0.7389195017539836,0.3885853919498845,1,8263.39279999999,5757.986200000002,47,0,502.0,0,0,0,0.0,0,0.0,1.2937136577631482e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1449.2228000000007,202.0,2914.4954000000002,7,210.95040000000006,210.9675999999994,1.7657856697731995,5120.0,55.9296875,0.25189306445312504,124,0,0.0,0,2008.1600435986297,2863.6,422,1.565805833942394,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,136,0.0,6,10,8998.5482,3072,600.0,2669.6023,5314.691799999994,8020.157023380887,3792.9352853015375,4227.22173807935,70.4861,140.4643,20491.569299999977,10939.6199,0.745607913222786,384,34662.3055509645,128,1.2590513522121848e6,4,245.77610000000004,5,434.6689000000001,2,1451.3262,-3748.8381,20.147036586107113,1537.18795,0,0,545,585,"NB co-op village, market entry",sumsy,10,-1.4551915228366852e-11
