round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,26525.686000000038,0.0,26647.8124,0.0,3512.26,,0.0,2312.26,1200.0,0.0,1200.0,0.0,0.00375,36.7592,11820.0036,0.0,1.0,3940.0011999999997,7403.248933333329,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.6956453498854174,0.0,512.0,1.0,0.0,1.0,0,0,0,1.0,260,191.54658578620402,3.916599153902213,195.46318494010623,6.41844862745098,3.0017303921568637,9.420179019607843,0.0,0.0,0.0,0.0,0,0,0.0,0.0,36.7592,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,122.12639999999999,122.12639999999999,0.0,3,2629.6200000000003,529.2139999999999,3265.0201,464.50040000000456,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3280.0,0.0,0.005,5.0,5.200000000000013,2.0,0.75,3.729700272479588,3.9200000000000013,320.0,8.0,160.0,2048.0,734.0,204.0,328,0,0,0,6,0.0,2048.0,21021.860000000026,136.1396,3152.6188,760,8,0,128,0.19365162589606122,0.6956453498854174,0.0720753108284351,0,5703.860000000013,40.0,0,0,1.0,512,0,0,21021.860000000026,760,256083.03702098056,256083.03702098056,0.0,8,1,0,1.5,0,0.0,512,512,256083.03702098056,760,61440.0,0,0,2.0,208.0,2178.3084,4,0.0,0.0,0.2861902842275426,5120.0,85.771484375,-0.2679141536458334,254,0,0.0,0,2726.3168241215326,4391.5,233,0.09391897654659788,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,0,12,0.0,0,0.0,1200.0,0.0,3598.2132000000006,0.0,3598.2132000000006,0.0,0.0,8821.7562,5467.0668,0.7031953038890748,384,15635.233196720508,128,240447.80382425964,4,0.0,4,0.0,2,114.28640000000101,-2275.5008000000003,11.925,300.0,0,0,160,160,S3 step 10 + everyone greedy,debt,1,1.4551915228366852e-11
2,512,4,4,26003.339100000016,0.0,26201.717999999997,0.0,5512.6173,,0.0,2196.647,3315.9703,0.0,2115.9703,4.5,0.00375,364.7547,10020.0036,0.0,1.0,2740.0011999999997,5784.316949999988,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.7066425899180695,0.0,863.0,0.0,0.0,1.0,0,0,0,0.25083133649567213,443,216.4242341518082,3.244219318920714,219.6684534707289,7.559676862745098,2.951277254901961,10.51095411764706,0.0,0.0,0.0,0.0,0,0,0.0,0.0,356.6791,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,198.3789,255.34570000000008,0.0,10,149.44100000000003,671.7879,5578.2618999999995,1083.7007000000217,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2080.0,0.0,0.00602140016057441,4.893999999999992,5.51458463302754,1.8499999999999963,1.1227642523364485,3.552135749588111,3.802399999999999,872.0,1144.0,436.0,2048.0,1214.0,204.0,208,0,0,0,83,0.0,2048.0,19330.94499999998,234.7715,4349.7039,760,8,0,128,0.19843087038925789,0.7066425899180695,0.09572091462104604,0,6153.89109999997,5598.735999999991,0,0,114.0,512,0,0,19330.94499999998,760,270167.96186923864,270167.96186923864,0.0,120,114,0,1.5,0,0.0,512,512,270167.96186923864,760,61440.0,0,0,210.89999999999958,136.0,1723.164,4,26.918999999999997,18.843200000000003,0.5462752111952759,5120.0,75.03743489583333,-0.24792523763020835,420,0,0.0,0,4142.745692682308,3841.9166666666665,438,0.40366246856489085,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,208,0.0,0,12,0.0,0,0.0,1200.0,0.0,12995.845740599536,0.0,12995.845740599536,0.0,26.918999999999997,14495.256799999985,6307.6394,0.7138314204293983,384,16869.668421640137,128,253298.29344759864,4,0.0,4,0.0,2,190.9308999999997,-1831.8923,12.640500000000001,300.0,0,0,436,436,S3 step 10 + everyone greedy,debt,1,1.4551915228366852e-11
3,512,4,4,27489.541900000033,0.0,27723.880400000005,0.0,6660.210300000001,,0.0,2081.034,4579.1763,0.0,1263.2060000000001,12.434809499999998,0.00375,338.3287,9001.133199999998,0.0,1.0,2321.130799999999,4981.735566666644,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.7232614125857029,0.0,1043.0,3.0,0.0,1.0,0,0,0,0.2549162977234589,445,322.7179382421429,3.0843562450470308,325.8022944871899,7.045316193498254,2.9096741107558723,9.954990304254126,0.0,0.0,0.0,0.0,0,0,0.0,0.0,306.59029999999996,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,234.33849999999998,386.38710000000003,0.0,12,2160.4366000000005,674.2338000000001,4606.425999999998,1170.5299000000373,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1675.1240000000003,0.0,0.007759515594747416,5.586870841300189,5.4594249557522385,1.7877870967741938,1.3411592459605033,3.4943340611354317,15.062096633161756,1130.0,1046.0,565.0,2048.0,1374.0,204.0,168,0,0,0,16,0.0,2048.0,18687.932299999982,2356.8455999999996,4749.3589,760,8,0,128,0.18943875039523883,0.7232614125857029,0.1179247516759887,0,6391.162300000007,5843.866899999997,0,0,31.0,512,0,0,18687.932299999982,760,389791.8505381485,389791.8505381485,0.0,22,31,0,1.5,0,0.0,512,512,389791.8505381485,760,61440.0,0,0,55.421400000000006,38.0,1357.0764,4,105.7926,74.05400000000002,0.7060272499483461,5120.0,72.93782552083333,-0.21940197265625005,218,0,0.0,0,2119.2474174533954,3734.4166666666665,441,0.7711742602882712,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,168,0.0,0,12,0.0,0,0.0,1200.0,17.8155,16185.842051795657,0.0,16185.842051795657,0.0,105.7926,15575.300999999967,8463.2809,0.7301631740548253,384,17198.765590106326,128,372593.08494804235,4,0.0,4,0.0,2,227.28249999999983,-1742.7053,13.398930000000002,449.1057,0,0,565,565,S3 step 10 + everyone greedy,debt,1,1.4551915228366852e-11
4,512,4,4,27606.78230000005,0.0,27871.570600000006,0.0,8174.3853,,0.0,1965.421,6208.9643,0.0,1629.788,17.171831999999995,0.00375,376.8366,8719.486481357551,0.0,1.0,2624.848775143404,4713.506412571686,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.7288963497260292,0.0,633.0,0.0,0.0,1.0,0,0,0,0.2794257291223322,445,292.65191370714683,2.4309265754982627,295.0828402826451,4.081288789562724,2.41497631994188,6.496265109504605,0.0,0.0,0.0,0.0,0,0,0.0,0.0,356.94699999999995,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,264.7883,530.5978999999999,0.0,40,907.9115000000004,790.6711000000001,2775.7139999999954,1176.7584999999956,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1887.3833000000004,0.0,0.009097935649459366,5.753085618408441,5.698272328244294,1.7104,1.440012596899226,3.549738477224724,14.610233734166902,1048.0,1043.0,524.0,2048.0,1293.0,204.0,188,0,0,0,12,0.0,2048.0,18297.45450000005,2397.7922,5529.1704,760,8,0,128,0.14159126225513763,0.7288963497260292,0.12498502450152271,0,6420.317900000024,6000.468300000004,0,0,19.0,512,0,0,18297.45450000005,760,393968.7883750707,393968.7883750707,0.0,19,19,0,1.5,0,0.0,512,512,393968.7883750707,760,61440.0,0,0,32.4976,39.0,1005.5286,4,66.2991,46.4096,0.7087566058366805,5120.0,72.24446614583333,-0.20321477539062502,69,0,0.0,0,666.0224778418757,3698.9166666666665,441,0.9590032066842276,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,188,0.0,0,12,0.0,0,0.0,1200.0,774.8189999999995,13749.742053302227,0.0,13749.742053302227,0.0,66.2991,15247.105100000043,8932.491199999999,0.7356442634906146,384,16566.594338720908,128,377402.1940363494,4,0.0,4,0.0,2,258.1243000000002,-1588.5844000000002,14.202865800000003,449.1057,0,0,524,524,S3 step 10 + everyone greedy,debt,1,1.4551915228366852e-11
5,512,4,4,29800.20199999999,0.0,30083.23919999997,0.0,9952.9338,,0.0,1849.808,8103.125800000001,0.0,1894.1615000000002,23.283531999999994,0.00375,357.5834,8733.7683844772,0.0,1.0,2930.2986656519315,4691.097349651458,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.724964733942403,0.0,583.0,0.0,0.0,1.0,0,0,0,0.28155913595011123,445,274.3790931942592,2.3442806944773618,276.72337388873655,2.297102005142745,2.4405309193395217,4.737632924482267,0.0,0.0,0.0,0.0,0,0,0.0,0.0,353.8622,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,283.03720000000004,678.0449999999992,0.0,60,3027.0346000000004,833.6148999999996,4220.728300000003,1165.6126999999838,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2170.898300000002,0.0,0.011127824972047387,5.767946487006744,5.653166986564339,1.7098999999999993,1.5697251461988295,3.5709681228603527,14.171926722141896,1042.0,1039.0,521.0,2048.0,1283.0,204.0,191,0,0,1,11,0.0,2048.0,17928.393299999952,2359.5624,8717.9025,760,8,0,128,0.08707186300254954,0.724964733942403,0.11050778171211895,0,6749.688099999934,5992.896400000007,0,0,28.0,512,0,0,17928.393299999952,760,388523.5449441991,388523.5449441991,0.0,16,28,0,1.5,0,0.0,512,512,388523.5449441991,760,61440.0,0,0,47.87719999999998,35.0,436.7604,4,12.405100000000001,8.684,0.5579079576220378,5120.0,70.94075520833333,-0.19110294270833336,72,0,0.0,0,770.8562193908887,3632.1666666666665,441,1.1713498698872806,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,191,0.0,0,12,0.0,0,0.0,1200.0,1156.0029999999997,11223.765195573942,0.0,11223.765195573942,0.0,12.405100000000001,15512.426399999964,11514.2253,0.7312982017550294,384,16673.207059904486,128,371850.3378842942,4,0.0,4,0.0,2,276.76519999999704,-1492.2246,15.055037748000004,449.1057,0,0,521,521,S3 step 10 + everyone greedy,debt,1,1.4551915228366852e-11
6,512,4,4,30525.99830000002,0.0,30845.48759999999,0.0,11916.751099999981,,0.0,1734.195,10182.556099999982,0.0,2079.4303000000064,30.386560124999995,0.00375,323.9241,8820.452315282913,0.0,1.0,3084.6239897704922,4741.012160188602,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.7276616340309459,0.0,577.0,0.0,0.0,1.0,0,0,0,0.25062648267566573,445,281.0086902463914,2.3265063203841905,283.3351965667756,1.3399022218973746,2.4647433666665073,3.804645588563882,0.0,0.0,0.0,0.0,0,0,0.0,0.0,323.9241,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,319.4893000000002,852.7167999999987,0.0,79,1718.1284000000005,992.3320999999993,2935.7664,1126.7858999999985,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2323.2579000000023,0.0,0.010238956187587071,5.740985356454725,5.706785317460298,1.716149999999999,1.7387729838709693,3.6268172614040544,13.746768920477637,1008.0,1038.0,504.0,2046.6666666666665,1238.0,204.0,202,0,0,0,10,0.0,2048.0,17252.74310000002,2263.3163999999997,10617.2784,760,8,0,128,0.06286283769320122,0.7276616340309459,0.11598811634015371,0,6872.8271999999815,5959.142800000004,0,0,32.0,512,0,0,17252.74310000002,760,393314.9511990958,393314.9511990958,0.0,14,32,0,1.5,0,0.0,512,512,393314.9511990958,760,61440.0,0,0,54.91679999999997,24.0,68.7363,4,0.0,0.0,0.653518032204501,5120.0,70.58919270833333,-0.17624772623697915,64,0,0.0,0,683.1370037925557,3614.1666666666665,441,1.33141430368545,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,202,0.0,0,12,0.0,0,0.0,1200.0,1459.4754999999993,9027.399113113563,0.0,9027.399113113563,0.0,0.0,15029.254500000003,12949.331099999998,0.7334873672451518,384,16713.45741516779,128,376601.4937839285,4,0.0,4,0.0,2,313.6093000000029,-1410.2709,15.958340012880004,449.1057,0,0,504,504,S3 step 10 + everyone greedy,debt,1,1.4551915228366852e-11
7,512,4,4,31378.779100000025,0.7377,29926.79959999998,0.0,13856.969799999999,,0.0,1618.582,12238.387799999999,0.0,2055.8316999999997,38.18197400000004,0.00375,267.7561,8866.609905693476,0.0,1.0,3047.851816052289,4780.933665700407,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.98828125,0.728144159602508,0.0,459.0,1.0,0.0,1.0,0,0,0,0.2500643461672395,445,284.830175438198,2.3678689926071654,287.19804443080517,1.4677396031246794,2.521118076796902,3.9888576799215816,0.0,0.0,0.0,0.0,0,0,0.0,0.0,293.8028,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,340.9304000000002,1030.5602999999994,1884.1739,110,1835.5190999999998,982.0006000000001,4531.6754999999985,1098.3248999999996,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,2290.0470000000005,26.0467,0.011807156659801428,5.693701945525293,5.753602316602328,1.7499,1.943478388998034,3.635403490848933,10.847607095684431,1036.0,1028.0,518.0,2048.0,1251.0,204.0,199,0,0,0,3,0.0,2048.0,17411.01819999999,1450.0961,12248.8682,759,9,0,128,0.0643034973169676,0.728144159602508,0.1266742580851694,0,6996.597399999977,5853.125600000001,0,0,18.0,512,0,0,17411.01819999999,759,395249.0708454424,395249.0708454424,0.0,4,18,0,1.5,0,0.0,512,512,395249.0708454424,759,56320.0,0,0,31.4982,7.0,1.0405,3,0.0,0.0,0.6670853526719283,5120.0,67.37038352272727,-0.14985083451704548,65,0,0.0,0,981.7999129092597,3449.3636363636365,441,1.5331921106578803,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,199,0.0,0,11,0.0,0,0.0,1100.0,1806.7937999999986,9218.704011202075,0.0,9218.704011202075,0.0,0.0,15241.553299999992,13700.004799999999,0.7410128796834798,384,16794.883803025543,128,378454.1870424165,4,0.0,4,0.0,2,-1541.277200000001,-1350.8259,16.915840413652806,449.1057,0,2,518,518,S3 step 10 + everyone greedy,debt,1,1.4551915228366852e-11
8,512,3,4,32244.834099999942,2.5159,23397.84859999999,0.0,15857.096799999987,,0.0,1523.2272,14333.869599999987,0.0,2095.4817999999946,45.888841500000105,0.00375,263.1924,8908.788225331507,0.0,1.0,3068.012154265903,4801.020887720999,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.98828125,0.7310574438141852,0.0,450.0,0.0,0.0,1.0,0,0,0,0.2500306909732928,436,291.0106939754354,2.386372388369437,293.3970663638048,1.5197612607486954,2.5503215179093166,4.070082778658012,0.0,0.0,0.0,0.0,0,0,0.0,0.0,263.1924,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,343.7611,1196.6506999999995,9434.434899999998,121,1850.4026999999999,982.5695000000003,3104.0422999999987,1117.3106999999993,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,2316.447900000003,0.0,0.011594288271266316,5.65368615682478,5.870439376218325,1.7616000000000005,2.023043849206349,3.6355967340947775,3.167292751542029,1026.0,1033.0,513.0,2048.0,1238.0,204.0,202,0,0,0,6,0.0,2048.0,17116.766799999998,1351.7159000000001,13513.159,759,6,3,128,0.06839787603754566,0.7310574438141852,0.13073029535572345,0,7008.857099999968,5840.257799999998,0,0,15.0,512,0,0,17116.766799999998,759,397092.7566343872,397092.7566343872,0.0,9,15,0,1.5,0,0.0,512,512,397092.7566343872,759,35840.0,0,0,26.424000000000007,0.0,0.0,0,0.0,0.0,0.781313494263039,5120.0,54.74609375,-0.04332694196428571,46,0,0.0,0,584.3304728541723,2803.0,434,2.3078316086606185,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,202,0.0,0,7,0.0,0,0.0,700.0,2323.1047,6011.676963251199,0.0,6011.676963251199,0.0,0.0,14654.783599999999,14864.874899999999,0.7702920122052679,384,16418.62314858754,128,380674.1334857996,3,0.0,4,0.0,2,-7772.625900000001,-1260.0348,17.930790838471975,449.1057,0,9,384,513,S3 step 10 + everyone greedy,debt,1,1.4551915228366852e-11
9,512,3,4,33788.019199999995,3.5013,24912.9311725154,0.0,17866.957100000007,,0.0,2104.8688,15762.088300000007,0.0,1428.218699999999,53.74072937500012,0.00375,298.7532,8933.981430931055,0.0,1.0,3045.1756919091513,4796.872987287366,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9921875,0.732789951916301,3.0,488.0,3.0,0.0,1.0,1,0,0,0.2502170875604361,436,319.1271890476983,2.491088522883807,321.61827757058217,0.9651513355602681,2.5499476839841555,3.5150990195444236,0.0,0.0,0.0,0.0,0,0,0.0,0.0,298.7532,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,336.8229999999998,1358.0763999999995,9434.434899999998,131,2788.1324000000013,1243.9619000000012,3678.026000000001,1132.2484000000002,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,2298.8916999999988,0.0,0.01440516542623238,5.631973724007558,6.06096936416184,NaN,2.0400247563352862,3.6254835793415316,6.187497092534416,1038.0,1058.0,519.0,2048.0,1244.0,204.0,201,0,0,0,19,0.0,2048.0,16595.871500000005,1366.1482,14161.8707,762,6,0,130,0.050450499171868834,0.732789951916301,0.1335347919805121,0,7022.032299999979,5958.6281999999965,0,0,0.0,512,0,0,16595.871500000005,762,392932.0484009473,392932.0484009473,0.0,34,0,0,1.5,0,0.0,512,512,392932.0484009473,762,40960.0,0,0,0.0,0.0,1365.3756,1,0.0,0.0,2.2219341064024176,5120.0,59.99755859375,0.008116496582031243,64,0,0.0,0,438.9611682061493,3071.875,433,2.0900241977852043,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,201,0.0,0,8,0.0,0,0.0,2065.2134,3448.838190838472,8953.89910342564,0.0,8953.89910342564,0.0,0.0,14175.831100000009,16893.3945,0.7785725797796192,382,26093.496469628906,130,366838.5519313183,3,0.0,4,0.0,2,-9072.696727484583,-1806.1156,19.006638288780294,374.55285000000003,0,9,519,519,S3 step 10 + everyone greedy,debt,1,1.4551915228366852e-11
10,512,3,4,33046.80920000001,4.883100000000001,24185.55140000002,0.0,19765.23100000001,,0.0,1953.3295,17811.90150000001,0.0,2049.8132,59.091399000000095,0.00375,285.227,8932.464984218412,0.0,1.0,2972.9389879348723,4793.246909478937,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9908854166666666,0.7351691848450757,0.0,665.0,1.0,0.0,1.0,1,0,0,0.25017433312329346,435,362.6470186118213,2.531037624055536,365.1780562358768,2.025235572529539,2.5914232143460914,4.616658786875631,0.0,0.0,0.0,0.0,0,0,0.0,0.0,285.0954,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,351.5229999999997,1540.667100000001,9434.434899999998,136,661.4239000000002,1401.2520999999997,504.5761999999999,1130.7686999999971,0.0,0.0,0.0,0.0,0.0,0,3.1388,0.0,0.0,0.0,0.0,2229.5146999999984,0.0,0.013511296978363674,5.641169371980672,6.202010285714251,1.7635,2.056304440154441,3.616908411051408,23.032687097661466,1050.0,1035.0,525.0,2048.0,1264.0,204.0,196,0,0,0,7,0.0,2048.0,17563.546099999996,805.2082,14298.7299,761,7,0,130,0.07647696674731841,0.7351691848450757,0.13564843367226143,0,7020.912299999984,5838.610299999995,0,0,20.0,512,0,0,17563.546099999996,761,452253.2610160599,452253.2610160599,0.0,11,20,0,1.5,0,0.0,512,512,452253.2610160599,761,40960.0,0,0,35.27,8.0,90.9592,1,0.4386,0.3068,1.972593054591307,5120.0,56.7626953125,0.0011522485351562481,140,0,0.0,0,1098.7114579022414,2906.25,433,2.11908302850031,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,196,0.0,0,8,0.0,0,0.0,2065.2134,3210.862400000001,9075.400914708798,0.0,9075.400914708798,0.0,0.4386,14970.16740000001,15194.897299999999,0.774663181410898,382,26359.911404328097,130,425893.349611732,3,0.0,4,0.0,2,-9057.1554,-1668.1025,20.147036586107113,449.1057,0,9,525,525,S3 step 10 + everyone greedy,debt,1,1.4551915228366852e-11
