round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,26738.92310000003,0.0,792.2841000000009,792.2841000000002,473.3401,,473.3401,0.0,0.0,0.0,0.0,0.0,0.0025,121.2309,1683.0,0.0,0.9588,561.0,871.4005000000008,0.02,87.65999999999978,1.02,0.0,0.0,1.02,0.0,0,0,0.9986979166666666,0.7342851331735103,0.0,672.0,2.0,0.0,1.02,0,0,0,0.3554805988982989,315,432.3166879218437,2.1946274509803922,434.5113153728241,7.090640980392156,1.8626584313725492,8.953299411764705,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.02,1.02,0.0,0.0,0.0,0.0612,0.5,0.25,0.0,0.0,0.0,49,2560.0,246.35690000000034,897.6241000000001,210.18919999999926,0.0,0.0,0.0,0.0,0.0,0,258.1752,2560.0,246.35690000000034,122.52920000000013,274.0,0.0,0.0,0.0,5.0,5.200000000000013,2.0,0.75,3.594822888283399,3.9200000000000013,320.0,203.0,160.0,2048.0,734.0,204.0,328,0,0,0,145,0.0,2048.0,17956.4144,1935.8964999999998,4103.159,767,1,0,128,0.2038298997853525,0.7342851331735103,0.6599937522096022,5,5251.3745999999965,1015.0,0,0,223.0,512,0,0,17956.4144,767,543630.38001457,543630.38001457,0.0,203,223,0,1.5,0,0.0,512,512,543630.38001457,767,61440.0,0,0,446.0,208.0,2364.0471,4,73.9936,73.99359999999999,0.5494208858910081,5120.0,83.50260416666667,0.14755863606770833,291,0,0.0,0,5248.62701448023,4275.333333333333,282,0.32814127604166665,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,0,12,0.0,0,0.0,1200.0,11.2804,1155.3503000000003,0.0,1155.3503000000003,0.0,73.9936,9569.691300000004,8403.1026,0.7407642139657635,384,13581.240572959454,128,530049.1394416122,4,32.300500000000056,4,78.44359999999983,2,258.1752,-352.1092,11.925,662.9,0,0,160,160,S4 step 11 + everyone greedy,sumsy,2,8.731149137020111e-11
2,512,4,4,29000.749699999946,0.0,7266.580400000008,6490.243400000002,555.1855,,555.1855,0.0,0.0,0.0,0.0,0.0,0.0025,148.0821,1683.0,0.0,0.91929744,561.0,713.2219000000009,0.02,357.9236999999991,1.0404,0.0,0.0,1.0404,0.0,0,0,0.9986979166666666,0.7381658587462949,0.0,1028.0,0.0,0.0,1.0404,0,0,0,0.2531950081559419,438,479.576836055494,2.1931166938245816,481.7699527493186,3.8219727450980385,1.8385615686274508,5.66053431372549,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0404,1.0404,0.0,0.0,0.0,0.062424,0.5,0.25,0.0,-3.1894250003084617,0.0,49,2560.0,298.1734000000003,6490.243400000002,508.6455999999989,0.0,0.0,0.0,0.0,0.0,2,146.4544,2560.0,298.1734000000003,150.7219000000002,274.0,0.0,0.0,0.015,4.941704604691576,5.49851470019341,1.9128571428571424,1.1284098837209282,3.538742857142825,22.947486574074073,1034.0,1151.0,517.0,2048.0,1274.0,204.0,193,0,0,1,67,0.0,2048.0,15929.705699999999,4043.8244000000004,8358.9445,767,1,0,128,0.13115413079369098,0.7381658587462949,0.3889858960794699,0,7621.592199999972,5687.902000000004,0,0,84.0,512,0,0,15929.705699999999,767,572788.7548577975,572788.7548577975,0.0,128,84,0,1.5,0,0.0,512,512,572788.7548577975,767,61440.0,0,1706,160.67999999999995,34.0,373.73859999999996,4,2.0776,2.070699999999998,0.9741974426605471,5120.0,80.4296875,0.13177272786458336,1990,0,0.0,0,4294.05153210506,4118.0,413,0.7550776285129875,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,193,0.0,0,12,0.0,0,0.0,1200.0,1286.0616999999997,7976.821699455122,0.0,7976.821699455122,0.0,2.0776,13651.90180000001,12776.5075,0.7431693653065148,384,17506.172742735147,128,555282.5821150627,4,30.685499999999934,4,77.92660000000001,2,404.6296,-407.1034000000001,12.640500000000001,662.9,0,0,517,517,S4 step 11 + everyone greedy,sumsy,2,8.731149137020111e-11
3,512,4,4,31209.71370000004,0.0,9434.935299999994,2503.761,587.0051000000001,,587.0051000000001,0.0,0.0,0.0,0.0,0.0,0.0025,177.8434,1676.4618000000005,0.0,0.8814223854719999,554.4618000000003,633.5691333333342,0.02,374.56009999999975,1.061208,0.0,0.0,1.061208,0.0,0,0,0.9986979166666666,0.7417340130074712,0.0,1083.0,0.0,0.0,1.061208,0,0,0,0.25,486,523.8203519744627,2.489852368327328,526.3102043427899,5.027215050677112,1.6564056943605392,6.6836207450376515,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.061208,1.061208,0.0,0.0,0.0,0.06367247999999999,0.5,0.25,0.0,-70.11215000061695,0.0,50,2560.0,351.03599999999983,3791.6472,555.538,0.0,0.0,0.0,0.0,0.0,5,375.4495,2560.0,351.03599999999983,180.97790000000015,274.0,0.0,0.0,0.015,5.198397027972016,5.451067482517484,1.9100000000000001,1.3361905429071803,3.3905868257316287,22.259061976851854,1144.0,1144.0,572.0,2046.6666666666665,1362.0,204.0,171,0,0,0,51,0.0,2048.0,16021.363400000004,5471.752,8758.9457,767,1,0,128,0.17285606143681087,0.7417340130074712,0.3625795641694112,0,7902.668900000002,5946.966199999986,0,0,28.0,512,0,0,16021.363400000004,767,596084.6264236444,596084.6264236444,0.0,120,28,0,1.5,0,0.0,512,512,596084.6264236444,767,61440.0,0,1886,53.480000000000004,12.0,404.35970000000003,4,32.183,32.18550000000023,1.4530218255999217,5120.0,76.5234375,0.14586533203125,2166,0,0.0,0,3867.1791203641815,3918.0,480,1.055127053471636,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,171,0.0,0,12,0.0,0,0.0,1200.0,2466.242,9286.070371711183,0.0,9286.070371711183,0.0,32.183,14956.588600000005,14635.057400000002,0.7465385579053745,384,20329.121831413882,128,575755.5045922305,4,29.070500000000038,4,77.40959999999995,2,620.7158999999999,-409.1617000000001,13.398930000000002,662.9,0,0,572,572,S4 step 11 + everyone greedy,sumsy,2,8.731149137020111e-11
4,512,4,4,33378.32779999998,0.0,14323.185299999988,5363.1781,571.7885,,571.7885,0.0,0.0,0.0,0.0,0.0,0.0025,201.8312,1694.7924750000004,0.0,0.8451077831905535,583.2615000000005,588.1822333333344,0.02,417.5913,1.08243216,0.0,0.0,1.08243216,0.0,1,0,0.9973958333333334,0.7436196231738232,0.0,1089.0,0.0,0.0,1.08243216,0,0,0,0.25000223719652437,465,527.7973374042053,2.5324880798301495,530.3298254840355,2.6383930723415663,1.7264428334014432,4.36483590574301,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.08243216,1.08243216,0.0,0.0,0.0,0.0649459296,0.5,0.25,0.0,-161.59048755043375,0.0,52,2560.0,391.3858999999998,5374.756800000002,623.2365999999987,0.0,0.0,0.0,0.0,0.0,5,141.2609,2560.0,391.3858999999998,205.6453,274.0,0.0,0.0,0.015,5.554701813471505,5.53560552677031,1.8553999999999995,1.4421620450606594,3.3325329357316535,21.591290117546297,1158.0,1158.0,579.0,2048.0,1392.0,204.0,164,0,0,0,35,0.0,2048.0,15396.510100000016,5609.5075,11669.618900000001,766,2,0,128,0.1092109237931096,0.7436196231738232,0.3776089077152245,0,8010.271699999982,6432.344700000002,0,0,68.0,512,0,0,15396.510100000016,766,615487.4054498476,615487.4054498476,0.0,134,68,0,1.5,0,0.0,512,512,615487.4054498476,766,61440.0,0,937,126.16719999999997,28.0,359.5992,4,9.5713,9.567900000000021,1.8317121560296832,5120.0,75.57454427083333,0.14637535970052087,1054,0,0.0,0,2489.807047731342,3869.4166666666665,461,1.4104756123988713,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,164,0.0,0,12,0.0,0,0.0,1200.0,3550.4192000000016,6289.23942275432,0.0,6289.23942275432,0.0,9.5713,13974.709900000018,17638.725599999998,0.7482748489842295,384,22843.28191078949,128,592644.123539058,4,27.455499999999972,4,76.8925999999999,2,749.068,-369.95730000000003,14.202865800000003,662.9,0,0,579,579,S4 step 11 + everyone greedy,sumsy,2,8.731149137020111e-11
5,512,4,4,35502.97559999998,0.0,16090.304999999997,2495.2405000000003,596.2304,,596.2304,0.0,0.0,0.0,0.0,0.0,0.0025,228.9589,1729.7751600000004,0.0,0.8102893425231027,623.2352999999998,571.2933266666678,0.02,396.9621999999996,1.1040808032,0.0,0.0,1.1040808032,0.0,1,0,0.9973958333333334,0.7439783997369775,0.0,1078.0,0.0,0.0,1.1040808032,0,0,0,0.25213660219706113,451,502.59489624946747,2.483172262105259,505.0780685115727,2.643889472418061,1.7250836880130282,4.368973160431089,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.1040808032,1.1040808032,0.0,0.0,0.0,0.066244848192,0.5,0.25,0.0,-299.1050113879568,0.0,53,2560.0,435.3521999999995,2500.4727000000003,630.2429999999987,0.0,0.0,0.0,0.0,0.0,4,282.9158,2560.0,435.3521999999995,233.28079999999966,274.0,0.0,0.0,0.015,5.612798704902871,5.640648681898064,1.8647999999999998,1.578857142857144,3.180331420584574,20.943551414019907,1138.0,1081.0,569.0,2048.0,1354.0,204.0,172,0,0,0,18,0.0,2048.0,15758.073899999996,5754.6804,13311.0619,766,2,0,128,0.12227228157772774,0.7439783997369775,0.36862701198315717,0,7733.081099999995,6067.435400000003,0,0,24.0,512,0,0,15758.073899999996,766,622170.5024067474,622170.5024067474,0.0,57,24,0,1.5,0,0.0,512,512,622170.5024067474,766,61440.0,0,619,44.755199999999995,10.0,167.2847,4,38.805499999999995,38.808099999999946,1.958048652490187,5120.0,74.49544270833333,0.16034228841145826,710,0,0.0,0,2030.6065156148002,3814.1666666666665,448,1.5001467872184209,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,172,0.0,0,12,0.0,0,0.0,1200.0,4320.938900000005,4236.728987289987,0.0,4236.728987289987,0.0,38.805499999999995,13871.1931,19233.027000000002,0.7484494680418574,384,23914.903984267574,128,598255.5984224802,4,25.84050000000005,4,76.37559999999985,2,1000.3026000000001,-367.27150000000006,15.055037748000004,662.9,0,0,569,569,S4 step 11 + everyone greedy,sumsy,2,8.731149137020111e-11
6,512,4,4,37585.54870000003,0.0,17259.079399999995,2020.1718000000005,596.3761000000001,,596.3761000000001,0.0,0.0,0.0,0.0,0.0,0.0025,256.42,1756.3584000000005,0.0,0.7769054216111508,629.7582000000006,553.8446333333345,0.02,400.6535999999996,1.126162419264,0.0,0.0,1.126162419264,0.0,0,0,0.9973958333333334,0.7442994069049607,0.0,1051.0,0.0,0.0,1.126162419264,0,0,0,0.25495253502640336,444,506.82866176226344,2.313659234237667,509.1423209965011,3.4130666160571757,1.6461156317977013,5.059182247854877,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.126162419264,1.126162419264,0.0,0.0,0.0,0.06756974515584001,0.5,0.25,0.0,-453.9985352254798,0.0,54,2560.0,477.4269000000004,2020.1736000000005,661.6733999999994,0.0,0.0,0.0,0.0,0.0,6,227.8671,2560.0,477.4269000000004,261.01980000000003,274.0,0.0,0.0,0.015,5.525300460405151,5.606430129390038,1.8302846153846155,1.7502283858998153,3.2357194108469045,20.315244871599308,1082.0,1086.0,541.0,2048.0,1299.0,204.0,186,0,0,1,17,0.0,2048.0,16959.071800000012,6374.182500000001,13582.204000000002,766,2,0,128,0.14165614822574613,0.7442994069049607,0.4223971992498783,0,7654.200100000024,6000.476299999994,0,0,26.0,512,0,0,16959.071800000012,766,629932.549145217,629932.549145217,0.0,63,26,0,1.5,0,0.0,512,512,629932.549145217,766,61440.0,0,809,47.5874,11.0,185.80329999999998,4,64.2823,64.28390000000005,2.1082058646965613,5120.0,72.61393229166667,0.17397730143229165,909,0,0.0,0,2793.8548363772807,3717.8333333333335,441,1.628693081002318,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,186,0.0,0,12,0.0,0,0.0,1200.0,5148.596300000005,2287.10526690197,0.0,2287.10526690197,0.0,64.2823,14578.206300000005,20142.1898,0.7483872082836525,384,25411.317322114628,128,604521.2318231028,4,36.71440000000007,4,313.10370000000034,2,1189.4254,-339.95610000000005,15.958340012880004,662.9,0,0,541,541,S4 step 11 + everyone greedy,sumsy,2,8.731149137020111e-11
7,512,4,4,39623.29870000003,0.0,18206.646,1928.2660000000005,565.7964000000001,,565.7964000000001,0.0,0.0,0.0,0.0,0.0,0.0025,320.3649,1771.1389285714295,0.0,0.7448969182407714,619.9407000000007,516.3554142857156,0.02,422.6873999999998,1.14868566764928,0.0,0.0,1.14868566764928,0.0,2,0,0.99609375,0.7453090810400427,0.0,917.0,1.0,0.0,1.14868566764928,0,0,0,0.2516182354608447,438,528.4380890335457,2.341974892243359,530.780063925789,8.017751007532528,1.5833542276714045,9.601105235203933,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.14868566764928,1.14868566764928,0.0,0.0,0.0,0.0689211400589568,0.5,0.25,0.0,-626.1503352254829,0.0,54,2560.0,522.2499999999998,1928.2660000000005,713.7831999999997,0.0,0.0,0.0,0.0,0.0,6,493.736,2560.0,522.2499999999998,291.0958000000001,274.0,0.0,0.0,0.015,5.433768010517089,5.546893750000011,1.7942451612903214,1.92815212569316,3.16567208236994,19.705787525451328,1088.0,1141.0,544.0,2046.6666666666665,1307.0,204.0,184,0,0,0,42,0.0,2048.0,19298.641500000005,4602.871999999999,14648.387900000002,765,3,0,128,0.25928170921828575,0.7453090810400427,0.4464170329213799,0,7636.69399999999,6199.929299999999,0,0,31.0,512,0,0,19298.641500000005,765,640394.7084169845,640394.7084169845,0.0,118,31,0,1.5,0,0.0,512,512,640394.7084169845,765,61440.0,0,1297,55.621599999999965,13.0,259.2964,4,97.8943,97.88640000000002,2.252781478233151,5120.0,70.76009114583333,0.1738211979166667,1390,0,0.0,0,5283.075752867165,3622.9166666666665,434,1.7537200105328525,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,184,0.0,0,12,0.0,0,0.0,1200.0,5911.471800000004,3732.008829123992,0.0,3732.008829123992,0.0,97.8943,15990.452399999998,19510.5563,0.7493531642705171,384,26248.164634241995,128,614146.5437827413,4,34.47499999999995,4,297.31909999999993,2,1402.4041,-245.43150000000009,16.915840413652806,665.4,0,0,544,544,S4 step 11 + everyone greedy,sumsy,2,8.731149137020111e-11
8,512,4,4,41622.75319999994,0.0,18407.20380000002,1278.0178,535.2167000000001,,535.2167000000001,0.0,0.0,0.0,0.0,0.0,0.0025,449.8825,1778.3725500000005,0.0,0.7142071652092515,609.6692999999997,451.2427416666679,0.02,454.1402999999992,1.1716593810022657,0.0,0.0,1.1716593810022657,0.0,2,0,0.99609375,0.7483842048967277,0.0,802.0,3.0,0.0,1.1716593810022657,0,0,0,0.25,437,1287.3666152014703,2.2286292609013585,1289.5952444623717,10.053441825727994,1.7214916530121862,11.77493347874018,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.1716593810022657,1.1716593810022657,0.0,0.0,0.0,0.07029956286013594,0.5,0.25,0.0,-807.822335225482,0.0,61,2560.0,560.5454999999984,2608.6577,771.7159999999985,0.0,0.0,0.0,0.0,0.0,6,634.0644,2560.0,560.5454999999984,317.57569999999964,274.0,0.0,0.0,0.015,5.373100340136059,5.508280952380958,1.7564461038961083,1.9518136752136763,3.196310852340787,19.114613899687793,1176.0,1176.0,588.0,2048.0,1444.0,204.0,151,0,0,0,62,0.0,2048.0,20498.303999999982,4532.3885,15107.6744,765,3,0,128,0.2955951271169801,0.7483842048967277,0.3635308847686731,0,8191.280500000026,6318.766000000005,0,0,154.0,512,0,0,20498.303999999982,765,1.683305260268321e6,1.683305260268321e6,0.0,152,154,0,1.5,0,0.0,512,512,1.683305260268321e6,765,61440.0,0,952,270.4927000000007,62.0,400.43940000000003,4,41.324799999999996,41.3228000000005,2.087066500357847,5120.0,65.73893229166667,0.25949085367838537,1030,0,0.0,0,3247.782176519437,3365.8333333333335,434,1.8338792009411773,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,151,0.0,0,12,0.0,0,0.0,1200.0,6767.260899999999,5021.038674494416,0.0,5021.038674494416,0.0,41.324799999999996,16817.635900000005,20040.5023,0.7540358633429038,384,26651.70036631868,128,1.6566535599020028e6,4,32.23559999999986,4,281.5345000000002,2,1489.8422999999998,-85.33420000000007,17.930790838471975,2023.77655,0,0,588,588,S4 step 11 + everyone greedy,sumsy,2,8.731149137020111e-11
9,512,4,4,43586.762400000014,0.0,18365.778800000007,1100.0657999999996,504.637,,504.637,0.0,0.0,0.0,0.0,0.0,0.0025,650.3068,1781.7292000000007,0.0,0.6847818300026304,602.8608,377.1408000000003,0.02,496.7499999999974,1.195092568622311,0.0,0.0,1.195092568622311,0.0,2,0,0.9947916666666666,0.7486495467372072,0.0,505.0,2.0,0.0,1.195092568622311,0,0,0,0.25,428,1253.7683168722153,2.273312594113437,1256.0416294663287,15.014041040142764,1.831574273688694,16.84561531383146,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.195092568622311,1.195092568622311,0.0,0.0,0.0,0.07170555411733866,0.5,0.25,0.0,-991.5414352254807,0.0,67,2560.0,595.9907999999992,2806.3864999999996,839.4765999999967,0.0,0.0,0.0,0.0,0.0,2,703.5191,2560.0,595.9907999999992,342.72660000000064,274.0,0.0,0.0,0.015,5.312398863636361,5.465747240259723,1.755443434343439,1.9427374183006518,3.1860619512930715,18.541175482697152,1232.0,1232.0,616.0,2048.0,1557.0,204.0,122,0,0,0,63,0.0,2048.0,23355.001800000045,2666.3995000000004,15609.3069,764,4,0,128,0.3655757486256117,0.7486495467372072,0.3514240851395436,0,8529.083000000015,6544.875399999996,0,0,297.0,512,0,0,23355.001800000045,764,1.612038495587954e6,1.612038495587954e6,0.0,208,297,0,1.5,0,0.0,512,512,1.612038495587954e6,764,61440.0,0,1400,521.3667000000014,119.0,602.2283,4,23.6738,23.669700000000184,2.1909069548428706,5120.0,65.2197265625,0.2776704150390625,1446,0,0.0,0,3090.497822452363,3339.25,424,1.9219145167580063,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,122,0.0,0,12,0.0,0,0.0,1200.0,7173.179700000002,7862.968056332094,0.0,7862.968056332094,0.0,23.6738,18367.15200000003,18877.934699999998,0.7542612856793913,384,27246.509679404448,128,1.5847919859085504e6,4,29.996199999999817,4,265.7498999999998,2,1506.4068,145.66979999999995,19.006638288780294,1923.09535,0,0,616,616,S4 step 11 + everyone greedy,sumsy,2,8.731149137020111e-11
10,512,4,4,45510.68709999997,0.0,18219.706600000005,1049.1392999999998,474.0573,,474.0573,0.0,0.0,0.0,0.0,0.0,0.0025,916.8208,1782.3719700000008,0.0,0.656568818606522,596.0523000000002,288.517056666667,0.02,532.9917000000024,1.2189944199947573,0.0,0.0,1.2189944199947573,0.0,2,0,0.9934895833333334,0.749079177520837,0.0,508.0,1.0,0.0,1.2189944199947573,0,0,0,0.25000181400849925,419,1298.8088523783874,2.3196073119513096,1301.1284596903388,19.41470224738808,1.6619258025845367,21.07662804997262,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.2189944199947573,1.2189944199947573,0.0,0.0,0.0,0.07313966519968544,0.5,0.25,0.0,-1174.6449352254813,0.0,72,2560.0,636.0752999999994,3634.004600000001,903.733400000003,0.0,0.0,0.0,0.0,0.0,9,737.5271,2560.0,636.0752999999994,370.74169999999964,274.0,0.0,0.0,0.015,5.255733437014002,5.539542301710722,1.7556796875000042,1.9255841692789986,3.1483030088092785,17.984940218216238,1286.0,1286.0,643.0,2048.0,1646.0,204.0,100,0,0,0,88,0.0,2048.0,25937.06400000001,1006.7574999999999,16074.3905,763,5,0,128,0.42366292610860845,0.749079177520837,0.32317660432754436,1,8735.640499999985,6758.873200000006,0,0,384.0,512,0,0,25937.06400000001,763,1.6416508072607436e6,1.6416508072607436e6,0.0,262,384,0,1.5,0,0.0,512,512,1.6416508072607436e6,763,61440.0,0,1163,674.1810000000016,154.0,838.1272,4,15.8245,15.823200000000016,2.435506212123878,5120.0,63.904622395833336,0.3058901399739583,1209,0,0.0,0,4291.989524797657,3271.9166666666665,414,2.0147183312255974,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,100,0.0,0,12,0.0,0,0.0,1200.0,7695.454600000003,10135.47933594903,0.0,10135.47933594903,0.0,15.8245,19959.747699999996,17919.2752,0.7547001748261342,384,28736.970334753463,128,1.6129138369259892e6,4,27.756799999999885,4,249.96529999999984,2,1487.5246,442.76349999999996,20.147036586107113,1945.2785,0,0,643,643,S4 step 11 + everyone greedy,sumsy,2,8.731149137020111e-11
