round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,26737.33099999997,0.0,1013.8804000000001,1013.8804,561.0,,561.0,0.0,0.0,0.0,0.0,0.0,0.0025,121.9523,1683.0,0.0,1.0,561.0,958.0481333333339,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.46416545579628576,0.0,672.0,0.0,0.0,1.0,0,0,6,0.5000801153661273,512,35.04223140475283,3.560458389412117,38.60268979416495,6.647876666666666,1.695384705882353,8.34326137254902,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,48,2560.0,247.94899999999893,1013.8804,123.30109999999951,0.0,0.0,0.0,0.0,0.0,0,258.1752,2560.0,247.94899999999893,123.30109999999951,274.0,0.0,0.0,0.0,5.0,5.200000000000013,2.0,0.75,3.594822888283399,3.9200000000000013,320.0,158.0,160.0,2048.0,734.0,204.0,328,0,0,0,80,26.0,2048.0,17510.173299999962,2243.1918,4040.292,768,0,0,128,0.19308782859506657,0.46416545579628576,0.6581665915228745,6,5259.735999999996,790.0,36,0,520.0,128,0,0,5630.68969999999,768,27301.926996173745,44505.761980336654,0.0,96,0,0,1.5,0,0.0,128,128,27301.926996173745,768,27529.0,0,0,1040.0,208.0,2563.5464,4,35.738,35.71040000000051,0.681001029313317,5120.0,73.53841145833333,0.13026960937499998,293,0,0.0,0,5017.781708366648,3765.1666666666665,282,0.4841145833333333,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,6,6,4578.847699999999,3072,600.0,600.0,2.9603,337.30800000000056,13.333100000000286,323.9749000000003,20.866000000000003,14.872,10011.3314,4268.1825,0.46232716323306544,384,17203.834984162942,128,27301.926996173745,4,400.0,4,197.4602,2,258.1752,-439.0477,11.925,11.25,0,0,160,160,SB1 best SuMSy + greedy quarter,sumsy,4,1.0186340659856796e-10
2,512,4,4,29000.6151,0.0,3851.398999999998,2860.1126,1000.0477000000001,,1000.0477000000001,0.0,0.0,0.0,0.0,0.0,0.0025,145.363,1683.0,0.0,1.0,561.0,938.2153166666667,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.7371834920806446,0.0,1008.0,1.0,0.0,1.0,0,0,6,0.2546879364669344,512,748.8463316303789,3.3592412807926992,752.2055729111715,6.64450137254902,1.8799635294117647,8.524464901960785,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-4.518799999999999,0.0,48,2560.0,296.7159000000002,2860.1126,147.35960000000026,0.0,0.0,0.0,0.0,0.0,6,397.5593,2560.0,296.7159000000002,147.35960000000026,274.0,0.0,0.0,0.015,4.939743500866549,5.5141625000000305,2.2215168831168843,1.1258439516129035,3.546003254678569,27.578917559523806,992.0,1154.0,496.0,2048.0,1229.0,204.0,204,0,0,2,76,29.0,2048.0,17616.0983,3131.0355,6154.8677,768,0,0,128,0.2034910536183232,0.7371834920806446,0.422311507844898,4,7413.472399999976,5700.463999999998,37,0,77.0,128,0,0,5843.334099999997,768,931593.356486561,949208.984886354,0.0,92,0,0,1.5,0,0.0,128,128,931593.356486561,768,26028.0,0,355,171.0568000000001,31.0,1555.6913,4,141.0505,141.01799999999986,0.6289625516390913,5120.0,65.76171875,0.14078577473958334,636,0,0.0,0,2643.9148531260084,3367.0,391,0.8798174842954264,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,204,0.0,6,6,5680.9703,3072,600.0,600.0,679.4537999999995,10265.889715531415,5067.616357765707,5198.273357765706,92.2433,48.8072,13757.479999999987,5160.624200000001,0.7427565082911247,384,17615.628399791443,128,931593.356486561,4,398.99300000000005,4,196.69420000000014,2,397.5593,-854.6847,12.640500000000001,1180.4611,0,0,496,496,SB1 best SuMSy + greedy quarter,sumsy,4,1.0186340659856796e-10
3,512,4,4,31219.92330000007,0.0,8076.1353999999965,4367.697800000002,1408.9221,,1408.9221,0.0,0.0,0.0,0.0,0.0,0.0025,166.1633,1676.2373999999995,0.0,1.0,554.2373999999994,915.5663999999997,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.7369015309317599,0.0,1090.0,0.0,0.0,1.0,0,0,6,0.25000299325918035,512,776.5683300168779,3.704576870835382,780.2729068877134,4.436074979434768,2.019943533389151,6.456018512823919,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-32.88909999999998,0.0,48,2560.0,340.6918000000001,4367.697800000002,168.95160000000004,0.0,0.0,0.0,0.0,0.0,9,91.2704,2560.0,340.6918000000001,168.95160000000004,274.0,0.0,0.0,0.015,5.240025692041512,5.4866698961937335,2.3800006849315043,1.3421719723183387,3.5110748914829477,26.75155003273809,1156.0,1156.0,578.0,2045.3333333333335,1421.0,204.0,156,0,0,2,79,29.0,2048.0,16853.194699999964,5420.0512,8011.825,768,0,0,128,0.15173541141403346,0.7369015309317599,0.3767971188877617,1,8279.902500000006,6057.469699999988,40,0,146.0,128,0,0,5182.941600000003,768,941899.4341785067,963438.0482648337,0.0,94,0,0,1.5,0,0.0,128,128,941899.4341785067,768,25212.0,0,408,347.48009999999965,59.0,677.4187000000001,4,9.926,9.924099999999893,1.0385660795844476,5120.0,59.287109375,0.13879450520833334,642,0,0.0,0,3125.6590941129703,3035.5,414,0.9728633780959853,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,156,0.0,6,6,7679.3292,3072,600.0,600.0,1275.6214999999997,10401.952911018603,4635.654776043963,5766.2981349746415,6.7085,3.2175,13566.172099999989,6429.9657,0.7420704756543883,384,21538.614086327816,128,941899.4341785067,4,398.211,4,195.92819999999983,2,488.8297,-1242.7588,13.398930000000002,1180.4611,0,0,578,578,SB1 best SuMSy + greedy quarter,sumsy,4,1.0186340659856796e-10
4,512,4,4,33395.18220000012,0.0,12763.406499999988,5028.310400000003,1830.6919,,1830.6919,0.0,0.0,0.0,0.0,0.0,0.0025,187.1941,1698.1278749999994,0.0,1.0,587.9330999999999,912.1229666666663,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7395583935823813,0.0,1089.0,1.0,0.0,1.0,0,0,6,0.25000299325918035,512,956.3093105087146,3.7496170296067315,960.0589275383213,2.158657654256754,1.9605876031043161,4.11924525736107,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-99.45280000000008,0.0,51,2560.0,384.7410999999999,5710.160600000005,190.6446999999999,0.0,0.0,0.0,0.0,0.0,11,257.177,2560.0,384.7410999999999,190.6446999999999,274.0,0.0,0.0,0.015,5.661574048442905,5.527807958477488,2.3801460526315763,1.446859618717505,3.315209754227694,25.94900353175595,1156.0,1156.0,578.0,2045.3333333333333,1454.0000000000002,204.0,147,0,0,1,47,20.0,2048.0,15591.200799999957,4390.2636,12088.0697,767,1,0,128,0.0845698566088402,0.7395583935823813,0.3226565194444173,0,8197.097399999977,6544.779599999998,27,0,228.0,128,0,0,4389.076000000003,767,1.2312510042795823e6,1.2557319756126367e6,0.0,115,0,0,1.5,0,0.0,128,128,1.2312510042795823e6,767,25415.0,0,415,542.6732999999994,92.0,881.2769999999999,4,0.031,0.05120000000000044,1.3348752722212425,5120.0,58.80859375,0.1542925341796875,480,0,0.0,0,760.5855403943668,3011.0,418,1.351582681807649,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,147,0.0,6,6,10824.642699999999,3072,600.0,600.0,1976.548300000002,7627.065893712089,1710.2483718104788,5916.817521901609,0.031,0.0,12746.58869999998,6534.967599999999,0.744947308545725,384,24480.971333054014,128,1.2312510042795823e6,4,397.154,4,195.16219999999998,2,737.2865,-1643.4978,14.202865800000003,1546.6523499999998,0,0,578,578,SB1 best SuMSy + greedy quarter,sumsy,4,1.0186340659856796e-10
5,512,4,4,35528.295,0.0,15740.262799999971,3548.3307999999975,2278.7282999999998,,2278.7282999999998,0.0,0.0,0.0,0.0,0.0,0.0025,208.0145,1739.6406000000002,0.0,1.0,635.2305000000009,922.0440733333335,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7419869872703644,0.0,1087.0,1.0,0.0,1.0,0,0,6,0.25000299325918035,512,1087.1788406654196,3.654200244792981,1090.8330409102125,2.9253485531175634,1.8363631374232985,4.761711690540862,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-208.68562499999982,0.0,52,2560.0,426.8871999999994,3551.0092999999974,211.6338000000001,0.0,0.0,0.0,0.0,0.0,13,207.7222,2560.0,426.8871999999994,211.6338000000001,274.0,0.0,0.0,0.015,5.7533198961937675,5.654341868512113,2.4621852941176474,1.5691177083333363,3.247392593194244,25.449369679724864,1156.0,1156.0,578.0,2046.6666666666667,1376.0,204.0,167,0,0,0,57,22.0,2048.0,17544.03559999999,3156.3792999999996,14189.656799999999,766,2,0,128,0.10949529531189373,0.7419869872703644,0.36275104870432906,1,7875.478399999996,6650.837799999996,38,0,34.0,128,0,0,5169.6718,766,1.5166910031272047e6,1.5418724232313377e6,0.0,92,0,0,1.5,0,0.0,128,128,1.5166910031272047e6,766,25332.0,0,265,83.71430000000001,14.0,222.4866,4,52.7187,52.70870000000015,1.465119571332653,5120.0,57.630208333333336,0.18158656901041662,402,0,0.0,0,1007.2756093913786,2950.6666666666665,413,1.6053026159168429,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,167,0.0,6,6,8993.135799999998,3072,600.0,600.0,2966.491500000001,6387.202496464252,3107.209154462323,3279.99334200193,47.8277,4.891,14220.964000000004,8575.3869,0.747445633110585,384,25181.4201041337,128,1.5166910031272047e6,4,396.0969000000001,4,194.3961999999999,2,924.3474,-2070.7137999999995,15.055037748000004,1912.8436,0,0,578,578,SB1 best SuMSy + greedy quarter,sumsy,4,1.0186340659856796e-10
6,512,4,4,37615.23010000001,0.0,19087.04530000002,4072.3070000000002,2716.2360999999996,,2716.2360999999996,0.0,0.0,0.0,0.0,0.0,0.0025,230.5897,1772.4616500000002,0.0,1.0,645.5223,925.3708500000001,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.99609375,0.741656459003748,0.0,1087.0,1.0,0.0,1.0,0,0,6,0.25000299325918035,512,1094.9629391629842,3.578994688120978,1098.5419338511051,3.8529350091803503,1.6246532730056968,5.477588282186047,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-343.03232499999876,0.0,52,2560.0,473.06489999999997,4072.3070000000002,234.55130000000034,0.0,0.0,0.0,0.0,0.0,23,245.1949,2560.0,473.06489999999997,234.55130000000034,274.0,0.0,0.0,0.015,5.7287014705882315,5.614971626297591,2.469162500000001,1.744274434782609,3.228347833107301,24.685888589333114,1156.0,1156.0,578.0,2048.0,1388.0,204.0,165,0,0,1,61,39.0,2048.0,17837.630699999998,3470.2531,15498.147099999998,765,3,0,128,0.15035784333322733,0.741656459003748,0.3926473778085018,2,7977.832099999997,6622.378899999996,47,0,64.0,128,0,0,5661.627999999996,765,1.5404331843676888e6,1.569396152347957e6,0.0,69,0,0,1.5,0,0.0,128,128,1.5404331843676888e6,765,25152.0,0,474,158.02640000000005,26.0,333.4146,4,82.9118,82.91270000000017,1.9154104182277836,5120.0,56.110026041666664,0.20648459960937496,684,0,0.0,0,1519.005057138227,2872.8333333333335,408,1.7710473922729815,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,165,0.0,6,6,10171.301800000001,3072,600.0,600.0,3566.341899999999,5222.803037763118,2342.9322623289945,2879.870775434123,77.8234,5.0884,14321.887999999988,9130.513,0.7470344409977712,384,28962.96798026879,128,1.5404331843676888e6,4,395.0399000000001,4,193.63020000000006,2,1143.793,-2485.6463999999996,15.958340012880004,1928.5324,0,0,578,578,SB1 best SuMSy + greedy quarter,sumsy,4,1.0186340659856796e-10
7,512,4,4,39659.90819999998,0.0,19627.650699999976,1449.0711999999999,3128.4044999999996,,3128.4044999999996,0.0,0.0,0.0,0.0,0.0,0.0025,251.9801,1794.7206,0.0,1.0,642.7581000000002,922.1713761904763,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.7414272392043391,0.0,795.0,1.0,0.0,1.0,0,0,6,0.25,512,1095.4795364162414,3.44071146215121,1098.9202478783925,7.31691274868009,1.6013443145030566,8.918257063183146,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-506.7028345840772,0.0,53,2560.0,515.3219000000004,1460.8647999999998,255.7675000000001,0.0,0.0,0.0,0.0,0.0,17,486.5041,2560.0,515.3219000000004,255.7675000000001,274.0,0.0,0.0,0.015,5.703133129370633,5.6484889860139775,2.645695614035089,1.927852992957748,3.2333788001432366,23.945311931653123,1144.0,1144.0,572.0,2046.6666666666667,1396.0,204.0,163,0,0,1,65,35.0,2048.0,20540.258499999993,1851.0447,16031.443899999998,764,4,0,128,0.23591212775168735,0.7414272392043391,0.4143519627715688,1,8046.304600000003,6524.384300000004,41,0,114.0,128,0,0,7299.0085,764,1.5312239663824015e6,1.5611761318604038e6,0.0,84,0,0,1.5,0,0.0,128,128,1.5312239663824015e6,764,25068.0,0,494,301.60930000000013,46.0,498.67690000000005,4,157.8515,157.80249999999987,1.9863011445444767,5120.0,54.43359375,0.2293787662760417,721,0,0.0,0,2264.260970339468,2787.0,384,1.9000053536776818,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,163,0.0,6,6,8878.429699999999,3072,600.0,600.0,3983.4534999999996,6681.975111699085,4019.8476058495426,2662.127505849542,119.8528,37.99870000000001,15434.240599999992,9502.7358,0.7467657990247429,384,29952.165478004445,128,1.5312239663824015e6,4,393.9828,4,192.86419999999998,2,1348.9669000000004,-2876.4244,16.915840413652806,1912.8436,0,0,572,572,SB1 best SuMSy + greedy quarter,sumsy,4,1.0186340659856796e-10
8,512,4,4,41667.13929999996,0.0,20012.649800000014,1345.322200000001,3516.3162999999995,,3516.3162999999995,0.0,0.0,0.0,0.0,0.0,0.0025,270.7408,1810.3399875000005,0.0,1.0,639.8919000000003,915.8073916666668,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9934895833333334,0.7414842573909333,0.0,805.0,0.0,0.0,1.0,0,0,6,0.25000213280856765,512,1112.758520243438,3.5511636363217733,1116.3096838797599,9.358270023377722,1.7458062893533162,11.104076312731037,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-671.6538595840776,0.0,56,2560.0,552.7689000000004,2908.756700000001,274.5023999999998,0.0,0.0,0.0,0.0,0.0,17,610.9707,2560.0,552.7689000000004,274.5023999999998,274.0,0.0,0.0,0.015,5.648820320404722,5.592631703204038,2.736548666666668,2.008532653061224,3.3241580271927353,23.226952573703528,1186.0,1186.0,593.0,2046.6666666666667,1512.0,204.0,133,0,0,1,69,30.0,2048.0,22301.08179999996,1031.5659,16601.151,763,5,0,128,0.27294560834586434,0.7414842573909333,0.3808450848894265,2,8611.855099999966,6699.5009,45,0,300.0,128,0,0,8403.681099999994,763,1.538585539449144e6,1.5708911461719838e6,0.0,123,0,0,1.5,0,0.0,128,128,1.538585539449144e6,763,25050.0,0,516,820.9646000000004,120.0,851.6291000000001,4,145.97539999999998,146.0078000000002,2.284860301822448,5120.0,53.362630208333336,0.2902191080729167,644,0,0.0,0,1990.5643989009018,2732.1666666666665,371,2.0439871946098256,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,133,0.0,6,6,9387.902,3072,600.0,600.0,4383.401799999998,8462.652727978217,4415.91271167876,4046.7400162994572,108.4593,37.5161,15876.788199999999,9096.444,0.7467860998892202,384,32305.606722841694,128,1.538585539449144e6,4,392.9257,4,192.09820000000036,2,1437.2982,-3245.5754999999995,17.930790838471975,1912.8436,0,0,593,593,SB1 best SuMSy + greedy quarter,sumsy,4,1.0186340659856796e-10
9,512,4,4,43636.15689999999,0.0,20254.77290000002,1250.558099999999,3879.3728999999994,,3879.3728999999994,0.0,0.0,0.0,0.0,0.0,0.0025,289.6426,1820.4569000000006,0.0,1.0,633.7974,905.9510333333337,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9934895833333334,0.7409029743886284,0.0,663.0,1.0,0.0,1.0,0,0,6,0.25000199590705996,512,1072.270935508726,3.706017394627672,1075.9769529033538,9.65628234350717,1.8767598915245967,11.533042235031767,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-836.6139845840754,0.0,59,2560.0,590.9823999999991,3537.1382,293.5423,0.0,0.0,0.0,0.0,0.0,18,615.1559,2560.0,590.9823999999991,293.5423,274.0,0.0,0.0,0.015,5.589584339314852,5.620005546492646,2.9075968169761266,2.0068975328947367,3.351878041660965,22.530143996492416,1226.0,1226.0,613.0,2046.6666666666667,1583.0,204.0,115,0,0,0,71,26.0,2048.0,23128.87839999999,1149.6066,17148.5879,763,5,0,128,0.2725821313294312,0.7409029743886284,0.36705911301454863,0,8915.992200000019,6852.830400000009,34,0,377.0,128,0,0,8360.505500000001,763,1.4615488990983549e6,1.4944942185956617e6,0.0,172,0,0,1.5,0,0.0,128,128,1.4615488990983549e6,763,25135.0,0,420,1096.1639999999998,151.0,1304.2855,4,142.33059999999998,142.3250000000001,2.3268869676321104,5120.0,52.913411458333336,0.31015251790364584,492,0,0.0,0,1357.2533718293878,2709.1666666666665,359,2.19871626780064,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,115,0.0,6,6,9945.6511,3072,600.0,600.0,4782.242799999997,8858.769647305342,4583.67944671384,4275.090200591501,102.40729999999999,39.9233,15250.57060000001,9656.8289,0.7461429562756463,384,32945.319497303695,128,1.4615488990983549e6,4,391.8686,4,191.33219999999983,2,1463.8419,-3589.7302999999993,19.006638288780294,1809.34555,0,0,613,613,SB1 best SuMSy + greedy quarter,sumsy,4,1.0186340659856796e-10
10,512,4,4,45565.68790000001,0.0,20202.27500000002,998.4301000000003,4216.8823999999995,,4216.8823999999995,0.0,0.0,0.0,0.0,0.0,0.0025,309.1951,1826.5568400000006,0.0,1.0,627.1521,893.292006666667,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9934895833333334,0.7412889030638714,0.0,667.0,0.0,0.0,1.0,0,0,6,0.2500019323472351,512,1096.105724032642,3.698154491054932,1099.803878523697,10.676737987693649,1.9035571325790428,12.580295120272691,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-1000.0693845840782,0.0,61,2560.0,630.469,2526.2072000000003,313.2209000000002,0.0,0.0,0.0,0.0,0.0,23,546.8810000000001,2560.0,630.469,313.2209000000002,274.0,0.0,0.0,0.015,5.543387239165315,5.83373451043337,2.9941629464285744,1.995689644012943,3.3415377836219986,21.854239676597643,1246.0,1246.0,623.0,2048.0,1632.0,204.0,104,0,0,2,86,32.0,2048.0,23910.411099999976,1432.6859000000002,17545.575900000003,763,5,0,128,0.2925007831613964,0.7412889030638714,0.34245638748664775,0,9060.408899999988,6907.060499999983,41,0,448.0,128,0,0,8933.7438,763,1.4696540245089852e6,1.504199085447078e6,0.0,177,0,0,1.5,0,0.0,128,128,1.4696540245089852e6,763,25208.0,0,390,1341.3850000000014,180.0,1820.9389,4,155.5409,155.52209999999977,2.5978191112329854,5120.0,52.51953125,0.34152053873697913,472,0,0.0,0,1661.028394280197,2689.0,351,2.3525713964544956,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,104,0.0,6,6,10541.209700000001,3072,600.0,600.0,5013.000099999999,8616.265820093067,4407.275473408367,4208.990346684701,103.28819999999999,52.2527,15467.074499999997,10257.991,0.7465157540512906,384,34545.060938091905,128,1.4696540245089852e6,4,390.8116000000002,4,190.59119999999984,2,1489.5163,-3907.6872999999996,20.147036586107113,1809.34555,0,0,623,623,SB1 best SuMSy + greedy quarter,sumsy,4,1.0186340659856796e-10
