round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,variant,system,seed,identity,seconds
1,64,3,3,2239.871,0.0,2249.471,0.0,353.631,353.631,0.0,0.0,0.0,0.0,0.00375,0.0,9.6,9.6,0.0,28,361.471,41.6,2074.1922000000004,24.98850000000002,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,297.737,507.08299999999946,0.05,5.0,5.199999999999999,NaN,0.75,3.768516397709526,3.920000000000001,60.0,9.0,30.0,256.0,113.0,25.0,34,0,0,0,6,3.0,256.0,2239.871,0.0,0.0,96,0,0,16,0.08465754696364214,0.29534890716358064,0.37478992197475325,0,406.47099999999995,45.0,6,0,0.0,0,0,0,0.0,0,0.0,1431.871,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,26.0,0.0,2,0.0,0.0,NaN,640.0,100.0,0.0,0,0,0.0,0,0.0,640.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,34,0.0,0,8,0.0,0,0.0,0.0,1888.0,1546.8600000000001,0.0,1546.8600000000001,0.0,0.0,98.4,0.0,0.38658747828170603,48,1732.1390000000004,16,-300.2679999999999,3,0.0,3,0.0,2,11.35999999999991,-353.631,11.25,0,0,30,30,"cash only, no spread",debt,1,9.094947017729282e-13,27.86808878
2,64,3,3,2200.9486,0.0,2214.2304,0.0,652.5969999999999,337.5859,272.7480999999999,42.263,272.7480999999999,0.0,0.00375,0.0,13.2818,21.004199999999994,0.0,44,20.9189,59.84129999999999,1418.2393000000002,128.21070000000006,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,302.26300000000003,133.8663,0.0025880187570029318,4.766558646616545,5.508797872340429,1.8499999999999976,1.1389382978723406,3.512248694974687,3.8023999999999996,94.0,133.0,47.0,256.0,151.0,25.0,26,0,0,0,6,2.0,256.0,2159.2259,21.5293,20.1934,96,0,0,16,0.12382444487976008,0.3009791788552225,0.2503855956919856,0,980.0987999999998,633.9523000000005,6,0,68.0,0,0,0,0.0,0,0.0,1642.7775,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,125.79999999999984,30.0,0.0,2,0.0,0.0,NaN,640.0,100.0,0.00814896484375,0,0,0.0,0,0.0,640.0,0,0.40744824218750003,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,26,0.0,0,8,0.0,0,0.0,0.0,1856.0,2199.1153999479434,0.0,2199.1153999479434,0.0,0.0,101.01419999999999,41.7227,0.38911435133137506,48,1811.849,16,-169.07150000000019,3,0.0,3,0.0,2,19.11560000000009,-337.5859,11.25,0,0,47,47,"cash only, no spread",debt,1,9.094947017729282e-13,27.86808878
3,64,3,3,2240.0326000000005,0.0,2257.4303,0.0,759.6218999999999,319.8176,439.8042999999999,0.0,167.05620000000002,1.0226762499999997,0.00375,0.0,17.3977,32.19049999999999,0.0,74,101.09040000000002,62.0064,3906.2129999999993,108.66139999999997,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,178.1324,0.0,0.0031762111210671394,4.67624452554744,5.4568223880597095,1.8106111111111087,1.3488029850746275,3.405238228164432,3.6883279999999994,134.0,137.0,67.0,256.0,183.0,25.0,18,0,0,1,8,4.0,256.0,2103.9619000000007,94.94300000000001,41.1277,96,0,0,16,0.07704712579990103,0.359426857288772,0.14943788231644262,0,875.4528000000001,640.6454999999993,8,0,54.0,0,0,0,0.0,0,0.0,2253.2806489361706,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,97.77299999999987,22.0,0.0,2,0.0,0.0,NaN,640.0,100.0,0.02657630859375,0,0,0.0,0,0.0,640.0,0,0.8858769531249999,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,18,0.0,0,8,0.0,0,0.0,78.3129,1910.1668,2843.85665946092,0.0,2843.85665946092,0.0,0.0,93.4182,136.07070000000002,0.4377824419046825,48,1871.1094,16,382.1712489361706,3,0.0,3,0.0,2,27.739399999999982,-319.8176,17.08407446808511,0,0,67,67,"cash only, no spread",debt,1,9.094947017729282e-13,27.86808878
4,64,3,3,2206.8431000000005,0.0,2228.549,0.0,877.6477,302.0499,575.5978,0.0,135.79350000000002,1.6491414999999991,0.00375,0.0,21.7059,43.39549999999999,0.0,91,33.5361,66.72559999999999,2064.1937999999996,108.81940000000033,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,147.9518,0.0,0.0015439832019233512,4.562799253731342,5.379337313432833,1.795193506493504,1.437240298507463,3.277009020994347,3.5776781599999987,134.0,134.0,67.0,254.66666666666666,192.0,25.0,15,0,0,0,5,5.0,256.0,1953.3382999999994,137.833,77.7274,96,0,0,16,0.06771438493910664,0.3944505526360709,0.12814671604828654,0,764.6130999999997,611.4150999999998,5,0,77.0,0,0,0,0.0,0,0.0,2551.377298507464,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,138.22989999999982,31.0,37.9444,2,0.0,0.0,NaN,640.0,100.0,0.049512656249999995,0,0,0.0,0,0.0,640.0,0,0.9715366210937499,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,15,0.0,0,8,0.0,0,0.0,89.6093,1896.5834,2800.0188229413952,0.0,2800.0188229413952,0.0,0.0,78.3513,253.50479999999996,0.4657752917193452,48,1822.7554000000002,16,728.6218985074638,3,0.0,3,0.0,2,36.74780000000004,-302.0499,20.232044776119412,0,0,67,67,"cash only, no spread",debt,1,9.094947017729282e-13,27.86808878
5,64,3,3,2255.3876999999998,0.0,2281.3508,0.0,1005.3237,351.1128,654.2109,0.0,78.61309999999999,2.158004249999999,0.00375,0.0,25.9631,54.365500000000004,0.0,106,116.36710000000002,67.8225,1806.1508000000003,102.56750000000022,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,152.7648,31.6139,0.002335320481499521,4.43843779527559,5.285897014925368,1.8002290322580632,1.5701179104477618,3.1106042361720787,3.4703478152,134.0,127.0,67.0,256.0,186.0,25.0,16,0,0,1,5,0.0,256.0,1889.9446999999996,145.5953,107.66,96,0,0,16,0.07735898056302926,0.41632226753962254,0.1359257590185181,0,733.9676000000003,563.6815999999999,5,0,62.0,0,0,0,0.0,0,0.0,3787.1237123507476,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,111.61419999999991,25.0,112.1877,2,0.0,0.0,1.7145435664062496,640.0,99.8046875,0.07137558593749999,6,0,0.0,0,17.145435664062497,638.75,6,0.9250957031249998,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,0.0,0,8,0.0,0,0.0,130.0576,1899.5872,2567.822403014303,0.0,2567.822403014303,0.0,0.0,238.29509999999996,365.443,0.48242992921133854,48,1797.8629178320311,16,1989.2607945187156,3,0.0,3,0.0,2,45.65399999999994,-351.1128,21.558604477611947,0,0,67,67,"cash only, no spread",debt,1,9.094947017729282e-13,27.86808878
6,64,3,3,2301.9058,0.0,2332.4647999999997,0.0,1134.9751,423.9162,711.0589000000001,0.0,56.848,2.4524771249999997,0.00375,0.0,30.558999999999997,65.4872,0.0,120,119.9749,73.45680000000002,1385.1547999999998,98.00650000000024,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,151.65090000000004,0.0,0.0024477449132344585,4.310222727272729,5.195139393939393,1.8225280701754367,1.634209090909091,2.99730691457686,3.3662373807439994,132.0,132.0,66.0,254.66666666666669,182.00000000000003,25.0,17,0,0,1,4,1.0,256.0,1839.2217,210.3402,106.00389999999999,96,0,0,16,0.0749036781767527,0.44077415139957377,0.14013782644606132,0,707.0118999999997,568.9494000000002,4,0,57.0,0,0,0,0.0,0,0.0,3988.2782264614425,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,103.88409999999989,23.0,146.34,2,0.0,0.0,1.6870253678385414,640.0,99.609375,0.09036798828125,5,0,0.0,0,16.870253678385414,637.5,10,1.1355546875,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,17,0.0,0,8,0.0,0,0.0,130.0576,1862.0223,2341.2378250438965,0.0,2341.2378250438965,0.0,0.0,362.5567,462.68410000000006,0.5018256277792943,48,1763.0472029427085,16,2225.2310235187347,3,0.0,3,0.0,2,55.237799999999964,-423.9162,23.551768656716426,0,0,66,66,"cash only, no spread",debt,1,9.094947017729282e-13,27.86808878
7,64,3,3,2506.4820000000004,0.0,2536.7910999999995,0.0,1274.1032999999998,525.0441,749.0591999999999,0.0,38.00030000000001,2.6655760000000006,0.00375,0.3872,30.309099999999994,76.8248,0.0,136,283.7455,79.1693,2176.3595,94.60430000000042,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,158.8348,0.0,0.005065119979634428,4.1955898550724635,5.144153846153846,1.8524870370370363,1.5854630769230775,2.933412241209336,3.2652502593216792,130.0,138.0,65.0,254.66666666666666,179.0,25.0,18,0,0,1,7,5.0,256.0,1785.8074,349.6897,161.1633,96,0,0,16,0.0774446914740079,0.4570646458844372,0.13791019623421774,0,692.7538000000002,578.9914,7,0,54.0,0,0,0,0.0,0,0.0,3992.6151248376627,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,100.03429999999996,22.0,209.43439999999998,2,1.2902,0.9032,1.735540990513393,640.0,99.21875,0.14068113281250003,8,0,0.0,0,34.71081981026786,635.0,16,1.2954492187500002,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,18,0.0,0,8,0.0,0,0.0,257.2888,1959.3547,1989.8196512304296,0.0,1989.8196512304296,0.0,1.2902,523.2062999999999,720.2873999999999,0.5155469142519749,48,1718.3672328766743,16,2274.247891960988,3,0.0,3,0.0,2,55.12999999999994,-524.6569,24.513136363636363,0,0,65,65,"cash only, no spread",debt,1,9.094947017729282e-13,27.86808878
8,64,3,3,2520.3842999999997,0.0,2551.5362,0.0,1402.4937,588.7351,813.7586,0.0,64.6994,2.807878875,0.00375,1.0768,31.15189999999999,88.92240000000005,0.0,150,107.6263,93.72400000000003,1897.0010999999997,93.21830000000033,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,147.6149,0.0,0.003734556390829521,4.10864705882353,5.109811940298504,1.8281230769230763,1.5300106060606067,2.8203584389608665,3.167292751542029,134.0,136.0,67.0,254.66666666666669,182.0,25.0,17,0,0,0,9,4.0,256.0,1728.1157,383.26160000000004,190.8209,95,1,0,16,0.08415363280508337,0.45367633362495385,0.12401688357910556,0,669.7595,558.7760000000002,9,0,52.0,0,0,0,0.0,0,0.0,5061.324228960622,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,95.06239999999997,21.0,217.1093,2,3.5894,2.5124,1.7519526127697174,640.0,98.828125,0.1591745597956731,12,0,0.0,0,35.461466686197916,632.5,25,1.4219650878906251,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,17,0.0,0,8,0.0,0,0.0,257.2888,1919.3529999999998,1957.8022225046145,0.0,1957.8022225046145,0.0,3.5894,772.1115000000001,791.1918000000001,0.5071748849180009,48,1658.5264109919085,16,3402.7978179687157,3,0.0,3,0.0,2,57.207600000000056,-587.6582999999999,23.781946153846164,0,0,67,67,"cash only, no spread",debt,1,9.094947017729282e-13,27.86808878
9,64,3,3,2614.2109,0.0,2646.6169,0.0,1538.2631000000001,627.9947,910.2684,0.0,96.5098,3.050405,0.00375,0.9188,32.40599999999999,101.12270000000002,0.0,164,192.472,98.6454,1672.2465999999997,90.30949999999989,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,153.77839999999998,0.0,0.003955632372000176,4.013490714285712,4.972573913043474,1.8378095238095238,1.5046735294117646,2.7121385071675768,3.072273968995767,138.0,140.0,69.0,256.0,182.0,25.0,18,0,0,0,10,6.0,256.0,1679.8659000000002,533.1087,228.9186,95,1,0,16,0.07320551691804655,0.4518308679698275,0.12404691959286085,0,660.3144999999998,561.8886999999997,10,0,42.0,0,0,0,0.0,0,0.0,4901.080357981603,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,77.188,17.0,171.3989,2,3.0622999999999996,2.1436,1.7519526127697174,640.0,98.828125,0.1867922576349432,0,0,0.0,0,0.0,632.5,25,1.5244722222222222,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,18,0.0,0,8,0.0,0,0.0,355.7235,1970.9887999999996,1780.0443608261344,0.0,1780.0443608261344,0.0,3.0622999999999996,758.3868,933.4262,0.49325608492819106,48,1642.2534109919086,16,3258.8269469896945,3,0.0,3,0.0,2,60.10779999999994,-627.0758999999999,22.9501590909091,0,0,69,69,"cash only, no spread",debt,1,9.094947017729282e-13,27.86808878
10,64,3,3,2768.3759,0.0,2802.5402,0.0,1671.7261000000003,687.042,984.6841000000002,0.0,74.41569999999999,3.4121373750000004,0.00375,0.8548,34.16429999999999,113.52110000000008,0.0,182,261.51559999999995,107.35060000000001,1913.1670000000001,87.41920000000002,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,149.46829999999997,0.0,0.004127238698552887,3.902567692307692,4.991818840579714,1.8431405405405403,1.4837720588235295,2.645482302754431,2.9801057499258943,138.0,130.0,69.0,256.0,180.0,25.0,18,0,0,1,7,2.0,256.0,1681.2401,723.5719,215.0067,95,1,0,16,0.08769256749080667,0.4582601165419906,0.1423477143108265,0,639.9875000000001,507.33379999999994,7,0,37.0,0,0,0,0.0,0,0.0,4849.001561554623,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,68.19619999999999,15.0,147.7024,2,2.8507,1.9956,1.7948099079241073,640.0,98.6328125,0.2165724810431985,2,0,0.0,0,18.540788253348218,631.25,26,1.5155822265625,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,18,0.0,0,8,0.0,0,0.0,486.91220000000004,2059.6324,1525.037101507662,0.0,1525.037101507662,0.0,2.8507,774.9469,1086.281,0.49866980736017874,48,1625.3032423046875,16,3223.6983192499342,3,0.0,3,0.0,2,64.01640000000013,-686.1872000000001,22.57010294117647,0,0,69,69,"cash only, no spread",debt,1,9.094947017729282e-13,27.86808878
