rung,system,n,survived,alive,amin,unempl,tickets,p_bread,gov_debt,debt_gdp,deficit,gini_c
0 bare bones,debt,10,0,15.3,11,6.81,0.0,5.66,0.0,0.0,0.0,0.34
0 bare bones,sumsy,10,1,53.1,40,26.91,0.0,20.74,0.0,0.0,0.0,0.36
1 + planning margin,debt,10,0,16.2,16,6.96,0.0,4.94,0.0,0.0,0.0,0.27
1 + planning margin,sumsy,10,10,64.0,64,29.68,0.0,3.39,0.0,0.0,0.0,0.09
10 + responsive prices,debt,10,10,63.8,63,19.54,31.83,2.96,16091.01,320.14,95.34,0.33
10 + responsive prices,sumsy,10,10,64.0,64,17.82,50.2,5.69,0.0,0.0,-99.99,0.6
11 + government reserve,debt,10,10,63.8,63,19.54,31.83,2.96,16091.01,320.14,95.34,0.33
11 + government reserve,sumsy,10,10,63.9,63,16.97,59.31,6.06,0.0,0.0,-6.71,0.65
12 + fiscal policy and VAT,debt,10,3,53.1,46,18.34,15.72,2.13,13487.58,463.07,65.87,0.48
12 + fiscal policy and VAT,sumsy,10,10,64.0,64,18.07,48.2,6.28,0.0,0.0,-16.05,0.65
2 + government,debt,10,10,64.0,64,22.82,0.0,4.37,21353.92,304.9,169.5,0.47
2 + government,sumsy,10,10,64.0,64,22.81,0.0,3.19,0.0,0.0,-72.3,0.09
3 + interest on deposits,debt,10,10,64.0,64,22.88,0.0,4.28,21309.17,310.61,168.41,0.46
3 + interest on deposits,sumsy,10,10,64.0,64,22.81,0.0,3.19,0.0,0.0,-72.3,0.09
4 + theatre,debt,10,10,64.0,64,15.88,68.53,3.81,12269.1,172.82,86.69,0.61
4 + theatre,sumsy,10,10,64.0,64,9.83,126.14,3.21,0.0,0.0,-72.93,0.09
5 + government bonds,debt,10,9,63.2,58,17.87,47.6,3.39,12301.91,208.48,94.82,0.33
5 + government bonds,sumsy,10,10,64.0,64,9.83,126.14,3.21,0.0,0.0,-72.93,0.09
6 + charge on balances,debt,10,10,63.4,62,17.55,49.98,3.12,11627.0,210.54,78.93,0.34
6 + charge on balances,sumsy,10,10,64.0,64,9.86,125.88,3.17,0.0,0.0,-89.16,0.09
7 + second theatre,debt,10,10,63.7,62,17.71,48.74,3.41,12490.16,200.8,94.34,0.28
7 + second theatre,sumsy,10,10,64.0,64,9.86,125.82,3.82,0.0,0.0,-66.55,0.11
8 + shareholders & share market,debt,10,10,63.6,61,19.2,34.87,3.35,13637.1,237.07,95.9,0.34
8 + shareholders & share market,sumsy,10,10,64.0,64,17.63,50.04,6.69,0.0,0.0,-93.47,0.45
9 co-ops (side rung),debt,10,10,63.6,60,17.64,50.5,3.43,12318.15,196.32,86.03,0.29
9 co-ops (side rung),sumsy,10,10,64.0,64,10.41,120.98,4.85,0.0,0.0,-92.29,0.27
S1 rung 11 + greedy quarter,debt,10,10,63.8,63,18.55,0.0,3.09,14919.59,273.02,87.38,0.27
S1 rung 11 + greedy quarter,sumsy,10,10,64.0,64,0.76,112.62,2.15,0.0,0.0,8.49,0.28
S2 rung 12 + greedy quarter,debt,10,4,55.3,21,16.22,0.0,3.25,12566.66,inf,88.1,0.4
S2 rung 12 + greedy quarter,sumsy,10,9,60.1,25,0.98,111.29,2.1,0.0,0.0,2.98,0.33
S3 rung 11 + everyone greedy,debt,10,10,64.0,64,15.01,0.0,3.22,14341.09,227.18,62.55,0.36
S3 rung 11 + everyone greedy,sumsy,10,9,57.6,0,3.43,37.45,12.32,0.0,0.0,96.3,0.32
S4 rung 12 + everyone greedy,debt,10,3,56.8,45,15.08,0.0,3.0,11838.53,269.79,70.86,0.45
S4 rung 12 + everyone greedy,sumsy,10,9,57.6,0,2.81,36.09,11.11,0.08,0.0,43.16,0.3
